,https://roic.ai/company/CLB,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.10,0.18,0.33,0.35,0.06,0.29,0.30,-0.14,0.30,0.21,0.56,1.53,2.48,3.00,2.44,3.00,3.82,4.54,5.28,5.77,2.68,1.45,1.88,1.79,2.28,-2.20,0.43
27,Weighted Average Shares Outstanding,40000000,42763608,46511282,54658728,59701448,63579778,66149330,66348000,60418000,53792000,52076000,50314000,47074000,46016000,45938000,44830000,46286000,46349411,45101389,43636984,42375905,44151261,44184205,44316845,44465562,44572801,46289621
28,Weighted Average Shares Outstanding Diluted,40000000,43846154,47384615,56244936,61133108,65882866,68543024,66348000,62358000,57522000,56016000,53776000,48816000,47888000,46656000,48241000,48393000,47553000,45994000,44600000,42908000,44151261,44264000,44474000,44646000,44572801,46927000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1000229/000089056697000541/0000890566-97-000541-index.html,https://www.sec.gov/Archives/edgar/data/1000229/000089056698000544/0000890566-98-000544-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1000229/000100022901500004/0001000229-01-500004-index.html,https://www.sec.gov/Archives/edgar/data/1000229/000100022902000002/0001000229-02-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/1000229/000095012904001320/0000950129-04-001320-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022905000004/0001000229-05-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022906000002/0001000229-06-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022907000003/0001000229-07-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022908000005/0001000229-08-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022909000005/0001000229-09-000005-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1000229/000100022911000015/0001000229-11-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022912000012/0001000229-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022913000009/0001000229-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022914000025/0001000229-14-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022915000035/0001000229-15-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022916000149/0001000229-16-000149-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022917000025/0001000229-17-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022918000025/0001000229-18-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022919000021/0001000229-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000156459020004075/0001564590-20-004075-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000156459021004561/0001564590-21-004561-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000095017022001087/0000950170-22-001087-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4300000,2900000,10500000,8200000,18100000,12918000,14456000,14876000,16753000,16030000,13743000,54223000,25617000,36138000,181045000,133880000,29332000,19226000,25088000,23350000,22494000,14764000,14400000,13116000,11092000,13806000,17703000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4300000,2900000,10500000,8200000,18100000,12918000,14456000,14876000,16753000,16030000,13743000,54223000,25617000,36138000,181045000,133880000,29332000,19226000,25088000,23350000,22494000,14764000,14400000,13116000,11092000,13806000,17703000
34,Net Receivables,22500000,28000000,67500000,84300000,81100000,110915000,104933000,100602000,107912000,95449000,99129000,112055000,137231000,144293000,133758000,154726000,170805000,202717000,206616000,208143000,152898000,120755000,140605000,143150000,138106000,92867000,96830000
35,Inventory,8100000,9500000,12500000,18900000,24500000,34067000,41109000,34532000,31381000,29426000,29104000,30199000,29363000,34838000,32184000,33979000,53214000,49265000,46821000,43371000,40906000,33720000,33317000,45664000,50163000,38151000,45443000
36,Other Current Assets,1500000,2200000,7200000,15000000,16700000,17318000,18851000,25663000,10907000,10739000,11269000,29075000,28488000,26759000,43550000,26735000,27463000,25699000,25343000,26956000,22249000,17222000,19105000,29047000,21876000,21024000,29079000
37,Total Current Assets,36400000,42600000,97700000,126400000,140400000,175218000,179349000,175673000,166953000,151644000,153245000,225552000,220699000,242028000,390537000,349320000,280814000,296907000,303868000,301820000,238547000,186461000,207427000,230977000,221237000,165848000,189055000
38,PP&E,20000000,27700000,53600000,68200000,64500000,83338000,97615000,95452000,94811000,79622000,81342000,87734000,93038000,103463000,98784000,104223000,115295000,125418000,138824000,149014000,143211000,129882000,123098000,122917000,199203000,181678000,172339000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132618000,138800000,148600000,148600000,154217000,162787000,163337000,163337000,164464000,178159000,179044000,179044000,219412000,213425000,99445000,99445000
40,Intangible Assets,8500000,8400000,82800000,149500000,150300000,147918000,151257000,142359000,150283000,139672000,139338000,6602000,7040000,6992000,6520000,8660000,8221000,8721000,10949000,10642000,10041000,9936000,9396000,13054000,17450000,8583000,8139000
41,Intangible Assets,8500000,8400000,82800000,149500000,150300000,147918000,151257000,142359000,150283000,139672000,139338000,139220000,145840000,155592000,155120000,162877000,171008000,172058000,174286000,175106000,188200000,188980000,188440000,232466000,230875000,108028000,219459000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1851000,1907000,2336000,2719000,3224000,3557000,3760000,3969000,4094000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7650000,11452000,33032000,26024000,27441000,- -,- -,13662000,13224000,4452000,3876000,11693000,20605000,10719000,11252000,67312000,72775000,70462000
44,Other Non-Current Assets,400000,1000000,3900000,4500000,5900000,4130000,11279000,7669000,9349000,10209000,9224000,15677000,19189000,9127000,13725000,19622000,24360000,27058000,37673000,43501000,40888000,43900000,51571000,47455000,52077000,36156000,-70462000
45,Total Non-Current Assets,28900000,37100000,140300000,222200000,220700000,235386000,260151000,245480000,254443000,237153000,241356000,275663000,284091000,295623000,267629000,286722000,324325000,339609000,357142000,373833000,386711000,386591000,377385000,417850000,553436000,402731000,391798000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,65300000,79700000,238000000,348600000,361100000,410604000,439500000,421153000,421396000,388797000,394601000,501215000,504790000,537651000,658166000,636042000,605139000,636516000,661010000,675653000,625258000,573052000,584812000,648827000,774673000,568579000,580853000
48,Accounts Payable,5400000,5900000,14200000,18500000,18200000,25186000,19721000,25407000,27126000,28632000,32557000,37460000,39861000,41588000,33009000,44710000,57639000,55168000,50821000,47084000,33474000,33720000,41697000,41155000,35611000,23028000,29726000
49,Short-Term Debt,2700000,4400000,3500000,18600000,1700000,879000,506000,1145000,3423000,2976000,2544000,2762000,3027000,- -,- -,147543000,2344000,40000,- -,- -,- -,- -,- -,- -,11841000,11437000,24684000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7949000,23616000,28800000,9359000,21329000,21441000,19532000,11228000,21534000,8138000,10405000,14690000,14903000,9911000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,3198000,1709000,2927000,2632000,3233000,6853000,9130000,- -,16528000,20181000,19154000,13868000,10887000,11009000,14101000,15690000,17069000,17325000,13381000,5457000,7765000
52,Other Current Liabilities,6100000,7000000,24400000,24100000,27200000,25445000,16582000,21823000,28260000,33171000,31222000,41845000,46022000,54102000,56871000,66919000,58324000,71434000,74067000,73773000,73183000,54613000,46252000,44067000,50761000,49828000,28607000
53,Total Current Liabilities,14200000,17300000,42100000,61200000,47100000,51510000,40007000,50084000,61736000,67411000,69556000,88920000,98040000,95690000,106408000,279353000,137461000,140510000,135775000,131866000,120758000,104023000,105018000,102547000,111594000,89750000,90782000
54,Long-Term Debt,11900000,11600000,70600000,68200000,82900000,82050000,95089000,88035000,124684000,110224000,86104000,300002000,300000000,238658000,209112000,8864000,223075000,234033000,267002000,356000000,430987000,216488000,226989000,289770000,305283000,315541000,188636000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1401000,- -,- -,- -
56,Deferred Tax Liabilities,600000,2000000,2600000,4600000,3600000,7486000,13350000,14461000,816000,- -,- -,- -,- -,- -,7692000,2198000,5531000,6777000,8870000,7210000,4881000,6277000,5323000,7634000,27338000,20585000,24336000
57,Other Non-Current Liabilities,1400000,1200000,7400000,16500000,17300000,15812000,14633000,10083000,12680000,19797000,23619000,39011000,43121000,42992000,53196000,53287000,57417000,67283000,79974000,86584000,92331000,90967000,98750000,86575000,148318000,67130000,116098000
58,Total Non-Current Liabilities,13900000,14800000,80600000,89300000,103800000,105348000,123072000,112579000,138180000,130021000,109723000,339013000,343121000,281650000,270000000,64349000,286023000,308093000,355846000,449794000,528199000,313732000,331062000,385380000,480939000,403256000,329070000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76501000,67545000,- -
61,Total Liabilities,28100000,32100000,122700000,150500000,150900000,156858000,163079000,162663000,199916000,197432000,179279000,427933000,441161000,377340000,376408000,343702000,423484000,448603000,491621000,581660000,648957000,417755000,436080000,487927000,592533000,493006000,419852000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,500000,534000,546000,546000,509000,484000,474000,1450000,1300000,1430000,1430000,1397000,1376000,1233000,1203000,1174000,1142000,1148000,1148000,1148000,1148000,1148000,- -
64,Retained Earnings,4600000,11700000,26900000,44300000,46600000,68629000,88309000,79247000,97947000,110237000,141448000,224110000,62496000,406212000,469454000,536991000,283660000,361255000,415930000,415906000,219207000,187957000,173855000,156130000,160539000,50456000,68349000
65,Other Comprehensive Income/Loss,-2900000,-8100000,-16100000,-19800000,-35300000,-44977000,-56363000,-64033000,-77847000,-2486000,-940000,-2072000,226000,-4927000,- -,-6207000,-1739000,-8413000,-8626000,-11894000,-10538000,-9828000,-8353000,-5456000,-6330000,-7200000,-10133000
66,Other Total Stockholders Equity,35500000,44000000,104500000,173600000,198400000,229560000,243929000,242386000,199803000,82061000,73275000,-151652000,-1879000,-244562000,-191516000,-242690000,-105394000,-171845000,-245184000,-317613000,-238875000,-27923000,-21806000,4937000,22508000,27109000,161001000
67,Total Stockholders Equity,37200000,47600000,115300000,198100000,210200000,253746000,276421000,258146000,220412000,190296000,214257000,71836000,62143000,158153000,279368000,289491000,177903000,182230000,163323000,87573000,-29064000,151354000,144844000,156759000,177865000,71513000,161001000
68,Total Liabilities And Stockholders Equity,65300000,79700000,238000000,348600000,361100000,410604000,439500000,420809000,420328000,387728000,393536000,499769000,503304000,535493000,655776000,633193000,601387000,630833000,654944000,669233000,619893000,569109000,580924000,644686000,770398000,564519000,580853000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,344000,1068000,1069000,1065000,1446000,1486000,2158000,2390000,2849000,3752000,5683000,6066000,6420000,5365000,3943000,3888000,4141000,4275000,4060000,- -
70,Total Liabilities & Equity,65300000,79700000,238000000,348600000,361100000,410604000,439500000,421153000,421396000,388797000,394601000,501215000,504790000,537651000,658166000,636042000,605139000,636516000,661010000,675653000,625258000,573052000,584812000,648827000,774673000,568579000,580853000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1000229/000089056697000541/0000890566-97-000541-index.html,https://www.sec.gov/Archives/edgar/data/1000229/000089056698000544/0000890566-98-000544-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1000229/000100022901500004/0001000229-01-500004-index.html,https://www.sec.gov/Archives/edgar/data/1000229/000100022902000002/0001000229-02-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/1000229/000095012904001320/0000950129-04-001320-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022905000004/0001000229-05-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022906000002/0001000229-06-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022907000003/0001000229-07-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022908000005/0001000229-08-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022909000005/0001000229-09-000005-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1000229/000100022911000015/0001000229-11-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022912000012/0001000229-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022913000009/0001000229-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022914000025/0001000229-14-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022915000035/0001000229-15-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022916000149/0001000229-16-000149-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022917000025/0001000229-17-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022918000025/0001000229-18-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000100022919000021/0001000229-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000156459020004075/0001564590-20-004075-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000156459021004561/0001564590-21-004561-index.htm,https://www.sec.gov/Archives/edgar/data/1000229/000095017022001087/0000950170-22-001087-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4200000,4000000,15400000,20000000,3400000,19200000,20600000,-9100000,18700000,12300000,31200000,82700000,121100000,143600000,113604000,144900000,184700000,216100000,242800000,257500000,114847000,63895000,83125000,79526000,101983000,-97637000,20219000
74,Depreciation and Amortization,3100000,4600000,11000000,16500000,18700000,19218000,22535000,20097000,23535000,17397000,17061000,17693000,19476000,21773000,24326000,23267000,23303000,22917000,25471000,26696000,27457000,26872000,24940000,23087000,22605000,20867000,18516000
75,Deferred Income Tax,- -,- -,- -,-5200000,-1800000,-911000,-17000,-1758000,-1653000,-2739000,81000,8063000,6101000,-1360000,25636000,-10135000,-6549000,3605000,6790000,4682000,-107000,-14385000,9015000,1832000,-36345000,-12216000,6012000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4741000,5896000,8517000,17165000,18381000,20526000,20470000,21279000,22079000,22942000,34194000,20879000,7394000,19093000
77,Change in Working Capital,-500000,3100000,30300000,9600000,28100000,30408000,15634000,-13753000,-20372000,-20984000,-544000,52943000,-13973000,23679000,137791000,-214162000,73386000,13044000,11696000,1861000,-52165000,-35351000,19971000,26021000,-18787000,-33545000,22175000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5025000,9990000,-22412000,-12082000,-16664000,-16312000,3486000,49261000,31584000,-18565000,2265000,-3191000,46421000,-13522000
79,Inventory,1000000,-900000,-1300000,-2800000,-12000000,-9299000,-2190000,6577000,4091000,-904000,-2988000,-4138000,1047000,-5576000,1847000,-2438000,-16033000,3224000,1291000,2894000,3049000,6219000,446000,-10403000,-3892000,1471000,-4547000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11701000,11969000,-3672000,-6339000,-3021000,-13353000,-1036000,8721000,-1752000,-3757000,-12838000,6568000
81,Other Working Capital,22200000,25300000,55600000,65200000,93300000,123708000,139342000,125589000,105217000,84233000,83689000,136632000,122659000,146338000,284129000,69967000,143353000,156397000,168093000,169954000,117789000,82438000,102409000,128430000,109643000,76098000,98273000
82,Other Non-Cash Items,900000,-2900000,-58600000,-34300000,-43900000,-60648000,-30434000,45497000,40668000,48222000,26980000,-41094000,-7009000,-37226000,-125380000,253445000,-87879000,-36845000,-9146000,-7760000,107789000,68777000,-35722000,-52833000,-808000,173005000,-49436000
83,Cash Provided by Operating Activities,7700000,8800000,-1900000,6600000,4500000,7267000,28318000,40983000,60878000,54196000,74778000,120305000,125695000,155207000,181873000,205832000,204126000,237202000,298137000,303449000,219100000,131887000,124271000,111827000,89527000,57868000,36579000
84,CAPEX,-2300000,-6300000,-15300000,-27000000,-19100000,-32845000,-29045000,-19136000,-22973000,-10888000,-19095000,-24681000,-24144000,-31304000,-17529000,-27802000,-30147000,-32799000,-38946000,-37440000,-24257000,-11704000,-19154000,-22931000,-22449000,-12378000,-13539000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-12810000,-7991000,-12970000,-1782000,- -,- -,-7338000,-11536000,- -,-9000000,-18821000,-878000,-98000,-1200000,-13774000,-1242000,- -,-47314000,17769000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1595000,- -,- -,-3283000,-6575000,-4310000,-2943000,-2515000,-2105000,-1276000,-1884000,- -,- -
87,Sales/Maturities of Investments,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101000,1385000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-8000000,-4300000,-76800000,9000000,29100000,4434000,1013000,1789000,-183000,18606000,2731000,1086000,11507000,-29572000,-16945000,-29581000,-33197000,-29944000,-37910000,-36556000,-22937000,-10964000,-18452000,-22049000,-21562000,7851000,-10223000
89,Cash Used for Investing Activites,-10300000,-10400000,-92100000,-18000000,10000000,-28411000,-40842000,-25338000,-36126000,5936000,-16364000,-23595000,-19975000,-41108000,-18540000,-38581000,-52018000,-34004000,-43198000,-42066000,-39654000,-14721000,-20557000,-70639000,-5677000,7851000,-10223000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61397000,- -,-82251000,-348564000,-112346000,-134046000,-128162000,-139656000,-316244000,-130000000,-114000000,-123000000,-102000000,-226000000
91,Common Stock Issued,- -,- -,- -,1700000,1900000,3141000,2960000,613000,1534000,8487000,8215000,71353000,18454000,- -,- -,- -,- -,- -,- -,- -,- -,197202000,- -,- -,- -,- -,60000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-9011000,-57968000,-51307000,-41446000,-251088000,-181819000,-31740000,-9389000,-92487000,-61825000,-175732000,-227216000,-264368000,-159709000,-7161000,-16909000,-7451000,-3308000,-2793000,-8256000
93,Dividends Paid,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27645000,-26675000,-39972000,-46027000,-52950000,-58642000,-89089000,-94235000,-95145000,-97143000,-97251000,-97574000,-12446000,-1834000
94,Other Financing Activites,4600000,-400000,101600000,5200000,-6400000,11938000,11501000,-6827000,33559000,-17507000,-27470000,123505000,29039000,17204000,17638000,294000,199760000,127724000,170827000,218498000,213298000,96452000,139974000,176230000,138008000,54234000,153631000
95,Cash Used/Provided by Financing Activities,4200000,-400000,101600000,6900000,-4500000,15079000,14461000,-15225000,-22875000,-60327000,-60701000,-56230000,-134326000,-103578000,-18426000,-214416000,-256656000,-213304000,-249077000,-263121000,-180302000,-124896000,-104078000,-42472000,-85874000,-63005000,-22459000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,9900000,-6065000,1937000,420000,1877000,-195000,-2287000,40480000,-28606000,10521000,144907000,-47165000,-104548000,-10106000,5862000,-1738000,-856000,-7730000,-364000,-1284000,-2024000,2714000,3897000
98,Cash at the End of Period,- -,- -,- -,- -,18100000,12918000,14456000,14876000,16753000,16030000,13743000,54223000,25617000,36138000,181045000,133880000,29332000,19226000,25088000,23350000,22494000,14764000,14400000,13116000,11092000,13806000,17703000
99,Cash at the Beginning of Period,2700000,4900000,2900000,12700000,8200000,18983000,12519000,14456000,14876000,16225000,16030000,13743000,54223000,25617000,36138000,181045000,133880000,29332000,19226000,25088000,23350000,22494000,14764000,14400000,13116000,11092000,13806000
100,Free Cash Flow,5400000,2500000,-17200000,-20400000,-14600000,-25578000,-727000,21847000,37905000,43308000,55683000,95624000,101551000,123903000,164344000,178030000,173979000,204403000,259191000,266009000,194843000,120183000,105117000,88896000,67078000,45490000,23040000
