,https://roic.ai/company/VRA,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
49,Short-Term Debt,5961000,5022000,83000,89000,58000,- -,- -,- -,- -,- -,- -,21347000,22321000,18699000
50,Tax Payable,- -,- -,10010000,1705000,7094000,1625000,- -,10085000,508000,812000,2163000,2113000,321000,9391000
51,Deferred Revenue,- -,- -,8743000,8010000,11348000,13094000,- -,11363000,13539000,5385000,6724000,7656000,- -,- -
52,Other Current Liabilities,15830000,25044000,29674000,24701000,26394000,14006000,30143000,30583000,16349000,21386000,22237000,38167000,28012000,28885000
53,Total Current Liabilities,37862000,49287000,68500000,60100000,52700000,54800000,63049000,66552000,62507000,40274000,43556000,87405000,77426000,82387000
54,Long-Term Debt,52864000,25114000,66900000,25100000,15000000,- -,- -,- -,- -,- -,- -,- -,91536000,80861000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,4205000,6078000,4643000,5297000,- -,13539000,5385000,- -,- -,- -,- -
57,Other Non-Current Liabilities,1258000,1458000,6300000,6095000,9322000,19757000,24467000,28872000,13677000,19727000,23889000,143886000,29918000,195000
58,Total Non-Current Liabilities,54122000,26572000,73200000,35400000,30400000,24400000,29764000,28872000,27216000,25112000,23889000,143886000,121454000,81056000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135122000,113857000,99560000
61,Total Liabilities,91984000,75859000,141700000,95500000,83100000,79200000,92813000,95424000,89723000,65386000,67445000,231291000,198880000,163443000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,57946000,77892000,-7600000,50300000,119200000,178000000,216451000,244009000,263767000,270783000,291994000,307414000,316526000,334364000
65,Other Comprehensive Income/Loss,-14430000,-24449000,-32800000,97000,-610000,-1008000,-15000,-43000,-50000,-114000,-24000,158000,8000,-29000
66,Other Total Stockholders Equity,14431000,24450000,104700000,73500000,76100000,78100000,147298000,41332000,20119000,14728000,2757000,- -,- -,- -
67,Total Stockholders Equity,57947000,77893000,64322000,124007000,194255000,255147000,284471000,285255000,283786000,285283000,294703000,303770000,314907000,327440000
68,Total Liabilities And Stockholders Equity,149931000,153752000,206022000,219507000,277355000,334347000,377284000,380679000,373509000,350669000,362148000,535061000,513787000,490883000
69,Minority Interest,- -,- -,-22000,-7000,-55000,53000,- -,- -,- -,- -,- -,- -,- -,30974000
70,Total Liabilities & Equity,149931000,153752000,206000000,219500000,277300000,334400000,377284000,380679000,373509000,350669000,362148000,535061000,513787000,521857000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1495320/000119312511086990/0001193125-11-086990-index.html,https://www.sec.gov/Archives/edgar/data/1495320/000119312512134680/0001193125-12-134680-index.html,https://www.sec.gov/Archives/edgar/data/1495320/000119312513138930/0001193125-13-138930-index.html,https://www.sec.gov/Archives/edgar/data/1495320/000149532014000011/0001495320-14-000011-index.html,https://www.sec.gov/Archives/edgar/data/1495320/000149532015000008/vra-20150131x10k.htm,https://www.sec.gov/Archives/edgar/data/1495320/000149532016000057/0001495320-16-000057-index.html,https://www.sec.gov/Archives/edgar/data/1495320/000149532017000009/0001495320-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1495320/000149532018000007/0001495320-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1495320/000149532019000010/0001495320-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1495320/000149532020000010/0001495320-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1495320/000149532021000016/0001495320-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1495320/000149532022000007/0001495320-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,23671000,43219000,46200000,57900000,68900000,58800000,38449000,27558000,19758000,7016000,20757000,16047000,8681000,17838000
74,Depreciation and Amortization,7347000,10666000,8400000,9500000,10800000,15100000,15216000,19418000,19516000,19570000,16540000,23806000,43620000,29836000
75,Deferred Income Tax,- -,- -,-5400000,1600000,-1400000,-3200000,428000,-3340000,-2176000,8154000,-1497000,-864000,4126000,-327000
76,Stock Based Compensation,- -,- -,15889000,1591000,2763000,2950000,3513000,5027000,4032000,3071000,4927000,5940000,5651000,4930000
77,Change in Working Capital,18783000,-1260000,30762000,14200000,39400000,48000000,11048000,-17558000,5980000,8679000,7163000,-77528000,50873000,18984000
78,Accounts Receivable,10644000,-1230000,-3543000,-4350000,2745000,7246000,-2052000,-435000,7542000,7322000,438000,-1013000,-5579000,6761000
79,Inventory,2858000,-2059000,-30182000,-10199000,-25088000,-5682000,38520000,-15187000,11307000,14445000,-3994000,-12645000,-17810000,-3465000
80,Accounts Payable,4541000,3150000,10791000,-2736000,-12423000,12892000,2873000,-8665000,9001000,-18214000,738000,-615000,7353000,3210000
81,Other Working Capital,62498000,61238000,92000000,106200000,145600000,193600000,204648000,187090000,193070000,201749000,208912000,131384000,182257000,201241000
82,Other Non-Cash Items,386000,13381000,-37351000,-33291000,-68963000,-33750000,35158000,12165000,18076000,-3848000,-4326000,53223000,-92249000,-31400000
83,Cash Provided by Operating Activities,50187000,66006000,58500000,51500000,51500000,87900000,103812000,43270000,65186000,42642000,43564000,20624000,20702000,39861000
84,CAPEX,-14949000,-5844000,-11365000,-18836000,-35893000,-22862000,-37128000,-26322000,-20778000,-11822000,-8148000,-13317000,-5743000,-5489000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-76032000,993000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-30870000,-24959000,-93438000,-75525000,-30291000,-851000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,45716000,85559000,38333000,23281000,1290000
88,Other Investing Activites,-1500000,- -,1465000,36000,-7000,-38000,- -,30870000,-5033000,7940000,16069000,11341000,- -,45000
89,Cash Used for Investing Activites,-16449000,-5844000,-9900000,-18800000,-35900000,-22900000,-37128000,-26322000,-50770000,-51604000,17955000,-69966000,17680000,-4154000
90,Debt Repayment,-154530000,-58525000,-68923000,-76200000,-106000000,-45000000,- -,9302000,24824000,-123000,-160000,- -,-60000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,56000000,- -,- -,- -,-12841000,-30870000,-24959000,-7908000,-16064000,-11341000,-3077000,-7742000
93,Dividends Paid,- -,- -,-132800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,121516000,4096000,104523000,34400000,95200000,29700000,-763000,-9963000,-25580000,-618000,-547000,-2944000,38931000,-3671000
95,Cash Used/Provided by Financing Activities,-33014000,-54429000,-41200000,-41800000,-10800000,-15300000,-13604000,-31531000,-25715000,-8649000,-16771000,-14285000,-24146000,-11413000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-100000,-100000,-3000,-28000,-7000,-13000,-6000,51000,22000,-33000
97,Net Change In Cash,724000,5733000,7400000,-9000000,4700000,49600000,53077000,-14611000,-11306000,-17624000,44742000,-63576000,14258000,24261000
98,Cash at the End of Period,776000,6509000,13900000,5000000,9600000,59200000,112292000,97681000,86375000,68751000,113493000,49917000,64175000,88436000
99,Cash at the Beginning of Period,52000,776000,6500000,14000000,4900000,9600000,59215000,112292000,97681000,86375000,68751000,113493000,49917000,64175000
100,Free Cash Flow,35238000,60162000,47100000,32700000,15600000,65000000,66684000,16948000,44408000,30820000,35416000,7307000,14959000,34372000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1495320/000119312511086990/0001193125-11-086990-index.html,https://www.sec.gov/Archives/edgar/data/1495320/000119312512134680/0001193125-12-134680-index.html,https://www.sec.gov/Archives/edgar/data/1495320/000119312513138930/0001193125-13-138930-index.html,https://www.sec.gov/Archives/edgar/data/1495320/000149532014000011/0001495320-14-000011-index.html,https://www.sec.gov/Archives/edgar/data/1495320/000149532015000008/vra-20150131x10k.htm,https://www.sec.gov/Archives/edgar/data/1495320/000149532016000057/0001495320-16-000057-index.html,https://www.sec.gov/Archives/edgar/data/1495320/000149532017000009/0001495320-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1495320/000149532018000007/0001495320-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1495320/000149532019000010/0001495320-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1495320/000149532020000010/0001495320-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1495320/000149532021000016/0001495320-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1495320/000149532022000007/0001495320-22-000007-index.htm
102,false,,,,,,,,,,,,,,
