,https://roic.ai/company/DS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,4475000,30354000,51531000,53434000,73082000,134669000,226674000,348516000,530006000,680551000,468867000,361866000,300272000,292296000,310459000,213715000,127627000,95891000,91291000,23162000,1794000,955000,565000,- -
13,Interest Expense (Gain),- -,19741000,33986000,61332000,49527000,81561000,138847000,226446000,374269000,476988000,307303000,218410000,172219000,138035000,109924000,90973000,80022000,62129000,52868000,19581000,16639000,8760000,10968000,-10698000
14,Depreciation and Amortization,452000,- -,- -,13996000,3836000,-676000,4151000,-1827000,-14280000,1412000,637000,295000,262000,312000,7451000,30973000,117594000,28645000,36750000,34868000,30669000,29621000,35312000,24018000
15,EBITDA,11092000,32040000,76846000,118999000,84858000,137003000,241413000,341895000,487912000,412943000,-2677412000,8801000,794143000,397794000,551485000,275459000,231070000,112966000,166886000,13213000,8909000,-15832000,-8369000,-15213000
16,EBITDA ratio,2.4787,3.0189,4.3799,1.3169,1.4601,1.5484,2.0236,2.1681,2.6473,1.7979,-15.7754,0.0567,1.2678,1.7763,1.2494,0.9485,0.5688,0.3306,0.5584,0.0452,0.0283,-0.0582,-0.0380,-0.0540
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39174000,-44911000,-26434000,-67284000,-36635000,-20624000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.1311,-0.1535,-0.0841,-0.2473,-0.1665,-0.0732
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39236000,- -,- -,- -,116699000,3675000,-11965000,13071000,-18014000,-7909000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,115168000,- -,- -,- -,- -,- -,- -,434178000,121109000,67791000,21253000,77525000,-41236000,-38399000,-54213000,-54649000,-28533000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,0.7303,- -,- -,- -,- -,- -,- -,0.9836,0.4170,0.1669,0.0622,0.2594,-0.1409,-0.1221,-0.1993,-0.2484,-0.1012
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,321000,- -,- -,- -,- -,- -,- -,- -,2100000,208000,345000,189000,965000,284000,641000,1705000,1779000
23,Net Income,10640000,12299000,42860000,43671000,31495000,56118000,98415000,116955000,127923000,-65457000,-2985352000,-209904000,621662000,259447000,434110000,151413000,33246000,21847000,77079000,-42201000,-38683000,-54854000,-56354000,-30312000
24,Net Income ratio,2.3777,1.1589,2.4429,0.4833,0.5419,0.6343,0.8249,0.7416,0.6941,-0.2850,-17.5898,-1.3529,0.9924,1.1586,0.9835,0.5214,0.0818,0.0639,0.2579,-0.1442,-0.1230,-0.2016,-0.2562,-0.1075
25,EPS,3.06,4.48,10.42,14.94,10.08,11.88,15.00,15.18,16.08,-9.12,-340.86,-25.38,65.76,18.54,17.82,3.18,0.45,0.24,1.07,-0.71,-0.66,-0.90,-0.92,-0.41
26,EPS Diluted,3.06,3.54,10.42,14.94,10.06,11.76,14.76,15.06,16.02,-9.12,-340.86,-25.38,65.76,18.54,17.64,3.06,0.44,0.24,1.04,-0.71,-0.66,-0.90,-0.92,-0.41
27,Weighted Average Shares Outstanding,3476996,2748083,3914748,2748781,3013379,4316377,6157285,7278578,7378088,8561572,8797542,8810656,9991461,13663981,24024370,46146836,61500913,66479321,66709925,66903457,66993543,67039556,67158745,89733378
28,Weighted Average Shares Outstanding Diluted,3476996,3486163,3914748,2748781,3015005,4356791,6259625,7330933,7402844,8561572,8797542,8810656,9991461,13665035,24294377,47218226,63131227,68647915,68788440,66903457,66993543,67039556,67158745,89733378
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1175483/000095012303002271/0000950123-03-002271-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1175483/000114420406010341/v037878_10k.htm,https://www.sec.gov/Archives/edgar/data/1175483/000114420407009943/v066848_10-k.htm,https://www.sec.gov/Archives/edgar/data/1175483/000095013608001023/file1.htm,https://www.sec.gov/Archives/edgar/data/1175483/000119312509055546/0001193125-09-055546-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000119312510035302/0001193125-10-035302-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000119312511054933/d10k.htm,https://www.sec.gov/Archives/edgar/data/1175483/000119312512117425/0001193125-12-117425-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000138713113000570/0001387131-13-000570-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000138713114000720/nct-10k_123113.htm,https://www.sec.gov/Archives/edgar/data/1175483/000117548315000002/nct-20141231x10xk.htm,https://www.sec.gov/Archives/edgar/data/1175483/000117548316000010/0001175483-16-000010-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000117548317000003/0001175483-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000117548318000004/0001175483-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000117548319000004/0001175483-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000117548320000005/0001175483-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000117548321000005/0001175483-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1175483/000117548322000002/0001175483-22-000002-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,75596000,14345000,10575000,31360000,45463000,60403000,37911000,21275000,5371000,55916000,49746000,68300000,33524000,157356000,231898000,105944000,73727000,53088000,140140000,167692000,79235000,28423000,47786000,58286000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1691575000,984263000,231754000,59034000,629254000,2294000,2953000,3052000,3223000,- -
33,Cash and Short-Term Investments,75596000,14345000,10575000,31360000,45463000,60403000,37911000,21275000,5371000,55916000,49746000,68300000,33524000,157356000,1923473000,1090207000,305481000,112122000,769394000,169986000,82188000,31475000,51009000,58286000
34,Net Receivables,- -,- -,- -,47175000,16036000,27943000,35290000,38302000,52031000,64372000,47727000,39481000,30663000,26860000,17230000,252071000,35574000,372372000,66139000,8927000,7518000,10675000,7682000,5563000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4496000,4722000,2855000,2762000,1950000,- -
36,Other Current Assets,- -,- -,- -,- -,261701000,615654000,694299000,664523000,871998000,638712000,409627000,383619000,293013000,1984000,-1691403000,-1060278000,-232266000,-53613000,29950000,23877000,96838000,29384000,11476000,37000000
37,Total Current Assets,- -,- -,- -,- -,323200000,704000000,767500000,724100000,929400000,759000000,507100000,491400000,357200000,186200000,249300000,282000000,108789000,430881000,869979000,207512000,189399000,74296000,72117000,100849000
38,PP&E,383073000,558849000,540539000,524834000,117123000,132399000,69569000,16673000,29626000,34399000,- -,9966000,8776000,7741000,- -,270188000,- -,- -,217611000,241258000,132605000,394949000,362253000,361175000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126686000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19086000,345125000,84686000,74472000,65112000,57276000,48388000,17565000,15124000,13430000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19086000,471811000,84686000,74472000,65112000,57276000,48388000,17565000,15124000,13430000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193000,- -,- -,- -,- -,- -,20595000,19256000,21135000,22613000,24020000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,1132244000,2696682000,4095631000,5468926000,7645366000,7244371000,2966500000,3013041000,3321124000,3457858000,3676914000,3828564000,1568431000,942034000,- -,9467000,8942000,5161000,7560000,7336000
45,Total Non-Current Assets,- -,- -,- -,- -,1249367000,2829081000,4165200000,5485599000,7674992000,7278770000,2966500000,3023200000,3329900000,3465599000,3696000000,4570563000,1653117000,1037101000,301979000,329136000,212548000,441695000,384937000,381941000
46,Other Assets,765650000,1381600000,1331671000,1276473000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,765650000,1381600000,1331671000,1276473000,1572567000,3533081000,4932700000,6209699000,8604392000,8037770000,3473600000,3514600000,3687100000,3651799000,3945300000,4852563000,1761906000,1467982000,1171958000,536648000,401947000,515991000,457054000,482790000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000,390417000,179390000,189884000,26249000,36797000,45284000,25877000,29596000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4356000,200377000,- -,334514000,161857000,200000,- -,4652000,5489000,23076000,26364000,51174000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125147000,39940000,27654000,37059000,37702000,26301000
52,Other Current Liabilities,- -,- -,- -,- -,319500000,784900000,605200000,1147500000,2195700000,1932900000,728500000,389600000,254544000,250623000,1071141000,32769000,153707000,380211000,635994000,22596000,25232000,7046000,8323000,31808000
53,Total Current Liabilities,- -,- -,- -,- -,319500000,784900000,605200000,1147500000,2195700000,1932900000,728500000,389600000,258900000,451000000,1071200000,757700000,494954000,570295000,787390000,103985000,103659000,93058000,101985000,109283000
54,Long-Term Debt,- -,- -,- -,895933000,968838000,2208769000,3530776000,4164155000,5600636000,5757332000,5238727000,4868895000,3323286000,2454853000,1852326000,2309086000,712190000,541126000,166501000,163313000,61689000,51392000,51382000,166031000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88205000,- -,93453000,96700000,102088000,109815000,10005000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,-38000,31000,24000,-19955000,-193936000,-100132000,-100027000,-103195000,352514000,553847000,-51226000,620914000,296470000,57977000,- -,4846000,5232000,203878000,183835000,166166000
58,Total Non-Current Liabilities,- -,- -,- -,895933000,968800000,2208800000,3530800000,4144200000,5406700000,5657200000,5138700000,4765700000,3675800000,3008700000,1801100000,2930000000,1008660000,687308000,166501000,261612000,163621000,357358000,345032000,342202000
59,Other Liabilities,380726000,1026927000,1031016000,1824570000,1937626000,4417618000,7061605000,- -,10813412000,11314445000,- -,- -,- -,6017410000,- -,- -,2017667000,1374873000,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161857000,11058000,115284000,4652000,5489000,223676000,206752000,- -
61,Total Liabilities,380726000,1026927000,1031016000,928637000,1288326000,2993718000,4136005000,5291696000,7602412000,7590145000,5867155000,5155280000,3934696000,3459710000,2872252000,3626439000,1503961000,1257860000,953891000,365597000,267280000,450416000,447017000,451485000
62,Preferred Stock,- -,- -,- -,- -,- -,62500000,62500000,102500000,102500000,152500000,152500000,152500000,61583000,61583000,61583000,61583000,61583000,61583000,61583000,61583000,61583000,61583000,61583000,- -
63,Common Stock,- -,- -,- -,165000,235000,314000,399000,439000,457000,528000,528000,529000,620000,1052000,1725000,3515000,664000,667000,668000,670000,670000,671000,673000,921000
64,Retained Earnings,- -,- -,- -,-7767000,-13966000,-14670000,-13969000,-13235000,-10848000,-236213000,-3272403000,-2193383000,-1328987000,-1073252000,-771095000,-1947913000,-3041880000,-3057538000,-3018072000,-3065853000,-3105307000,-3175572000,-3232391000,-3267426000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,7037000,39413000,71770000,45564000,75984000,-502516000,-307573000,-633818000,-46178000,-73086000,70764000,76874000,65865000,33297000,1168000,1370000,1878000,1710000,1468000,1163000
66,Other Total Stockholders Equity,384924000,354673000,300655000,355438000,290935000,451806000,676015000,782735000,833887000,1033326000,1033416000,1033520000,1065377000,1275792000,1710083000,2970786000,3172060000,3172370000,3172720000,3173281000,3175843000,3177183000,3178704000,3296647000
67,Total Stockholders Equity,384924000,354673000,300655000,347836000,284241000,539363000,796715000,918003000,1001980000,447625000,-2393532000,-1640652000,-247585000,192089000,1073060000,1164845000,258292000,210379000,218067000,171051000,134667000,65575000,10037000,31305000
68,Total Liabilities And Stockholders Equity,765650000,1381600000,1331671000,1276473000,1572567000,3533081000,4932720000,6209699000,8604392000,8037770000,3473623000,3514628000,3687111000,3651799000,3945312000,4791284000,1762253000,1468239000,1171958000,536648000,401947000,515991000,457054000,482790000
69,Minority Interest,- -,- -,- -,- -,- -,- -,-20000,- -,- -,- -,-23000,-28000,-11000,- -,-12000,61279000,-347000,-257000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,765650000,1381600000,1331671000,1276473000,1572567000,3533081000,4932700000,6209699000,8604392000,8037770000,3473600000,3514600000,3687100000,3651799000,3945300000,4852563000,1761906000,1467982000,1171958000,536648000,401947000,515991000,457054000,482790000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1175483/000095012303002271/0000950123-03-002271-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1175483/000114420406010341/v037878_10k.htm,https://www.sec.gov/Archives/edgar/data/1175483/000114420407009943/v066848_10-k.htm,https://www.sec.gov/Archives/edgar/data/1175483/000095013608001023/file1.htm,https://www.sec.gov/Archives/edgar/data/1175483/000119312509055546/0001193125-09-055546-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000119312510035302/0001193125-10-035302-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000119312511054933/d10k.htm,https://www.sec.gov/Archives/edgar/data/1175483/000119312512117425/0001193125-12-117425-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000138713113000570/0001387131-13-000570-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000138713114000720/nct-10k_123113.htm,https://www.sec.gov/Archives/edgar/data/1175483/000117548315000002/nct-20141231x10xk.htm,https://www.sec.gov/Archives/edgar/data/1175483/000117548316000010/0001175483-16-000010-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000117548317000003/0001175483-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000117548318000004/0001175483-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000117548319000004/0001175483-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000117548320000005/0001175483-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000117548321000005/0001175483-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1175483/000117548322000002/0001175483-22-000002-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,10640000,12299000,42860000,43671000,31495000,56118000,98415000,116955000,127923000,-65457000,-2985352000,-209904000,621662000,259447000,434110000,151413000,33246000,21847000,77079000,-42201000,-38683000,-54854000,-56354000,-30312000
74,Depreciation and Amortization,452000,- -,- -,13996000,3836000,-676000,4151000,-1827000,-14280000,1412000,637000,295000,262000,312000,7451000,30973000,117594000,28645000,36750000,34868000,30669000,29621000,35312000,24018000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,280000,350000,321000,313000,- -,- -,2304000,1317000,1523000,- -
77,Change in Working Capital,- -,- -,- -,- -,3700000,-84600000,243200000,-585700000,-842900000,92400000,952500000,323200000,-3500000,-363100000,-557100000,346200000,89535000,246751000,222003000,20938000,-17787000,-104502000,-11106000,21434000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2159000,3075000,2727000,1418000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28571000,34089000,23839000,7335000,18223000,- -
81,Other Working Capital,- -,- -,- -,- -,3700000,-80900000,162300000,-423400000,-1266300000,-1173900000,-221400000,101800000,98300000,-264800000,-821900000,-475700000,-386165000,-139414000,82589000,103527000,85740000,-18762000,-29868000,-8434000
82,Other Non-Cash Items,-18322000,20535000,-18037000,-23219000,-17474000,66750000,-267876000,569335000,745579000,-34865000,2150389000,-29428000,-569578000,160372000,212593000,-422750000,-200316000,-300197000,-332454000,-24760000,16295000,100300000,29300000,-15140000
83,Cash Provided by Operating Activities,-7230000,32834000,24823000,34448000,21557000,37592000,77890000,98763000,16322000,-6510000,118174000,84163000,48846000,57031000,97334000,106186000,40380000,-2641000,3378000,-11155000,-7202000,-28118000,-1325000,- -
84,CAPEX,- -,- -,- -,-4495000,-2250000,-576000,-141000,-182000,-1585000,-2964000,-603000,- -,- -,650000,-185982000,-1636985000,-315454000,-7637000,-12571000,-34292000,-62352000,-74868000,-10675000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60654000,- -,- -,- -,-343000,-7000,-24000,- -,- -
86,Purchases of Investments,- -,- -,- -,-7680000,-743295000,-1519892000,-1507073000,-1520730000,-1295067000,-448684000,-67733000,-13410000,-15453000,-333895000,-1015566000,-1798008000,-405293000,-1409693000,-3086654000,-4669000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,10274000,291921000,360878000,193246000,60254000,318007000,237892000,1428524000,140937000,31288000,163432000,197431000,164533000,1044027000,1553671000,2946585000,695870000,- -,- -,- -,- -
88,Other Investing Activites,-638844000,-683420000,151632000,103459000,-231317000,-493668000,-5872000,125730000,-985998000,244764000,331921000,78904000,59397000,-55672000,-259019000,-1232602000,-318878000,49137000,- -,-33451000,88288000,-11969000,-10675000,- -
89,Cash Used for Investing Activites,-638844000,-683420000,151632000,106053000,-682691000,-1652682000,-1319699000,-1334746000,-1963058000,33972000,1692712000,206431000,75232000,-226135000,-1077154000,-2926731000,319856000,193115000,-152640000,656566000,25929000,-11993000,24942000,- -
90,Debt Repayment,- -,- -,- -,-127169000,-147313000,-7319000,-161770000,-558580000,-952492000,-3570349000,-2055041000,-149123000,-153393000,-306105000,-78191000,-72379000,-831042000,-2135719000,-2788183000,-606568000,-107790000,-7440000,-5591000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211567000,435821000,1264769000,198702000,- -,- -,- -,258000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16001000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-34796000,-27522000,-49280000,-88489000,-113097000,-121493000,-152752000,-91087000,- -,-19484000,-32077000,-109776000,-171569000,-150879000,-37477000,-37591000,-13599000,-5580000,-5580000,-1395000,- -
94,Other Financing Activites,721670000,589335000,-180225000,42249000,850072000,1686629000,1469576000,1891024000,3004817000,3746184000,329072000,-122917000,30024000,419551000,806508000,1673770000,390901000,1954511000,3069525000,2308000,3516000,2276000,2238000,- -
95,Cash Used/Provided by Financing Activities,721670000,589335000,-180225000,-119716000,675237000,1630030000,1219317000,1219347000,1930832000,23083000,-1817056000,-272040000,-158854000,292936000,1054362000,2694591000,-392318000,-218685000,243751000,-617859000,-109596000,-10744000,-4748000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,20785000,14103000,14940000,-22492000,-16636000,-15904000,50545000,-6170000,18554000,-34776000,123832000,74542000,-125954000,-32082000,-28211000,- -,27552000,-90869000,-50855000,18869000,- -
98,Cash at the End of Period,- -,- -,- -,31360000,45463000,60403000,37911000,21275000,5371000,55916000,49746000,68300000,33524000,157356000,231898000,105944000,73862000,45651000,140140000,167692000,82819000,31964000,50833000,- -
99,Cash at the Beginning of Period,- -,- -,- -,10575000,31360000,45463000,60403000,37911000,21275000,5371000,55916000,49746000,68300000,33524000,157356000,231898000,105944000,73862000,- -,140140000,173688000,82819000,31964000,50833000
100,Free Cash Flow,-7230000,32834000,24823000,29953000,19307000,37016000,77749000,98581000,14737000,-9474000,117571000,84163000,48846000,54763000,-124498000,106186000,36956000,-2641000,-9193000,-45447000,-69554000,-102986000,-12000000,- -
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1175483/000095012303002271/0000950123-03-002271-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1175483/000114420406010341/v037878_10k.htm,https://www.sec.gov/Archives/edgar/data/1175483/000114420407009943/v066848_10-k.htm,https://www.sec.gov/Archives/edgar/data/1175483/000095013608001023/file1.htm,https://www.sec.gov/Archives/edgar/data/1175483/000119312509055546/0001193125-09-055546-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000119312510035302/0001193125-10-035302-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000119312511054933/d10k.htm,https://www.sec.gov/Archives/edgar/data/1175483/000119312512117425/0001193125-12-117425-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000138713113000570/0001387131-13-000570-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000138713114000720/nct-10k_123113.htm,https://www.sec.gov/Archives/edgar/data/1175483/000117548315000002/nct-20141231x10xk.htm,https://www.sec.gov/Archives/edgar/data/1175483/000117548316000010/0001175483-16-000010-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000117548317000003/0001175483-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000117548318000004/0001175483-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000117548319000004/0001175483-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000117548320000005/0001175483-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1175483/000117548321000005/0001175483-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1175483/000117548322000002/0001175483-22-000002-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
