,https://roic.ai/company/OIS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0720,-0.0648,0.1101,0.1084,0.1205,0.1196,0.1285,0.1497,0.1857,0.1777,0.1693,0.1132,0.1578,0.2011,0.2095,0.3353,0.2144,0.1713,0.0731,0.0521,0.1113,-0.0978,-0.6606,0.0309
17,Operating Income,25833000,-240000,27818000,55696000,54560000,65167000,95116000,194561000,297937000,297786000,383755000,118729000,255582000,507523000,683780000,512294000,310255000,55006000,-69283000,-73872000,-5876000,-228180000,-534340000,-64792000
18,Operating Income ratio,0.0720,-0.0016,0.0913,0.0830,0.0884,0.0900,0.0980,0.1270,0.1549,0.1426,0.1302,0.0563,0.1060,0.1459,0.1549,0.1919,0.1705,0.0500,-0.0998,-0.1102,-0.0054,-0.2243,-0.8374,-0.1130
19,Total Other Income Expenses (Gains),-15186000,-10601000,-15594000,-10182000,-3531000,-6513000,-6348000,-12054000,3710000,2572000,-4696000,-13020000,-14954000,-52454000,-56885000,-75953000,-113911000,-4438000,-4042000,-3540000,-15856000,-12547000,11000,-8542000
20,Income Before Tax,10647000,-10841000,12224000,45514000,51029000,58654000,88768000,182507000,301647000,300358000,379059000,105709000,240628000,455069000,626895000,436341000,196344000,50568000,-73325000,-77412000,-21732000,-240727000,-534329000,-73334000
21,Income Before Tax Ratio,0.0297,-0.0702,0.0401,0.0678,0.0827,0.0810,0.0914,0.1192,0.1568,0.1438,0.1286,0.0501,0.0998,0.1308,0.1421,0.1634,0.1079,0.0460,-0.1056,-0.1154,-0.0200,-0.2366,-0.8374,-0.1279
22,Income Tax expense (Gain),9745000,1145000,10776000,2054000,11357000,14222000,29406000,60694000,104013000,96986000,156349000,46097000,72023000,131647000,177047000,119992000,69117000,22197000,-26939000,7438000,-2627000,-8919000,-65946000,-9341000
23,Net Income,- -,-18628000,1448000,42676000,39676000,44432000,59362000,121813000,197634000,203372000,222710000,59114000,168018000,322453000,448609000,421258000,179003000,28597000,-46390000,-84850000,-19105000,-231808000,-468383000,-63993000
24,Net Income ratio,- -,-0.1207,0.0048,0.0636,0.0643,0.0614,0.0611,0.0795,0.1028,0.0974,0.0755,0.0280,0.0697,0.0927,0.1017,0.1578,0.0984,0.0260,-0.0668,-0.1265,-0.0176,-0.2279,-0.7341,-0.1116
25,EPS,0.17,-0.89,0.05,0.94,0.82,0.92,1.20,2.47,3.99,4.11,4.49,1.19,3.34,6.30,8.47,7.58,3.33,0.56,-0.92,-1.69,-0.33,-3.90,-7.83,-1.06
26,EPS Diluted,0.17,-0.89,0.04,0.93,0.81,0.90,1.19,2.41,3.89,3.99,4.33,1.18,3.19,5.86,8.10,7.53,3.31,0.56,-0.92,-1.69,-0.33,-3.90,-7.83,-1.06
27,Weighted Average Shares Outstanding,22414000,22362000,24482000,45263000,48286000,48529000,49329000,49344000,49519000,49500000,49622000,49625000,50238000,51163000,52959000,55572000,52862000,50269000,50174000,50139000,58712000,59379000,59812000,60293000
28,Weighted Average Shares Outstanding Diluted,22435000,22362000,26471000,46045000,48890000,49215000,50027000,50479000,50773000,50911000,51414000,50219000,52700000,55007000,55384000,55930000,53151000,50335000,50174000,50139000,58712000,59379000,59812000,60293000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1121484/000095012903001353/0000950129-03-001353-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1121484/000095012906002167/h33509e10vk.htm,https://www.sec.gov/Archives/edgar/data/1121484/000095012907001031/h43951e10vk.htm,https://www.sec.gov/Archives/edgar/data/1121484/000095012908001117/h53194e10vk.htm,https://www.sec.gov/Archives/edgar/data/1121484/000095012909000475/0000950129-09-000475-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000095012310015200/0000950123-10-015200-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000095012311016353/h78391e10vk.htm,https://www.sec.gov/Archives/edgar/data/1121484/000119312512067771/0001193125-12-067771-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000143774913001751/0001437749-13-001751-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000143774914002719/ois20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1121484/000143774915003226/ois20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1121484/000143774916025723/0001437749-16-025723-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000143774917002773/0001437749-17-002773-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000112148418000022/0001121484-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000112148419000039/0001121484-19-000039-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000112148420000042/0001121484-20-000042-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000112148421000046/0001121484-21-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1121484/000112148422000024/0001121484-22-000024-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6034000,1537000,4821000,4982000,11118000,19318000,19740000,15298000,28396000,30592000,30199000,89742000,96350000,71721000,253172000,599306000,53263000,35973000,68800000,53459000,19316000,8493000,72011000,52852000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6034000,1537000,4821000,4982000,11118000,19318000,19740000,15298000,28396000,30592000,30199000,89742000,96350000,71721000,253172000,599306000,53263000,35973000,68800000,53459000,19316000,8493000,72011000,52852000
34,Net Receivables,- -,39153000,64137000,116790000,116875000,137484000,198297000,274070000,351701000,450153000,575982000,385816000,478739000,732240000,832785000,620333000,497124000,333494000,234943000,222066000,293136000,233487000,163135000,186080000
35,Inventory,- -,25566000,30826000,76917000,118338000,121319000,209825000,360926000,386182000,349347000,612488000,423077000,501435000,653698000,701496000,266552000,232490000,212882000,175490000,168285000,209393000,221342000,170376000,168573000
36,Other Current Assets,- -,1433000,1715000,3932000,9475000,9956000,7322000,13450000,17710000,35575000,18815000,26933000,23480000,32000000,38639000,39716000,43789000,29124000,10744000,12127000,12186000,20107000,18071000,19222000
37,Total Current Assets,- -,67689000,101499000,202621000,255806000,288077000,435184000,663744000,783989000,865667000,1237484000,925568000,1100004000,1489659000,1826092000,1525907000,826666000,611473000,489977000,455937000,534031000,483429000,423593000,426727000
38,PP&E,138374000,42430000,143468000,150090000,167146000,194136000,227343000,310452000,358716000,586910000,695338000,749601000,1252657000,1557088000,1852126000,1902789000,649846000,638725000,553402000,498890000,540427000,503340000,416702000,363971000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,331804000,391644000,305441000,218740000,475222000,467450000,520818000,513650000,252201000,263787000,263369000,268009000,647018000,482306000,76489000,76412000
40,Intangible Assets,- -,45593000,103391000,172235000,213051000,224054000,258046000,339703000,- -,- -,- -,- -,139421000,127602000,146103000,133531000,52935000,59385000,52746000,50265000,255301000,230091000,205749000,185749000
41,Intangible Assets,- -,45593000,103391000,172235000,213051000,224054000,258046000,339703000,331804000,391644000,305441000,218740000,614643000,595052000,666921000,647181000,305136000,323172000,316115000,318274000,902319000,712397000,282238000,262161000
42,Investments,- -,- -,- -,- -,- -,- -,- -,2000000,38000000,25000000,5899000,5164000,5937000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,519000,761000,685000,1280000,1878000
44,Other Non-Current Assets,- -,2006000,5160000,4937000,8213000,10919000,13039000,26973000,58585000,60405000,55085000,33313000,42758000,61842000,94823000,55384000,27964000,25768000,24404000,27891000,26283000,28016000,28447000,31011000
45,Total Non-Current Assets,- -,90029000,252019000,327262000,388410000,429109000,498428000,679128000,787105000,1063959000,1061763000,1006818000,1915995000,2213982000,2613870000,2605354000,982946000,987665000,893921000,845574000,1469790000,1244438000,728667000,659021000
46,Other Assets,499025000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,499025000,157718000,353518000,529883000,644216000,717186000,933612000,1342872000,1571094000,1929626000,2299247000,1932386000,3015999000,3703641000,4439962000,4131261000,1809612000,1599138000,1383898000,1301511000,2003821000,1727867000,1152260000,1085748000
48,Accounts Payable,- -,11288000,57248000,86174000,84049000,89243000,159265000,214504000,142204000,186357000,371789000,208541000,304739000,252209000,279933000,149079000,108949000,59116000,34207000,49089000,77511000,78368000,46433000,63343000
49,Short-Term Debt,- -,- -,- -,3894000,913000,873000,228000,3901000,6873000,4718000,4943000,464000,181175000,34435000,30480000,529000,530000,533000,538000,411000,25561000,25617000,25398000,24743000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9720000,7694000
51,Deferred Revenue,- -,- -,- -,- -,8949000,4784000,25420000,34046000,58645000,60910000,105640000,87412000,60847000,75497000,66311000,50366000,48948000,36655000,21315000,18234000,14160000,17761000,43384000,43236000
52,Other Current Liabilities,- -,41913000,43858000,4776000,2631000,3957000,8117000,10246000,72694000,52926000,54133000,18806000,7414000,112808000,141808000,173862000,112985000,57896000,51172000,47536000,63802000,61325000,46917000,45965000
53,Total Current Liabilities,- -,53201000,101106000,94844000,96542000,98857000,193030000,262697000,280416000,304911000,536505000,315223000,554175000,474949000,518532000,373836000,271412000,154200000,107232000,115270000,181034000,183071000,162132000,177287000
54,Long-Term Debt,- -,52542000,102614000,73939000,133292000,136246000,173887000,402109000,391729000,487102000,474948000,164074000,731732000,1142505000,1279805000,972692000,146835000,128554000,45388000,4870000,306177000,222552000,194925000,183940000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,704000,19977000,8436000,18303000,19411000,28871000,35259000,38020000,40550000,55646000,55332000,81198000,97377000,129235000,122821000,33913000,40497000,5036000,24718000,53831000,38079000,14263000,3637000
57,Other Non-Current Liabilities,- -,12338000,10418000,8316000,8500000,7561000,7800000,8823000,21093000,12236000,13155000,15691000,19961000,25538000,46590000,36618000,16795000,20215000,21935000,23940000,23011000,60198000,23309000,25058000
58,Total Non-Current Liabilities,- -,65584000,133009000,90691000,160095000,163218000,210558000,446191000,450842000,539888000,543749000,235097000,832891000,1265420000,1455630000,1132131000,197543000,189266000,72359000,53528000,383019000,320829000,232497000,212635000
59,Other Liabilities,425381000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44088000,36786000,29933000
61,Total Liabilities,425381000,118785000,234115000,185535000,256637000,262075000,403588000,708888000,731258000,844799000,1080254000,550320000,1387066000,1740369000,1974162000,1505967000,468955000,343466000,179591000,168798000,564053000,503900000,394629000,389922000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,224000,272000,483000,485000,492000,496000,504000,511000,522000,526000,531000,541000,548000,585000,592000,610000,617000,623000,627000,718000,726000,733000,739000
64,Retained Earnings,- -,-38701000,-25854000,24710000,64386000,108818000,168180000,289993000,487627000,690713000,913423000,960115000,1128133000,1450586000,1899195000,2320453000,1151266000,1179863000,1133473000,1048623000,1029518000,797710000,329327000,281567000
65,Other Comprehensive Income/Loss,- -,- -,-52649000,-71534000,-92220000,-123458000,-153001000,23000000,30000000,73000000,-28000000,44000000,85000000,74000000,107000000,-86000000,-22000000,-51000000,-70000000,-58000000,-71000000,-68000000,-71385000,-66031000
66,Other Total Stockholders Equity,73644000,77185000,134780000,390538000,414928000,469259000,514349000,320487000,321698000,320592000,333044000,376202000,414232000,437022000,457625000,388372000,210781000,126192000,140211000,141463000,480532000,493531000,498956000,- -
67,Total Stockholders Equity,73644000,38708000,56549000,344197000,387579000,455111000,530024000,633984000,839836000,1084827000,1218993000,1380848000,1627906000,1962156000,2464405000,2623417000,1340657000,1255672000,1204307000,1132713000,1439768000,1223967000,757631000,695826000
68,Total Liabilities And Stockholders Equity,499025000,157493000,290664000,529732000,644216000,717186000,933612000,1342872000,1571094000,1929626000,2299247000,1931168000,3014972000,3702525000,4438567000,4129384000,1809612000,1599138000,1383898000,1301511000,2003821000,1727867000,1152260000,1085748000
69,Minority Interest,- -,225000,62854000,151000,- -,- -,- -,- -,- -,- -,- -,1218000,1027000,1116000,1395000,1877000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,499025000,157718000,353518000,529883000,644216000,717186000,933612000,1342872000,1571094000,1929626000,2299247000,1932386000,3015999000,3703641000,4439962000,4131261000,1809612000,1599138000,1383898000,1301511000,2003821000,1727867000,1152260000,1085748000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1121484/000095012903001353/0000950129-03-001353-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1121484/000095012906002167/h33509e10vk.htm,https://www.sec.gov/Archives/edgar/data/1121484/000095012907001031/h43951e10vk.htm,https://www.sec.gov/Archives/edgar/data/1121484/000095012908001117/h53194e10vk.htm,https://www.sec.gov/Archives/edgar/data/1121484/000095012909000475/0000950129-09-000475-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000095012310015200/0000950123-10-015200-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000095012311016353/h78391e10vk.htm,https://www.sec.gov/Archives/edgar/data/1121484/000119312512067771/0001193125-12-067771-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000143774913001751/0001437749-13-001751-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000143774914002719/ois20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1121484/000143774915003226/ois20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1121484/000143774916025723/0001437749-16-025723-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000143774917002773/0001437749-17-002773-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000112148418000022/0001121484-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000112148419000039/0001121484-19-000039-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000112148420000042/0001121484-20-000042-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000112148421000046/0001121484-21-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1121484/000112148422000024/0001121484-22-000024-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-18628000,1448000,42676000,39676000,44432000,59362000,121813000,197634000,203372000,222710000,59114000,168018000,322453000,448609000,421258000,179003000,28597000,-46390000,-84850000,-19105000,-231808000,-468383000,-63993000
74,Depreciation and Amortization,- -,7476000,21314000,28039000,23312000,27905000,35988000,46704000,55591000,70703000,102604000,118108000,124202000,188147000,230098000,278054000,124776000,131257000,118720000,107667000,123530000,123319000,98543000,80741000
75,Deferred Income Tax,- -,-143000,840000,-11504000,4897000,714000,6870000,-3082000,755000,6802000,15890000,-15126000,20590000,27075000,17370000,-7967000,-11970000,-3173000,-37606000,16342000,-3489000,-15469000,-24404000,-8639000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12620000,14565000,18904000,28991000,25581000,21778000,21322000,23049000,22649000,16768000,8431000,7879000
77,Change in Working Capital,- -,14488000,-14095000,107384000,51487000,29956000,52934000,158893000,102526000,57183000,140223000,-90634000,-64516000,468881000,292850000,-155489000,-596817000,-97981000,-74528000,-42078000,12330000,-52639000,-38897000,-17170000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-155897000,205627000,-61835000,-260186000,-83379000,48086000,-65787000,156945000,85503000,21128000,-16792000,50257000,63876000,-24407000
79,Inventory,- -,9576000,-774000,28758000,-29273000,194000,-41587000,-128087000,-22569000,43186000,-281971000,200469000,-75416000,-154290000,-34182000,26038000,1430000,17777000,32158000,11339000,-7283000,-10774000,17578000,-10334000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30697000,-11424000,5741000,-98354000,-27716000,14048000,5796000,-6173000,- -,17727000
81,Other Working Capital,- -,14488000,393000,107777000,159264000,189220000,242154000,401047000,503573000,560756000,700979000,610345000,545829000,1014710000,1307560000,1152071000,555254000,457273000,382745000,340667000,352997000,300358000,261461000,-156000
82,Other Non-Cash Items,7469000,-5749000,14248000,-111098000,-74300000,-45325000,-58572000,-291603000,-219309000,-90678000,-224258000,381767000,-30135000,-805208000,-370641000,122416000,717463000,175643000,167739000,75252000,-32745000,297261000,557465000,8376000
83,Cash Provided by Operating Activities,7469000,-2556000,23755000,55497000,45072000,57682000,96582000,32725000,137197000,247382000,257169000,453229000,230779000,215913000,637190000,687263000,438036000,256121000,149257000,95382000,103170000,137432000,132755000,7194000
84,CAPEX,-36145000,-2638000,-21383000,-29671000,-26086000,-41261000,-60041000,-83392000,-129090000,-239633000,-247384000,-124488000,-182207000,-487482000,-487937000,-457515000,-199256000,-114738000,-29689000,-35171000,-88024000,-56116000,-12749000,-17517000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-148000000,-4000000,-103000000,-30000000,- -,-710000000,-2000000,-100000000,556000000,- -,-33000000,- -,-13000000,-380000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,24408000,- -,- -,- -,- -,- -,- -,- -,29354000,27381000,21166000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-61864000,104975000,-994000,7004000,-63342000,-13641000,-77672000,1511000,18842000,2443000,-243475000,-123774000,-179680000,-486955000,-476977000,-447623000,-198504000,-114196000,-29292000,-34615000,-81375000,-51982000,-3729000,-6626000
89,Cash Used for Investing Activites,-61864000,126745000,-22377000,-22667000,-89428000,-54902000,-137713000,-229881000,-114248000,-310836000,-246094000,-102608000,-889680000,-488955000,-576977000,108377000,-198504000,-147196000,-29292000,-47615000,-461375000,-51982000,-3729000,-6626000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4999000,-299721000,322094000,-334237000,-273857000,-340721000,-1050639000,-18366000,-81208000,-42701000,-699859000,-338265000,-133404000,-158055000
91,Common Stock Issued,- -,46000,268000,84599000,1205000,4177000,3968000,7552000,8509000,13796000,8868000,3460000,23361000,14154000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-21775000,- -,- -,- -,-30000000,-15056000,-35458000,-9563000,- -,- -,-12632000,-15245000,-113454000,-232439000,-112743000,-3962000,-21600000,-4178000,-4455000,-2745000,-1595000
93,Dividends Paid,- -,-1568000,-1681000,-844000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,42473000,-123782000,1717000,-94395000,49176000,142000,34848000,217717000,-4654000,82294000,4028000,-512000,303577000,590603000,409660000,23579000,621962000,6387000,295000,-759000,1028095000,246812000,71132000,140082000
95,Cash Used/Provided by Financing Activities,42473000,-125304000,304000,-32415000,50381000,4319000,38816000,195269000,-11201000,60632000,-1666000,-296773000,649032000,257888000,120558000,-430596000,-661116000,-124722000,-84875000,-65060000,324058000,-95908000,-65017000,-19568000
96,Effect of Forex Changes on Cash,- -,28000,-77000,-4000,111000,1101000,2737000,-2555000,1350000,5018000,-9802000,5695000,16477000,-9332000,680000,-18910000,-5260000,-1493000,-2263000,1952000,4000,-365000,-491000,-159000
97,Net Change In Cash,- -,-1087000,1605000,411000,6136000,8200000,422000,-4442000,13098000,2196000,-393000,59543000,6608000,-24629000,181451000,346134000,-546043000,-17290000,32827000,-15341000,-34143000,-10823000,63518000,-19159000
98,Cash at the End of Period,- -,1537000,4821000,4982000,11118000,19318000,19740000,15298000,28396000,30592000,30199000,89742000,96350000,71721000,253172000,599306000,53263000,35973000,68800000,53459000,19316000,8493000,72011000,52852000
99,Cash at the Beginning of Period,- -,2624000,3216000,4571000,4982000,11118000,19318000,19740000,15298000,28396000,30592000,30199000,89742000,96350000,71721000,253172000,599306000,53263000,35973000,68800000,53459000,19316000,8493000,72011000
100,Free Cash Flow,-28676000,-5194000,2372000,25826000,18986000,16421000,36541000,-50667000,8107000,7749000,9785000,328741000,48572000,-271569000,149253000,229748000,238780000,141383000,119568000,60211000,15146000,81316000,120006000,-10323000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1121484/000095012903001353/0000950129-03-001353-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1121484/000095012906002167/h33509e10vk.htm,https://www.sec.gov/Archives/edgar/data/1121484/000095012907001031/h43951e10vk.htm,https://www.sec.gov/Archives/edgar/data/1121484/000095012908001117/h53194e10vk.htm,https://www.sec.gov/Archives/edgar/data/1121484/000095012909000475/0000950129-09-000475-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000095012310015200/0000950123-10-015200-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000095012311016353/h78391e10vk.htm,https://www.sec.gov/Archives/edgar/data/1121484/000119312512067771/0001193125-12-067771-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000143774913001751/0001437749-13-001751-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000143774914002719/ois20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1121484/000143774915003226/ois20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1121484/000143774916025723/0001437749-16-025723-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000143774917002773/0001437749-17-002773-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000112148418000022/0001121484-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000112148419000039/0001121484-19-000039-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000112148420000042/0001121484-20-000042-index.html,https://www.sec.gov/Archives/edgar/data/1121484/000112148421000046/0001121484-21-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1121484/000112148422000024/0001121484-22-000024-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
