,https://roic.ai/company/FCN,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),800000,1200000,2300000,2000000,2300000,5917000,11445000,23704000,44838000,31177000,40819000,37141000,57669000,80196000,83999000,45550000,49224000,40100000,42405000,42604000,39333000,42283000,-20857000,57181000,71724000,51764000,62981000
23,Net Income,700000,1700000,3300000,2600000,3000000,2561000,16469000,37162000,59469000,42878000,56368000,42024000,92121000,125435000,143026000,71890000,103903000,-36986000,-10594000,58807000,66053000,85520000,107962000,150611000,216726000,210682000,234966000
24,Net Income ratio,0.0345,0.0556,0.0747,0.0444,0.0355,0.0190,0.0990,0.1658,0.1583,0.1004,0.1045,0.0594,0.0920,0.0970,0.1022,0.0513,0.0663,-0.0235,-0.0064,0.0335,0.0371,0.0472,0.0597,0.0743,0.0921,0.0856,0.0846
25,EPS,0.12,0.20,0.32,0.24,0.27,0.16,0.61,1.16,1.45,1.02,1.38,1.06,2.14,2.55,2.86,1.58,2.53,-0.92,-0.27,1.48,1.62,2.09,2.79,4.06,5.89,5.92,7.02
26,EPS Diluted,0.11,0.19,0.31,0.23,0.26,0.14,0.56,1.09,1.41,1.01,1.35,1.04,2.00,2.34,2.70,1.51,2.39,-0.92,-0.27,1.44,1.58,2.05,2.75,3.93,5.69,5.67,6.65
27,Weighted Average Shares Outstanding,5827506,8500000,10171233,10833333,11065574,14026056,26851630,32036207,41013103,42037255,40846377,39645283,43047196,49193000,49963000,45557000,41131000,40316000,39188000,39726000,40846000,40943000,38697000,37098000,36774000,35602000,33489000
28,Weighted Average Shares Outstanding Diluted,6555965,9107143,10607143,11470588,11440678,18007031,29408929,34198160,42176596,42453465,41754074,40407692,46060500,53603000,53044000,47471000,43473000,40316000,39188000,40729000,41729000,41709000,39192000,38318000,38111000,37149000,35337000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/887936/000095010903001765/d10k.htm,https://www.sec.gov/Archives/edgar/data/887936/000119312504040354/d10k.htm,https://www.sec.gov/Archives/edgar/data/887936/000119312505051105/d10k.htm,https://www.sec.gov/Archives/edgar/data/887936/000119312506046295/d10k.htm,https://www.sec.gov/Archives/edgar/data/887936/000119312507052567/d10k.htm,https://www.sec.gov/Archives/edgar/data/887936/000119312508043417/d10k.htm,https://www.sec.gov/Archives/edgar/data/887936/000119312509042382/0001193125-09-042382-index.html,https://www.sec.gov/Archives/edgar/data/887936/000119312510043017/0001193125-10-043017-index.html,https://www.sec.gov/Archives/edgar/data/887936/000119312511047591/d10k.htm,https://www.sec.gov/Archives/edgar/data/887936/000119312512078356/0001193125-12-078356-index.html,https://www.sec.gov/Archives/edgar/data/887936/000119312513084880/0001193125-13-084880-index.html,https://www.sec.gov/Archives/edgar/data/887936/000119312514063706/d643883d10k.htm,https://www.sec.gov/Archives/edgar/data/887936/000119312515058655/d835042d10k.htm,https://www.sec.gov/Archives/edgar/data/887936/000156459016013288/0001564590-16-013288-index.html,https://www.sec.gov/Archives/edgar/data/887936/000156459017002713/0001564590-17-002713-index.html,https://www.sec.gov/Archives/edgar/data/887936/000088793618000005/0000887936-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/887936/000088793619000011/0000887936-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/887936/000088793620000017/0000887936-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/887936/000088793621000013/0000887936-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/887936/000088793622000013/0000887936-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,5900000,2500000,3200000,5000000,3235000,12856000,9906000,5765000,25704000,153383000,91923000,360463000,191842000,118872000,384570000,264423000,156785000,205833000,283680000,149760000,216158000,189961000,312069000,369373000,294953000,494485000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,5900000,2500000,3200000,5000000,3235000,12856000,9906000,5765000,25704000,153383000,91923000,360463000,191842000,118872000,384570000,264423000,156785000,205833000,283680000,149760000,216158000,189961000,312069000,369373000,294953000,494485000
34,Net Receivables,6300000,9500000,14400000,20900000,23700000,32332000,32589000,64847000,83722000,112537000,130201000,178374000,271829000,305185000,308395000,365453000,465870000,476437000,521892000,535602000,551046000,521651000,561357000,602783000,736639000,756910000,791628000
35,Inventory,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,600000,500000,800000,2100000,2200000,4270000,5476000,16613000,9716000,12328000,14551000,24652000,29235000,55427000,72648000,38692000,40661000,41153000,76136000,64891000,40819000,45362000,42861000,50501000,72649000,77844000,83914000
37,Total Current Assets,6900000,16200000,17700000,26200000,30900000,39837000,50921000,91366000,99203000,150569000,298135000,294949000,661527000,552454000,499915000,788715000,770954000,674375000,803861000,884173000,741625000,783171000,794179000,965353000,1178661000,1129707000,1370027000
38,PP&E,2800000,4100000,6300000,8300000,8400000,13155000,12253000,14938000,20757000,23342000,29302000,51326000,67843000,78575000,80678000,73238000,74448000,68192000,79007000,82163000,74760000,61856000,75075000,84577000,253449000,258287000,358158000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,885711000,940878000,1151388000,1195949000,1269447000,1309358000,1260035000,1218733000,1211689000,1198298000,1180001000,1204803000,1172316000,1202767000,1234879000,1232791000
40,Intangible Assets,- -,- -,5100000,45200000,43700000,91971000,90156000,303308000,524681000,518634000,598066000,77711000,84673000,189304000,175962000,134970000,118889000,104181000,97148000,77034000,63935000,52120000,44150000,34633000,38432000,41550000,31990000
41,Intangible Assets,- -,- -,5100000,45200000,43700000,91971000,90156000,303308000,524681000,518634000,598066000,963422000,1025551000,1340692000,1371911000,1404417000,1428247000,1364216000,1315881000,1288723000,1262233000,1232121000,1248953000,1206949000,1241199000,1276429000,1264781000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,150000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,200000,600000,100000,- -,1300000,1168000,873000,20719000,15924000,15980000,33961000,81459000,103703000,116448000,124834000,147989000,137435000,168669000,166198000,175468000,150400000,148220000,139034000,122242000,109833000,112940000,107943000
45,Total Non-Current Assets,3000000,4700000,11500000,53500000,53400000,106294000,103432000,339165000,561362000,557956000,661329000,1096207000,1197097000,1535715000,1577423000,1625644000,1640130000,1601077000,1561086000,1546354000,1487393000,1442197000,1463062000,1413768000,1604481000,1647656000,1730882000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9900000,20900000,29200000,79700000,84300000,146131000,154353000,430531000,660565000,708525000,959464000,1391156000,1858624000,2088169000,2077338000,2414359000,2411084000,2275452000,2364947000,2430527000,2229018000,2225368000,2257241000,2379121000,2783142000,2777363000,3100909000
48,Accounts Payable,900000,1500000,2800000,2900000,3200000,4325000,4788000,7410000,18623000,20771000,5196000,28021000,30608000,13241000,8486000,- -,- -,10139000,14467000,9119000,9937000,15779000,14078000,17728000,18346000,13124000,16187000
49,Short-Term Debt,- -,100000,1200000,10700000,1700000,4333000,4333000,20000000,16250000,21250000,76000,6917000,157772000,150898000,138101000,7559000,153381000,6021000,6014000,11000000,- -,- -,- -,- -,35727000,42716000,30828000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11114000,9323000,12191000,17309000,9231000,12075000,13119000,35895000,14719000,18907000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30872000,34101000,- -,- -,31675000,28692000,35639000,29449000,29635000,46942000,44434000,36698000,44172000,45535000
52,Other Current Liabilities,4000000,1300000,3100000,3600000,6800000,11016000,13034000,50178000,49397000,48307000,99655000,143521000,192682000,228898000,225514000,281723000,344456000,256362000,335157000,311334000,307691000,333041000,349308000,420408000,521766000,570159000,625566000
53,Total Current Liabilities,4900000,2900000,7100000,17200000,11700000,19674000,22155000,77588000,84270000,90328000,104927000,178459000,381062000,423909000,406202000,289282000,497837000,304197000,384330000,367092000,347077000,378455000,410328000,482570000,612537000,670171000,718116000
54,Long-Term Debt,2000000,200000,700000,35600000,41000000,56167000,23833000,77833000,105000000,83750000,348431000,563441000,415653000,418592000,417397000,785563000,643579000,717000000,711000000,700000000,494772000,365528000,396284000,265571000,275609000,447808000,533184000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,100000,200000,1100000,1000000,1066000,1748000,5730000,14317000,25548000,33568000,57782000,49113000,76804000,95704000,92134000,88071000,105751000,137697000,161932000,139787000,173799000,124471000,155088000,151352000,158342000,170612000
57,Other Non-Current Liabilities,300000,100000,200000,200000,300000,600000,1481000,1405000,1822000,12745000,18269000,26374000,40546000,45037000,53821000,80061000,75395000,80272000,89661000,98757000,99779000,100228000,134187000,127067000,254502000,100861000,95676000
58,Total Non-Current Liabilities,2300000,400000,1100000,36900000,42300000,57833000,27062000,84968000,121139000,122043000,400268000,647597000,505312000,540433000,566922000,957758000,807045000,903023000,938358000,960689000,734338000,639555000,654942000,547726000,681463000,707011000,799472000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,1822000,12745000,22000,- -,- -,- -,- -,- -,- -,45000,14000,- -,- -,- -,- -,- -,212105000,204393000,266854000
61,Total Liabilities,7200000,3300000,8200000,54100000,54000000,77507000,49217000,162556000,205409000,212371000,505195000,826056000,886374000,964342000,973124000,1247040000,1304882000,1207220000,1322688000,1327781000,1081415000,1018010000,1065270000,1030296000,1294000000,1377182000,1517588000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,106000,196000,240000,423000,425000,390000,419000,490000,509000,470000,461000,415000,408000,405000,412000,412000,420000,377000,381000,374000,345000,343000
64,Retained Earnings,1100000,3200000,6400000,9000000,12000000,14567000,31036000,68198000,127667000,170545000,226913000,268937000,361058000,486493000,615529000,687419000,778201000,741215000,730621000,789428000,855481000,941001000,1045774000,1196727000,1413453000,1506271000,1698156000
65,Other Comprehensive Income/Loss,-4600000,-5600000,-7500000,-8800000,-10800000,-12382000,-11384000,-1039000,-5757000,-8551000,-11089000,1394000,9065000,-80333000,-47539000,-53490000,-56392000,-41369000,-51089000,-80268000,-108995000,-150879000,-120215000,-147817000,-140847000,-106435000,-128840000
66,Other Total Stockholders Equity,6200000,20000000,22100000,25400000,29100000,66333000,85288000,200576000,332823000,333735000,238055000,294350000,601637000,717158000,535754000,532929000,383978000,367978000,362322000,393174000,400705000,416816000,266035000,299534000,216162000,- -,13662000
67,Total Stockholders Equity,2700000,17600000,21000000,25600000,30300000,68624000,105136000,267975000,455156000,496154000,454269000,565100000,972250000,1123827000,1104214000,1167319000,1106202000,1068232000,1042259000,1102746000,1147603000,1207358000,1191971000,1348825000,1489142000,1400181000,1583321000
68,Total Liabilities And Stockholders Equity,9900000,20900000,29200000,79700000,84300000,146131000,154353000,430531000,660565000,708525000,959464000,1391156000,1858624000,2088169000,2077338000,2414359000,2411084000,2275452000,2364947000,2430527000,2229018000,2225368000,2257241000,2379121000,2783142000,2777363000,3100909000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,9900000,20900000,29200000,79700000,84300000,146131000,154353000,430531000,660565000,708525000,959464000,1391156000,1858624000,2088169000,2077338000,2414359000,2411084000,2275452000,2364947000,2430527000,2229018000,2225368000,2257241000,2379121000,2783142000,2777363000,3100909000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/887936/000095010903001765/d10k.htm,https://www.sec.gov/Archives/edgar/data/887936/000119312504040354/d10k.htm,https://www.sec.gov/Archives/edgar/data/887936/000119312505051105/d10k.htm,https://www.sec.gov/Archives/edgar/data/887936/000119312506046295/d10k.htm,https://www.sec.gov/Archives/edgar/data/887936/000119312507052567/d10k.htm,https://www.sec.gov/Archives/edgar/data/887936/000119312508043417/d10k.htm,https://www.sec.gov/Archives/edgar/data/887936/000119312509042382/0001193125-09-042382-index.html,https://www.sec.gov/Archives/edgar/data/887936/000119312510043017/0001193125-10-043017-index.html,https://www.sec.gov/Archives/edgar/data/887936/000119312511047591/d10k.htm,https://www.sec.gov/Archives/edgar/data/887936/000119312512078356/0001193125-12-078356-index.html,https://www.sec.gov/Archives/edgar/data/887936/000119312513084880/0001193125-13-084880-index.html,https://www.sec.gov/Archives/edgar/data/887936/000119312514063706/d643883d10k.htm,https://www.sec.gov/Archives/edgar/data/887936/000119312515058655/d835042d10k.htm,https://www.sec.gov/Archives/edgar/data/887936/000156459016013288/0001564590-16-013288-index.html,https://www.sec.gov/Archives/edgar/data/887936/000156459017002713/0001564590-17-002713-index.html,https://www.sec.gov/Archives/edgar/data/887936/000088793618000005/0000887936-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/887936/000088793619000011/0000887936-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/887936/000088793620000017/0000887936-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/887936/000088793621000013/0000887936-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/887936/000088793622000013/0000887936-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,700000,1700000,3300000,2600000,3000000,2561000,16469000,37162000,59469000,42878000,56368000,42024000,92121000,125435000,143026000,71890000,103903000,-36986000,-10594000,58807000,66053000,85520000,107962000,150611000,216726000,210682000,234966000
74,Depreciation and Amortization,600000,900000,1700000,3000000,4900000,7492000,8916000,5980000,10683000,15949000,17894000,24372000,29966000,44861000,53467000,79000000,50953000,56505000,55592000,50647000,43118000,49006000,41740000,39698000,38305000,43048000,45092000
75,Deferred Income Tax,-200000,300000,-200000,-600000,-200000,-254000,-134000,2956000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3712000,-9132000,4958000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26381000,25631000,27121000,37352000,29361000,35129000,22848000,17951000,16920000,16030000,15577000,17978000,22904000,23051000
77,Change in Working Capital,-500000,-2700000,-1600000,10200000,963000,8603000,-14988000,1155000,45308000,132967000,-76718000,163975000,-151920000,-34832000,405720000,-226316000,97061000,49353000,97550000,-122533000,10168000,-20865000,98932000,83341000,-106588000,163336000,19888000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49251000,-13314000,-18881000,-94178000,-3691000,-56290000,-43072000,-35648000,3471000,-50831000,-72034000,-141894000,-26800000,-61274000
79,Inventory,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2102000
81,Other Working Capital,13300000,10600000,9000000,19200000,20163000,28766000,13778000,14933000,60241000,193208000,116490000,280465000,128545000,93713000,499433000,273117000,370178000,419531000,517081000,394548000,404716000,383851000,482783000,566124000,459536000,622872000,71784000
82,Other Non-Cash Items,900000,-700000,400000,-9900000,-263000,-2840000,17049000,30395000,-19326000,-133351000,101835000,-166405000,107786000,38007000,-377075000,243359000,-115441000,21955000,15594000,125632000,2630000,102907000,-117039000,-58555000,55177000,-103769000,27528000
83,Cash Provided by Operating Activities,1500000,-500000,3600000,5300000,8400000,15562000,27312000,77648000,96134000,58443000,99379000,63966000,77953000,199852000,250769000,195054000,173828000,120188000,193271000,135401000,139920000,233488000,147625000,230672000,217886000,327069000,355483000
84,CAPEX,-1600000,-1700000,-6600000,-29800000,-3100000,-6640000,-4366000,-8777000,-10612000,-11939000,-17827000,-30359000,-36422000,-35674000,-28557000,-22600000,-31091000,-27759000,-42544000,-39256000,-31399000,-28935000,-32004000,-32270000,-42072000,-34866000,-68665000
85,Acquisitions Net,- -,- -,- -,- -,- -,-49404000,-211000,-145409000,-233709000,-1253000,-52182000,-267332000,-32243000,-345541000,-46710000,-63086000,-62346000,-62893000,-55498000,-23467000,-575000,-1251000,-8929000,50283000,-18791000,-25271000,-10428000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35717000,- -,- -,- -,-5094000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20576000,15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-200000,-600000,400000,-300000,-1500000,-614000,-1725000,-2200000,430000,-501000,5151000,306000,482000,4703000,520000,-400000,-211000,246000,45000,5128000,237000,54000,295000,731000,257000,17000,- -
89,Cash Used for Investing Activites,-1800000,-2300000,-6200000,-30100000,-4600000,-56658000,-6302000,-156386000,-243891000,-13693000,-64858000,-297385000,-68183000,-376512000,-89888000,-71086000,-93648000,-90406000,-103091000,-57595000,-31737000,-30132000,-40638000,18744000,-60606000,-60120000,-79093000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11019000,-13761000,-229747000,-31994000,-452859000,-6021000,-6014000,-425671000,-130000000,- -,-400000000,-45000000,-289500000,-402500000
91,Common Stock Issued,- -,11100000,100000,1600000,400000,25185000,20959000,9532000,116163000,2870000,9551000,10217000,268513000,20562000,15699000,6196000,11109000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-700000,-400000,- -,- -,- -,-1272000,- -,- -,-4032000,-10810000,-148050000,-23376000,-18118000,- -,-250000000,-40634000,-209400000,-50032000,-66763000,-4367000,-26532000,-21489000,-168094000,-55738000,-105797000,-353593000,-46133000
93,Dividends Paid,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1100000,-2100000,-1000000,24000000,-2400000,15372000,-32348000,66256000,19335000,-16871000,231657000,182923000,10041000,10708000,7784000,408037000,31556000,364645000,29655000,16711000,216241000,26179000,27160000,338219000,47486000,283040000,386959000
95,Cash Used/Provided by Financing Activities,300000,8500000,-900000,25600000,-2000000,39285000,-11389000,75788000,131466000,-24811000,93158000,169764000,260436000,20251000,-240278000,143852000,-198729000,-138246000,-43129000,6330000,-235962000,-125310000,-140934000,-117519000,-103311000,-360053000,-61674000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2195000,-1666000,-12212000,6427000,-2122000,-1598000,826000,1997000,-6289000,-6141000,-11648000,7750000,-9789000,3335000,18684000,-15184000
97,Net Change In Cash,- -,- -,- -,- -,1800000,-1811000,9621000,-2950000,-4141000,19939000,127679000,-61460000,268540000,-168621000,-72970000,265698000,-120147000,-107638000,49048000,77847000,-133920000,66398000,-26197000,122108000,57304000,-74420000,199532000
98,Cash at the End of Period,- -,- -,- -,- -,5000000,3235000,12856000,9906000,5765000,25704000,153383000,91923000,360463000,191842000,118872000,384570000,264423000,156785000,205833000,283680000,149760000,216158000,189961000,312069000,369373000,294953000,494485000
99,Cash at the Beginning of Period,- -,200000,5900000,2500000,3200000,5046000,3235000,12856000,9906000,5765000,25704000,153383000,91923000,360463000,191842000,118872000,384570000,264423000,156785000,205833000,283680000,149760000,216158000,189961000,312069000,369373000,294953000
100,Free Cash Flow,-100000,-2200000,-3000000,-24500000,5300000,8922000,22946000,68871000,85522000,46504000,81552000,33607000,41531000,164178000,222212000,172454000,142737000,92429000,150727000,96145000,108521000,204553000,115621000,198402000,175814000,292203000,286818000
