,https://roic.ai/company/CYBE,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1800000,2500000,3600000,4800000,6200000,6900000,10000000,14200000,15800000,18200000,22400000,27880000,27899000,22320000,20099000,21633000,19968000,22780000,24707000,25587000,20440000,21301000,22365000,20550000,19864000,22662000,20304000,22902000,23745000,25252000,25366000,25220000,28830000
11,COGS and Expenses,3400000,4300000,6700000,8000000,10500000,13200000,24100000,27000000,30500000,33500000,38200000,50229000,46621000,36895000,37208000,45543000,39075000,49968000,53236000,51974000,38301000,53290000,55399000,44015000,38522000,47960000,43293000,60087000,52318000,61361000,58327000,64120000,78438000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1193000,539000,268000,39000,- -,- -,123000,102000,238000,- -,220000,224000,357000,159000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000,188000,- -,- -,- -,107000,- -,- -,- -,- -
14,Depreciation and Amortization,100000,100000,200000,200000,200000,300000,400000,800000,900000,1200000,2500000,3414000,4251000,3379000,3651000,2114000,1996000,1884000,1907000,2246000,2544000,2263000,1955000,1843000,1673000,1914000,1968000,2086000,2285000,2499000,2832000,2629000,- -
15,EBITDA,800000,500000,1400000,700000,1300000,2400000,7500000,4000000,7700000,6600000,-1900000,16088000,-2988000,-11200000,1228000,14782000,6051000,10948000,9661000,-7024000,-8152000,6192000,7682000,-1268000,-4493000,560000,-93000,8477000,3300000,6078000,3992000,8983000,14495000
16,EBITDA ratio,0.2000,0.1087,0.1795,0.0833,0.1121,0.1569,0.2459,0.1423,0.2194,0.1803,-0.0480,0.2512,-0.0777,-0.4547,0.0345,0.2547,0.1435,0.1918,0.1644,-0.1545,-0.3012,0.1087,0.1258,-0.0304,-0.1349,0.0120,-0.0023,0.1280,0.0619,0.0939,0.0674,0.1281,0.1562
17,Operating Income,600000,300000,1100000,400000,1100000,2100000,6400000,1100000,4600000,3100000,1400000,13807000,-8594000,-13908000,-2814000,12325000,3104000,7121000,5540000,-10463000,-11235000,3661000,5688000,-3111000,-6166000,-1477000,-2163000,6153000,1015000,3359000,936000,5997000,14336000
18,Operating Income ratio,0.1500,0.0652,0.1410,0.0476,0.0948,0.1373,0.2098,0.0391,0.1311,0.0847,0.0354,0.2156,-0.2235,-0.5646,-0.0790,0.2124,0.0736,0.1247,0.0943,-0.2302,-0.4151,0.0643,0.0931,-0.0747,-0.1851,-0.0318,-0.0526,0.0929,0.0190,0.0519,0.0158,0.0855,0.1545
19,Total Other Income Expenses (Gains),100000,100000,100000,100000,- -,- -,700000,2100000,2200000,2300000,-5800000,-1133000,1355000,-671000,391000,343000,951000,1943000,2214000,1193000,539000,268000,39000,-24000,-188000,123000,102000,238000,-107000,220000,224000,357000,159000
20,Income Before Tax,700000,400000,1200000,500000,1100000,2100000,7100000,3200000,6800000,5400000,-4400000,12674000,-7239000,-14579000,-2423000,12668000,4055000,9064000,7754000,-9270000,-10696000,3929000,5727000,-3135000,-6354000,-1354000,-2061000,6391000,908000,3579000,1160000,6354000,14495000
21,Income Before Tax Ratio,0.1750,0.0870,0.1538,0.0595,0.0948,0.1373,0.2328,0.1139,0.1937,0.1475,-0.1111,0.1979,-0.1883,-0.5918,-0.0680,0.2183,0.0961,0.1588,0.1319,-0.2040,-0.3952,0.0690,0.0938,-0.0753,-0.1908,-0.0291,-0.0501,0.0965,0.0170,0.0553,0.0196,0.0906,0.1562
22,Income Tax expense (Gain),200000,100000,400000,200000,200000,600000,2300000,1000000,2200000,1700000,1100000,5450000,-3075000,-1024000,214000,2042000,-3095000,2674000,2726000,-2599000,-3880000,794000,1370000,3576000,-186000,133000,28000,-5171000,-404000,752000,386000,612000,1744000
23,Net Income,500000,300000,800000,300000,900000,1500000,4800000,2200000,4600000,3700000,-5500000,7224000,-4164000,-13555000,-2637000,10626000,7150000,6390000,5028000,-6671000,-6816000,3135000,4357000,-6711000,-6168000,-1487000,-2089000,11562000,1312000,2827000,774000,5742000,12751000
24,Net Income ratio,0.1250,0.0652,0.1026,0.0357,0.0776,0.0980,0.1574,0.0783,0.1311,0.1011,-0.1389,0.1128,-0.1083,-0.5503,-0.0740,0.1831,0.1695,0.1119,0.0855,-0.1468,-0.2518,0.0550,0.0713,-0.1612,-0.1852,-0.0320,-0.0508,0.1745,0.0246,0.0437,0.0131,0.0819,0.1374
25,EPS,0.03,0.02,0.06,0.03,0.10,0.16,0.63,0.25,0.59,0.47,-0.73,0.91,-0.52,-1.66,-0.32,1.23,0.80,0.71,0.57,-0.87,-1.00,0.46,0.63,-0.97,-0.91,-0.23,-0.31,1.69,0.19,0.40,0.11,0.80,1.74
26,EPS Diluted,0.03,0.02,0.06,0.03,0.10,0.15,0.63,0.25,0.55,0.46,-0.73,0.84,-0.52,-1.66,-0.32,1.18,0.79,0.70,0.56,-0.87,-1.00,0.45,0.63,-0.97,-0.91,-0.23,-0.31,1.64,0.19,0.39,0.11,0.77,1.69
27,Weighted Average Shares Outstanding,5725637,5968516,6025487,7500000,7500000,6349325,7656000,8602500,7869000,7788000,7477500,7777000,8026000,8168000,8223000,8629000,8882000,8991000,8897000,7703000,6793000,6861000,6906000,6946000,6798000,6576000,6706000,6832000,6946000,7028000,7113000,7215000,7320000
28,Weighted Average Shares Outstanding Diluted,5725637,5968516,6025487,7500000,7500000,6349325,10609756,8602500,8332500,7980000,7477500,8424000,8026000,8168000,8223000,9003000,9026000,9081000,8975000,7703000,6793000,6907000,6952000,6946000,6798000,6576000,6706000,7049000,7075000,7208000,7262000,7454000,7537000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/768411/0000897101-96-000122-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/768411/000089710101500075/0000897101-01-500075-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/768411/000089710105000708/0000897101-05-000708-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710106000576/0000897101-06-000576-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710107000567/0000897101-07-000567-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710108000556/0000897101-08-000556-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710109000466/0000897101-09-000466-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710110000504/0000897101-10-000504-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710111000376/0000897101-11-000376-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710112000450/0000897101-12-000450-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710113000341/0000897101-13-000341-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710114000412/0000897101-14-000412-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000076841115000003/0000768411-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000076841116000015/0000768411-16-000015-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000076841117000004/0000768411-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710118000213/0000897101-18-000213-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710119000192/0000897101-19-000192-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710120000134/0000897101-20-000134-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710121000173/0000897101-21-000173-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710122000230/0000897101-22-000230-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1700000,1600000,1900000,400000,1800000,1400000,8700000,3500000,6200000,5000000,10200000,13097000,12323000,11009000,11354000,25416000,19592000,30056000,18864000,4516000,4177000,8427000,13791000,7340000,3101000,5171000,4274000,10640000,6944000,9248000,5836000,8399000,13684000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8500000,6650000,8407000,4086000,9066000,5537000,15607000,12175000,11953000,10433000,14557000,6384000,10640000,11438000,9402000,5285000,5249000,6493000,6670000,5771000,8295000,8121000,7327000
33,Cash and Short-Term Investments,1700000,1600000,1900000,400000,1800000,1400000,8700000,3500000,6200000,5000000,18700000,19747000,20730000,15095000,20420000,30953000,35199000,42231000,30817000,14949000,18734000,14811000,24431000,18778000,12503000,10456000,9523000,17133000,13614000,15019000,14131000,16520000,21011000
34,Net Receivables,700000,800000,1600000,1800000,2200000,3000000,8500000,5000000,7700000,6400000,7800000,12470000,4816000,6396000,7773000,7424000,9775000,10471000,9781000,6951000,10888000,11676000,12105000,7454000,6562000,7945000,8150000,10895000,10772000,15859000,16059000,14735000,19821000
35,Inventory,800000,1100000,1300000,1700000,1800000,2300000,3900000,3800000,4600000,6000000,5000000,9497000,9667000,7065000,4522000,7178000,7512000,8357000,10640000,9869000,7745000,14215000,11052000,12533000,11331000,11657000,13265000,11531000,14393000,16163000,15580000,20271000,27602000
36,Other Current Assets,100000,200000,- -,1200000,600000,1500000,11600000,22900000,21900000,18700000,1700000,1710000,2422000,577000,422000,511000,2866000,3593000,4041000,5183000,3170000,3549000,3756000,1438000,1181000,1284000,1190000,1535000,1593000,2096000,1579000,1576000,1672000
37,Total Current Assets,3300000,3700000,4800000,5100000,6400000,8200000,32700000,35200000,40400000,36100000,33200000,43424000,37635000,29133000,33137000,46066000,55352000,64652000,55279000,36952000,40537000,44251000,51344000,40203000,31577000,31342000,32128000,41094000,40372000,49137000,47349000,53102000,70106000
38,PP&E,300000,300000,400000,500000,400000,500000,900000,2500000,2700000,2600000,2700000,3944000,3375000,2354000,1333000,993000,1378000,1814000,1944000,2615000,1921000,1896000,1400000,1719000,1272000,2918000,2368000,2438000,2307000,2861000,5452000,5856000,5226000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5160000,5207000,569000,569000,569000,569000,569000,569000,1366000,1366000,1366000,1366000,1366000,1366000,1366000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,11100000,12911000,11512000,10717000,9054000,8706000,6593000,1214000,1069000,956000,642000,435000,230000,189000,136000,642000,549000,438000,380000,333000,310000,325000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,11100000,12911000,11512000,10717000,9054000,8706000,6593000,6374000,6276000,1525000,1211000,1004000,799000,758000,705000,2008000,1915000,1804000,1746000,1699000,1676000,1691000,1741000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,7000000,22000000,14834000,3145000,7289000,6106000,10435000,10742000,9889000,8084000,8728000,9073000,10322000,12168000,14052000,17281000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,829000,- -,- -,- -,- -,2394000,1739000,2834000,4160000,3621000,3130000,363000,85000,67000,58000,5323000,5742000,5422000,4992000,4597000,3668000
44,Other Non-Current Assets,- -,- -,100000,100000,100000,100000,21100000,12600000,14300000,16300000,4500000,8538000,7830000,5723000,4402000,9331000,3704000,-224000,-199000,189000,163000,173000,137000,142000,194000,188000,186000,193000,261000,259000,962000,418000,- -
45,Total Non-Current Assets,300000,300000,500000,600000,500000,600000,22000000,15100000,17000000,19100000,18300000,25393000,23546000,18794000,14789000,19030000,17675000,17358000,31760000,21997000,10600000,13983000,11572000,13417000,12998000,15070000,12611000,18486000,19129000,20563000,25250000,26614000,27916000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3600000,4000000,5300000,5700000,6900000,8800000,54700000,50300000,57400000,55200000,51500000,68817000,61181000,47927000,47926000,65096000,73027000,82010000,87039000,58949000,51137000,58234000,62916000,53620000,44575000,46412000,44739000,59580000,59501000,69700000,72599000,79716000,98022000
48,Accounts Payable,- -,- -,500000,500000,300000,600000,700000,1200000,1200000,1200000,1900000,3433000,1787000,1251000,3101000,1543000,2633000,3783000,3209000,2753000,3652000,5206000,4081000,2476000,2630000,4713000,5778000,6217000,4294000,8513000,7023000,5118000,10275000
49,Short-Term Debt,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,688000,819000,864000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122000,- -,- -,- -,- -,- -,- -,393000,333000,269000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,657000,1152000,655000,563000,552000,490000,481000,328000,393000,636000,499000,823000,- -
52,Other Current Liabilities,200000,600000,500000,400000,500000,700000,3300000,1600000,3000000,2500000,3100000,5456000,2356000,2614000,3073000,5602000,4204000,5207000,4131000,3738000,1880000,2873000,3657000,1869000,2241000,3201000,1959000,3756000,2285000,3568000,2572000,3893000,5017000
53,Total Current Liabilities,500000,600000,1000000,900000,800000,1300000,4000000,2800000,4200000,3700000,5000000,8889000,4143000,3865000,6174000,7145000,6837000,8990000,7340000,6491000,6189000,9231000,8393000,4908000,5423000,8404000,8218000,10301000,6972000,12717000,10782000,10653000,16156000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2369000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146000,165000,26000,3000,66000,34000,77000,165000,88000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000,686000,156000,259000,195000,131000,159000,143000,150000,157000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,1583000,1578000,546000,686000,1520000,408000,352000,285000,265000,184000,54000,552000,3178000,3290000,391000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-100000,100000,- -,145000,- -,- -,- -,- -,- -,- -,1583000,1578000,546000,686000,1554000,1240000,673000,570000,463000,381000,247000,772000,3493000,3535000,2760000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3829000,4063000,3233000
61,Total Liabilities,500000,600000,1000000,900000,800000,1300000,4000000,2800000,4100000,3800000,5000000,9034000,4143000,3865000,6174000,7145000,6837000,8990000,8923000,8069000,6735000,9917000,9947000,6148000,6096000,8974000,8681000,10682000,7219000,13489000,14275000,14188000,18916000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33500000,39714000,41176000,41755000,42415000,48239000,49351000,- -,- -,- -,- -,- -,- -,31410000,28968000,30145000,31292000,32801000,34080000,35637000,36659000,37817000,- -
64,Retained Earnings,700000,900000,400000,800000,1700000,3200000,8100000,10300000,14900000,18500000,13000000,20118000,15954000,2399000,-426000,-677000,17539000,23929000,28925000,22254000,15438000,18573000,22930000,16219000,10051000,8564000,6475000,18037000,19611000,22264000,23071000,28813000,- -
65,Other Comprehensive Income/Loss,-300000,-400000,-500000,-700000,-900000,-1100000,-1500000,-2200000,-1700000,-2800000,-4100000,-5306000,-6311000,-92000,-237000,10389000,-700000,-453000,-112000,-530000,-768000,-586000,-926000,-157000,-540000,-1271000,-1709000,-1940000,-1409000,-1690000,-1406000,-1102000,-1510000
66,Other Total Stockholders Equity,2700000,2900000,4400000,4700000,5300000,5400000,44100000,39400000,40100000,35700000,4100000,5257000,6219000,- -,- -,- -,- -,58106000,58398000,29626000,29964000,30744000,31039000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,3100000,3400000,4300000,4800000,6100000,7500000,50700000,47500000,53300000,51400000,46500000,59783000,57038000,44062000,41752000,57951000,66190000,73020000,78116000,50880000,44402000,48317000,52969000,47472000,38479000,37438000,36058000,48898000,52282000,56211000,58324000,65528000,79106000
68,Total Liabilities And Stockholders Equity,3600000,4000000,5300000,5700000,6900000,8800000,54700000,50300000,57400000,55200000,51500000,68817000,61181000,47927000,47926000,65096000,73027000,82010000,87039000,58949000,51137000,58234000,62916000,53620000,44575000,46412000,44739000,59580000,59501000,69700000,72599000,79716000,98022000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3600000,4000000,5300000,5700000,6900000,8800000,54700000,50300000,57400000,55200000,51500000,68817000,61181000,47927000,47926000,65096000,73027000,82010000,87039000,58949000,51137000,58234000,62916000,53620000,44575000,46412000,44739000,59580000,59501000,69700000,72599000,79716000,98022000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/768411/0000897101-96-000122-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/768411/000089710101500075/0000897101-01-500075-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/768411/000089710105000708/0000897101-05-000708-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710106000576/0000897101-06-000576-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710107000567/0000897101-07-000567-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710108000556/0000897101-08-000556-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710109000466/0000897101-09-000466-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710110000504/0000897101-10-000504-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710111000376/0000897101-11-000376-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710112000450/0000897101-12-000450-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710113000341/0000897101-13-000341-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710114000412/0000897101-14-000412-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000076841115000003/0000768411-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000076841116000015/0000768411-16-000015-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000076841117000004/0000768411-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710118000213/0000897101-18-000213-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710119000192/0000897101-19-000192-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710120000134/0000897101-20-000134-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710121000173/0000897101-21-000173-index.htm,https://www.sec.gov/Archives/edgar/data/768411/000089710122000230/0000897101-22-000230-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,800000,300000,900000,1500000,4800000,2200000,4600000,3700000,-5500000,7224000,-4164000,-13555000,-2637000,10626000,7150000,6390000,5028000,-6671000,-6816000,3135000,4357000,-6711000,-6168000,-1487000,-2089000,11562000,1312000,2827000,774000,5742000,12751000
74,Depreciation and Amortization,- -,- -,200000,200000,200000,300000,400000,800000,900000,1200000,2500000,3414000,4251000,3379000,3651000,2114000,1996000,1884000,1907000,2246000,2544000,2263000,1955000,1843000,1673000,1914000,1968000,2086000,2285000,2499000,2832000,2629000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,-100000,-500000,100000,- -,-200000,-100000,116000,-1686000,2513000,- -,180000,-3672000,735000,604000,-1349000,-684000,331000,629000,4808000,279000,120000,38000,-5269000,-297000,371000,393000,366000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,580000,449000,391000,430000,449000,447000,436000,511000,863000,895000,936000,991000,1181000,-23000
77,Change in Working Capital,- -,- -,-500000,400000,1400000,1300000,21800000,3700000,3800000,-3800000,-4200000,6335000,-1043000,-8224000,1695000,11958000,9594000,7147000,-7723000,-17478000,3887000,672000,7931000,-7656000,-9141000,-3216000,972000,6883000,2607000,3020000,147000,5882000,11501000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2864000,-2265000,-2875000,-549000,5945000,-382000,-646000,-161000,-2769000,171000,-4928000,-1170000,1888000,- -
79,Inventory,- -,- -,-200000,-500000,- -,-700000,-2000000,-200000,-1300000,-1900000,800000,-4155000,-1104000,621000,2052000,-3141000,-777000,-1573000,-3115000,-880000,1700000,-6624000,2859000,-1801000,561000,-647000,-2489000,1029000,-3163000,-2845000,-439000,-5212000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-441000,857000,1456000,-1095000,-1696000,182000,1491000,1146000,550000,-2100000,4266000,-1529000,-1903000,- -
81,Other Working Capital,- -,- -,3800000,4200000,5600000,6900000,28700000,32400000,36200000,32400000,28200000,34535000,33492000,25268000,26963000,38921000,48515000,55662000,47939000,30461000,34348000,35020000,42951000,35295000,26154000,22938000,23910000,30793000,33400000,36420000,36567000,42449000,53950000
82,Other Non-Cash Items,- -,- -,- -,-1200000,-1700000,-2100000,-26800000,-1600000,-5700000,3300000,12200000,-7501000,3949000,10014000,486000,-13186000,-13427000,-6347000,5741000,22766000,-5889000,-5030000,-6106000,7275000,10670000,3060000,-3789000,-7001000,-9228000,-5557000,-3010000,-9842000,-24229000
83,Cash Provided by Operating Activities,- -,- -,500000,-300000,800000,900000,-300000,5200000,3600000,4200000,4900000,9588000,1307000,-5873000,3195000,11692000,1641000,9809000,5557000,94000,-6509000,1762000,9196000,8000,-2240000,827000,-2389000,9124000,-2426000,4096000,2127000,5958000,- -
84,CAPEX,- -,- -,-300000,-200000,-100000,-300000,-800000,-2300000,-28100000,-1000000,-18400000,-2535000,-1065000,-600000,-333000,-467000,-1012000,-1397000,-1296000,-2177000,-1001000,-1311000,-876000,-1463000,-749000,-1362000,-797000,-1434000,-1346000,-2079000,-1451000,-1739000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6009000,-1264000,-1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3108000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-1700000,-31700000,-28000000,- -,-32900000,-5200000,-12647000,-50640000,-7078000,-10788000,-14386000,-13997000,-13983000,-32064000,-13502000,-9095000,-16572000,-16304000,-21630000,-11648000,-7147000,-4934000,-8127000,-7475000,-8944000,-12033000,-13186000,- -
87,Sales/Maturities of Investments,- -,- -,- -,200000,500000,1000000,1700000,25100000,20800000,34300000,25600000,10762000,49782000,13506000,7034000,12791000,7310000,16670000,17591000,22059000,16046000,3241000,13228000,16395000,13388000,12130000,6685000,6192000,6931000,8598000,7835000,11576000,- -
88,Other Investing Activites,- -,- -,-100000,-100000,-100000,-100000,- -,100000,-200000,- -,- -,-249000,-198000,-272000,577000,-714000,-199000,- -,- -,-343000,-272000,16763000,-104000,-113000,-68000,-111000,-106000,-71000,-120000,-115000,-66000,-212000,- -
89,Cash Used for Investing Activites,- -,- -,-400000,-100000,300000,-1100000,-30800000,-5100000,-7500000,400000,2000000,-10678000,-3385000,4056000,-3510000,-2776000,-7898000,1290000,-15769000,6380000,5950000,2323000,-3952000,-6698000,991000,513000,954000,-3369000,-1890000,-2425000,-5565000,-3349000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
