,https://roic.ai/company/EL,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001250/000088981298002176/0000889812-98-002176-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000088981299002680/0000889812-99-002680-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000088981200003866/0000889812-00-003866-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000093041301501188/0000930413-01-501188-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000093041302002851/0000930413-02-002851-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000093041303002786/0000930413-03-002786-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465904026881/0001104659-04-026881-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465905042689/a05-15349_110k.htm,https://www.sec.gov/Archives/edgar/data/1001250/000110465906057258/a06-18435_110k.htm,https://www.sec.gov/Archives/edgar/data/1001250/000110465907065600/0001104659-07-065600-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465908054348/0001104659-08-054348-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465909050626/0001104659-09-050626-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465910045250/0001104659-10-045250-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465911048120/0001104659-11-048120-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465912058698/0001104659-12-058698-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465913065820/0001104659-13-065820-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465914062259/0001104659-14-062259-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465915061122/0001104659-15-061122-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465916141179/a16-11315_110k.htm,https://www.sec.gov/Archives/edgar/data/1001250/000110465917053604/0001104659-17-053604-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465918053494/0001104659-18-053494-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465919047085/0001104659-19-047085-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000100125020000065/0001001250-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1001250/000100125021000127/0001001250-21-000127-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,255600000,277500000,347500000,320300000,346700000,546900000,364100000,611600000,553300000,368600000,253700000,401700000,864500000,1120700000,1253000000,1347700000,1495700000,1629100000,1021400000,914100000,1136000000,2181000000,2987000000,5022000000,4958000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,503700000,469300000,605000000,534000000,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,255600000,277500000,347500000,320300000,346700000,546900000,364100000,611600000,553300000,368600000,253700000,401700000,864500000,1120700000,1253000000,1347700000,1495700000,1629100000,1525100000,1383400000,1741000000,2715000000,2987000000,5022000000,4958000000
34,Net Receivables,- -,- -,471700000,497800000,533700000,550200000,580600000,624800000,634200000,664900000,776600000,771200000,860500000,1038800000,853300000,746200000,945600000,1060300000,1171700000,1379300000,1174500000,1258300000,1395000000,1487000000,1831000000,1194000000,1702000000
35,Inventory,- -,- -,440600000,513200000,513000000,546300000,630300000,544500000,599000000,653500000,768300000,766300000,855800000,987200000,795000000,826600000,995600000,983600000,1113900000,1294000000,1215800000,1263400000,1479000000,1618000000,2006000000,2062000000,2505000000
36,Other Current Assets,- -,- -,143200000,166100000,176000000,201700000,181300000,211400000,247600000,269200000,204400000,270800000,269400000,359500000,399700000,427500000,492300000,463500000,515900000,522800000,553100000,320000000,349000000,348000000,388000000,614000000,603000000
37,Total Current Assets,- -,- -,1311100000,1454600000,1570200000,1618500000,1738900000,1927600000,1844900000,2199200000,2302600000,2176900000,2239400000,2787200000,2912500000,3121000000,3686500000,3855100000,4297200000,4825200000,4468500000,4225100000,4964000000,6168000000,7212000000,8892000000,9768000000
38,PP&E,- -,- -,265000000,335800000,383600000,480300000,528700000,580700000,607700000,647000000,694200000,758000000,880800000,1043100000,1026700000,1023600000,1143100000,1231800000,1350700000,1502600000,1490200000,1583300000,1671000000,1823000000,2068000000,4337000000,4470000000
39,Goodwill,- -,- -,- -,- -,- -,- -,699700000,- -,- -,- -,- -,635800000,651300000,900800000,759900000,752500000,877300000,882600000,881500000,893200000,1144800000,1227800000,1916000000,1926000000,1868000000,1401000000,2616000000
40,Intangible Assets,- -,- -,161300000,563300000,608500000,739200000,21000000,694000000,760700000,744200000,792400000,77000000,113400000,- -,150100000,109500000,227500000,190100000,169600000,157300000,326600000,344500000,1327000000,1276000000,1203000000,2338000000,4095000000
41,Intangible Assets,- -,- -,161300000,563300000,608500000,739200000,720700000,694000000,760700000,744200000,792400000,712800000,764700000,900800000,910000000,862000000,1104800000,1072700000,1051100000,1050500000,1471400000,1572300000,3243000000,3202000000,3071000000,3739000000,6711000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,13000000,22000000,24000000,12700000,12200000,- -,- -,- -,14000000,420300000,1107700000,1026000000,843000000,177000000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,70100000,72700000,38700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,135700000,159100000,184400000,205300000,160400000,141500000,97900000,117700000,84600000,123400000,218800000,256100000,314700000,316800000,339500000,433400000,446200000,476500000,388800000,734900000,664000000,531000000,628000000,813000000,1022000000
45,Total Non-Current Assets,- -,- -,562000000,1058200000,1176500000,1424800000,1479900000,1488900000,1505000000,1508900000,1583200000,1607200000,1886300000,2224000000,2264100000,2214600000,2587400000,2737900000,2848000000,3043600000,3770700000,4998200000,6604000000,6399000000,5944000000,8889000000,12203000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,1873100000,2512800000,2746700000,3043300000,3218800000,3416500000,3349900000,3708100000,3885800000,3784100000,4125700000,5011200000,5176600000,5335600000,6273900000,6593000000,7145200000,7868800000,8239200000,9223300000,11568000000,12567000000,13156000000,17781000000,21971000000
48,Accounts Payable,- -,- -,165800000,209100000,223100000,236500000,239800000,216400000,229900000,267300000,249400000,264500000,314700000,361700000,329800000,425200000,446700000,493800000,481700000,524500000,635400000,716700000,835000000,1182000000,1490000000,1177000000,1692000000
49,Short-Term Debt,- -,- -,31100000,11500000,6600000,7000000,5800000,6600000,7800000,73800000,263600000,89700000,60400000,118700000,33800000,23400000,138000000,219000000,18300000,18400000,29800000,331500000,189000000,183000000,516000000,1597000000,411000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187400000,230200000,217000000,274800000,238900000,163300000,190000000,190000000,- -,- -,359000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,314000000,222000000,322000000
52,Other Current Liabilities,- -,- -,562600000,616800000,632500000,658300000,611100000,736600000,815900000,980900000,984700000,1084000000,1125600000,1218800000,1095600000,1123600000,1358600000,1413000000,1434600000,1513800000,1470400000,1632300000,1799000000,1945000000,2285000000,2183000000,2873000000
53,Total Current Liabilities,- -,- -,759500000,837400000,862200000,901800000,856700000,959600000,1053600000,1322000000,1497700000,1438200000,1500700000,1699200000,1459200000,1572200000,1943300000,2125800000,1934600000,2056700000,2135600000,2680500000,2823000000,3310000000,4605000000,5179000000,5298000000
54,Long-Term Debt,- -,- -,- -,425000000,422500000,418400000,410900000,403900000,283600000,461500000,451100000,431800000,1028100000,1078200000,1387600000,1205000000,1080100000,1069100000,1326000000,1324700000,1607500000,1910000000,3383000000,3361000000,2896000000,7192000000,7688000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,205900000,194000000,177500000,202800000,599100000,591100000,576800000,175600000,228400000,266400000,376600000,554000000,665800000,593000000,603500000,650600000,582700000,618000000,841800000,1045500000,960000000,1186000000,1244000000,1448000000,2894000000
58,Total Non-Current Liabilities,- -,- -,205900000,619000000,600000000,621200000,1010000000,995000000,860400000,637100000,679500000,698200000,1404700000,1632200000,2053400000,1798000000,1683600000,1719700000,1908700000,1942700000,2449300000,2955500000,4343000000,4547000000,4140000000,8640000000,10582000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2653000000,2530000000
61,Total Liabilities,- -,- -,965400000,1456400000,1462200000,1523000000,1866700000,1954600000,1914000000,1959100000,2177200000,2136400000,2905400000,3331400000,3512600000,3370200000,3626900000,3845500000,3843300000,3999400000,4584900000,5636000000,7166000000,7857000000,8745000000,13819000000,15880000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,2400000,2400000,2400000,2400000,2400000,2400000,2500000,2500000,2600000,2600000,2600000,2700000,2700000,5500000,5600000,5600000,5700000,5700000,6000000,6000000,6000000,6000000,6000000
64,Retained Earnings,- -,- -,386400000,559600000,766200000,1008600000,1242700000,1363700000,1613600000,1887200000,2203200000,2361900000,2731500000,3085100000,3195000000,3564000000,4116500000,4764900000,5364100000,6265800000,7004100000,7693300000,8452000000,9040000000,9984000000,10134000000,12244000000
65,Other Comprehensive Income/Loss,- -,- -,-338000000,-364900000,-416200000,-493900000,-571600000,-721300000,-53100000,10500000,9400000,64700000,54700000,110800000,-117100000,-196700000,17700000,-212900000,-157500000,-100300000,-381500000,-544800000,-484000000,-434000000,-563000000,-665000000,-470000000
66,Other Total Stockholders Equity,- -,- -,859300000,861700000,932100000,1003200000,678600000,817100000,-139300000,-166600000,-522300000,-806800000,-1589800000,-1545300000,-1440500000,-1421600000,-1507500000,-1824300000,-1925300000,-2316200000,-2985100000,-3582300000,-3590000000,-3924000000,-5041000000,-5540000000,- -
67,Total Stockholders Equity,- -,- -,907700000,1056400000,1284500000,1520300000,1352100000,1461900000,1423600000,1733500000,1692800000,1622300000,1199000000,1653200000,1640000000,1948400000,2629400000,2733200000,3286900000,3854900000,3643200000,3571900000,4384000000,4688000000,4386000000,3935000000,6057000000
68,Total Liabilities And Stockholders Equity,- -,- -,1873100000,2512800000,2746700000,3043300000,3218800000,3416500000,3337600000,3692600000,3870000000,3758700000,4104400000,4984600000,5152600000,5318600000,6256300000,6578700000,7130200000,7854300000,8228100000,9207900000,11550000000,12545000000,13131000000,17754000000,21937000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,12300000,15500000,15800000,25400000,21300000,26600000,24000000,17000000,17600000,14300000,15000000,14500000,11100000,15400000,18000000,22000000,25000000,27000000,34000000
70,Total Liabilities & Equity,- -,- -,1873100000,2512800000,2746700000,3043300000,3218800000,3416500000,3349900000,3708100000,3885800000,3784100000,4125700000,5011200000,5176600000,5335600000,6273900000,6593000000,7145200000,7868800000,8239200000,9223300000,11568000000,12567000000,13156000000,17781000000,21971000000
71,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1001250/000088981298002176/0000889812-98-002176-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000088981299002680/0000889812-99-002680-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000088981200003866/0000889812-00-003866-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000093041301501188/0000930413-01-501188-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000093041302002851/0000930413-02-002851-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000093041303002786/0000930413-03-002786-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465904026881/0001104659-04-026881-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465905042689/a05-15349_110k.htm,https://www.sec.gov/Archives/edgar/data/1001250/000110465906057258/a06-18435_110k.htm,https://www.sec.gov/Archives/edgar/data/1001250/000110465907065600/0001104659-07-065600-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465908054348/0001104659-08-054348-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465909050626/0001104659-09-050626-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465910045250/0001104659-10-045250-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465911048120/0001104659-11-048120-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465912058698/0001104659-12-058698-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465913065820/0001104659-13-065820-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465914062259/0001104659-14-062259-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465915061122/0001104659-15-061122-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465916141179/a16-11315_110k.htm,https://www.sec.gov/Archives/edgar/data/1001250/000110465917053604/0001104659-17-053604-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465918053494/0001104659-18-053494-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000110465919047085/0001104659-19-047085-index.html,https://www.sec.gov/Archives/edgar/data/1001250/000100125020000065/0001001250-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1001250/000100125021000127/0001001250-21-000127-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,121200000,160400000,197600000,236800000,272900000,314100000,305200000,191900000,319800000,342100000,406100000,244200000,449200000,473800000,218400000,478300000,700800000,856900000,1019800000,1204100000,1088900000,1114600000,1249000000,1108000000,1785000000,684000000,2870000000
74,Depreciation and Amortization,42000000,58800000,76000000,97500000,117300000,146800000,162900000,162000000,174800000,191700000,196700000,198400000,207200000,250700000,254000000,263700000,- -,- -,336900000,384600000,409300000,414700000,464000000,531000000,557000000,611000000,651000000
75,Deferred Income Tax,-14100000,-5300000,-12600000,-12200000,-4200000,-5500000,4700000,-22600000,36500000,18300000,104900000,-74300000,9900000,-115600000,-108200000,-24700000,-24500000,-22100000,-76100000,-56400000,-52600000,-94100000,-118000000,175000000,-66000000,-143000000,-230000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51500000,57000000,94800000,124700000,145800000,152600000,165000000,183500000,219000000,236000000,243000000,213000000,327000000
77,Change in Working Capital,-3100000,- -,551600000,65600000,90800000,8700000,165500000,85800000,-176700000,85900000,-72300000,-66200000,- -,349300000,365300000,95500000,194400000,-13900000,633300000,405900000,-435600000,-788300000,596400000,717000000,-251000000,1106000000,554000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103800000,79200000,-124700000,-178400000,-113000000,-196200000,103200000,-100900000,-92000000,-105000000,-169000000,625000000,-398000000
79,Inventory,800000,-75100000,4400000,-71800000,- -,-31300000,-102100000,102200000,-15700000,-45700000,-105100000,1900000,-70800000,-70700000,125700000,-60800000,-95100000,-41200000,-134500000,-156800000,-26200000,-69000000,-85000000,-147000000,-375000000,-3000000,-140000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11900000,103600000,-17000000,68300000,-8700000,34000000,146500000,101400000,54000000,349000000,319000000,-308000000,440000000
81,Other Working Capital,- -,- -,551600000,617200000,708000000,716700000,882200000,968000000,791300000,877200000,804900000,738700000,738700000,1088000000,1453300000,1548800000,1743200000,1729300000,2362600000,2768500000,2332900000,1544600000,2141000000,2858000000,2607000000,3713000000,-56000000
82,Other Non-Cash Items,15100000,-41900000,-559500000,-129500000,-124500000,-21600000,-332900000,100900000,194100000,29300000,-157300000,407700000,-4700000,-268100000,-85000000,86900000,61500000,181100000,-833400000,-555600000,768300000,958300000,-610400000,-194000000,249000000,-191000000,-541000000
83,Cash Provided by Operating Activities,161100000,172000000,253100000,258200000,352300000,442500000,305400000,518000000,548500000,667300000,478100000,709800000,661600000,690100000,696000000,956700000,1027000000,1126700000,1226300000,1535200000,1943300000,1788700000,1800000000,2573000000,2517000000,2280000000,3631000000
84,CAPEX,-46000000,-63400000,-82900000,-580500000,-192900000,-180900000,-192200000,-203200000,-163100000,-206500000,-229600000,-260600000,-312100000,-357800000,-279800000,-270600000,-351000000,-420700000,-461000000,-510200000,-473000000,-525300000,-504000000,-629000000,-744000000,-623000000,-637000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-180500000,-16000000,-18500000,-50400000,-4400000,-7100000,-42400000,-61200000,-116000000,-68500000,-10700000,-256100000,-7600000,-8700000,-9200000,-241000000,-101300000,-1681000000,-11000000,- -,-1047000000,-1065000000
86,Purchases of Investments,- -,- -,- -,-1800000,-8400000,-15900000,- -,- -,- -,-100000,-300000,-100000,-500000,-4700000,-400000,-100000,- -,- -,-2800000,-600000,-1207200000,-2016200000,-1267000000,-478000000,-14000000,-28000000,-194000000
87,Sales/Maturities of Investments,- -,13300000,- -,5100000,1000000,3000000,1900000,- -,21000000,- -,- -,500000,- -,- -,9200000,- -,200000,- -,7000000,8400000,305000000,1373500000,1226000000,749000000,1229000000,- -,- -
88,Other Investing Activites,-4500000,-24400000,-47800000,- -,- -,- -,- -,4700000,- -,3000000,- -,-600000,- -,- -,-279800000,-270600000,-351000000,-420700000,-461000000,-510200000,-473000000,-525300000,-492000000,-629000000,-742000000,-623000000,-605000000
89,Cash Used for Investing Activites,-50500000,-74500000,-130700000,-577200000,-200300000,-374300000,-206300000,-217000000,-192500000,-208000000,-237000000,-303200000,-373800000,-478500000,-339500000,-281400000,-606900000,-428300000,-465500000,-511600000,-1616200000,-1269300000,-2214000000,-369000000,473000000,-1698000000,-1864000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-103600000,-234700000,-16500000,-128800000,-241500000,-11800000,-8300000,-7600000,-306000000,-2000000,-1000000,-513000000,-459000000
91,Common Stock Issued,- -,60600000,43000000,200000,14600000,14000000,13300000,7700000,16700000,61400000,80600000,67300000,154100000,117300000,- -,- -,- -,- -,387700000,667200000,982800000,889900000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-1100000,- -,- -,- -,-12700000,-23600000,-100000,-49700000,-352500000,-115900000,-438600000,-400500000,-1004300000,-129600000,-62600000,-266700000,- -,-592700000,-387700000,-667200000,-982800000,-889900000,-413000000,-759000000,-1555000000,-893000000,-733000000
93,Dividends Paid,-36300000,-107300000,-63400000,-53600000,-63600000,-70900000,-71000000,-71000000,-81700000,-76300000,-98500000,-85400000,-103600000,-106600000,-116700000,-120500000,-148000000,-204000000,-419200000,-301800000,-349900000,-422500000,-486000000,-546000000,-609000000,-503000000,-753000000
94,Other Financing Activites,21400000,-66700000,-96400000,398600000,-11500000,-7400000,-5700000,-8800000,-132900000,-85200000,156100000,-176000000,542200000,40800000,408700000,215800000,-148600000,340400000,49200000,-543300000,-536600000,-174800000,1835000000,135000000,-8000000,3370000000,53000000
95,Cash Used/Provided by Financing Activities,-16000000,-113400000,-116800000,345200000,-73200000,-87900000,-63500000,-121800000,-550400000,-216000000,-300400000,-594600000,-411600000,-78100000,125800000,-406100000,-313100000,-585100000,-611500000,-856900000,-894800000,-604900000,630000000,-1172000000,-2173000000,1461000000,-1892000000
