,https://roic.ai/company/IEP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,-1200000,-6100000,-6300000,-7600000,-10800000,-7100000,-17800000,-14700000,19238119,19473730,20690799,16709000,19025000,28440000,169643000,172902000,176862000,168630000,301182000,161333000,- -,413769000,- -,1056000000,1037000000,1667000000,1683000000,1944000000,2206000000,2551000000,3501000000,3545000000,1915000000,1894000000,1678000000,1754000000
11,COGS and Expenses,-1200000,-6100000,-6300000,-7600000,-10800000,-7100000,-17800000,-14700000,19238119,19473730,20690799,16709000,19025000,28440000,228136000,215501000,231502000,177759000,319668000,1180312000,1567720000,2180581000,8153000000,6351000000,7799000000,9539000000,14326000000,17753000000,18691000000,15292000000,16913000000,18550000000,10862000000,10106000000,7998000000,11235000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35658000,- -,45889000,52672000,- -,- -,237000000,194000000,117000000,95000000,194000000,217000000,194000000,131000000,136000000,148000000,265000000,169000000,137000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20640000,- -,104014000,106612000,- -,- -,282000000,389000000,436000000,522000000,560000000,847000000,1154000000,878000000,843000000,524000000,605000000,688000000,666000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,4000000,4300000,4400000,4960704,5337884,5680025,5112000,4923000,5576000,15098000,18034000,21229000,18598000,29955000,158581000,71454000,35956000,332000000,401000000,463000000,447000000,575000000,742000000,809000000,863000000,1034000000,1017000000,447000000,519000000,510000000,517000000
15,EBITDA,8700000,26600000,27900000,27400000,18100000,23400000,15600000,27100000,28129268,40493504,63502077,80496000,75561000,101392000,90248000,85568000,85680000,100840000,207691000,256643000,990170000,352711000,336000000,864000000,1060000000,1667000000,1412000000,2209000000,1180000000,891000000,820000000,3852000000,2474000000,46000000,-571000000,587000000
16,EBITDA ratio,0.4703,0.4547,0.4478,0.4363,0.3187,0.4034,0.2680,0.4169,0.4570,0.5791,0.8848,1.1351,0.8098,1.0289,0.2865,0.2878,0.2621,0.3554,0.4579,0.2033,0.6700,0.1418,0.0668,0.1099,0.1307,0.1695,0.0917,0.1177,0.0611,0.0557,0.0469,0.2014,0.2204,0.0044,-0.0769,0.0537
17,Operating Income,19700000,64600000,68600000,70400000,67600000,65100000,76000000,79700000,42312607,50446736,51082604,54209000,74281000,70100000,86844000,81822000,86938000,65615000,87814000,77517000,-89790000,307045000,-3126000000,1514000000,1170000000,2234000000,1068000000,1020000000,631000000,698000000,556000000,580000000,361000000,280000000,-575000000,-10085000000
18,Operating Income ratio,1.0649,1.1043,1.1011,1.1210,1.1901,1.1224,1.3058,1.2262,0.6874,0.7215,0.7117,0.7644,0.7961,0.7114,0.2757,0.2752,0.2659,0.2312,0.1936,0.0614,-0.0608,0.1234,-0.6218,0.1925,0.1442,0.2272,0.0694,0.0543,0.0327,0.0437,0.0318,0.0303,0.0322,0.0270,-0.0775,-0.9218
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,1400000,300000,4500000,- -,- -,- -,- -,- -,- -,10224000,8486000,-3236000,-10781000,6202000,-106731000,57957000,179686000,- -,-373000000,-417000000,-436000000,-422000000,1306000000,-1263000000,-2757000000,-2740000000,1573000000,-83000000,-2019000000,-2009000000,9507000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54834000,94016000,-29214000,-31833000,486731000,-3126000000,1141000000,753000000,1798000000,646000000,2326000000,-632000000,-2059000000,-2184000000,2153000000,278000000,-1739000000,-2584000000,-578000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1932,0.2073,-0.0231,-0.0215,0.1957,-0.6218,0.1451,0.0928,0.1829,0.0420,0.1239,-0.0327,-0.1288,-0.1250,0.1125,0.0248,-0.1674,-0.3481,-0.0528
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6495000,16763000,21092000,13271000,8436000,47000000,-53000000,9000000,34000000,-81000000,-118000000,-103000000,68000000,36000000,-438000000,-4000000,20000000,-116000000,-78000000
23,Net Income,8700000,26600000,27900000,27400000,18100000,19400000,11300000,22700000,23168564,35155620,57822052,75384000,70638000,95816000,75150000,67534000,64451000,68097000,160973000,-27044000,798833000,308319000,-43000000,234000000,199000000,750000000,396000000,1025000000,-373000000,-1194000000,-1128000000,2430000000,1507000000,-1098000000,-1653000000,-518000000
24,Net Income ratio,0.4703,0.4547,0.4478,0.4363,0.3187,0.3345,0.1942,0.3492,0.3764,0.5028,0.8056,1.0630,0.7571,0.9724,0.2386,0.2271,0.1971,0.2400,0.3549,-0.0214,0.5405,0.1239,-0.0086,0.0298,0.0245,0.0763,0.0257,0.0546,-0.0193,-0.0747,-0.0646,0.1270,0.1343,-0.1057,-0.2227,-0.0473
25,EPS,1.70,1.71,1.80,1.79,1.19,1.31,0.77,1.55,1.59,1.29,1.96,2.20,1.38,1.89,1.44,1.30,1.23,1.19,3.21,-0.39,12.33,1.53,-0.78,2.96,2.28,8.30,3.73,9.09,-3.06,-9.24,-8.03,14.80,11.46,-5.38,-7.33,-2.47
26,EPS Diluted,1.70,1.71,1.80,1.79,1.19,1.31,0.77,1.55,1.59,1.29,1.96,2.07,1.24,1.62,1.25,1.16,1.09,1.10,2.96,-0.39,12.33,1.53,-0.78,2.88,2.27,8.09,3.73,9.02,-3.06,-9.24,-8.03,14.80,11.46,-5.38,-7.33,-2.47
27,Weighted Average Shares Outstanding,5118384,15560395,15526878,15331491,15150436,14795159,14726618,14606883,14221106,26425345,26425345,32100904,47538166,47460949,47460949,47460949,47460949,47460949,47460949,55684259,63685492,67215854,73098760,77217000,85453480,88542160,101538027,110585970,119633913,126671202,137729799,161000000,180000000,200000000,221000000,266000000
28,Weighted Average Shares Outstanding Diluted,5118384,15560395,15526878,15331491,15150436,14795159,14726618,14606883,14445764,26516026,29444123,35679808,55817944,57736071,57817082,57242621,58135853,56100665,53065902,55684259,63685492,67215854,73098760,81335240,86483040,93689960,101538027,111591297,119633913,126671202,137729799,161000000,180000000,200000000,221000000,266000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/813762/0000950123-96-001504-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/813762/000095012305003242/0000950123-05-003242-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000095012306003289/0000950123-06-003289-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000114420407011271/0001144204-07-011271-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000114420408015862/0001144204-08-015862-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000114420409012134/0001144204-09-012134-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000114420410011285/0001144204-10-011285-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000114420411013351/0001144204-11-013351-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376212000008/0000813762-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376213000018/0000813762-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376214000014/0000813762-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376215000011/0000813762-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376216000057/0000813762-16-000057-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376217000010/0000813762-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376218000029/0000813762-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376219000006/0000813762-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376220000008/0000813762-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000155837021002010/0001558370-21-002010-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000155837022002150/0001558370-22-002150-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,3000000,1000000,3000000,25000000,119000000,55000000,51394000,467704000,762708000,576123000,1912235000,2112832000,6474000000,5204000000,2963000000,7257000000,3071000000,3262000000,2912000000,2078000000,1833000000,1682000000,2656000000,3794000000,1699000000,2321000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26728000,80522000,12677000,820699000,539115000,512560000,- -,5360000000,7470000000,8938000000,5491000000,12261000000,14500000000,15351000000,9881000000,10369000000,8337000000,9945000000,8913000000,9151000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,3000000,1000000,3000000,25000000,119000000,55000000,78122000,548226000,775385000,1396822000,2451350000,2625392000,6474000000,10564000000,10433000000,16195000000,8562000000,15523000000,17412000000,17429000000,11714000000,12051000000,10993000000,13739000000,10612000000,11472000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,145000000,134000000,183000000,167000000,154000000,150000000,171000000,354327000,95635000,174576000,255014000,176496000,1026881000,993000000,1135000000,1335000000,1454000000,1935000000,1785000000,1691000000,1685000000,1609000000,2311000000,1138000000,1333000000,3939000000,6076000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244239000,245502000,266223000,894000000,999000000,1163000000,1344000000,1955000000,1902000000,1879000000,2259000000,2983000000,3261000000,1779000000,1812000000,1580000000,1478000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181314000,287985000,182490000,- -,35000000,- -,2174000000,- -,1419000000,396000000,1435000000,1282000000,2170000000,803000000,3015000000,1151000000,1592000000,2115000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1131275000,2184060000,3055838000,3918496000,8396000000,12698000000,15105000000,18993000000,13871000000,19606000000,22417000000,22655000000,18476000000,18426000000,16925000000,18035000000,17723000000,21141000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000000,117000000,128000000,172000000,193000000,447000000,479000000,256191000,259234000,106537000,1635238000,907071000,513304000,4199000000,2654000000,3455000000,3505000000,6523000000,8077000000,8955000000,9535000000,10122000000,9701000000,4703000000,4541000000,4228000000,4085000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1073000000,1129000000,1127000000,2082000000,2074000000,2000000000,1504000000,1136000000,1275000000,247000000,282000000,298000000,290000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23402000,25916000,39579000,- -,991000000,999000000,899000000,1206000000,1113000000,1088000000,1108000000,1080000000,1135000000,501000000,431000000,660000000,595000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23402000,25916000,39579000,1994000000,2064000000,2128000000,2026000000,3288000000,3187000000,3088000000,2612000000,2216000000,2410000000,748000000,713000000,958000000,885000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,166000000,242000000,527000000,626000000,622000000,597000000,395000000,373331000,161773000,464917000,15964000,179932000,5920209000,4261000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82450000,65399000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,494929000,107798000,75990000,2042058000,-35000000,514000000,650000000,612000000,874000000,875000000,1320000000,1640000000,2521000000,1264000000,1020000000,1350000000,2078000000,1635000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1131782000,1782402000,1188909000,8515150000,10419000000,5232000000,6233000000,6143000000,10685000000,12139000000,13363000000,13787000000,14859000000,13375000000,6471000000,6604000000,7264000000,6605000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,621000000,641000000,991000000,1136000000,1161000000,1423000000,1452000000,1421671000,1489930000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,621000000,641000000,991000000,1136000000,1161000000,1423000000,1452000000,1421671000,1489930000,2263057000,3966462000,4244747000,12433646000,18815000000,17930000000,21338000000,25136000000,24556000000,31745000000,35780000000,36442000000,33335000000,31801000000,23396000000,24639000000,24987000000,27746000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61000000,- -,78000000,69000000,- -,- -,81793000,93807000,69853000,81432000,- -,586000000,844000000,970000000,1383000000,1353000000,1387000000,1416000000,1765000000,2064000000,832000000,945000000,738000000,805000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,163967561,115911504,- -,- -,29000000,- -,166808000,171848000,- -,3700000,24155000,23970000,- -,- -,2035000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-144967561,-98911504,14000000,12000000,-15000000,120000000,-51808000,- -,- -,118151000,432634000,223190000,116990000,6470000000,2304000000,4819000000,8520000000,1496000000,4399000000,7432000000,9145000000,8502000000,2803000000,1153000000,1507000000,3204000000,3389000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,17000000,14000000,73000000,14000000,198000000,184000000,171848000,- -,203644000,550596000,317013000,198422000,6470000000,4925000000,5663000000,9490000000,2879000000,5752000000,8819000000,10561000000,10267000000,4867000000,1985000000,2452000000,3942000000,4194000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,198000000,139000000,168000000,174000000,179000000,182000000,167000000,171848000,180989000,626317000,1411666000,1184990000,2028574000,4571000000,4735000000,6509000000,6473000000,8548000000,9295000000,11588000000,12633000000,11119000000,11185000000,7326000000,8192000000,8059000000,7692000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1335000000,1394000000,1255000000,1197000000,1613000000,924000000,676000000,639000000,569000000,390000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23239000,201152000,139868000,- -,1432000000,1495000000,1272000000,1340000000,2021000000,1995000000,1728000000,2018000000,2319000000,3457000000,504000000,2414000000,3160000000,6127000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,198000000,139000000,168000000,174000000,179000000,182000000,167000000,171848000,180989000,649556000,1612818000,1324858000,2028574000,6003000000,6230000000,7781000000,7813000000,11904000000,12684000000,14571000000,15848000000,15051000000,15566000000,8506000000,11245000000,11788000000,14209000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,390353000,415822000,- -,- -,- -,5216207000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139000000,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,217000000,156000000,182000000,247000000,193000000,380000000,351000000,218505000,234833000,853200000,2163414000,1641871000,3386055000,12473000000,11155000000,13444000000,17303000000,14783000000,18436000000,23390000000,26409000000,25318000000,20433000000,10491000000,13697000000,15730000000,18403000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,387000000,465000000,728000000,803000000,877000000,944000000,997000000,1071857000,1184870000,1328031000,1728572000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49000000,-44000000,-42000000,-41000000,-45000000,-25000000,-37000000,-52000000,-62000000,- -,-720000000,-217000000,-110000000,-391000000,-697000000,-1228000000,-1483000000,-1917000000,-3212000000,- -,-4109000000,-3890000000,- -,- -,-2668000000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32879000,100824000,115864000,-1163087000,-1103369000,-1315047000,-790370000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11183865,-11183865,-11184000,-11921000,864879000,1019824000,1075864000,-143230000,19501000,12984000,218202000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,205816135,144816135,170816000,235079000,1057879000,1399824000,1426864000,75275000,254334000,866184000,2381616000,4244747000,12433646000,12473000000,17930000000,21338000000,25136000000,24556000000,31745000000,35780000000,36442000000,33335000000,31801000000,23396000000,24639000000,24987000000,18403000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,415183865,496183865,820184000,900921000,103121000,23176000,25136000,1346396000,1235596000,1396873000,1584846000,- -,- -,6342000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9343000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,621000000,641000000,991000000,1136000000,1161000000,1423000000,1452000000,1421671000,1489930000,2263057000,3966462000,4244747000,12433646000,18815000000,17930000000,21338000000,25136000000,24556000000,31745000000,35780000000,36442000000,33335000000,31801000000,23396000000,24639000000,24987000000,27746000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/813762/0000950123-96-001504-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/813762/000095012305003242/0000950123-05-003242-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000095012306003289/0000950123-06-003289-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000114420407011271/0001144204-07-011271-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000114420408015862/0001144204-08-015862-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000114420409012134/0001144204-09-012134-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000114420410011285/0001144204-10-011285-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000114420411013351/0001144204-11-013351-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376212000008/0000813762-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376213000018/0000813762-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376214000014/0000813762-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376215000011/0000813762-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376216000057/0000813762-16-000057-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376217000010/0000813762-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376218000029/0000813762-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376219000006/0000813762-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000081376220000008/0000813762-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000155837021002010/0001558370-21-002010-index.htm,https://www.sec.gov/Archives/edgar/data/813762/000155837022002150/0001558370-22-002150-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,19400000,11300000,22700000,23168564,35155620,57822052,75384000,70638000,95816000,75150000,67534000,64451000,68097000,160973000,-27044000,798833000,308319000,-43000000,234000000,199000000,750000000,396000000,1025000000,-373000000,-1194000000,-1128000000,2430000000,1507000000,-1098000000,-1653000000,-518000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,4000000,4300000,4400000,4960704,5337884,5680025,5112000,4923000,5576000,15098000,18034000,21229000,18598000,29955000,158581000,71454000,35956000,332000000,401000000,463000000,447000000,575000000,742000000,809000000,863000000,1034000000,1017000000,447000000,519000000,510000000,517000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7147000,13946000,10130000,2000,-13527000,-17000000,- -,- -,- -,-297000000,-157000000,-191000000,-30000000,-99000000,-592000000,-19000000,-89000000,-49000000,-168000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19000000,2000000,3000000,-59000000,59000000,-184000000,14000000,184000000,- -,927631000,705833000,1105361000,981249000,-1794074000,5847000000,1669000000,61000000,1489000000,2862000000,-256000000,-1504000000,-3885000000,5350000000,1381000000,643000000,-1802000000,-8782000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-1200000,-1400000,-200000,100000,-2400000,1200000,-11200000,-3200000,4550000,-4255000,27834000,-2682000,-139659000,-1666000,92634000,46425000,- -,2000000,-185000000,-148000000,-193000000,26000000,103000000,43000000,72000000,-67000000,45000000,-33000000,28000000,-110000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17880000,8822000,23736000,- -,116000000,-75000000,-190000000,32000000,39000000,82000000,-74000000,-38000000,-198000000,-86000000,-20000000,147000000,59000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,600000,100000,1100000,-800000,6400000,-1300000,-1000000,1600000,-6478000,-641000,656000,-40503000,92476000,-4065000,-7570000,151686000,- -,- -,140000000,123000000,-152000000,31000000,-21000000,-32000000,18000000,181000000,-61000000,145000000,-162000000,77000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19000000,-17000000,-14000000,-73000000,-14000000,-198000000,-184000000,- -,- -,927631000,1633464000,2738825000,3720074000,1926000000,7773000000,9442000000,9503000000,10992000000,13854000000,13598000000,12094000000,8209000000,13559000000,14940000000,15583000000,13781000000,4999000000
