,https://roic.ai/company/SPTN,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,2455300000,2463300000,1947500000,2206700000,3443461000,2081300000,2014000000,2051200000,2006300000,1838700000,2319001000,2415200000,2504000000,2493300000,2465100000,2567766000,2545603000,7782375000,- -,7586758000,8070887000,7994040000,8479452000,- -,9221260000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10998000,16394000,15104000,15037000,13410000,24414000,- -,19082000,25343000,30483000,34548000,- -,18418000
14,Depreciation and Amortization,20175210,21639466,21412939,32063000,39445000,48551000,30262000,28433000,22582000,21392000,22153000,24421000,28919000,34895000,35273000,36767000,38854000,88475000,- -,79183000,84390000,84190000,90597000,- -,89876000
15,EBITDA,35575210,43839466,38712939,56763000,76812000,63851000,-111238000,18533000,50082000,49292000,61061000,74221000,100717000,93389000,103077000,103248000,95099000,202814000,- -,188000000,-22139000,155152000,128545000,- -,193658000
16,EBITDA ratio,0.0144,0.0176,0.0198,0.0254,0.0219,0.0302,-0.0563,0.0090,0.0245,0.0263,0.0258,0.0300,0.0391,0.0366,0.0407,0.0392,0.0365,0.0256,- -,0.0243,-0.0028,0.0192,0.0151,- -,0.0207
17,Operating Income,20240767,29852926,31082344,46521000,22017000,38708000,-34780000,12562000,37497000,37032000,51427000,61622000,72744000,58664000,67966000,66483000,60968000,114846000,- -,108767000,-106316000,70512000,56942000,- -,102406000
18,Operating Income ratio,0.0082,0.0120,0.0159,0.0208,0.0063,0.0183,-0.0176,0.0061,0.0184,0.0198,0.0217,0.0249,0.0282,0.0230,0.0268,0.0252,0.0234,0.0145,- -,0.0141,-0.0133,0.0087,0.0067,- -,0.0110
19,Total Other Income Expenses (Gains),-4840767,-7652926,-24382344,-26321000,14943000,-21708000,-20220000,-21662000,-8997000,-8732000,-12104000,-13522000,-13844000,-16264000,-14966000,-14927000,-17701000,-24397000,- -,-18804000,-25328000,-29814000,-53367000,- -,-17042000
20,Income Before Tax,15400000,22200000,6700000,20200000,36960000,17000000,-55000000,-9100000,28500000,28300000,39323000,48100000,58900000,42400000,53000000,51556000,43267000,90449000,- -,89963000,-131644000,40698000,3575000,- -,85364000
21,Income Before Tax Ratio,0.0062,0.0089,0.0034,0.0090,0.0105,0.0080,-0.0278,-0.0044,0.0139,0.0151,0.0166,0.0194,0.0229,0.0166,0.0209,0.0196,0.0166,0.0114,- -,0.0116,-0.0165,0.0050,0.0004,- -,0.0091
22,Income Tax expense (Gain),5700000,8000000,2500000,7500000,13925000,5500000,-19200000,-3200000,8700000,9700000,13748000,17200000,23900000,16500000,20400000,19686000,15425000,31329000,- -,32907000,-79027000,6907000,-2342000,- -,9450000
23,Net Income,9700000,14200000,14800000,17200000,23442000,9800000,-122300000,-6700000,18800000,18200000,25160000,32600000,36900000,25600000,32300000,31758000,27410000,58596000,- -,56828000,-52845000,33572000,5742000,- -,75914000
24,Net Income ratio,0.0039,0.0057,0.0076,0.0077,0.0067,0.0046,-0.0619,-0.0033,0.0092,0.0097,0.0106,0.0132,0.0143,0.0100,0.0128,0.0121,0.0105,0.0074,- -,0.0073,-0.0066,0.0042,0.0007,- -,0.0081
25,EPS,7.99,1.21,1.33,1.71,1.35,0.50,-6.15,-0.33,0.92,0.87,1.20,1.61,1.80,1.14,1.43,1.39,1.26,1.56,- -,1.52,-1.41,0.93,0.16,- -,2.12
26,EPS Diluted,7.99,1.21,1.33,1.70,1.35,0.50,-6.15,-0.33,0.91,0.86,1.18,1.58,1.78,1.14,1.42,1.39,1.25,1.55,- -,1.51,-1.41,0.93,0.16,- -,2.12
27,Weighted Average Shares Outstanding,1214359,11785263,11157935,10082000,17333000,19549000,19896000,20016000,20439000,20796000,20913000,21275000,21516000,22406000,22606000,22791000,21773000,37641000,- -,37483000,37419000,36012000,36271000,- -,35861000
28,Weighted Average Shares Outstanding Diluted,1214359,11788723,11162374,10089000,17345000,19690000,19896000,20016000,20743000,21174000,21408000,21668000,21802000,22480000,22688000,22887000,21848000,37710000,- -,37556000,37419000,36022000,36271000,- -,35862000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/877422/000090572901500149/0000905729-01-500149-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572902000128/0000905729-02-000128-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572903000246/0000905729-03-000246-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572904000261/0000905729-04-000261-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572905000215/0000905729-05-000215-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572906000264/0000905729-06-000264-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572907000211/0000905729-07-000211-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572908000244/0000905729-08-000244-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572909000189/0000905729-09-000189-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572910000155/0000905729-10-000155-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000119312511141732/0001193125-11-141732-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000119312512245139/0001193125-12-245139-index.htm,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/877422/000156459017003079/0001564590-17-003079-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000156459018003137/0001564590-18-003137-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000156459019004916/0001564590-19-004916-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000156459020006792/0001564590-20-006792-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/877422/000156459021010568/0001564590-21-010568-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,34200000,37000000,28800000,36400000,27561000,28000000,23300000,13300000,14900000,7700000,12063000,19900000,6500000,9200000,43800000,26476000,6097000,6443000,- -,24351000,15667000,18585000,24172000,- -,19903000
32,Short-Term Investments,17600000,18300000,21100000,20600000,21978000,10400000,1705000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,51800000,55300000,49900000,57000000,49539000,38400000,25005000,13300000,14900000,7700000,12063000,19900000,6500000,9200000,43800000,26476000,6097000,6443000,- -,24351000,15667000,18585000,24172000,- -,19903000
34,Net Receivables,73200000,74500000,75900000,84000000,82671000,84500000,80100000,39700000,43400000,45300000,45347000,59900000,51500000,54500000,56300000,58637000,60979000,282697000,- -,291568000,344057000,346260000,345320000,- -,357564000
35,Inventory,85200000,92700000,82200000,105600000,179589000,179300000,138100000,97800000,96000000,95900000,106854000,113100000,113800000,117500000,103800000,99778000,124657000,577197000,- -,539857000,597162000,553799000,537212000,- -,541785000
36,Other Current Assets,12600000,14300000,11000000,10200000,15739000,11000000,71895000,19900000,17100000,18800000,20931000,19400000,14800000,15000000,9000000,24746000,14436000,47062000,- -,37708000,47400000,82452000,89978000,- -,95488000
37,Total Current Assets,222800000,236800000,219000000,256800000,327538000,313200000,315100000,170700000,171400000,167700000,185195000,212300000,186600000,196200000,212900000,209637000,206169000,913399000,- -,893484000,1004286000,1001096000,996682000,- -,1014740000
38,PP&E,173000000,161100000,158300000,178600000,289143000,266400000,120100000,108400000,108900000,115200000,143213000,183200000,234800000,248000000,241400000,256776000,272126000,597150000,- -,559722000,600240000,579060000,884798000,- -,866232000
39,Goodwill,- -,- -,5900000,99100000,- -,155200000,68700000,72100000,72300000,72600000,142888000,186500000,249300000,247900000,241200000,240194000,246840000,297280000,- -,322686000,178648000,178648000,181035000,- -,181035000
40,Intangible Assets,- -,- -,- -,- -,155737000,10600000,9200000,7900000,6800000,3900000,- -,12000000,13700000,12400000,9800000,- -,35358000,57805000,- -,60163000,199072000,188107000,184611000,- -,116142000
41,Intangible Assets,- -,- -,5900000,99100000,155737000,165800000,77900000,80000000,79100000,76500000,142888000,198500000,263000000,260300000,251000000,240194000,282198000,355085000,- -,382849000,377720000,366755000,365646000,- -,297177000
42,Investments,- -,- -,- -,- -,- -,10370000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,2800000,3800000,2100000,5200000,- -,14500000,- -,- -,- -,- -,- -,17700000,35300000,50000000,66200000,- -,- -,- -,- -,- -,42050000,49254000,43111000,- -,- -
44,Other Non-Current Assets,5100000,4400000,138100000,30900000,38427000,-9670000,43200000,33800000,25100000,19200000,16203000,-1600000,3600000,-1000000,-20100000,56866000,29174000,66648000,- -,94281000,31501000,-24253000,-14628000,- -,99242000
45,Total Non-Current Assets,180900000,169300000,304400000,313800000,483307000,447400000,241200000,222200000,213100000,210900000,302304000,397800000,536700000,557300000,538500000,553836000,583498000,1018883000,- -,1036852000,1051511000,970816000,1278927000,- -,1262651000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,403700000,406100000,523400000,570600000,810845000,760600000,556300000,392900000,384500000,378600000,487499000,610100000,723300000,753500000,751400000,763473000,789667000,1932282000,- -,1930336000,2055797000,1971912000,2275609000,- -,2277391000
48,Accounts Payable,78100000,81700000,68000000,82200000,122937000,104400000,112200000,75600000,82400000,91000000,93729000,112900000,97200000,114500000,100900000,107703000,120651000,320037000,- -,372432000,376977000,357802000,405370000,- -,464784000
49,Short-Term Debt,33500000,38500000,- -,- -,38478000,- -,- -,- -,- -,- -,2494000,10874000,3932000,4209000,4205000,4449000,4067000,19758000,- -,17424000,9196000,18263000,42440000,- -,5135000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2408000,1477000,1425000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,692000,4113000,6353000,5396000,6801000,- -,7792000,5201000,5508000,1526000,- -,- -,- -,- -,- -,42050000,49254000,43111000,- -,- -
52,Other Current Liabilities,51500000,54900000,50100000,86100000,97059000,92508000,111687000,50647000,53404000,49199000,61759000,60234000,59267000,56283000,58969000,72801000,68272000,140404000,- -,116121000,66358000,51132000,74213000,- -,219635000
53,Total Current Liabilities,163100000,175100000,118100000,168300000,258474000,197600000,228000000,132600000,141200000,147000000,157982000,191800000,165600000,180500000,165600000,184953000,192990000,480199000,- -,505977000,494581000,476451000,565134000,- -,689554000
54,Long-Term Debt,125800000,107700000,271400000,266100000,306632000,295200000,183800000,124600000,91900000,64000000,106341000,143600000,194100000,181100000,170700000,133565000,145876000,550510000,- -,413675000,740755000,679797000,682204000,- -,481309000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,16594000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83807000,80578000,91232000,- -,123243000,42050000,49254000,43111000,- -,45728000
57,Other Non-Current Liabilities,7600000,9100000,12800000,10200000,10732000,36300000,34900000,30000000,25900000,22200000,50435000,68100000,116400000,118000000,109600000,37540000,34568000,63088000,- -,62034000,56461000,50463000,297622000,- -,325751000
58,Total Non-Current Liabilities,133400000,116800000,284200000,276300000,333958000,331500000,218700000,154600000,117800000,86200000,156776000,211700000,310500000,299100000,280300000,254912000,261022000,704830000,- -,598952000,839266000,779514000,1022937000,- -,852788000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3932000,4209000,4205000,- -,- -,- -,- -,- -,- -,- -,309790000,- -,324645000
61,Total Liabilities,296500000,291900000,402300000,444600000,592432000,529100000,446700000,287200000,259000000,233200000,314758000,403500000,476100000,479600000,445900000,439865000,454012000,1185029000,- -,1104929000,1333847000,1255965000,1588071000,- -,1542342000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,24100000,22900000,21700000,19800000,109868000,115700000,116400000,116700000,118100000,123300000,- -,130700000,153800000,158200000,162100000,- -,146564000,520791000,- -,521984000,497093000,484064000,490233000,- -,491819000
64,Retained Earnings,64800000,74900000,85600000,91900000,108545000,118400000,-3900000,-10600000,8200000,25300000,46168000,77100000,107600000,128700000,156400000,182267000,202778000,238117000,- -,314860000,239993000,247642000,198905000,- -,245506000
65,Other Comprehensive Income/Loss,-136000000,-147100000,-157700000,-174800000,-209975000,-5200000,-5600000,-800000,-1800000,-6200000,-249440000,-1000000,-14000000,-13000000,-13000000,-14000000,-13687000,-11655000,- -,-11000000,-15000000,-16000000,-2000000,- -,-2276000
66,Other Total Stockholders Equity,154400000,163500000,171500000,189100000,209975000,2600000,2732000,367000,910000,3017000,376013000,-154000,-13031000,5000,5000,155341000,- -,- -,- -,-437000,-136000,241000,400000,- -,- -
67,Total Stockholders Equity,107300000,114200000,121100000,126000000,218413000,231500000,109632000,105667000,125410000,145417000,172741000,206646000,234369000,273905000,305505000,323608000,335655000,747253000,- -,825407000,721950000,715947000,687538000,- -,735049000
68,Total Liabilities And Stockholders Equity,403800000,406100000,523400000,570600000,810845000,760600000,556332000,392867000,384410000,378617000,487499000,610146000,710469000,753505000,751405000,763473000,789667000,1932282000,- -,1930336000,2055797000,1971912000,2275609000,- -,2277391000
69,Minority Interest,-100000,- -,- -,- -,- -,- -,-32000,33000,90000,-17000,- -,-46000,12831000,-5000,-5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,403700000,406100000,523400000,570600000,810845000,760600000,556300000,392900000,384500000,378600000,487499000,610100000,723300000,753500000,751400000,763473000,789667000,1932282000,- -,1930336000,2055797000,1971912000,2275609000,- -,2277391000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/877422/000090572901500149/0000905729-01-500149-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572902000128/0000905729-02-000128-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572903000246/0000905729-03-000246-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572904000261/0000905729-04-000261-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572905000215/0000905729-05-000215-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572906000264/0000905729-06-000264-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572907000211/0000905729-07-000211-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572908000244/0000905729-08-000244-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572909000189/0000905729-09-000189-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572910000155/0000905729-10-000155-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000119312511141732/0001193125-11-141732-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000119312512245139/0001193125-12-245139-index.htm,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/877422/000156459017003079/0001564590-17-003079-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000156459018003137/0001564590-18-003137-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000156459019004916/0001564590-19-004916-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000156459020006792/0001564590-20-006792-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/877422/000156459021010568/0001564590-21-010568-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,9700000,14200000,14800000,17200000,23442000,9800000,-122300000,-6700000,18800000,18200000,25160000,32600000,36900000,25600000,32300000,31758000,27410000,58596000,- -,56828000,-52845000,33572000,5742000,- -,75914000
74,Depreciation and Amortization,20175210,21639466,21412939,32063000,39445000,48551000,30262000,28433000,22582000,21392000,22153000,24421000,28919000,34895000,35273000,36767000,38854000,88475000,- -,79183000,84390000,84190000,90597000,- -,89876000
75,Deferred Income Tax,4035000,-583000,627000,2703000,2730000,3805000,-34130000,-3202000,8426000,9677000,12774000,18227000,18143000,12030000,19655000,17861000,-4121000,3537000,- -,6761000,-79921000,7407000,-2260000,- -,2457000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4878000,4627000,5372000,5048000,4062000,6939000,- -,7936000,9611000,7646000,7312000,- -,12848000
77,Change in Working Capital,-16245411,- -,2000000,39200000,-12400000,-19436000,46536000,-28500000,-49000000,-7900000,-9500000,6513000,-6713000,500000,-5300000,31600000,-22616000,-11505000,- -,-36937000,-8756000,122198000,14940000,- -,-93097000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3294000,-2487000,-1855000,-2309000,-1941000,-517000,- -,30537000,-25276000,-1177000,2025000,- -,-12936000
79,Inventory,-6549385,-7497222,14694633,5092000,8800000,-448000,-2838000,8501000,91000,96000,-4845000,-117000,4130000,-3702000,17885000,2635000,-23750000,6004000,- -,-18456000,-48478000,38213000,40971000,- -,-7030000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3296000,18095000,-14496000,8841000,12984000,-29231000,- -,21946000,-24477000,-18358000,14941000,- -,65197000
81,Other Working Capital,59700000,59700000,61700000,100900000,88500000,69064000,115600000,87100000,38100000,30200000,20700000,27213000,20500000,21000000,15700000,47300000,24684000,13179000,- -,396263000,387507000,509705000,524645000,- -,431548000
82,Other Non-Cash Items,-1257722,-5644504,11151092,-36592000,5064000,-8512000,133568000,37535000,59822000,9335000,9583000,-10697000,-2090000,10905000,-154000,-29376000,15301000,-7166000,- -,40015000,100227000,-83639000,63647000,- -,218718000
83,Cash Provided by Operating Activities,16407077,29611962,49991031,54574000,58281000,34208000,53936000,27566000,60630000,50704000,60170000,71064000,80037000,88557000,87146000,93658000,58890000,138876000,- -,153786000,52706000,171374000,179978000,- -,306716000
84,CAPEX,-46237512,-23997384,-16418527,-14843000,-36527000,-35235000,-12196000,-11539000,-25354000,-29497000,-28365000,-40076000,-57249000,-50472000,-33029000,-42518000,-42012000,-90012000,- -,-73429000,-70906000,-71495000,-74815000,- -,-67298000
85,Acquisitions Net,- -,- -,- -,-101188000,-85131000,-2106000,- -,- -,- -,- -,-53773000,-47879000,-102972000,-6375000,-1250000,-478000,-13720000,- -,- -,- -,-226939000,- -,-86659000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,10430114,20770687,-53922368,77630000,6033000,21069000,1135000,1256000,3570000,1514000,6006000,2755000,14282000,-1163000,1156000,-804000,2676000,8325000,- -,5202000,-17548000,7339000,18302000,- -,10077000
89,Cash Used for Investing Activites,-35807398,-3226697,-70340895,-38401000,-115625000,-16272000,-11061000,-10283000,-21784000,-27983000,-76132000,-85200000,-145939000,-58010000,-33123000,-43800000,-53056000,-81687000,- -,-68227000,-315393000,-64156000,-143172000,- -,-57221000
90,Debt Repayment,-36939210,-30470692,-13650000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11437000,-528637000,-158584000,-55251000,-520056000,-1100007000,- -,-1394104000,-1147947000,-1131732000,-1246402000,- -,-1590803000
91,Common Stock Issued,3899110,3407234,2985341,3933000,701000,806000,666000,- -,748000,882000,3208000,735000,- -,- -,- -,- -,398000,1120000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-8325035,-10119467,-10359474,-8814000,-2569000,-33000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12381000,-11381000,-4987000,- -,-9000000,-34995000,-20000000,- -,- -,-10000000
93,Dividends Paid,-605937,-587071,-555714,-503000,-125000,- -,- -,- -,- -,-1050000,-4302000,-4371000,-4428000,-4483000,-4525000,-5926000,-6899000,-18090000,- -,-22496000,-24704000,-25923000,-20709000,- -,-34509000
94,Other Financing Activites,55774127,14212619,49015249,-3123000,50476000,-26383000,-48189000,-6922000,-37966000,-29778000,21464000,25576000,68419000,505224000,143740000,6352000,511725000,1062002000,- -,1341673000,1461649000,1073355000,1235892000,- -,1381548000
95,Cash Used/Provided by Financing Activities,13803055,-23557377,27435402,-8507000,48483000,-25610000,-47523000,-6922000,-37218000,-29946000,20370000,21940000,52554000,-27896000,-19369000,-67206000,-26213000,-59962000,- -,-83927000,254003000,-104300000,-31219000,- -,-253764000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-5597266,2827888,7085538,7666000,-8861000,-7674000,-4648000,10361000,1628000,-7225000,4408000,7804000,-13348000,2651000,34654000,-17348000,-20379000,-2773000,- -,1632000,-8684000,2918000,5587000,- -,-4269000
98,Cash at the End of Period,34198752,37026640,44112178,36422000,27561000,13903000,23306000,12679000,14880000,7655000,12063000,19867000,6519000,9170000,43824000,26476000,6097000,6443000,- -,24351000,15667000,18585000,24172000,- -,19903000
99,Cash at the Beginning of Period,39796018,34198752,37026640,28756000,36422000,21577000,27954000,2318000,13252000,14880000,7655000,12063000,19867000,6519000,9170000,43824000,26476000,9216000,- -,22719000,24351000,15667000,18585000,- -,24172000
100,Free Cash Flow,-29830435,5614578,33572504,39731000,21754000,-1027000,41740000,16027000,35276000,21207000,31805000,30988000,22788000,38085000,54117000,51140000,16878000,48864000,- -,80357000,-18200000,99879000,105163000,- -,239418000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/877422/000090572901500149/0000905729-01-500149-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572902000128/0000905729-02-000128-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572903000246/0000905729-03-000246-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572904000261/0000905729-04-000261-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572905000215/0000905729-05-000215-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572906000264/0000905729-06-000264-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572907000211/0000905729-07-000211-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572908000244/0000905729-08-000244-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572909000189/0000905729-09-000189-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000090572910000155/0000905729-10-000155-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000119312511141732/0001193125-11-141732-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000119312512245139/0001193125-12-245139-index.htm,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/877422/000156459017003079/0001564590-17-003079-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000156459018003137/0001564590-18-003137-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000156459019004916/0001564590-19-004916-index.htm,https://www.sec.gov/Archives/edgar/data/877422/000156459020006792/0001564590-20-006792-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/877422/000156459021010568/0001564590-21-010568-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
