,https://roic.ai/company/KMT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,131200000,132900000,150200000,166400000,212100000,237100000,231800000,231800000,306500000,333200000,368600000,399400000,540100000,613000000,604047000,449775000,392200000,469025000,514855000,577955000,585533000,570456000,619450000,502701000,490577000,550132000,577841000,548610000,615963000,581581000,515737000,479745000,512820000,488562000,402247000,421249000
11,COGS and Expenses,329100000,318100000,370700000,415800000,524600000,562900000,563500000,557100000,735800000,857000000,955500000,1029300000,1482800000,1741400000,1676140000,1641951000,1465118000,1659078000,1832929000,2091589000,2082995000,2114387000,2401339000,1926021000,1746916000,2069234000,2319837000,2292979000,2556150000,2422783000,1998106000,1880406000,2048381000,2032300000,1758081000,1710212000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27244000,25203000,22760000,27215000,27472000,32451000,31466000,27752000,28842000,30081000,32994000,35154000,46375000
14,Depreciation and Amortization,18400000,20500000,24400000,26400000,29900000,32700000,31300000,30900000,43200000,39300000,40200000,41400000,67400000,96000000,101646000,97297000,73629000,84043000,65989000,66884000,71144000,78663000,94733000,96381000,96429000,93471000,104073000,113104000,130222000,131664000,117466000,107656000,108680000,112052000,119860000,126488000
15,EBITDA,19200000,52100000,66100000,75600000,85000000,71100000,52300000,65000000,54600000,152600000,153800000,158300000,192500000,168000000,197056000,187885000,-119379000,116473000,175067000,247569000,500329000,323375000,326565000,-7322000,195028000,409814000,517654000,403534000,387650000,-227420000,-55437000,215531000,408922000,450330000,156360000,233540000
16,EBITDA ratio,0.0540,0.1470,0.1574,0.1601,0.1443,0.1151,0.0880,0.1086,0.0680,0.1551,0.1424,0.1369,0.1147,0.0883,0.1063,0.1039,-0.0754,0.0662,0.0888,0.1074,0.2148,0.1356,0.1207,-0.0037,0.1035,0.1705,0.1892,0.1558,0.1366,-0.0859,-0.0264,0.1047,0.1727,0.1896,0.0829,0.1268
17,Operating Income,26300000,36400000,49200000,56400000,64400000,54900000,31000000,41400000,66700000,126900000,124500000,127000000,195600000,161500000,177523000,165945000,118624000,99879000,138512000,212578000,246633000,271106000,303790000,73838000,137151000,334259000,416409000,296394000,263432000,-357823000,-174943000,112944000,307565000,328850000,22252000,102168000
18,Operating Income ratio,0.0740,0.1027,0.1172,0.1194,0.1093,0.0889,0.0521,0.0692,0.0831,0.1290,0.1153,0.1098,0.1165,0.0849,0.0958,0.0918,0.0749,0.0568,0.0703,0.0923,0.1059,0.1136,0.1123,0.0369,0.0728,0.1391,0.1522,0.1145,0.0928,-0.1352,-0.0834,0.0549,0.1299,0.1384,0.0118,0.0555
19,Total Other Income Expenses (Gains),-25500000,-4800000,-7500000,-7200000,-9300000,-16500000,-10000000,-7300000,-40300000,-13600000,-10900000,-10100000,-70500000,-89500000,-81846000,-74758000,-59573000,-65589000,-27838000,-28301000,201086000,-21610000,-68978000,-186334000,-60549000,-38126000,-26440000,-29785000,-34623000,-29792000,-23628000,-31069000,-32524000,-17615000,-20292000,-37508000
20,Income Before Tax,800000,31600000,41700000,49200000,55100000,38400000,21000000,34100000,26400000,113300000,113600000,116900000,125100000,72000000,95677000,91187000,59051000,34290000,110674000,184277000,447719000,249496000,234812000,-112496000,76602000,296133000,389969000,266609000,228809000,-387615000,-198571000,81875000,275041000,311235000,1960000,64660000
21,Income Before Tax Ratio,0.0023,0.0891,0.0993,0.1042,0.0935,0.0622,0.0353,0.0570,0.0329,0.1152,0.1052,0.1011,0.0745,0.0378,0.0516,0.0504,0.0373,0.0195,0.0561,0.0800,0.1922,0.1046,0.0868,-0.0563,0.0407,0.1232,0.1425,0.1030,0.0806,-0.1464,-0.0946,0.0398,0.1162,0.1310,0.0010,0.0351
22,Income Tax expense (Gain),200000,14400000,17400000,19200000,23000000,17300000,8100000,14000000,15500000,45000000,43900000,44900000,53900000,32900000,43700000,37300000,18900000,14300000,35500000,61394000,172902000,70469000,64057000,-11205000,26977000,63856000,79136000,59693000,66611000,-16654000,25313000,29895000,69981000,63359000,7007000,6243000
23,Net Income,600000,17200000,24300000,30000000,32100000,21100000,12900000,20100000,-4100000,68300000,69700000,72000000,71200000,39100000,51710000,53288000,-211908000,18130000,73578000,119291000,256283000,174243000,167775000,-119742000,46419000,229727000,307230000,203265000,158366000,-373896000,-225968000,49138000,200180000,241925000,-5661000,54434000
24,Net Income ratio,0.0017,0.0485,0.0579,0.0635,0.0545,0.0342,0.0217,0.0336,-0.0051,0.0694,0.0645,0.0623,0.0424,0.0205,0.0279,0.0295,-0.1338,0.0103,0.0373,0.0518,0.1100,0.0730,0.0620,-0.0599,0.0246,0.0956,0.1123,0.0785,0.0558,-0.1412,-0.1077,0.0239,0.0845,0.1019,-0.0030,0.0296
25,EPS,0.01,0.42,0.59,0.72,0.77,0.50,0.30,0.47,-0.09,1.29,1.31,1.35,1.30,0.66,0.85,0.87,-3.40,0.26,1.03,1.61,3.33,2.27,2.18,-1.64,0.57,2.80,3.83,2.56,2.01,-4.71,-2.83,0.61,2.45,2.94,-0.07,0.65
26,EPS Diluted,0.01,0.42,0.59,0.71,0.76,0.50,0.30,0.46,-0.09,1.29,1.31,1.35,1.29,0.66,0.85,0.86,-3.40,0.26,1.01,1.56,3.24,2.22,2.15,-1.64,0.57,2.76,3.77,2.52,1.99,-4.71,-2.83,0.61,2.42,2.90,-0.07,0.65
27,Weighted Average Shares Outstanding,40000000,40470588,40840336,41379310,41688312,42200000,43000000,43225806,48235294,52972000,53270000,53150000,54526000,59834000,60526000,61120000,62338000,70404000,71408000,73848000,76864000,76788000,76811000,73122000,80966000,82063000,80216000,79463000,78678000,79342000,79835000,80351000,81544000,82379000,83047000,83602000
28,Weighted Average Shares Outstanding Diluted,40000000,40470588,40840336,41958042,42236842,42200000,43000000,43695652,48235294,52972000,53298429,53729730,55134000,59920000,60728000,61498000,63254000,70958000,72946000,76112000,79102000,78546000,78201000,73122000,81690000,83173000,81439000,80612000,79667000,79342000,79835000,81169000,82754000,83291000,83047000,84333000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55242/000005524294000015/0000055242-94-000015-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55242/000095012802000680/0000950128-02-000680-index.html,- -,https://www.sec.gov/Archives/edgar/data/55242/000095015204006816/j0811401e10vk.htm,https://www.sec.gov/Archives/edgar/data/55242/000095015205007561/j1588301e10vk.htm,https://www.sec.gov/Archives/edgar/data/55242/000095015206007298/l22101ae10vk.htm,https://www.sec.gov/Archives/edgar/data/55242/000095015207006922/0000950152-07-006922-index.html,https://www.sec.gov/Archives/edgar/data/55242/000095015208006526/0000950152-08-006526-index.html,https://www.sec.gov/Archives/edgar/data/55242/000095012309035279/0000950123-09-035279-index.html,https://www.sec.gov/Archives/edgar/data/55242/000095012310076593/0000950123-10-076593-index.html,https://www.sec.gov/Archives/edgar/data/55242/000095012311076137/0000950123-11-076137-index.html,https://www.sec.gov/Archives/edgar/data/55242/000119312512351892/0001193125-12-351892-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524213000017/0000055242-13-000017-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524214000020/0000055242-14-000020-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524215000024/0000055242-15-000024-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524216000060/0000055242-16-000060-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524217000024/0000055242-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524218000025/0000055242-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524219000019/0000055242-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524220000026/0000055242-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/55242/000005524221000042/0000055242-21-000042-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13200000,12300000,8900000,3800000,10300000,11300000,9000000,4100000,17200000,10800000,17100000,21900000,18400000,17400000,22323000,12940000,10385000,15093000,25940000,43220000,233976000,50433000,86478000,69823000,118129000,204565000,116466000,377316000,177929000,105494000,161579000,190629000,556153000,182015000,606684000,154047000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13400000,27614000,12419000,10728000,11365000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,13200000,12300000,8900000,3800000,10300000,11300000,9000000,4100000,17200000,10800000,17100000,21900000,18400000,30800000,49937000,25359000,21113000,26458000,25940000,43220000,233976000,50433000,86478000,69823000,118129000,204565000,116466000,377316000,177929000,105494000,161579000,190629000,556153000,182015000,606684000,154047000
34,Net Receivables,56800000,63100000,71400000,83900000,95100000,96800000,91000000,89500000,143700000,175400000,189800000,200500000,332700000,231300000,231917000,206175000,179101000,235648000,247245000,293311000,400861000,466690000,512794000,278977000,326699000,447835000,478989000,445322000,531515000,445373000,370916000,380425000,401290000,379855000,237983000,302945000
35,Inventory,87000000,92200000,96500000,105000000,114600000,119800000,118200000,115200000,158200000,200700000,204900000,210100000,436500000,434500000,410885000,373221000,345076000,392255000,388077000,386674000,345062000,403613000,460800000,381306000,364268000,519973000,585856000,578795000,703766000,575531000,458830000,487681000,525466000,571576000,522447000,476345000
36,Other Current Assets,- -,- -,- -,100000,- -,-100000,- -,100000,13700000,22400000,24700000,25400000,31200000,53800000,65819000,76441000,92094000,110318000,135683000,107857000,106958000,95766000,91914000,145798000,106835000,115212000,101651000,98040000,111986000,132148000,84016000,55166000,63257000,57381000,73698000,71470000
37,Total Current Assets,157000000,167600000,176800000,192800000,220000000,227800000,218200000,208900000,332800000,409300000,436500000,457900000,818800000,750400000,758558000,681196000,637384000,764679000,796945000,831062000,1086857000,1016502000,1151986000,875904000,915931000,1287585000,1282962000,1499473000,1525196000,1258546000,1075341000,1113901000,1546166000,1190827000,1440812000,1004807000
38,PP&E,126700000,139800000,161800000,166400000,175500000,193800000,200500000,192300000,243100000,260300000,267100000,300400000,525900000,539800000,498784000,472874000,435116000,493373000,484475000,519301000,536274000,614019000,749755000,720326000,664535000,697062000,742201000,741482000,884458000,815825000,730640000,744388000,824213000,934895000,1086306000,1105476000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,505210000,631363000,608519000,502983000,489443000,511328000,719350000,721755000,975576000,417389000,298487000,301367000,301802000,300011000,270580000,277615000
40,Intangible Assets,4400000,4500000,3300000,9500000,38800000,34900000,33400000,29800000,32100000,32300000,33800000,49900000,706600000,685700000,661172000,624760000,367992000,473932000,542014000,652791000,118421000,202927000,194203000,174453000,155306000,152279000,243487000,222765000,343176000,286669000,207208000,190527000,176468000,160998000,132568000,120041000
41,Intangible Assets,4400000,4500000,3300000,9500000,38800000,34900000,33400000,29800000,32100000,32300000,33800000,49900000,706600000,685700000,661172000,624760000,367992000,473932000,542014000,652791000,623631000,834290000,802722000,677436000,644749000,663607000,962837000,944520000,1318752000,704058000,505695000,491894000,478270000,461009000,403148000,397656000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2138000,2251000,829000,685000,671000,495000,361000,2000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24300000,47077000,39721000,33880000,25021000,23129000,11827000,29876000,25205000,39590000,41006000,24091000,14459000,28349000,17015000,20507000,46782000,58742000
44,Other Non-Current Assets,11900000,15100000,17400000,14600000,17100000,19700000,20100000,17300000,89500000,79700000,62100000,61100000,87700000,67700000,64428000,46612000,83119000,47108000,90929000,42106000,148789000,107536000,54865000,48041000,28530000,75510000,20298000,75303000,98179000,46648000,42656000,36964000,60073000,49031000,60543000,99080000
45,Total Non-Current Assets,143000000,159400000,182500000,190500000,231400000,248400000,254000000,239400000,364700000,372300000,363000000,411400000,1320200000,1293200000,1224384000,1144246000,886227000,1014413000,1141718000,1261275000,1348415000,1589725000,1632363000,1471070000,1351892000,1466884000,1751226000,1801566000,2342890000,1590983000,1293452000,1301595000,1379571000,1465442000,1596779000,1660954000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,300000000,327000000,359300000,383300000,451400000,476200000,472200000,448300000,697500000,781600000,799500000,869300000,2139000000,2043600000,1982942000,1825442000,1523611000,1779092000,1938663000,2092337000,2435272000,2606227000,2784349000,2346974000,2267823000,2754469000,3034188000,3301039000,3868086000,2849529000,2368793000,2415496000,2925737000,2656269000,3037591000,2665761000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,43900000,32500000,52100000,60200000,64700000,60300000,115400000,89300000,118908000,118073000,101586000,119853000,148216000,154839000,126120000,189301000,189050000,87176000,125360000,222678000,219475000,190623000,206891000,187381000,182039000,215722000,221903000,212908000,164641000,177659000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,57200000,71000000,75000000,134100000,126700000,143400000,61556000,2031000,16554000,10845000,126807000,50889000,2214000,5430000,33600000,49365000,22993000,310963000,75137000,44319000,80117000,15702000,1895000,925000,400200000,157000,513614000,22585000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18897000,17857000,38098000,39270000,34356000,33354000,40243000,29585000,16145000,28749000,37194000,32991000,24932000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,55500000,65400000,77200000,101700000,111000000,139400000,66200000,55500000,92700000,94000000,79100000,87600000,135000000,144200000,180691000,174381000,143960000,205649000,214359000,222930000,333865000,292506000,298661000,242428000,244652000,307880000,284010000,232651000,275748000,279661000,243341000,244831000,264428000,248661000,219825000,237150000
53,Total Current Liabilities,55500000,65400000,77200000,101700000,111000000,139400000,110100000,88000000,202000000,225200000,218800000,282000000,377100000,376900000,361155000,294485000,262100000,336347000,489382000,428658000,462199000,487237000,521311000,378969000,393005000,841521000,578622000,467593000,562756000,482744000,427275000,461478000,886531000,461726000,898080000,437394000
54,Long-Term Debt,69300000,72100000,74400000,57100000,81300000,73100000,95300000,87900000,90200000,78700000,56100000,40400000,840900000,717900000,637686000,582585000,387887000,514842000,313400000,386485000,409508000,361399000,313052000,436592000,314675000,1919000,490608000,699202000,978915000,734188000,699542000,694991000,591505000,592474000,629455000,628908000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,21900000,23300000,21400000,19900000,27500000,11700000,7700000,10700000,19300000,21000000,20600000,21100000,45300000,53100000,54955000,53844000,52570000,8748000,64571000,59551000,73338000,70669000,76980000,71281000,63266000,83310000,69134000,102935000,118092000,59744000,17126000,14883000,26991000,23322000,21796000,23710000
57,Other Non-Current Liabilities,- -,- -,100000,100000,- -,8500000,7600000,6600000,51800000,51600000,52600000,57100000,98000000,97100000,93786000,87898000,96421000,178698000,167926000,227321000,180236000,184831000,203572000,192677000,163434000,169078000,227603000,219016000,246715000,197418000,229049000,191491000,190383000,204043000,219472000,207544000
58,Total Non-Current Liabilities,91200000,95400000,95900000,77100000,108800000,93300000,110600000,105200000,161300000,151300000,129300000,118600000,984200000,868100000,786427000,724327000,536878000,702288000,545897000,673357000,663082000,616899000,593604000,700550000,541375000,254307000,787345000,1021153000,1343722000,991350000,945717000,901365000,808879000,819839000,870723000,860162000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,309223000,- -,4433000,2886000,1771000,748000,190000,- -,- -,48618000,51020000
61,Total Liabilities,146700000,160800000,173100000,178800000,219800000,232700000,220700000,193200000,363300000,376500000,348100000,400600000,1361300000,1245000000,1147582000,1018812000,798978000,1038635000,1035279000,1102015000,1125281000,1104136000,1114915000,1079519000,934380000,1095828000,1365967000,1488746000,1906478000,1474094000,1372992000,1362843000,1695410000,1281565000,1768803000,1297556000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41100000,41500000,42018000,46729000,47061000,47390000,47805000,50448000,51861000,96076000,91540000,102379000,101411000,100106000,97303000,98340000,99219000,99618000,100832000,102058000,103026000,103654000,104518000
64,Retained Earnings,187300000,194600000,208300000,226700000,246700000,255600000,256000000,263500000,245400000,297800000,351600000,406100000,458800000,477600000,508733000,540965000,307631000,301263000,350012000,443869000,670433000,812917000,941553000,786345000,793448000,983374000,1246973000,1399227000,1501157000,1070282000,780597000,765607000,900683000,1076862000,1004898000,992597000
65,Other Comprehensive Income/Loss,-109000000,-125000000,-143000000,-154600000,-171500000,-182100000,-199000000,-210100000,-224600000,-256800000,-304400000,-329800000,-386600000,-452500000,-452220000,-531002000,-639619000,-66822000,3944000,-63809000,37866000,61674000,142109000,11719000,-72781000,82529000,-150662000,-89004000,-66131000,-243523000,-352509000,-323692000,-320325000,-373543000,-417242000,-330327000
66,Other Total Stockholders Equity,75000000,96600000,120900000,132400000,156400000,170000000,194500000,201700000,313400000,364100000,404200000,392400000,705500000,732400000,737347000,754649000,1009892000,440075000,485806000,544997000,536618000,558015000,468169000,357839000,492454000,470758000,447433000,374300000,395890000,419829000,436617000,474547000,511909000,528827000,538575000,562820000
67,Total Stockholders Equity,153300000,166200000,186200000,204500000,231600000,243500000,251500000,255100000,334200000,405100000,451400000,468700000,777700000,798600000,835360000,806630000,724633000,721577000,887152000,972862000,1295365000,1484467000,1647907000,1247443000,1315500000,1638072000,1643850000,1781826000,1929256000,1345807000,964323000,1017294000,1194325000,1335172000,1229885000,1329608000
68,Total Liabilities And Stockholders Equity,300000000,327000000,359300000,383300000,451400000,476200000,472200000,448300000,697500000,781600000,799500000,869300000,2139000000,2043600000,1982942000,1825442000,1523611000,1760212000,1922431000,2074877000,2420646000,2588603000,2762822000,2326962000,2249880000,2733900000,3009817000,3270572000,3835734000,2819901000,2337315000,2380137000,2889735000,2616737000,2998688000,2627164000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18880000,16232000,17460000,14626000,17624000,21527000,20012000,17943000,20569000,24371000,30467000,32352000,29628000,31478000,35359000,36002000,39532000,38903000,38597000
70,Total Liabilities & Equity,300000000,327000000,359300000,383300000,451400000,476200000,472200000,448300000,697500000,781600000,799500000,869300000,2139000000,2043600000,1982942000,1825442000,1523611000,1779092000,1938663000,2092337000,2435272000,2606227000,2784349000,2346974000,2267823000,2754469000,3034188000,3301039000,3868086000,2849529000,2368793000,2415496000,2925737000,2656269000,3037591000,2665761000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55242/000005524294000015/0000055242-94-000015-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55242/000095012802000680/0000950128-02-000680-index.html,- -,https://www.sec.gov/Archives/edgar/data/55242/000095015204006816/j0811401e10vk.htm,https://www.sec.gov/Archives/edgar/data/55242/000095015205007561/j1588301e10vk.htm,https://www.sec.gov/Archives/edgar/data/55242/000095015206007298/l22101ae10vk.htm,https://www.sec.gov/Archives/edgar/data/55242/000095015207006922/0000950152-07-006922-index.html,https://www.sec.gov/Archives/edgar/data/55242/000095015208006526/0000950152-08-006526-index.html,https://www.sec.gov/Archives/edgar/data/55242/000095012309035279/0000950123-09-035279-index.html,https://www.sec.gov/Archives/edgar/data/55242/000095012310076593/0000950123-10-076593-index.html,https://www.sec.gov/Archives/edgar/data/55242/000095012311076137/0000950123-11-076137-index.html,https://www.sec.gov/Archives/edgar/data/55242/000119312512351892/0001193125-12-351892-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524213000017/0000055242-13-000017-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524214000020/0000055242-14-000020-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524215000024/0000055242-15-000024-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524216000060/0000055242-16-000060-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524217000024/0000055242-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524218000025/0000055242-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524219000019/0000055242-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/55242/000005524220000026/0000055242-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/55242/000005524221000042/0000055242-21-000042-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,30000000,32100000,21100000,12900000,20100000,-4100000,68300000,69700000,72000000,71200000,39100000,51710000,53288000,-211908000,18130000,73578000,119291000,256283000,174243000,167775000,-119742000,46419000,229727000,307230000,203265000,158366000,-373896000,-225968000,49138000,200180000,241925000,-5661000,54434000
74,Depreciation and Amortization,- -,- -,- -,26400000,29900000,32700000,31300000,30900000,43200000,39300000,40200000,41400000,67400000,96000000,101646000,97297000,73629000,84043000,65989000,66884000,71144000,78663000,94733000,96381000,96429000,93471000,104073000,113104000,130222000,131664000,117466000,107656000,108680000,112052000,119860000,126488000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13600000,8839000,-8938000,31967000,-10898000,230000,-7881000,28602000,232000,23119000,-48575000,8328000,6267000,22915000,2806000,-23899000,-21189000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9412000,16640000,18852000,21500000,21874000,17641000,16827000,18129000,21065000,20830000,22845000,16048000,24799000
77,Change in Working Capital,- -,- -,- -,6700000,17900000,-20600000,19700000,12800000,9900000,53300000,33600000,-41800000,265800000,-68200000,23903000,-10692000,-11427000,53048000,-120769000,94841000,222254000,-95393000,101410000,-133740000,25991000,-76862000,258276000,327540000,-69440000,-186638000,-127736000,4357000,7212000,69466000,-186369000,24681000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200159000,-58245000,-89153000,-10891000,33801000,-45041000,46552000,32661000,-7606000,-22201000,17323000,128715000,-53324000
79,Inventory,- -,- -,- -,3100000,4500000,-6300000,5500000,-1500000,9600000,-34400000,-9800000,1400000,-37200000,-3900000,14331000,19894000,40251000,38171000,10255000,-8446000,-7711000,-26117000,-34034000,36048000,-2576000,-124082000,-63833000,5879000,-5310000,70874000,69552000,-24300000,-37230000,-53387000,28185000,61270000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-90449000,13748000,-8218000,-2180000,51418000,-5046000,-49378000,-46315000,46775000
