,https://roic.ai/company/BYD,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,- -,12700000,36200000,28200000,- -,28600000,38300000,62765000,24950000,40012000,40933000,111454000,144610000,116778000,303035000,-223005000,4241000,10310000,-3854000,-908865000,-80264000,-53041000,47234000,418003000,189193000,115048000,157636000,-134700000,463846000
24,Net Income ratio,- -,0.0271,0.0548,0.0363,- -,0.0293,0.0388,0.0580,0.0226,0.0326,0.0327,0.0643,0.0651,0.0533,0.1517,-0.1252,0.0026,0.0048,-0.0016,-0.3654,-0.0277,-0.0196,0.0215,0.1914,0.0794,0.0438,0.0474,-0.0618,0.1376
25,EPS,- -,0.23,0.64,0.49,- -,0.46,0.62,1.01,0.40,0.62,0.64,1.46,1.63,1.32,3.46,-2.54,0.05,0.12,-0.04,-10.37,-0.83,-0.48,0.42,3.65,1.65,1.01,1.39,-1.19,4.09
26,EPS Diluted,- -,0.23,0.64,0.49,- -,0.46,0.62,1.01,0.40,0.61,0.62,1.42,1.60,1.30,3.42,-2.54,0.05,0.12,-0.04,-10.37,-0.83,-0.48,0.42,3.63,1.64,1.00,1.38,-1.19,4.09
27,Weighted Average Shares Outstanding,- -,53043478,56562500,57551020,50620155,62173913,61774194,62143564,62375000,64535484,63957812,76338356,88717791,88380000,87567000,87854000,86429000,86601000,87339000,87652000,97243000,109979000,112789000,114507000,114957000,114401000,113474000,113515000,114095000
28,Weighted Average Shares Outstanding Diluted,- -,53043478,56562500,57551020,50620155,62258065,61774194,62293000,62375000,65593443,66020968,78488732,90381250,89593000,88608000,87854000,86517000,86831000,87339000,87652000,97243000,109979000,113676000,115189000,115628000,115071000,113947000,113515000,114095000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/906553/000101706203000539/d10k.htm,https://www.sec.gov/Archives/edgar/data/906553/000119312504034617/d10k.htm,https://www.sec.gov/Archives/edgar/data/906553/000119312505050057/d10k.htm,https://www.sec.gov/Archives/edgar/data/906553/000119312506053694/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/906553/000119312508043612/d10k.htm,https://www.sec.gov/Archives/edgar/data/906553/000119312509042674/0001193125-09-042674-index.html,https://www.sec.gov/Archives/edgar/data/906553/000119312510048887/0001193125-10-048887-index.html,https://www.sec.gov/Archives/edgar/data/906553/000144530511000424/byd10k2010.htm,https://www.sec.gov/Archives/edgar/data/906553/000090655312000005/0000906553-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/906553/000090655313000019/0000906553-13-000019-index.html,https://www.sec.gov/Archives/edgar/data/906553/000090655314000011/byd10k2013.htm,https://www.sec.gov/Archives/edgar/data/906553/000090655315000011/byd10k2014.htm,https://www.sec.gov/Archives/edgar/data/906553/000090655316000053/0000906553-16-000053-index.html,https://www.sec.gov/Archives/edgar/data/906553/000090655317000013/0000906553-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/906553/000090655318000011/0000906553-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/906553/000090655319000009/0000906553-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/906553/000143774920003765/0001437749-20-003765-index.html,https://www.sec.gov/Archives/edgar/data/906553/000143774921004478/0001437749-21-004478-index.htm,https://www.sec.gov/Archives/edgar/data/906553/000143774922004655/0001437749-22-004655-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,67000000,83200000,49000000,- -,75900000,86200000,88059000,77115000,191380000,88213000,160723000,188406000,169397000,165701000,98152000,93202000,145623000,178756000,192828000,177838000,145341000,158821000,193862000,203104000,249417000,249977000,519182000,344557000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,67000000,83200000,49000000,- -,75900000,86200000,88059000,77115000,191380000,88213000,160723000,188406000,169397000,165701000,98152000,93202000,145623000,178756000,192828000,177838000,145341000,158821000,193862000,203104000,249417000,249977000,519182000,344557000
34,Net Receivables,- -,11300000,16100000,16000000,- -,33100000,17600000,14326000,20439000,22953000,22323000,45267000,37021000,34561000,41571000,36490000,39391000,53191000,61857000,64915000,66712000,28478000,26669000,32815000,45507000,60144000,60464000,53464000,89483000
35,Inventory,- -,6500000,6600000,6500000,- -,9600000,6200000,6200000,4603000,4502000,4432000,12597000,14402000,11037000,11269000,11325000,11392000,16029000,17493000,18618000,19719000,15161000,15462000,18568000,18004000,20590000,22101000,22616000,- -
36,Other Current Assets,- -,20300000,13500000,15300000,- -,23100000,32600000,19986000,28731000,45105000,44663000,43468000,48332000,159683000,120587000,68481000,48752000,65033000,84788000,79232000,70411000,52970000,56280000,62702000,62048000,69600000,66952000,55015000,73763000
37,Total Current Assets,- -,105100000,119400000,86800000,- -,141700000,142600000,128571000,130888000,263940000,159631000,262055000,288161000,374678000,339128000,214448000,192737000,279876000,342894000,355593000,334680000,241950000,257232000,307947000,328663000,399751000,399494000,650277000,507803000
38,PP&E,- -,656900000,765800000,797600000,- -,763200000,901000000,959966000,980400000,958603000,958816000,2277067000,2734485000,2129445000,2716036000,3249254000,3159177000,3471933000,3542108000,3624988000,3505613000,2286108000,2225342000,2605169000,2539786000,2716064000,2672553000,3454701000,3278425000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,404206000,404206000,213576000,213576000,213576000,213576000,694929000,685310000,685310000,685310000,826476000,888224000,1062102000,1083287000,971287000,971287000
40,Intangible Assets,- -,11000000,10600000,10500000,- -,202600000,354700000,345304000,457984000,449510000,449510000,936557000,911044000,506750000,538095000,422163000,422126000,460714000,574018000,1119638000,1070660000,934249000,890054000,881954000,842946000,1466670000,1466891000,1382173000,1368420000
41,Intangible Assets,- -,11000000,10600000,10500000,- -,202600000,354700000,345304000,457984000,449510000,449510000,936557000,911044000,910956000,942301000,635739000,635702000,674290000,787594000,1814567000,1755970000,1619559000,1575364000,1708430000,1731170000,2528772000,2550178000,2353460000,2339707000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,389000000,386000000,394000000,419000000,394220000,5185000,21367000,21382000,- -,222717000,244621000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5183000,5475000,- -,- -,264912000
44,Other Non-Current Assets,- -,63300000,53700000,58500000,- -,38800000,45700000,143773000,185641000,240937000,305040000,443353000,102281000,100220000,96131000,86986000,78121000,1271262000,1189091000,515663000,145468000,108590000,48341000,49205000,81128000,106277000,1027920000,100510000,-166678000
45,Total Non-Current Assets,- -,731200000,830100000,866600000,- -,1004600000,1301400000,1449043000,1624025000,1649050000,1713366000,3656977000,4136810000,3526621000,4148468000,4390979000,4267220000,5422670000,5540160000,5976600000,5407051000,4236974000,4093668000,4362804000,4357267000,5356588000,6250651000,5908671000,5716366000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,836300000,949500000,953400000,- -,1146300000,1444000000,1577614000,1754913000,1912990000,1872997000,3919032000,4424971000,3901299000,4487596000,4605427000,4459957000,5702546000,5883054000,6332193000,5741731000,4478924000,4350900000,4670751000,4685930000,5756339000,6650145000,6558948000,6224169000
48,Accounts Payable,- -,72200000,50400000,47200000,- -,32100000,36500000,38540000,35302000,35024000,35714000,69935000,92556000,77532000,74073000,50128000,39127000,49546000,98015000,91210000,75478000,85089000,75803000,84086000,106323000,111172000,91003000,96863000,102031000
49,Short-Term Debt,- -,21300000,36300000,4000000,- -,2000000,1700000,2485000,2455000,1487000,1463000,5682000,5729000,5550000,629000,616000,47527000,25690000,43230000,286683000,33559000,29753000,29750000,30336000,23981000,24181000,114680000,121218000,857647000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6504000,5630000,- -,- -,- -,- -,- -,21000,173000,- -,- -,393000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18922000,21687000,22854000,16037000,- -
52,Other Current Liabilities,- -,37300000,42600000,44600000,- -,83600000,98700000,115992000,129326000,141025000,163124000,246687000,341541000,248908000,305430000,302579000,208705000,536979000,330775000,372671000,344826000,242353000,249518000,251082000,230078000,312661000,328356000,289904000,-402636000
53,Total Current Liabilities,- -,130800000,129300000,95800000,- -,117700000,136900000,157017000,167083000,177536000,200301000,322304000,439826000,331990000,380132000,353323000,295359000,612215000,472020000,750564000,453863000,357195000,355071000,365504000,379304000,469701000,556893000,524022000,557042000
54,Long-Term Debt,- -,525600000,588000000,590800000,- -,774900000,982100000,1016813000,1143358000,1227324000,1097589000,2304343000,2552795000,2133016000,2265929000,2647058000,2576911000,3193065000,3347226000,4827853000,4352932000,3431638000,3239799000,3199119000,3051899000,3955119000,3738937000,4715568000,3805895000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264912000
56,Deferred Tax Liabilities,- -,15500000,29600000,33500000,- -,26400000,57900000,74006000,90735000,99569000,133854000,348615000,334346000,301639000,365370000,313743000,367862000,405155000,379958000,139943000,155218000,142263000,162189000,83980000,89075000,121262000,162695000,131052000,264912000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,24702000,90759000,147781000,63456000,85859000,309771000,146706000,129281000,109741000,85830000,88022000,64676000,64516000,926378000,64363000,-207338000
58,Total Non-Current Liabilities,- -,541100000,617600000,624300000,- -,801300000,1040100000,1090819000,1234093000,1326893000,1231443000,2652958000,2887141000,2459357000,2722058000,3108582000,3008229000,3684079000,4036955000,5114502000,4637431000,3683642000,3487818000,3371121000,3205650000,4140897000,4828010000,4910983000,4128381000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,927971000,939303000,- -
61,Total Liabilities,- -,671900000,746900000,720100000,- -,919000000,1177000000,1247836000,1401176000,1504429000,1431744000,2975262000,3326967000,2791347000,3102190000,3461905000,3303588000,4296294000,4508975000,5865066000,5091294000,4040837000,3842889000,3736625000,3584954000,4610598000,5384903000,5435005000,4685423000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,600000,622000,624000,648000,650000,875000,893000,871000,877000,878000,861000,862000,863000,869000,1082000,1093000,1117000,1129000,1126000,1118000,1115000,1118000,1113000
64,Retained Earnings,- -,65700000,102000000,130100000,- -,86100000,124400000,187136000,212086000,252098000,283352000,370089000,473964000,544080000,795693000,546358000,550599000,560909000,557055000,-351810000,-432074000,-485115000,-437881000,-19878000,168174000,253357000,380942000,246242000,710088000
65,Other Comprehensive Income/Loss,- -,-239600000,-286300000,-334400000,- -,-455800000,-482700000,-548148000,-623504000,-7532000,-4872000,-1917000,3295000,3703000,-10915000,-20018000,-18126000,-7594000,- -,-962000,-1517000,-53000,-316000,-615000,-182000,-1065000,-530000,150000,-180000
66,Other Total Stockholders Equity,- -,338300000,386900000,437600000,- -,597000000,624700000,690168000,764531000,163347000,162123000,574723000,619852000,561298000,599751000,616304000,623035000,635028000,644174000,655694000,902496000,922112000,945041000,953440000,931858000,892331000,883715000,876433000,827725000
67,Total Stockholders Equity,- -,164400000,202600000,233300000,- -,227300000,267000000,329778000,353737000,408561000,441253000,943770000,1098004000,1109952000,1385406000,1143522000,1156369000,1189205000,1202092000,303791000,469987000,438037000,507961000,934076000,1100976000,1145741000,1265242000,1123943000,1538746000
68,Total Liabilities And Stockholders Equity,- -,836300000,949500000,953400000,- -,1146300000,1444000000,1577614000,1754913000,1912990000,1872997000,3919032000,4424971000,3901299000,4487596000,4605427000,4459957000,5485499000,5711067000,6168857000,5561281000,4478874000,4350850000,4670701000,4685930000,5756339000,6650145000,6558948000,6224169000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,217047000,171987000,163336000,180450000,50000,50000,50000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,836300000,949500000,953400000,- -,1146300000,1444000000,1577614000,1754913000,1912990000,1872997000,3919032000,4424971000,3901299000,4487596000,4605427000,4459957000,5702546000,5883054000,6332193000,5741731000,4478924000,4350900000,4670751000,4685930000,5756339000,6650145000,6558948000,6224169000
71,SEC Link,undefined,- -,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/906553/000101706203000539/d10k.htm,https://www.sec.gov/Archives/edgar/data/906553/000119312504034617/d10k.htm,https://www.sec.gov/Archives/edgar/data/906553/000119312505050057/d10k.htm,https://www.sec.gov/Archives/edgar/data/906553/000119312506053694/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/906553/000119312508043612/d10k.htm,https://www.sec.gov/Archives/edgar/data/906553/000119312509042674/0001193125-09-042674-index.html,https://www.sec.gov/Archives/edgar/data/906553/000119312510048887/0001193125-10-048887-index.html,https://www.sec.gov/Archives/edgar/data/906553/000144530511000424/byd10k2010.htm,https://www.sec.gov/Archives/edgar/data/906553/000090655312000005/0000906553-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/906553/000090655313000019/0000906553-13-000019-index.html,https://www.sec.gov/Archives/edgar/data/906553/000090655314000011/byd10k2013.htm,https://www.sec.gov/Archives/edgar/data/906553/000090655315000011/byd10k2014.htm,https://www.sec.gov/Archives/edgar/data/906553/000090655316000053/0000906553-16-000053-index.html,https://www.sec.gov/Archives/edgar/data/906553/000090655317000013/0000906553-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/906553/000090655318000011/0000906553-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/906553/000090655319000009/0000906553-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/906553/000143774920003765/0001437749-20-003765-index.html,https://www.sec.gov/Archives/edgar/data/906553/000143774921004478/0001437749-21-004478-index.htm,https://www.sec.gov/Archives/edgar/data/906553/000143774922004655/0001437749-22-004655-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,12700000,36200000,28200000,-65300000,28600000,38300000,62765000,24950000,40012000,40933000,111454000,144610000,116778000,303035000,-223005000,4241000,10310000,-3854000,-908865000,-80264000,-53041000,47234000,418003000,189193000,115048000,157636000,-134700000,463846000
74,Depreciation and Amortization,- -,42100000,54500000,60600000,67300000,73400000,74100000,90480000,99811000,90077000,94224000,136126000,179723000,212673000,171139000,173734000,164427000,199275000,195343000,214332000,278413000,251044000,207118000,196226000,217522000,229979000,276569000,281031000,267787000
75,Deferred Income Tax,- -,900000,14100000,3900000,-42100000,26300000,20000000,24023000,17308000,11865000,28580000,30630000,-18253000,-14108000,68370000,-44153000,15574000,6284000,-2381000,-218594000,2986000,1488000,16306000,-199051000,5095000,34470000,41433000,-31643000,133860000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15888000,11324000,9996000,12247000,18891000,18476000,19264000,15518000,17413000,25379000,25202000,9202000,37773000
77,Change in Working Capital,- -,22300000,- -,15800000,900000,33000000,-18300000,-34146000,-7749000,122599000,-127074000,-19579000,-91416000,194353000,-83692000,-97871000,36253000,-229717000,203213000,-265845000,275788000,3938000,17406000,40282000,6916000,-19309000,-87449000,283654000,-175494000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2791000,-2862000,-11794000,9475000,-10596000,2373000,1971000,45000,-9937000,-772000,-315000,1339000,-36027000
79,Inventory,- -,-1900000,-200000,100000,-2000000,300000,3600000,-19000,1633000,101000,70000,-1663000,-1805000,3052000,-103000,-56000,-67000,-519000,114000,575000,-1181000,226000,-301000,884000,565000,1699000,-2032000,-515000,2526000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12385000,-31321000,24214000,13207000,-11824000,13521000,18494000,-1052000,- -,14819000
81,Other Working Capital,- -,-25700000,-25700000,-9900000,-9000000,24000000,5700000,-28446000,-36195000,86404000,-40670000,-60249000,-151665000,42688000,-41004000,-138875000,-102622000,-332339000,-129126000,-394971000,-119183000,-115245000,-97839000,-57557000,-50641000,-69950000,-157399000,126255000,-49239000
82,Other Non-Cash Items,- -,-2200000,-21700000,-4600000,121200000,-39600000,43600000,70005000,23743000,-86383000,136024000,10963000,205244000,-90183000,-175170000,411774000,4648000,287594000,-148807000,1309170000,-220923000,100954000,32518000,-195893000,-21789000,48960000,135601000,-118512000,282639000
83,Cash Provided by Operating Activities,- -,75800000,83100000,103900000,82000000,121700000,157700000,213127000,158063000,178170000,172687000,269594000,419908000,419513000,283682000,220479000,241031000,285070000,253510000,142445000,274891000,322859000,339846000,275085000,414350000,434527000,548992000,289032000,1010411000
84,CAPEX,- -,-307500000,-181200000,-107700000,-99600000,-68000000,-261200000,-139845000,-91064000,-7500000,- -,-268848000,-618444000,-436464000,-296894000,-667400000,-157557000,-87477000,-87224000,-125974000,-144520000,-149374000,-131170000,-160358000,-190464000,-161544000,-207637000,-175030000,-199452000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-132005000,-70861000,-81536000,-1096465000,- -,- -,-80904000,- -,-9375000,26025000,-302906000,-1324198000,343750000,-26891000,- -,-592703000,-1153000,-934073000,-5535000,-11201000,- -
86,Purchases of Investments,- -,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11652000,- -,- -,- -,- -,-73000,-1131000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,5000000,- -,- -,- -,- -,- -,- -,- -,- -,1097000,- -,- -,- -,- -,- -,290000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,2100000,30700000,2000000,-150700000,10500000,-94400000,-106854000,-56299000,-60650000,-50065000,591000,10001000,436112000,-2438000,-5876000,-155680000,-88925000,-59881000,-110961000,-267421000,-153089000,-126642000,451906000,-188619000,-200772000,-225896000,-159980000,-129580000
89,Cash Used for Investing Activites,- -,-310400000,-145500000,-105700000,-250300000,-57500000,-355600000,-246699000,-279368000,-139011000,-131601000,-1375277000,-608443000,-352000,-380236000,-673276000,-165128000,-63741000,-362787000,-1435159000,76329000,-179980000,-126642000,-140797000,-189772000,-1134845000,-231431000,-171181000,-129580000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-728887000,-2590304000,-973578000,-1621778000,-4645657000,-1735609000,-2294163000,-3066112000,-1119485000,-964322000,-2882024000,-1374548000,- -
91,Common Stock Issued,- -,72400000,1700000,2100000,35200000,1300000,1200000,34000,694000,14181000,7522000,22979000,21999000,19510000,15561000,472000,- -,- -,- -,- -,216467000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13389000,- -,- -,- -,- -,- -,-7950000,- -,- -,- -,- -,-2361000,- -,- -,-31927000,-59570000,-28045000,-11121000,- -
93,Dividends Paid,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,-9679000,-24717000,-40735000,-46662000,-51195000,-26330000,- -,- -,- -,- -,- -,- -,- -,- -,-11286000,-24730000,-28949000,-7808000,- -
94,Other Financing Activites,- -,169600000,77000000,-34400000,139300000,-67900000,207000000,35405000,121119000,60925000,-128707000,1179931000,234954000,-411018000,128492000,411106000,655984000,2421396000,1115988000,2928564000,4062980000,1562594000,2094439000,2966865000,947362000,1794863000,2618703000,1540177000,- -
95,Cash Used/Provided by Financing Activities,- -,241500000,78700000,-32300000,174500000,-66600000,208200000,35439000,121813000,75106000,-144253000,1178193000,216218000,-438170000,92858000,385248000,-80853000,-168908000,142410000,1306786000,-366210000,-175376000,-199724000,-99247000,-215336000,746241000,-320315000,146700000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,241500000,78700000,-32300000,174500000,-66600000,10300000,1867000,508000,114265000,-103167000,72510000,27683000,-19009000,-3696000,-67549000,-4950000,52421000,33133000,14072000,-14707000,-32497000,13480000,35041000,9242000,45923000,-2754000,264551000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,86200000,88059000,77115000,191380000,88213000,160723000,188406000,169397000,165701000,98152000,93202000,145623000,178756000,192828000,177838000,145341000,158821000,193862000,203104000,273202000,270448000,534999000,- -
