,https://roic.ai/company/ESTE,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,-1200000,- -,- -,200000,300000,-100000,200000,-100000,- -,101000,179000,-1065000,- -,399000,881000,-21000,434000,696000,1841000,2816000,3285000,3164000,343000,1118000,1822000,3862000,2041000,-10586000,-149229000,-46021000,-49875000,44062000,55132000,-84613000,190081000
18,Operating Income ratio,- -,-0.6316,- -,- -,0.1176,0.1500,-0.0625,0.1176,-0.0833,- -,0.0357,0.0588,-0.4347,- -,0.1798,0.2937,-0.0089,0.1678,0.2330,0.3791,0.4257,0.4584,0.4249,0.0378,0.1538,0.2220,0.3297,0.1794,-0.2206,-3.1237,-1.0888,-0.4615,0.2665,0.2883,-0.5855,0.4530
19,Total Other Income Expenses (Gains),- -,-300000,- -,- -,-100000,-100000,-100000,-100000,-100000,- -,- -,- -,- -,- -,- -,-17000,158000,- -,-2000,4000,12000,122000,124000,23000,58000,-14000,69000,41000,3857000,6132000,-7992000,-11231000,53621000,-51887000,55067000,-126716000
20,Income Before Tax,- -,-1500000,-300000,-200000,100000,200000,-200000,- -,-200000,100000,- -,- -,- -,- -,- -,864000,137000,434000,694000,1845000,2828000,3407000,3288000,366000,1176000,1808000,3931000,2082000,-6729000,-143097000,-54013000,-61106000,97683000,3245000,-29546000,63365000
21,Income Before Tax Ratio,- -,-0.7895,-0.1579,-0.1333,0.0588,0.1000,-0.1250,- -,-0.1667,0.0714,- -,- -,- -,- -,- -,0.2880,0.0578,0.1678,0.2323,0.3799,0.4275,0.4754,0.4415,0.0403,0.1618,0.2203,0.3356,0.1830,-0.1402,-2.9954,-1.2778,-0.5654,0.5907,0.0170,-0.2044,0.1510
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000,907000,1525000,-212000,148000,206000,652000,302000,22105000,-26442000,528000,-16373000,2470000,1665000,-112000,1859000
23,Net Income,- -,-1500000,-300000,-200000,100000,200000,-200000,- -,-200000,100000,6000,109000,-1111000,-100000,353000,864000,137000,434000,1256000,1845000,2815000,2500000,1763000,578000,1028000,1602000,3279000,1780000,-28834000,-116655000,-54541000,-12514000,42325000,719000,-13547000,61506000
24,Net Income ratio,- -,-0.7895,-0.1579,-0.1333,0.0588,0.1000,-0.1250,- -,-0.1667,0.0714,0.0021,0.0358,-0.4535,-0.0714,0.1591,0.2880,0.0578,0.1678,0.4205,0.3799,0.4255,0.3488,0.2367,0.0636,0.1414,0.1952,0.2800,0.1564,-0.6008,-2.4419,-1.2903,-0.1158,0.2560,0.0038,-0.0937,0.1466
25,EPS,- -,-1.07,-0.21,-0.13,0.07,0.13,-0.13,-0.01,-0.12,0.06,0.00,0.07,-0.67,-0.03,0.21,0.52,0.08,0.26,0.76,1.11,1.68,1.49,1.00,0.30,0.60,0.94,1.92,1.03,-3.11,-8.43,-2.92,-0.53,1.50,0.02,-0.45,0.75
26,EPS Diluted,- -,-1.07,-0.21,-0.13,0.07,0.13,-0.13,-0.01,-0.12,0.06,0.00,0.07,-0.67,-0.03,0.21,0.52,0.08,0.26,0.74,1.08,1.64,1.46,1.00,0.30,0.60,0.94,1.92,1.03,-3.11,-8.43,-2.92,-0.53,1.50,0.02,-0.45,0.71
27,Weighted Average Shares Outstanding,- -,1400000,1400000,1500000,1500000,1600000,1600000,1700000,1700000,1700000,1647886,1658048,1655388,1653048,1653048,1653048,1653048,1653048,1653048,1658630,1673261,1682507,1737025,1747721,1707352,1710453,1709178,1720712,9279324,13835128,18651582,23589973,28153885,28983354,29911625,47169948
28,Weighted Average Shares Outstanding Diluted,- -,1400000,1400000,1500000,1500000,1600000,1600000,1700000,1700000,1700000,1647886,1658048,1655388,1653048,2000000,1674471,1675797,1676834,1690408,1705429,1712563,1712953,1748067,1747721,1707352,1710453,1709178,1720712,9279324,13835128,18651582,23589973,28217774,29360885,29911625,49952093
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/10254/0000010254-97-000011-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/10254/000103570405000391/0001035704-05-000391-index.htm,https://www.sec.gov/Archives/edgar/data/10254/000095013406013201/d37466e10ksb.htm,https://www.sec.gov/Archives/edgar/data/10254/000095013407014448/d47924e10ksb.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/10254/000001025410000003/e10k_3-10.htm,- -,https://www.sec.gov/Archives/edgar/data/10254/000135448812003035/este_10k.htm,https://www.sec.gov/Archives/edgar/data/10254/000135448813003461/este_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/10254/000156459016014606/este-10k_20151231.htm,https://www.sec.gov/Archives/edgar/data/10254/000156459017004470/este-10k_20161231.htm,https://www.sec.gov/Archives/edgar/data/10254/000156459018005824/este-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/10254/000001025419000038/este-12312018x10kv2.htm,https://www.sec.gov/Archives/edgar/data/10254/000001025420000038/este-12312019x10k.htm,https://www.sec.gov/Archives/edgar/data/10254/000001025421000045/0000010254-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/10254/000001025422000047/0000010254-22-000047-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,600000,500000,600000,400000,300000,- -,100000,92000,97000,52000,- -,265000,720000,296000,434000,424000,892000,78000,2523000,5571000,4088000,4905000,4051000,6778000,2180000,100447000,23264000,10200000,22955000,376000,13822000,1494000,4013000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,600000,500000,600000,400000,300000,- -,100000,92000,97000,52000,- -,265000,720000,296000,434000,424000,892000,78000,2523000,5571000,4088000,4905000,4051000,6778000,2180000,100447000,23264000,10200000,22955000,376000,13822000,1494000,4013000
34,Net Receivables,- -,- -,- -,200000,300000,400000,300000,300000,- -,600000,477000,343000,203000,200000,541000,543000,697000,460000,626000,1007000,1315000,1261000,1346000,1841000,1422000,2003000,2479000,3383000,23433000,18453000,16696000,22756000,17849000,35719000,24221000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,371000,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,148000,283000,226000,200000,132000,76000,172000,181000,173000,179000,297000,262000,280000,508000,732000,539000,749000,443000,5147000,4192000,446000,1362000,45331000,10727000,9018000,57402000
37,Total Current Assets,- -,- -,- -,800000,800000,1000000,700000,700000,- -,700000,717000,723000,481000,400000,938000,1339000,1165000,1075000,1223000,2078000,1690000,4046000,7197000,6437000,7059000,6593000,10006000,6377000,129027000,45909000,27342000,47073000,63556000,60268000,34733000,61415000
38,PP&E,- -,- -,- -,3100000,2700000,2700000,2300000,2100000,- -,2700000,2625000,2447000,1418000,1200000,1281000,1250000,1718000,2200000,4313000,6122000,9942000,11337000,13493000,11325000,12339000,14249000,16200000,28192000,298087000,200267000,270881000,768517000,900371000,1045313000,968813000,1795000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22992000,17532000,17620000,17620000,17620000,17620000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22992000,17532000,17620000,17620000,17620000,17620000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,1000000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,100000,- -,-100000,- -,-100000,- -,100000,77000,75000,85000,100000,163000,155000,128000,138000,214000,215000,218000,69000,- -,- -,- -,- -,- -,111000,1282000,1236000,669000,1207000,1761000,1342000,1711000,1493157000
45,Total Non-Current Assets,- -,- -,- -,3200000,2700000,2600000,2300000,2000000,- -,2800000,2702000,2522000,1503000,1300000,1444000,1405000,1846000,2338000,4527000,6337000,10160000,11406000,13493000,11325000,12339000,14249000,16200000,28303000,322361000,219035000,289170000,787344000,940752000,1065275000,970524000,1494952000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,4000000,3500000,3600000,3000000,2700000,- -,3500000,3419000,3245000,1984000,1700000,2382000,2744000,3011000,3413000,5750000,8415000,11850000,15452000,20690000,17762000,19398000,20842000,26206000,34680000,451388000,264944000,316512000,834417000,1004308000,1125543000,1005257000,1556367000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,466000,324000,200000,484000,226000,347000,289000,256000,406000,389000,744000,1443000,64000,161000,496000,824000,1631000,28753000,20156000,22696000,43760000,55200000,61099000,6232000,31397000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126000,- -,234000,200000,240000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1604000,- -,- -,776000,842000,681000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,313000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21398000,15447000,4542000,4587000,3174000,11505000,- -,- -
52,Other Current Liabilities,- -,- -,- -,600000,600000,1000000,700000,400000,- -,1000000,699000,119000,144000,200000,246000,462000,472000,498000,710000,1098000,1084000,1245000,2586000,1328000,1836000,1167000,2610000,3971000,38301000,12975000,9987000,20512000,23491000,26778000,48420000,118537000
53,Total Current Liabilities,- -,- -,- -,600000,600000,1000000,700000,400000,- -,1000000,825000,585000,702000,600000,970000,689000,819000,787000,966000,1504000,1473000,1989000,4029000,1392000,1997000,1663000,3434000,5602000,88452000,48578000,38829000,68859000,81865000,100158000,55494000,150615000
54,Long-Term Debt,- -,- -,- -,1600000,1000000,400000,400000,300000,- -,600000,692000,649000,390000,300000,221000,- -,- -,- -,- -,- -,445000,- -,- -,- -,- -,- -,- -,4000000,11191000,11191000,12693000,25000000,78828000,170000000,116845000,1276000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,581000,2800000,2242000,2217000,2319000,2731000,2971000,29258000,- -,15776000,10515000,13489000,15154000,14497000,15731000
57,Other Non-Current Liabilities,- -,- -,- -,-100000,- -,- -,-100000,- -,- -,- -,- -,- -,23000,- -,- -,- -,- -,- -,902000,1175000,1372000,1802000,1877000,1558000,1674000,1795000,1693000,1809000,5959000,5302000,7757000,4311000,3634000,4480000,2885000,342484000
58,Total Non-Current Liabilities,- -,- -,- -,1500000,1000000,400000,300000,300000,- -,600000,692000,649000,413000,300000,221000,- -,- -,- -,902000,1175000,1817000,2383000,4677000,3800000,3891000,4114000,4424000,8780000,46408000,16493000,36226000,39826000,95951000,189634000,134227000,359491000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,2687000,- -
61,Total Liabilities,- -,- -,- -,2100000,1600000,1400000,1000000,700000,- -,1600000,1517000,1234000,1115000,900000,1191000,689000,819000,787000,1868000,2679000,3290000,4372000,8706000,5192000,5888000,5777000,7858000,14382000,134860000,65071000,75055000,108685000,177816000,289792000,189721000,510106000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1500000,1500000,1600000,1600000,1700000,- -,1700000,17000,17000,17000,- -,17000,17000,17000,17000,17000,17000,17000,17000,17000,18000,18000,18000,18000,18000,14000,14000,23000,64000,64000,64000,65000,53000
64,Retained Earnings,- -,- -,- -,-20800000,-20700000,-20500000,-20700000,-20700000,- -,-20800000,-20792000,-20683000,-21794000,-21800000,-21495000,-20631000,-20494000,-20060000,-18804000,-16959000,-14144000,-11644000,-10808000,-10230000,-9202000,-7600000,-4321000,-2541000,-41112000,-157767000,-212308000,-224822000,-182497000,-181711000,-195258000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-27400000,-27700000,-27900000,-28400000,-28800000,- -,-29100000,-356000,-357000,-374000,-31800000,-31936000,-32135000,-32372000,-32626000,-31883000,-32394000,-17564000,-17842000,- -,- -,-23956000,- -,-26161000,-28145000,- -,-120948000,-146993000,-120121000,-129746000,-198675000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,48500000,48800000,49000000,49500000,49800000,- -,50100000,23033000,23034000,23020000,54400000,54605000,54804000,55041000,55295000,54552000,55072000,40251000,40549000,- -,22782000,46650000,22647000,48812000,50966000,357626000,478574000,600735000,624053000,646819000,725921000,540074000,- -
67,Total Stockholders Equity,- -,- -,- -,1800000,1900000,2200000,2000000,2000000,- -,1900000,1902000,2011000,869000,800000,1191000,2055000,2192000,2626000,3882000,5736000,8560000,11080000,11984000,12570000,13510000,15065000,18348000,20298000,316528000,199873000,241457000,279174000,334640000,345599000,344881000,1046261000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,3900000,3500000,3600000,3000000,2700000,- -,3500000,3419000,3245000,1984000,1700000,2382000,2744000,3011000,3413000,5750000,8415000,11850000,15452000,20690000,17762000,19398000,20842000,26206000,34680000,451388000,264944000,316512000,387859000,512456000,635391000,534602000,1556367000
69,Minority Interest,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,446558000,491852000,490152000,470655000,- -
70,Total Liabilities & Equity,- -,- -,- -,4000000,3500000,3600000,3000000,2700000,- -,3500000,3419000,3245000,1984000,1700000,2382000,2744000,3011000,3413000,5750000,8415000,11850000,15452000,20690000,17762000,19398000,20842000,26206000,34680000,451388000,264944000,316512000,834417000,1004308000,1125543000,1005257000,1556367000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/10254/0000010254-97-000011-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/10254/000103570405000391/0001035704-05-000391-index.htm,https://www.sec.gov/Archives/edgar/data/10254/000095013406013201/d37466e10ksb.htm,https://www.sec.gov/Archives/edgar/data/10254/000095013407014448/d47924e10ksb.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/10254/000001025410000003/e10k_3-10.htm,- -,https://www.sec.gov/Archives/edgar/data/10254/000135448812003035/este_10k.htm,https://www.sec.gov/Archives/edgar/data/10254/000135448813003461/este_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/10254/000156459016014606/este-10k_20151231.htm,https://www.sec.gov/Archives/edgar/data/10254/000156459017004470/este-10k_20161231.htm,https://www.sec.gov/Archives/edgar/data/10254/000156459018005824/este-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/10254/000001025419000038/este-12312018x10kv2.htm,https://www.sec.gov/Archives/edgar/data/10254/000001025420000038/este-12312019x10k.htm,https://www.sec.gov/Archives/edgar/data/10254/000001025421000045/0000010254-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/10254/000001025422000047/0000010254-22-000047-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-300000,-200000,100000,200000,-200000,- -,-200000,100000,6000,109000,-1111000,-100000,353000,864000,137000,434000,1256000,1845000,2815000,2500000,1763000,578000,1028000,1602000,3279000,1780000,-28834000,-116655000,-54541000,-12514000,42325000,719000,-13547000,61506000
74,Depreciation and Amortization,- -,- -,600000,400000,300000,400000,400000,300000,300000,400000,- -,- -,- -,300000,199000,185000,235000,256000,316000,503000,550000,640000,685000,1224000,1221000,1165000,1116000,2017000,- -,- -,- -,- -,- -,- -,96414000,106367000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,581000,1311000,-558000,-24000,102000,412000,240000,22105000,-26533000,528000,-16388000,2470000,1665000,-657000,1859000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000,72000,75000,88000,170000,- -,- -,3301000,6601000,7071000,8648000,10054000,21014000
77,Change in Working Capital,- -,- -,-100000,- -,200000,- -,-200000,- -,300000,-600000,192000,246000,-359000,21000,168000,682000,-304000,-58000,-31000,317000,-357000,1840000,1111000,1877000,17000,-132000,1642000,-5797000,37881000,-43244000,-8818000,-10299000,3477000,-21581000,19129000,-68439000
78,Accounts Receivable,- -,- -,- -,- -,-100000,-100000,100000,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-495000,419000,-581000,-476000,-904000,-5305000,9246000,3807000,444000,-8195000,-18035000,11914000,-19061000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,459000,28408000,-30887000,-9151000,-282000,1132000,-10438000,481000,9293000
81,Other Working Capital,- -,- -,- -,- -,200000,200000,- -,- -,300000,-300000,-108000,138000,-221000,-200000,-32000,650000,346000,288000,257000,574000,217000,2057000,3168000,5045000,5062000,4930000,6572000,775000,40575000,-2669000,-11487000,-21786000,-18309000,-39890000,-20761000,-89200000
82,Other Non-Cash Items,- -,- -,100000,- -,-300000,100000,200000,100000,-200000,200000,584000,189000,1876000,-121000,-108000,-671000,333000,240000,-732000,-89000,5000,-1278000,-1261000,-273000,352000,-188000,-1259000,5457000,44636000,175992000,61242000,83551000,47036000,136797000,20109000,-198273000
83,Cash Provided by Operating Activities,- -,- -,300000,200000,300000,700000,200000,400000,200000,100000,782000,544000,406000,100000,612000,1060000,401000,872000,809000,2576000,3013000,4283000,3609000,2872000,2666000,2624000,5278000,3867000,75788000,-10440000,1712000,50951000,102379000,126248000,131502000,-75966000
84,CAPEX,- -,- -,-300000,-300000,-500000,-300000,-200000,-300000,-100000,-1800000,-483000,-377000,-1209000,-200000,-380000,-328000,-895000,-739000,-1004000,-2386000,-4324000,-1741000,-603000,-4338000,-1641000,-3356000,-7871000,-12417000,-103198000,-70144000,-28534000,-121038000,-182720000,-204795000,-88211000,23558000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4239000,- -,-31334000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,1900000,700000,- -,100000,100000,- -,600000,-454000,-370000,195000,100000,104000,183000,71000,5000,185000,269000,43000,328000,28000,- -,- -,- -,5404000,- -,- -,3542000,- -,34735000,5965000,4184000,414000,-311714000
89,Cash Used for Investing Activites,- -,- -,-300000,1600000,200000,-300000,-100000,-200000,-100000,-1200000,-454000,-370000,-402000,-100000,-276000,-145000,-824000,-734000,-819000,-2117000,-4281000,-1413000,-575000,-4338000,-1641000,-3356000,-2467000,-12417000,-107437000,-66602000,-59868000,-86303000,-176755000,-200611000,-87797000,-426235000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-564000,-371000,-265000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10825000,- -,-38549000,-74298000,-103002000,-143900000,-191186000,-539132000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,- -,- -,- -,- -,- -,- -,9000,9000,20000,14000,- -,- -,- -,- -,- -,106920000,- -,47125000,39438000,- -,- -,- -,76572000
