,https://roic.ai/company/DLTR,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,Operating Expenses,76000000,121900000,156500000,224700000,288000000,417287000,512092000,594035000,55000000,719223000,818988000,889124000,1046400000,1130800000,1226400000,1344000000,1457600000,1596200000,1732600000,1819500000,1993800000,3607000000,4689900000,5004300000,5160000000,5465500000,5900400000,1561000000
11,COGS and Expenses,263600000,432800000,553600000,795700000,1034500000,1480703000,1783406000,2075267000,169000000,2506275000,2832458000,3110685000,3658600000,3912300000,4279100000,4718400000,5252400000,5848400000,6474400000,6870000000,7562000000,14448700000,19014400000,20227900000,21035800000,22035600000,23621400000,6501000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7100000,- -,2900000,2800000,15400000,80100000,599400000,375500000,301800000,370000000,162100000,147300000,178900000
14,Depreciation and Amortization,5500000,10500000,13100000,20500000,28100000,41971000,53763000,71615000,7200000,101495000,129291000,140717000,159000000,159300000,161700000,157800000,159700000,163900000,175300000,190500000,205900000,487600000,637500000,611200000,621100000,645400000,686600000,716000000
15,EBITDA,39600000,65500000,92100000,133900000,187700000,241069000,254014000,323074000,-6800000,390247000,417461000,415935000,461900000,479100000,520800000,672500000,789600000,946300000,1157000000,1160200000,1240200000,1535200000,2342400000,2617000000,-317900000,1906200000,2573700000,2527100000
16,EBITDA ratio,0.1319,0.1329,0.1449,0.1457,0.1567,0.1428,0.1278,0.1387,-0.0422,0.1394,0.1335,0.1226,0.1164,0.1129,0.1121,0.1286,0.1342,0.1427,0.1565,0.1480,0.1442,0.0991,0.1131,0.1176,-0.0139,0.0807,0.1009,0.0960
17,Operating Income,36600000,60200000,81900000,123100000,163500000,207402000,203865000,253921000,-8000000,293597000,293551000,283239000,310800000,330300000,365800000,512800000,630000000,782100000,920100000,970300000,1040200000,1049700000,1704800000,1999100000,-939500000,1262200000,1887900000,1811400000
18,Operating Income ratio,0.1219,0.1221,0.1289,0.1340,0.1365,0.1229,0.1026,0.1090,-0.0497,0.1049,0.0939,0.0835,0.0783,0.0779,0.0788,0.0980,0.1071,0.1180,0.1244,0.1238,0.1209,0.0677,0.0823,0.0899,-0.0412,0.0535,0.0740,0.0688
19,Total Other Income Expenses (Gains),-2500000,-5200000,-2900000,-9700000,-3900000,-7917000,-3614000,-2462000,-1000000,-4845000,-5381000,-8021000,-7900000,-10500000,-6700000,-5200000,-100000,-2600000,58800000,-16000000,-86000000,-601500000,-375400000,-295100000,-369500000,-163500000,-148100000,-179200000
20,Income Before Tax,34100000,55000000,79000000,113400000,159600000,199485000,200251000,251459000,-9000000,288752000,288170000,275218000,302900000,319800000,359100000,507600000,629900000,779500000,978900000,954300000,954200000,448200000,1329400000,1704000000,-1309000000,1098700000,1739800000,1632200000
21,Income Before Tax Ratio,0.1136,0.1116,0.1243,0.1234,0.1332,0.1182,0.1008,0.1080,-0.0559,0.1031,0.0922,0.0811,0.0763,0.0754,0.0773,0.0970,0.1071,0.1176,0.1324,0.1217,0.1109,0.0289,0.0642,0.0766,-0.0574,0.0465,0.0682,0.0620
22,Income Tax expense (Gain),13100000,21200000,30400000,44500000,61100000,77476000,77170000,96812000,-3000000,111169000,107920000,101300000,110900000,118500000,129600000,187100000,232600000,291200000,359600000,357600000,355000000,165800000,433200000,-10300000,281800000,271700000,397900000,304300000
23,Net Income,21000000,33800000,48600000,68900000,98500000,121622000,123081000,154647000,-11000000,177583000,180250000,173918000,192000000,201300000,229500000,320500000,397300000,488300000,619300000,596700000,599200000,282400000,896200000,1714300000,-1590800000,827000000,1341900000,1327900000
24,Net Income ratio,0.0700,0.0686,0.0765,0.0750,0.0822,0.0720,0.0619,0.0664,-0.0683,0.0634,0.0577,0.0512,0.0484,0.0474,0.0494,0.0613,0.0675,0.0736,0.0838,0.0761,0.0697,0.0182,0.0433,0.0771,-0.0697,0.0350,0.0526,0.0504
25,EPS,0.08,0.12,0.18,0.25,0.35,0.39,0.37,0.45,-0.03,0.52,0.53,0.54,0.62,0.70,0.85,1.20,1.56,2.03,2.70,2.74,3.13,1.27,3.80,7.24,-6.69,3.49,5.68,5.81
26,EPS Diluted,0.08,0.12,0.17,0.23,0.32,0.36,0.36,0.45,-0.03,0.51,0.53,0.53,0.62,0.70,0.84,1.19,1.55,2.02,2.68,2.72,3.12,1.26,3.78,7.21,-6.69,3.47,5.65,5.79
27,Weighted Average Shares Outstanding,252000000,286810875,263472750,273073500,278275500,310885345,335675455,341133088,343000000,343709032,339885000,325005000,309600000,287700000,270900000,268200000,254200000,240600000,229300000,218100000,206000000,222500000,235700000,236800000,237900000,237200000,236400000,228600000
28,Weighted Average Shares Outstanding Diluted,273913043,287489250,290965500,302058000,306607500,333913889,338755046,343660000,343000000,345940909,341958000,326277000,311400000,289200000,272400000,270000000,256000000,242400000,230700000,219100000,207000000,223500000,236800000,237700000,238700000,238300000,237300000,229500000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/935703/000119312505076605/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/935703/000093570307000017/0000935703-07-000017-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570308000048/0000935703-08-000048-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570309000013/0000935703-09-000013-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570310000010/0000935703-10-000010-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570311000014/form10k.htm,https://www.sec.gov/Archives/edgar/data/935703/000093570312000007/0000935703-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570313000014/0000935703-13-000014-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570314000008/dltr-2014x02x01x10k.htm,https://www.sec.gov/Archives/edgar/data/935703/000093570315000034/dltr-2015x01x31x10k.htm,https://www.sec.gov/Archives/edgar/data/935703/000093570316000127/0000935703-16-000127-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570317000011/0000935703-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570318000013/0000935703-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570319000024/0000935703-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570320000006/0000935703-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570321000014/0000935703-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/935703/000093570322000020/0000935703-22-000020-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,3000000,43700000,71100000,176500000,181553000,236653000,292192000,237000000,168685000,106532000,65834000,85000000,40600000,364400000,571600000,311200000,288300000,399900000,267700000,864100000,736100000,866400000,1097800000,422100000,539200000,1416700000,984000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,43780000,64000000,- -,211275000,273950000,- -,40500000,- -,27800000,174800000,- -,- -,- -,- -,4000000,4000000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,3000000,43700000,71100000,176500000,181553000,236653000,335972000,301000000,168685000,317807000,339784000,85000000,81100000,364400000,599400000,486000000,288300000,399900000,267700000,864100000,740100000,870400000,1097800000,422100000,539200000,1416700000,984000000
34,Net Receivables,- -,1900000,1400000,- -,174600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154700000,137900000,90400000,100900000,113300000,- -,- -
35,Inventory,- -,75100000,89100000,140900000,- -,258687000,296473000,357665000,438000000,525643000,615483000,576545000,605000000,641200000,675800000,679800000,803100000,867400000,971700000,1035300000,1035700000,2885500000,2865800000,3169300000,3536000000,3522000000,3427000000,4367000000
36,Other Current Assets,- -,6000000,8800000,14100000,18400000,37661000,27653000,22503000,30000000,28241000,36597000,27347000,269000000,66500000,33000000,26400000,44200000,53700000,101900000,75500000,94800000,155600000,63900000,218800000,234300000,94900000,207100000,258000000
37,Total Current Assets,- -,86000000,143000000,226100000,369500000,477901000,560779000,716140000,769000000,722569000,969887000,943676000,959000000,788800000,1073200000,1305600000,1333300000,1209400000,1473500000,1378500000,1994600000,3935900000,3938000000,4576300000,4293300000,4269400000,5050800000,5609000000
38,PP&E,- -,36000000,82100000,122400000,144000000,211632000,279011000,344322000,478000000,613214000,685386000,681801000,715300000,743600000,710300000,714300000,741100000,825300000,960700000,1094000000,1210500000,3125500000,3115800000,3200700000,3445300000,10106800000,10440400000,10902000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,38000000,- -,- -,- -,- -,- -,133300000,133300000,173100000,173100000,173300000,169300000,164600000,5021700000,5023500000,5025200000,2296600000,1983300000,1984400000,1984000000
40,Intangible Assets,- -,46400000,44500000,42600000,42400000,40376000,38358000,38358000,- -,123738000,129032000,129348000,146600000,147800000,- -,- -,- -,- -,- -,- -,1500000,3675200000,3573700000,3480100000,3388700000,3100000000,3100000000,3100000000
41,Intangible Assets,- -,46400000,44500000,42600000,42400000,40376000,38358000,38358000,38000000,123738000,129032000,129348000,146600000,147800000,133300000,133300000,173100000,173100000,173300000,169300000,166100000,8696900000,8597200000,8505300000,5685300000,5083300000,5084400000,5084000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78900000,94100000,9000000,8000000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,7436000,- -,12000000,- -,- -,- -,- -,38700000,33000000,35000000,38000000,16800000,28300000,24100000,32800000,10300000,- -,- -,- -,24400000,23200000,20000000
44,Other Non-Current Assets,- -,2700000,3000000,8500000,15200000,16950000,16464000,17557000,7000000,20785000,8367000,43575000,52400000,68800000,85900000,101500000,95000000,104000000,116200000,106000000,84100000,38500000,41600000,42500000,77300000,90700000,97200000,106000000
45,Total Non-Current Assets,- -,85100000,129600000,173500000,201600000,268958000,341269000,400237000,535000000,757737000,822785000,854724000,914300000,998900000,962500000,984100000,1047200000,1119200000,1278500000,1393400000,1572400000,11965300000,11763600000,11756500000,9207900000,15305200000,15645200000,16112000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,171100000,272600000,399600000,571100000,746859000,902048000,1116377000,1304000000,1480306000,1792672000,1798400000,1873300000,1787700000,2035700000,2289700000,2380500000,2328600000,2752000000,2771900000,3567000000,15901200000,15701600000,16332800000,13501200000,19574600000,20696000000,21721000000
48,Accounts Payable,- -,35300000,44100000,52200000,63200000,75404000,68653000,59451000,138000000,114972000,124195000,135555000,189200000,200400000,192900000,219900000,261400000,286700000,346500000,393900000,433600000,1251900000,1119600000,1174800000,1416400000,1336500000,1480500000,1884000000
49,Short-Term Debt,- -,300000,300000,16500000,29700000,28547000,28865000,30782000,- -,30324000,31212000,19000000,18800000,18500000,17600000,17500000,16500000,15500000,14300000,12800000,- -,108000000,152100000,915900000,- -,1529300000,1348200000,1407000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48600000,64400000,96900000,111400000,73700000,73300000,156300000,253100000,208100000,219500000,246000000,391300000,82000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,26900000,38400000,47700000,57100000,70354000,102504000,116278000,129000000,119806000,138948000,140901000,175300000,187000000,199400000,238500000,254900000,278800000,315400000,279600000,428000000,735500000,834200000,768400000,679300000,680700000,901600000,885000000
53,Total Current Liabilities,- -,62500000,82800000,116400000,150000000,174305000,200022000,206511000,267000000,265102000,294355000,295456000,383300000,405900000,409900000,475900000,532800000,581000000,676200000,686300000,861600000,2095400000,2105900000,2859100000,2095700000,3546500000,3730300000,4176000000
54,Long-Term Debt,- -,4100000,30800000,30000000,52400000,43183000,12000000,23647000,164000000,154827000,250534000,250611000,250000000,250000000,250000000,250000000,250000000,250000000,257000000,757000000,757000000,7238400000,6169700000,4762100000,4265300000,8807300000,8291700000,13707000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,987000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,9899000,- -,29717000,42075000,23553000,1500000,- -,- -,14400000,15200000,- -,- -,- -,- -,1586600000,1458900000,985200000,973200000,984700000,1013500000,987000000
57,Other Non-Current Liabilities,- -,2900000,4100000,9000000,7700000,10713000,38290000,20916000,27000000,16138000,41496000,56505000,70800000,143400000,122600000,120200000,123500000,153000000,151500000,157900000,163400000,573900000,577600000,544100000,524100000,-18700000,375200000,-5854000000
58,Total Non-Current Liabilities,- -,7000000,34900000,39000000,60100000,53896000,50290000,54462000,191000000,200682000,334105000,330669000,322300000,393400000,372600000,384600000,388700000,403000000,408500000,914900000,920400000,9398900000,8206200000,6291400000,5762600000,9773300000,9680400000,9827000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,17647000,- -,12259000,534000,611000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6258800000,6413700000,- -
61,Total Liabilities,- -,69500000,117700000,155400000,210100000,228201000,250312000,260973000,458000000,465784000,628460000,626125000,705600000,799300000,782500000,860500000,921500000,984000000,1084700000,1601200000,1782000000,11494300000,10312100000,9150500000,7858300000,13319800000,13410700000,14003000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,600000,1121000,1125000,1142000,1000000,1141000,1130000,1065000,1000000,900000,900000,900000,1200000,1100000,2200000,2100000,2100000,2400000,2400000,2400000,2400000,2400000,2300000,2000000
64,Retained Earnings,- -,69800000,118400000,190600000,287800000,360757000,483838000,638485000,628000000,805543000,985793000,1159711000,1166600000,987400000,1216900000,1430700000,1458200000,1344100000,1666300000,1174800000,1774000000,2056400000,2952600000,4666900000,3076100000,3837800000,5179700000,6507000000
65,Other Comprehensive Income/Loss,- -,-24200000,-34800000,-34800000,-76100000,-124047000,-164670000,-1490000,-2000000,-1032000,-395000,61000,100000,100000,-2600000,-2400000,-400000,-600000,-1500000,-16900000,-34100000,-43100000,-37600000,-32300000,-38300000,-39800000,-35200000,-35000000
66,Other Total Stockholders Equity,- -,56000000,71300000,88400000,148700000,280827000,331443000,217267000,219000000,208870000,177684000,- -,- -,- -,38000000,- -,- -,- -,300000,10700000,43000000,2391200000,2472100000,2545300000,2602700000,2454400000,2138500000,1244000000
67,Total Stockholders Equity,- -,101600000,154900000,244200000,361000000,518658000,651736000,855404000,846000000,1014522000,1164212000,1172275000,1167700000,988400000,1253200000,1429200000,1459000000,1344600000,1667300000,1170700000,1785000000,4406900000,5389500000,7182300000,5642900000,6254800000,7285300000,7718000000
68,Total Liabilities And Stockholders Equity,- -,171100000,272600000,399600000,571100000,746859000,902048000,1116377000,1304000000,1480306000,1792672000,1798400000,1873300000,1787700000,2035700000,2289700000,2380500000,2328600000,2752000000,2771900000,3567000000,15901200000,15701600000,16332800000,13501200000,19574600000,20696000000,21721000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,171100000,272600000,399600000,571100000,746859000,902048000,1116377000,1304000000,1480306000,1792672000,1798400000,1873300000,1787700000,2035700000,2289700000,2380500000,2328600000,2752000000,2771900000,3567000000,15901200000,15701600000,16332800000,13501200000,19574600000,20696000000,21721000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/935703/000119312505076605/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/935703/000093570307000017/0000935703-07-000017-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570308000048/0000935703-08-000048-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570309000013/0000935703-09-000013-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570310000010/0000935703-10-000010-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570311000014/form10k.htm,https://www.sec.gov/Archives/edgar/data/935703/000093570312000007/0000935703-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570313000014/0000935703-13-000014-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570314000008/dltr-2014x02x01x10k.htm,https://www.sec.gov/Archives/edgar/data/935703/000093570315000034/dltr-2015x01x31x10k.htm,https://www.sec.gov/Archives/edgar/data/935703/000093570316000127/0000935703-16-000127-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570317000011/0000935703-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570318000013/0000935703-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570319000024/0000935703-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570320000006/0000935703-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/935703/000093570321000014/0000935703-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/935703/000093570322000020/0000935703-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,21000000,33800000,48600000,68900000,98500000,121622000,123081000,154647000,-11000000,177583000,180250000,173918000,192000000,201300000,229500000,320500000,397300000,488300000,619300000,596700000,599200000,282400000,896200000,1714300000,-1590800000,827000000,1341900000,1327900000
74,Depreciation and Amortization,5500000,10500000,13100000,20500000,28100000,41971000,53763000,71615000,7200000,101495000,129291000,140717000,159000000,159300000,161700000,157800000,159700000,163900000,175300000,190500000,205900000,487600000,637500000,611200000,621100000,645400000,686600000,716000000
75,Deferred Income Tax,600000,-1000000,-3200000,-1200000,4700000,-3294000,-6219000,16439000,1100000,21059000,15578000,-21501000,-21900000,-46800000,17000000,- -,- -,10900000,-7700000,6700000,-18100000,25600000,-124100000,-473500000,-12100000,9100000,30700000,-23000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21700000,28300000,31600000,35500000,37000000,38300000,53200000,61600000,65700000,63100000,61400000,83900000,79000000
77,Change in Working Capital,-200000,23500000,36700000,49500000,109800000,84096000,57161000,148872000,-7629000,-44533000,218065000,-27312000,-72520000,-192800000,280400000,166400000,-29200000,-172100000,168900000,-105100000,440800000,707500000,-8400000,-114900000,480400000,-1474700000,597600000,112500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-8100000,-18700000,-14000000,-31500000,-31100000,-65849000,-37786000,-61192000,-80000000,-61166000,-89840000,38938000,-6200000,-36200000,-34600000,-4000000,-126700000,-64500000,-104000000,-67700000,-6000000,-87800000,21900000,-300900000,-369200000,13600000,97100000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-79000000,- -,- -,- -,- -,- -,- -,27000000,28100000,26900000,59300000,46900000,41900000,183900000,-133800000,54500000,242600000,-79800000,142600000,- -
81,Other Working Capital,- -,23500000,60200000,109700000,219500000,303596000,360757000,509629000,502000000,457467000,675532000,648220000,575700000,382900000,663300000,829700000,800500000,628400000,797300000,692200000,1133000000,1840500000,1832100000,1717200000,2197600000,722900000,1320500000,1433000000
82,Other Non-Cash Items,300000,-27600000,-25500000,-69000000,-120400000,-136743000,-49060000,-184696000,-13671000,-21319000,-266695000,99324000,156220000,246300000,-285500000,-85400000,-37400000,163900000,-313600000,67600000,-339300000,-775400000,210500000,-292600000,2204300000,1801600000,-24400000,-781400000
83,Cash Provided by Operating Activities,27200000,39200000,69700000,68700000,120700000,107652000,178726000,206877000,-24000000,234285000,276489000,365146000,412800000,367300000,403100000,581000000,518700000,686500000,677700000,793400000,926800000,780900000,1673300000,1510200000,1766000000,1869800000,2716300000,1431000000
84,CAPEX,-11600000,-16500000,-57500000,-53500000,-48200000,-95038000,-121566000,-136127000,-11600000,-227316000,-181782000,-139247000,-229400000,-195600000,-131300000,-164800000,-178900000,-250100000,-312200000,-330400000,-325600000,-480500000,-565600000,-632200000,-817100000,-1036700000,-898800000,-1021000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-813000,- -,-100628000,- -,-3646000,-4200000,- -,-400000,- -,-49400000,- -,62300000,- -,- -,-6527700000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-60280000,- -,-30360000,-465815000,-915424000,-1053700000,-1218500000,-63700000,-65100000,-208700000,-22300000,-11000000,-8800000,-6800000,-23700000,-36100000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,16500000,- -,93885000,339035000,822805000,1096600000,1391400000,93400000,17400000,62900000,186100000,- -,15000000,15800000,53000000,118100000,4000000,- -,- -,- -,- -
88,Other Investing Activites,- -,-52200000,- -,200000,100000,271000,98000,6902000,-19700000,-2944000,-6845000,- -,- -,- -,- -,-164800000,-200000,-249900000,-312600000,-330500000,-324000000,-480000000,-565600000,-631900000,-816700000,-1020200000,-889700000,-1019000000
89,Cash Used for Investing Activites,-11600000,-68700000,-57500000,-53300000,-48100000,-94767000,-121468000,-173818000,-31300000,-267363000,-315407000,-235512000,-190700000,-22700000,-102000000,-212500000,-374100000,-86100000,-261300000,-324300000,-315000000,-6978400000,-483600000,-627900000,-816700000,-1020200000,-889700000,-1019000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,-15100000,-2000000,-1500000,-271500000,-12800000,-5926700000,-4176200000,-659100000,-6264700000,-500000000,-1300000000,-1000000000
91,Common Stock Issued,900000,28700000,2000000,4900000,8800000,24563000,11805000,32476000,- -,22175000,15105000,10667000,40300000,71600000,21600000,25900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-3775000,- -,800000,-38053000,-48611000,-180398000,-248200000,-473000000,- -,-190700000,-417100000,-645900000,-340200000,-1112100000,- -,- -,- -,- -,- -,-200000000,-400000000,- -
93,Dividends Paid,- -,- -,- -,- -,-1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-100000,-18600000,26500000,5800000,21800000,-37482000,-9801000,-9996000,-400000,-19661000,94766000,-601000,5000000,12400000,1100000,3900000,27900000,24700000,38300000,785800000,-1800000,11997100000,3115700000,7600000,4664800000,-9800000,750100000,164000000
95,Cash Used/Provided by Financing Activities,800000,10100000,28500000,10700000,29200000,-12919000,-1771000,22480000,400000,-35539000,61260000,-170332000,-202900000,-389000000,22700000,-161300000,-404300000,-623200000,-303400000,-597800000,-14600000,6070400000,-1060500000,-651500000,-1599900000,-709800000,-949900000,-836000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,-100000,-1400000,-3500000,-800000,-900000,1100000,600000,-500000,-500000,900000,- -
97,Net Change In Cash,800000,10100000,28500000,10700000,101900000,-34000,55487000,55539000,-54900000,-68617000,22342000,-40698000,19200000,-44400000,323800000,207200000,-260400000,-22900000,111600000,-132200000,596400000,-128000000,130300000,231400000,-651100000,139300000,877600000,-425000000
98,Cash at the End of Period,- -,- -,- -,- -,176500000,181553000,236653000,292192000,237100000,168685000,106532000,65834000,85000000,40600000,364400000,571600000,311200000,288300000,399900000,267700000,864100000,736100000,866400000,1097800000,446700000,586000000,1463600000,1038000000
99,Cash at the Beginning of Period,6000000,22400000,3000000,45000000,74600000,181587000,181166000,236653000,292000000,237302000,84190000,106532000,65800000,85000000,40600000,364400000,571600000,311200000,288300000,399900000,267700000,864100000,736100000,866400000,1097800000,446700000,586000000,1463000000
100,Free Cash Flow,15600000,22700000,12200000,15200000,72500000,12614000,57160000,70750000,-35600000,6969000,94707000,225899000,183400000,171700000,271800000,416200000,339800000,436400000,365500000,463000000,601200000,300400000,1107700000,878000000,948900000,833100000,1817500000,410000000
