,https://roic.ai/company/UHT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,-3600000,-3700000,-3800000,-4900000,-5100000,-4800000,-17000000,-4500000,2968000,4308000,4729000,6299000,6944000,8443000,8614000,8956000,9326000,9375000,11675000,13912000,13728000,11116000,12617000,13982000,13577000,15413000,36910000,35531000,40312000,43070000,44439000,48204000,49505000,51413000,52006000,55325000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52000,51000
13,Interest Expense (Gain),1100000,- -,3300000,5100000,5200000,4300000,3800000,1900000,1146000,1825000,2565000,- -,3490000,- -,6114000,3896000,2403000,2497000,3357000,3298000,2283000,1749000,2391000,2448000,1939000,2402000,7768000,7472000,8376000,8224000,9355000,10063000,9977000,10533000,7550000,8070000
14,Depreciation and Amortization,- -,- -,- -,3100000,3200000,3200000,3100000,3100000,3282000,3382000,3636000,3775000,3879000,3857000,4461000,4401000,4431000,4536000,5312000,5825000,5757000,5209000,5904000,6399000,6286000,7306000,20216000,18843000,20975000,22198000,23008000,25091000,24763000,25670000,25395000,27295000
15,EBITDA,10100000,8700000,11600000,16700000,17600000,18300000,5100000,17300000,18740000,18791000,20359000,17742000,21706000,17829000,26831000,26646000,28457000,31458000,32340000,34546000,42737000,29149000,19948000,27423000,24535000,83502000,47461000,39484000,80902000,54113000,49578000,80773000,58936000,55167000,52392000,144531000
16,EBITDA ratio,0.7372,0.6350,0.7532,0.9076,0.9072,0.9196,0.2684,0.9301,0.9954,0.9204,0.9287,0.7794,0.9342,0.7471,0.9823,0.9663,1.0010,1.1111,1.0177,1.0362,1.3146,1.0425,0.6835,0.8593,0.8496,2.8312,0.8797,0.7274,1.3532,0.8462,0.7391,1.1165,0.7733,0.7149,0.6716,1.7167
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,15458000,15409000,16094000,16465000,16290000,15422000,18701000,18618000,19103000,18938000,20102000,19426000,18781000,16844000,11992000,17932000,15301000,8727000,16360000,18546000,19047000,20637000,22114000,24037000,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.8211,0.7547,0.7341,0.7233,0.7011,0.6462,0.6846,0.6752,0.6720,0.6689,0.6326,0.5827,0.5777,0.6024,0.4109,0.5619,0.5298,0.2959,0.3032,0.3417,0.3186,0.3227,0.3297,0.3322,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,-500000,-100000,-400000,-700000,-1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2523000,3092000,1009000,65067000,3117000,-5377000,32504000,3054000,-4899000,21582000,-2509000,-6786000,-6557000,80301000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16310000,73794000,19477000,13169000,51551000,23691000,17215000,45619000,24196000,18964000,19447000,109166000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.5648,2.5020,0.3610,0.2426,0.8623,0.3705,0.2566,0.6305,0.3175,0.2458,0.2493,1.2967
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,9000000,8700000,8300000,8500000,9200000,10800000,-1800000,12300000,14312000,13584000,14158000,13967000,14337000,13972000,16256000,18349000,21623000,24425000,23671000,25423000,34697000,22191000,11653000,18576000,16310000,73794000,19477000,13169000,51551000,23691000,17215000,45619000,24196000,18964000,19447000,109166000
24,Net Income ratio,0.6569,0.6350,0.5390,0.4620,0.4742,0.5427,-0.0947,0.6613,0.7602,0.6653,0.6458,0.6136,0.6171,0.5855,0.5951,0.6654,0.7606,0.8627,0.7449,0.7626,1.0673,0.7937,0.3993,0.5821,0.5648,2.5020,0.3610,0.2426,0.8623,0.3705,0.2566,0.6305,0.3175,0.2458,0.2493,1.2967
25,EPS,1.03,1.05,1.15,1.20,1.31,1.53,-0.25,1.45,1.60,1.52,1.58,1.56,1.60,1.56,1.81,1.75,1.85,2.09,2.02,2.16,2.94,1.87,0.98,1.56,1.33,5.84,1.54,1.04,3.99,1.78,1.28,3.35,1.76,1.38,1.42,7.94
26,EPS Diluted,1.03,1.05,1.15,1.20,1.31,1.53,-0.25,1.45,1.60,1.52,1.58,1.56,1.60,1.56,1.81,1.74,1.84,2.07,2.00,2.15,2.92,1.87,0.98,1.56,1.33,5.83,1.54,1.04,3.99,1.78,1.28,3.35,1.76,1.38,1.41,7.92
27,Weighted Average Shares Outstanding,8737864,8285714,7217391,7083333,7022901,7058824,7200000,8482759,8947486,8947000,8960000,8954000,8952000,8956000,8981000,10492000,11687000,11713000,11744000,11764000,11784000,11818000,11851000,11891000,12259000,12644000,12661000,12689000,12927000,13293000,13464000,13625000,13722000,13732000,13743000,13757000
28,Weighted Average Shares Outstanding Diluted,8737864,8285714,7217391,7083333,7022901,7058824,7200000,8482759,8951613,8947368,8960000,8967000,8974000,8977000,9003000,10536000,11750000,11779000,11813000,11841000,11866000,11875000,11882000,11897000,12262000,12649000,12669000,12701000,12934000,13301000,13468000,13625000,13722000,13752000,13765000,13779000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/798783/000095010903001836/0000950109-03-001836-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312504040446/0001193125-04-040446-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312505049481/0001193125-05-049481-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312506055113/0001193125-06-055113-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312507054153/0001193125-07-054153-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312508055535/0001193125-08-055535-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312509051831/0001193125-09-051831-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312510051322/0001193125-10-051322-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312511063597/0001193125-11-063597-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312512111276/0001193125-12-111276-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312513105230/0001193125-13-105230-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312514087617/0001193125-14-087617-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312515079092/0001193125-15-079092-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459016014024/0001564590-16-014024-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459017002865/0001564590-17-002865-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459018003812/0001564590-18-003812-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459019004923/0001564590-19-004923-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459020006816/0001564590-20-006816-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459021008850/0001564590-21-008850-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459022006745/0001564590-22-006745-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,2000,139000,137000,1238000,572000,852000,294000,629000,598000,628000,3588000,1717000,798000,1131000,618000,3038000,987000,11649000,3048000,3337000,3861000,3894000,3930000,3387000,5036000,6110000,5742000,22504000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,124800000,125700000,127500000,131200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52030000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,124800000,125700000,127502000,131339000,137000,1238000,572000,852000,294000,629000,598000,628000,3588000,1717000,798000,53161000,618000,3038000,987000,11649000,3048000,3337000,3861000,3894000,3930000,3387000,5036000,6110000,5742000,22504000
34,Net Receivables,- -,- -,- -,13300000,13000000,12900000,- -,- -,689000,7063000,7462000,733000,705000,790000,1004000,998000,1238000,1200000,1520000,2088000,1839000,1706000,2927000,3019000,2876000,4038000,4824000,5363000,6305000,6408000,7612000,9102000,10208000,10603000,10703000,94189000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43114000,51002000,-2088000,-1839000,-53736000,6400000,6294000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44942000,56110000,1717000,798000,1131000,9945000,12351000,3863000,15687000,7872000,8700000,10166000,10302000,11542000,12489000,15244000,16713000,16445000,116693000
38,PP&E,- -,- -,- -,131000000,127900000,123200000,- -,- -,127516000,131188000,139434000,133486000,129838000,141367000,143108000,139215000,134886000,130789000,158062000,152865000,143363000,143797000,154649000,154540000,125257000,288633000,- -,- -,- -,- -,- -,- -,- -,8944000,8914000,11495000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6400000,- -,- -,28081000,26293000,20782000,23123000,19757000,23815000,20559000,17407000,14553000,11742000,9972000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6400000,- -,- -,28081000,26293000,20782000,23123000,19757000,23815000,20559000,17407000,14553000,11742000,9972000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48314000,61001000,40523000,29572000,47223000,52030000,56462000,61934000,80442000,33057000,28636000,39201000,8605000,31597000,35593000,4671000,5019000,6918000,4278000,10139000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6400000,- -,6573000,5471000,320237000,304462000,386972000,397245000,453800000,452289000,446086000,441661000,452630000,450120000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211111000,216474000,212272000,355242000,375166000,364445000,418700000,448599000,513208000,477519000,468512000,472076000,477564000,481726000
46,Other Assets,122200000,120800000,137500000,144800000,141600000,136400000,126900000,126700000,128907000,132770000,148566000,146755000,169406000,178821000,183658000,187904000,185117000,149349000,148473000,195172000,193341000,198618000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,122200000,120800000,137500000,144800000,141600000,136400000,126900000,126700000,128907000,132770000,148566000,146755000,169406000,178821000,183658000,187904000,185117000,194291000,204583000,196889000,194139000,199749000,221056000,228825000,216135000,370929000,383038000,373145000,428866000,458901000,524750000,490008000,483756000,488789000,494009000,598419000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1021000,1082000,1147000,1216000,1289000,1359000,1446000,- -,- -,- -,- -,- -,- -,39000000,6677000,52600000,77150000,81750000,93700000,89750000,142150000,201500000,181050000,196400000,212950000,236200000,271900000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,379000,418000,653000,884000,911000,1041000,3054000,5800000,4900000,4300000,5900000,3600000,2800000,4269000,2393000,-50154000,-71693000,5459000,5647000,9067000,7311000,12435000,12728000,12215000,13262000,20153000,12503000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,1500000,1800000,2100000,2200000,2400000,4500000,5800000,4900000,4300000,5900000,3600000,2800000,43269000,9070000,2446000,5457000,87209000,99347000,98817000,149461000,213935000,193778000,208615000,226212000,256353000,284403000
54,Long-Term Debt,9300000,23400000,37800000,53100000,51000000,45800000,49600000,18900000,20320000,25375000,42000000,41200000,64800000,75600000,80672000,31986000,30493000,37242000,46210000,35548000,26337000,36617000,32692000,78571000,67563000,174836000,116186000,106287000,123405000,110554000,114217000,75359000,64881000,60744000,58895000,68361000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1860000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11650000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1025000,1100000,1100000,1200000,1300000,1328000,1414000,7000,-42000,-10000,-1908000,-37000,-17000,- -,- -,616000,1691000,1898000,1881000,2063000,3844000,5321000,10310000,- -,20099000,19756000,10328000
58,Total Non-Current Liabilities,9300000,23400000,37800000,53100000,51000000,45800000,49600000,18900000,20320000,26400000,43100000,42300000,66000000,76900000,82000000,33400000,30500000,37200000,46200000,35500000,26300000,36600000,32692000,78571000,68179000,176527000,118084000,108168000,125468000,114398000,119538000,85669000,76531000,80843000,78651000,78689000
59,Other Liabilities,9300000,46900000,82700000,107100000,103000000,92700000,100200000,38600000,42782000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8944000,8914000,11495000
61,Total Liabilities,9300000,23500000,44900000,54000000,52000000,46900000,50600000,19700000,22462000,27773000,44584000,43962000,67971000,79071000,84341000,37827000,36215000,42093000,50291000,41137000,29804000,39270000,75961000,87641000,70625000,181984000,205293000,207515000,224285000,263859000,333473000,279447000,285146000,307055000,335004000,363092000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,89000,89000,90000,90000,90000,90000,90000,117000,117000,117000,118000,118000,118000,118000,119000,121000,127000,127000,127000,128000,133000,133000,136000,137000,137000,138000,138000,138000
64,Retained Earnings,- -,8900000,17200000,25600000,34800000,-52300000,-63700000,-77800000,-22287000,-23735000,-24751000,-26048000,-27427000,-29670000,-29943000,-32177000,-32994000,-31529000,-31346000,-31511000,-23445000,-28451000,338718000,-54368000,-67923000,-24832000,-36550000,-55132000,-36299000,-46697000,-64620000,-55055000,-67690000,-86137000,-104686000,-34439000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-22646000,-22986000,-26540000,-30280000,-34006000,-37800000,-39080000,-43432000,-3033000,-2065000,-994000,-100000,- -,-60627000,-66255000,-72405000,-74683000,-74865000,-87088000,-57000,-88000,-94000,105000,144000,132000,1010000,-3815000,1113000
66,Other Total Stockholders Equity,112900000,88400000,75400000,65200000,54800000,141800000,140000000,184800000,151289000,151629000,155183000,158930000,162691000,167055000,168190000,225526000,184772000,185675000,186275000,186943000,187524000,249265000,-127654000,267614000,287892000,288431000,301182000,220691000,240835000,241700000,255656000,265335000,266031000,266723000,267368000,268515000
67,Total Stockholders Equity,112900000,97300000,92600000,90800000,89600000,89500000,76300000,107000000,106445000,104997000,103982000,102692000,101348000,99675000,99257000,150034000,148862000,152198000,154053000,155450000,164197000,160305000,144928000,140962000,145413000,188861000,177671000,165630000,204581000,195042000,191277000,210561000,198610000,181734000,159005000,235327000
68,Total Liabilities And Stockholders Equity,122200000,120800000,137500000,144800000,141600000,136400000,126900000,126700000,128907000,132770000,148566000,146654000,169319000,178746000,183598000,187861000,185077000,194291000,204344000,196587000,194001000,199575000,220889000,228603000,216038000,370845000,382964000,373145000,428866000,458901000,524750000,490008000,483756000,488789000,494009000,598419000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101000,87000,75000,60000,43000,40000,- -,239000,302000,138000,174000,167000,222000,97000,84000,74000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,122200000,120800000,137500000,144800000,141600000,136400000,126900000,126700000,128907000,132770000,148566000,146755000,169406000,178821000,183658000,187904000,185117000,194291000,204583000,196889000,194139000,199749000,221056000,228825000,216135000,370929000,383038000,373145000,428866000,458901000,524750000,490008000,483756000,488789000,494009000,598419000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/798783/000095010903001836/0000950109-03-001836-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312504040446/0001193125-04-040446-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312505049481/0001193125-05-049481-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312506055113/0001193125-06-055113-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312507054153/0001193125-07-054153-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312508055535/0001193125-08-055535-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312509051831/0001193125-09-051831-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312510051322/0001193125-10-051322-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312511063597/0001193125-11-063597-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312512111276/0001193125-12-111276-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312513105230/0001193125-13-105230-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312514087617/0001193125-14-087617-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000119312515079092/0001193125-15-079092-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459016014024/0001564590-16-014024-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459017002865/0001564590-17-002865-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459018003812/0001564590-18-003812-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459019004923/0001564590-19-004923-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459020006816/0001564590-20-006816-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459021008850/0001564590-21-008850-index.htm,https://www.sec.gov/Archives/edgar/data/798783/000156459022006745/0001564590-22-006745-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,8500000,9200000,10800000,-1800000,12300000,14312000,13584000,14158000,13967000,14337000,13972000,16256000,18349000,21623000,24425000,23671000,25423000,34697000,22191000,11653000,18576000,16310000,73794000,19477000,13169000,51551000,23691000,17215000,45619000,24196000,18964000,19447000,109166000
74,Depreciation and Amortization,- -,- -,- -,3100000,3200000,3200000,3100000,3100000,3282000,3382000,3636000,3775000,3879000,3857000,4461000,4401000,4431000,4536000,5312000,5825000,5757000,5209000,5904000,6399000,6286000,7306000,20216000,18843000,20975000,22198000,23008000,25091000,24763000,25670000,25395000,27295000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,343000,281000,329000,375000,399000,427000,481000,538000,571000,702000,912000,947000
77,Change in Working Capital,- -,- -,- -,-800000,- -,- -,- -,- -,-1400000,-100000,-300000,-300000,-100000,-200000,-2100000,-1300000,45842000,11768000,-55993000,1381000,1133000,-31655000,36605000,-1864000,8813000,-89567000,-11310000,1996000,-50508000,-63234000,21104000,-12082000,-16128000,-30409000,619425000,-1731000
78,Accounts Receivable,- -,- -,- -,-300000,- -,-100000,-200000,300000,100000,100000,- -,-300000,- -,-55000,-159000,-90000,-15000,38000,-31000,-568000,392000,133000,- -,- -,- -,- -,-862000,-746000,-555000,-290000,-1204000,-1490000,-1106000,-395000,-100000,-843000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-100000,400000,300000,- -,100000,- -,- -,100000,-100000,300000,280000,169000,96000,35000,107000,11000,105000,-62000,-592000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-1400000,-1500000,-1800000,-2100000,-2200000,-2400000,-4500000,-5800000,40042000,51810000,-4183000,-2802000,-1669000,-33324000,3281000,1417000,10230000,-79337000,-90647000,-88651000,-139159000,-202393000,-181289000,-193371000,-209499000,-239908000,379517000,-973000
82,Other Non-Cash Items,- -,- -,- -,900000,500000,200000,12500000,-700000,2005000,207000,509000,264000,539000,1950000,1353000,1328000,-45610000,-11652000,53997000,-7326000,-16885000,27030000,-32320000,1873000,-8703000,29558000,2071000,-3089000,10379000,55096000,-21075000,-13161000,9526000,27725000,-620969000,-87952000
83,Cash Provided by Operating Activities,- -,- -,- -,11700000,12900000,14200000,13800000,14700000,18199000,17073000,18003000,17706000,18655000,19579000,19970000,22778000,26286000,29077000,26987000,25303000,24702000,22775000,21842000,24984000,23049000,21372000,30783000,31294000,32796000,38178000,40733000,46005000,42928000,42652000,44210000,47725000
84,CAPEX,- -,- -,- -,-7400000,- -,- -,- -,-2100000,-6340000,-7794000,-10195000,-4246000,-158000,-17852000,-9808000,-555000,-49000,-312000,-548000,-2391000,-1294000,-7234000,-4714000,- -,-969000,-40354000,-17602000,-4675000,-15600000,-16765000,-60389000,-9040000,-4053000,-5105000,-2266000,-12989000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2764000,-8281000,-5332000,- -,-10095000,-9560000,- -,- -,-2973000,-3013000,-6081000,-2917000,-5454000,-8422000,-820000,-2133000,-3204000,-19842000
86,Purchases of Investments,- -,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7573000,-24924000,-13823000,-6902000,-15578000,-3788000,-2973000,-3013000,-1337000,-667000,-5454000,-532000,-820000,- -,- -,- -
