,https://roic.ai/company/CCOI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,1746000,3515000,4115000,509000,1283000,80000,812000,62000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,65593000,50763000,42829000,11990000,14353000,31166000,42722000,177833000,71353000,55929000,56283000,238207000,247285000,304866000,287790000,203591000,274319000,247011000,276093000,399422000,371301000,319609000
34,Net Receivables,- -,1156000,5516000,5066000,13564000,16452000,20053000,21760000,22174000,22877000,23702000,25029000,23990000,30628000,33089000,30718000,33598000,39096000,41709000,40484000,44185000,41938000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,3281000,2171000,2781000,905000,4224000,3959000,5339000,6636000,6389000,8045000,8654000,10051000,9978000,18777000,18762000,17030000,19706000,20011000,32535000,35822000,40851000,48030000
37,Total Current Assets,68874000,54090000,51126000,17961000,32141000,51577000,68114000,206229000,99916000,86851000,88639000,273287000,281253000,354271000,339641000,251339000,327623000,306118000,350337000,475728000,456337000,409577000
38,PP&E,111653000,235782000,322780000,314406000,337275000,292787000,263268000,245420000,243939000,263784000,280455000,307978000,311175000,341193000,360761000,360136000,361641000,381282000,375325000,442389000,530001000,559567000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,10436000,14655000,8109000,3125000,2554000,1150000,165000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,10436000,14655000,8109000,3125000,2554000,1150000,165000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50861000,48963000,45142000,42241000,17616000,2733000,335000,- -,- -
44,Other Non-Current Assets,7213000,19461000,19116000,3964000,6045000,4455000,4344000,3511000,3986000,4360000,7009000,16386000,14103000,8776000,12410000,6199000,6387000,5572000,11455000,13672000,14139000,15413000
45,Total Non-Current Assets,118866000,265679000,356551000,326479000,346445000,299796000,268762000,249096000,247925000,268144000,287464000,324364000,325278000,400830000,422134000,411477000,410269000,404470000,389513000,456396000,544140000,574980000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,187740000,319769000,407677000,344440000,378586000,351373000,336876000,455325000,347841000,354995000,376103000,597651000,606531000,755101000,761775000,662816000,737892000,710588000,739850000,932124000,1000477000,984557000
48,Accounts Payable,2601000,3623000,7830000,7296000,16090000,11521000,9096000,12868000,12795000,12781000,15979000,14199000,14734000,14098000,13287000,12401000,11551000,11592000,8519000,11075000,9775000,11923000
49,Short-Term Debt,- -,426000,253810000,3646000,7488000,6698000,15005000,7717000,5940000,5643000,6143000,11700000,10487000,98131000,14594000,6247000,6626000,7171000,7074000,18255000,26853000,29245000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1210000,692000,1128000,1359000,3347000,4037000,2360000,4212000,6053000,5918000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,1265000,1642000,2675000,- -,- -,3978000,4132000,4174000,4307000,4303000,4334000,4758000,4504000,4316000,4651000,- -
52,Other Current Liabilities,13652000,3462000,18542000,7885000,21808000,16275000,11349000,11249000,12081000,17609000,19538000,17966000,22387000,27291000,27844000,45953000,45402000,51005000,55210000,56048000,53164000,39842000
53,Total Current Liabilities,16253000,7511000,280182000,18827000,45386000,34494000,36715000,33476000,33491000,36033000,41660000,47843000,51740000,143694000,60032000,68904000,67913000,74526000,75307000,89694000,94443000,81010000
54,Long-Term Debt,- -,181312000,38840000,4107000,23007000,6713000,- -,195867000,90367000,66270000,71220000,251612000,257484000,245423000,444230000,445443000,559855000,560677000,631459000,782457000,1184408000,1232036000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,67239000,20732000,56029000,76752000,97703000,89165000,84529000,87152000,101627000,108208000,111422000,134195000,137528000,172492000,173719000,160740000,163378000,177929000,182086000,263652000,14792000,44609000
58,Total Non-Current Liabilities,67239000,202044000,94869000,80859000,120710000,95878000,84529000,283019000,191994000,174478000,182642000,385807000,395012000,417915000,617949000,606183000,723233000,738606000,813545000,1046109000,1199200000,1276645000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,55280000,58107000,95887000,85694000,82019000,84857000,98253000,109664000,111705000,134696000,137948000,161779000,166538000,136010000,141961000,157504000,163780000,266580000,341609000,369861000
61,Total Liabilities,83492000,209555000,375051000,99686000,166096000,130372000,121244000,316495000,225485000,210511000,224302000,433650000,446752000,561609000,677981000,675087000,791146000,813132000,888852000,1135803000,1293643000,1357655000
62,Preferred Stock,- -,- -,175246000,97681000,139825000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,4000,14000,1000,44000,49000,48000,44000,45000,46000,46000,47000,47000,46000,45000,45000,46000,46000,47000,47000,48000
64,Retained Earnings,-11843000,-102924000,-194767000,-54024000,-143684000,-211202000,-264959000,-295984000,-269205000,-332695000,-332026000,-324484000,-338284000,-316947000,-370366000,-431784000,-478905000,-554686000,-609451000,-684578000,-807774000,-909877000
65,Other Comprehensive Income/Loss,-338000,-13275000,2944000,-31288000,-20254000,-8251000,2402000,4364000,1336000,1976000,1044000,-582000,667000,2136000,-6462000,-14693000,-17193000,-4600000,-10928000,-12326000,-1306000,-11003000
66,Other Total Stockholders Equity,116428000,226412000,49199000,232371000,236602000,440410000,478140000,430402000,390181000,475158000,482737000,489021000,497349000,508256000,460576000,434161000,442799000,456696000,471331000,493178000,515867000,- -
67,Total Stockholders Equity,104248000,110214000,32626000,244754000,212490000,221001000,215632000,138830000,122356000,144484000,151801000,164001000,159779000,193492000,83794000,-12271000,-53254000,-102544000,-149002000,-203679000,-293166000,-373098000
68,Total Liabilities And Stockholders Equity,187740000,319769000,407677000,344440000,378586000,351373000,336876000,455325000,347841000,354995000,376103000,597651000,606531000,755101000,761775000,662816000,737892000,710588000,739850000,932124000,1000477000,984557000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,187740000,319769000,407677000,344440000,378586000,351373000,336876000,455325000,347841000,354995000,376103000,597651000,606531000,755101000,761775000,662816000,737892000,710588000,739850000,932124000,1000477000,984557000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1158324/000104746903011242/0001047469-03-011242-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746904010013/0001047469-04-010013-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000110465905014451/0001104659-05-014451-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000110465906017016/0001104659-06-017016-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000110465907018892/0001104659-07-018892-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746908001834/0001047469-08-001834-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746909002076/0001047469-09-002076-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746910001663/0001047469-10-001663-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746911001528/0001047469-11-001528-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746912001587/0001047469-12-001587-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746913001769/0001047469-13-001769-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746914001543/0001047469-14-001543-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746915001355/0001047469-15-001355-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746916010372/0001047469-16-010372-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746917000932/0001047469-17-000932-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746918000988/0001047469-18-000988-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746919000604/0001047469-19-000604-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000110465920026777/0001104659-20-026777-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000110465921028924/0001104659-21-028924-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000110465922027066/0001104659-22-027066-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-11761000,-66913000,-91843000,140743000,-89660000,-67518000,-53757000,-31025000,26779000,-17151000,669000,7542000,-4251000,56689000,797000,4896000,14929000,5876000,28667000,37520000,6216000,48185000
74,Depreciation and Amortization,338000,16859000,45907000,70248000,69965000,70453000,60679000,67214000,63130000,59913000,56524000,59850000,62478000,64358000,69481000,70527000,75235000,75926000,81233000,80247000,83477000,89240000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2692000,-50069000,3163000,7709000,9224000,24679000,11117000,12158000,282000,18159000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,8607000,6637000,7695000,8323000,8719000,9571000,11515000,10735000,13290000,17708000,18460000,23525000,26822000
77,Change in Working Capital,-4947000,-6042000,-275635000,228190000,-12379000,30328000,14316000,141354000,-106328000,-15607000,-3839000,178465000,4069000,-18936000,69032000,-97174000,77275000,-28118000,43438000,111004000,-24140000,11222000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-138000,-1603000,-1554000,1247000,-6293000,-3938000,1119000,-3183000,-4161000,-3204000,1067000,-2702000,1385000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,3143000,7495000,6137000,4371000,6234000,4497000,-2644000,10268000,-2571000,-96000,5042000,-3284000,9866000
81,Other Working Capital,52621000,46579000,-229056000,-866000,-13245000,17083000,31399000,172753000,66425000,50818000,46979000,225444000,229513000,210577000,279609000,182435000,259710000,231592000,275030000,386034000,361894000,- -
82,Other Non-Cash Items,- -,9310000,280004000,-466538000,5649000,-42325000,-15953000,-128913000,70755000,21182000,11486000,-177738000,6632000,21090000,-78998000,86336000,-79431000,20049000,-48242000,-110580000,50960000,-23371000
83,Cash Provided by Operating Activities,-16370000,-46786000,-41567000,-27357000,-26425000,-9062000,5285000,48630000,54336000,56944000,71477000,75814000,79943000,81851000,73046000,83809000,107967000,111702000,133921000,148809000,140320000,170257000
84,CAPEX,-80989000,-118020000,-75214000,-24016000,-10135000,-17342000,-21626000,-30389000,-33510000,-49507000,-52757000,-45856000,-44337000,-49031000,-60032000,-35582000,-45234000,-45801000,-49937000,-46958000,-55952000,-69916000
85,Acquisitions Net,- -,-11886000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-1746000,-5386000,-600000,- -,-774000,- -,-732000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,3026000,- -,1203000,- -,750000,62000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,60814000,-700000,4408000,4061000,945000,257000,221000,92000,530000,44000,141000,50000,90000,111000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-80989000,-131652000,-19786000,-25316000,-2701000,-14055000,-19478000,-30864000,-32539000,-49353000,-52227000,-45812000,-44196000,-48981000,-59942000,-35471000,-45234000,-45801000,-49937000,-46958000,-55952000,-69916000
90,Debt Repayment,-37156000,- -,- -,- -,- -,- -,- -,- -,- -,-23167000,-19148000,- -,-16794000,-11164000,-110186000,-271495000,-23241000,-11201000,-10286000,-9097000,-213215000,-482371000
91,Common Stock Issued,90000,61366000,- -,40630000,- -,63723000,36906000,1103000,147000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-59949000,-59273000,-730000,- -,-2969000,-1265000,- -,-58582000,-39394000,-4492000,-1829000,-6564000,- -,-4495000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9549000,-35352000,-54216000,-66314000,-68210000,-81657000,-97887000,-112647000,-129412000,-150288000
94,Other Financing Activites,200018000,100496000,51694000,-20068000,34486000,-23899000,-9861000,175151000,-66512000,357000,274000,155605000,404000,71100000,196357000,248356000,104284000,-2580000,62192000,143764000,231120000,491834000
95,Cash Used/Provided by Financing Activities,162952000,161862000,51694000,20562000,34486000,39824000,27045000,116305000,-125638000,-23540000,-18874000,152636000,-27204000,24584000,-26627000,-128847000,8341000,-97267000,-52545000,22020000,-116002000,-140825000
96,Effect of Forex Changes on Cash,- -,- -,-44000,672000,609000,-668000,-93000,308000,-1889000,587000,-22000,-714000,535000,127000,-3553000,-3690000,-346000,4058000,-2357000,-542000,3513000,-2193000
97,Net Change In Cash,- -,-16576000,-9703000,-31439000,5969000,16039000,12759000,134379000,-105730000,-15362000,354000,181924000,9078000,57581000,-17076000,-84199000,70728000,-27308000,29082000,123329000,-28121000,-42677000
98,Cash at the End of Period,65593000,49017000,39314000,7875000,13844000,29883000,42642000,177021000,71291000,55929000,56283000,238207000,247285000,304866000,287790000,203591000,274319000,247011000,276093000,399422000,371301000,328624000
99,Cash at the Beginning of Period,- -,65593000,49017000,39314000,7875000,13844000,29883000,42642000,177021000,71291000,55929000,56283000,238207000,247285000,304866000,287790000,203591000,274319000,247011000,276093000,399422000,371301000
100,Free Cash Flow,-97359000,-164806000,-116781000,-51373000,-36560000,-26404000,-16341000,18241000,20826000,7437000,18720000,29958000,35606000,32820000,13014000,48227000,62733000,65901000,83984000,101851000,84368000,100341000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1158324/000104746903011242/0001047469-03-011242-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746904010013/0001047469-04-010013-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000110465905014451/0001104659-05-014451-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000110465906017016/0001104659-06-017016-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000110465907018892/0001104659-07-018892-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746908001834/0001047469-08-001834-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746909002076/0001047469-09-002076-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746910001663/0001047469-10-001663-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746911001528/0001047469-11-001528-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746912001587/0001047469-12-001587-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746913001769/0001047469-13-001769-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746914001543/0001047469-14-001543-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746915001355/0001047469-15-001355-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746916010372/0001047469-16-010372-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746917000932/0001047469-17-000932-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746918000988/0001047469-18-000988-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000104746919000604/0001047469-19-000604-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000110465920026777/0001104659-20-026777-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000110465921028924/0001104659-21-028924-index.htm,https://www.sec.gov/Archives/edgar/data/1158324/000110465922027066/0001104659-22-027066-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
