,https://roic.ai/company/HURN,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-0.41,-0.18,0.77,1.13,1.63,2.47,2.23,-1.63,0.41,0.96,1.66,2.98,3.52,2.67,1.78,-7.93,0.63,1.90,-1.09,2.97
26,EPS Diluted,-0.41,-0.18,0.72,1.05,1.54,2.32,2.13,-1.63,0.41,0.95,1.63,2.92,3.45,2.61,1.76,-7.93,0.62,1.85,-1.09,2.93
27,Weighted Average Shares Outstanding,11802982,11870958,12820000,15741000,16359000,16944000,18257000,20114000,20546000,21324000,21905000,22322000,22431000,22136000,21084000,21439000,21706000,21993000,21882000,21242000
28,Weighted Average Shares Outstanding Diluted,11802982,11870958,13765000,16858000,17317000,18033000,19082000,20114000,20774000,21676000,22285000,22777000,22925000,22600000,21424000,21439000,22058000,22507000,21882000,21531000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1289848/000119312505031189/0001193125-05-031189-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000119312506037536/0001193125-06-037536-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000119312507037052/0001193125-07-037052-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000119312508034708/0001193125-08-034708-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000119312509036340/0001193125-09-036340-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000119312510037459/0001193125-10-037459-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000095012311016457/0000950123-11-016457-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000119312512075567/0001193125-12-075567-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000119312513069461/0001193125-13-069461-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000119312514069901/0001193125-14-069901-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000119312515060049/d836724d10k.htm,https://www.sec.gov/Archives/edgar/data/1289848/000128984816000034/0001289848-16-000034-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000128984817000014/0001289848-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000128984818000012/0001289848-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000128984819000014/0001289848-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000128984820000006/0001289848-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000128984821000009/0001289848-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000128984822000008/0001289848-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4448806,4251097,28092000,31820000,16572000,2993000,14106000,5715000,6271000,5080000,25162000,58131000,256872000,58437000,17027000,16909000,33107000,11604000,67177000,20781000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4448806,4251097,28092000,31820000,16572000,2993000,14106000,5715000,6271000,5080000,25162000,58131000,256872000,58437000,17027000,16909000,33107000,11604000,67177000,20781000
34,Net Receivables,12564587,25350019,33074000,47583000,68112000,128604000,91567000,109454000,123285000,127426000,144684000,179145000,198157000,142230000,149747000,163435000,185902000,198884000,153268000,221672000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,671296,2782800,10972000,18352000,21725000,24115000,73382000,77614000,71058000,79018000,30526000,35238000,31130000,28922000,13308000,10951000,13922000,14248000,16569000,15229000
37,Total Current Assets,17684689,32383916,72138000,97755000,106409000,155712000,179055000,192783000,200614000,211524000,200372000,272514000,486159000,229589000,180082000,191295000,232931000,224736000,237014000,257682000
38,PP&E,1898954,4498251,8975000,13162000,27742000,38147000,44708000,39147000,32935000,31176000,33805000,38742000,44677000,28888000,32434000,45541000,40374000,93367000,68453000,66315000
39,Goodwill,- -,- -,- -,- -,53328000,223053000,505676000,464169000,506214000,512185000,519522000,536637000,567146000,751400000,799862000,645750000,645263000,646680000,594237000,620879000
40,Intangible Assets,3689243,- -,- -,15481000,4238000,13936000,32372000,22406000,26205000,16867000,18879000,21222000,24684000,94992000,81348000,72311000,47857000,31625000,20483000,31894000
41,Intangible Assets,3689243,- -,- -,15481000,57566000,236989000,538048000,486575000,532419000,529052000,538401000,557859000,591830000,846392000,881210000,718061000,693120000,678305000,614720000,652773000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12250000,34831000,34675000,39904000,50429000,54541000,71030000,72584000
43,Tax Assets,2426570,2332543,1450000,2154000,5433000,3628000,2064000,21298000,12440000,- -,- -,- -,- -,- -,- -,16752000,2153000,1145000,4191000,1804000
44,Other Non-Current Assets,883203,674000,656000,1147000,2294000,8737000,15722000,14412000,10575000,14892000,15272000,16485000,20998000,24460000,24814000,25375000,30525000,52177000,62068000,68191000
45,Total Non-Current Assets,8897970,7504794,11081000,31944000,93035000,287501000,600542000,561432000,588369000,575120000,587478000,613086000,669755000,934571000,973133000,845633000,816601000,879535000,820462000,861667000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,26582659,39888710,83219000,129699000,199444000,443213000,779597000,754215000,788983000,786644000,787850000,885600000,1155914000,1164160000,1153215000,1036928000,1049532000,1104271000,1057476000,1119349000
48,Accounts Payable,221759,1396265,2809000,2671000,2684000,5823000,6505000,7150000,8310000,8084000,8432000,8185000,11085000,7220000,7273000,9194000,10020000,7944000,648000,13621000
49,Short-Term Debt,- -,- -,- -,1282000,9282000,1309000,518000,278000,32000,- -,- -,25000000,28750000,- -,- -,- -,243132000,7998000,9270000,10701000
50,Tax Payable,- -,- -,- -,- -,- -,- -,2086000,874000,451000,101000,7872000,2917000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,1379741,2272886,2603000,4609000,4035000,5278000,21208000,13764000,18069000,36721000,15388000,15248000,12738000,19086000,24053000,27916000,28130000,28443000,34748000,19212000
52,Other Current Liabilities,6302938,18555542,23828000,36921000,54361000,109791000,137920000,171801000,139748000,124897000,92905000,124951000,123803000,105115000,104442000,102357000,137023000,160159000,148704000,161650000
53,Total Current Liabilities,7904438,22224693,29240000,45483000,70362000,122201000,166151000,192993000,166159000,169702000,116725000,173384000,176376000,131421000,135768000,139467000,418305000,204544000,193370000,205184000
54,Long-Term Debt,10075764,10075764,- -,- -,1000000,123734000,280000000,219000000,257000000,193500000,192500000,143750000,327852000,311993000,292065000,342507000,53853000,208324000,264605000,286534000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,12078000,14510000,20487000,26855000,34688000,35633000,1097000,732000,8070000,428000,12273000
57,Other Non-Current Liabilities,13145735,14212000,4746000,8684000,11502000,13494000,14420000,15233000,17452000,14575000,18794000,17715000,24197000,33733000,41716000,50541000,36018000,97868000,47131000,43458000
58,Total Non-Current Liabilities,23221499,24287764,4746000,8684000,12502000,137228000,294420000,234233000,274452000,220153000,225804000,181952000,378904000,380414000,369414000,394145000,90603000,314262000,312164000,342265000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,204000,283000,32000,- -,- -,- -,- -,- -,- -,- -,- -,76702000,70596000,64455000
61,Total Liabilities,31125937,46512457,33986000,54167000,82864000,259429000,460571000,427226000,440611000,389855000,342529000,355336000,555280000,511835000,505182000,533612000,508908000,518806000,505534000,547449000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,271469,275163,164000,174000,178000,182000,202000,213000,222000,234000,240000,245000,241000,241000,235000,241000,244000,247000,246000,239000
64,Retained Earnings,-4811747,-6940429,1742000,19511000,46200000,88101000,128752000,43858000,52383000,72902000,109330000,175763000,254814000,313866000,351483000,180443000,196106000,237849000,214009000,276996000
65,Other Comprehensive Income/Loss,-3000,-1991757,-12281000,-21055000,-14102000,56000,51000,-793000,-1960000,-1209000,-1359000,-797000,-2655000,3585000,3615000,10370000,16495000,14936000,13061000,16840000
66,Other Total Stockholders Equity,- -,2033276,59608000,76902000,84304000,95445000,190021000,283711000,297727000,324862000,337110000,355053000,348234000,334633000,292700000,312262000,327779000,332433000,324626000,- -
67,Total Stockholders Equity,-4543278,-6623747,49233000,75532000,116580000,183784000,319026000,326989000,348372000,396789000,445321000,530264000,600634000,652325000,648033000,503316000,540624000,585465000,551942000,571900000
68,Total Liabilities And Stockholders Equity,26582659,39888710,83219000,129699000,199444000,443213000,779597000,754215000,788983000,786644000,787850000,885600000,1155914000,1164160000,1153215000,1036928000,1049532000,1104271000,1057476000,1119349000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,26582659,39888710,83219000,129699000,199444000,443213000,779597000,754215000,788983000,786644000,787850000,885600000,1155914000,1164160000,1153215000,1036928000,1049532000,1104271000,1057476000,1119349000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1289848/000119312505031189/0001193125-05-031189-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000119312506037536/0001193125-06-037536-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000119312507037052/0001193125-07-037052-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000119312508034708/0001193125-08-034708-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000119312509036340/0001193125-09-036340-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000119312510037459/0001193125-10-037459-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000095012311016457/0000950123-11-016457-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000119312512075567/0001193125-12-075567-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000119312513069461/0001193125-13-069461-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000119312514069901/0001193125-14-069901-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000119312515060049/d836724d10k.htm,https://www.sec.gov/Archives/edgar/data/1289848/000128984816000034/0001289848-16-000034-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000128984817000014/0001289848-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000128984818000012/0001289848-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000128984819000014/0001289848-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000128984820000006/0001289848-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000128984821000009/0001289848-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000128984822000008/0001289848-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4166012,-1062417,10864000,17769000,26689000,41901000,40651000,-32873000,8525000,20519000,36428000,66433000,79051000,59052000,37617000,-170117000,13646000,41743000,-23840000,62987000
74,Depreciation and Amortization,3047914,5328484,2365000,6596000,11408000,25200000,29920000,28333000,22861000,24717000,25251000,23609000,30989000,58053000,46816000,50089000,39311000,34405000,30222000,25978000
75,Deferred Income Tax,-2710324,-1568151,-5090000,-5338000,-6463000,1384000,520000,-21762000,-863000,29702000,-521000,4683000,8096000,2765000,257000,-53753000,10717000,8795000,-9859000,12480000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,26807000,19904000,20682000,19388000,15651000,18347000,20130000,21487000,16577000,14838000,18818000,24213000,24081000,25857000
77,Change in Working Capital,-6312647,378972,32738777,9374000,-16225000,-2536000,-20607000,-13114000,34665000,7367000,41825000,15483000,210653000,-211615000,-53854000,7514000,-237202000,205566000,23452000,-84017000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-94000,- -,- -,19713000,-21731000,30072000,-2836000,1440000,1650000,-10509000,-10123000,33051000,-39845000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7001000,1514000,9164000,7679000,-3144000,3732000,-8212000,-6884000,-7786000,10394000
81,Other Working Capital,9780251,10159223,42898000,52272000,36047000,33511000,12904000,-210000,34455000,41822000,83647000,99130000,309783000,98168000,44314000,51828000,-185374000,20192000,43644000,-10440000
82,Other Non-Cash Items,381753,957247,-28406777,-2407000,27133000,-12265000,23909000,139568000,-35819000,6924000,-13045000,-13297000,-202466000,234525000,80898000,251224000,256368000,-182502000,92682000,-25298000
83,Cash Provided by Operating Activities,-9759316,4034135,12471000,25994000,42542000,53684000,101200000,120056000,50051000,108617000,105589000,115258000,146453000,164267000,128311000,99795000,101658000,132220000,136738000,17987000
84,CAPEX,-2311696,-4178538,-6943000,-8166000,-18110000,-18909000,-19821000,-12616000,-8500000,-13939000,-21641000,-21797000,-25913000,-19437000,-15022000,-25772000,-15005000,-23552000,-16397000,-15760000
85,Acquisitions Net,- -,- -,- -,-12450000,-51073000,-168209000,-229947000,-51550000,-80004000,-24117000,-55223000,-30297000,-53971000,-231479000,-69579000,-105416000,-2560000,-2500000,-10200000,-3546000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-1093000,-395000,- -,- -,-600000,-1002000,-12500000,-15438000,- -,-1826000,-2037000,-5000000,-13000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2889000,- -,- -,- -,- -
88,Other Investing Activites,-6324415,-60000,- -,-475000,- -,- -,- -,- -,687000,-434000,-895000,-1134000,-1447000,-6670000,-3121000,-193000,-5029000,-14262000,-10709000,-5726000
89,Cash Used for Investing Activites,-8636111,-4238538,-6943000,-21091000,-69183000,-187118000,-250861000,-64561000,-87817000,-38490000,-77464000,-52658000,-93831000,-272158000,-86636000,-128948000,-18562000,-35002000,-42034000,-20143000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-476432000,-307370000,-325757000,-348562000,-274012000,-119769000,-196204000,-365798000,-224000000,-240745000,-259801000,-442515000,-288574000,-205499000
91,Common Stock Issued,12768469,6694,44782000,182000,388000,562000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-12500000,-1357000,-3460000,-10084000,-6162000,-3304000,-1550000,-4521000,-4438000,-1449000,-53653000,-41745000,-60218000,-4846000,-3187000,-18367000,-35044000,-74715000
93,Dividends Paid,- -,- -,-3893000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10075764,- -,-10076000,- -,14465000,129321000,644131000,247984000,364864000,281614000,270379000,91570000,396027000,317588000,201055000,274412000,196298000,342046000,284003000,235804000
95,Cash Used/Provided by Financing Activities,22844233,6694,18313000,-1175000,11393000,119799000,161537000,-62690000,37557000,-71469000,-8071000,-29648000,146170000,-89955000,-83163000,28821000,-66690000,-118836000,-39615000,-44410000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,56000,-763000,-452000,97000,75000,28000,17000,-51000,-589000,78000,214000,-208000,115000,484000,170000
97,Net Change In Cash,- -,-197709,23841000,3728000,-15248000,-13579000,11113000,-7647000,-112000,-1267000,20082000,32969000,198741000,-198435000,-41410000,-118000,16198000,-21503000,55573000,-46396000
98,Cash at the End of Period,4448806,4251097,28092000,31820000,16572000,2993000,14106000,6459000,6347000,5080000,25162000,58131000,256872000,58437000,17027000,16909000,33107000,11604000,67177000,20781000
99,Cash at the Beginning of Period,- -,4448806,4251000,28092000,31820000,16572000,2993000,14106000,6459000,6347000,5080000,25162000,58131000,256872000,58437000,17027000,16909000,33107000,11604000,67177000
100,Free Cash Flow,-12071012,-144403,5528000,17828000,24432000,34775000,81379000,107440000,41551000,94678000,83948000,93461000,120540000,144830000,113289000,74023000,86653000,108668000,120341000,2227000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1289848/000119312505031189/0001193125-05-031189-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000119312506037536/0001193125-06-037536-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000119312507037052/0001193125-07-037052-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000119312508034708/0001193125-08-034708-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000119312509036340/0001193125-09-036340-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000119312510037459/0001193125-10-037459-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000095012311016457/0000950123-11-016457-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000119312512075567/0001193125-12-075567-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000119312513069461/0001193125-13-069461-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000119312514069901/0001193125-14-069901-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000119312515060049/d836724d10k.htm,https://www.sec.gov/Archives/edgar/data/1289848/000128984816000034/0001289848-16-000034-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000128984817000014/0001289848-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000128984818000012/0001289848-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000128984819000014/0001289848-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000128984820000006/0001289848-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1289848/000128984821000009/0001289848-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1289848/000128984822000008/0001289848-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
