,https://roic.ai/company/MOG-A,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11100000,11600000,17100000,18400000,16800000,-22000000,8300000,13300000,12200000,-6300000,8600000,3000000,8800000,16000000,19600000,29900000,36700000,38615000,42013000,52990000,58249000,83469000,94918000,120149000,143751000,168035000,110600000,149400000,183800000,208841000,165006000,218923000,183834000,172860000,181711000,183837000,233758000,5417000,203774000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0667,0.0589,0.0712,0.0637,0.0547,-0.0741,0.0294,0.0438,0.0380,-0.0205,0.0293,0.0098,0.0235,0.0393,0.0430,0.0557,0.0583,0.0600,0.0596,0.0737,0.0771,0.0889,0.0903,0.0920,0.0923,0.0883,0.0598,0.0707,0.0789,0.0846,0.0632,0.0827,0.0728,0.0717,0.0728,0.0678,0.0805,0.0019,0.0714
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000,8200000,7600000,-5600000,3400000,6400000,4600000,500000,3500000,1400000,1000000,4800000,6000000,10600000,12300000,13215000,14075000,15391000,15554000,26182000,30126000,38803000,42815000,48967000,- -,- -,- -,56379000,44509000,60725000,- -,- -,41301000,87209000,54010000,-3788000,46554000
23,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,7400000,9800000,10200000,11800000,-16600000,4900000,6900000,7600000,-6800000,4700000,2100000,7800000,10700000,13600000,19300000,24400000,25400000,27938000,37599000,42695000,57287000,64792000,81346000,100936000,119068000,85000000,108100000,136000000,152462000,120497000,158198000,131883000,126745000,141280000,96507000,179748000,9205000,157220000
24,Net Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0060,0.0376,0.0408,0.0353,0.0384,-0.0559,0.0174,0.0227,0.0237,-0.0221,0.0160,0.0068,0.0208,0.0263,0.0298,0.0360,0.0387,0.0394,0.0397,0.0523,0.0565,0.0610,0.0616,0.0623,0.0648,0.0626,0.0460,0.0511,0.0584,0.0617,0.0462,0.0597,0.0522,0.0525,0.0566,0.0356,0.0619,0.0032,0.0551
25,EPS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.03,0.25,0.10,0.10,0.12,-0.17,0.05,0.08,0.09,-0.08,0.05,0.03,0.30,0.41,0.56,0.69,0.81,0.85,0.95,1.13,1.24,1.47,1.68,2.01,2.38,2.79,2.00,2.38,2.99,3.37,2.66,3.57,3.39,3.49,3.94,2.71,5.16,0.28,4.90
26,EPS Diluted,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.03,0.25,0.10,0.10,0.12,-0.17,0.05,0.08,0.09,-0.08,0.05,0.03,0.30,0.41,0.56,0.67,0.80,0.84,0.94,1.11,1.23,1.45,1.64,1.97,2.34,2.75,1.98,2.36,2.95,3.33,2.63,3.52,3.35,3.47,3.90,2.68,5.11,0.28,4.87
27,Weighted Average Shares Outstanding,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29200000,29400000,29702675,29898129,21422726,26777562,26844961,26858441,26184453,25992367,25992367,26012588,26061503,25782678,24383065,27956009,30054745,29765625,29511972,33306201,34302054,38882579,38608235,40558717,42429711,42604268,42598321,45363738,45501806,45246960,45335336,44362412,38945880,36277445,35852448,35661638,34854614,33257684,32112589
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29200000,29400000,29702675,29898129,21422726,26777562,26844961,26858441,26184453,25992367,25992367,26012588,26061503,25782678,24383065,28821903,30500000,30078947,29791706,33839100,34799185,39599309,39498834,41247689,43149481,43256888,42906495,45709020,46047422,45718324,45823720,44952437,39334520,36529344,36230043,36052307,35178968,33437801,32297956
29,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67887/000119312511325967/0001193125-11-325967-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67887/000006788715000081/0000067887-15-000081-index.htm,https://www.sec.gov/Archives/edgar/data/67887/000006788716000213/0000067887-16-000213-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67887/000006788720000054/0000067887-20-000054-index.htm,https://www.sec.gov/Archives/edgar/data/67887/000006788721000065/0000067887-21-000065-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6200000,4700000,4800000,5000000,9200000,7400000,9700000,6900000,7000000,8100000,18600000,8700000,7600000,9600000,6800000,11600000,9800000,13827000,14300000,16000000,77491000,56701000,33750000,57821000,83856000,86814000,81500000,112400000,113700000,148841000,157090000,231292000,309853000,325128000,368073000,125584000,89702000,84583000,99599000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,422000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6200000,4700000,4800000,5000000,9200000,7400000,9700000,6900000,7000000,8100000,18600000,8700000,7600000,9600000,6800000,11600000,9800000,13827000,14300000,16000000,77491000,56701000,33750000,57821000,83856000,86814000,81500000,112400000,113700000,148841000,157090000,231292000,309853000,325550000,368073000,125584000,89702000,84583000,99599000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49600000,63700000,75600000,94800000,106300000,114800000,106500000,118800000,132000000,123500000,123000000,144200000,148900000,156000000,158700000,181000000,208900000,211463000,235200000,235100000,262094000,261776000,296986000,333492000,431978000,517361000,536800000,606000000,644800000,744551000,811376000,780874000,685862000,677736000,727740000,793911000,957287000,855535000,945929000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47400000,51500000,55400000,70200000,75900000,65300000,61400000,72500000,70200000,73700000,66900000,78600000,86200000,99300000,103900000,121800000,152200000,147546000,158800000,162400000,170578000,189649000,215425000,282720000,359250000,408295000,484300000,460900000,502400000,538262000,551674000,517056000,493360000,479040000,489127000,512522000,534974000,623043000,613095000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,6700000,11000000,10500000,9800000,5900000,4300000,4500000,8000000,9600000,8200000,23900000,19100000,22700000,25300000,32700000,35900000,30665000,35200000,44000000,42036000,40963000,53897000,54068000,61767000,77915000,107800000,113000000,119500000,117254000,127235000,134842000,138420000,44918000,41499000,44404000,47010000,50326000,60157000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108200000,126600000,146800000,180500000,201200000,193400000,181900000,202700000,217200000,214900000,216700000,255400000,261800000,287600000,294700000,347100000,406800000,403501000,443500000,457500000,552199000,549089000,600058000,728101000,936851000,1090385000,1210400000,1292300000,1380400000,1548908000,1647375000,1664064000,1627495000,1527244000,1626439000,1476421000,1628973000,1613487000,1718780000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83800000,84100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132100000,139400000,188900000,- -,198700000,202700000,208169000,246743000,262841000,310011000,386813000,428120000,481700000,486900000,503900000,546179000,562363000,555348000,536756000,522369000,522991000,552865000,586767000,668891000,706133000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49600000,60000000,184400000,- -,183500000,192900000,- -,- -,- -,450971000,538433000,560735000,698500000,704800000,735000000,762854000,766924000,757852000,737212000,740162000,774268000,797217000,784240000,821856000,851605000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18200000,16300000,16000000,- -,- -,- -,181303000,9500000,10400000,205886000,303034000,402991000,49922000,81916000,74755000,220300000,205900000,197500000,212195000,208756000,178070000,143723000,113560000,108818000,95537000,79646000,85046000,106095000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18200000,16300000,16000000,49600000,60000000,184400000,181303000,193000000,203300000,205886000,303034000,402991000,500893000,620349000,635490000,918800000,910700000,932500000,975049000,975680000,935922000,880935000,853722000,883086000,892754000,863886000,906902000,957700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6100000,9700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18800000,- -,- -,- -,- -,- -,- -,76900000,69500000,56700000,- -,- -,- -,60209000,11026000,26558000,17328000,19992000,18924000,17769000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9500000,2400000,92400000,111700000,119400000,113400000,110900000,118700000,117700000,121100000,101400000,150900000,146900000,146000000,14100000,12800000,18400000,206901000,21300000,3200000,25326000,26062000,37437000,68649000,62166000,73252000,-53500000,-47300000,-30600000,35771000,51677000,53118000,-18924000,90613000,31518000,24680000,14619000,17627000,32787000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92400000,111700000,119400000,113400000,110900000,118700000,117700000,121100000,101400000,169100000,163200000,162000000,195800000,212200000,391700000,388204000,413000000,428000000,439381000,575839000,703269000,879553000,1069328000,1136862000,1423900000,1419800000,1462500000,1556999000,1589720000,1544388000,1458976000,1477730000,1464153000,1487627000,1485264000,1612344000,1714389000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93300000,86400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201500000,213000000,239200000,292200000,320600000,306800000,292800000,321400000,334900000,336000000,318100000,424500000,425000000,449600000,490500000,559300000,798500000,791705000,856500000,885500000,991580000,1124928000,1303327000,1607654000,2006179000,2227247000,2634300000,2712100000,2842900000,3105907000,3237095000,3208452000,3086471000,3004974000,3090592000,2964048000,3114237000,3225831000,3433169000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7600000,12600000,- -,- -,- -,- -,15200000,17800000,17000000,17100000,13900000,21300000,25800000,21600000,23900000,25600000,36400000,36253000,45500000,38700000,47159000,54200000,70180000,99677000,113942000,128723000,125300000,154300000,165900000,169587000,181893000,162667000,165973000,144450000,170878000,213982000,257677000,176868000,200602000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6400000,12700000,17900000,21000000,21800000,36600000,34100000,37100000,37900000,32100000,38600000,24800000,13700000,13900000,1300000,400000,5800000,20190000,13200000,14100000,25747000,19623000,17920000,19101000,5891000,9066000,17000000,2000000,9300000,93960000,108470000,108922000,83000,1379000,384000,3988000,249000,350000,80365000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26532000,- -,12908000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112204000,145854000,145500000,- -,- -,159274000,151687000,137242000,203338000,263686000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25900000,25700000,47700000,57200000,65500000,64000000,37200000,40300000,55000000,51000000,40700000,57300000,55300000,64100000,82000000,94900000,139600000,110845000,127400000,128600000,138517000,153461000,199252000,188828000,200395000,239304000,304000000,323200000,371200000,288125000,287013000,305715000,439449000,443120000,298898000,310967000,332490000,329998000,324708000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39900000,51000000,65600000,78200000,87300000,100600000,86500000,95200000,109900000,100200000,93200000,103400000,94800000,99600000,107200000,120900000,181800000,167288000,186100000,181400000,211423000,227284000,287352000,307606000,320228000,377093000,446300000,479500000,546400000,663876000,723230000,722804000,605505000,588949000,629434000,680624000,727658000,710554000,869361000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78600000,74500000,72500000,97800000,104800000,122100000,118100000,129100000,120600000,131200000,124100000,179400000,199900000,197400000,221600000,199700000,349500000,346099000,343600000,285300000,230913000,291666000,330977000,367457000,611633000,661994000,814600000,757300000,714800000,670662000,600687000,765114000,1075067000,1010498000,956653000,858836000,832984000,929982000,823355000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12700000,16700000,16400000,3500000,1800000,2300000,2000000,1300000,1900000,16700000,19700000,- -,- -,- -,- -,- -,- -,- -,31953000,34198000,36304000,83587000,80419000,80754000,- -,- -,- -,36455000,104377000,83931000,- -,- -,13320000,46477000,40528000,40474000,64642000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,700000,800000,1200000,1300000,1000000,1000000,4800000,5000000,21300000,400000,47900000,- -,- -,- -,55764000,- -,- -,93143000,100124000,127657000,86148000,116687000,112996000,- -,- -,- -,430124000,273036000,289188000,- -,- -,276881000,153125000,190586000,301738000,275667000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78600000,74500000,87700000,115200000,122000000,126800000,121200000,132400000,123600000,137300000,131000000,217400000,220000000,245300000,221600000,199700000,349500000,401863000,343600000,285300000,356009000,425988000,494938000,537192000,808739000,855744000,814600000,757300000,714800000,1137241000,978100000,1138233000,1075067000,1010498000,1246854000,1058438000,1064098000,1272194000,1163664000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165500000,160600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,490800000,447100000,754400000,- -,778200000,689400000,- -,- -,- -,- -,- -,- -,1937600000,1869000000,1819500000,- -,- -,- -,2561501000,2438112000,- -,- -,- -,- -,- -
