,https://roic.ai/company/HOLX,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,1700000,3200000,200000,1300000,-2000000,4100000,4700000,12100000,22400000,10800000,-9600000,-27359000,-18806000,2157000,3025000,12586000,32631000,50339000,147752000,-197542000,-2016674000,69937000,374445000,113717000,-906282000,279700000,455100000,548600000,1370200000,-237900000,-123800000,1105000000,2480300000
18,Operating Income ratio,0.1491,0.1616,0.0117,0.0496,-0.0806,0.1065,0.1083,0.1321,0.2099,0.0934,-0.1133,-0.2918,-0.1044,0.0113,0.0148,0.0550,0.1134,0.1088,0.2001,-0.1180,-1.2319,0.0416,0.2093,0.0568,-0.3636,0.1105,0.1682,0.1937,0.4480,-0.0739,-0.0368,0.2926,0.4404
19,Total Other Income Expenses (Gains),- -,500000,800000,800000,-100000,200000,-2100000,5000000,5200000,5400000,3800000,-1660000,-1894000,-2457000,275000,314000,2069000,2884000,748000,-129758000,-137426000,-124937000,-147045000,-175417000,-286618000,-231600000,-277900000,-133300000,-139700000,-180700000,-133900000,-103100000,-119200000
20,Income Before Tax,1700000,3700000,1000000,2100000,-2100000,4300000,2600000,17100000,27600000,16200000,-5800000,-29019000,-20700000,-300000,3300000,12900000,34700000,53223000,148500000,-327300000,-2154100000,-55000000,227400000,-61700000,-1192900000,48100000,177200000,415300000,1230500000,-418600000,-257700000,1001900000,2361100000
21,Income Before Tax Ratio,0.1491,0.1869,0.0585,0.0802,-0.0847,0.1117,0.0599,0.1867,0.2587,0.1401,-0.0685,-0.3095,-0.1149,-0.0016,0.0162,0.0564,0.1206,0.1150,0.2011,-0.1955,-1.3158,-0.0327,0.1271,-0.0308,-0.4786,0.0190,0.0655,0.1466,0.4023,-0.1301,-0.0765,0.2653,0.4192
22,Income Tax expense (Gain),300000,1100000,300000,600000,-300000,1300000,700000,5700000,9800000,5800000,-2100000,-10400000,200000,-400000,176000,763000,6439000,25800000,53911000,106476000,87562000,7822000,70236000,11973000,-20123000,30800000,45600000,84500000,475000000,-307300000,-59100000,-108600000,491400000
23,Net Income,1400000,2600000,700000,1500000,-1800000,3000000,1900000,11400000,17700000,10400000,-3700000,-18619000,-20900000,200000,2900000,12200000,28300000,27423000,94600000,-415600000,-2216600000,-62800000,157200000,-73600000,-1172800000,17300000,131600000,330800000,755500000,-111300000,-203600000,1115200000,1871500000
24,Net Income ratio,0.1228,0.1313,0.0409,0.0573,-0.0726,0.0779,0.0438,0.1245,0.1659,0.0900,-0.0437,-0.1986,-0.1160,0.0011,0.0142,0.0533,0.0984,0.0593,0.1281,-0.2482,-1.3540,-0.0374,0.0879,-0.0368,-0.4706,0.0068,0.0487,0.1168,0.2470,-0.0346,-0.0605,0.2953,0.3323
25,EPS,0.07,0.09,0.02,0.05,-0.06,0.12,0.05,0.23,0.33,0.20,-0.07,-0.30,-0.34,0.00,0.04,0.15,0.33,0.29,0.89,-1.57,-8.48,-0.24,0.60,-0.28,-4.36,0.06,0.47,1.18,2.70,-0.40,-0.15,4.24,7.28
26,EPS Diluted,0.06,0.09,0.02,0.05,-0.06,0.12,0.05,0.23,0.33,0.19,-0.07,-0.30,-0.34,0.00,0.04,0.14,0.32,0.28,0.86,-1.57,-8.48,-0.24,0.59,-0.28,-4.36,0.06,0.45,1.16,2.64,-0.40,-0.15,4.21,7.21
27,Weighted Average Shares Outstanding,8712000,28108108,31111111,31578947,31304348,24489796,35007040,50095932,54687576,53035148,55800000,61280000,61900000,73676000,78516000,81032000,85648000,93024000,106872000,245968000,256545000,258743000,261099000,264041000,268704000,275499000,280566000,280213000,279811000,275105000,269413000,262727000,257046000
28,Weighted Average Shares Outstanding Diluted,8712000,28108108,31111111,31578947,31304348,24489796,36603408,50095932,54687576,55063236,55800000,61280000,61900000,76768000,80520000,85184000,90252000,97240000,109668000,245968000,256545000,258743000,264305000,264041000,268704000,278360000,289537000,286156000,285653000,275105000,269413000,264613000,259706000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/859737/000095010995005384/0000950109-95-005384-index.html,https://www.sec.gov/Archives/edgar/data/859737/000092701696002077/0000927016-96-002077-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/859737/000119312503098850/d10k.htm,https://www.sec.gov/Archives/edgar/data/859737/000119312504209557/d10k.htm,https://www.sec.gov/Archives/edgar/data/859737/000119312505237204/d10k.htm,https://www.sec.gov/Archives/edgar/data/859737/000119312506253369/d10k.htm,https://www.sec.gov/Archives/edgar/data/859737/000119312507253993/0001193125-07-253993-index.html,https://www.sec.gov/Archives/edgar/data/859737/000119312508244529/0001193125-08-244529-index.html,https://www.sec.gov/Archives/edgar/data/859737/000119312509241357/0001193125-09-241357-index.html,https://www.sec.gov/Archives/edgar/data/859737/000119312510268147/0001193125-10-268147-index.html,https://www.sec.gov/Archives/edgar/data/859737/000119312511320641/0001193125-11-320641-index.html,https://www.sec.gov/Archives/edgar/data/859737/000119312512482840/0001193125-12-482840-index.html,https://www.sec.gov/Archives/edgar/data/859737/000119312513453681/0001193125-13-453681-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973714000008/0000859737-14-000008-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973715000034/0000859737-15-000034-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973716000071/0000859737-16-000071-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973717000023/0000859737-17-000023-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973718000020/0000859737-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973719000026/0000859737-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973720000039/0000859737-20-000039-index.htm,https://www.sec.gov/Archives/edgar/data/859737/000085973721000023/0000859737-21-000023-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,7400000,29000000,28000000,48000000,37000000,22778000,13000000,46000000,45000000,68000000,114000000,29923000,100000000,96000000,293000000,516000000,712000000,560000000,823000000,736000000,491300000,548400000,540600000,666700000,601800000,701000000,1170300000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,47000000,56000000,27000000,26000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,7400000,76000000,84000000,75000000,63000000,22778000,13000000,46000000,45000000,68000000,114000000,29923000,100000000,96000000,293000000,516000000,712000000,560000000,823000000,736000000,491300000,548400000,540600000,666700000,601800000,701000000,1170300000
34,Net Receivables,- -,- -,- -,- -,- -,- -,11600000,22000000,29000000,29000000,28000000,50580000,42000000,39000000,44000000,48000000,58000000,108566000,153000000,321000000,263000000,283000000,319000000,409000000,409000000,396000000,416100000,447000000,533500000,579200000,648700000,1028900000,942700000
35,Inventory,- -,- -,- -,- -,- -,- -,6900000,11000000,13000000,20000000,18000000,39706000,39000000,38000000,43000000,40000000,45000000,93477000,105000000,175000000,180000000,192000000,231000000,367000000,289000000,331000000,283100000,274700000,331600000,384100000,444900000,395100000,501200000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,4700000,4000000,5000000,8000000,6000000,3041000,6000000,15000000,10000000,10000000,11000000,58056000,41000000,102000000,83000000,108000000,81000000,227000000,103000000,103000000,75300000,56500000,72900000,93200000,97700000,97300000,554500000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,30600000,113000000,131000000,132000000,115000000,116105000,100000000,138000000,142000000,166000000,228000000,290022000,399000000,694000000,819000000,1099000000,1343000000,1563000000,1624000000,1566000000,1265800000,1326600000,1478600000,1723200000,1793100000,2222300000,3168700000
38,PP&E,- -,- -,- -,- -,- -,- -,1500000,4000000,5000000,26000000,50000000,62794000,60000000,29000000,32000000,33000000,33000000,61723000,70000000,284000000,278000000,252000000,239000000,508000000,492000000,462000000,457100000,460200000,491200000,478200000,470900000,572200000,648300000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,6000000,6000000,6000000,6000000,341994000,408000000,4450000000,2109000000,2109000000,2290000000,3943000000,2815000000,2811000000,2808200000,2803100000,3171200000,2533200000,2563700000,2657900000,3281600000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19137000,12000000,10000000,8000000,6000000,5000000,158161000,174000000,2630000000,2423000000,2119000000,2091000000,4301000000,3907000000,3434000000,3023200000,2643400000,2753900000,2398600000,1459800000,1307500000,1659200000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19137000,18000000,16000000,14000000,12000000,11000000,500155000,582000000,7080000000,4532000000,4228000000,4381000000,8244000000,6722000000,6245000000,5831400000,5446500000,5925100000,4931800000,4023500000,3965400000,4940800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,29000000,37506000,45000000,25000000,4500000,3000000,8800000,54100000,11400000,9500000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,1000000,- -,55000000,921000000,1045000000,956000000,957000000,1772000000,1535000000,1375000000,1178400000,982600000,9100000,498200000,275300000,15500000,21900000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,1800000,6000000,9000000,15000000,11000000,21619000,17000000,1000000,1000000,-1000000,7000000,4305000,-40000000,-844000000,-990000000,-909000000,-916000000,-1639000000,-1409506000,-1278000000,-1115200000,-903400000,72600000,-409300000,-174800000,409000000,130700000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,3300000,10000000,14000000,41000000,61000000,103550000,95000000,46000000,47000000,46000000,52000000,566183000,667000000,7441000000,4865000000,4527000000,4666000000,8914000000,7377000000,6849000000,6376700000,5990400000,6501000000,5507700000,4649000000,4973500000,5751200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,33900000,123000000,145000000,173000000,176000000,219655000,195000000,184000000,189000000,212000000,280000000,856205000,1066000000,8135000000,5684000000,5626000000,6009000000,10477000000,9001000000,8415000000,7642500000,7317000000,7979600000,7230900000,6442100000,7195800000,8919900000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,3800000,4000000,5000000,5000000,6000000,16414000,18000000,11000000,11000000,11000000,14000000,26443000,42000000,60000000,47000000,57000000,63000000,87000000,81000000,92000000,117000000,156900000,166600000,192200000,186500000,178800000,215900000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,2100000,3000000,- -,4000000,1000000,388000,2000000,- -,480000,475000,- -,57921000,1977000,38480000,38373000,1362000,- -,64435000,563812000,114500000,391800000,296000000,1152400000,601400000,273200000,350300000,343500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33070000,12424000,17369000,9800000,13300000,38400000,66900000,57200000,56100000,125300000,70900000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9440000,13013000,21134000,30903000,29356000,53660000,52165000,120516000,120656000,129688000,132319000,150900000,163100000,161400000,171200000,172900000,179500000,186100000,198000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,5300000,9000000,13000000,23000000,18000000,46281000,35000000,28000000,17080000,18512000,20866000,59012000,105667000,188860000,191462000,263122000,325344000,379877000,310869000,262600000,271500000,287600000,375300000,436100000,430900000,524100000,569400000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,11200000,16000000,18000000,32000000,25000000,63083000,55000000,39000000,38000000,43000000,56000000,174279000,179000000,341000000,329000000,442000000,509000000,661000000,1088000000,620000000,943400000,901900000,1865500000,1402600000,1070100000,1239300000,1326800000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,28000000,2000000,2000000,- -,- -,6163000,9000000,2162000000,1514000000,1447000000,1489000000,4971000000,4242000000,4153000000,3221000000,3049400000,2172100000,2725500000,2802800000,2713900000,2801100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10011000,9467000,13714000,25456000,20100000,19600000,15900000,20800000,18200000,15800000,12900000,20300000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60858000,- -,- -,- -,955611000,957426000,1771585000,1535306000,1375400000,1178400000,982600000,973600000,498200000,275300000,201800000,460500000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,2000000,6000000,9155000,73000000,989000000,1115000000,72378000,107107000,98701000,168238000,183500000,200900000,224500000,162900000,157600000,162400000,320600000,92600000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,28000000,3000000,2000000,2000000,6000000,76176000,82000000,3151000000,2629000000,2485000000,2563000000,6855000000,5971000000,5732000000,4619900000,4272400000,3329400000,3399500000,3256300000,3249200000,3374500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33256000,33494000,34100000,34000000,34800000,58400000,58100000,54700000,108400000,119400000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,11200000,16000000,18000000,32000000,25000000,88083000,83000000,42000000,40000000,45000000,62000000,250455000,261000000,3492000000,2958000000,2927000000,3072000000,7516000000,7059000000,6352000000,5563300000,5174300000,5194900000,4802100000,4326400000,4488500000,4701300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154000,- -,- -,- -,- -,- -,526000,1000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,2800000,2900000,2900000,2900000,2900000,2900000,3000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,7400000,18000000,36000000,46000000,42000000,23821000,3000000,3000000,6000000,18000000,46000000,73875000,168000000,-218000000,-2464000000,-2527000000,-2370000000,-2444000000,-3616000000,-3601000000,-3469000000,-3138200000,-2382700000,-2494000000,-2688700000,-1573200000,298300000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-2300000,-4000000,-2000000,-2000000,-2000000,-11450000,-4000000,-4000000,-1296000,-1115000,-1239000,-442000,4123000,4945000,7028000,143000,1995000,6790000,20391000,2600000,-14500000,-32300000,-16200000,-25500000,-42300000,-49700000,-59100000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,17600000,93000000,93000000,96000000,110000000,119047000,113000000,143000000,145000000,150000000,173000000,531791000,632600000,4852324000,4966687000,5222406000,5301900000,5395241000,5534122000,5658400000,5559900000,5310300000,5180700000,4945400000,4843800000,4325200000,3976400000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,22700000,107000000,127000000,140000000,150000000,131572000,112000000,142000000,148927000,166275000,217834000,605750000,805723000,4642269000,2512715000,2698549000,2936895000,2961031000,1941513000,2063000000,2079200000,2142700000,2784700000,2428800000,2115700000,2705200000,4218600000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,33900000,123000000,145000000,172000000,175000000,219655000,195000000,184000000,188927000,211275000,279834000,856205000,1066723000,8134269000,5470715000,5625549000,6008895000,10477031000,9000513000,8415000000,7642500000,7317000000,7979600000,7230900000,6442100000,7193700000,8919900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,- -,- -,- -,73000,725000,166000,- -,-723000,731000,213285000,451000,105000,-31000,487000,- -,- -,- -,- -,- -,- -,2100000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,33900000,123000000,145000000,173000000,176000000,219655000,195000000,184000000,189000000,212000000,280000000,856205000,1066000000,8135000000,5684000000,5626000000,6009000000,10477000000,9001000000,8415000000,7642500000,7317000000,7979600000,7230900000,6442100000,7195800000,8919900000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/859737/000095010995005384/0000950109-95-005384-index.html,https://www.sec.gov/Archives/edgar/data/859737/000092701696002077/0000927016-96-002077-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/859737/000119312503098850/d10k.htm,https://www.sec.gov/Archives/edgar/data/859737/000119312504209557/d10k.htm,https://www.sec.gov/Archives/edgar/data/859737/000119312505237204/d10k.htm,https://www.sec.gov/Archives/edgar/data/859737/000119312506253369/d10k.htm,https://www.sec.gov/Archives/edgar/data/859737/000119312507253993/0001193125-07-253993-index.html,https://www.sec.gov/Archives/edgar/data/859737/000119312508244529/0001193125-08-244529-index.html,https://www.sec.gov/Archives/edgar/data/859737/000119312509241357/0001193125-09-241357-index.html,https://www.sec.gov/Archives/edgar/data/859737/000119312510268147/0001193125-10-268147-index.html,https://www.sec.gov/Archives/edgar/data/859737/000119312511320641/0001193125-11-320641-index.html,https://www.sec.gov/Archives/edgar/data/859737/000119312512482840/0001193125-12-482840-index.html,https://www.sec.gov/Archives/edgar/data/859737/000119312513453681/0001193125-13-453681-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973714000008/0000859737-14-000008-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973715000034/0000859737-15-000034-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973716000071/0000859737-16-000071-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973717000023/0000859737-17-000023-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973718000020/0000859737-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973719000026/0000859737-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/859737/000085973720000039/0000859737-20-000039-index.htm,https://www.sec.gov/Archives/edgar/data/859737/000085973721000023/0000859737-21-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,700000,1500000,-1800000,3000000,1900000,11400000,17700000,10400000,-3700000,-18619000,-20900000,200000,2900000,12200000,28300000,27423000,94600000,-415600000,-2216600000,-62800000,157200000,-73600000,-1172800000,17300000,131600000,330800000,755500000,-111300000,-203600000,1115200000,1871500000
74,Depreciation and Amortization,- -,- -,300000,300000,400000,600000,600000,900000,1300000,1900000,3500000,4420000,8735000,7476000,7405000,7589000,7574000,16133000,31162000,172950000,273924000,294768000,304736000,345751000,516010000,523200000,491400000,465400000,449200000,480300000,463100000,376000000,406900000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2500000,- -,-10546000,293000,3896000,- -,- -,-135000,-5797000,5873000,-10365000,-1941000,-121726000,-48107000,-155192000,-197983000,-243100000,-148800000,-155800000,-357200000,-477300000,-235700000,-94400000,-70100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32939000,34160000,35472000,40572000,52307000,50000000,59300000,65400000,68200000,65000000,62000000,83300000,65000000
77,Change in Working Capital,- -,- -,-600000,- -,- -,19400000,- -,77600000,16000000,-13000000,-10000000,-36978000,-8022000,54000000,5000000,19000000,49000000,-56257000,104257000,133000000,137000000,167000000,177000000,68000000,-366000000,410000000,-623600000,102300000,-811600000,707500000,402400000,260000000,13000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57581000,-20211000,-17131000,-11005000,4102000,7900000,-30300000,-31800000,-41500000,-38200000,-76500000,-427100000,110900000
79,Inventory,- -,- -,-400000,-1400000,200000,-400000,-2400000,-2700000,-2100000,-7200000,6100000,836000,2310000,1641000,-5074000,3428000,-4381000,-23023000,-7997000,-29595000,-15142000,-5247000,-32158000,-12174000,25165000,-44700000,43900000,7600000,-11600000,-50600000,-63000000,-25300000,-84100000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12881000,7151000,2589000,3768000,-6406000,11800000,25500000,40100000,-10600000,23900000,-5500000,-4900000,20400000
81,Other Working Capital,- -,- -,- -,- -,- -,19400000,19400000,97000000,113000000,100000000,90000000,53022000,45000000,99000000,104000000,123000000,172000000,115743000,220000000,353000000,490000000,657000000,834000000,902000000,536000000,946000000,322400000,424700000,-386900000,320600000,723000000,983000000,14000000
82,Other Non-Cash Items,- -,- -,-1600000,-2200000,1100000,-26000000,-1000000,-88800000,-22400000,17800000,12500000,61046000,9643000,-58611000,-10574000,-12907000,-40366000,49622000,-82642000,484611000,2321043000,145310000,-170277000,144691000,1662288000,-249000000,876200000,-20900000,-95800000,68700000,161300000,-843500000,44100000
83,Cash Provided by Operating Activities,- -,- -,-1200000,-400000,-300000,-3000000,1500000,1100000,12600000,14600000,2300000,-677000,-10251000,6961000,4731000,25882000,44373000,31124000,153250000,364596000,546365000,456712000,456024000,370222000,493822000,508400000,786100000,787200000,8300000,732900000,649500000,896600000,2330400000
84,CAPEX,- -,- -,-400000,-500000,-200000,-500000,-800000,-2400000,-2100000,-22600000,-8900000,-5821000,-4330000,-6138000,-8146000,-7187000,-7699000,-40583000,-22840000,-53284000,-65703000,-52480000,-64006000,-83273000,-90130000,-80200000,-89400000,-98500000,-107600000,-105600000,-113600000,-156400000,-162700000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30198000,- -,- -,- -,-341000,- -,-171828000,-9793000,-2609341000,-229000,-87357000,-218404000,-3772187000,62053000,10100000,- -,- -,306900000,-76500000,-128800000,19900000,-1164700000
