,https://roic.ai/company/UTL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9200000,-14600000,-19400000,-13900000,-14500000,-15400000,-18559000,-19890000,-20825000,-21939000,-22922000,-24367000,-33642000,-32500000,-28300000,-58700000,-49600000,-57100000,-68500000,-89500000,-92600000,-103900000,-98100000,-119300000,-102400000,-119200000,-122600000,-115000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30000,- -,- -,- -,- -,- -,- -,-209900000,-6900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,13400000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1535000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,900000,- -,- -,5300000,-3690000,342000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9200000,-12600000,-18500000,-13900000,-14500000,-15100000,-22249000,-19578000,-19290000,-21939000,-22922000,-24367000,-33642000,-32500000,-238200000,-65600000,-49600000,-57100000,-68500000,-89500000,-92600000,-103900000,-98100000,-119300000,-102400000,-105800000,-122600000,-115000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,-31800000,-2200000,- -,-500000,-500000,-4400000,-7400000,-19000000,-17200000,-33100000,-18800000,-24900000,-25900000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,1100000,1200000,1700000,1600000,1900000,639000,229000,- -,17628000,947000,1031000,1001000,1500000,37400000,56400000,900000,1000000,66800000,1100000,1200000,1300000,1300000,33000000,1200000,1100000,1100000,45500000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,-100000,- -,- -,-100000,-999000,-81000,-293000,-53000,-931000,-11000,-243000,- -,- -,- -,- -,- -,-1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5500000,-5800000,-6000000,-6200000,-6400000,-6700000,-6787000,-6902000,-6831000,-7056000,-7857000,-7843000,-7908000,-7900000,-8100000,-13200000,-15000000,-15200000,-17200000,-19100000,-19200000,-19600000,-20000000,-20400000,-21800000,-22100000,-22600000,-23600000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000,- -,16700000,1600000,7800000,500000,20745000,6140000,17930000,-7595000,-619000,7289000,21768000,12100000,168900000,-500000,41200000,24000000,-43200000,11300000,30000000,14800000,64600000,40800000,76500000,38100000,94100000,11700000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5100000,-4800000,11800000,-2900000,3000000,-4400000,13598000,-614000,10806000,2924000,-8460000,466000,14618000,5700000,197800000,10900000,24900000,9800000,4100000,-7200000,7600000,-10900000,26900000,36200000,22800000,-1700000,47700000,7700000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,-400000,-500000,-600000,1800000,-1300000,213000,3016000,1084000,-3394000,-734000,175000,1349000,- -,6900000,-3800000,1200000,-1400000,2300000,-400000,-1000000,300000,-2900000,3100000,-1100000,-2600000,800000,500000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,3800000,3400000,2900000,2300000,4100000,2800000,3060000,6076000,7160000,3766000,3032000,3207000,4556000,4600000,11500000,7700000,8900000,7500000,9800000,9400000,8400000,8700000,5800000,8900000,7800000,5200000,6000000,6500000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,3800000,3400000,2900000,2300000,4100000,2847000,3060000,6076000,7160000,3766000,3032000,3207000,4600000,4600000,11500000,7700000,8900000,7500000,9800000,9400000,8400000,8700000,5800000,8900000,7800000,5200000,6000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,7100000,2400000,-13200000,2300000,-1300000,2900000,-9695000,3318000,-11257000,-6318000,7726000,-291000,-13269000,-5700000,19000000,-7800000,-23700000,-11200000,-1800000,6800000,-8600000,11200000,-29800000,-33100000,-23900000,-14300000,-46900000,-7200000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/755001/000075500196000005/0000755001-96-000005-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/755001/000075500101500004/0000755001-01-500004-index.html,https://www.sec.gov/Archives/edgar/data/755001/000075500102000003/0000755001-02-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/755001/000119312504030725/d10k.htm,https://www.sec.gov/Archives/edgar/data/755001/000119312505040836/d10k.htm,https://www.sec.gov/Archives/edgar/data/755001/000119312506036628/d10k.htm,https://www.sec.gov/Archives/edgar/data/755001/000119312507035915/d10k.htm,https://www.sec.gov/Archives/edgar/data/755001/000119312508026980/d10k.htm,https://www.sec.gov/Archives/edgar/data/755001/000119312509031869/0001193125-09-031869-index.html,https://www.sec.gov/Archives/edgar/data/755001/000119312510027225/0001193125-10-027225-index.html,https://www.sec.gov/Archives/edgar/data/755001/000119312511022690/d10k.htm,https://www.sec.gov/Archives/edgar/data/755001/000119312512033219/0001193125-12-033219-index.html,https://www.sec.gov/Archives/edgar/data/755001/000119312513029141/0001193125-13-029141-index.html,https://www.sec.gov/Archives/edgar/data/755001/000119312514025354/d641774d10k.htm,https://www.sec.gov/Archives/edgar/data/755001/000119312515023683/d837958d10k.htm,https://www.sec.gov/Archives/edgar/data/755001/000119312516440721/0001193125-16-440721-index.html,https://www.sec.gov/Archives/edgar/data/755001/000119312517028224/0001193125-17-028224-index.html,https://www.sec.gov/Archives/edgar/data/755001/000119312518028247/0001193125-18-028247-index.html,https://www.sec.gov/Archives/edgar/data/755001/000119312519023132/0001193125-19-023132-index.html,https://www.sec.gov/Archives/edgar/data/755001/000119312520019075/0001193125-20-019075-index.html,https://www.sec.gov/Archives/edgar/data/755001/000119312521025264/0001193125-21-025264-index.htm,https://www.sec.gov/Archives/edgar/data/755001/000119312522023936/0001193125-22-023936-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
