,https://roic.ai/company/NBIX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,691000,- -,- -,489000,400000,629000,1928000,2838000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19523000,30530000,31963000,32800000,25800000
14,Depreciation and Amortization,1000000,1300000,1700000,2100000,2198000,2651000,3098000,3692000,7081000,10094000,10566000,9404000,7610000,3179000,1436000,694000,657000,671000,827000,1009000,1453000,2400000,4024000,7452000,8600000,10900000
15,EBITDA,7100000,6600000,-18300000,-14700000,-26308000,-34139000,-91438000,-26406000,-38613000,-12097000,-96639000,-197895000,-81003000,-47859000,-6532000,38265000,5682000,-45419000,-63584000,-87920000,-139637000,-120619000,56395000,85957000,148100000,138100000
16,EBITDA ratio,0.3698,0.2529,-1.1438,-0.8750,-1.8034,-0.8278,-5.0672,-0.1899,-0.4533,-0.0976,-2.4631,-161.6789,-20.3781,-16.2069,-0.1950,0.4943,0.1069,-15.5598,-Infinity,-4.4474,-9.3091,-0.7463,0.1250,0.1091,0.1416,0.1218
17,Operating Income,2900000,500000,-12400000,-19900000,-35601000,-43882000,-103615000,-58787000,-52334000,-25072000,-113317000,-212242000,-87298000,-53670000,-13722000,33922000,1448000,-49678000,-64411000,-94202000,-147372000,-131361000,36895000,72283000,163000000,102500000
18,Operating Income ratio,0.1510,0.0192,-0.7750,-1.1845,-2.4404,-1.0640,-5.7420,-0.4227,-0.6144,-0.2024,-2.8882,-173.4003,-21.9618,-18.1747,-0.4096,0.4382,0.0272,-17.0188,-Infinity,-4.7651,-9.8248,-0.8127,0.0818,0.0917,0.1558,0.0904
19,Total Other Income Expenses (Gains),3200000,4800000,-7400000,200000,7095000,7092000,9079000,28689000,6640000,2881000,6112000,4943000,-1315000,-4043000,5754000,3649000,3577000,3588000,3869000,5273000,6282000,-11181000,-15054000,-25741000,-56300000,-1100000
20,Income Before Tax,6100000,5300000,- -,- -,-28506000,-36790000,-94536000,-30098000,-45694000,-22191000,-107205000,-207299000,-88613000,- -,-7968000,37571000,5025000,-46090000,-60542000,-88929000,-141090000,-142542000,21841000,46542000,106700000,101400000
21,Income Before Tax Ratio,0.3177,0.2031,- -,- -,-1.9541,-0.8921,-5.2389,-0.2164,-0.5365,-0.1791,-2.7325,-169.3619,-22.2926,- -,-0.2378,0.4853,0.0946,-15.7897,-Infinity,-4.4984,-9.4060,-0.8819,0.0484,0.0591,0.1020,0.0895
22,Income Tax expense (Gain),200000,200000,- -,- -,302000,120000,- -,158000,79000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,730000,9530000,-300600000,11800000
23,Net Income,5900000,5100000,-20000000,-16800000,-28808000,-36910000,-94536000,-30256000,-45773000,-22191000,-107205000,-207299000,-88613000,-51038000,-7968000,37571000,5025000,-46090000,-60542000,-88929000,-141090000,-142542000,21111000,37012000,407300000,89600000
24,Net Income ratio,0.3073,0.1954,-1.2500,-1.0000,-1.9748,-0.8950,-5.2389,-0.2175,-0.5374,-0.1791,-2.7325,-169.3619,-22.2926,-17.2834,-0.2378,0.4853,0.0946,-15.7897,-Infinity,-4.4984,-9.4060,-0.8819,0.0468,0.0470,0.3894,0.0790
25,EPS,0.35,0.30,-1.10,-0.88,-1.30,-1.42,-3.10,-0.93,-1.26,-0.60,-2.84,-5.45,-2.30,-1.30,-0.15,0.68,0.08,-0.69,-0.81,-1.05,-1.63,-1.62,0.23,0.40,4.38,0.94
26,EPS Diluted,0.35,0.28,-1.10,-0.88,-1.30,-1.42,-3.10,-0.93,-1.26,-0.60,-2.84,-5.45,-2.30,-1.30,-0.15,0.67,0.08,-0.69,-0.81,-1.05,-1.63,-1.62,0.22,0.39,4.16,0.91
27,Weighted Average Shares Outstanding,16589415,16929925,18141000,19072000,22124000,26028000,30488000,32374000,36201000,36763000,37722000,38009000,38449000,39137000,52820000,55176000,65619000,66989000,74577000,84496000,86713000,88089000,90235000,91600000,93100000,94700000
28,Weighted Average Shares Outstanding Diluted,16589415,18184458,18141000,19072000,22124000,26028000,30488000,32374000,36201000,37992000,37722000,38009000,38449000,39137000,52820000,56347000,66946000,66989000,74577000,84496000,86713000,88089000,95386000,95700000,97800000,97700000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/914475/000093639203000214/a88112ore10vk.htm,https://www.sec.gov/Archives/edgar/data/914475/000093639204000211/a97209e10vk.htm,https://www.sec.gov/Archives/edgar/data/914475/000093639205000031/a05306e10vk.htm,https://www.sec.gov/Archives/edgar/data/914475/000093639206000084/a16665e10vk.htm,https://www.sec.gov/Archives/edgar/data/914475/000093639207000102/a26988e10vk.htm,https://www.sec.gov/Archives/edgar/data/914475/000093639208000107/a37667e10vk.htm,https://www.sec.gov/Archives/edgar/data/914475/000093639209000039/0000936392-09-000039-index.html,https://www.sec.gov/Archives/edgar/data/914475/000119312510023586/0001193125-10-023586-index.html,https://www.sec.gov/Archives/edgar/data/914475/000119312511030707/d10k.htm,https://www.sec.gov/Archives/edgar/data/914475/000119312512048679/0001193125-12-048679-index.html,https://www.sec.gov/Archives/edgar/data/914475/000119312513045687/0001193125-13-045687-index.html,https://www.sec.gov/Archives/edgar/data/914475/000119312514045619/d647198d10k.htm,https://www.sec.gov/Archives/edgar/data/914475/000119312515039176/d833755d10k.htm,https://www.sec.gov/Archives/edgar/data/914475/000119312516459862/0001193125-16-459862-index.html,https://www.sec.gov/Archives/edgar/data/914475/000119312517043838/0001193125-17-043838-index.html,https://www.sec.gov/Archives/edgar/data/914475/000119312518042794/0001193125-18-042794-index.html,https://www.sec.gov/Archives/edgar/data/914475/000156459019002328/0001564590-19-002328-index.html,https://www.sec.gov/Archives/edgar/data/914475/000156459020003773/0001564590-20-003773-index.html,https://www.sec.gov/Archives/edgar/data/914475/000091447521000020/0000914475-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/914475/000091447522000013/0000914475-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11300000,15800000,11700000,21300000,21078000,163888000,44313000,105854000,61027000,49948000,80981000,99664000,68467000,37329000,54051000,50107000,63754000,44789000,31014000,74195000,83267000,254712000,141714000,112279000,187100000,340800000
32,Short-Term Investments,- -,- -,- -,69800000,143592000,156094000,200397000,347314000,240102000,223120000,101623000,79721000,12006000,16135000,72814000,78996000,109259000,100950000,162795000,304996000,224083000,261217000,509199000,558245000,613900000,370500000
33,Cash and Short-Term Investments,11300000,15800000,11700000,91100000,164670000,319982000,244710000,453168000,301129000,273068000,182604000,179385000,80473000,53464000,126865000,129103000,173013000,145739000,193809000,379191000,307350000,515929000,650913000,670524000,801000000,711300000
34,Net Receivables,1300000,200000,1400000,1500000,5974000,9949000,247000,13659000,8213000,858000,7191000,27000,39000,- -,4470000,1903000,14089000,23000,- -,- -,- -,31127000,56240000,126575000,157100000,185500000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10864000,17288000,28000000,30500000
36,Other Current Assets,59500000,60400000,52500000,2200000,1761000,1584000,3137000,4982000,4473000,5384000,3863000,3536000,911000,1923000,1716000,1470000,2162000,2700000,4394000,4883000,3092000,7863000,19760000,16647000,30100000,45500000
37,Total Current Assets,72100000,76400000,65600000,94800000,172405000,331515000,248094000,471809000,313815000,279310000,193658000,182948000,81423000,55387000,133051000,132476000,189264000,148462000,198203000,384074000,310442000,554919000,737777000,831034000,1016200000,972800000
38,PP&E,3500000,8800000,10900000,11200000,11300000,12088000,14102000,56236000,102166000,99307000,91378000,82598000,6191000,2695000,1532000,1586000,1900000,1771000,2507000,3432000,6271000,10811000,33869000,116278000,127400000,155800000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,1400000,1200000,1000000,600000,362000,188000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,1400000,1200000,1000000,600000,362000,188000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6411000,3739000,- -,480000,- -,37492000,82488000,43490000,247361000,216028000,355522000,265300000,624400000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319400000,315100000
44,Other Non-Current Assets,1000000,5500000,3000000,2600000,1895000,2559000,4343000,26910000,103236000,104506000,104641000,11108000,30568000,6325000,6102000,4306000,4335000,4443000,4831000,4791000,4883000,4500000,5477000,3206000,6400000,4400000
45,Total Non-Current Assets,5900000,15500000,14900000,14400000,13557000,14835000,18445000,83146000,205402000,203813000,196019000,93706000,36759000,15431000,11373000,5892000,6715000,6214000,44830000,90711000,54644000,262672000,255374000,475006000,718500000,1099700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,78000000,91900000,80500000,109200000,185962000,346350000,266539000,554955000,519217000,483123000,389677000,276654000,118182000,70818000,144424000,138368000,195979000,154676000,243033000,474785000,365086000,817591000,993151000,1306040000,1734700000,2072500000
48,Accounts Payable,800000,1800000,2500000,2400000,1065000,1539000,1959000,1295000,5391000,3447000,3213000,3776000,1599000,2188000,810000,1111000,911000,101000,246000,2561000,5085000,5648000,13801000,46214000,39400000,51500000
49,Short-Term Debt,800000,900000,800000,1000000,1587000,2087000,2658000,3960000,6674000,5814000,4489000,1486000,- -,4289000,- -,- -,- -,- -,- -,- -,- -,- -,- -,408807000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,5382000,5699000,49666000,27674000,6537000,- -,2928000,2936000,2941000,39979000,37284000,2919000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2500000,4700000,2300000,5200000,12307000,15753000,22163000,55091000,19846000,17895000,12414000,21717000,21559000,10543000,11988000,8715000,11816000,11598000,15418000,23154000,25329000,48778000,74432000,110266000,147100000,194300000
53,Total Current Liabilities,4100000,7400000,5600000,8600000,14959000,24761000,32479000,110012000,59585000,33693000,20116000,29907000,26094000,19961000,52777000,47110000,15646000,11699000,15664000,25715000,30414000,54426000,88233000,565287000,186500000,245800000
54,Long-Term Debt,800000,700000,2200000,2100000,2283000,- -,- -,32473000,59452000,53590000,49152000,- -,- -,7241000,- -,- -,- -,- -,- -,- -,- -,369618000,388496000,86756000,412300000,440400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9663000,64208000,26924000,- -,- -,- -,10231000,10231000,10231000,10231000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,300000,600000,700000,2100000,5512000,11196000,9806000,21350000,6353000,5736000,5693000,128050000,55314000,29999000,8094000,4253000,25961000,22567000,18670000,14385000,9564000,11178000,25426000,17074000,9700000,12300000
58,Total Non-Current Liabilities,1100000,1300000,2900000,4200000,7795000,11196000,9806000,53823000,65805000,59326000,54845000,128050000,55314000,46903000,72302000,31177000,25961000,22567000,18670000,24616000,19795000,391027000,424153000,103830000,422000000,452700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,5277000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86756000,94400000,105300000
61,Total Liabilities,5200000,8700000,8500000,12800000,22754000,35957000,42285000,163835000,125390000,93019000,74961000,157957000,81408000,66864000,125079000,78287000,41607000,34266000,34334000,50331000,50209000,445453000,512386000,669117000,608500000,698500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,25000,30000,31000,35000,37000,37000,38000,38000,39000,44000,55000,55000,66000,67000,76000,86000,87000,89000,91000,92000,100000,100000
64,Retained Earnings,-10000000,-4900000,-24900000,-41700000,-70480000,-107390000,-201926000,-232182000,-277955000,-300146000,-407351000,-614650000,-703263000,-754301000,-762269000,-724698000,-719673000,-765763000,-826305000,-915234000,-1056324000,-1198866000,-1177755000,-1132700000,-725400000,-635800000
65,Other Comprehensive Income/Loss,-2000000,-3000000,-4200000,-6000000,-8046000,-8128000,-10744000,-14236000,-18514000,-2000000,-37477000,-46080000,-2000000,1000000,-36550000,-34887000,-34323000,-28332000,-28746000,-1000000,-25950000,-2000000,-2000000,1413000,1800000,-1700000
66,Other Total Stockholders Equity,84800000,91100000,101100000,144100000,241709000,425881000,436893000,637503000,690259000,692213000,759506000,779389000,741998000,757211000,818109000,819611000,908302000,914438000,1063674000,1340602000,1397064000,1572915000,1660429000,1768118000,1849700000,2011400000
67,Total Stockholders Equity,72800000,83200000,72000000,96400000,163208000,310393000,224254000,391120000,393827000,390104000,314716000,118697000,36774000,3954000,19345000,60081000,154372000,120410000,208699000,424454000,314877000,372138000,480765000,636923000,1126200000,1374000000
68,Total Liabilities And Stockholders Equity,78000000,91900000,80500000,109200000,185962000,346350000,266539000,554955000,519217000,483123000,389677000,276654000,118182000,70818000,144424000,138368000,195979000,154676000,243033000,474785000,365086000,817591000,993151000,1306040000,1734700000,2072500000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,78000000,91900000,80500000,109200000,185962000,346350000,266539000,554955000,519217000,483123000,389677000,276654000,118182000,70818000,144424000,138368000,195979000,154676000,243033000,474785000,365086000,817591000,993151000,1306040000,1734700000,2072500000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/914475/000093639203000214/a88112ore10vk.htm,https://www.sec.gov/Archives/edgar/data/914475/000093639204000211/a97209e10vk.htm,https://www.sec.gov/Archives/edgar/data/914475/000093639205000031/a05306e10vk.htm,https://www.sec.gov/Archives/edgar/data/914475/000093639206000084/a16665e10vk.htm,https://www.sec.gov/Archives/edgar/data/914475/000093639207000102/a26988e10vk.htm,https://www.sec.gov/Archives/edgar/data/914475/000093639208000107/a37667e10vk.htm,https://www.sec.gov/Archives/edgar/data/914475/000093639209000039/0000936392-09-000039-index.html,https://www.sec.gov/Archives/edgar/data/914475/000119312510023586/0001193125-10-023586-index.html,https://www.sec.gov/Archives/edgar/data/914475/000119312511030707/d10k.htm,https://www.sec.gov/Archives/edgar/data/914475/000119312512048679/0001193125-12-048679-index.html,https://www.sec.gov/Archives/edgar/data/914475/000119312513045687/0001193125-13-045687-index.html,https://www.sec.gov/Archives/edgar/data/914475/000119312514045619/d647198d10k.htm,https://www.sec.gov/Archives/edgar/data/914475/000119312515039176/d833755d10k.htm,https://www.sec.gov/Archives/edgar/data/914475/000119312516459862/0001193125-16-459862-index.html,https://www.sec.gov/Archives/edgar/data/914475/000119312517043838/0001193125-17-043838-index.html,https://www.sec.gov/Archives/edgar/data/914475/000119312518042794/0001193125-18-042794-index.html,https://www.sec.gov/Archives/edgar/data/914475/000156459019002328/0001564590-19-002328-index.html,https://www.sec.gov/Archives/edgar/data/914475/000156459020003773/0001564590-20-003773-index.html,https://www.sec.gov/Archives/edgar/data/914475/000091447521000020/0000914475-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/914475/000091447522000013/0000914475-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5900000,5100000,-20000000,-16800000,-28808000,-36910000,-94536000,-30256000,-45773000,-22191000,-107205000,-207299000,-88613000,-51038000,-7968000,37571000,5025000,-46090000,-60542000,-88929000,-141090000,-142542000,21111000,37012000,407300000,89600000
74,Depreciation and Amortization,1000000,1300000,1700000,2100000,2198000,2651000,3098000,3692000,7081000,10094000,10566000,9404000,7610000,3179000,1436000,694000,657000,671000,827000,1009000,1453000,2400000,4024000,7452000,8600000,10900000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-310700000,4300000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5539000,3133000,2918000,5479000,6819000,10382000,28392000,28464000,42522000,58068000,75262000,100000000,134200000
77,Change in Working Capital,-700000,1000000,-9000000,26200000,71246000,149308000,-91139000,146182000,-107567000,-8613000,-72075000,-20501000,-97712000,-19903000,44848000,5092000,88252000,-36855000,45776000,175820000,-78331000,220465000,149051000,241000,-37900000,16700000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2449000,-4278000,2813000,-12878000,13528000,-1671000,-489000,1791000,-31127000,-25113000,-69169000,-30500000,-28400000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1024000,-3524000,-6424000,-10700000,-2500000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,68000000,69000000,60000000,86200000,157446000,306754000,215615000,361797000,254230000,245617000,173542000,153041000,55329000,35426000,80274000,85366000,173618000,136763000,182539000,358359000,280028000,500493000,649544000,21879000,-23600000,-9200000
82,Other Non-Cash Items,500000,3600000,16600000,-21800000,-63281000,-136905000,103212000,-82490000,46271000,-10084000,69380000,159062000,104542000,9128000,8494000,-46956000,-134707000,45848000,-43583000,-154289000,83323000,-217176000,-130890000,32087000,61200000,800000
83,Cash Provided by Operating Activities,6700000,11000000,-10700000,-10300000,-18645000,-21856000,-79365000,37128000,-99988000,-30794000,-99334000,-59334000,-74173000,-53095000,49943000,-681000,-35294000,-29607000,-47140000,-37997000,-106181000,-94331000,101364000,152054000,228500000,256500000
84,CAPEX,-1600000,-6400000,-3800000,-2100000,-2440000,-3805000,-5300000,-50439000,-53147000,-7235000,-3110000,-624000,-1322000,-35000,-315000,-750000,-971000,-545000,-1612000,-1934000,-4108000,-6940000,-24812000,-14748000,-10900000,-23400000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-85200000,-113100000,-41600000,-87700000,-151582000,-175886000,-401589000,-448294000,-593722000,-382829000,-64044000,-94638000,-36986000,-16800000,-89787000,-139099000,-166313000,-145328000,-257544000,-449052000,-298776000,-583408000,-545962000,-797169000,-735500000,-804700000
87,Sales/Maturities of Investments,38900000,112300000,50000000,68600000,78348000,163054000,360868000,300490000,645049000,399971000,186910000,117130000,82132000,27615000,34839000,134259000,132520000,151281000,154133000,255123000,415826000,339088000,327825000,669691000,750500000,697900000
88,Other Investing Activites,-700000,- -,100000,- -,- -,- -,- -,11597000,20289000,-525000,525000,-1032000,604000,1277000,559000,2041000,3000,-68000,-343000,49000,-79000,390000,34000,-68847000,- -,- -
89,Cash Used for Investing Activites,-48600000,-7200000,4700000,-21200000,-75674000,-16637000,-46021000,-186646000,18469000,9382000,120281000,20836000,44428000,12057000,-54704000,-3549000,-34761000,5340000,-105366000,-195814000,112863000,-250870000,-242915000,-211073000,4100000,-130200000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-186900000,-100000
91,Common Stock Issued,47500000,700000,400000,41000000,93360000,179486000,3459000,196613000,6763000,16970000,15849000,591000,34000,9900000,21483000,286000,83702000,5302000,138731000,276992000,2390000,13865000,29530000,27313000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-700000,- -,1500000,- -,772000,1817000,2352000,14446000,29929000,-6637000,-5763000,56590000,-1486000,- -,- -,- -,- -,- -,- -,- -,- -,502781000,- -,- -,29100000,27500000
95,Cash Used/Provided by Financing Activities,46800000,700000,1900000,41000000,94132000,181303000,5811000,211059000,36692000,10333000,10086000,57181000,-1452000,9900000,21483000,286000,83702000,5302000,138731000,276992000,2390000,516646000,29530000,27313000,-157800000,27400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,9600000,-187000,142810000,-119575000,61541000,-44827000,-11079000,31033000,18683000,-31197000,-31138000,16722000,-3944000,13647000,-18965000,-13775000,43181000,9072000,171445000,-112021000,-31706000,74800000,153700000
98,Cash at the End of Period,- -,- -,- -,21300000,21078000,163888000,44313000,105854000,61027000,49948000,80981000,99664000,68467000,37329000,54051000,50107000,63754000,44789000,31014000,74195000,83267000,254712000,147191000,115485000,190300000,344000000
99,Cash at the Beginning of Period,6400000,11300000,15800000,11700000,21265000,21078000,163888000,44313000,105854000,61027000,49948000,80981000,99664000,68467000,37329000,54051000,50107000,63754000,44789000,31014000,74195000,83267000,259212000,147191000,115500000,190300000
100,Free Cash Flow,5100000,4600000,-14500000,-12400000,-21085000,-25661000,-84665000,-13311000,-153135000,-38029000,-102444000,-59958000,-75495000,-53130000,49628000,-1431000,-36265000,-30152000,-48752000,-39931000,-110289000,-101271000,76552000,137306000,217600000,233100000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/914475/000093639203000214/a88112ore10vk.htm,https://www.sec.gov/Archives/edgar/data/914475/000093639204000211/a97209e10vk.htm,https://www.sec.gov/Archives/edgar/data/914475/000093639205000031/a05306e10vk.htm,https://www.sec.gov/Archives/edgar/data/914475/000093639206000084/a16665e10vk.htm,https://www.sec.gov/Archives/edgar/data/914475/000093639207000102/a26988e10vk.htm,https://www.sec.gov/Archives/edgar/data/914475/000093639208000107/a37667e10vk.htm,https://www.sec.gov/Archives/edgar/data/914475/000093639209000039/0000936392-09-000039-index.html,https://www.sec.gov/Archives/edgar/data/914475/000119312510023586/0001193125-10-023586-index.html,https://www.sec.gov/Archives/edgar/data/914475/000119312511030707/d10k.htm,https://www.sec.gov/Archives/edgar/data/914475/000119312512048679/0001193125-12-048679-index.html,https://www.sec.gov/Archives/edgar/data/914475/000119312513045687/0001193125-13-045687-index.html,https://www.sec.gov/Archives/edgar/data/914475/000119312514045619/d647198d10k.htm,https://www.sec.gov/Archives/edgar/data/914475/000119312515039176/d833755d10k.htm,https://www.sec.gov/Archives/edgar/data/914475/000119312516459862/0001193125-16-459862-index.html,https://www.sec.gov/Archives/edgar/data/914475/000119312517043838/0001193125-17-043838-index.html,https://www.sec.gov/Archives/edgar/data/914475/000119312518042794/0001193125-18-042794-index.html,https://www.sec.gov/Archives/edgar/data/914475/000156459019002328/0001564590-19-002328-index.html,https://www.sec.gov/Archives/edgar/data/914475/000156459020003773/0001564590-20-003773-index.html,https://www.sec.gov/Archives/edgar/data/914475/000091447521000020/0000914475-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/914475/000091447522000013/0000914475-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
