,https://roic.ai/company/CHGG,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,8165000,13131000,18045000,36958000,36888000,38775000,41785000,38359000,52030000,64909000,84055000,108846000
77,Change in Working Capital,10827000,3382000,-43057000,115447000,-32062000,32629000,-29681000,130336000,257874000,300625000,337345000,-5115000
78,Accounts Receivable,-251000,-698000,-4951000,-1474000,-1709000,712000,-127000,-175000,-1538000,1829000,-400000,-5004000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,2932000,-4911000,2680000,-30000,5037000,-4236000,-728000,2649000,893000,-2395000,1119000,3241000
81,Other Working Capital,385000,3767000,-39290000,76157000,44095000,76724000,47043000,177379000,435253000,735878000,1073223000,2523000
82,Other Non-Cash Items,7192000,-8144000,60763000,-107686000,48392000,-67340000,31292000,-116601000,-242385000,-272734000,-241043000,96818000
83,Cash Provided by Operating Activities,55872000,32754000,54681000,63706000,68475000,-82000,24938000,51148000,75113000,113403000,236442000,273224000
84,CAPEX,-136241000,-76801000,-119666000,-129616000,-117897000,-40550000,-25575000,-26142000,-31223000,-42326000,-139884000,-105111000
85,Acquisitions Net,3583000,-14007000,- -,- -,-53872000,-2019000,-28075000,-14931000,-44650000,-79149000,-94796000,-7891000
86,Purchases of Investments,- -,- -,- -,-61420000,-70706000,-35610000,-7633000,-128247000,-146856000,-959911000,-1045564000,-1688384000
87,Sales/Maturities of Investments,- -,- -,- -,- -,97058000,48190000,29674000,26143000,140180000,377961000,539889000,1426904000
88,Other Investing Activites,17384000,30882000,31563000,37946000,58067000,38260000,25646000,6943000,- -,- -,7569000,8714000
89,Cash Used for Investing Activites,-115274000,-59926000,-88103000,-153090000,-87350000,8271000,-5963000,-136234000,-82549000,-703425000,-732786000,-365768000
90,Debt Repayment,- -,-42800000,-20500000,-51000000,- -,- -,- -,- -,-39227000,-97200000,-303967000,-300762000
91,Common Stock Issued,- -,- -,- -,162883000,- -,13696000,2104000,147609000,- -,- -,- -,1091466000
92,Common Stock Repurchased,- -,- -,-5190000,- -,-604000,-2263000,- -,- -,-20000000,-20000000,- -,-300000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,83053000,34050000,45535000,33335000,-1268000,-8710000,-10779000,-13395000,315645000,720709000,892594000,-23982000
95,Cash Used/Provided by Financing Activities,83053000,-8750000,19845000,145218000,-1872000,2723000,-8675000,134214000,256418000,603509000,588627000,466722000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,23651000,-35922000,-13577000,55834000,-20747000,10912000,10300000,49128000,248982000,13487000,92283000,374178000
98,Cash at the End of Period,70529000,34607000,21030000,76864000,56117000,67029000,77329000,126457000,375945000,389432000,481715000,855893000
99,Cash at the Beginning of Period,46878000,70529000,34607000,21030000,76864000,56117000,67029000,77329000,126963000,375945000,389432000,481715000
100,Free Cash Flow,-80369000,-44047000,-64985000,-65910000,-49422000,-40632000,-637000,25006000,43890000,71077000,96558000,168113000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1364954/000119312514086390/0001193125-14-086390-index.htm,https://www.sec.gov/Archives/edgar/data/1364954/000136495415000009/0001364954-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1364954/000136495416000291/0001364954-16-000291-index.htm,https://www.sec.gov/Archives/edgar/data/1364954/000136495417000031/0001364954-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1364954/000136495418000039/0001364954-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1364954/000136495419000027/0001364954-19-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1364954/000136495420000041/0001364954-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1364954/000136495421000013/0001364954-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1364954/000136495422000011/0001364954-22-000011-index.htm
102,false,,,,,,,,,,,,
