,https://roic.ai/company/NNBR,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,26854839,14458000,14556962,15042000,14804000,14804000,15021000,15247000,15259000,15343000,15973000,16728000,17004000,17125000,16749000,15895000,16268000,16620000,16949000,17044000,17630000,18983000,21181000,27016000,27572000,31678000,42030000,42199000,44011000
28,Weighted Average Shares Outstanding Diluted,26854839,14458000,14556962,15042000,14804000,14804000,15038000,15531000,15540000,15714000,16379000,17151000,17193000,17351000,16749000,15895000,16268000,16620000,16953000,17114000,17630000,18983000,21181000,27154000,27572000,31678000,42030000,42199000,44011000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/918541/000100579407000125/0001005794-07-000125-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000100579408000084/0001005794-08-000084-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000100579409000055/0001005794-09-000055-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000100579410000061/0001005794-10-000061-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000100579411000053/0001005794-11-000053-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000119312512115981/0001193125-12-115981-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000119312513110140/0001193125-13-110140-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000119312514098906/0001193125-14-098906-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000119312515093835/0001193125-15-093835-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000119312516505292/0001193125-16-505292-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000119312517085150/0001193125-17-085150-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000119312518104987/0001193125-18-104987-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000162828019003059/0001628280-19-003059-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000162828020003613/0001628280-20-003613-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000091854121000003/0000918541-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000091854122000039/0000918541-22-000039-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,4300000,- -,- -,400000,1400000,1409000,8273000,3024000,5144000,4978000,10772000,10856000,11681000,13029000,11052000,8744000,5556000,4536000,18990000,3039000,37317000,15087000,14405000,224446000,17988000,31703000,48138000,28656000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26983000,- -
33,Cash and Short-Term Investments,- -,4300000,- -,- -,400000,1400000,1409000,8273000,3024000,5144000,4978000,10772000,10856000,11681000,13029000,11052000,8744000,5556000,4536000,18990000,3039000,37317000,15087000,14405000,224446000,17988000,31703000,75121000,28656000
34,Net Receivables,8100000,11000000,16900000,15800000,12400000,11600000,18183000,29549000,24832000,28965000,40864000,51597000,48534000,63442000,65566000,53049000,52608000,63861000,67656000,53740000,59745000,98659000,126994000,139547000,151699000,134367000,137531000,93415000,71419000
35,Inventory,5300000,6300000,9800000,10400000,11900000,14400000,13122000,23742000,23418000,23402000,36278000,35629000,38096000,43538000,51821000,53173000,33275000,41882000,46023000,46150000,54530000,91469000,119836000,114851000,82617000,122615000,118722000,62517000,75027000
36,Other Current Assets,600000,- -,- -,500000,1500000,1200000,688000,2474000,4343000,3901000,6299000,10339000,8464000,7203000,7608000,7347000,3656000,4371000,5810000,8416000,8360000,15354000,18264000,11752000,18518000,21901000,15024000,-15835000,21180000
37,Total Current Assets,14000000,21600000,26700000,26700000,26200000,28600000,33402000,64038000,55617000,61412000,88419000,108337000,105950000,125864000,138024000,124621000,98283000,115670000,124025000,127296000,125674000,242799000,280181000,280555000,477280000,296871000,302980000,215218000,196282000
38,PP&E,12000000,15200000,27400000,32400000,37100000,38300000,43452000,91693000,82770000,88199000,128996000,131169000,118829000,156447000,161008000,145690000,129715000,118488000,120528000,119687000,121089000,278442000,318968000,322953000,259280000,361028000,440009000,273954000,255548000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46147000,39471000,8908000,9278000,8396000,8039000,8254000,8624000,83941000,449898000,450311000,454612000,439452000,439095000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,12779000,27865000,39805000,42166000,42893000,44457000,41648000,10131000,9279000,2098000,1506000,900000,900000,900000,900000,52827000,282169000,255981000,237702000,376248000,329260000,103065000,88718000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,12779000,27865000,39805000,42166000,42893000,44457000,41648000,56278000,48750000,11006000,10784000,9296000,8939000,9154000,9524000,136768000,732067000,706292000,692314000,815700000,768355000,103065000,88718000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34703000,38462000,40694000,39822000,20364000,21755000,26983000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2117000,322000,993000,260000,238000,1062000,6065000,2713000,2265000,742000,- -,- -,- -,- -,- -,314000
44,Other Non-Current Assets,200000,100000,100000,200000,- -,- -,735000,4212000,9943000,6230000,6109000,5906000,3228000,1995000,1974000,1730000,3610000,4863000,4907000,3141000,3402000,17736000,23106000,9892000,6307000,7607000,8885000,5742000,38239000
45,Total Non-Current Assets,12200000,15300000,27500000,32600000,37100000,38300000,56966000,123770000,132518000,136595000,177998000,181532000,163705000,216837000,212054000,159419000,144369000,132885000,135436000,138047000,136728000,469914000,1113345000,1079831000,997723000,1204699000,1239004000,409744000,382819000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,26200000,36900000,54200000,59300000,63300000,66900000,90368000,187808000,188135000,198007000,266417000,289869000,269655000,342701000,350078000,284040000,242652000,248555000,259461000,265343000,262402000,712713000,1393526000,1360386000,1475003000,1501570000,1541984000,624962000,579101000
48,Accounts Payable,4800000,3500000,8200000,4100000,3700000,4500000,4104000,16883000,15829000,22983000,32867000,45217000,41660000,52576000,51124000,39415000,38048000,55549000,48217000,37000000,40687000,71094000,69101000,75719000,52990000,65694000,57340000,37435000,36710000
49,Short-Term Debt,- -,- -,- -,2300000,1500000,- -,1239000,2454000,8141000,7037000,14725000,7160000,4892000,1075000,12100000,6916000,9405000,5714000,6503000,5801000,10477000,22160000,11714000,12751000,17283000,31280000,19160000,4885000,8778000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3557000,11808000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,3100000,1300000,5100000,2000000,2300000,3100000,5135000,16522000,13766000,10214000,15102000,22054000,18287000,21218000,21032000,17024000,21036000,22324000,18321000,15957000,18220000,44344000,52536000,50146000,38148000,48056000,62981000,60911000,28529000
53,Total Current Liabilities,7900000,4800000,13300000,8400000,7500000,7600000,10478000,35859000,37736000,40234000,62694000,74431000,64839000,74869000,84256000,63355000,68489000,83587000,73041000,58758000,69384000,137598000,133351000,138616000,108421000,145030000,139481000,103231000,74017000
54,Long-Term Debt,10000000,- -,- -,- -,- -,- -,17151000,50515000,47661000,46135000,69752000,67510000,57900000,102016000,100193000,90172000,77558000,67643000,71629000,63715000,26000000,328026000,808359000,785713000,790805000,811471000,757440000,79025000,202347000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,200000,1600000,1700000,2200000,2800000,3000000,2611000,5353000,6499000,9334000,13423000,17857000,15128000,16334000,18682000,4939000,3558000,3954000,3810000,3850000,3844000,49461000,117459000,99591000,71564000,93482000,85799000,11178000,7456000
57,Other Non-Current Liabilities,-100000,- -,- -,- -,- -,100000,- -,578000,3268000,9319000,14080000,14931000,15714000,16313000,16904000,15815000,16244000,15264000,11305000,10460000,10414000,23929000,20476000,21267000,18109000,33292000,205987000,177376000,17289000
58,Total Non-Current Liabilities,10100000,1600000,1700000,2200000,2800000,3100000,19762000,56446000,57428000,64788000,97255000,100298000,88742000,134663000,135779000,110926000,97360000,86861000,86744000,78025000,40258000,401416000,946294000,906571000,880478000,938245000,1049226000,267579000,227092000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1685000,1713000,1792000,2138000,2086000,2101000,4072000,4009000,3987000,19957000,14359000,9613000,- -,- -,73632000,59850000,- -
61,Total Liabilities,18000000,6400000,15000000,10600000,10300000,10700000,30240000,92305000,95164000,105022000,159949000,174729000,153581000,209532000,220035000,174281000,165849000,170448000,159785000,136783000,109642000,539014000,1079645000,1045187000,988899000,1083275000,1188707000,370810000,301109000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,153000,153000,154000,154000,168000,168000,172000,169000,159000,163000,163000,167000,169000,170000,176000,190000,269000,272000,275000,421000,423000,427000,430000
64,Retained Earnings,7700000,5200000,13800000,21600000,25400000,28300000,31255000,36364000,36139000,44888000,43931000,45676000,55218000,64178000,57083000,35593000,259000,6675000,27612000,51880000,65929000,69015000,55151000,55509000,211080000,-62046000,-105283000,-205875000,-219100000
65,Other Comprehensive Income/Loss,-12700000,-14700000,-17000000,-20400000,-22600000,-25400000,-30846000,-35920000,-44286000,-54891000,-71303000,-87928000,3000000,15000000,28000000,24000000,27000000,19000000,17000000,20000000,24000000,5000000,-19000000,-31000000,-18000000,-31000000,-45000000,-33732000,-31902000
66,Other Total Stockholders Equity,13200000,40000000,42400000,47500000,50200000,53300000,59566000,64649000,70032000,83128000,133672000,157224000,57684000,53822000,44801000,50003000,49381000,52265000,54895000,56510000,62655000,99462000,277429000,290386000,292749000,510920000,503137000,493332000,474757000
67,Total Stockholders Equity,8200000,30500000,39200000,48700000,53000000,56200000,60128000,65246000,62039000,73279000,106468000,115140000,116074000,133169000,130043000,109759000,76803000,78107000,99676000,128560000,152760000,173667000,313849000,315167000,486104000,418295000,353277000,254152000,224185000
68,Total Liabilities And Stockholders Equity,26200000,36900000,54200000,59300000,63300000,66900000,90368000,157551000,157203000,178301000,266417000,289869000,269655000,342701000,350078000,284040000,242652000,248555000,259461000,265343000,262402000,712681000,1393494000,1360354000,1475003000,1501570000,1541984000,624962000,525294000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,30257000,30932000,19706000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000,32000,32000,- -,- -,- -,- -,53807000
70,Total Liabilities & Equity,26200000,36900000,54200000,59300000,63300000,66900000,90368000,187808000,188135000,198007000,266417000,289869000,269655000,342701000,350078000,284040000,242652000,248555000,259461000,265343000,262402000,712713000,1393526000,1360386000,1475003000,1501570000,1541984000,624962000,579101000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/918541/000100579407000125/0001005794-07-000125-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000100579408000084/0001005794-08-000084-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000100579409000055/0001005794-09-000055-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000100579410000061/0001005794-10-000061-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000100579411000053/0001005794-11-000053-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000119312512115981/0001193125-12-115981-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000119312513110140/0001193125-13-110140-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000119312514098906/0001193125-14-098906-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000119312515093835/0001193125-15-093835-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000119312516505292/0001193125-16-505292-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000119312517085150/0001193125-17-085150-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000119312518104987/0001193125-18-104987-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000162828019003059/0001628280-19-003059-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000162828020003613/0001628280-20-003613-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000091854121000003/0000918541-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/918541/000091854122000039/0000918541-22-000039-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4900000,7700000,11500000,12500000,8500000,7700000,7759000,9987000,4662000,13664000,10178000,7102000,15012000,14435000,-1173000,-17642000,-35334000,6416000,20937000,24268000,17178000,8217000,-7431000,7942000,163052000,-264467000,-46741000,-100592000,-13225000
74,Depreciation and Amortization,1900000,2100000,2400000,3400000,4100000,4600000,6131000,9165000,13340000,11212000,13836000,16353000,16783000,17952000,23215000,28225000,23333000,19195000,17825000,17643000,16957000,22146000,44482000,62488000,52406000,71128000,91846000,81411000,46195000
75,Deferred Income Tax,- -,1400000,200000,500000,600000,100000,-369000,1185000,433000,2564000,3888000,3254000,-674000,-1384000,-1183000,-14558000,841000,418000,-968000,-7067000,3331000,-1333000,-16878000,-10430000,-23195000,-20758000,-3142000,-21697000,-4845000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,451000,337000,1253000,828000,1788000,2239000,2595000,3704000,4270000,4730000,2416000,2822000,4226000,3216000
77,Change in Working Capital,-100000,-3400000,4900000,400000,2300000,1924000,5255000,-10298000,3297000,4547000,8181000,7205000,9884000,2773000,7498000,-31472000,2289000,18901000,17554000,-12248000,48911000,41629000,-4891000,226920000,-217018000,11658000,-51512000,10441000,-163000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12521000,1481000,-15459000,-7539000,15330000,-6284000,-3283000,-806000,-18505000,-11374000,-3543000,1265000,10831000,13698000
79,Inventory,-1500000,-900000,-3600000,-600000,-1500000,-2600000,5121000,-3021000,1175000,1479000,-3711000,2059000,-5134000,3221000,-5974000,-2095000,20318000,-10253000,-7079000,238000,-7232000,-9836000,-1843000,4377000,-10278000,-16872000,1426000,5114000,-12959000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10875000,-2128000,19165000,-4790000,-11630000,2577000,9497000,-6748000,7633000,4118000,2693000,-7900000,-8606000,343000
81,Other Working Capital,16800000,13400000,18300000,18700000,21000000,22924000,28179000,17881000,21178000,25725000,33906000,41111000,50995000,53768000,61266000,29794000,32083000,50984000,68538000,56290000,105201000,146830000,141939000,368859000,151841000,163499000,111987000,122428000,122265000
82,Other Non-Cash Items,2900000,-900000,-9500000,-4100000,-1400000,-1624000,-931000,16825000,2885000,-900000,-16477000,-2342000,-10990000,-773000,-6763000,62507000,23323000,-18323000,-41221000,12974000,-56865000,-42546000,14324000,-221887000,-39793000,240962000,55935000,41760000,-15592000
83,Cash Provided by Operating Activities,9600000,6900000,9500000,12700000,14100000,12700000,17845000,26864000,24617000,31087000,19606000,31572000,30015000,33003000,21594000,27511000,14789000,27860000,14955000,37358000,31751000,30708000,33310000,69303000,-59818000,40939000,49208000,15549000,15586000
84,CAPEX,-1900000,-5200000,-14500000,-8400000,-8800000,-5800000,-2394000,-17910000,-6314000,-7591000,-11574000,-12162000,-16729000,-21128000,-19029000,-18498000,-4255000,-15249000,-20329000,-17089000,-15250000,-27602000,-38553000,-43820000,-43722000,-64036000,-54003000,-23773000,-18221000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,- -,- -,- -,- -,- -,- -,- -,-258000000,-628000000,- -,333000000,-398000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8000000,- -,- -,-4133000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198000,- -,- -,- -,- -,- -,- -,1945000,- -,- -,- -,- -,- -,- -,8000000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,200000,- -,-27489000,-61400000,-22768000,-13537000,-36609000,2542000,563000,6030000,-20000,5778000,521000,790000,-724000,366000,- -,3994000,715000,2474000,1193000,746000,6576000,747190000,-17882000
89,Cash Used for Investing Activites,-1900000,-5200000,-14500000,-8400000,-8600000,-5800000,-29883000,-79310000,-29082000,-21128000,-48183000,-9620000,-15968000,-40098000,-19049000,-12720000,-3734000,-14459000,-21053000,-14778000,-15250000,-281608000,-665838000,-41346000,282471000,-461290000,-39427000,719284000,-36103000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13783000,-15907000,-15000000,- -,-8033000,-33851000,-42768000,-406536000,-34148000,-318188000,-290687000,-108157000,-776331000,-93729000
91,Common Stock Issued,- -,24900000,- -,1700000,3000000,- -,- -,16000,428000,346000,5579000,463000,2806000,984000,292000,3862000,- -,753000,2382000,22000,4013000,1671000,175093000,2832000,- -,217312000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-2100000,- -,- -,- -,- -,- -,- -,- -,- -,-5273000,-9722000,-1014000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-5600000,-1000000,-2800000,-4700000,-4700000,-4700000,-4810000,-4878000,-4887000,-4915000,-5231000,-5357000,-5470000,-5475000,-5322000,-3848000,- -,- -,- -,- -,-3129000,-5131000,-6433000,-7584000,-7695000,-8826000,-8879000,-3626000,- -
94,Other Financing Activites,-2100000,-21300000,3600000,-1300000,-1300000,-1200000,18390000,64179000,4171000,-4009000,27234000,-12247000,-9874000,17123000,12695000,-46000,2799000,-57000,4256000,-1563000,676000,333201000,849727000,14592000,311632000,297294000,122335000,65103000,96286000
95,Cash Used/Provided by Financing Activities,-7700000,2600000,800000,-4300000,-5100000,-5900000,13580000,59317000,-288000,-8578000,27582000,-17141000,-12538000,7359000,-2057000,-14829000,-13108000,-14304000,6638000,-9574000,-32291000,286973000,611851000,-24308000,-14251000,215093000,5299000,-714854000,2557000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-1563000,-7000,-496000,739000,829000,983000,-1425000,561000,860000,-1939000,-255000,-2285000,-1560000,1448000,-161000,-1795000,-1553000,-4331000,1639000,-1200000,-1365000,-3544000,-1522000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-21000,6864000,-5249000,2120000,-166000,5794000,84000,825000,1348000,-1977000,-2308000,-3188000,-1020000,14454000,-15951000,34278000,-22230000,-682000,210041000,-206458000,13715000,16435000,-19482000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,1409000,8273000,3024000,5144000,4978000,10772000,10856000,11681000,13029000,11052000,8744000,5556000,4536000,18990000,3039000,37317000,15087000,14405000,224446000,17988000,31703000,48138000,28656000
99,Cash at the Beginning of Period,- -,- -,4300000,- -,- -,400000,1430000,1409000,8273000,3024000,5144000,4978000,10772000,10856000,11681000,13029000,11052000,8744000,5556000,4536000,18990000,3039000,37317000,15087000,14405000,224446000,17988000,31703000,48138000
100,Free Cash Flow,7700000,1700000,-5000000,4300000,5300000,6900000,15451000,8954000,18303000,23496000,8032000,19410000,13286000,11875000,2565000,9013000,10534000,12611000,-5374000,20269000,16501000,3106000,-5243000,25483000,-103540000,-23097000,-4795000,-8224000,-2635000
