,https://roic.ai/company/JBHT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35337000,27429000,28006000,28508000,25560000,23209000,27028000,25577000,25294000,28785000,40427000,54684000,47580000,45758000
14,Depreciation and Amortization,13600000,20700000,29600000,38000000,-48400000,-56300000,-69100000,-86800000,-83200000,110662000,130265000,124931000,130661000,136304000,149817000,134391000,142755000,145848000,150221000,149776000,163034000,183604000,205133000,202288000,189045000,197062000,213943000,229166000,253380000,294496000,339613000,361510000,383518000,435893000,499145000,527375000,557093000
15,EBITDA,39100000,64500000,68400000,91200000,3900000,-6700000,-20400000,-26800000,-18400000,175810000,126820000,160600000,148993000,210648000,198901000,176832000,185837000,220695000,317950000,452055000,496660000,537917000,530180000,559861000,440542000,544762000,658184000,759367000,830157000,926125000,1055393000,1082601000,1007542000,1117138000,1234724000,1240980000,1602623000
16,EBITDA ratio,0.2973,0.3165,0.2388,0.2323,0.0077,-0.0116,-0.0278,-0.0294,-0.0180,0.1456,0.0938,0.1080,0.0959,0.1144,0.0973,0.0818,0.0885,0.0982,0.1307,0.1623,0.1588,0.1616,0.1519,0.1500,0.1375,0.1436,0.1454,0.1502,0.1487,0.1502,0.1706,0.1651,0.1401,0.1297,0.1347,0.1288,0.1317
17,Operating Income,47300000,80000000,64100000,86400000,97500000,93900000,103100000,120600000,136400000,84896000,21345000,60363000,42910000,103044000,77430000,63411000,72209000,100963000,185635000,310223000,343900000,372653000,368789000,358418000,247971000,347625000,444233000,530200000,576708000,631542000,715694000,721020000,623789000,681021000,733825000,713119000,1045530000
18,Operating Income ratio,0.3597,0.3925,0.2238,0.2201,0.1914,0.1620,0.1406,0.1322,0.1336,0.0703,0.0158,0.0406,0.0276,0.0560,0.0379,0.0294,0.0344,0.0449,0.0763,0.1113,0.1099,0.1120,0.1057,0.0960,0.0774,0.0916,0.0981,0.1049,0.1033,0.1024,0.1157,0.1100,0.0868,0.0791,0.0801,0.0740,0.0859
19,Total Other Income Expenses (Gains),-21800000,-36200000,-25300000,-33200000,-45200000,-44300000,-54400000,-62400000,-71600000,-19748000,-24790000,-24694000,-24578000,-28700000,-28346000,-20970000,-29127000,-26116000,-17906000,-7944000,-10274000,-18340000,-43742000,-36182000,-23903000,-27931000,-28500000,-25559000,-23140000,-26941000,-25491000,-25223000,-28550000,-40203000,-52930000,-47094000,-45758000
20,Income Before Tax,25500000,43800000,38800000,53200000,52300000,49600000,48700000,58200000,64800000,65148000,-3445000,35669000,18332000,74344000,49084000,42441000,43082000,74847000,167729000,302279000,333626000,354313000,325047000,322236000,224068000,319694000,415733000,504641000,553568000,604601000,690203000,695797000,595239000,640818000,680895000,666025000,999772000
21,Income Before Tax Ratio,0.1939,0.2149,0.1355,0.1355,0.1027,0.0855,0.0664,0.0638,0.0635,0.0539,-0.0025,0.0240,0.0118,0.0404,0.0240,0.0196,0.0205,0.0333,0.0689,0.1085,0.1067,0.1065,0.0931,0.0863,0.0699,0.0843,0.0918,0.0998,0.0991,0.0981,0.1115,0.1061,0.0828,0.0744,0.0743,0.0691,0.0822
22,Income Tax expense (Gain),9200000,19100000,16400000,20200000,21700000,19600000,19200000,21200000,26600000,24756000,-1275000,13554000,6966000,27507000,17175000,6366000,10137000,23031000,72270000,156023000,126315000,134361000,111913000,121643000,87633000,120077000,158727000,194287000,211186000,229809000,262968000,263707000,-91024000,151233000,164575000,159990000,238966000
23,Net Income,16300000,24700000,22400000,33000000,30600000,30000000,29500000,38800000,38200000,40392000,-2170000,22115000,11366000,46837000,31909000,36075000,32945000,51816000,95459000,146256000,207311000,219952000,213134000,200593000,136435000,199617000,257006000,310354000,342382000,374792000,427235000,432090000,686263000,489585000,516320000,506035000,760806000
24,Net Income ratio,0.1240,0.1212,0.0782,0.0841,0.0601,0.0517,0.0402,0.0425,0.0374,0.0334,-0.0016,0.0149,0.0073,0.0254,0.0156,0.0167,0.0157,0.0231,0.0392,0.0525,0.0663,0.0661,0.0611,0.0538,0.0426,0.0526,0.0568,0.0614,0.0613,0.0608,0.0690,0.0659,0.0955,0.0568,0.0563,0.0525,0.0625
25,EPS,0.12,0.17,0.16,0.23,0.22,0.21,0.21,0.27,0.25,0.26,-0.01,0.14,0.08,0.33,0.23,0.26,0.23,0.34,0.60,0.91,1.32,1.48,1.59,1.59,1.07,1.64,2.20,2.64,2.92,3.22,3.75,3.88,6.25,4.50,4.86,4.79,7.20
26,EPS Diluted,0.12,0.17,0.16,0.23,0.22,0.21,0.21,0.27,0.25,0.26,-0.01,0.14,0.08,0.32,0.22,0.26,0.23,0.33,0.58,0.88,1.28,1.44,1.55,1.56,1.05,1.56,2.11,2.59,2.87,3.16,3.66,3.81,6.18,4.43,4.75,4.74,7.20
27,Weighted Average Shares Outstanding,138723404,141142857,142222222,141935484,140689655,141176471,138823529,143703704,152800000,153874286,144666667,152517241,146658065,141930303,141817778,141470588,141698925,152400000,159098333,161608840,157053788,148581000,134334000,125206000,126503000,121490168,116932448,117529307,117241438,116575163,113947780,111305021,109753008,108710825,106212908,105653644,105094000
28,Weighted Average Shares Outstanding Diluted,138723404,141142857,142222222,141935484,140689655,141176471,138823529,143703704,152800000,154212000,154392000,152517241,146658065,146365625,143411236,141470588,144813187,155837594,163177778,167149714,161961719,152317000,137639000,128533000,129462000,127767000,121922000,120022000,119404000,118445000,116728000,113361000,111049000,110428000,108599000,106766000,106312000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/728535/000091205795001864/0000912057-95-001864-index.html,https://www.sec.gov/Archives/edgar/data/728535/000091205796005725/0000912057-96-005725-index.html,https://www.sec.gov/Archives/edgar/data/728535/000091205797006927/0000912057-97-006927-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/728535/000091205701007504/0000912057-01-007504-index.html,https://www.sec.gov/Archives/edgar/data/728535/000110465902000654/j3125_10k405.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465903003945/j8280_10k.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465904006498/a04-3086_110k.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465905010620/a05-1778_110k.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465906015770/a06-1990_110k.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465907014908/a07-5539_110k.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465908014088/a08-2564_110k.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465909013065/0001104659-09-013065-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774910000493/0001437749-10-000493-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774911001088/jbh_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/728535/000143774912001745/0001437749-12-001745-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774913001883/0001437749-13-001883-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774914002605/jbht20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/728535/000143774915003305/jbht20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/728535/000143774916025879/0001437749-16-025879-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774917003083/0001437749-17-003083-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774918003239/0001437749-18-003239-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774919003134/0001437749-19-003134-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774920004119/0001437749-20-004119-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774921003667/0001437749-21-003667-index.htm,https://www.sec.gov/Archives/edgar/data/728535/000143774922004457/0001437749-22-004457-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,2142000,4260000,3786000,3701000,9227000,12606000,5370000,49245000,80628000,61229000,23838000,7412000,7371000,14957000,2373000,7843000,7651000,5450000,5589000,5831000,5961000,5566000,6377000,14612000,7600000,35000000,313302000,355549000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2142000,4260000,3786000,3701000,9227000,12606000,5370000,49245000,80628000,61229000,23838000,7412000,7371000,14957000,2373000,7843000,7651000,5450000,5589000,5831000,5961000,5566000,6377000,14612000,7600000,35000000,313302000,355549000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,138295000,143002000,159783000,171909000,185304000,238573000,225797000,233246000,237156000,256032000,308564000,343501000,346251000,330202000,280614000,310339000,351187000,411479000,466011000,568519000,653795000,654542000,813214000,1204266000,1326209000,1242160000,1310252000,1503379000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,16277000,6447000,6772000,6339000,6917000,7825000,7233000,8915000,9515000,8640000,9692000,11138000,13921000,15445000,18214000,17273000,17336000,20932000,23065000,26248000,27740000,23191000,18577000,20688000,21977000,21106000,23804000,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,24519000,33369000,31766000,18003000,23823000,36137000,92571000,93393000,105882000,97103000,121948000,112639000,103700000,128290000,95086000,57010000,86471000,75681000,59867000,79605000,192634000,176068000,107513000,99162000,147195000,183033000,194759000,444915000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,181233000,187078000,202107000,199952000,225271000,295141000,330971000,384799000,433181000,423004000,464042000,474690000,471243000,488894000,396287000,392465000,462645000,513542000,554532000,680203000,880130000,859367000,945681000,1338728000,1502981000,1481299000,1842117000,2303843000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,789696000,809010000,813253000,796807000,925400000,785885000,845175000,831711000,844562000,884965000,1011379000,1054059000,1283551000,1358723000,1386530000,1444671000,1479484000,1726870000,1885474000,2112204000,2482532000,2701329000,2818791000,2983331000,3445111000,3620866000,3688894000,4067655000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39764000,40087000,96326000,105367000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73700000,65100000,106500000,106800000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113464000,105187000,202826000,212167000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,22770000,20694000,25565000,25160000,20808000,46438000,55775000,43788000,40985000,39102000,16285000,20125000,15263000,15129000,10636000,19778000,19531000,26920000,24635000,26997000,34455000,75871000,64516000,29826000,38368000,165857000,185215000,419611000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,812466000,829704000,838818000,821967000,946208000,832323000,900950000,875499000,885547000,924067000,1027664000,1074184000,1298814000,1373852000,1397166000,1464449000,1499015000,1753790000,1910109000,2139201000,2516987000,2777200000,2883307000,3126621000,3588666000,3989549000,4086276000,4487266000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,993699000,1016782000,1040925000,1021919000,1171479000,1127464000,1231921000,1260298000,1318728000,1347071000,1491706000,1548874000,1770057000,1862746000,1793453000,1856914000,1961660000,2267332000,2464641000,2819404000,3397117000,3636567000,3828988000,4465349000,5091647000,5470848000,5928393000,6791109000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,48847000,90127000,83846000,138509000,147967000,180009000,158585000,163291000,117931000,158886000,180018000,162749000,170672000,189987000,196059000,191347000,192103000,251625000,266722000,305465000,325838000,340332000,384308000,598594000,709736000,602601000,587510000,769496000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,68075000,30310000,49750000,17500000,16350000,60000000,84400000,10000000,124148000,171777000,- -,- -,214000000,234000000,118500000,- -,200000000,50000000,100000000,250000000,250000000,- -,- -,- -,250706000,- -,- -,355972000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10742000,23499000,25414000,27487000,23703000,20070000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,60999000,64162000,62544000,49079000,41724000,30621000,82289000,92543000,83250000,94987000,128203000,113337000,94058000,100445000,93329000,77871000,117846000,136890000,136038000,156831000,195232000,192085000,188826000,323250000,391906000,433165000,497293000,600892000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,177921000,184599000,196140000,205088000,206041000,270630000,325274000,265834000,325329000,425650000,308221000,276086000,478730000,524432000,407888000,269218000,509949000,438515000,502760000,712296000,771070000,532417000,573134000,921844000,1352348000,1035766000,1084803000,1726360000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,299243000,339015000,332571000,322790000,417045000,267639000,222694000,212950000,104815000,- -,- -,124000000,182400000,679100000,515000000,565000000,454207000,699177000,585347000,458417000,683539000,1005000000,986300000,1085600000,898398000,1295740000,1305424000,945257000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,121887000,122729000,142159000,140909000,165570000,180441000,173282000,177265000,181948000,213994000,282241000,285929000,294534000,281564000,311064000,343262000,385003000,516715000,531624000,577965000,678424000,740220000,790634000,541870000,643461000,699078000,692022000,745442000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,16750000,13500000,12800000,15168000,7166000,7368000,82668000,145932000,116149000,4291000,40294000,45834000,54656000,34453000,30490000,35581000,39480000,45382000,53050000,58274000,59561000,58578000,64859000,76710000,96056000,173241000,245961000,256234000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,437880000,475244000,487530000,478867000,589781000,455448000,478644000,536147000,402912000,218285000,322535000,455763000,531590000,995117000,856554000,943843000,878690000,1261274000,1170021000,1094656000,1421524000,1803798000,1841793000,1704180000,1637915000,2168059000,2243407000,1946933000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141290000,66844000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,615801000,659843000,683670000,683955000,795822000,726078000,803918000,801981000,728241000,643935000,630756000,731849000,1010320000,1519549000,1264442000,1213061000,1388639000,1699789000,1672781000,1806952000,2192594000,2336215000,2414927000,2626024000,2990263000,3203825000,3328210000,3673293000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,390000,390000,390000,390000,390000,390000,390000,390000,418000,418000,418000,1671000,1671000,1671000,1671000,1671000,1671000,1671000,1671000,1671000,1671000,1671000,1671000,1671000,1671000,1671000,1671000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,277718000,267823000,282364000,286409000,326145000,350928000,385221000,407987000,459803000,555262000,694230000,863586000,1035804000,1192628000,1343077000,1423820000,1563527000,1758290000,1985213000,2274784000,2555972000,2885843000,3218943000,3803844000,4188435000,4592938000,4984739000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-299539000,-375798000,-404992000,-420671000,-492633000,-453509000,-489282000,-432258000,- -,-460556000,-438644000,-537502000,-148000,-993000,-1186000,- -,-858852000,-931273000,-1019232000,-1147610000,-1237225000,-1318122000,-1440124000,-1687133000,-1884132000,-2019940000,-2219816000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,399329000,464524000,479493000,471836000,541755000,503577000,531674000,482198000,130266000,608012000,604946000,489270000,-277590000,-850109000,-814551000,-781638000,-133325000,-261145000,-175792000,-116393000,-115895000,-269040000,-366429000,-279057000,-204590000,-307640000,-166456000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,377898000,356939000,357255000,337964000,375657000,401386000,428003000,458317000,590487000,703136000,860950000,817025000,759737000,343197000,529011000,643853000,573021000,567543000,791860000,1012452000,1204523000,1300352000,1414061000,1839325000,2101384000,2267029000,2600138000,3117816000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,993699000,1016782000,1040925000,1021919000,1171479000,1127464000,1231921000,1260298000,1318728000,1347071000,1491706000,1548874000,1770057000,1862746000,1793453000,1856914000,1961660000,2267332000,2464641000,2819404000,3397117000,3636567000,3828988000,4465349000,5091647000,5470854000,5928348000,6791109000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000,45000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,993699000,1016782000,1040925000,1021919000,1171479000,1127464000,1231921000,1260298000,1318728000,1347071000,1491706000,1548874000,1770057000,1862746000,1793453000,1856914000,1961660000,2267332000,2464641000,2819404000,3397117000,3636567000,3828988000,4465349000,5091647000,5470848000,5928393000,6791109000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/728535/000091205795001864/0000912057-95-001864-index.html,https://www.sec.gov/Archives/edgar/data/728535/000091205796005725/0000912057-96-005725-index.html,https://www.sec.gov/Archives/edgar/data/728535/000091205797006927/0000912057-97-006927-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/728535/000091205701007504/0000912057-01-007504-index.html,https://www.sec.gov/Archives/edgar/data/728535/000110465902000654/j3125_10k405.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465903003945/j8280_10k.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465904006498/a04-3086_110k.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465905010620/a05-1778_110k.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465906015770/a06-1990_110k.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465907014908/a07-5539_110k.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465908014088/a08-2564_110k.htm,https://www.sec.gov/Archives/edgar/data/728535/000110465909013065/0001104659-09-013065-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774910000493/0001437749-10-000493-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774911001088/jbh_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/728535/000143774912001745/0001437749-12-001745-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774913001883/0001437749-13-001883-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774914002605/jbht20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/728535/000143774915003305/jbht20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/728535/000143774916025879/0001437749-16-025879-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774917003083/0001437749-17-003083-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774918003239/0001437749-18-003239-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774919003134/0001437749-19-003134-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774920004119/0001437749-20-004119-index.html,https://www.sec.gov/Archives/edgar/data/728535/000143774921003667/0001437749-21-003667-index.htm,https://www.sec.gov/Archives/edgar/data/728535/000143774922004457/0001437749-22-004457-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,30600000,30000000,29500000,38800000,38200000,40392000,-2170000,22115000,11366000,46837000,31909000,36075000,32945000,51816000,95459000,146256000,207311000,219952000,213134000,200593000,136435000,199617000,257006000,310354000,342382000,374792000,427235000,432090000,686263000,489585000,516320000,506035000,760806000
74,Depreciation and Amortization,- -,- -,- -,- -,-48400000,-56300000,-69100000,-86800000,-83200000,110662000,130265000,124931000,130661000,136304000,149817000,134391000,142755000,145848000,150221000,149776000,163034000,183604000,205133000,202288000,189045000,197062000,213943000,229166000,253380000,294496000,339613000,361510000,383518000,435893000,499145000,527375000,557093000
75,Deferred Income Tax,- -,- -,- -,- -,11500000,9700000,9900000,16600000,17400000,14598000,842000,19430000,-1250000,24661000,14871000,5843000,251000,12275000,44803000,70162000,5761000,4915000,3499000,19513000,32620000,40101000,117711000,20795000,48076000,79343000,80427000,50414000,-248764000,101591000,55617000,-7056000,53420000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13773000,17566000,21397000,26841000,29715000,32354000,35333000,37228000,40625000,38291000,47369000,53324000,60698000,61505000
77,Change in Working Capital,- -,- -,- -,- -,-11700000,- -,- -,- -,- -,3312000,-833000,3488000,-11103000,24366000,5281000,-18814000,113268000,-11113000,-110498000,158467000,42783000,-206091000,-28051000,23937000,134848000,-170551000,122331000,-23255000,-83865000,141153000,217890000,45597000,44337000,-266251000,294900000,311781000,-179831000
