,https://roic.ai/company/FR,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,74577000,108395000,277354000,279204000,297500000,316151000,202716000,220786000,244974000,299329000,363896000,409739000,245654000,185051000,138106000,142242000,146000000,134183000,135315000,139176000,143985000,144443000,144208000,149798000,162486000,165563000
11,COGS and Expenses,-24500000,-61400000,74577000,108395000,277354000,279204000,297500000,316151000,202716000,220786000,244974000,299329000,363896000,409739000,510156000,361590000,233338000,250832000,251126000,241573000,249814000,253804000,256309000,257937000,261062000,266383000,281681000,296863000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3690000,3084000,4364000,3922000,2874000,2354000,2110000,61000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111559000,115421000,106102000,100127000,83506000,73558000,72178000,67424000,59430000,57199000,50775000,50273000,51293000,44103000
14,Depreciation and Amortization,12700000,26700000,28049000,39639000,65639000,68480000,70543000,81409000,82820000,91748000,105304000,133066000,162312000,176140000,185380000,164887000,145199000,132321000,135171000,124903000,123675000,121314000,123917000,123330000,121602000,127113000,137764000,139057000
15,EBITDA,22200000,39000000,63713000,91585000,141360000,193228000,188407000,203773000,202469000,205521000,208051000,208137000,265474000,320620000,325863000,260886000,51443000,225453000,222881000,238555000,245201000,262657000,305668000,383178000,335524000,419567000,387454000,459036000
16,EBITDA ratio,0.4764,0.3662,0.4549,0.4103,0.4042,0.5164,0.4880,0.5300,0.5842,0.6020,0.6507,0.5669,0.6703,0.7372,0.6192,0.6333,0.1783,0.7093,0.6810,0.7268,0.7116,0.7181,0.8086,0.9666,0.8306,0.9849,0.8648,0.9638
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,4300000,5000000,5300000,- -,- -,- -,16476000,-1466000,-94545000,-121534000,-125305000,-120991000,29847000,-91878000,-148523000,-100423000,-93164000,-82061000,-74781000,-35191000,5062000,71029000,24626000,71451000,32030000,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19787000,-53734000,-93165000,-95803000,45985000,-41510000,-93320000,-33420000,-17017000,4592000,20004000,76767000,126773000,209494000,167518000,231052000,198377000,282211000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0619,-0.1464,-0.2352,-0.2203,0.0874,-0.1008,-0.3234,-0.1051,-0.0520,0.0140,0.0581,0.2099,0.3354,0.5285,0.4147,0.5424,0.4428,0.5925
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7859000,-12033000,-8920000,-10571000,-12259000,-25155000,2963000,450000,5522000,-213000,238000,117000,1089000,1193000,-92000,3406000,2408000,4879000
23,Net Income,9500000,12300000,35664000,51946000,75721000,124748000,117864000,122364000,119649000,113773000,110606000,87104000,112082000,155051000,41183000,5733000,-202821000,-7445000,-1318000,40307000,49110000,73802000,121232000,201456000,163239000,238775000,195989000,270997000
24,Net Income ratio,0.2039,0.1155,0.2546,0.2327,0.2165,0.3334,0.3053,0.3183,0.3452,0.3333,0.3459,0.2373,0.2830,0.3565,0.0783,0.0139,-0.7029,-0.0234,-0.0040,0.1228,0.1425,0.2018,0.3207,0.5082,0.4041,0.5605,0.4374,0.5690
25,EPS,0.51,0.63,1.28,1.27,1.20,2.42,2.20,2.35,2.45,2.43,2.17,1.80,2.04,2.99,0.50,-0.28,-3.53,-0.34,-0.24,0.24,0.42,0.67,1.05,1.70,1.31,1.89,1.53,2.09
26,EPS Diluted,0.51,0.63,1.28,1.26,1.20,2.41,2.18,2.34,2.44,2.42,2.16,1.80,2.04,2.99,0.50,-0.28,-3.53,-0.34,-0.24,0.24,0.42,0.66,1.05,1.69,1.31,1.88,1.53,2.09
27,Weighted Average Shares Outstanding,18627451,18730159,24800781,31566929,37592500,37976860,38645455,39303404,39272245,38517284,40557000,42431000,44012000,44086000,43193000,48695000,62953000,80616000,91468000,106995000,109922000,110352000,115030000,118272000,123804000,126392000,127711000,129688000
28,Weighted Average Shares Outstanding Diluted,18627451,18730159,24800781,31817460,37592500,38134440,39000000,39471368,39433197,38676446,40888000,42431000,44012000,44086000,43193000,48695000,62953000,80616000,91468000,106995000,110325000,110781000,115370000,118787000,124191000,126691000,127904000,129775000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/921825/0000950137-98-001115-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/921825/000095013705003955/0000950137-05-003955-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000095013706003167/0000950137-06-003167-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000095013707003121/0000950137-07-003121-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000095013708002703/0000950137-08-002703-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000095013709001437/0000950137-09-001437-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000095012310020117/0000950123-10-020117-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000095012311017925/0000950123-11-017925-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000119312512089719/0001193125-12-089719-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000119312513086804/0001193125-13-086804-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000092182514000008/0000921825-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000092182515000011/0000921825-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000092182516000037/0000921825-16-000037-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000092182517000002/0000921825-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000092182518000003/0000921825-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000092182519000003/0000921825-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000092182520000011/0000921825-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000092182521000006/0000921825-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000092182522000011/0000921825-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,7646000,13222000,21823000,2609000,7731000,- -,- -,821000,4924000,8237000,16135000,5757000,3182000,182943000,25963000,10153000,4938000,7577000,9500000,3987000,9859000,21146000,43102000,21120000,162090000,58591000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,7646000,13222000,21823000,2609000,7731000,- -,- -,821000,4924000,8237000,16135000,5757000,3182000,182943000,25963000,10153000,4938000,7577000,9500000,3987000,9859000,21146000,43102000,21120000,162090000,58591000
34,Net Receivables,- -,- -,12957000,16424000,24501000,27061000,24583000,27398000,24855000,22906000,25300000,33807000,28839000,42330000,10414000,2243000,3064000,3062000,59159000,62122000,65486000,67947000,72139000,75127000,76264000,86232000,90281000,103831000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6765000,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18314000,-24910000,-20825000,-32665000,109000,102000,117000,- -,102937000,114205000,66573000,95196000,90990000,108482000,108461000,314429000,172551000,156236000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11910000,17134000,24149000,15422000,13705000,185288000,29144000,13215000,173799000,183904000,141559000,167130000,172988000,204755000,227827000,421781000,424922000,318658000
38,PP&E,620300000,688800000,959322000,1873316000,2407147000,2386136000,2457531000,2468857000,2395821000,2391548000,2530881000,2867035000,2870271000,2854162000,2883606000,2724869000,2109133000,2425026000,- -,- -,- -,- -,- -,- -,- -,24877000,25205000,24927000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78537000,86265000,87019000,90342000,60160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78537000,86265000,87019000,90342000,60160000,39718000,38037000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,12545000,13186000,5489000,44241000,55527000,57543000,16299000,46093000,2451000,1674000,1012000,907000,71000,- -,- -,- -,23326000,18208000,45697000,36049000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2911276000,-2925798000,-2911705000,219924000,188176000,569608000,188705000,2434031000,2412699000,2440365000,2550921000,2620275000,2736307000,2891538000,3053962000,3296114000,3799464000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78537000,86265000,87019000,3210171000,3019298000,2720910000,2653442000,2435043000,2413606000,2440436000,2550921000,2620275000,2736307000,2914864000,3097047000,3367016000,3860440000
46,Other Assets,691100000,753900000,1022600000,2272163000,2554462000,2526963000,2618493000,2621400000,2629973000,2648023000,2701283000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,691100000,753900000,1022600000,2272163000,2554462000,2526963000,2618493000,2621400000,2629973000,2648023000,2713193000,95671000,110414000,102441000,3223876000,3204586000,2750054000,2666657000,2608842000,2597510000,2581995000,2718051000,2793263000,2941062000,3142691000,3518828000,3791938000,4179098000
48,Accounts Payable,- -,- -,414856000,580971000,316250000,277897000,365911000,340990000,132796000,122902000,129634000,167869000,76479000,108997000,128828000,80684000,- -,- -,81099000,75305000,79733000,93699000,84412000,86532000,78665000,114637000,120292000,153096000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,-331256000,-342971000,-8450000,42203000,-27211000,-33690000,172704000,182198000,163166000,201131000,290221000,278403000,70781000,51323000,67326000,71470000,- -,10289000,11949000,14812000,23434000,27016000,28845000,30567000,33703000,37178000
53,Total Current Liabilities,- -,- -,83600000,238000000,307800000,320100000,338700000,307300000,305500000,305100000,292800000,369000000,366700000,387400000,199609000,132007000,67326000,71470000,81099000,85594000,91682000,108511000,107846000,113548000,107510000,145204000,153995000,190274000
54,Long-Term Debt,300000000,351700000,9919000,648994000,948595000,948688000,948781000,1048491000,1382160000,1408052000,1515024000,1756393000,1756732000,1873120000,2036978000,1998332000,1742782000,1479483000,1335766000,1296806000,1349846000,1442411000,1347092000,1296997000,1297783000,1483565000,1617467000,1632612000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30802000,30265000,36914000,40153000,43300000,44285000,47927000,57534000,62092000,98588000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,396481000,530606000,243305000,198912000,272619000,270009000,59940000,45748000,59876000,57307000,77968000,73580000,541000,- -,47802000,43109000,15522000,13626000,12726000,11841000,10400000,10355000,9560000,34262000,11064000,9252000
58,Total Non-Current Liabilities,300000000,351700000,406400000,1179600000,1191900000,1147600000,1221400000,1318500000,1442100000,1453800000,1574900000,1813700000,1834700000,1946700000,2037519000,1998332000,1790584000,1522592000,1382090000,1340697000,1399486000,1494405000,1400792000,1351637000,1355270000,1575361000,1690623000,1740452000
59,Other Liabilities,674900000,778700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22369000,22826000,22592000
61,Total Liabilities,374900000,427000000,447178000,1266079000,1310518000,1276763000,1373288000,1447361000,1575586000,1591732000,1710766000,2020361000,2048873000,2183755000,2237128000,2130339000,1857910000,1594062000,1463189000,1426291000,1491168000,1602916000,1508638000,1465185000,1462780000,1720565000,1844618000,1930726000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,1000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,299000,364000,379000,382000,392000,403000,411000,424000,454000,470000,475000,480000,490000,662000,732000,911000,1031000,1143000,1149000,1111000,1172000,1199000,1263000,1270000,1290000,1317000
64,Retained Earnings,-9000000,-33100000,-51764000,-76996000,-114205000,-114451000,-126962000,-143958000,-158251000,-172892000,-203417000,-248686000,-284955000,-281587000,-366962000,-384013000,-606511000,-633854000,-657567000,-669896000,-670650000,-674759000,-641859000,-541847000,-490807000,-370835000,-306294000,-178293000
65,Other Comprehensive Income/Loss,- -,- -,-91457000,-121030000,-175886000,-211456000,-219701000,-276820000,-10559000,-10110000,-3700000,-5521000,-10264000,-9630000,-19668000,-18408000,-15339000,-11712000,-6557000,-3265000,-13867000,-9667000,-4643000,1338000,3502000,-6883000,-16953000,-4238000
66,Other Total Stockholders Equity,325200000,360000000,718344000,1203746000,1533656000,1575725000,1591476000,1594414000,1050724000,1071750000,1052157000,1297299000,1317723000,1214656000,1250340000,1411200000,1467996000,1671331000,1766472000,1798868000,1732318000,1756415000,1886771000,1967110000,2131556000,2140847000,2224691000,- -
67,Total Stockholders Equity,316200000,326900000,575422000,1006084000,1243944000,1250200000,1245205000,1174039000,882326000,889173000,845494000,1043562000,1022979000,923919000,864200000,1009441000,846878000,1026676000,1103379000,1126850000,1048950000,1073100000,1241441000,1427800000,1645514000,1764399000,1902734000,2194812000
68,Total Liabilities And Stockholders Equity,691100000,753900000,1022600000,2272163000,2554462000,2526963000,2618493000,2621400000,2457912000,2480905000,2556260000,3063923000,3071852000,3107674000,3101328000,3139780000,2704788000,2620738000,2566568000,2553141000,2540118000,2676016000,2750079000,2892985000,3108294000,3484964000,3747352000,4125538000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,172061000,167118000,156933000,-2968252000,-2961438000,-3005233000,122548000,64806000,45266000,45919000,42274000,44369000,41877000,42035000,43184000,48077000,34397000,33864000,44586000,53560000
70,Total Liabilities & Equity,691100000,753900000,1022600000,2272163000,2554462000,2526963000,2618493000,2621400000,2629973000,2648023000,2713193000,95671000,110414000,102441000,3223876000,3204586000,2750054000,2666657000,2608842000,2597510000,2581995000,2718051000,2793263000,2941062000,3142691000,3518828000,3791938000,4179098000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/921825/0000950137-98-001115-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/921825/000095013705003955/0000950137-05-003955-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000095013706003167/0000950137-06-003167-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000095013707003121/0000950137-07-003121-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000095013708002703/0000950137-08-002703-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000095013709001437/0000950137-09-001437-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000095012310020117/0000950123-10-020117-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000095012311017925/0000950123-11-017925-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000119312512089719/0001193125-12-089719-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000119312513086804/0001193125-13-086804-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000092182514000008/0000921825-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000092182515000011/0000921825-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000092182516000037/0000921825-16-000037-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000092182517000002/0000921825-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000092182518000003/0000921825-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000092182519000003/0000921825-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000092182520000011/0000921825-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000092182521000006/0000921825-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/921825/000092182522000011/0000921825-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,9500000,12300000,35664000,51946000,75721000,124748000,117864000,122364000,119649000,113773000,110606000,87104000,112082000,155051000,41183000,5733000,-202821000,-7445000,-1318000,40307000,49110000,73802000,121232000,201456000,163239000,238775000,195989000,270997000
74,Depreciation and Amortization,12700000,26700000,28049000,39639000,65639000,68480000,70543000,81409000,82820000,91748000,105304000,133066000,162312000,176140000,185380000,164887000,145199000,132321000,135171000,124903000,123675000,121314000,123917000,123330000,121602000,127113000,137764000,139057000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,1000000,- -,-83600000,-154400000,-69800000,-12300000,-18600000,31400000,1800000,400000,24210000,-70976000,9315000,-29427000,186074000,239185000,-91463000,-20073000,150955000,5610000,-48433000,8742000,6523000,26065000,29110000,156260000,-5650000,13609000
78,Accounts Receivable,-7500000,-6800000,-5600000,-25100000,-31300000,-12000000,-24776000,-23937000,-15648000,-24235000,-52801000,-49071000,-26678000,-29856000,-12934000,51641000,-1580000,-2933000,266000,-7708000,-5297000,-8867000,-5637000,-10809000,-6354000,-11436000,4512000,-337000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,8000000,1000000,2100000,19600000,33400000,5000000,4811000,-6070000,-3830000,-6454000,-9210000,24407000,6020000,18408000,-216000,- -,-9411000,-5684000,10791000,-5679000,452000,5673000,-5655000,-465000,3090000,22095000,-2671000,13946000
81,Other Working Capital,- -,- -,-83600000,-238000000,-307800000,-320100000,-338700000,-307300000,-305500000,-305100000,-280890000,-351866000,-342551000,-371978000,-185904000,53281000,-38182000,-58255000,92700000,98310000,49877000,58619000,65142000,91207000,120317000,276577000,270927000,- -
82,Other Non-Cash Items,400000,-500000,82508000,165450000,77536000,-4031000,-9566000,-88082000,-72672000,-106361000,-162463000,-99844000,-224158000,-209028000,-341452000,-267626000,232274000,-17269000,-148386000,-45069000,12824000,-41709000,-78337000,-159423000,-103446000,-276528000,-87022000,-156633000
83,Cash Provided by Operating Activities,23600000,38500000,62621000,102635000,149096000,176897000,160241000,147091000,131597000,99560000,77657000,49350000,59551000,92736000,71185000,142179000,83189000,87534000,136422000,125751000,137176000,162149000,173335000,191428000,210505000,245620000,241081000,267030000
84,CAPEX,-72900000,-87900000,-257156000,-827871000,-625027000,-233434000,-494084000,-400008000,-337399000,-312356000,-485393000,-920707000,-813840000,-677461000,-583414000,- -,-89736000,-90524000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13039000,-4833000,- -,- -,- -,- -,-190000,-38000,-31000,-200000,- -,- -,-25190000,-210000,-42744000,-1550000
86,Purchases of Investments,- -,- -,-257200000,- -,-8318000,- -,-22306000,-6025000,-16561000,-59341000,-5422000,-45175000,-32773000,-36605000,- -,-75947000,-777000,-155000,- -,- -,- -,-11546000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,272172000,38435000,99904000,227340000,409113000,357402000,368410000,328983000,426209000,6837000,927162000,823010000,68722000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,3700000,1613000,-16069000,-2113000,-3946000,19977000,9870000,20141000,75347000,74598000,587391000,61637000,22798000,520966000,80724000,80590000,86900000,-42045000,-61275000,-69038000,-185328000,-110992000,-96228000,-198208000,-205176000,-208994000,-415273000
89,Cash Used for Investing Activites,-72900000,-84200000,-240571000,-805505000,-535554000,-10040000,-87300000,-38761000,34591000,32633000,9992000,-371654000,129147000,126909000,6274000,4777000,-9923000,-3779000,-42235000,-61313000,-69069000,-197074000,-110992000,-96228000,-223398000,-205386000,-251738000,-416823000
90,Debt Repayment,-5000000,-90400000,-935000,-770975000,-827547000,-200859000,-216500000,-500842000,-636464000,-277229000,-615365000,-409487000,-1192418000,-955475000,-460905000,-529267000,-429170000,-924843000,-595274000,-413449000,-493458000,-489004000,-535094000,-677684000,-547146000,-380250000,-435146000,-274450000
91,Common Stock Issued,32900000,41300000,260703000,204243000,38844000,932000,- -,18521000,15895000,14799000,86121000,55754000,188278000,567000,174000,84465000,50087000,202845000,134905000,174081000,- -,- -,124936000,74880000,145584000,- -,78718000,145760000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-200000,-11699000,-69694000,-129493000,-997000,-321438000,-5906000,-374075000,-119444000,-4847000,-739000,-298000,-1001000,-52690000,-152968000,-79667000,-2101000,-5242000,-2401000,-6020000,- -,- -,- -
93,Dividends Paid,-9600000,-38600000,-52378000,-79963000,-122406000,-141371000,-138265000,-160415000,-149307000,-146092000,-13256000,-145834000,-163106000,-172683000,-164775000,-32910000,-19677000,-15254000,-23258000,-37758000,-46622000,-55811000,-82696000,-100524000,-109649000,-117214000,-127338000,-139710000
94,Other Financing Activites,32700000,133100000,-30713000,1355141000,1306168000,155427000,298645000,596369000,733181000,278147000,780392000,831090000,1360521000,1017012000,550599000,511175000,168675000,638749000,436910000,368346000,553581000,576342000,441625000,621816000,534015000,559575000,541363000,277315000
95,Cash Used/Provided by Financing Activities,51000000,45400000,176677000,708446000,395059000,-186071000,-67819000,-116061000,-166188000,-131372000,-83546000,325617000,-180800000,-230023000,-79754000,32724000,-230383000,-99504000,-99407000,-61748000,-66166000,29426000,-56471000,-83913000,16784000,62111000,57597000,8915000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-280000,81000,137000,-61000,5000,-51000,-18000,-14000,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,51000000,45400000,-1273000,5576000,8601000,-19214000,5122000,-116061000,-166188000,-131372000,4103000,3313000,7898000,-10378000,-2575000,179761000,-156980000,-15810000,-5215000,2639000,1923000,-5513000,5872000,11287000,3891000,102345000,46940000,-140878000
98,Cash at the End of Period,- -,- -,7646000,13222000,21823000,2609000,7731000,- -,- -,821000,4924000,8237000,16135000,5757000,3182000,182943000,25963000,10153000,4938000,7577000,9500000,3987000,9859000,21146000,50373000,152718000,199658000,58780000
99,Cash at the Beginning of Period,7400000,9100000,8919000,7646000,13222000,21823000,2609000,7731000,- -,- -,821000,4924000,8237000,16135000,5757000,3182000,182943000,25963000,10153000,4938000,7577000,9500000,3987000,9859000,46482000,50373000,152718000,199658000
100,Free Cash Flow,-49300000,-49400000,-194535000,-725236000,-475931000,-56537000,-333843000,-252917000,-205802000,-212796000,-407736000,-871357000,-754289000,-584725000,-512229000,142179000,-6547000,-2990000,136422000,125751000,137176000,162149000,173335000,191428000,210505000,245620000,241081000,267030000
