,https://roic.ai/company/CAKE,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,4200000,4700000,7200000,8600000,5900000,9900000,7700000,21700000,- -,32100000,49075000,57800000,66500000,- -,87900000,81300000,52300000,42800000,81700000,- -,95700000,114356000,101276000,116523000,- -,139494000,157392000,127293000,-253365000,72373000
24,Net Income ratio,0.0808,0.0701,0.0841,0.0734,0.0368,0.0475,0.0290,0.0624,- -,0.0732,0.0753,0.0747,0.0686,- -,0.0744,0.0618,0.0326,0.0267,0.0492,- -,0.0544,0.0609,0.0512,0.0555,- -,0.0613,0.0696,0.0513,-0.1278,0.0247
25,EPS,0.12,0.10,0.14,0.16,0.10,0.18,0.11,0.32,- -,0.46,0.67,0.77,0.86,- -,1.12,1.04,0.82,0.72,1.39,- -,1.70,2.19,2.04,2.39,- -,2.91,3.35,2.90,-6.32,1.44
26,EPS Diluted,0.12,0.10,0.14,0.16,0.10,0.17,0.11,0.31,- -,0.43,0.64,0.75,0.84,- -,1.09,1.02,0.82,0.71,1.35,- -,1.64,2.10,1.96,2.30,- -,2.83,3.27,2.86,-6.32,1.42
27,Weighted Average Shares Outstanding,36309879,45932528,52205690,55230523,56071202,56841750,67446000,67705875,- -,69369750,73899000,75633000,77613000,- -,78354000,78181000,63822000,59362000,58905000,- -,56378000,52229000,49567000,48833000,- -,47981000,46930000,43949000,43869000,50212000
28,Weighted Average Shares Outstanding Diluted,36309879,45932528,52205690,55230523,56071202,57823875,69430500,71512875,- -,75287250,76737000,77772000,79395000,- -,80176000,79460000,64009000,60082000,60446000,- -,58190000,54377000,51584000,50605000,- -,49372000,48152000,44545000,43869000,51113000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/887596/000089155401501319/d70389_form10k.htm,- -,https://www.sec.gov/Archives/edgar/data/887596/000116923204001632/d58694_10k.htm,https://www.sec.gov/Archives/edgar/data/887596/000120677405000519/cf71443.htm,undefined,https://www.sec.gov/Archives/edgar/data/887596/000120677406000300/tc71790.htm,https://www.sec.gov/Archives/edgar/data/887596/000110465907013165/a07-5019_110k.htm,https://www.sec.gov/Archives/edgar/data/887596/000110465909013145/0001104659-09-013145-index.html,https://www.sec.gov/Archives/edgar/data/887596/000110465910010327/0001104659-10-010327-index.html,https://www.sec.gov/Archives/edgar/data/887596/000110465911009361/a11-2394_110k.htm,undefined,https://www.sec.gov/Archives/edgar/data/887596/000110465912014640/0001104659-12-014640-index.html,https://www.sec.gov/Archives/edgar/data/887596/000110465914014213/a13-25793_110k.htm,https://www.sec.gov/Archives/edgar/data/887596/000110465915015350/a14-26871_110k.htm,https://www.sec.gov/Archives/edgar/data/887596/000110465916100056/0001104659-16-100056-index.html,undefined,https://www.sec.gov/Archives/edgar/data/887596/000110465917013246/0001104659-17-013246-index.html,https://www.sec.gov/Archives/edgar/data/887596/000110465918013503/0001104659-18-013503-index.html,https://www.sec.gov/Archives/edgar/data/887596/000110465920032031/0001104659-20-032031-index.html,https://www.sec.gov/Archives/edgar/data/887596/000110465921027547/0001104659-21-027547-index.htm,https://www.sec.gov/Archives/edgar/data/887596/000110465922025711/0001104659-22-025711-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2800000,1100000,400000,10100000,8500000,43500000,17500000,24000000,- -,34300000,11033000,15200000,14000000,- -,31100000,44800000,80400000,73700000,81600000,- -,48200000,61751000,58018000,43854000,- -,53839000,6008000,58416000,154085000,189627000
32,Short-Term Investments,- -,- -,- -,- -,1800000,8500000,21600000,21700000,- -,16800000,11819000,34000000,31400000,- -,63200000,56300000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2800000,1100000,400000,10100000,10300000,52000000,39100000,45700000,- -,51100000,22852000,49200000,45400000,- -,94300000,101100000,81400000,73700000,81600000,- -,48200000,61751000,58018000,43854000,- -,53839000,6008000,58416000,154085000,189627000
34,Net Receivables,1000000,2500000,4700000,4900000,4700000,10300000,9000000,12100000,- -,20000000,23241000,30800000,31600000,- -,34500000,59400000,58100000,40700000,47300000,- -,48900000,70071000,94880000,105556000,- -,80224000,102399000,94928000,75787000,136677000
35,Inventory,600000,1000000,1200000,2700000,4200000,5100000,5900000,8100000,- -,9300000,17985000,20400000,22500000,- -,19100000,20800000,23100000,22200000,23000000,- -,28200000,35478000,33255000,34010000,- -,34926000,42560000,47225000,39288000,42839000
36,Other Current Assets,1400000,7500000,14700000,11900000,8200000,10600000,700000,2600000,- -,2200000,9210000,15100000,15000000,- -,24900000,21200000,27600000,35600000,34200000,- -,51100000,58603000,38233000,41976000,- -,52438000,57666000,43946000,72199000,36446000
37,Total Current Assets,5800000,12100000,21000000,29600000,27400000,78000000,54700000,68500000,- -,82600000,73288000,115500000,114500000,- -,172800000,202500000,190200000,172200000,186100000,- -,176400000,225903000,224386000,225396000,- -,221427000,208633000,244515000,341359000,405589000
38,PP&E,9800000,16300000,27600000,54400000,73000000,88100000,107700000,135500000,- -,161223000,282213000,359969000,485972000,- -,609918000,732204000,860489000,788402000,755468000,- -,758503000,795379000,828305000,892191000,- -,910134000,935045000,831599000,774137000,1982983000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78355000,- -,1451000
40,Intangible Assets,- -,- -,- -,- -,- -,1300000,1600000,1800000,- -,1900000,1940000,2000000,2300000,- -,2700000,3100000,4200000,4300000,4500000,- -,14700000,- -,20781000,21972000,- -,23054000,24065000,358852000,253160000,250250000
41,Intangible Assets,- -,- -,- -,- -,- -,1300000,1600000,1800000,- -,1900000,1940000,2000000,2300000,- -,2700000,3100000,4200000,4300000,4500000,- -,14700000,18647000,20781000,21972000,- -,23054000,24065000,437207000,253160000,251701000
42,Investments,- -,- -,- -,- -,300000,1500000,13600000,9500000,- -,34200000,- -,87900000,106100000,- -,83700000,33256000,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000000,59521000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,700000,3300000,- -,4400000,- -,35700000,52000000,- -,73400000,68200000,87000000,87000000,86900000,- -,103900000,- -,81433000,82524000,- -,82401000,57216000,3375000,- -,57634000
44,Other Non-Current Assets,11900000,5700000,24600000,7800000,7500000,11000000,7100000,3200000,- -,4077000,106401000,-16269000,-2172000,- -,-16218000,440000,711000,-5102000,-4568000,- -,-30903000,84185000,6471000,11263000,- -,14303000,48580000,1323897000,- -,100218000
45,Total Non-Current Assets,21700000,22000000,52200000,62200000,80800000,101900000,130700000,153300000,- -,205800000,390554000,469300000,644200000,- -,753500000,837200000,952400000,874600000,842300000,- -,846200000,898211000,936990000,1007950000,- -,1071892000,1124427000,2596078000,1027297000,2392536000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,27500000,34100000,73200000,91800000,108200000,179900000,185400000,221800000,- -,288400000,463842000,584800000,758700000,- -,926300000,1039700000,1142600000,1046800000,1028400000,- -,1022600000,1124114000,1161376000,1233346000,- -,1293319000,1333060000,2840593000,1368656000,2798125000
48,Accounts Payable,1800000,2600000,3800000,9300000,8900000,12100000,11300000,13100000,- -,17700000,14839000,26000000,32000000,- -,32200000,45600000,37900000,33900000,32700000,- -,36200000,35418000,57325000,47770000,- -,41564000,50984000,61946000,58432000,54086000
49,Short-Term Debt,200000,300000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128081000,132519000,131818000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,993000,- -,- -,- -,- -,15970000,- -,10120000,10919000,- -,- -,15520000,13727000,14799000,14633000,- -,22496000,16359000,22822000,24316000,22944000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,773000,- -,4725000,5368000,- -,9780000,99000,3001000,7737000,5732000,- -,14574000,97517000,15076000,82524000,- -,82401000,57216000,187978000,- -,211182000
52,Other Current Liabilities,2200000,2200000,4600000,6300000,9700000,15300000,13100000,19800000,- -,24627000,47154000,50875000,72432000,- -,91120000,117101000,144899000,158863000,164268000,- -,172426000,131312000,249610000,219932000,- -,252561000,289751000,236582000,395116000,239187000
53,Total Current Liabilities,4200000,5100000,8900000,15600000,18600000,27400000,24400000,32900000,- -,43100000,61993000,81600000,109800000,- -,133100000,162800000,185800000,200500000,202700000,- -,223200000,264247000,322011000,350226000,- -,376526000,397951000,614587000,586067000,636273000
54,Long-Term Debt,200000,- -,- -,- -,6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,275000000,100000000,- -,- -,- -,- -,- -,- -,- -,- -,10000000,290000000,280000000,1684286000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67258000,- -,69742000,- -,73857000,72911000,- -,71575000,74761000,- -,- -,- -
56,Deferred Tax Liabilities,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,22285000,- -,- -,- -,- -,- -,- -,- -,86918000,- -,103927000,97237000,96509000,82524000,- -,82401000,57216000,33847000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,700000,3300000,- -,4500000,- -,45300000,106100000,- -,146500000,165400000,229300000,230100000,79224000,- -,82931000,185277000,112489000,139146000,- -,159610000,179602000,1330417000,149725000,147400000
58,Total Non-Current Liabilities,200000,500000,- -,- -,6000000,- -,700000,3300000,- -,4500000,22285000,45300000,106100000,- -,146500000,165400000,504300000,330100000,233400000,- -,256600000,282514000,282855000,294581000,- -,313586000,321579000,1654264000,429725000,1831686000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2302019000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1317950000,1356840000,1350087000
61,Total Liabilities,4400000,5600000,8900000,15600000,24600000,27400000,25100000,36200000,- -,47600000,84278000,126900000,215900000,- -,279600000,328200000,690100000,530600000,436100000,- -,479800000,546761000,604866000,644807000,- -,690112000,719530000,2268851000,2458361000,2467959000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218248000,- -
63,Common Stock,- -,- -,- -,- -,100000,100000,200000,200000,- -,300000,510000,500000,800000,- -,800000,800000,800000,800000,800000,- -,900000,906000,918000,931000,- -,947000,954000,977000,986000,1054000
64,Retained Earnings,1800000,6500000,13800000,22400000,28300000,38300000,45900000,67600000,- -,99600000,187776000,245600000,310600000,- -,390500000,471800000,596700000,639500000,721300000,- -,817000000,989451000,1060211000,1140788000,- -,1238012000,1345666000,1408333000,1110087000,1169150000
65,Other Comprehensive Income/Loss,-6400000,-7900000,-9800000,-12300000,-400000,-22000000,-30400000,-200000,- -,800000,1664000,-161000,-897000,- -,-1000000,-553000,-9684000,-4619000,- -,- -,-565200000,-654448000,-706909000,-784591000,- -,-858756000,-88000,-435000,-3785000,-287000
66,Other Total Stockholders Equity,27700000,29900000,60300000,66100000,55500000,136100000,144600000,118000000,- -,140100000,- -,211964000,232349000,- -,257400000,239495000,-135250000,-119568000,-129763000,- -,290053000,241444000,202290000,231411000,- -,223004000,-733002000,-837133000,-818595000,-839751000
67,Total Stockholders Equity,23100000,28500000,64300000,76200000,83500000,152500000,160300000,185600000,- -,240800000,379564000,457903000,542852000,- -,647700000,711542000,452566000,516113000,592337000,- -,542753000,577353000,556510000,588539000,- -,603207000,613530000,571742000,506941000,330166000
68,Total Liabilities And Stockholders Equity,27500000,34100000,73200000,91800000,108100000,179900000,185400000,221800000,- -,288400000,463842000,584803000,758752000,- -,927300000,1039742000,1142666000,1046713000,1028437000,- -,1022553000,1124114000,1161376000,1233346000,- -,1293319000,1333060000,2840593000,2965302000,2798125000
69,Minority Interest,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,-3000,-52000,- -,-1000000,-42000,-66000,87000,-37000,- -,47000,- -,- -,- -,- -,- -,- -,- -,-1596646000,- -
70,Total Liabilities & Equity,27500000,34100000,73200000,91800000,108200000,179900000,185400000,221800000,- -,288400000,463842000,584800000,758700000,- -,926300000,1039700000,1142600000,1046800000,1028400000,- -,1022600000,1124114000,1161376000,1233346000,- -,1293319000,1333060000,2840593000,1368656000,2798125000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/887596/000089155401501319/d70389_form10k.htm,- -,https://www.sec.gov/Archives/edgar/data/887596/000116923204001632/d58694_10k.htm,https://www.sec.gov/Archives/edgar/data/887596/000120677405000519/cf71443.htm,undefined,https://www.sec.gov/Archives/edgar/data/887596/000120677406000300/tc71790.htm,https://www.sec.gov/Archives/edgar/data/887596/000110465907013165/a07-5019_110k.htm,https://www.sec.gov/Archives/edgar/data/887596/000110465909013145/0001104659-09-013145-index.html,https://www.sec.gov/Archives/edgar/data/887596/000110465910010327/0001104659-10-010327-index.html,https://www.sec.gov/Archives/edgar/data/887596/000110465911009361/a11-2394_110k.htm,undefined,https://www.sec.gov/Archives/edgar/data/887596/000110465912014640/0001104659-12-014640-index.html,https://www.sec.gov/Archives/edgar/data/887596/000110465914014213/a13-25793_110k.htm,https://www.sec.gov/Archives/edgar/data/887596/000110465915015350/a14-26871_110k.htm,https://www.sec.gov/Archives/edgar/data/887596/000110465916100056/0001104659-16-100056-index.html,undefined,https://www.sec.gov/Archives/edgar/data/887596/000110465917013246/0001104659-17-013246-index.html,https://www.sec.gov/Archives/edgar/data/887596/000110465918013503/0001104659-18-013503-index.html,https://www.sec.gov/Archives/edgar/data/887596/000110465920032031/0001104659-20-032031-index.html,https://www.sec.gov/Archives/edgar/data/887596/000110465921027547/0001104659-21-027547-index.htm,https://www.sec.gov/Archives/edgar/data/887596/000110465922025711/0001104659-22-025711-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4200000,4700000,7200000,8600000,5900000,9900000,7700000,21700000,- -,32100000,49075000,57800000,66500000,- -,87900000,81300000,52300000,42800000,81700000,- -,95700000,114356000,101276000,116523000,- -,139494000,157392000,127293000,-253365000,72373000
74,Depreciation and Amortization,1400000,2300000,3600000,5900000,10743715,6696000,8540000,10900000,- -,13682000,22855000,27960000,35943000,- -,45135000,53064000,73290000,75184000,72140000,- -,71958000,78558000,82835000,85563000,- -,88010000,92729000,88133000,91415000,89654000
75,Deferred Income Tax,-800000,1100000,400000,900000,-559459,2447000,-2965000,1900000,- -,345000,11358000,11884000,16668000,- -,27863000,8574000,21357000,-5915000,-3854000,- -,8751000,11792000,9110000,13685000,- -,12717000,-25180000,-2197000,-67228000,-20849000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18225000,13132000,14610000,10913000,- -,9635000,14135000,16817000,20053000,- -,21473000,16457000,19373000,21350000,22988000
77,Change in Working Capital,-1000000,5400000,5100000,1900000,-5200000,41800000,-20300000,5300000,- -,3900000,10295000,22605000,-29200000,- -,35000000,- -,40300000,-32700000,11700000,- -,-30200000,-15544000,-59281000,-27205000,- -,-30269000,-34219000,-148802000,125364000,30903000
78,Accounts Receivable,- -,- -,- -,- -,-169821,219000,-1309000,- -,- -,- -,- -,- -,- -,- -,384000,-3531000,-1190000,1185000,-4832000,- -,4850000,4477000,-5079000,1011000,- -,-1473000,-4233000,- -,- -,- -
79,Inventory,100000,-400000,-200000,-1500000,-1494446,-863000,-785000,-2300000,- -,-1207000,-7214000,-2449000,-2093000,- -,-8632000,-1656000,926000,930000,-834000,- -,-5174000,-6642000,2223000,-755000,- -,-916000,-7634000,-5766000,7921000,-3478000
80,Accounts Payable,- -,- -,- -,- -,-403777,3162000,-768000,- -,- -,- -,- -,- -,- -,- -,109000,13420000,-20047000,-3927000,-1297000,- -,3508000,-11580000,18180000,-12931000,- -,752000,3771000,2326000,-2005000,-3678000
81,Other Working Capital,1600000,7000000,12100000,14000000,8800000,50600000,30300000,35600000,- -,39500000,11295000,33900000,4700000,- -,39700000,39700000,4400000,-28300000,-16600000,- -,-46800000,-38344000,-97625000,-124830000,- -,-155099000,-189318000,-370072000,-244708000,23136000
82,Other Non-Cash Items,-200000,-11600000,-8700000,-4500000,-1321004,-49352000,34059000,-2000000,- -,6309000,-131000,-3595000,60227000,- -,-30386000,-8508000,-31194000,103156000,-7363000,- -,40220000,1488000,88892000,26804000,- -,71095000,31617000,134961000,85372000,17937000
83,Cash Provided by Operating Activities,3600000,1900000,7600000,12800000,9563252,11491000,27034000,37800000,- -,56336000,93452000,116654000,150138000,- -,165512000,152655000,169185000,197135000,165236000,- -,196064000,204785000,239649000,235423000,- -,302520000,238796000,218761000,2908000,213006000
84,CAPEX,-2600000,-7500000,-13100000,-29500000,-23247595,-21703000,-27966000,-38600000,- -,-39216000,-86618000,-105560000,-161898000,- -,-170162000,-185738000,-84907000,-37243000,-41847000,- -,-77616000,-107943000,-115861000,-155701000,- -,-117461000,-122433000,-75865000,-50914000,-67549000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42000000,-18000000,-264695000,- -,- -
86,Purchases of Investments,-13900000,-6600000,-111200000,-1100000,- -,-10605000,-51774000,-35800000,- -,-64446000,-119971000,-174203000,-113467000,- -,-97863000,-57473000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,3400000,10900000,86800000,24500000,4980450,2833000,26568000,39500000,- -,45411000,98338000,155435000,96900000,- -,87715000,115975000,11469000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,9250,47000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-870000,-1654000,-1879000,-1760000,- -,-1640000,-1654000,-24600000,-585000,-1667000
89,Cash Used for Investing Activites,-13100000,-3200000,-37500000,-6100000,-18257895,-29428000,-53172000,-34900000,- -,-58251000,-108251000,-124328000,-178465000,- -,-180310000,-127236000,-73438000,-36243000,-41847000,- -,-77616000,-107943000,-115861000,-155701000,- -,-159461000,-140433000,-363060000,-50914000,-68610000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101529000,- -,-1687000,- -,-25000000,-60000000,- -,-35000000,-75000000,-55000000,-100000000,-150000000
91,Common Stock Issued,20100000,- -,29300000,3000000,861,58621000,2000,6000000,- -,13521000,21582000,12655000,16313000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,175000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-3468000,-2300000,- -,-1318000,-7059000,-847000,-9259000,- -,-3985000,-49994000,-172459000,- -,-52088000,- -,-172126000,-183659000,-140483000,-109371000,- -,-146467000,-122975000,-50982000,-3621000,-449517000
93,Dividends Paid,-4400000,- -,- -,- -,- -,- -,- -,- -,- -,-30000,- -,- -,-83000,- -,- -,- -,- -,- -,- -,- -,- -,-27191000,-30332000,-35969000,- -,-42371000,-49889000,-60722000,-15791000,-18998000
94,Other Financing Activites,-4000000,-500000,- -,- -,7152029,-5677000,3528000,-100000,- -,- -,- -,- -,20230000,- -,35794000,38313000,120210000,-167542000,38132000,- -,21957000,92190000,68294000,111454000,- -,90764000,101773000,342724000,263104000,334688000
95,Cash Used/Provided by Financing Activities,11700000,-500000,29300000,3000000,7152890,52944000,62000,3600000,- -,12173000,14523000,11808000,27201000,- -,31809000,-11681000,-52249000,-167542000,-115485000,- -,-151856000,-118660000,-127521000,-93886000,- -,-133074000,-146091000,176020000,143692000,-108827000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-103000,117000,-17000,-27000
97,Net Change In Cash,11700000,-500000,29300000,3000000,-1541753,35007000,-26076000,6500000,- -,10258000,-276000,4134000,-1126000,- -,17011000,13738000,43498000,-6650000,7904000,- -,-33408000,-21818000,-3733000,-14164000,- -,9985000,-47831000,31838000,95669000,35542000
98,Cash at the End of Period,- -,- -,- -,- -,8535960,43543000,17467000,24000000,- -,34284000,11033000,15167000,14041000,- -,31052000,44790000,80365000,73715000,81619000,- -,48211000,61751000,58018000,43854000,- -,53839000,6008000,58416000,154085000,189627000
99,Cash at the Beginning of Period,500000,2800000,1100000,400000,10077713,8536000,43543000,17500000,- -,24026000,11309000,11033000,15167000,- -,14041000,31052000,36867000,80365000,73715000,- -,81619000,83569000,61751000,58018000,- -,43854000,53839000,26578000,58416000,154085000
