,https://roic.ai/company/FLR,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,280400000,119400000,193800000,88700000,-7000000,185320000,260524000,267981000,281158000,299582000,381990000,649093000,1114402000,1136788000,559596000,1001816000,733505000,1177599000,1204909000,726552000,546600000,386441000,481752000,-1276700000,-207052000,-127705000
21,Income Before Tax Ratio,- -,0.0279,0.0090,0.0163,0.0082,-0.0037,0.0207,0.0262,0.0304,0.0300,0.0228,0.0271,0.0389,0.0499,0.0517,0.0268,0.0428,0.0266,0.0431,0.0560,0.0401,0.0287,0.0198,0.0251,-0.0890,-0.0132,-0.0103
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-3000000,57554000,90548000,88526000,94463000,72309000,118538000,115774000,393944000,403913000,118514000,303729000,162438000,354573000,352815000,245888000,219151000,121972000,188794000,440982000,18592000,16489000
23,Net Income,- -,268100000,146200000,235300000,104200000,-4000000,19410000,163615000,157450000,186695000,227273000,263452000,533319000,720458000,684889000,357496000,593728000,456330000,667711000,510909000,412512000,281401000,191377000,224833000,-1522164000,-435046000,-440170000
24,Net Income ratio,- -,0.0267,0.0111,0.0198,0.0097,-0.0021,0.0022,0.0164,0.0179,0.0199,0.0173,0.0187,0.0320,0.0323,0.0311,0.0171,0.0254,0.0165,0.0244,0.0237,0.0228,0.0148,0.0098,0.0117,-0.1061,-0.0278,-0.0354
25,EPS,- -,1.62,0.88,1.50,0.69,-0.03,0.13,1.03,0.98,1.15,1.34,1.52,3.06,4.06,3.79,2.01,3.44,2.73,4.11,3.24,2.85,2.02,1.36,1.60,-10.87,-3.10,-3.11
26,EPS Diluted,- -,1.60,0.88,1.49,0.69,-0.03,0.13,1.02,0.97,1.13,1.31,1.48,2.92,3.93,3.75,1.98,3.40,2.71,4.06,3.20,2.81,2.00,1.36,1.59,-10.87,-3.10,-3.11
27,Weighted Average Shares Outstanding,- -,165493827,166136364,157391304,151014493,148000000,155602000,158688000,159592000,163124000,169640000,172674000,174504000,177658000,179100000,178047000,172501000,167121000,162566000,157487000,144800000,139200000,139761000,140400000,140061000,140511000,141412000
28,Weighted Average Shares Outstanding Diluted,- -,167040498,167085714,158451178,152116788,148000000,158314000,159706000,161078000,165590000,173312000,178392000,182178000,183460000,180862000,180988000,174564000,168491000,164354000,159616000,146700000,140900000,140893000,141300000,140061000,140511000,141412000
29,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1124198/000101706201000119/0001017062-01-000119-index.html,https://www.sec.gov/Archives/edgar/data/1124198/000101706202000439/0001017062-02-000439-index.html,https://www.sec.gov/Archives/edgar/data/1124198/000089256903000847/0000892569-03-000847-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000089256904000341/0000892569-04-000341-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000089256905000093/0000892569-05-000093-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000089256906000202/0000892569-06-000202-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000110465907015518/0001104659-07-015518-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746908002025/0001047469-08-002025-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746909001811/0001047469-09-001811-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746910001356/0001047469-10-001356-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746911001167/0001047469-11-001167-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746912001294/0001047469-12-001294-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746913001314/0001047469-13-001314-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746914000988/0001047469-14-000988-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746915000891/0001047469-15-000891-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746916010220/0001047469-16-010220-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746917000724/0001047469-17-000724-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746918000900/0001047469-18-000900-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000162828019001658/0001628280-19-001658-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000162828020013900/0001628280-20-013900-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000162828021003360/0001628280-21-003360-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000162828022003231/0001628280-22-003231-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,21850000,572654000,753367000,496502000,604517000,789016000,976050000,1175144000,1834324000,1687028000,2134997000,2161411000,2154541000,2283582000,1993125000,1949886000,1850436000,1804075000,1764746000,1997199000,2198781000,2209382000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,539242000,273570000,603594000,193279000,96438000,137127000,186023000,105131000,197092000,111037000,161134000,214828000,7262000,23345000,127222000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,21850000,572654000,753367000,496502000,604517000,789016000,976050000,1714386000,2107894000,2290622000,2328276000,2257849000,2291668000,2469605000,2098256000,2146978000,1961473000,1965209000,1979574000,2004461000,2222126000,2336604000
34,Net Receivables,- -,- -,- -,- -,- -,1047059000,565525000,503399000,636162000,761179000,850203000,904364000,946565000,1227224000,988991000,1215007000,1235935000,1242691000,1274024000,1471705000,1203024000,1700224000,1602751000,3079320000,1957284000,2149417000,1832913000
35,Inventory,- -,- -,- -,- -,- -,116564000,393380000,449989000,827091000,1076687000,1110650000,921062000,977945000,981125000,1405785000,1470897000,1946747000,1942679000,1740821000,1587275000,1376471000,1537289000,1458533000,- -,- -,- -,- -
36,Other Current Assets,- -,1796800000,2213400000,- -,- -,196785000,319768000,234710000,253889000,280931000,358353000,522110000,420604000,352419000,436690000,548645000,440092000,617099000,519233000,600811000,551814000,411284000,574764000,381999000,1554527000,662466000,1393125000
37,Total Current Assets,- -,1796800000,2213400000,- -,- -,1382258000,1851327000,1941465000,2213644000,2723314000,3108222000,3323586000,4059500000,4668662000,5122088000,5562825000,5880623000,6094137000,6003683000,5758047000,5278287000,5610270000,5601257000,5440893000,5516272000,5034009000,5562642000
38,PP&E,- -,1677700000,1938800000,513000000,514700000,760876000,508104000,467020000,569480000,527808000,581538000,692126000,784387000,799836000,837034000,866343000,921585000,951255000,966953000,980263000,892340000,1017223000,1093681000,1013732000,543040000,561084000,386589000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77636000,78089000,87172000,88056000,87849000,95947000,101332000,114107000,112952000,111646000,532239000,564683000,533585000,450386000,349258000,206508000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,22277000,21247000,54157000,77036000,77150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190297000,188352000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,22277000,21247000,54157000,77036000,77150000,77636000,78089000,87172000,88056000,87849000,95947000,101332000,114107000,112952000,111646000,532239000,564683000,533585000,450386000,349258000,206508000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116000000,144000000,185000000,215000000,520445000,413986000,632849000,461249000,473588000,533449000,558564000,883938000,992485000,938490000,574421000,532065000,513909000
43,Tax Assets,- -,- -,- -,- -,- -,- -,66714000,113514000,66051000,31691000,75797000,143272000,309141000,386613000,247517000,214317000,167387000,79357000,139773000,201004000,221945000,454109000,316472000,342126000,62688000,77915000,51082000
44,Other Non-Current Assets,- -,477200000,533100000,- -,- -,557427000,642740000,598905000,546150000,609708000,615738000,494250000,380062000,266438000,363343000,469603000,571885000,588713000,625746000,608714000,568724000,718638000,759114000,644811000,819851000,755481000,558833000
45,Total Non-Current Assets,- -,2154900000,2471900000,- -,- -,1318303000,1239835000,1200686000,1235838000,1246243000,1466223000,1551284000,1736679000,1755059000,2056395000,2052098000,2389653000,2181906000,2320167000,2436382000,2353219000,3606147000,3726435000,3472744000,2450386000,2275803000,1716921000
46,Other Assets,- -,- -,- -,5019200000,4886100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3951700000,4685300000,5019200000,4886100000,2700561000,3091162000,3142151000,3449482000,3969557000,4574445000,4874870000,5796179000,6423721000,7178483000,7614923000,8270276000,8276043000,8323850000,8194429000,7631506000,9216417000,9327692000,8913637000,7966658000,7309812000,7279563000
48,Accounts Payable,- -,- -,- -,- -,- -,482930000,382528000,452613000,571535000,722910000,1003886000,804050000,985247000,1164556000,1334301000,1432502000,1734686000,1954108000,1641109000,1422084000,1266509000,1590506000,1512740000,1638891000,1357749000,1232236000,1098550000
49,Short-Term Debt,- -,- -,- -,- -,- -,380881000,38442000,- -,221469000,129940000,330000000,372501000,307222000,133578000,109789000,96692000,19458000,20792000,29839000,28742000,- -,82243000,27361000,26887000,38727000,25415000,911000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,531548000,772485000,999107000,980437000,- -,- -,870147000,743524000,569418000,754037000,763774000,874036000,855948000,1120237000,1141415000,890698000
52,Other Current Liabilities,- -,1645500000,1978200000,- -,- -,784270000,1390448000,1303558000,1036134000,911131000,1005449000,698168000,795140000,865369000,876871000,1994189000,2085967000,1042067000,992688000,1310609000,914806000,1379506000,1160033000,1030787000,1415348000,1172971000,1913901000
53,Total Current Liabilities,- -,1645500000,1978200000,- -,- -,1648081000,1811418000,1756171000,1829138000,1763981000,2339335000,2406267000,2860094000,3162610000,3301398000,3523383000,3840111000,3887114000,3407160000,3330853000,2935352000,3816029000,3574170000,3552513000,3932061000,3572037000,3904060000
54,Long-Term Debt,- -,3000000,300500000,- -,- -,17576000,17594000,17613000,44652000,347649000,34465000,187129000,17704000,17722000,17740000,17759000,513500000,520205000,496604000,991685000,992664000,1517949000,1591598000,1661565000,1651739000,1710033000,1167366000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83295000,80745000,67309000
57,Other Non-Current Liabilities,- -,633500000,665500000,- -,- -,401827000,472884000,484500000,494158000,522135000,570087000,551002000,643922000,572307000,525452000,545156000,456759000,441630000,539263000,648061000,589991000,639608000,669525000,581509000,715471000,683770000,574147000
58,Total Non-Current Liabilities,- -,636500000,966000000,- -,- -,419403000,490478000,502113000,538810000,869784000,604552000,738131000,661626000,590029000,543192000,562915000,970259000,961835000,1035867000,1639746000,1582655000,2157557000,2261123000,2243074000,2450505000,2474548000,1808822000
59,Other Liabilities,- -,- -,- -,3493600000,3304700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,2282000000,2944200000,3493600000,3304700000,2067484000,2301896000,2258284000,2367948000,2633765000,2943887000,3144398000,3521720000,3752639000,3844590000,4086298000,4810370000,4848949000,4443027000,4970599000,4518007000,5973586000,5835293000,5795587000,6382566000,6046585000,5712882000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000
63,Common Stock,- -,- -,- -,- -,- -,746000,801000,802000,821000,845000,871000,880000,887000,1816000,1788000,1764000,1690000,1624000,1613000,1486000,1390000,1393000,1399000,1396000,1399000,1404000,1411000
64,Retained Earnings,- -,- -,- -,- -,- -,539592000,508089000,620219000,725382000,858601000,1030460000,1223787000,1641616000,2272146000,2842428000,3109957000,3590553000,3597521000,4040664000,3593597000,3428732000,3582150000,3654931000,3422157000,1700912000,1249809000,790442000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-450709000,-293374000,-94586000,-59747000,-30787000,-30674000,-148332000,-74172000,-356969000,-220987000,-176311000,-199292000,-257850000,-298201000,-484212000,-432775000,-496669000,-402242000,-542478000,-379873000,-416906000,-365739000
66,Other Total Stockholders Equity,- -,1669700000,1741100000,1525600000,1581400000,543448000,573750000,357432000,415078000,507133000,629901000,654137000,706128000,754089000,682304000,561589000,2574000,- -,12911000,- -,- -,38317000,88222000,82106000,165314000,195940000,966333000
67,Total Stockholders Equity,- -,1669700000,1741100000,1525600000,1581400000,633077000,789266000,883867000,1081534000,1335792000,1630558000,1730472000,2274459000,2671082000,3305533000,3496999000,3395525000,3341295000,3756987000,3110871000,2997347000,3125191000,3342310000,2963181000,1487752000,1030247000,1392453000
68,Total Liabilities And Stockholders Equity,- -,3951700000,4685300000,5019200000,4886100000,2700561000,3091162000,3142151000,3449482000,3969557000,4574445000,4874870000,5796179000,6423721000,7150123000,7583297000,8205895000,8190244000,8200014000,8081470000,7515354000,9098777000,9177603000,8758768000,7870318000,7076832000,7105335000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28360000,31626000,64381000,85799000,123836000,112959000,116152000,117640000,150089000,154869000,96340000,232980000,174228000
70,Total Liabilities & Equity,- -,3951700000,4685300000,5019200000,4886100000,2700561000,3091162000,3142151000,3449482000,3969557000,4574445000,4874870000,5796179000,6423721000,7178483000,7614923000,8270276000,8276043000,8323850000,8194429000,7631506000,9216417000,9327692000,8913637000,7966658000,7309812000,7279563000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1124198/000101706201000119/0001017062-01-000119-index.html,https://www.sec.gov/Archives/edgar/data/1124198/000101706202000439/0001017062-02-000439-index.html,https://www.sec.gov/Archives/edgar/data/1124198/000089256903000847/0000892569-03-000847-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000089256904000341/0000892569-04-000341-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000089256905000093/0000892569-05-000093-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000089256906000202/0000892569-06-000202-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000110465907015518/0001104659-07-015518-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746908002025/0001047469-08-002025-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746909001811/0001047469-09-001811-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746910001356/0001047469-10-001356-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746911001167/0001047469-11-001167-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746912001294/0001047469-12-001294-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746913001314/0001047469-13-001314-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746914000988/0001047469-14-000988-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746915000891/0001047469-15-000891-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746916010220/0001047469-16-010220-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746917000724/0001047469-17-000724-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000104746918000900/0001047469-18-000900-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000162828019001658/0001628280-19-001658-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000162828020013900/0001628280-20-013900-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000162828021003360/0001628280-21-003360-index.htm,https://www.sec.gov/Archives/edgar/data/1124198/000162828022003231/0001628280-22-003231-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,268100000,146200000,235300000,104200000,-4000000,19410000,163615000,157450000,186695000,227273000,263452000,533319000,720458000,684889000,357496000,593728000,456330000,667711000,510909000,412512000,281401000,191377000,224833000,-1522164000,-435046000,-440170000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,22700000,71911000,77989000,79676000,91888000,104124000,126158000,146809000,163305000,182395000,190584000,201939000,212381000,207098000,192594000,189738000,225913000,225269000,216656000,170481000,105574000,74356000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-4500000,-17128000,45357000,48284000,4054000,-55677000,987000,-52215000,65583000,74662000,12707000,-17398000,64292000,-29708000,42753000,-3152000,-21192000,100286000,70594000,320633000,-20285000,28563000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6074000,1046000,-1859000,98497000,47077000,43745000,38767000,34745000,23129000,31971000
77,Change in Working Capital,- -,- -,83900000,-235200000,- -,-93241000,305732000,145385000,199212000,574827000,-190446000,148432000,282087000,306646000,314638000,218752000,1070000,166511000,389500000,-169329000,-84259000,-548694000,232846000,-138707000,-304169000,-122239000,-196652000
78,Accounts Receivable,- -,- -,- -,- -,- -,-15700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23680000,-98744000,-336109000,190141000,-337775000,162655000,-40785000,210419000,138388000,5393000
79,Inventory,- -,- -,- -,- -,- -,179700000,- -,-20153000,-396432000,-263313000,-41509000,189588000,-56883000,35651000,-359991000,-54576000,-504670000,29669000,101158000,50570000,80742000,-72419000,140556000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,47400000,- -,- -,- -,- -,- -,- -,- -,- -,135228000,82016000,320708000,195147000,-274418000,-153515000,-57317000,200480000,-137441000,176335000,-46873000,-343113000,6360000
81,Other Working Capital,- -,151300000,235200000,- -,- -,-265823000,39909000,185294000,384506000,959333000,768887000,917319000,1199406000,1506052000,1820690000,2039442000,2040512000,2207023000,2596523000,2427194000,2342935000,1794241000,2027087000,1888380000,1584211000,1461972000,108083000
82,Other Non-Cash Items,- -,138800000,98500000,697700000,468400000,24141000,297803000,-225485000,-785160000,-938979000,323401000,-242868000,-4958000,-304883000,-357272000,-228625000,110430000,-277210000,-446741000,67506000,235796000,721414000,-191552000,-249979000,1519492000,634751000,527264000
83,Cash Provided by Operating Activities,- -,406900000,328600000,697800000,572600000,-54900000,677728000,206861000,-300538000,-81515000,408675000,296161000,905042000,951109000,899312000,550914000,889769000,628378000,788906000,642574000,849132000,705919000,601971000,162164000,219018000,185884000,25332000
84,CAPEX,- -,- -,- -,- -,- -,-36400000,- -,-78974000,-81766000,-104432000,-213207000,-274055000,-284240000,-299611000,-233113000,-265410000,-338167000,-254747000,-288487000,-324704000,-240220000,-235904000,-283107000,-210998000,-180842000,-113442000,-75073000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-54531000,-33000000,- -,- -,-17190000,-12496000,- -,-10035000,-27326000,-50119000,-22452000,5313000,-45512000,-758960000,-273117000,74081000,-28240000,-28690000,-79464000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-13895000,- -,-13215000,-371000,-1004283000,-1348623000,-1664694000,-853622000,-865876000,-922024000,-492633000,-410508000,-386021000,-359986000,-237360000,-483513000,-31165000,-35078000,-148493000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,27960000,31690000,- -,358000,- -,- -,455760000,1557590000,1039684000,1291159000,724409000,1120448000,482376000,419398000,411380000,522094000,216436000,541104000,238539000,19648000,44687000
88,Other Investing Activites,- -,- -,- -,- -,- -,18300000,-185029000,116381000,59037000,76597000,67290000,36609000,56521000,125673000,-193049000,-209072000,-267631000,-186652000,-201901000,-213318000,-46354000,-144499000,-190237000,-130289000,-98662000,2558000,61401000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-18100000,-157069000,69097000,-91155000,-60477000,-159132000,-237817000,-793432000,22533000,-818059000,218430000,-436424000,-38347000,-234610000,-199115000,-66507000,-741351000,-484278000,1383000,80472000,-41562000,-121869000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23789000,-13097000,-77234000,-7514000,-26435000,-74000,-28425000,-1250681000,-53455000,-503285000,- -,- -,-532175000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,144577000,14851000,28502000,61687000,92370000,31770000,12537000,13377000,- -,- -,- -,2665000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-101200000,-1404000,-19199000,-2691000,- -,- -,- -,- -,- -,-125419000,-175058000,-639556000,-389233000,-200052000,-906083000,-509658000,-9718000,- -,-50022000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-50913000,-51485000,-52287000,-53476000,-68665000,-52863000,-70399000,-89928000,-166419000,-90093000,-87678000,-128650000,-78716000,-126218000,-125204000,-117995000,-117995000,-118734000,-118073000,-28720000,-19175000
94,Other Financing Activites,- -,- -,- -,- -,- -,126600000,-62115000,-39412000,116249000,201814000,-55803000,139476000,91585000,-153132000,-1670000,-111624000,408643000,-93894000,-64366000,365959000,-64943000,1368044000,-44052000,531550000,40774000,77166000,673602000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,25400000,30145000,-95245000,89773000,210025000,-32098000,118383000,33723000,-229683000,-317297000,-389872000,-395825000,-616626000,-369569000,-666416000,-728230000,-10350000,-215502000,-140491000,-77299000,48446000,122252000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,45055000,39982000,-32946000,10307000,53761000,-84779000,88748000,68497000,-31106000,19725000,-55686000,-67500000,-97634000,-53668000,51448000,-62385000,10262000,8814000,-15114000
97,Net Change In Cash,- -,- -,- -,- -,- -,-47600000,550804000,180713000,-256865000,108015000,184499000,187034000,199094000,659180000,-147296000,447969000,26414000,-6870000,129041000,-290457000,-43239000,-99450000,-46361000,-39329000,232453000,201582000,10601000
98,Cash at the End of Period,- -,- -,- -,- -,- -,21800000,572654000,753367000,496502000,604517000,789016000,976050000,1175144000,1834324000,1687028000,2134997000,2161411000,2154541000,2283582000,1993125000,1949886000,1850436000,1804075000,1764746000,1997199000,2198781000,2209382000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,69400000,21850000,572654000,753367000,496502000,604517000,789016000,976050000,1175144000,1834324000,1687028000,2134997000,2161411000,2154541000,2283582000,1993125000,1949886000,1850436000,1804075000,1764746000,1997199000,2198781000
100,Free Cash Flow,- -,406900000,328600000,697800000,572600000,-91300000,677728000,127887000,-382304000,-185947000,195468000,22106000,620802000,651498000,666199000,285504000,551602000,373631000,500419000,317870000,608912000,470015000,318864000,-48834000,38176000,72442000,-49741000
