,https://roic.ai/company/VALU,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/717720/000091205796015699/0000912057-96-015699-index.html,https://www.sec.gov/Archives/edgar/data/717720/000091205797025346/0000912057-97-025346-index.html,https://www.sec.gov/Archives/edgar/data/717720/000104746998028697/0001047469-98-028697-index.html,https://www.sec.gov/Archives/edgar/data/717720/000104746999029109/0001047469-99-029109-index.html,https://www.sec.gov/Archives/edgar/data/717720/000091205700033557/0000912057-00-033557-index.html,https://www.sec.gov/Archives/edgar/data/717720/000091205701525768/0000912057-01-525768-index.html,https://www.sec.gov/Archives/edgar/data/717720/000089710102000510/0000897101-02-000510-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/717720/000114420405023123/v022446_10k.htm,https://www.sec.gov/Archives/edgar/data/717720/000114420406030146/v048234_10-k.htm,https://www.sec.gov/Archives/edgar/data/717720/000114420407037635/0001144204-07-037635-index.html,https://www.sec.gov/Archives/edgar/data/717720/000114420408040511/0001144204-08-040511-index.html,https://www.sec.gov/Archives/edgar/data/717720/000114420409037660/0001144204-09-037660-index.html,https://www.sec.gov/Archives/edgar/data/717720/000114420410038267/0001144204-10-038267-index.html,https://www.sec.gov/Archives/edgar/data/717720/000118811211002049/0001188112-11-002049-index.html,https://www.sec.gov/Archives/edgar/data/717720/000118811212002275/0001188112-12-002275-index.html,https://www.sec.gov/Archives/edgar/data/717720/000118811213002106/0001188112-13-002106-index.html,https://www.sec.gov/Archives/edgar/data/717720/000157104914003107/0001571049-14-003107-index.html,https://www.sec.gov/Archives/edgar/data/717720/000157104915005763/0001571049-15-005763-index.html,https://www.sec.gov/Archives/edgar/data/717720/000143774916035289/valu20160430_10k.htm,https://www.sec.gov/Archives/edgar/data/717720/000143774917013113/0001437749-17-013113-index.html,https://www.sec.gov/Archives/edgar/data/717720/000143774918013821/0001437749-18-013821-index.html,https://www.sec.gov/Archives/edgar/data/717720/000143774919014729/valu20190430_10k.htm,https://www.sec.gov/Archives/edgar/data/717720/000143774920015851/0001437749-20-015851-index.htm,https://www.sec.gov/Archives/edgar/data/717720/000143774921017788/0001437749-21-017788-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3500000,12300000,14700000,18800000,13600000,12000000,10900000,14800000,14300000,45000000,31800000,16100000,29900000,41800000,47933000,86424000,117401000,10217000,178108000,5971000,446000,440000,8955000,42936000,16435000,644000,1194000,6840000,5788000,5874000,13122000,6557000,5941000,6493000,4954000,19171000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15360000,3624000,3093000,19981000,76274000,103114000,112836000,116900000,63729000,23529000,18832000,14729000,6682000,9226000,9632000,3637000,16576000,17844000,21828000,29204000,26182000
33,Cash and Short-Term Investments,3500000,12300000,14700000,18800000,13600000,12000000,10900000,14800000,14300000,45000000,31800000,16100000,29900000,41800000,47933000,101784000,121025000,13310000,198089000,82245000,103560000,113276000,125855000,106665000,39964000,19476000,15923000,13522000,15014000,15506000,16759000,23133000,23785000,28321000,34158000,45353000
34,Net Receivables,5000000,5800000,5100000,5600000,6000000,5900000,6200000,5800000,7400000,5000000,5000000,4500000,3600000,4400000,19044000,5037000,4539000,5156000,10118000,5653000,5954000,6723000,5178000,3665000,3201000,2151000,902000,1278000,1206000,1409000,1254000,1018000,1049000,1504000,5046000,3985000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5556000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1300000,700000,1200000,1500000,12100000,21300000,40300000,55700000,47800000,88700000,106800000,18200000,12100000,17300000,1254000,2016000,1779000,1292000,2015000,1500000,1705000,2237000,1203000,1540000,11771000,4109000,2292000,1873000,2046000,1930000,1939000,1987000,1727000,1589000,1321000,1898000
37,Total Current Assets,9800000,18800000,21000000,25900000,31700000,39200000,57400000,76300000,69500000,138700000,143600000,38800000,45600000,63500000,73787000,108837000,127343000,19758000,210222000,89398000,111219000,122236000,132236000,111870000,54936000,25736000,19117000,16673000,18266000,18845000,19952000,26138000,26561000,31414000,40525000,51236000
38,PP&E,3700000,3800000,4000000,3900000,4800000,4500000,3500000,2000000,8900000,7900000,12100000,13400000,12700000,11700000,10402000,9423000,8491000,7393000,6545000,5984000,5406000,4923000,4709000,4474000,4257000,4084000,3854000,3930000,3863000,3690000,3621000,1239000,1371000,1146000,9500000,8311000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,500000,400000,400000,400000,400000,400000,400000,400000,400000,300000,400000,- -,- -,- -,- -,3948000,3857000,3600000,3800000,3483000,2589000,1804000,1008000,- -,792000,2130000,5067000,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,500000,400000,400000,400000,400000,400000,400000,400000,400000,300000,400000,- -,- -,- -,- -,3948000,3857000,3600000,3800000,3483000,2589000,1804000,1008000,1211000,792000,2130000,5067000,6227000,6896000,6838000,4992000,1003000,154000,134000,69000,143000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55853000,56331000,57511000,57850000,58048000,57942000,58223000,58233000,58625000,59165000,60977000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,59700000,71500000,70200000,74200000,71800000,86600000,91200000,97400000,121500000,118100000,177700000,108100000,149200000,168600000,214009000,148784000,129044000,216063000,46357000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,469000,469000,469000,469000,469000
45,Total Non-Current Assets,63900000,75700000,74600000,78500000,77000000,91500000,95100000,99800000,130800000,126300000,190200000,121500000,161900000,180300000,224411000,162155000,141392000,227056000,56702000,9467000,7995000,6727000,5717000,5685000,5049000,62067000,65252000,67668000,68609000,68576000,66555000,60934000,60227000,60374000,69203000,69900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,73700000,94500000,95600000,104400000,108700000,130700000,152500000,176100000,200300000,265000000,333800000,160300000,207500000,243800000,298198000,270992000,268735000,246814000,266924000,98865000,119214000,128963000,137953000,117555000,59985000,87803000,84369000,84341000,86875000,87421000,86507000,87072000,86788000,91788000,109728000,121136000
48,Accounts Payable,- -,- -,- -,- -,3400000,3500000,- -,6000000,8800000,6400000,8400000,8000000,7200000,5800000,7162000,5716000,3681000,2852000,3619000,4331000,6186000,5316000,5135000,2865000,4982000,4266000,2673000,2460000,2429000,1787000,2669000,1257000,1926000,2068000,2057000,2077000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1119000,3418000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,780000,336000,96000,180000,316000,226000,388000,112000,- -,180000,1043000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29748000,28224000,28552000,26610000,23742000,22314000,22442000,21548000,22073000,21490000,21510000,20516000,20188000,19717000,20008000,18854000,19162000
52,Other Current Liabilities,5500000,8000000,7300000,7100000,3200000,4400000,11300000,4500000,7500000,42000000,46400000,5500000,4600000,5000000,5599000,5208000,15185000,4498000,179170000,9918000,12986000,13194000,12434000,4824000,6378000,4708000,2963000,2861000,3137000,2917000,3113000,3145000,3228000,3324000,4795000,3267000
53,Total Current Liabilities,5500000,8000000,7300000,7100000,6600000,7900000,11300000,10500000,16300000,48400000,54800000,13500000,11800000,10800000,12761000,10924000,18866000,7350000,182789000,43997000,47396000,47062000,44179000,31431000,33674000,31416000,27184000,27394000,27056000,26214000,26298000,24590000,24871000,25400000,26825000,27924000
54,Long-Term Debt,11500000,6000000,3000000,3000000,3000000,3000000,- -,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2137000,7368000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5255000,4863000,4559000,4447000,2636000,3634000,4537000,4926000,5471000,5808000,5475000,5884000,5926000
56,Deferred Tax Liabilities,500000,600000,700000,800000,900000,1000000,900000,600000,300000,4800000,13300000,7000000,15300000,22300000,33036000,20194000,13225000,5157000,7684000,- -,- -,- -,- -,- -,- -,18574000,20424000,21326000,22520000,22064000,20683000,18725000,11714000,12624000,12851000,12905000
57,Other Non-Current Liabilities,30500000,43300000,35200000,29700000,30700000,34700000,35700000,35600000,36300000,38600000,44400000,43400000,43500000,43800000,41535000,39668000,40639000,38929000,41153000,10725000,9883000,6329000,5920000,- -,- -,- -,- -,- -,367000,167000,- -,432000,854000,765000,8492000,- -
58,Total Non-Current Liabilities,42500000,49900000,38900000,33500000,34600000,38700000,36600000,39200000,36600000,43400000,57700000,50400000,58800000,66100000,74571000,59862000,53864000,44086000,48837000,10725000,9883000,6329000,5920000,5255000,4863000,23133000,24871000,23962000,26521000,26768000,25609000,24628000,18376000,18864000,29364000,26199000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9417000,8455000
61,Total Liabilities,48000000,57900000,46200000,40600000,41200000,46600000,47900000,49700000,52900000,91800000,112500000,63900000,70600000,76900000,87332000,70786000,72730000,51436000,231626000,54722000,57279000,53391000,50099000,36686000,38537000,54549000,52055000,51356000,53577000,52982000,51907000,49218000,43247000,44264000,56189000,54123000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,25100000,35800000,50300000,62800000,69300000,83000000,103300000,125000000,145900000,163100000,196800000,83200000,108400000,125600000,149304000,163416000,173760000,183768000,19459000,30798000,44256000,57383000,70954000,78935000,19813000,31644000,31628000,32315000,33183000,34587000,35524000,39186000,44902000,48598000,56450000,72502000
65,Other Comprehensive Income/Loss,-2500000,-3400000,-4100000,-4100000,-5000000,-6100000,-7000000,-8600000,-4100000,-5400000,-6400000,-5600000,-6900000,-7500000,-9169000,-9058000,-10425000,9973000,14202000,11708000,16042000,16552000,15263000,297000,-2000,63000,85000,251000,246000,105000,125000,458000,783000,1678000,1055000,3000
66,Other Total Stockholders Equity,3100000,4200000,3200000,5100000,3200000,7200000,8300000,10000000,5600000,15500000,30900000,18800000,35400000,48800000,69731000,44848000,31670000,637000,637000,637000,637000,637000,637000,637000,637000,547000,-399000,-581000,-1131000,-1253000,-2049000,-2790000,-3144000,-3752000,-4966000,-6492000
67,Total Stockholders Equity,25700000,36600000,49400000,63800000,67500000,84100000,104600000,126400000,147400000,173200000,221300000,96400000,136900000,166900000,210866000,200206000,196005000,195378000,35298000,44143000,61935000,75572000,87854000,80869000,21448000,33254000,32314000,32985000,33298000,34439000,34600000,37854000,43541000,47524000,53539000,67013000
68,Total Liabilities And Stockholders Equity,73700000,94500000,95600000,104400000,108700000,130700000,152500000,176100000,200300000,265000000,333800000,160300000,207500000,243800000,298198000,270992000,268735000,246814000,266924000,98865000,119214000,128963000,137953000,117555000,59985000,87803000,84369000,84341000,86875000,87421000,86507000,87072000,86788000,91788000,109728000,121136000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,73700000,94500000,95600000,104400000,108700000,130700000,152500000,176100000,200300000,265000000,333800000,160300000,207500000,243800000,298198000,270992000,268735000,246814000,266924000,98865000,119214000,128963000,137953000,117555000,59985000,87803000,84369000,84341000,86875000,87421000,86507000,87072000,86788000,91788000,109728000,121136000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/717720/000091205796015699/0000912057-96-015699-index.html,https://www.sec.gov/Archives/edgar/data/717720/000091205797025346/0000912057-97-025346-index.html,https://www.sec.gov/Archives/edgar/data/717720/000104746998028697/0001047469-98-028697-index.html,https://www.sec.gov/Archives/edgar/data/717720/000104746999029109/0001047469-99-029109-index.html,https://www.sec.gov/Archives/edgar/data/717720/000091205700033557/0000912057-00-033557-index.html,https://www.sec.gov/Archives/edgar/data/717720/000091205701525768/0000912057-01-525768-index.html,https://www.sec.gov/Archives/edgar/data/717720/000089710102000510/0000897101-02-000510-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/717720/000114420405023123/v022446_10k.htm,https://www.sec.gov/Archives/edgar/data/717720/000114420406030146/v048234_10-k.htm,https://www.sec.gov/Archives/edgar/data/717720/000114420407037635/0001144204-07-037635-index.html,https://www.sec.gov/Archives/edgar/data/717720/000114420408040511/0001144204-08-040511-index.html,https://www.sec.gov/Archives/edgar/data/717720/000114420409037660/0001144204-09-037660-index.html,https://www.sec.gov/Archives/edgar/data/717720/000114420410038267/0001144204-10-038267-index.html,https://www.sec.gov/Archives/edgar/data/717720/000118811211002049/0001188112-11-002049-index.html,https://www.sec.gov/Archives/edgar/data/717720/000118811212002275/0001188112-12-002275-index.html,https://www.sec.gov/Archives/edgar/data/717720/000118811213002106/0001188112-13-002106-index.html,https://www.sec.gov/Archives/edgar/data/717720/000157104914003107/0001571049-14-003107-index.html,https://www.sec.gov/Archives/edgar/data/717720/000157104915005763/0001571049-15-005763-index.html,https://www.sec.gov/Archives/edgar/data/717720/000143774916035289/valu20160430_10k.htm,https://www.sec.gov/Archives/edgar/data/717720/000143774917013113/0001437749-17-013113-index.html,https://www.sec.gov/Archives/edgar/data/717720/000143774918013821/0001437749-18-013821-index.html,https://www.sec.gov/Archives/edgar/data/717720/000143774919014729/valu20190430_10k.htm,https://www.sec.gov/Archives/edgar/data/717720/000143774920015851/0001437749-20-015851-index.htm,https://www.sec.gov/Archives/edgar/data/717720/000143774921017788/0001437749-21-017788-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,12500000,19600000,26300000,27700000,28900000,23200000,41700000,45500000,35200000,27200000,33698000,24091000,20323000,19987000,20350000,21318000,23439000,24607000,25550000,22953000,-23188000,37782000,6925000,6619000,6768000,7292000,7291000,10367000,14738000,11150000,15663000,23280000
74,Depreciation and Amortization,- -,- -,- -,- -,1200000,1100000,1000000,2000000,900000,1300000,1300000,1500000,1600000,1800000,2523000,3090000,3109000,3274000,2726000,2506000,2275000,2063000,1619000,1140000,726000,593000,724000,1552000,2085000,2715000,3817000,4623000,1125000,367000,266000,1293000
75,Deferred Income Tax,- -,- -,- -,- -,-200000,1500000,-300000,-1400000,-500000,700000,4200000,-5800000,-200000,1100000,703000,-654000,1049000,-1690000,193000,-371000,-204000,-138000,-151000,109000,-8165000,23681000,4288000,1078000,464000,-237000,-1301000,-1711000,-7058000,512000,267000,543000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1770000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,800000,6200000,14800000,19700000,-12600000,37100000,-1500000,-63500000,8500000,18900000,8326000,36887000,10564000,-96069000,15025000,17968000,18422000,11351000,12883000,-7618000,-59177000,-26942000,-2387000,-2654000,1931000,1421000,1023000,7894000,142000,4324000,7686000,9612000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,380000,672000,82000,697000,-376000,72000,-203000,155000,236000,-31000,-455000,-2934000,453000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000,-202000,-663000,920000,-1245000,669000,142000,-12000,21000
81,Other Working Capital,- -,- -,- -,- -,25100000,31300000,46100000,65800000,53200000,90300000,88800000,25300000,33800000,52700000,61026000,97913000,108477000,12408000,27433000,45401000,63823000,75174000,88057000,80439000,21262000,-5680000,-8067000,-10721000,-8790000,-7369000,-6346000,1548000,1690000,6014000,13700000,23312000
