,https://roic.ai/company/DVA,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,13800000,40200000,65800000,212200000,376289000,274878000,232109000,245615000,307327000,333402000,473304000,750879000,811598000,917921000,919861000,975629000,1146660000,1326720000,2107074000,1883894000,2594399000,2324627000,1616904000,1719189000,1718464000,1878019000,1875950000
11,COGS and Expenses,- -,71200000,224200000,358300000,984900000,1369528000,1307031000,1332761000,1463300000,1667883000,1888472000,2508547000,4141230000,4401942000,4838408000,5168529000,5450364000,5827432000,6905573000,10305451000,11003199000,12419233000,12971363000,9256909000,9914702000,9632949000,9866632000,9848364000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,185755000,181607000,241090000,288554000,429943000,410294000,408380000,414382000,430634000,487435000,443824000,304111000,285254000
14,Depreciation and Amortization,- -,4400000,15400000,27100000,92000000,112481000,111605000,105209000,64665000,74687000,86666000,119719000,173295000,193470000,216917000,228986000,234378000,267315000,343908000,528119000,590935000,638024000,720252000,777485000,591035000,615152000,630435000,680615000
15,EBITDA,- -,18100000,47800000,89200000,129300000,-69345000,153050000,347124000,351494000,362953000,448550000,472037000,649416000,820992000,826377000,1115890000,1081907000,1302150000,1528324000,1972521000,2170686000,1611862000,2470321000,2195596000,1496264000,2149585000,2022120000,2251051000
16,EBITDA ratio,- -,0.2018,0.1752,0.2036,0.1073,-0.0480,0.1030,0.2103,0.1895,0.1774,0.1951,0.1587,0.1331,0.1560,0.1460,0.1827,0.1678,0.1865,0.1867,0.1677,0.1696,0.1170,0.1675,0.2019,0.1312,0.1888,0.1751,0.1937
17,Operating Income,- -,18500000,48700000,79900000,220000000,75823000,179271000,317992000,391332000,378535000,410123000,465371000,739432000,862209000,821765000,940271000,997027000,1130782000,1297084000,1550134000,1815141000,1170695000,1894543000,1812755000,1525824000,1643317000,1694636000,1797370000
18,Operating Income ratio,- -,0.2062,0.1785,0.1823,0.1826,0.0525,0.1206,0.1926,0.2110,0.1850,0.1784,0.1565,0.1515,0.1638,0.1452,0.1539,0.1546,0.1620,0.1584,0.1318,0.1419,0.0849,0.1285,0.1667,0.1338,0.1443,0.1467,0.1547
19,Total Other Income Expenses (Gains),- -,-7400000,-8600000,-17800000,-163100000,-257649000,-134336000,-77054000,-75145000,-90269000,-48239000,-134274000,-263673000,-234687000,-212305000,-182047000,-252569000,-238108000,-295780000,-425156000,-505468000,-447559000,-405648000,-412969000,-477346000,-447878000,-376374000,-278876000
20,Income Before Tax,- -,11100000,40100000,62100000,56900000,-181826000,44935000,240938000,316187000,288266000,361884000,331097000,475759000,627522000,609460000,758224000,744458000,892674000,1001304000,1124978000,1309673000,723136000,1488895000,1399786000,1048478000,1195439000,1318262000,1518494000
21,Income Before Tax Ratio,- -,0.1237,0.1469,0.1417,0.0472,-0.1258,0.0302,0.1460,0.1705,0.1409,0.1574,0.1113,0.0975,0.1192,0.1077,0.1241,0.1155,0.1278,0.1223,0.0956,0.1024,0.0525,0.1010,0.1287,0.0919,0.1050,0.1141,0.1307
22,Income Tax expense (Gain),- -,4600000,16400000,25100000,41600000,-34570000,27960000,104600000,129500000,112475000,139630000,123675000,186430000,245744000,235300000,278465000,260239000,315744000,359845000,381013000,446343000,295726000,455813000,323859000,258400000,279628000,313932000,306732000
23,Net Income,- -,9100000,16000000,37000000,-4300000,-147256000,13485000,137315000,157329000,175791000,222254000,228643000,289691000,381778000,374160000,422684000,405683000,478001000,536017000,633446000,723114000,269732000,879874000,663618000,159394000,810981000,773642000,978450000
24,Net Income ratio,- -,0.1014,0.0586,0.0844,-0.0036,-0.1019,0.0091,0.0832,0.0848,0.0859,0.0967,0.0769,0.0594,0.0725,0.0661,0.0692,0.0629,0.0685,0.0655,0.0538,0.0565,0.0196,0.0597,0.0610,0.0140,0.0712,0.0670,0.0842
25,EPS,- -,0.08,0.12,0.28,-0.02,-0.60,0.06,0.55,0.73,0.93,1.13,1.14,1.40,1.80,1.78,2.04,2.00,2.52,2.79,3.02,3.41,1.27,4.36,3.52,0.93,5.29,6.46,9.30
26,EPS Diluted,- -,0.08,0.12,0.27,-0.02,-0.60,0.05,0.51,0.65,0.83,1.08,1.10,1.37,1.77,1.76,2.03,1.97,2.48,2.73,2.95,3.33,1.25,4.29,3.47,0.92,5.27,6.31,8.90
27,Weighted Average Shares Outstanding,- -,109145427,128990793,132912000,240429000,243456000,244743000,251304000,215493000,188691000,197454000,201524000,207040000,211786000,210298896,207207770,203008746,189316054,192035878,209939364,212301827,211867714,201641173,188625559,170785999,153180908,119797000,105230000
28,Weighted Average Shares Outstanding Diluted,- -,118636334,128990793,135906000,245103000,243456000,249471000,310362000,271440000,227520000,205722000,208136000,211586000,214836000,211879450,208335370,206118342,193064220,195942160,214763887,216927681,216251807,204904656,191348533,172364581,153812064,122623000,109948000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/927066/000103221002000327/d10k405.htm,https://www.sec.gov/Archives/edgar/data/927066/000089843003001750/d10k.htm,https://www.sec.gov/Archives/edgar/data/927066/000119312504031173/d10k.htm,https://www.sec.gov/Archives/edgar/data/927066/000119312505041002/d10k.htm,https://www.sec.gov/Archives/edgar/data/927066/000119312506045993/d10k.htm,https://www.sec.gov/Archives/edgar/data/927066/000119312507041368/d10k.htm,https://www.sec.gov/Archives/edgar/data/927066/000119312508042304/d10k.htm,https://www.sec.gov/Archives/edgar/data/927066/000119312509040883/0001193125-09-040883-index.html,https://www.sec.gov/Archives/edgar/data/927066/000119312510040773/0001193125-10-040773-index.html,https://www.sec.gov/Archives/edgar/data/927066/000119312511046882/d10k.htm,https://www.sec.gov/Archives/edgar/data/927066/000119312512077942/0001193125-12-077942-index.html,https://www.sec.gov/Archives/edgar/data/927066/000119312513085450/0001193125-13-085450-index.html,https://www.sec.gov/Archives/edgar/data/927066/000119312514062565/d637385d10k.htm,https://www.sec.gov/Archives/edgar/data/927066/000156459015001035/dva-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/927066/000156459016013587/0001564590-16-013587-index.html,https://www.sec.gov/Archives/edgar/data/927066/000156459017002409/0001564590-17-002409-index.html,https://www.sec.gov/Archives/edgar/data/927066/000092706618000030/0000927066-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/927066/000092706619000025/0000927066-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/927066/000092706620000014/0000927066-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/927066/000092706621000008/0000927066-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/927066/000092706622000012/0000927066-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,19900000,5400000,41500000,107981000,31207000,36711000,96475000,61657000,251979000,431811000,310202000,447046000,410881000,539459000,860117000,393752000,533748000,946249000,965241000,1499116000,913187000,508234000,323038000,1102372000,324958000,461900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40278000,35532000,26475000,23003000,17399000,7138000,6801000,337399000,408084000,310198000,43516000,2935000,11572000,20101000,22310000
33,Cash and Short-Term Investments,- -,- -,19900000,5400000,41500000,107981000,31207000,36711000,96475000,61657000,251979000,431811000,310202000,487324000,446413000,565934000,883120000,411151000,540886000,953050000,1302640000,1907200000,1223385000,551750000,325973000,1113944000,345059000,484210000
34,Net Receivables,- -,- -,91300000,153000000,416800000,435974000,293242000,333546000,344292000,387933000,462095000,970180000,1081227000,1126693000,1346760000,1369359000,1393672000,1464995000,1742428000,1844568000,2010604000,2220183000,2381381000,2137109000,2397018000,2305065000,2438821000,2410508000
35,Inventory,- -,- -,6000000,8700000,23500000,32916000,20641000,34901000,34929000,32853000,31843000,69130000,89119000,80173000,84174000,70041000,76008000,75731000,78126000,88805000,136085000,185575000,164858000,181799000,107381000,97949000,111625000,107428000
36,Other Current Assets,- -,- -,14100000,19000000,77700000,77877000,52785000,69506000,68830000,122615000,122803000,183287000,228948000,282060000,250957000,297187000,270054000,329731000,517354000,585855000,427468000,190322000,210604000,5873700000,5593787000,173212000,253219000,165577000
37,Total Current Assets,- -,- -,131300000,186100000,559500000,654748000,397875000,474664000,544526000,605058000,868720000,1654408000,1709496000,1976250000,2128304000,2302521000,2622854000,2281608000,2878794000,3472278000,3876797000,4503280000,3980228000,8744358000,8424159000,3690170000,3148724000,3167723000
38,PP&E,- -,- -,58300000,100100000,233300000,285449000,236659000,252778000,298475000,342447000,412064000,750078000,849966000,939326000,1048075000,1104925000,1170808000,1432651000,1872370000,2189411000,2469099000,2788740000,3175367000,3149213000,3393669000,6303431000,6384913000,6304759000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3667853000,3767933000,3876931000,3951196000,4091307000,4946976000,8964969000,9212974000,9415295000,9294479000,9407317000,6610279000,6841960000,6787635000,6919109000,7046241000
40,Intangible Assets,- -,- -,180600000,389700000,1084400000,1069672000,921623000,928868000,927945000,984159000,1216945000,3830327000,203721000,183042000,160521000,136732000,162635000,159491000,2127778000,2024373000,1949498000,1687326000,1527767000,113827000,118846000,135684000,166585000,177693000
41,Intangible Assets,- -,- -,180600000,389700000,1084400000,1069672000,921623000,928868000,927945000,984159000,1216945000,3830327000,3871574000,3950975000,4037452000,4087928000,4253942000,5106467000,11092747000,11237347000,11364793000,10981805000,10935084000,6724106000,6960806000,6923319000,7085694000,7223934000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,15000000,42000000,25000000,30247000,34766000,37215000,94491000,120243000,155026000,167490000,606068000,283229000,260035000,278502000,289684000,288395000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,3900000,19400000,38400000,46849000,40475000,6373000,4747000,13866000,14230000,41949000,45780000,35409000,47260000,32615000,32054000,34231000,80194000,79598000,77000000,73560000,44510000,47287000,71583000,115972000,79501000,136677000
45,Total Non-Current Assets,- -,- -,242800000,509200000,1356100000,1401970000,1198757000,1188019000,1231167000,1340472000,1643239000,4625354000,4782320000,4967710000,5157787000,5255715000,5491570000,6610564000,13139802000,13626599000,14065918000,14011595000,14761029000,10203835000,10686093000,13621224000,13839792000,13953765000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,374100000,695300000,1915600000,2056718000,1596632000,1662683000,1775693000,1945530000,2511959000,6279762000,6491816000,6943960000,7286091000,7558236000,8114424000,8892172000,16018596000,17098877000,17942715000,18514875000,18741257000,18948193000,19110252000,17311394000,16988516000,17121488000
48,Accounts Payable,- -,- -,9800000,14500000,41900000,121561000,74882000,74630000,77890000,71868000,96231000,212049000,251686000,225461000,282883000,176657000,181033000,289653000,414143000,435465000,445453000,513950000,522415000,509116000,463270000,403840000,434253000,402049000
49,Short-Term Debt,- -,- -,2100000,2000000,21800000,26585000,1676000,9034000,7978000,50557000,53364000,71767000,20871000,23431000,72725000,100007000,74892000,87345000,227791000,274697000,120154000,129037000,165041000,178213000,1929369000,474620000,538038000,573387000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23064000,- -,37412000,17976000,18366000,25909000,29291000,27759000,28317000,28663000,78697000,46843000,95576000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,20100000,23300000,110800000,1550398000,172969000,215017000,206733000,240395000,292140000,705917000,839615000,837604000,807455000,770277000,668420000,776118000,1376240000,1751887000,1523045000,1756151000,2008989000,2353848000,2498522000,1493638000,1503852000,1423097000
53,Total Current Liabilities,- -,- -,32000000,39800000,174500000,1698544000,249527000,298681000,292601000,362820000,441735000,989733000,1112172000,1086496000,1163063000,1046941000,924345000,1153116000,2018174000,2462049000,2088652000,2399138000,2696445000,3041177000,4891161000,2372098000,2476143000,2398533000
54,Long-Term Debt,- -,- -,102600000,356600000,1225800000,5696000,974006000,811190000,1311252000,1117002000,1322468000,4085435000,3730380000,3683887000,3622421000,3562864000,4233850000,4417624000,8326534000,8141231000,8383280000,9001308000,8947327000,9158018000,8172847000,7977526000,10655933000,11401863000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,2900000,5100000,8200000,- -,- -,23441000,65930000,106240000,148859000,75499000,125642000,166055000,244884000,334855000,421436000,423098000,706748000,812419000,890701000,726962000,809128000,486247000,562536000,577543000,809600000,830954000
57,Other Non-Current Liabilities,- -,- -,900000,1000000,1900000,3497000,4855000,5012000,9417000,19310000,22570000,189847000,155339000,124755000,137419000,419417000,497659000,630209000,1039092000,1077637000,1219771000,1303295000,1438616000,1376685000,1575310000,4064985000,1480088000,1553990000
58,Total Non-Current Liabilities,- -,- -,106400000,362700000,1235900000,9193000,978861000,839643000,1386599000,1242552000,1493897000,4350781000,4011361000,3974697000,4004724000,4317136000,5152945000,5470931000,10072374000,10031287000,10493752000,11031565000,11195071000,11020950000,10310693000,12620054000,12945621000,13786807000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3067712000,3108167000,3067070000
61,Total Liabilities,- -,- -,138400000,402500000,1410400000,1707737000,1228388000,1138324000,1679200000,1605372000,1935632000,5340514000,5123533000,5061193000,5167787000,5364077000,6077290000,6624047000,12090548000,12493336000,12582404000,13430703000,13891516000,14062127000,15201854000,14992152000,15421764000,16185340000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,81000,82000,85000,89000,90000,135000,135000,135000,135000,135000,135000,135000,135000,135000,213000,216000,217000,195000,182000,166000,126000,110000,97000
64,Retained Earnings,- -,- -,-22100000,14800000,69000000,-94792000,-81307000,56008000,213337000,389128000,611287000,839930000,1129621000,1515290000,1889450000,2312134000,2717817000,3195818000,3731835000,3363989000,4087103000,4356835000,3710313000,3633713000,2743194000,1431738000,852537000,354337000
65,Other Comprehensive Income/Loss,- -,- -,-26400000,-38900000,-108100000,-141660000,-168842000,-216753000,-263070000,-924000,1730000,14806000,12997000,-2511000,-14339000,-5548000,503000,-19484000,-15297000,-2645000,-25017000,-59826000,-89643000,13235000,-34924000,-47498000,-66154000,-139247000
66,Other Total Stockholders Equity,- -,- -,284200000,316900000,544300000,585352000,618311000,685019000,119908000,-81423000,-90018000,-4262000,103171000,219336000,77212000,-171655000,-740033000,-1035394000,46464000,1070922000,1108211000,573554000,1027182000,1042899000,995006000,749043000,597073000,540321000
67,Total Stockholders Equity,- -,- -,235700000,292800000,505200000,348981000,368244000,524359000,70264000,306871000,523134000,850609000,1245924000,1732250000,1952458000,2135066000,1978422000,2141075000,3763137000,4432479000,5170513000,4870780000,4648047000,4690029000,3703442000,2133409000,1383566000,755508000
68,Total Liabilities And Stockholders Equity,- -,- -,374100000,695300000,1915600000,2056718000,1596632000,1662683000,1749464000,1912243000,2458766000,6191123000,6369457000,6793443000,7120245000,7499143000,8055712000,8765122000,15853685000,16925815000,17752917000,18301483000,18539563000,18752156000,18905296000,17125561000,16805330000,16940848000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,26229000,33287000,53193000,88639000,122359000,150517000,165846000,59093000,58712000,127050000,164911000,173062000,189798000,213392000,201694000,196037000,204956000,185833000,183186000,180640000
70,Total Liabilities & Equity,- -,- -,374100000,695300000,1915600000,2056718000,1596632000,1662683000,1775693000,1945530000,2511959000,6279762000,6491816000,6943960000,7286091000,7558236000,8114424000,8892172000,16018596000,17098877000,17942715000,18514875000,18741257000,18948193000,19110252000,17311394000,16988516000,17121488000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/927066/000103221002000327/d10k405.htm,https://www.sec.gov/Archives/edgar/data/927066/000089843003001750/d10k.htm,https://www.sec.gov/Archives/edgar/data/927066/000119312504031173/d10k.htm,https://www.sec.gov/Archives/edgar/data/927066/000119312505041002/d10k.htm,https://www.sec.gov/Archives/edgar/data/927066/000119312506045993/d10k.htm,https://www.sec.gov/Archives/edgar/data/927066/000119312507041368/d10k.htm,https://www.sec.gov/Archives/edgar/data/927066/000119312508042304/d10k.htm,https://www.sec.gov/Archives/edgar/data/927066/000119312509040883/0001193125-09-040883-index.html,https://www.sec.gov/Archives/edgar/data/927066/000119312510040773/0001193125-10-040773-index.html,https://www.sec.gov/Archives/edgar/data/927066/000119312511046882/d10k.htm,https://www.sec.gov/Archives/edgar/data/927066/000119312512077942/0001193125-12-077942-index.html,https://www.sec.gov/Archives/edgar/data/927066/000119312513085450/0001193125-13-085450-index.html,https://www.sec.gov/Archives/edgar/data/927066/000119312514062565/d637385d10k.htm,https://www.sec.gov/Archives/edgar/data/927066/000156459015001035/dva-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/927066/000156459016013587/0001564590-16-013587-index.html,https://www.sec.gov/Archives/edgar/data/927066/000156459017002409/0001564590-17-002409-index.html,https://www.sec.gov/Archives/edgar/data/927066/000092706618000030/0000927066-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/927066/000092706619000025/0000927066-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/927066/000092706620000014/0000927066-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/927066/000092706621000008/0000927066-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/927066/000092706622000012/0000927066-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,9100000,16000000,37000000,-4300000,-147256000,13485000,137315000,157329000,175791000,222254000,228643000,289691000,381778000,374160000,422684000,405683000,478001000,536017000,633446000,723114000,269732000,879874000,663618000,159394000,810981000,773642000,978450000
74,Depreciation and Amortization,- -,4400000,15400000,27100000,92000000,112481000,111605000,105209000,64665000,74687000,86666000,119719000,173295000,193470000,216917000,228986000,234378000,267315000,343908000,528119000,590935000,638024000,720252000,777485000,591035000,615152000,630435000,680615000
75,Deferred Income Tax,- -,-500000,700000,-700000,-16000000,-21546000,8906000,10093000,62468000,20914000,29115000,-63357000,2342000,18601000,94912000,50869000,75399000,91637000,132729000,21518000,270074000,107493000,80407000,-395217000,273660000,41723000,240848000,60483000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44422000,45551000,48718000,45384000,59998000,56743000,56664000,38338000,35092000,73061000,67850000,91458000,102209000
77,Change in Working Capital,- -,- -,99300000,47000000,238700000,-1428796000,1192144000,27635000,75942000,-9687000,184747000,237690000,-67351000,292430000,75487000,290339000,442929000,-570017000,-267872000,149609000,777916000,315997000,-820359000,4419398000,-2170183000,-2214926000,-645491000,-140639000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32313000,55379000,-88848000,-47673000,-59640000,-40676000,-202867000,-152240000,-156305000,-81176000,-79957000,-21087000,-138140000
79,Inventory,- -,-300000,-2000000,-1300000,-7200000,-8742000,9402000,-13575000,-342000,3159000,4257000,11980000,-18587000,11271000,-2715000,15115000,-3892000,10270000,4052000,-8971000,-46398000,-48313000,22920000,-18625000,73505000,10158000,-12349000,5720000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-104879000,4228000,84400000,40878000,16666000,-2956000,30998000,11897000,26876000,-35959000,-84539000,37200000,-30320000
81,Other Working Capital,- -,- -,99300000,146300000,385000000,-1043796000,148348000,175983000,251925000,242238000,426985000,664675000,597324000,889754000,965241000,1255580000,1698509000,1128492000,860620000,1010229000,1788145000,2104142000,1283783000,5703181000,3532998000,1318072000,672581000,20204000
82,Other Non-Cash Items,- -,-6700000,-113000000,-104600000,-292800000,1654060000,-1018492000,-7519000,-18409000,31943000,-102837000,-37141000,121594000,-353243000,-205545000,-370590000,-364257000,864392000,310682000,380651000,-959375000,169290000,1064932000,-3592927000,2844673000,2751575000,888136000,249758000
83,Cash Provided by Operating Activities,- -,6300000,18400000,5800000,17600000,168943000,307648000,272733000,341995000,293648000,419945000,485554000,519571000,533036000,555931000,666710000,839683000,1180046000,1100848000,1773341000,1459407000,1557200000,1963444000,1907449000,1771640000,2072355000,1979028000,1930876000
84,CAPEX,- -,-4700000,-33000000,-36900000,-421200000,-106657000,-41088000,-51233000,-102712000,-100272000,-128328000,-161365000,-268305000,-274503000,-318027000,-274934000,-273602000,-400156000,-550146000,-617597000,-642348000,-707998000,-829095000,-905250000,-987138000,-766546000,-674541000,-641465000
85,Acquisitions Net,- -,- -,- -,- -,- -,-154226000,- -,-66939000,-18511000,-97370000,-265042000,-3202404000,-86504000,-144644000,-126368000,-87617000,-188502000,-1077442000,-4296259000,-314090000,-307476000,-114380000,-550032000,-808695000,-202333000,-110227000,-204354000,-200974000
86,Purchases of Investments,- -,-1000000,- -,- -,- -,-25380000,- -,- -,- -,- -,- -,- -,- -,-75146000,-23057000,-26826000,-58449000,-45997000,-11353000,-13484000,-481068000,-1718666000,-1146731000,-244106000,-14411000,-106920000,-154458000,-33836000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20567000,37069000,42646000,35620000,61193000,49184000,21741000,5534000,143547000,1639416000,1259465000,498878000,44388000,99052000,154704000,27879000
88,Other Investing Activites,- -,-29400000,-138500000,-239300000,-53900000,-11167000,134443000,25206000,4722000,3666000,13709000,318406000,- -,18463000,30316000,7368000,22727000,75183000,3567000,62755000,8598000,19844000,64725000,92442000,153851000,3879981000,53278000,63663000
89,Cash Used for Investing Activites,- -,-35100000,-171500000,-276200000,-475100000,-297430000,93355000,-92966000,-116501000,-193976000,-379661000,-3045363000,-334242000,-438761000,-394490000,-346060000,-436633000,-1399228000,-4832450000,-876882000,-1277729000,-881784000,-1201668000,-1366731000,-1005643000,2995340000,-825371000,-784733000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18828824000,-24134502000,-36249584000,-39286027000,-66724104000,-60046487000,-53922290000,-52115932000,-50837112000,-59239973000,-40606041000,-4110304000,-861115000
91,Common Stock Issued,- -,100700000,129300000,2500000,21500000,2046000,2658000,19560000,29257000,23056000,43432000,43919000,40593000,62902000,40247000,22446000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-20360000,-642171000,-107162000,-96540000,- -,- -,-6350000,-232715000,-160354000,-618496000,-323348000,- -,- -,- -,-549935000,-1097822000,-802949000,-1161511000,-2383816000,-1459417000,-1598627000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-7942000,- -,- -,- -,- -,- -,- -,- -,-67748000,-83591000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-43700000,13500000,253400000,471300000,197653000,-480435000,-165521000,447184000,-50384000,203146000,2695722000,-369710000,-26272000,-5668000,18842408000,24754197000,36325749000,43158411000,66241113000,59881508000,54333255000,51861773000,50873804000,59776130000,38293407000,3722944000,1376776000
95,Cash Used/Provided by Financing Activities,- -,57000000,142800000,255900000,492800000,199699000,-477777000,-174263000,-165730000,-134490000,150038000,2739641000,-329117000,30280000,-198136000,-192072000,-82392000,-247183000,3872384000,-482991000,-164979000,-138970000,-1351981000,-766257000,-625354000,-4696450000,-1846777000,-1082966000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-4718000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-786000,-967000,2293000,-2571000,4276000,254000,-3350000,-1760000,-13808000,-10007000
97,Net Change In Cash,- -,57000000,- -,- -,- -,66494000,-76774000,5504000,59764000,-34818000,190322000,179832000,-121609000,136844000,-36165000,128578000,320658000,-466365000,139996000,412501000,18992000,533875000,-585929000,-166542000,-103500000,793298000,-706928000,53170000
