,https://roic.ai/company/HAS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,461600000,562900000,617400000,616000000,637100000,722100000,1018200000,1184600000,1314100000,940100000,1407800000,1021700000,1207500000,1188900000,1494700000,2216061000,1211800000,1201600000,1257600000,1229600000,1243500000,1471233000,1424800000,1834496000,1803013000,1470800000,1516100000,1563200000,1613400000,1638100000,1699298000,1916778000,1960242000,2046256000,1845779000,2456194000,3000400000
11,COGS and Expenses,998300000,1134000000,1212600000,1203900000,1239600000,1359700000,1903700000,2216600000,2396000000,2374600000,2553600000,2670100000,2953500000,2979600000,3904700000,3783576000,2645000000,2596900000,2794000000,2704500000,2777100000,2775118000,3318200000,3527224000,3479349000,3409400000,3691600000,3537200000,3615100000,3641800000,3755576000,4231774000,4399423000,4248594000,4068177000,4745063000,5548300000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17654000,2858000,5649000,6834000,6333000,4925000,3759000,3145000,9367000,22155000,22357000,30107000,7424000,5400000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47143000,61603000,82112000,89022000,91141000,105585000,93098000,97122000,97405000,98268000,90826000,101878000,201130000,179700000
14,Depreciation and Amortization,- -,- -,- -,- -,60000000,60200000,81800000,95600000,100700000,122300000,129900000,138300000,166600000,169200000,277300000,264221000,225899000,183838000,164123000,146180000,180132000,146707000,156520000,166138000,180963000,146330000,160468000,192087000,228675000,205052000,197776000,190401000,207634000,211864000,266372000,652031000,908700000
15,EBITDA,194900000,191900000,99600000,131400000,216800000,212700000,227400000,388000000,425900000,409600000,382500000,445200000,371100000,472700000,551200000,38235000,320999000,42138000,390823000,406280000,491032000,488181000,618920000,654336000,772263000,736210000,735916000,736631000,688354000,840728000,903779000,998524000,1092052000,573092000,962460000,1172301000,1663700000
16,EBITDA ratio,0.1580,0.1443,0.0740,0.0968,0.1538,0.1399,0.1062,0.1527,0.1550,0.1534,0.1338,0.1483,0.1164,0.1430,0.1302,0.0101,0.1124,0.0150,0.1245,0.1355,0.1590,0.1549,0.1613,0.1627,0.1898,0.1840,0.1717,0.1801,0.1686,0.1966,0.2032,0.1989,0.2096,0.1251,0.2039,0.2145,0.2591
17,Operating Income,235100000,195600000,132500000,154000000,170100000,160300000,237400000,324500000,351200000,295700000,304600000,332300000,360200000,344900000,391900000,3639000,211330000,219291000,344616000,293012000,310521000,376363000,519350000,494296000,588598000,587859000,593981000,551785000,467093000,635375000,691933000,788048000,810359000,331052000,652050000,501814000,763300000
18,Operating Income ratio,0.1906,0.1471,0.0985,0.1134,0.1207,0.1055,0.1109,0.1277,0.1278,0.1107,0.1066,0.1107,0.1130,0.1044,0.0926,0.0010,0.0740,0.0779,0.1098,0.0978,0.1006,0.1194,0.1353,0.1229,0.1447,0.1469,0.1386,0.1349,0.1144,0.1485,0.1556,0.1570,0.1555,0.0723,0.1381,0.0918,0.1189
19,Total Other Income Expenses (Gains),-40200000,-3700000,-32900000,-22600000,-13300000,-7800000,-91800000,-32300000,-26000000,-4100000,-52000000,-25400000,-155700000,-41400000,-118100000,-229625000,-115130000,-115191000,-100516000,-32912000,379000,-34889000,-56950000,-53241000,-58901000,-80159000,-107581000,-98385000,-115293000,-95375000,-88018000,-95559000,-24209000,-60650000,-57840000,-179752000,-181400000
20,Income Before Tax,194900000,191900000,99600000,131400000,156800000,152500000,145600000,292200000,325200000,291600000,252600000,306900000,204500000,303500000,273800000,-225986000,96200000,104100000,244100000,260100000,310900000,341474000,462400000,441055000,529697000,507700000,486400000,453400000,351800000,540000000,603915000,692489000,786150000,270402000,594210000,322062000,581900000
21,Income Before Tax Ratio,0.1580,0.1443,0.0740,0.0968,0.1112,0.1003,0.0680,0.1150,0.1184,0.1092,0.0884,0.1022,0.0641,0.0918,0.0647,-0.0597,0.0337,0.0370,0.0778,0.0868,0.1007,0.1084,0.1205,0.1097,0.1302,0.1269,0.1135,0.1109,0.0862,0.1263,0.1358,0.1380,0.1509,0.0590,0.1259,0.0589,0.0906
22,Income Tax expense (Gain),95900000,92700000,51400000,59000000,64600000,63300000,63900000,113200000,125200000,112300000,97000000,107000000,69500000,97100000,84900000,-81355000,35400000,29000000,69000000,64100000,98800000,111419000,129400000,134289000,154767000,109968000,101026000,117403000,67894000,126678000,157043000,159338000,389543000,49968000,73756000,96621000,146600000
23,Net Income,99000000,99200000,48200000,72400000,92200000,89200000,81700000,179200000,200000000,175000000,155600000,199900000,135000000,206400000,189000000,-144631000,59700000,-170700000,157700000,196000000,212100000,230055000,333000000,306766000,374930000,397800000,385400000,336000000,286200000,415900000,451838000,551380000,396607000,220434000,520454000,222519000,428700000
24,Net Income ratio,0.0803,0.0746,0.0358,0.0533,0.0654,0.0587,0.0382,0.0705,0.0728,0.0655,0.0544,0.0666,0.0423,0.0625,0.0447,-0.0382,0.0209,-0.0606,0.0502,0.0654,0.0687,0.0730,0.0868,0.0763,0.0922,0.0994,0.0899,0.0822,0.0701,0.0972,0.1016,0.1098,0.0761,0.0481,0.1103,0.0407,0.0668
25,EPS,0.53,0.51,0.25,0.37,0.46,0.46,0.42,0.89,1.01,0.87,0.78,1.01,0.70,1.04,0.97,-0.82,0.35,-0.99,0.91,1.11,1.19,1.38,2.13,2.18,2.69,2.86,2.88,2.58,2.20,3.24,3.61,4.40,3.17,1.75,4.07,1.62,3.15
26,EPS Diluted,0.53,0.50,0.25,0.37,0.46,0.46,0.42,0.89,0.96,0.87,0.78,1.01,0.68,1.00,0.93,-0.82,0.35,-0.99,0.88,0.96,1.09,1.29,1.97,2.00,2.48,2.74,2.82,2.55,2.17,3.20,3.57,4.34,3.12,1.74,4.05,1.62,3.14
27,Weighted Average Shares Outstanding,181132075,189019608,182400000,188108108,200434783,193913043,194523810,201348315,198019802,200892857,198920455,197269737,192857143,198461538,194845361,176379268,170662857,172397980,173257143,176555856,178214286,166706522,156339437,140877000,139487000,139079000,133823000,130067000,130186000,128411000,125006000,125292000,125039000,126132000,127896000,137260000,138300000
28,Weighted Average Shares Outstanding Diluted,181132075,192800000,182400000,188108108,200434783,193913043,194523810,201348315,208333333,202448980,201142857,201600000,198529412,206400000,203225806,176379268,170662857,174157143,179163636,204142708,194564220,178337209,169037056,155230000,152780000,145670000,136697000,131926000,131788000,129886000,126688000,126966000,127031000,126890000,128499000,137554000,138700000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/46080/000004608095000005/0000046080-95-000005-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/46080/000091205702012556/a2073921z10-k405.htm,https://www.sec.gov/Archives/edgar/data/46080/000104746903010819/a2105770z10-k.htm,https://www.sec.gov/Archives/edgar/data/46080/000104746904007655/a2130162z10-k.htm,https://www.sec.gov/Archives/edgar/data/46080/000104746905005891/a2152676z10-k.htm,https://www.sec.gov/Archives/edgar/data/46080/000095013506001133/b58828hce10vk.htm,https://www.sec.gov/Archives/edgar/data/46080/000095013507001259/b63637hoe10vk.htm,https://www.sec.gov/Archives/edgar/data/46080/000095013508001244/b68106hie10vk.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/46080/000095012311017113/b84226e10vk.htm,https://www.sec.gov/Archives/edgar/data/46080/000119312512072846/0001193125-12-072846-index.html,https://www.sec.gov/Archives/edgar/data/46080/000119312513080002/0001193125-13-080002-index.html,https://www.sec.gov/Archives/edgar/data/46080/000119312514069828/d635020d10k.htm,https://www.sec.gov/Archives/edgar/data/46080/000119312515064946/d873185d10k.htm,https://www.sec.gov/Archives/edgar/data/46080/000119312516475520/0001193125-16-475520-index.html,https://www.sec.gov/Archives/edgar/data/46080/000119312517052143/0001193125-17-052143-index.html,https://www.sec.gov/Archives/edgar/data/46080/000119312518058659/0001193125-18-058659-index.html,https://www.sec.gov/Archives/edgar/data/46080/000119312519052025/0001193125-19-052025-index.html,https://www.sec.gov/Archives/edgar/data/46080/000004608020000028/0000046080-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/46080/000004608021000035/0000046080-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/46080/000004608022000023/0000046080-22-000023-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,137000000,161000000,219000000,361800000,177700000,280200000,127115000,233100000,495400000,520700000,725000000,942300000,715400000,774500000,630390000,636045000,727800000,641700000,849700000,682400000,893200000,976750000,1282285000,1581234000,1182371000,4580369000,1449676000,983400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,137000000,161000000,219000000,361800000,177700000,280200000,127115000,233100000,495400000,520700000,725000000,942300000,715400000,774500000,630390000,636045000,727800000,641700000,849700000,682400000,893200000,976750000,1282285000,1581234000,1182371000,4580369000,1449676000,983400000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,717900000,791100000,807100000,783000000,958800000,1084100000,685975000,572500000,555100000,607600000,578700000,523200000,556287000,654800000,611766000,1038802000,961300000,1034600000,1030000000,1093600000,1094700000,1217850000,1319963000,1405399000,1188052000,1410597000,1391726000,1500400000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,244400000,315600000,273200000,242700000,334800000,408600000,335493000,217500000,190100000,169000000,194800000,179400000,203337000,259100000,300463000,207895000,364200000,334000000,316000000,348800000,339600000,384492000,387675000,433293000,443383000,446105000,395633000,552100000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,153200000,157800000,187300000,186400000,318700000,358800000,431630000,345500000,191000000,212000000,219700000,185300000,243291000,199800000,171387000,162290000,167700000,243400000,312500000,355700000,391600000,286506000,237684000,214000000,268698000,310450000,609610000,692200000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1252500000,1425500000,1486600000,1573900000,1790000000,2131700000,1580213000,1368600000,1431600000,1509300000,1718200000,1830200000,1718315000,1888200000,1714006000,2045032000,2221000000,2253700000,2508200000,2480500000,2719100000,2865598000,3227607000,3633926000,3082504000,6747521000,3846645000,3728100000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,308900000,313200000,313500000,280600000,330400000,318800000,296729000,235400000,213500000,199900000,206900000,164000000,181726000,188000000,211707000,220706000,233600000,218000000,230400000,236300000,237500000,237527000,267398000,259710000,256473000,382248000,489041000,421100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,480000000,- -,460500000,486500000,704300000,806100000,803189000,761600000,461000000,463700000,469700000,467100000,469938000,471200000,474497000,475931000,474800000,474800000,474900000,594300000,593400000,592695000,570555000,573063000,485881000,494584000,3691709000,3419600000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,295300000,817000000,365000000,478800000,837900000,949800000,902893000,805000000,715700000,710600000,637900000,613400000,532257000,486200000,568412000,554567000,500600000,467300000,416700000,376000000,324500000,280807000,245949000,217382000,693842000,646305000,1530835000,1172000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,775300000,817000000,825500000,965300000,1542200000,1755900000,1706082000,1566600000,1176700000,1174300000,1107600000,1080500000,1002195000,957400000,1042909000,1030498000,975400000,942100000,891600000,970300000,917900000,873502000,816504000,790445000,1179723000,1140889000,5222544000,4591600000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,4700000,8747000,5452000,- -,5910000,2606000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,41700000,60700000,75900000,79900000,131200000,256900000,245435000,198400000,321100000,279900000,208000000,226400000,194669000,203500000,200175000,600656000,663200000,717000000,695200000,713700000,652900000,735343000,774405000,605902000,738378000,582364000,1260155000,1297000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1125900000,1190900000,1214900000,1325800000,2003800000,2331600000,2248246000,2000400000,1711300000,1654100000,1522500000,1470900000,1378590000,1348900000,1454791000,1851860000,1872200000,1877100000,1817200000,1921800000,1813000000,1855119000,1863759000,1656057000,2180484000,2108107000,6971740000,6309700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2378400000,2616400000,2701500000,2899700000,3793800000,4463300000,3828459000,3369000000,3142900000,3163400000,3240700000,3301100000,3096905000,3237100000,3168797000,3896892000,4093200000,4130800000,4325400000,4402300000,4532100000,4720717000,5091366000,5289983000,5262988000,8855628000,10818385000,10037800000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,165400000,198300000,174300000,179200000,209100000,284800000,191749000,123100000,166300000,159000000,167600000,152500000,160015000,186200000,184453000,173388000,132500000,134900000,139900000,198800000,212500000,241210000,319525000,348476000,333521000,343927000,425500000,580200000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,81800000,120000000,120700000,122000000,372200000,714700000,228085000,34000000,21100000,23400000,18000000,14700000,10582000,10200000,7586000,14113000,14600000,180400000,224400000,8300000,252500000,164563000,172582000,154957000,9740000,503000,439197000,200900000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83814000,103067000,55459000,35416000,63549000,80388000,- -,46074000,36651000,81878000,125900000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50759000,46766000,161018000,114100000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,516500000,551600000,535800000,702300000,785000000,1071800000,819978000,601500000,779500000,747700000,963000000,743500000,735296000,691300000,607853000,628387000,571700000,627000000,596100000,1156200000,609900000,658874000,1125752000,748264000,880304000,865886000,1377626000,1560700000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,763700000,869900000,830800000,1003500000,1366300000,2071300000,1239812000,758600000,966900000,930100000,1148600000,910700000,905893000,887700000,799892000,815888000,718800000,942300000,960400000,1363300000,1074900000,1064647000,1617859000,1251697000,1274324000,1257082000,2403341000,2455900000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000000,150000000,149400000,- -,407200000,420700000,1167838000,1165600000,857300000,686900000,302700000,495600000,494917000,709700000,709723000,1131998000,1397700000,1400900000,1396400000,959900000,1559900000,1547115000,1198679000,1693609000,1695092000,4046457000,4660015000,3824200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105618000,103987000,90882000,75343000,78592000,64174000,- -,37256000,52823000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,69300000,70900000,69300000,58100000,75600000,92400000,93403000,91900000,127300000,141100000,149600000,171400000,158205000,254600000,268396000,354234000,361300000,264482000,357213000,305818000,356357000,366461000,347918000,514720000,501830000,503736000,818292000,694600000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,219300000,220900000,218700000,58100000,482800000,513100000,1261241000,1257500000,984600000,828000000,452300000,667000000,653122000,964300000,978119000,1486232000,1759000000,1771000000,1857600000,1356600000,1991600000,1992168000,1610771000,2208329000,2234178000,4603016000,5478307000,4518800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,983000000,1090800000,1049500000,1061600000,1849100000,2584400000,2501053000,2016100000,1951500000,1758100000,1600900000,1577700000,1559015000,1852000000,1778011000,2302120000,2477800000,2713300000,2818000000,2719900000,3066500000,3056815000,3228630000,3460026000,3508502000,5860098000,7881648000,6974700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,44000000,- -,66100000,69900000,104800000,104800000,104847000,104800000,104800000,104800000,104800000,104800000,104847000,104800000,104847000,104847000,104800000,104800000,104800000,104800000,104800000,104847000,104847000,104847000,104847000,110143000,110143000,110100000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1071400000,1201200000,1362800000,1458300000,1621800000,1764100000,1583394000,1622400000,1431000000,1567700000,1721200000,1869000000,2020348000,2261600000,2456650000,2720549000,2978300000,3205400000,3354500000,3432200000,3630100000,3852321000,4148722000,4260222000,4184374000,4354619000,4204184000,4257800000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,-187700000,43000000,-9400000,-19200000,-66000000,-253533000,-142800000,-94800000,59600000,164600000,15000000,11000000,75000000,62256000,58631000,8000000,-36000000,-72000000,-34000000,-95000000,-146000000,-195000000,-239000000,-295000000,-184000000,-194953000,-235300000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,251000000,512100000,180100000,319300000,237400000,76100000,- -,- -,-249634000,-326860000,-350876000,-265324000,-598305000,-1056308000,-1232967000,-1289255000,-1475680000,-1856685000,-1879921000,-1820657000,-2174236000,-2147266000,-2195833000,-2296112000,-2239735000,-1285232000,-1222685000,-1106700000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1395400000,1525600000,1652000000,1838100000,1944800000,1879000000,1327406000,1352900000,1191366000,1405240000,1639724000,1723476000,1537890000,1385092000,1390786000,1594772000,1615420000,1417515000,1507379000,1682343000,1465664000,1663902000,1862736000,1829957000,1754486000,2995530000,2896689000,3025900000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2378400000,2616400000,2701500000,2899700000,3793900000,4463400000,3828459000,3369000000,3142866000,3163340000,3240624000,3301176000,3096905000,3237092000,3168797000,3896892000,4093220000,4130815000,4325379000,4402243000,4532164000,4720717000,5091366000,5289983000,5262988000,8855628000,10778337000,10000600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,- -,- -,34000,60000,76000,-76000,- -,8000,- -,- -,-20000,-15000,21000,57000,-64000,- -,- -,- -,- -,- -,40048000,37200000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2378400000,2616400000,2701500000,2899700000,3793800000,4463300000,3828459000,3369000000,3142900000,3163400000,3240700000,3301100000,3096905000,3237100000,3168797000,3896892000,4093200000,4130800000,4325400000,4402300000,4532100000,4720717000,5091366000,5289983000,5262988000,8855628000,10818385000,10037800000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/46080/000004608095000005/0000046080-95-000005-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/46080/000091205702012556/a2073921z10-k405.htm,https://www.sec.gov/Archives/edgar/data/46080/000104746903010819/a2105770z10-k.htm,https://www.sec.gov/Archives/edgar/data/46080/000104746904007655/a2130162z10-k.htm,https://www.sec.gov/Archives/edgar/data/46080/000104746905005891/a2152676z10-k.htm,https://www.sec.gov/Archives/edgar/data/46080/000095013506001133/b58828hce10vk.htm,https://www.sec.gov/Archives/edgar/data/46080/000095013507001259/b63637hoe10vk.htm,https://www.sec.gov/Archives/edgar/data/46080/000095013508001244/b68106hie10vk.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/46080/000095012311017113/b84226e10vk.htm,https://www.sec.gov/Archives/edgar/data/46080/000119312512072846/0001193125-12-072846-index.html,https://www.sec.gov/Archives/edgar/data/46080/000119312513080002/0001193125-13-080002-index.html,https://www.sec.gov/Archives/edgar/data/46080/000119312514069828/d635020d10k.htm,https://www.sec.gov/Archives/edgar/data/46080/000119312515064946/d873185d10k.htm,https://www.sec.gov/Archives/edgar/data/46080/000119312516475520/0001193125-16-475520-index.html,https://www.sec.gov/Archives/edgar/data/46080/000119312517052143/0001193125-17-052143-index.html,https://www.sec.gov/Archives/edgar/data/46080/000119312518058659/0001193125-18-058659-index.html,https://www.sec.gov/Archives/edgar/data/46080/000119312519052025/0001193125-19-052025-index.html,https://www.sec.gov/Archives/edgar/data/46080/000004608020000028/0000046080-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/46080/000004608021000035/0000046080-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/46080/000004608022000023/0000046080-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,92200000,89200000,81700000,179200000,200000000,175000000,155600000,199900000,135000000,206400000,189000000,-144631000,59700000,-170700000,157700000,196000000,212100000,230055000,333000000,306766000,374930000,397800000,385400000,336000000,286200000,415900000,451838000,551380000,396607000,220434000,520454000,222519000,428700000
74,Depreciation and Amortization,- -,- -,- -,- -,60000000,60200000,81800000,95600000,100700000,122300000,129900000,138300000,166600000,169200000,277300000,264221000,225899000,183838000,164123000,146180000,180132000,146707000,156520000,166138000,180963000,146330000,160468000,192087000,228675000,205052000,197776000,190401000,207634000,211864000,266372000,652031000,908700000
75,Deferred Income Tax,- -,- -,- -,- -,-5100000,-13400000,-20100000,2200000,2300000,-1200000,-9100000,-8100000,-40600000,1700000,-38700000,-67690000,38697000,5441000,22774000,34624000,-24032000,24967000,37578000,24994000,19136000,25172000,-2921000,-16086000,-19183000,-9755000,-18954000,-662000,112105000,-11094000,-14956000,30316000,36000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35221000,29912000,33392000,12463000,19434000,21272000,36152000,53880000,61624000,56032000,27892000,28044000,49748000,97800000
77,Change in Working Capital,- -,- -,- -,- -,38000000,- -,- -,- -,488800000,- -,66800000,100200000,-85400000,-146700000,-363300000,280001000,269599000,-145300000,114500000,-9600000,349900000,-107078000,188078000,-86386000,315030000,273056000,-190800000,236400000,-430600000,527000000,156751000,-191203000,772481000,-574049000,3682259000,-4047135000,-123900000
