,https://roic.ai/company/WDFC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,800000,1300000,1300000,1200000,1200000,1500000,17100000,13900000,12800000,10900000,16500000,3300000,3400000,10500000,5800000,7199000,7119000,6675000,6656000,7831000,11544000,9189000,7604000,9951000,10902000,13597000,10302000,10077000,11882000,14194000,11951000,4475000,8007000,13337000,7216000,6756000,9948000
37,Total Current Assets,30800000,36200000,36700000,40700000,41100000,43200000,43900000,41400000,43200000,45500000,49600000,37600000,42400000,49800000,52100000,46362000,55867000,67663000,95261000,84229000,101192000,115540000,130571000,119485000,120777000,150408000,143156000,166117000,192143000,215654000,205252000,209472000,224854000,167983000,147995000,185154000,241219000
38,PP&E,2000000,2100000,2100000,2300000,3000000,2900000,3000000,2900000,3100000,3200000,3500000,3900000,4200000,3600000,3900000,4835000,6385000,6196000,6523000,7081000,8355000,8940000,8811000,11309000,10930000,9322000,8482000,9063000,8535000,9702000,11376000,11545000,29439000,36357000,45076000,68927000,78969000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96118000,96409000,95909000,95424000,95235000,95452000,95318000,95236000,95499000,96409000,95649000,95597000,95621000,95347000,95731000,95869000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14400000,13400000,12500000,30800000,28254000,86642000,129375000,127967000,139260000,138742000,42722000,42543000,39992000,32205000,31272000,29933000,27685000,24292000,23671000,22961000,19191000,16244000,13513000,10652000,8633000,7244000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14400000,13400000,12500000,30800000,28254000,86642000,129375000,127967000,139260000,138742000,138840000,138952000,135901000,127629000,126507000,125385000,123003000,119528000,119170000,119370000,114840000,111841000,109134000,105999000,104364000,103113000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9548000,5402000,642000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,621000,495000,511000,403000,464000,858000
44,Other Non-Current Assets,100000,200000,300000,300000,400000,700000,900000,9200000,12500000,6200000,6500000,5800000,5400000,5000000,5200000,5499000,8194000,6409000,6265000,6205000,5964000,5155000,4852000,3978000,3281000,2871000,2754000,2687000,2858000,3154000,3259000,3190000,3088000,3074000,3189000,3728000,6044000
45,Total Non-Current Assets,2100000,2300000,2400000,2600000,3400000,3600000,3900000,12100000,15600000,9400000,10000000,24100000,23000000,21100000,39900000,38588000,110769000,147382000,141397000,152546000,153061000,152935000,152615000,151188000,141840000,138700000,136621000,134753000,130921000,132026000,134005000,130196000,144863000,149076000,154667000,177483000,188984000
