,https://roic.ai/company/APH,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,542100000,695200000,766400000,691300000,677100000,689900000,710700000,737200000,807400000,836400000,1004322000,1026743000,1078908000,1181384000,1306711000,1932540000,2195397000,2675733000,2994159000,3219184000,4015857000,4445225000,5215463000,6168028000,7027000000,7458400000,8498700000,10003900000,10044900000,10815500000,12327300000,14678000000
48,Accounts Payable,- -,31200000,41400000,41200000,47100000,51700000,49500000,64300000,67900000,71500000,122010000,80501000,88533000,116835000,134856000,177266000,234868000,295391000,305950000,292122000,384963000,377867000,496525000,549942000,618400000,587800000,678200000,875600000,890500000,866800000,1120700000,1312000000
49,Short-Term Debt,20400000,23000000,29600000,27300000,13900000,2700000,7800000,200000,1700000,16800000,28130000,59705000,78363000,10679000,16909000,15030000,3241000,1075000,439000,399000,352000,298000,100293000,701437000,1600000,300000,375200000,1100000,764300000,403300000,230300000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65846000,57272000,65311000,87315000,94341000,96388000,90800000,81800000,125100000,154200000,203500000,127900000,112600000,88000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,53600000,36600000,34900000,31700000,49200000,50000000,39600000,52800000,54600000,57600000,92399000,63194000,69018000,90128000,125807000,143634000,209550000,224015000,328443000,210638000,269675000,264250000,291696000,358499000,425600000,420300000,581800000,702700000,796500000,862600000,953300000,1135000000
53,Total Current Liabilities,74000000,90800000,105900000,100200000,110200000,104400000,96900000,117300000,124200000,145900000,242539000,203400000,235914000,217642000,277572000,335930000,447659000,520481000,634832000,503159000,654990000,642415000,888514000,1609878000,1045600000,1008400000,1635200000,1579400000,2451300000,2132700000,2304300000,2447000000
54,Long-Term Debt,396300000,333800000,458400000,364600000,234300000,195200000,219500000,937300000,952500000,745700000,700216000,660614000,565885000,532280000,432144000,765970000,677173000,721561000,786020000,753050000,799640000,1376831000,1606204000,1431437000,2672300000,2813200000,2635500000,3541500000,2806400000,3203400000,3636200000,4795000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,424000000
56,Deferred Tax Liabilities,- -,- -,23900000,20800000,24100000,18800000,18700000,25700000,23000000,26000000,32333000,58796000,7709000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,241200000,255600000,260400000,299100000,424000000
