,https://roic.ai/company/PTC,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,75199180,74666667,82400000,84400000,90315789,92000000,103236800,106568800,106846400,108375000,108454545,108920000,109520000,104023333,106248649,107081600,108535600,109849000,112734000,113703000,114950000,115639000,117579000,118705000,121240000,119984000,116012000,114612000,117356000,116390000,117724000,115663000,116836000
28,Weighted Average Shares Outstanding Diluted,75199180,74666667,82400000,84400000,90315789,92000000,103236800,106568800,107746400,111870968,110976744,108920000,109520000,104023333,106248649,109273200,111980800,113382000,117494000,117870000,117359000,119925000,120974000,118705000,121240000,119984000,116012000,114612000,117356000,118158000,117724000,116267000,118367000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/857005/000095010995005433/0000950109-95-005433-index.html,https://www.sec.gov/Archives/edgar/data/857005/000092701696002061/0000927016-96-002061-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/857005/000092701603000282/d10k.htm,https://www.sec.gov/Archives/edgar/data/857005/000119312503099084/d10k.htm,https://www.sec.gov/Archives/edgar/data/857005/000119312504212702/d10k.htm,https://www.sec.gov/Archives/edgar/data/857005/000119312505242673/d10k.htm,https://www.sec.gov/Archives/edgar/data/857005/000119312506253501/d10k.htm,https://www.sec.gov/Archives/edgar/data/857005/000095013507007240/0000950135-07-007240-index.html,https://www.sec.gov/Archives/edgar/data/857005/000119312508244400/0001193125-08-244400-index.html,https://www.sec.gov/Archives/edgar/data/857005/000119312509241507/0001193125-09-241507-index.html,https://www.sec.gov/Archives/edgar/data/857005/000119312510267323/0001193125-10-267323-index.html,https://www.sec.gov/Archives/edgar/data/857005/000119312511320097/0001193125-11-320097-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700512000031/0000857005-12-000031-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700513000038/0000857005-13-000038-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700514000032/0000857005-14-000032-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700515000042/0000857005-15-000042-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700516000071/0000857005-16-000071-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700517000021/0000857005-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700518000025/0000857005-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/857005/000085700519000040/0000857005-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/857005/000156459020054803/0001564590-20-054803-index.htm,https://www.sec.gov/Archives/edgar/data/857005/000156459021057806/0001564590-21-057806-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3300000,5500000,15700000,47000000,68200000,138600000,145600000,201600000,154200000,206000000,239800000,325872000,217369000,178825000,205312000,294887000,204423000,183448000,263271000,256941000,235122000,240253000,167878000,489543000,241913000,293654000,273417000,277935000,280003000,259946000,269579000,275458000,326532000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101200000,22969000,13906000,27905000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18695000,18408000,25836000,27891000,28129000,- -
33,Cash and Short-Term Investments,3300000,5500000,15700000,47000000,68200000,138600000,145600000,201600000,154200000,206000000,341000000,348841000,231275000,206730000,205312000,294887000,204423000,183448000,263271000,256941000,235122000,240253000,167878000,489543000,241913000,293654000,273417000,296630000,298411000,285782000,297470000,303587000,326532000
34,Net Receivables,3300000,8100000,12300000,23000000,93500000,126400000,80400000,117300000,154800000,189300000,221900000,183804000,185444000,157522000,140151000,130393000,147497000,181008000,217101000,201509000,166591000,169281000,230220000,217370000,229106000,235688000,197275000,161357000,152299000,129297000,372743000,415221000,541072000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,200000,19500000,20700000,29200000,3500000,6000000,173700000,243200000,382100000,198500000,142200000,95788000,98969000,136333000,70623000,97460000,71807000,73660000,114259000,139044000,144753000,158723000,194166000,172239000,209197000,202825000,233987000,184602000,215846000,218705000,112408000,114639000,205406000
37,Total Current Assets,6800000,33100000,48700000,99200000,165200000,271000000,399700000,562100000,691100000,593800000,705100000,628433000,515688000,500585000,416086000,522740000,423727000,438116000,594631000,597494000,546466000,568257000,592264000,879152000,680216000,732167000,704679000,642589000,666556000,633784000,782621000,833447000,1073010000
38,PP&E,1000000,900000,1100000,3400000,8000000,12800000,19800000,36500000,47500000,62200000,64200000,66879000,91501000,86535000,73563000,55780000,52551000,51603000,54745000,55253000,58105000,58064000,62569000,63466000,64652000,67783000,65162000,67113000,63600000,80613000,105531000,251432000,252574000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,249252000,244497000,405195000,428268000,418509000,613394000,610347000,769095000,1012527000,1069041000,1169813000,1182772000,1182457000,1238179000,1625786000,2191887000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166800000,131679000,92838000,54303000,51851000,56543000,258838000,77870000,80555000,182342000,168249000,127931000,222017000,185885000,273121000,336873000,291301000,310305000,257908000,200202000,169949000,237570000,378967000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166800000,131679000,92838000,54303000,51851000,56543000,258838000,327122000,325052000,587537000,596517000,546440000,835411000,796232000,1042216000,1349400000,1360342000,1480118000,1440680000,1382659000,1408128000,1863356000,2570854000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30921000,31907000,30115000,29544000,30970000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2422000,3205000,69969000,71175000,110193000,90458000,98064000,20660000,7696000,8958000,38936000,89692000,123166000,165566000,198634000,190963000,297789000
44,Other Non-Current Assets,300000,700000,1100000,4600000,3500000,3200000,34200000,60600000,93800000,176800000,80500000,97892000,97811000,33536000,36190000,31319000,49085000,75398000,45916000,38114000,38931000,43845000,41374000,32124000,34126000,41646000,40794000,41820000,34475000,36285000,140130000,212570000,313333000
45,Total Non-Current Assets,1300000,1600000,2200000,8000000,11500000,16000000,54000000,97100000,141300000,239000000,311500000,296450000,282150000,174374000,161604000,143642000,362896000,457328000,495682000,752079000,803746000,738807000,1037418000,912482000,1148690000,1467787000,1505234000,1709664000,1693828000,1695238000,1881967000,2549291000,3434550000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8100000,34700000,50900000,107200000,176700000,287000000,453700000,659200000,832400000,832800000,1016600000,924883000,797838000,674959000,577690000,666382000,786623000,895444000,1090313000,1349573000,1350212000,1307064000,1629682000,1791634000,1828906000,2199954000,2209913000,2352253000,2360384000,2329022000,2664588000,3382738000,4507560000
48,Accounts Payable,- -,400000,1000000,5200000,8000000,11600000,19600000,39400000,36400000,34500000,40900000,30944000,28640000,23834000,20569000,19067000,19915000,22793000,18715000,16710000,13292000,11734000,16974000,17046000,66006000,19802000,13361000,18022000,35160000,53473000,42442000,24910000,33381000
49,Short-Term Debt,400000,300000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88505000,57880000,- -,- -,7500000,15000000,25000000,50000000,- -,- -,- -,- -,- -,27864000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5055000
