,https://roic.ai/company/DAKT,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,1500000,1500000,1600000,1800000,2100000,2100000,2300000,3007000,4069000,5178000,5928000,6389000,7427000,8970000,13801000,21121000,24448000,22260000,19641000,17518000,15607000,14501000,14968000,16856000,18562000,17784000,18635000,17718000,17077000
15,EBITDA,3300000,4700000,3200000,1400000,4400000,7700000,8600000,12507000,17269000,12578000,27432000,35474000,28873000,42639000,49470000,62157000,66217000,14277000,41966000,29441000,46912000,51991000,46874000,20210000,34380000,30430000,13851000,17815000,31432000
16,EBITDA ratio,0.1075,0.1144,0.0764,0.0267,0.0703,0.1102,0.0897,0.1014,0.1134,0.0845,0.1543,0.1690,0.1253,0.1378,0.1142,0.1244,0.1140,0.0363,0.0950,0.0601,0.0905,0.0942,0.0761,0.0354,0.0586,0.0498,0.0243,0.0293,0.0652
17,Operating Income,2200000,3200000,1200000,-300000,2400000,5000000,6800000,9711000,10891000,9103000,19825000,27530000,19436000,31815000,36915000,38243000,42617000,-6730000,19527000,10275000,30600000,36557000,31285000,2495000,15421000,12460000,-4728000,-167000,17108000
18,Operating Income ratio,0.0717,0.0779,0.0286,-0.0057,0.0383,0.0715,0.0709,0.0787,0.0715,0.0612,0.1115,0.1312,0.0844,0.1028,0.0852,0.0765,0.0734,-0.0171,0.0442,0.0210,0.0590,0.0662,0.0508,0.0044,0.0263,0.0204,-0.0083,-0.0003,0.0355
19,Total Other Income Expenses (Gains),-400000,- -,400000,-100000,100000,400000,-200000,289000,3109000,-1003000,775000,1170000,2010000,1854000,-115000,1357000,-1017000,-1370000,2614000,1325000,300000,643000,398000,631000,167000,-31000,-216000,158000,-3048000
20,Income Before Tax,1800000,3200000,1600000,-400000,2500000,5400000,6600000,10000000,14000000,8100000,20600000,28700000,21446000,33669000,36800000,39600000,41600000,-8100000,22141000,11600000,30900000,37200000,31683000,3126000,15588000,12429000,-4944000,-9000,14060000
21,Income Before Tax Ratio,0.0586,0.0779,0.0382,-0.0076,0.0399,0.0773,0.0688,0.0810,0.0919,0.0544,0.1159,0.1367,0.0931,0.1088,0.0849,0.0792,0.0716,-0.0206,0.0501,0.0237,0.0596,0.0674,0.0514,0.0055,0.0266,0.0204,-0.0087,-0.0000,0.0292
22,Income Tax expense (Gain),700000,1200000,600000,-200000,1000000,2000000,2400000,3700000,5300000,3200000,8107000,10907000,5786000,12708000,12355000,13413000,15125000,-1153000,7897000,3088000,8150000,15035000,10801000,1065000,5246000,6867000,-3986000,-500000,3134000
23,Net Income,1100000,2000000,1000000,-200000,1500000,3400000,4200000,6200000,8700000,4900000,12500000,17700000,15660000,20961000,24400000,26200000,26400000,-7000000,14244000,8500000,22800000,22200000,20882000,2061000,10342000,5562000,-958000,491000,10926000
24,Net Income ratio,0.0358,0.0487,0.0239,-0.0038,0.0240,0.0486,0.0438,0.0502,0.0571,0.0329,0.0703,0.0843,0.0680,0.0678,0.0563,0.0524,0.0455,-0.0178,0.0322,0.0174,0.0440,0.0402,0.0339,0.0036,0.0176,0.0091,-0.0017,0.0008,0.0227
25,EPS,0.05,0.08,0.03,-0.01,0.04,0.10,0.12,0.18,0.24,0.14,0.34,0.47,0.41,0.54,0.62,0.66,0.65,-0.17,0.34,0.20,0.54,0.52,0.48,0.05,0.23,0.13,-0.02,0.01,0.24
26,EPS Diluted,0.05,0.08,0.03,-0.01,0.04,0.10,0.12,0.17,0.23,0.13,0.32,0.45,0.39,0.52,0.59,0.63,0.64,-0.17,0.34,0.20,0.53,0.51,0.47,0.05,0.23,0.12,-0.02,0.01,0.24
27,Weighted Average Shares Outstanding,22000000,25806452,33333333,26666667,34285714,34430380,34639175,35064789,35448980,36237037,36641176,37320000,37734940,38636000,39223000,39918000,40537000,40908000,41422000,41869000,42280000,42886000,43514000,43990000,44114000,44457000,44926000,45031000,44989000
28,Weighted Average Shares Outstanding Diluted,22000000,25806452,33333333,26666667,34285714,34871795,35744681,36611765,37760870,39136000,38931250,39835955,40153846,40506000,41311000,41337000,41152000,40908000,42277000,42304000,42621000,43762000,44443000,44456000,44303000,44873000,44926000,45316000,45202000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/915779/000089710103000694/daktronics032733_10k.htm,https://www.sec.gov/Archives/edgar/data/915779/000091577904000053/dak10ktextonly.htm,https://www.sec.gov/Archives/edgar/data/915779/000091577905000072/dak10ktextonly.htm,- -,https://www.sec.gov/Archives/edgar/data/915779/000091577907000055/0000915779-07-000055-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577908000038/0000915779-08-000038-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577909000014/0000915779-09-000014-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577910000025/0000915779-10-000025-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577911000025/0000915779-11-000025-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577912000013/dakt-2012428x10k.htm,https://www.sec.gov/Archives/edgar/data/915779/000091577913000026/0000915779-13-000026-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577914000036/0000915779-14-000036-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577915000039/0000915779-15-000039-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577916000171/0000915779-16-000171-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577917000027/0000915779-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577918000017/0000915779-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577919000017/0000915779-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577920000028/0000915779-20-000028-index.htm,https://www.sec.gov/Archives/edgar/data/915779/000143774921014600/0001437749-21-014600-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,200000,4300000,400000,200000,100000,100000,1100000,1200000,2900000,2100000,9300000,12300000,15961000,26921000,2600000,9300000,36500000,63600000,54308000,29400000,40600000,45100000,57284000,28328000,32623000,29727000,35383000,40398000,77590000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,8105000,8310000,- -,- -,- -,- -,22943000,25300000,24100000,25400000,25346000,24672000,32713000,34522000,26344000,1230000,- -
33,Cash and Short-Term Investments,200000,4300000,400000,200000,100000,100000,1100000,1200000,2900000,2100000,9300000,16300000,24066000,35231000,2600000,9300000,36500000,63600000,77251000,54700000,64700000,70500000,82630000,53000000,65336000,64249000,61727000,41628000,77590000
34,Net Receivables,7800000,6400000,9500000,12700000,13000000,14600000,22100000,25800000,23200000,20400000,28600000,33300000,46071000,67967000,64300000,64000000,69400000,58700000,96184000,78700000,68100000,90200000,90184000,115738000,81731000,84524000,102578000,112111000,102800000
35,Inventory,3200000,5300000,6200000,9800000,9300000,12500000,19200000,19000000,30600000,26700000,26300000,29500000,24612000,31045000,68100000,77700000,78900000,60900000,46889000,77900000,88400000,95600000,99457000,69827000,102889000,106303000,78832000,86803000,74356000
36,Other Current Assets,700000,1500000,2000000,2100000,1300000,1700000,1800000,1900000,2700000,3300000,4500000,7900000,9534000,8405000,13000000,14700000,22200000,19900000,17498000,17700000,18900000,17900000,17799000,6666000,7769000,9057000,10536000,11460000,10257000
37,Total Current Assets,11900000,17500000,18100000,24800000,23700000,28900000,44200000,47900000,59400000,52500000,68700000,87000000,104283000,142648000,148000000,165700000,207000000,203100000,237822000,229000000,240100000,274200000,290070000,245231000,257725000,264133000,253673000,252002000,265003000
38,PP&E,4600000,5500000,6200000,6500000,7400000,9200000,11700000,16800000,21900000,26800000,24800000,25100000,31053000,40559000,86100000,97500000,89400000,80900000,69866000,68400000,61600000,65300000,72844000,73163000,66749000,68059000,65314000,78585000,58682000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,400000,1500000,1100000,1000000,1400000,- -,2706000,4400000,4700000,4500000,3300000,3384000,3300000,3300000,4600000,5269000,8116000,7812000,8264000,7889000,7743000,8414000
40,Intangible Assets,800000,2200000,1800000,3700000,3000000,800000,600000,1200000,2300000,1500000,1300000,2300000,5444000,4330000,7200000,6000000,4600000,3300000,3037000,1900000,1200000,2700000,1824000,7721000,4705000,3682000,4906000,3354000,2083000
41,Intangible Assets,800000,2200000,1800000,3700000,3000000,800000,600000,1600000,3800000,2600000,2300000,3700000,5444000,7036000,11600000,10700000,9100000,6600000,6421000,5200000,4500000,7300000,7093000,15837000,12517000,11946000,12795000,11097000,10497000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8800000,3000000,2541000,100000,- -,- -,800000,800000,1655000,2414000,4534000,5091000,5052000,27683000,27403000
43,Tax Assets,- -,- -,- -,- -,500000,500000,600000,800000,1100000,1300000,1300000,2000000,782000,232000,2600000,3600000,4900000,2200000,180000,1500000,- -,- -,939000,9437000,836000,614000,533000,452000,11944000
44,Other Non-Current Assets,3500000,2200000,2200000,2800000,2500000,4100000,5500000,5300000,4000000,4100000,5400000,8400000,9900000,8756000,8800000,14000000,11959000,13000000,13558000,11900000,12400000,9900000,6878000,3866000,13072000,8957000,11849000,2832000,1635000
45,Total Non-Current Assets,8900000,9900000,10200000,13000000,13400000,14600000,18400000,24500000,30800000,34800000,33800000,39200000,47179000,56583000,117900000,128800000,117900000,102800000,90025000,87000000,79300000,83300000,89409000,104717000,97708000,94667000,95543000,120649000,110161000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20800000,27400000,28300000,37800000,37100000,43500000,62600000,72400000,90200000,87300000,102500000,126200000,151462000,199231000,265900000,294500000,324900000,305900000,327847000,316000000,319400000,357500000,379479000,349948000,355433000,358800000,349216000,372651000,375164000
48,Accounts Payable,2500000,2800000,2500000,4300000,4100000,5500000,8800000,7300000,10200000,6700000,9300000,12600000,17121000,39650000,26100000,31500000,30300000,23100000,29223000,33900000,38700000,45900000,52747000,43441000,51499000,48845000,44873000,47834000,40251000
49,Short-Term Debt,2900000,400000,300000,7100000,2700000,5600000,2700000,7200000,7900000,100000,3131000,1510000,988000,491000,25617000,910000,367000,13427000,22873000,1459000,- -,- -,- -,- -,- -,- -,- -,2416000,1881000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2935000,361000,880000,4652000,4223000,4139000,4859000,4279000,5422000,3567000,3153000,4441000,6626000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3801000,4524000,2983000,4066000,7761000,9517000,15017000,12578000,8770000,9751000,9112000,7722000,9524000,37085000,12137000,12652000,47178000,50897000,64495000
52,Other Current Liabilities,3000000,2300000,3100000,3900000,5900000,5500000,12100000,12700000,14300000,17400000,12768000,16666000,20904000,23511000,43622000,61273000,53916000,35295000,48796000,64090000,66888000,80078000,79749000,40991000,66959000,69811000,42021000,44818000,39993000
53,Total Current Liabilities,8400000,5500000,5900000,15300000,12700000,16600000,23600000,27200000,32400000,24200000,29000000,35300000,41996000,67718000,103100000,103200000,99600000,84400000,109662000,109200000,114700000,133700000,142020000,121517000,130595000,131308000,134072000,145965000,146620000
54,Long-Term Debt,3400000,1500000,1200000,1500000,1700000,800000,8300000,7900000,10300000,9600000,5400000,1100000,171000,4569000,600000,100000,- -,- -,10518000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4559000,4361000,4424000,4978000,3914000,5603000,5434000,7475000,10053000,10707000,10720000
56,Deferred Tax Liabilities,400000,400000,500000,500000,- -,- -,- -,- -,- -,- -,- -,- -,3433000,1599000,- -,- -,- -,- -,6000,1453000,- -,1000,939000,754000,836000,614000,533000,452000,410000
57,Other Non-Current Liabilities,1100000,900000,600000,600000,1000000,900000,1200000,1100000,1700000,2000000,2800000,3600000,1952000,- -,8400000,7900000,13400000,14400000,- -,10186000,12076000,15621000,20567000,21007000,20282000,21787000,16895000,38547000,23860000
58,Total Non-Current Liabilities,4900000,2800000,2300000,2600000,2700000,1700000,9500000,9000000,12000000,11600000,8200000,4700000,5556000,6168000,9000000,8000000,13400000,14400000,15083000,16000000,16500000,20600000,25420000,27364000,26552000,29876000,27481000,49706000,34990000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4438000,- -,- -,- -,- -,- -,1368000,- -,- -,- -,- -,- -,- -,- -,2416000,1881000
61,Total Liabilities,13300000,8300000,8200000,17900000,15400000,18300000,33100000,36200000,44400000,35800000,37200000,40000000,47552000,73886000,112100000,111200000,113000000,98800000,124745000,125200000,131200000,154300000,167440000,148881000,157147000,161184000,161553000,195671000,181610000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,11700000,11700000,11800000,12200000,12900000,13500000,14700000,16400000,17739000,- -,22000000,25600000,27900000,29900000,- -,34600000,37400000,43900000,48960000,51347000,52530000,54731000,57699000,60010000,60575000
64,Retained Earnings,5800000,7800000,8800000,8600000,10100000,13500000,17700000,23900000,32600000,37500000,50000000,67700000,83337000,102381000,124500000,147900000,170700000,159800000,149291000,131800000,123800000,129300000,132771000,117276000,113967000,107105000,93593000,85090000,96016000
65,Other Comprehensive Income/Loss,-4300000,-5200000,-6100000,-6900000,-8100000,-9500000,-11000000,-13300000,-16800000,-17600000,-38000,-84000,159000,-58000,-137000,-686000,-555000,-447000,1000,33000,-118000,4000,-2376000,-2898000,-4381000,-2714000,-4356000,-5277000,-2335000
66,Other Total Stockholders Equity,6000000,16500000,17400000,18200000,8100000,9500000,11000000,13400000,17100000,18100000,641000,2248000,2675000,- -,7345000,10439000,13866000,17800000,165591000,24372000,27164000,29915000,32684000,35342000,36170000,38494000,40727000,37157000,39298000
67,Total Stockholders Equity,7500000,19100000,20100000,19900000,21800000,25200000,29500000,36200000,45800000,51500000,65303000,86264000,103910000,125345000,153708000,183253000,211911000,207053000,203102000,190805000,188246000,203119000,212039000,201067000,198286000,197616000,187663000,176980000,193554000
68,Total Liabilities And Stockholders Equity,20800000,27400000,28300000,37800000,37200000,43500000,62600000,72400000,90200000,87300000,102503000,126264000,151462000,199231000,265808000,294453000,324911000,305853000,327847000,316005000,319446000,357419000,379479000,349948000,355433000,358800000,349216000,372651000,375164000
69,Minority Interest,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,-3000,-64000,- -,- -,92000,47000,-11000,47000,- -,-5000,-46000,81000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,20800000,27400000,28300000,37800000,37100000,43500000,62600000,72400000,90200000,87300000,102500000,126200000,151462000,199231000,265900000,294500000,324900000,305900000,327847000,316000000,319400000,357500000,379479000,349948000,355433000,358800000,349216000,372651000,375164000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/915779/000089710103000694/daktronics032733_10k.htm,https://www.sec.gov/Archives/edgar/data/915779/000091577904000053/dak10ktextonly.htm,https://www.sec.gov/Archives/edgar/data/915779/000091577905000072/dak10ktextonly.htm,- -,https://www.sec.gov/Archives/edgar/data/915779/000091577907000055/0000915779-07-000055-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577908000038/0000915779-08-000038-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577909000014/0000915779-09-000014-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577910000025/0000915779-10-000025-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577911000025/0000915779-11-000025-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577912000013/dakt-2012428x10k.htm,https://www.sec.gov/Archives/edgar/data/915779/000091577913000026/0000915779-13-000026-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577914000036/0000915779-14-000036-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577915000039/0000915779-15-000039-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577916000171/0000915779-16-000171-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577917000027/0000915779-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577918000017/0000915779-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577919000017/0000915779-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/915779/000091577920000028/0000915779-20-000028-index.htm,https://www.sec.gov/Archives/edgar/data/915779/000143774921014600/0001437749-21-014600-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1100000,2000000,1000000,-200000,1500000,3400000,4200000,6200000,8700000,4900000,12500000,17700000,15660000,20961000,24400000,26200000,26400000,-7000000,14244000,8500000,22800000,22200000,20882000,2061000,10342000,5562000,-958000,491000,10926000
74,Depreciation and Amortization,1500000,1500000,1600000,1800000,2100000,2100000,2300000,3007000,4069000,5178000,5928000,6389000,7427000,8970000,13801000,21121000,24448000,22260000,19641000,17518000,15607000,14501000,14968000,16856000,18562000,17784000,18635000,17718000,17077000
75,Deferred Income Tax,-100000,100000,- -,-200000,-500000,100000,-200000,204000,-415000,-449000,-1003000,24000,56000,-2421000,-422000,-785000,-4326000,-95000,852000,-68000,-4340000,1543000,2146000,911000,-2043000,3148000,-3379000,-2183000,1314000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3154000,3762000,3370000,3262000,3037000,2897000,3038000,2958000,2914000,2635000,2479000,2265000,2067000
77,Change in Working Capital,100000,8500000,200000,-2700000,1500000,1300000,8300000,100000,6300000,1300000,11400000,12000000,10587000,12643000,-30030000,17600000,44900000,11300000,9460000,-8360000,5600000,15100000,7550000,-24336000,3416000,5695000,-13224000,-13564000,12346000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5314000,- -,-16837000,-4995000,3364000,-18293000,6412000,3789000,-2718000,2266000,10856000,- -,4864000
79,Inventory,-200000,-2000000,-900000,-3600000,1800000,-3000000,-2900000,15000,- -,- -,- -,- -,- -,- -,- -,-3267000,-41000,- -,-10341000,-7539000,6656000,-12771000,-1907000,-5100000,3581000,-8517000,-4076000,- -,13900000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7658000,6867000,5594000,-9926000,5544000,-2573000,-2747000,- -,-7081000
81,Other Working Capital,3500000,12000000,12200000,9500000,11000000,12300000,20600000,20700000,27000000,28300000,39700000,51700000,62287000,74930000,44900000,62500000,107400000,118700000,128160000,119800000,125400000,140500000,148050000,123714000,127130000,132825000,119601000,106037000,118383000
82,Other Non-Cash Items,100000,-11300000,-4400000,-1800000,300000,-6100000,-15200000,-6221000,-11288000,6303000,-12913000,-15196000,-11353000,-8236000,6857000,-4303000,-45845000,13557000,-6221000,-814000,8045000,-20042000,4584000,14825000,6198000,-4463000,25993000,6081000,22482000
83,Cash Provided by Operating Activities,2700000,800000,-1600000,-3100000,4900000,800000,-600000,3290000,7366000,17232000,15912000,20917000,22377000,31917000,14606000,59833000,48731000,43784000,41346000,20038000,50749000,36199000,53168000,13275000,39389000,30361000,29546000,10808000,66212000
84,CAPEX,-600000,-1800000,-1700000,-1400000,-2200000,-3300000,-4800000,-6933000,-7351000,-7942000,-5340000,-9779000,-13483000,-18919000,-58743000,-33916000,-22888000,-16121000,-9386000,-16524000,-9674000,-13519000,-21837000,-17056000,-8502000,-18127000,-17268000,-18091000,-7891000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-1292000,- -,- -,- -,-1024000,-165000,- -,- -,- -,- -,- -,- -,- -,-1480000,-6306000,-7490000,-1646000,-1450000,-3550000,-11664000,-6744000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4104000,-205000,-13779000,-750000,- -,-100000,- -,-18870000,-16506000,-15550000,-15653000,-21286000,-24159000,-17438000,-25337000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8309000,7000000,- -,535000,- -,16410000,17451000,13953000,15532000,21862000,15928000,15273000,33706000,25162000,1230000
88,Other Investing Activites,- -,- -,-200000,-700000,1200000,100000,200000,-323000,-413000,-302000,1287000,820000,502000,331000,215000,523000,4002000,2587000,-20500000,231000,198000,238000,4037000,152000,199000,2179000,607000,322000,3184000
89,Cash Used for Investing Activites,-600000,-1800000,-1900000,-2100000,-1000000,-3200000,-4600000,-7256000,-9056000,-8244000,-4053000,-8959000,-18109000,-18958000,-63998000,-27143000,-18886000,-13099000,-29886000,-18753000,-8531000,-16358000,-24227000,-23818000,-18180000,-19563000,-11842000,-4271000,-10221000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-546000,-27000,-26000,-1711000,-1459000,-3704000,-1244000,-505000,-929000,-1046000,-450000,-2149000,-15460000
91,Common Stock Issued,- -,9500000,- -,- -,400000,- -,100000,413000,438000,633000,718000,655000,835000,1186000,1565000,2335000,- -,365000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1825000,- -,- -,-5636000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1917000,-2339000,-2770000,-3635000,-3874000,-24795000,-25950000,-30859000,-16690000,-17377000,-17556000,-13651000,-12424000,-12554000,-8994000,- -
94,Other Financing Activites,-2100000,-4400000,-400000,5100000,-4400000,2400000,6100000,3720000,2940000,-10409000,-5379000,-5595000,-1597000,-1001000,25924000,-24839000,975000,71000,3789000,1377000,1316000,5073000,2551000,613000,82000,208000,1072000,14801000,-125000
95,Cash Used/Provided by Financing Activities,-2100000,5100000,-400000,5100000,-4000000,2400000,6200000,4133000,3378000,-9776000,-4661000,-4940000,-762000,-1732000,25150000,-25274000,-3206000,-3465000,-21032000,-26284000,-31002000,-15321000,-16070000,-17448000,-16323000,-13262000,-11932000,-1978000,-15585000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-9000,-11000,-18000,-40000,200000,-267000,-89000,-681000,537000,-118000,277000,114000,-11000,-94000,-641000,-965000,-591000,-620000,215000,111000,-416000
97,Net Change In Cash,-2100000,5100000,-400000,5100000,-4000000,2400000,6200000,167000,1679000,-799000,7180000,6978000,3706000,10960000,-24331000,6735000,27176000,27102000,-9295000,-24885000,11205000,4426000,12230000,-28956000,4295000,-3084000,5987000,4670000,39990000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,1217000,2896000,2097000,9277000,16255000,15961000,26921000,2590000,9325000,36501000,63603000,54308000,29423000,40628000,45054000,57284000,28328000,32623000,29755000,35742000,40412000,80402000
99,Cash at the Beginning of Period,200000,200000,4300000,400000,200000,100000,100000,1050000,1217000,2896000,2097000,9277000,12255000,15961000,26921000,2590000,9325000,36501000,63603000,54308000,29423000,40628000,45054000,57284000,28328000,32839000,29755000,35742000,40412000
100,Free Cash Flow,2100000,-1000000,-3300000,-4500000,2700000,-2500000,-5400000,-3643000,15000,9290000,10572000,11138000,8894000,12998000,-44137000,25917000,25843000,27663000,31960000,3514000,41075000,22680000,31331000,-3781000,30887000,12234000,12278000,-7283000,58321000
