,https://roic.ai/company/EVI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,5100000,6300000,5300000,5000000,4400000,4000000,3700000,4100000,3300000,3400000,- -,5600000,3532215,7700000,8584044,8327919,7912737,6955642,7424121,7541075,8793716,9443574,11167486,10187017,9730534,10995501,10872597,11052330,13818087,9282772,10160757,57135000,95474000,154485000,160718000,177850000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/65312/000091068005000588/0000910680-05-000588-index.htm,https://www.sec.gov/Archives/edgar/data/65312/000091068006000960/f10ksb-06302006.htm,https://www.sec.gov/Archives/edgar/data/65312/000091068007000891/f10ksb063007_a.htm,https://www.sec.gov/Archives/edgar/data/65312/000091068008000648/f10ksb063008.htm,https://www.sec.gov/Archives/edgar/data/65312/000091068009000455/0000910680-09-000455-index.html,https://www.sec.gov/Archives/edgar/data/65312/000091068010000283/0000910680-10-000283-index.html,https://www.sec.gov/Archives/edgar/data/65312/000091068011000376/0000910680-11-000376-index.html,https://www.sec.gov/Archives/edgar/data/65312/000091431712001335/0000914317-12-001335-index.html,https://www.sec.gov/Archives/edgar/data/65312/000091431713001214/0000914317-13-001214-index.html,https://www.sec.gov/Archives/edgar/data/65312/000091431714001227/0000914317-14-001227-index.html,https://www.sec.gov/Archives/edgar/data/65312/000117494715001454/0001174947-15-001454-index.html,https://www.sec.gov/Archives/edgar/data/65312/000117494716003153/form10k-16337_evi.htm,https://www.sec.gov/Archives/edgar/data/65312/000117494717001325/0001174947-17-001325-index.html,https://www.sec.gov/Archives/edgar/data/65312/000117494718001160/0001174947-18-001160-index.html,https://www.sec.gov/Archives/edgar/data/65312/000117494719001060/form10k-22743_evi.htm,https://www.sec.gov/Archives/edgar/data/65312/000117494720000945/0001174947-20-000945-index.htm,https://www.sec.gov/Archives/edgar/data/65312/000117494721000839/0001174947-21-000839-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,-100000,-100000,400000,100000,100000,124472,500000,-349670,800000,965449,122471,-280010,603793,536217,706263,803981,880990,601852,526863,414066,603773,511689,1607238,1620304,1671817,1740040,3167000,3966000,3743000,775000,8384000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,-200000,-200000,-100000,-100000,-100000,72158,40000,74012,100000,139033,223189,113102,114941,114946,119242,142453,120479,132369,128219,75054,55872,49924,57865,59870,58806,61404,576000,1579000,2743000,3696000,4596000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000,- -,-108000,100000,17376,-33474,-167098,102154,22589,11198,-61306,66105,-49075,-76914,25809,36382,- -,28426,10356,-18185,4439,-3000,681000,861000,-178000,1593000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,421000,1575000,1740000,2302000,2437000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,500000,- -,-200000,-100000,100000,100000,1147944,-1638695,3438695,-64149,-915216,342445,-5950,379344,148125,302068,367415,376744,600812,422330,664808,160910,-2559089,-1173631,262655,404729,-2294350,4686000,29850000,-14979000,-6416000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,100000,-100000,-300000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-859877,1311303,-1025902,66360,-2390000,3773000,-8934000,8121000,-4481000
79,Inventory,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,85183,- -,82192,300000,139668,-465352,-311,341534,-394865,-118214,98852,21213,-978537,811952,1176113,-416857,-81059,393465,-835826,16657,186028,-838000,-1884000,-4335000,3969000,665000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,331055,3496840,-3346683,1483125,2040000,-4320000,2381000,5568000,-798000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,2100000,2100000,1900000,1800000,1900000,2000000,3400000,1761305,5200000,5135851,4220635,4563080,4557130,4936474,5084599,5386667,5754082,6130826,6731638,7153968,7818776,7979686,5420597,4246966,4509621,4914350,2620000,7306000,37156000,22177000,15761000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,400000,400000,400000,300000,100000,-112775,-1237944,2079339,-4238695,142723,607239,1243269,-27318,-661485,-524366,895266,412812,-1134429,418068,-319265,-491838,-684470,4525658,5641785,-5825692,-769378,723350,-1142000,-47662000,31450000,3100000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,600000,100000,500000,200000,200000,166855,450000,56986,200000,1200432,4209,1251708,787620,391611,460462,2082462,1847801,-72539,1597048,617994,868997,38053,3660098,6158684,-3850599,1441234,2590000,11345000,-8725000,23066000,13694000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52088,-30000,-80093,-100000,-137612,-128762,-97969,-15634,-40905,-88461,-72439,-95046,-52258,-25715,-17570,-23355,-65446,-23540,-65110,-58021,-1563,-237000,-829000,-2979000,-3375000,-2824000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14708000,-13352000,-12542000,-1379000,-4818000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52088,-50000,-80093,300000,-630000,-13373,97726,377798,110126,125188,67857,- -,- -,-25715,-17570,-23355,-65446,-23540,-65110,-58021,-1563,-237000,-829000,-2979000,-3375000,-2824000
