,https://roic.ai/company/MA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,1267389000,1389632000,1749814000,2832713000,2246658000,2544444000,3096579000,2959487000,3043260000,2831831000,2782000000,4001000000,3407000000,3746000000,4397000000,4610000000,4864000000,5754000000,6576000000,7187000000,3351000000,8802000000
11,COGS and Expenses,- -,1267389000,1389632000,1749814000,2832713000,2246658000,2544444000,3096579000,2959487000,3043260000,2831831000,2782000000,4001000000,3407000000,3746000000,4397000000,4610000000,4864000000,5754000000,6576000000,7187000000,7138000000,- -
12,Interest Income ,- -,- -,23649000,- -,35402000,- -,- -,- -,- -,108757000,55911000,48000000,52000000,36000000,33000000,26000000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,9548000,- -,62936000,- -,- -,- -,- -,103600000,115109000,52000000,25000000,20000000,14000000,48000000,61000000,95000000,154000000,186000000,224000000,380000000,-431000000
14,Depreciation and Amortization,- -,- -,69973000,90505000,119551000,123317000,109936000,99782000,97642000,112006000,141377000,148000000,194000000,230000000,258000000,321000000,366000000,373000000,437000000,459000000,522000000,580000000,1371000000
15,EBITDA,- -,118149000,312460000,248893000,-424084000,447017000,517274000,393954000,1769074000,-167607000,2474445000,2956000000,2967000000,4183000000,4772000000,5448000000,5385000000,6114000000,7113000000,7849000000,10477000000,8720000000,11247000000
16,EBITDA ratio,- -,0.0817,0.1939,0.1316,-0.1901,0.1724,0.1761,0.1184,0.4349,-0.0336,0.4853,0.5337,0.4419,0.5660,0.5718,0.5751,0.5570,0.5674,0.5692,0.5250,0.6206,0.5699,0.5956
17,Operating Income,- -,178020000,221702000,141997000,-601862000,346672000,393184000,229495000,1108112000,-534505000,2260108000,2752000000,2713000000,3937000000,4503000000,5106000000,5078000000,5761000000,6622000000,7282000000,9664000000,8081000000,10082000000
18,Operating Income ratio,- -,0.1232,0.1376,0.0751,-0.2698,0.1337,0.1338,0.0690,0.2724,-0.1071,0.4433,0.4968,0.4041,0.5327,0.5395,0.5390,0.5253,0.5346,0.5299,0.4871,0.5724,0.5281,0.5339
19,Total Other Income Expenses (Gains),- -,- -,11237000,16391000,-9658000,-22972000,14154000,64677000,563320000,151292000,-42057000,5000000,33000000,-5000000,-3000000,-27000000,-120000000,-115000000,-100000000,-78000000,67000000,-321000000,225000000
20,Income Before Tax,- -,- -,232939000,158388000,-611520000,323700000,407338000,294172000,1671432000,-383213000,2218051000,2757000000,2746000000,3932000000,4500000000,5079000000,4958000000,5646000000,6522000000,7204000000,9731000000,7760000000,10307000000
21,Income Before Tax Ratio,- -,- -,0.1446,0.0837,-0.2741,0.1248,0.1387,0.0884,0.4109,-0.0768,0.4350,0.4977,0.4090,0.5320,0.5392,0.5362,0.5129,0.5239,0.5219,0.4819,0.5764,0.5072,0.5458
22,Income Tax expense (Gain),- -,- -,90878000,41959000,-220778000,85640000,140619000,243982000,585546000,-129298000,755427000,910000000,842000000,1174000000,1384000000,1462000000,1150000000,1587000000,2607000000,1345000000,1613000000,1349000000,1620000000
23,Net Income,- -,118149000,142061000,116429000,-385793000,238060000,266719000,50190000,1085886000,-253915000,1462532000,1846000000,1906000000,2759000000,3116000000,3617000000,3808000000,4059000000,3915000000,5859000000,8118000000,6411000000,8687000000
24,Net Income ratio,- -,0.0817,0.0882,0.0615,-0.1729,0.0918,0.0908,0.0151,0.2670,-0.0509,0.2868,0.3333,0.2839,0.3733,0.3734,0.3818,0.3939,0.3767,0.3133,0.3919,0.4808,0.4190,0.4600
25,EPS,- -,0.17,0.20,0.14,-0.39,0.24,0.27,0.04,0.81,-0.20,1.12,1.41,1.49,2.20,0.26,3.11,3.36,3.70,3.67,5.63,7.98,6.40,8.81
26,EPS Diluted,- -,0.17,0.20,0.14,-0.39,0.24,0.27,0.04,0.80,-0.20,1.12,1.41,1.49,2.19,0.26,3.10,3.35,3.69,3.65,5.60,7.94,6.37,8.77
27,Weighted Average Shares Outstanding,- -,716054545,717100000,862437037,1000000000,1000252101,1000000000,1354110000,1348870000,1301480000,1298380000,1310000000,1280000000,1250000000,12110000000,1165000000,1134000000,1098000000,1067000000,1041000000,1017000000,1002000000,982000000
28,Weighted Average Shares Outstanding Diluted,- -,716054545,717100000,862437037,1000000000,1000252101,1000000000,1357790000,1356950000,1301480000,1302320000,1310000000,1280000000,1260000000,12150000000,1169000000,1137000000,1101000000,1072000000,1047000000,1022000000,1006000000,986000000
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1141391/000095012303002592/0000950123-03-002592-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000095012304002820/y94488e10vk.htm,https://www.sec.gov/Archives/edgar/data/1141391/000095012305002512/y06000e10vk.htm,https://www.sec.gov/Archives/edgar/data/1141391/000119312506056300/d10k.htm,https://www.sec.gov/Archives/edgar/data/1141391/000119312507042384/d10k.htm,https://www.sec.gov/Archives/edgar/data/1141391/000119312508034694/d10k.htm,https://www.sec.gov/Archives/edgar/data/1141391/000119312509033062/0001193125-09-033062-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000119312510034065/0001193125-10-034065-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000119312511044721/d10k.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139112000003/0001141391-12-000003-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139113000003/0001141391-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139114000003/ma12312013-10xk.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139115000011/ma12312014-10xk.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139116000085/0001141391-16-000085-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139117000014/0001141391-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139118000009/0001141391-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139119000013/0001141391-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139120000032/0001141391-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139121000018/0001141391-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139122000023/0001141391-22-000023-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,336474000,374169000,328996000,545273000,1185080000,1659295000,1505160000,2055439000,3067000000,3734000000,2052000000,3599000000,5137000000,5747000000,6721000000,5933000000,6682000000,6988000000,10113000000,7421000000
32,Short-Term Investments,- -,- -,- -,- -,536341000,808893000,736619000,1298841000,1310687000,742095000,824345000,1131000000,1215000000,2987000000,2696000000,1168000000,991000000,1614000000,1849000000,1696000000,688000000,483000000,473000000
33,Cash and Short-Term Investments,- -,- -,- -,336474000,910510000,1137889000,1281892000,2483921000,2969982000,2247255000,2879784000,4198000000,4949000000,5039000000,6295000000,6305000000,6738000000,8335000000,7782000000,8378000000,7676000000,10596000000,7894000000
34,Net Receivables,- -,- -,- -,198855000,259429000,293292000,347754000,763214000,1245191000,1350981000,995645000,1147000000,1409000000,2205000000,2317000000,2161000000,2147000000,2509000000,3344000000,4728000000,5509000000,4352000000,3006000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,920309000,439911000,471615000,598252000,330094000,376568000,713271000,1127718000,1109000000,1383000000,2113000000,2338000000,2531000000,2100000000,2384000000,2671000000,3065000000,3717000000,4165000000,6049000000
37,Total Current Assets,- -,- -,- -,1455638000,1609850000,1902796000,2227898000,3577229000,4591741000,4311507000,5003147000,6454000000,7741000000,9357000000,10950000000,10997000000,10985000000,13228000000,13797000000,16171000000,16902000000,19113000000,16949000000
38,PP&E,- -,- -,- -,226720000,258520000,242358000,230614000,252731000,290200000,306798000,448994000,439000000,449000000,472000000,526000000,615000000,675000000,733000000,829000000,921000000,1828000000,1902000000,3814000000
39,Goodwill,- -,- -,- -,152941000,187881000,217654000,196701000,217013000,239626000,297993000,309228000,677000000,1014000000,1092000000,1122000000,1522000000,1891000000,1756000000,3035000000,2904000000,4021000000,4960000000,7662000000
40,Intangible Assets,- -,- -,- -,285703000,327630000,328984000,273854000,271373000,320758000,394282000,414704000,530000000,665000000,672000000,672000000,714000000,803000000,722000000,1120000000,991000000,1417000000,1753000000,3671000000
41,Intangible Assets,- -,- -,- -,438644000,515511000,546638000,470555000,488386000,560384000,692275000,723932000,1207000000,1679000000,1764000000,1794000000,2236000000,2694000000,2478000000,4155000000,3895000000,5438000000,6713000000,11333000000
42,Investments,- -,- -,- -,- -,196141000,- -,- -,- -,- -,229210000,517784000,142000000,106000000,281000000,240000000,245000000,166000000,132000000,249000000,337000000,914000000,1172000000,- -
43,Tax Assets,- -,- -,- -,41337000,223908000,235023000,225034000,216782000,263143000,567567000,264237000,5000000,88000000,60000000,70000000,96000000,317000000,307000000,250000000,570000000,543000000,491000000,486000000
44,Other Non-Current Assets,- -,- -,- -,98536000,96975000,337855000,546443000,547342000,554573000,368492000,512185000,590000000,630000000,528000000,662000000,1140000000,1432000000,1797000000,2049000000,2966000000,3611000000,4193000000,5087000000
45,Total Non-Current Assets,- -,- -,- -,805237000,1291055000,1361874000,1472646000,1505241000,1668300000,2164342000,2467132000,2383000000,2952000000,3105000000,3292000000,4332000000,5284000000,5447000000,7532000000,8689000000,12334000000,14471000000,20720000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,2260875000,2900905000,3264670000,3700544000,5082470000,6260041000,6475849000,7470279000,8837000000,10693000000,12462000000,14242000000,15329000000,16269000000,18675000000,21329000000,24860000000,29236000000,33584000000,37669000000
48,Accounts Payable,- -,- -,- -,172242000,202604000,187035000,185021000,278656000,252391000,794579000,767990000,908000000,360000000,357000000,338000000,419000000,472000000,609000000,933000000,537000000,489000000,527000000,738000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,80000000,149380000,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000000,- -,649000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,208000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,757502000,986254000,1114327000,1371682000,1532934000,2030951000,2046492000,2399141000,2235000000,3857000000,4549000000,5694000000,5803000000,5797000000,6597000000,7860000000,10556000000,11415000000,10671000000,12424000000
53,Total Current Liabilities,- -,- -,- -,929744000,1188858000,1301362000,1556703000,1811590000,2363342000,2990451000,3167131000,3143000000,4217000000,4906000000,6032000000,6222000000,6269000000,7206000000,8793000000,11593000000,11904000000,11847000000,13162000000
54,Long-Term Debt,- -,- -,- -,80107000,229574000,229569000,229489000,229668000,149824000,19387000,21598000,- -,- -,- -,- -,1494000000,3287000000,5180000000,5424000000,5834000000,8527000000,12023000000,13109000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,395000000
56,Deferred Tax Liabilities,- -,- -,- -,67445000,64125000,73227000,61188000,66198000,71278000,74518000,79728000,74000000,113000000,104000000,117000000,115000000,79000000,81000000,106000000,67000000,85000000,86000000,395000000
57,Other Non-Current Liabilities,- -,- -,- -,158885000,715007000,680940000,679396000,606035000,643670000,1459518000,689955000,404000000,486000000,523000000,598000000,674000000,572000000,524000000,1509000000,1948000000,2803000000,3140000000,3196000000
58,Total Non-Current Liabilities,- -,- -,- -,306437000,1008706000,983736000,970073000,901901000,864772000,1553423000,791281000,478000000,599000000,627000000,715000000,2283000000,3938000000,5785000000,7039000000,7849000000,11415000000,15249000000,17095000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,1236181000,2197564000,2285098000,2526776000,2713491000,3228114000,4543874000,3958412000,3621000000,4816000000,5533000000,6747000000,8505000000,10207000000,12991000000,15832000000,19442000000,23319000000,27096000000,30257000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1000000,1000000,1000000,1000000,14000,14000,14000,14000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,26529000,-359264000,-121204000,145515000,-1029196000,37699000,-236100000,1147714000,2915000000,4745000000,7354000000,10121000000,13169000000,16222000000,19418000000,22364000000,27283000000,33984000000,38747000000,45648000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-288259000,-329877000,49000000,104000000,278000000,109000000,194000000,95000000,-2000000,61000000,178000000,-260000000,-676000000,-924000000,-497000000,-718000000,-673000000,-680000000,-809000000
66,Other Total Stockholders Equity,- -,- -,- -,995877000,1345244000,1425033000,973633000,3289541000,2711594000,2054441000,2162032000,2195000000,1125000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,1023406000,698721000,974952000,1169148000,2364359000,3027307000,1927355000,3503760000,5205000000,5868000000,6917000000,7484000000,6790000000,6028000000,5656000000,5468000000,5395000000,5893000000,6391000000,7383000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,2259587000,2896285000,3260050000,3695924000,5077850000,6255421000,6471229000,7462172000,8826000000,10684000000,12450000000,14231000000,15295000000,16235000000,18647000000,21300000000,24837000000,29212000000,33487000000,37640000000
69,Minority Interest,- -,- -,- -,1288000,4620000,4620000,4620000,4620000,4620000,4620000,8107000,11000000,9000000,12000000,11000000,34000000,34000000,28000000,29000000,23000000,24000000,97000000,29000000
70,Total Liabilities & Equity,- -,- -,- -,2260875000,2900905000,3264670000,3700544000,5082470000,6260041000,6475849000,7470279000,8837000000,10693000000,12462000000,14242000000,15329000000,16269000000,18675000000,21329000000,24860000000,29236000000,33584000000,37669000000
71,SEC Link,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1141391/000095012303002592/0000950123-03-002592-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000095012304002820/y94488e10vk.htm,https://www.sec.gov/Archives/edgar/data/1141391/000095012305002512/y06000e10vk.htm,https://www.sec.gov/Archives/edgar/data/1141391/000119312506056300/d10k.htm,https://www.sec.gov/Archives/edgar/data/1141391/000119312507042384/d10k.htm,https://www.sec.gov/Archives/edgar/data/1141391/000119312508034694/d10k.htm,https://www.sec.gov/Archives/edgar/data/1141391/000119312509033062/0001193125-09-033062-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000119312510034065/0001193125-10-034065-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000119312511044721/d10k.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139112000003/0001141391-12-000003-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139113000003/0001141391-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139114000003/ma12312013-10xk.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139115000011/ma12312014-10xk.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139116000085/0001141391-16-000085-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139117000014/0001141391-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139118000009/0001141391-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139119000013/0001141391-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139120000032/0001141391-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139121000018/0001141391-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139122000023/0001141391-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,142061000,116429000,-385793000,238060000,266719000,50190000,1085886000,-253915000,1462532000,1846000000,1906000000,2759000000,3116000000,3617000000,3808000000,4059000000,3915000000,5859000000,8118000000,6411000000,8687000000
74,Depreciation and Amortization,- -,- -,69973000,90505000,119551000,123317000,109936000,99782000,97642000,112006000,141377000,148000000,194000000,230000000,258000000,321000000,366000000,373000000,437000000,459000000,522000000,580000000,1371000000
75,Deferred Income Tax,- -,- -,-2725000,4429000,-240666000,40845000,-54036000,32267000,-5492000,-483952000,336704000,248000000,-175000000,199000000,-119000000,-91000000,-16000000,-20000000,86000000,-244000000,-7000000,73000000,-69000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,60970000,88430000,63000000,80000000,42000000,63000000,-15000000,22000000,50000000,176000000,196000000,250000000,254000000,273000000
77,Change in Working Capital,- -,- -,-27435000,559033000,-104902000,180442000,69761000,1094444000,462760000,-907343000,514960000,1474984000,213000000,927000000,467000000,-143000000,-59000000,1306000000,-1018000000,-426000000,420000000,2268000000,-3479000000
78,Accounts Receivable,- -,- -,-32970000,- -,-48799000,- -,- -,- -,- -,-115687000,176918000,-226000000,-276000000,-621000000,-236000000,21000000,-133000000,-348000000,-726000000,-1395000000,-690000000,1202000000,-397000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-32970000,- -,21566000,- -,- -,- -,- -,8425000,-31397000,167000000,141000000,346000000,302000000,-104000000,-137000000,211000000,684000000,950000000,435000000,26000000,100000000
81,Other Working Capital,- -,- -,-33139000,525894000,420992000,601434000,671195000,1765639000,2228399000,1321056000,1836016000,3311000000,3524000000,4451000000,4918000000,4775000000,4716000000,6022000000,5004000000,4578000000,4998000000,7266000000,3787000000
82,Other Non-Cash Items,- -,- -,14622000,-464624000,802255000,-238869000,-119532000,-626522000,-870935000,1885462000,-1165841000,-2082984000,466000000,-1209000000,350000000,-282000000,-78000000,-1284000000,1959000000,379000000,-1120000000,-2362000000,2680000000
83,Cash Provided by Operating Activities,- -,- -,196496000,305772000,190445000,343795000,272848000,650161000,769861000,413228000,1378162000,1697000000,2684000000,2948000000,4135000000,3407000000,4043000000,4484000000,5555000000,6223000000,8183000000,7224000000,9463000000
84,CAPEX,- -,- -,-107562000,-101365000,-143470000,-78155000,-82003000,-94468000,-156422000,-170273000,-139360000,-151000000,-177000000,-218000000,-299000000,-334000000,-342000000,-382000000,-423000000,-504000000,-728000000,-708000000,-814000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82000000,-3000000,-498000000,-460000000,-70000000,- -,-525000000,-584000000,- -,-1175000000,- -,-1440000000,-989000000,-4436000000
86,Purchases of Investments,- -,- -,-251205000,-233437000,-249057000,-2194931000,-2834321000,-3815115000,-3578357000,-519514000,-650280000,-329000000,-973000000,-2981000000,-2526000000,-2385000000,-1892000000,-1824000000,-1859000000,-1809000000,-858000000,-807000000,-389000000
87,Sales/Maturities of Investments,- -,- -,115439000,186980000,232578000,2032275000,2883709000,3233725000,4042011000,976743000,134177000,407000000,848000000,1281000000,2845000000,3835000000,2102000000,1072000000,1824000000,1912000000,1857000000,622000000,-683000000
88,Other Investing Activites,- -,- -,-25473000,-11161000,-68951000,-33703000,-1040000,-368000,7909000,-97952000,-88514000,-160000000,-86000000,-973000000,-168000000,-60000000,-164000000,-200000000,-269000000,-279000000,-777000000,-366000000,643000000
89,Cash Used for Investing Activites,- -,- -,-219100000,-111855000,-161683000,-274514000,-33655000,-676226000,315141000,201651000,-664180000,-641000000,-748000000,-2839000000,-4000000,690000000,-715000000,-1167000000,-1779000000,-506000000,-1640000000,-1879000000,-5272000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80000000,-149380000,- -,-21000000,- -,- -,- -,- -,- -,-64000000,- -,-500000000,- -,-650000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,2449910000,1597000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1799937000,-600532000,-649468000,-4620000,- -,-1148000000,-1748000000,-2443000000,-3386000000,-3518000000,-3511000000,-3762000000,-4933000000,-6497000000,-4473000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-12373000,-74002000,-79259000,-78685000,-79000000,-77000000,-132000000,-255000000,-515000000,-727000000,-837000000,-942000000,-1044000000,-1345000000,-1605000000,-1741000000
94,Other Financing Activites,- -,- -,5443000,-34893000,- -,- -,- -,- -,15430000,57349000,47745000,98000000,31000000,82000000,69000000,1562000000,1787000000,2055000000,4000000,1011000000,2475000000,3926000000,-4164000000
95,Cash Used/Provided by Financing Activities,- -,- -,5443000,-34893000,- -,- -,- -,637600000,-657507000,-751378000,-184940000,19000000,-1215000000,-1798000000,-2629000000,-2339000000,-2458000000,-2293000000,-4764000000,-4966000000,-5867000000,-2152000000,-6555000000
96,Effect of Forex Changes on Cash,- -,- -,- -,1307000,8933000,11596000,-22916000,28272000,46720000,-17636000,21237000,-63000000,-54000000,7000000,45000000,-220000000,-260000000,-50000000,200000000,-6000000,-44000000,257000000,-153000000
97,Net Change In Cash,- -,- -,-17161000,160331000,37695000,80877000,216277000,639807000,474215000,-154135000,550279000,1012000000,667000000,-1682000000,1547000000,1538000000,610000000,974000000,-788000000,745000000,632000000,3450000000,-2517000000
98,Cash at the End of Period,- -,- -,176143000,336474000,374169000,328996000,545273000,1185080000,1659295000,1505160000,2055439000,3067000000,3734000000,2052000000,3599000000,5137000000,5747000000,6721000000,5933000000,8337000000,8969000000,12419000000,9902000000
99,Cash at the Beginning of Period,- -,- -,193304000,176143000,336474000,248119000,328996000,545273000,1185080000,1659295000,1505160000,2055000000,3067000000,3734000000,2052000000,3599000000,5137000000,5747000000,6721000000,7592000000,8337000000,8969000000,12419000000
100,Free Cash Flow,- -,- -,88934000,204407000,46975000,265640000,190845000,555693000,613439000,242955000,1238802000,1546000000,2507000000,2730000000,3836000000,3073000000,3701000000,4102000000,5132000000,5719000000,7455000000,6516000000,8649000000
101,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1141391/000095012303002592/0000950123-03-002592-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000095012304002820/y94488e10vk.htm,https://www.sec.gov/Archives/edgar/data/1141391/000095012305002512/y06000e10vk.htm,https://www.sec.gov/Archives/edgar/data/1141391/000119312506056300/d10k.htm,https://www.sec.gov/Archives/edgar/data/1141391/000119312507042384/d10k.htm,https://www.sec.gov/Archives/edgar/data/1141391/000119312508034694/d10k.htm,https://www.sec.gov/Archives/edgar/data/1141391/000119312509033062/0001193125-09-033062-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000119312510034065/0001193125-10-034065-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000119312511044721/d10k.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139112000003/0001141391-12-000003-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139113000003/0001141391-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139114000003/ma12312013-10xk.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139115000011/ma12312014-10xk.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139116000085/0001141391-16-000085-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139117000014/0001141391-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139118000009/0001141391-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139119000013/0001141391-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139120000032/0001141391-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/1141391/000114139121000018/0001141391-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139122000023/0001141391-22-000023-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
