,https://roic.ai/company/BRKR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,0.0288,0.0303,0.0648,-0.0356,-0.0300,-0.0172,0.0402,0.0790,0.0888,0.0842,0.1158,0.1150,0.0881,0.0772,0.0677,0.0560,0.0788,0.1102,0.1120,0.1291,0.1353,0.1136,0.1628
22,Income Tax expense (Gain),- -,986887,254000,2369000,2063000,9724000,2865000,8263000,15931000,16784000,28000000,48100000,53300000,51500000,60100000,42800000,41700000,23100000,23100000,117500000,63700000,82400000,64400000,113000000
23,Net Income,- -,1249519,2250000,3637000,-6200000,-17554000,-7831000,3646000,18481000,31529000,64900000,81200000,95400000,92300000,77500000,80100000,56700000,101600000,153600000,78600000,179700000,197200000,157800000,277100000
24,Net Income ratio,- -,0.0193,0.0294,0.0392,-0.0533,-0.0673,-0.0275,0.0123,0.0424,0.0576,0.0586,0.0729,0.0731,0.0559,0.0433,0.0435,0.0313,0.0626,0.0953,0.0445,0.0948,0.0951,0.0794,0.1146
25,EPS,- -,0.03,0.04,0.07,-0.11,-0.22,-0.09,0.04,0.18,0.30,0.40,0.50,0.58,0.56,0.47,0.48,0.34,0.60,0.95,0.50,1.15,1.27,1.03,1.81
26,EPS Diluted,- -,0.03,0.04,0.07,-0.11,-0.22,-0.09,0.04,0.18,0.30,0.39,0.49,0.58,0.55,0.46,0.48,0.33,0.60,0.95,0.49,1.14,1.26,1.02,1.79
27,Weighted Average Shares Outstanding,45500000,45500000,49269313,54825000,54812000,81280000,87011111,89521000,101512000,103702000,162700000,163500000,164400000,165400000,166000000,166500000,167800000,168200000,161400000,158100000,156200000,155200000,153400000,153400000
28,Weighted Average Shares Outstanding Diluted,45500000,45500000,49921979,55178000,54812000,81280000,87011111,89828000,102561000,106769000,165600000,164900000,165700000,166900000,167400000,168500000,169500000,169100000,162200000,159100000,157200000,156600000,154600000,154600000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1109354/000091205701505202/0000912057-01-505202-index.html,https://www.sec.gov/Archives/edgar/data/1109354/000091205702009595/0000912057-02-009595-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746903010287/0001047469-03-010287-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746904008056/0001047469-04-008056-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746905008540/0001047469-05-008540-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000110465906016214/0001104659-06-016214-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000110465907019573/0001104659-07-019573-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746908002906/0001047469-08-002906-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746909002698/0001047469-09-002698-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746910002146/0001047469-10-002146-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746911001614/0001047469-11-001614-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746912001890/0001047469-12-001890-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746913001958/0001047469-13-001958-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746914001489/0001047469-14-001489-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746915001394/0001047469-15-001394-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746916010532/0001047469-16-010532-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746917001114/0001047469-17-001114-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746918001779/0001047469-18-001779-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746919000839/0001047469-19-000839-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000110465920039645/0001104659-20-039645-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000110465921029938/0001104659-21-029938-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000119312522056531/0001193125-22-056531-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2443142,21735000,8381000,32160000,62642000,32547000,53159000,52147000,72876000,166200000,207100000,230400000,246000000,310600000,438700000,319500000,267100000,342400000,325000000,322400000,678300000,681800000,1068200000
32,Short-Term Investments,- -,- -,72894000,61750000,14751000,14195000,45144000,46419000,- -,- -,1500000,- -,- -,- -,- -,- -,178000000,201200000,157900000,114200000,- -,6600000,50000000,100000000
33,Cash and Short-Term Investments,- -,2443142,94629000,70131000,46911000,76837000,77691000,99578000,52147000,72876000,167700000,207100000,230400000,246000000,310600000,438700000,497500000,468300000,500300000,439200000,322400000,684900000,731800000,1168200000
34,Net Receivables,- -,12203888,11626000,16203000,27182000,54689000,67322000,58604000,88632000,122141000,171900000,184100000,232900000,282800000,289300000,307600000,293200000,234700000,243900000,319300000,357200000,362200000,335300000,416900000
35,Inventory,- -,25441844,36780000,47531000,67706000,110052000,107748000,96333000,134504000,171332000,425100000,422800000,511000000,576200000,611500000,589800000,477400000,422000000,440400000,486200000,509600000,577200000,692300000,710100000
36,Other Current Assets,- -,1431446,4386000,5057000,3675000,9047000,18530000,11094000,19461000,29281000,56000000,59500000,76800000,89100000,98300000,95800000,98200000,106600000,91300000,114100000,115100000,172000000,165600000,176600000
37,Total Current Assets,- -,41520320,147421000,138922000,145474000,250625000,271291000,265609000,294744000,395630000,820700000,873500000,1051100000,1194100000,1309700000,1431900000,1366300000,1231600000,1275900000,1358800000,1304300000,1796300000,1925000000,2471800000
38,PP&E,- -,25350543,25528000,37252000,52543000,81354000,84990000,72336000,90349000,103100000,221300000,223400000,233700000,249000000,283600000,299500000,249900000,231100000,239100000,266500000,270600000,371700000,462900000,406100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,39777000,40780000,46400000,47500000,98300000,100200000,115900000,127400000,127800000,130600000,130600000,169800000,275700000,293000000,320400000,- -
40,Intangible Assets,- -,438197,2335000,1595000,3410000,12643000,12170000,19049000,5579000,4128000,6000000,4900000,136100000,136400000,117000000,105600000,83800000,74700000,69700000,82400000,218700000,233200000,229100000,- -
41,Intangible Assets,- -,438197,2335000,1595000,3410000,12643000,12170000,19049000,45356000,44908000,52400000,52400000,234400000,236600000,232900000,233000000,211600000,205300000,200300000,252200000,494400000,526200000,549500000,772100000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13400000,12500000,17200000,17600000,18700000,29700000,53000000,76500000,57000000,50900000,60500000,72000000,- -
44,Other Non-Current Assets,- -,- -,9270000,11305000,1675000,6409000,3096000,3893000,2738000,9575000,21900000,9300000,18100000,13600000,12600000,5200000,7300000,9900000,16600000,14000000,8400000,16800000,39600000,- -
45,Total Non-Current Assets,- -,25788740,37133000,50152000,57628000,100406000,100256000,95278000,138443000,157583000,295600000,298500000,498700000,516400000,546700000,556400000,498500000,499300000,532500000,589700000,824300000,975200000,1124000000,1178200000
46,Other Assets,63841000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,63841000,67309060,184554000,189074000,203102000,351031000,371547000,360887000,433187000,553213000,1116300000,1172000000,1549800000,1710500000,1856400000,1988300000,1864800000,1730900000,1808400000,1948500000,2128600000,2771500000,3049000000,3650000000
48,Accounts Payable,- -,6661399,7601000,9872000,9583000,22520000,22652000,14118000,23102000,32584000,43300000,269000000,64000000,72300000,69600000,74800000,76000000,72100000,86100000,90800000,104500000,118400000,134600000,147400000
49,Short-Term Debt,- -,2496350,- -,3885000,15357000,18587000,12205000,8002000,21857000,31716000,41000000,22000000,214400000,83700000,1300000,700000,800000,700000,20100000,- -,18500000,21100000,23500000,112400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55800000,60900000,9500000,36800000,50500000,23700000,44800000,60200000,69900000,116500000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,24416000,44700000,- -,- -,351600000,349800000,346700000,278500000,255300000,224500000,198700000,220700000,240500000,307200000,197500000
52,Other Current Liabilities,- -,20282563,28766000,25565000,33240000,67493000,76303000,89407000,150169000,164237000,390700000,249200000,553100000,248200000,261100000,226400000,227400000,226500000,194000000,235000000,255600000,265600000,326600000,481200000
53,Total Current Liabilities,- -,29440312,36367000,39322000,58180000,108600000,111160000,111527000,195128000,252953000,519700000,540200000,831500000,755800000,681800000,648600000,582700000,554600000,524700000,524500000,599300000,645600000,791900000,938500000
54,Long-Term Debt,- -,12843582,12037000,11323000,8038000,26374000,27763000,21423000,22863000,6394000,182800000,115700000,86600000,219400000,335900000,354300000,354200000,266000000,391600000,415600000,322600000,812800000,842300000,1221800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34100000,29300000,32700000,34900000,33700000,37100000,44400000,46800000,48700000,38300000,42800000,50900000,- -
56,Deferred Tax Liabilities,- -,8785712,7475000,7717000,7476000,- -,- -,- -,- -,- -,- -,25200000,18800000,23800000,12100000,22600000,17800000,9500000,10100000,24300000,51100000,48800000,43100000,- -
57,Other Non-Current Liabilities,- -,6181805,4503000,3165000,3030000,13507000,15156000,19902000,23491000,34669000,101100000,38000000,56200000,53900000,82000000,78900000,101300000,123500000,142100000,201900000,212200000,304400000,346500000,404900000
58,Total Non-Current Liabilities,- -,27811099,24015000,22205000,18544000,39881000,42919000,41325000,46354000,41063000,283900000,213000000,190900000,329800000,464900000,489500000,510400000,443400000,590600000,690500000,624200000,1208800000,1282800000,1626700000
59,Other Liabilities,53501000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67600000,68300000,- -
61,Total Liabilities,53501000,57251411,60382000,61527000,76724000,148481000,154079000,152852000,241482000,294016000,803600000,753200000,1022400000,1085600000,1146700000,1138100000,1093100000,998000000,1115300000,1215000000,1223500000,1854400000,2074700000,2565200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,455000,548000,549000,550000,865000,895000,898000,1020000,1050000,1600000,1600000,1600000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,- -
64,Retained Earnings,- -,6412478,8662000,12299000,6099000,-14359000,-22190000,-18544000,17467000,48245000,172600000,253800000,349200000,441500000,519000000,599100000,655800000,757400000,885200000,942000000,1102500000,1274700000,1406500000,- -
65,Other Comprehensive Income/Loss,- -,-18633699,-19729000,-22455000,1773000,16471000,24698000,10284000,23519000,37856000,137800000,153500000,152400000,142500000,137800000,182400000,28200000,-44200000,-75900000,27000000,17000000,-25500000,3700000,-8000000
66,Other Total Stockholders Equity,10340000,21823870,134691000,137154000,117956000,199449000,213872000,215164000,149460000,171508000,-100000,8300000,21500000,35800000,48100000,62900000,80200000,11200000,-124600000,-245300000,-224600000,-344100000,-450700000,- -
67,Total Stockholders Equity,10340000,10057649,124172000,127547000,126378000,202426000,217275000,207802000,191466000,258659000,311900000,417200000,524700000,621500000,706600000,846100000,765900000,726100000,686400000,725400000,896600000,906800000,961200000,1084600000
68,Total Liabilities And Stockholders Equity,63841000,67309060,184554000,189074000,203102000,350907000,371354000,360654000,432948000,552675000,1115500000,1170400000,1547100000,1707100000,1853300000,1984200000,1859000000,1724100000,1801700000,1940400000,2120100000,2761200000,3035900000,3649800000
69,Minority Interest,- -,- -,- -,- -,- -,124000,193000,233000,239000,538000,800000,1600000,2700000,3400000,3100000,4100000,5800000,6800000,6700000,8100000,8500000,10300000,13100000,200000
70,Total Liabilities & Equity,63841000,67309060,184554000,189074000,203102000,351031000,371547000,360887000,433187000,553213000,1116300000,1172000000,1549800000,1710500000,1856400000,1988300000,1864800000,1730900000,1808400000,1948500000,2128600000,2771500000,3049000000,3650000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1109354/000091205701505202/0000912057-01-505202-index.html,https://www.sec.gov/Archives/edgar/data/1109354/000091205702009595/0000912057-02-009595-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746903010287/0001047469-03-010287-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746904008056/0001047469-04-008056-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746905008540/0001047469-05-008540-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000110465906016214/0001104659-06-016214-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000110465907019573/0001104659-07-019573-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746908002906/0001047469-08-002906-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746909002698/0001047469-09-002698-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746910002146/0001047469-10-002146-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746911001614/0001047469-11-001614-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746912001890/0001047469-12-001890-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746913001958/0001047469-13-001958-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746914001489/0001047469-14-001489-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746915001394/0001047469-15-001394-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746916010532/0001047469-16-010532-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746917001114/0001047469-17-001114-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746918001779/0001047469-18-001779-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746919000839/0001047469-19-000839-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000110465920039645/0001104659-20-039645-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000110465921029938/0001104659-21-029938-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000119312522056531/0001193125-22-056531-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,1249519,2250000,3637000,-6200000,-17554000,-7831000,3646000,18481000,31529000,64900000,81200000,95400000,92300000,77500000,80100000,56700000,101600000,153600000,78600000,179700000,197200000,157800000,277100000
74,Depreciation and Amortization,- -,3486625,4145000,6040000,8195000,16873000,9793000,8608000,13289000,12628000,29900000,29700000,36100000,3000000,59100000,61300000,59700000,53300000,54300000,63900000,64900000,75600000,80400000,89100000
75,Deferred Income Tax,- -,- -,-3340000,249000,-1601000,3369000,211000,-2186000,1412000,-2029000,-2300000,-2900000,-3600000,-4800000,-11700000,7400000,-9200000,-29400000,-22700000,28200000,-15100000,-5400000,-22500000,-5800000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6300000,6900000,7900000,7800000,6600000,9400000,8000000,9400000,11000000,11300000,9600000,16000000,17200000
77,Change in Working Capital,- -,-395655,98973992,-11454000,-12306000,54731000,18106000,-6049000,-54466000,43061000,158323000,32300000,-113700000,218700000,189600000,155400000,300000,-106600000,74200000,83100000,-129300000,445700000,-17600000,-125200000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9400000,-27300000,-52800000,1600000,-19300000,-14500000,45000000,-8400000,-55500000,-30500000,-5000000,40800000,-95300000
79,Inventory,- -,-10264776,-13028000,-15287000,-14857000,-1270000,8298000,4843000,-11675000,-26217000,8000000,21700000,-68000000,-111700000,-49500000,5700000,4600000,-5400000,-43200000,-6600000,-35500000,-60200000,-91600000,-67000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5700000,6500000,9200000,4600000,7000000,9000000,12600000,-19600000,33700000,5000000,15900000,-2400000,61800000
81,Other Working Capital,- -,12080008,111054000,99600000,87294000,142025000,160131000,154082000,99616000,142677000,301000000,333300000,219600000,438300000,627900000,783300000,783600000,677000000,751200000,834300000,705000000,1150700000,1133100000,19600000
82,Other Non-Cash Items,- -,1096744,-102230992,-9947000,522000,-63504000,-21168000,38174000,58977000,-56980000,-143923000,3200000,135000000,-229400000,-189200000,-165800000,-2600000,202300000,-138000000,-110400000,128200000,-509300000,118100000,30000000
83,Cash Provided by Operating Activities,- -,5437233,-202000,-11475000,-11390000,-6085000,-889000,42193000,37693000,28209000,106900000,149800000,156100000,87700000,133100000,145000000,114300000,229200000,130800000,154400000,239700000,213400000,332200000,282400000
84,CAPEX,- -,-4235677,-5581000,-17595000,-15916000,-5491000,-7264000,-3212000,-7623000,-16079000,-47400000,-16300000,-31900000,-54400000,-72800000,-50300000,-33800000,-34200000,-37100000,-43700000,-49200000,-73000000,-97200000,-92000000
85,Acquisitions Net,- -,-200000,22000,- -,-593000,-5499000,- -,-5605000,-26449000,-4152000,-11400000,-1900000,-269800000,-14300000,-23700000,-11100000,21400000,-28400000,-24300000,-66300000,-191600000,-90000000,-59200000,-65000000
86,Purchases of Investments,- -,- -,-92394000,-3235000,-785000,-14559000,-5392000,-1275000,- -,- -,-100000,- -,- -,- -,- -,- -,-211600000,-159400000,-126500000,-118500000,- -,-6400000,-151200000,-148500000
87,Sales/Maturities of Investments,- -,- -,- -,14438000,47764000,15110000,11588000,- -,46460000,- -,9800000,- -,- -,- -,- -,- -,19000000,118700000,165000000,186800000,117000000,- -,114700000,108200000
88,Other Investing Activites,- -,- -,12425000,-1000000,- -,- -,-446000,-357000,-89000,-304000,1400000,- -,2700000,- -,3300000,1400000,3100000,900000,1100000,11500000,400000,11000000,200000,4900000
89,Cash Used for Investing Activites,- -,-4435677,-85528000,-7392000,30470000,-10439000,-1514000,-10449000,12299000,-20535000,-47700000,-18200000,-299000000,-68700000,-93200000,-60000000,-201900000,-102400000,-21800000,-30200000,-123400000,-158400000,-192700000,-192400000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86300000,-21600000,-29300000,-299700000,-1600000,-800000,-130100000,-100000,-150900000,-222900000,-381500000,-305800000,-3200000
91,Common Stock Issued,- -,- -,109688000,227000,57000,- -,14422000,377000,1583000,19572000,3700000,1500000,6000000,3300000,4500000,8200000,7900000,10800000,11500000,20000000,9400000,10900000,3300000,7000000
92,Common Stock Repurchased,- -,- -,- -,- -,-2332000,-12000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-90000000,-160000000,-152200000,- -,-142300000,-123200000,-153300000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23400000,- -,-100000,- -,- -,- -,- -,- -,-25800000,-25400000,-25100000,-25000000,-24600000,-24200000
94,Other Financing Activites,- -,357670,-4846000,6168000,5807000,-8129000,-7648000,-7562000,-65968000,-10470000,-215400000,700000,184000000,29300000,329600000,19900000,-400000,41300000,147200000,149500000,126200000,837900000,288700000,492400000
95,Cash Used/Provided by Financing Activities,- -,357670,104842000,6395000,3532000,-8141000,6774000,-7185000,-64385000,9102000,-235100000,-84100000,168300000,3300000,34400000,26500000,6700000,-168000000,-27200000,-159000000,-112400000,300000000,-161600000,318700000
96,Effect of Forex Changes on Cash,- -,-51000,180000,-882000,1167000,2496000,2834000,-3947000,3908000,3953000,9700000,-6600000,-2100000,-6700000,-9700000,16600000,-38300000,-11200000,-6500000,17800000,-6500000,600000,25700000,-22500000
97,Net Change In Cash,- -,1308226,19292000,-13354000,23779000,-22169000,7205000,20612000,-10485000,20729000,-166200000,40900000,23300000,15600000,64600000,128100000,-119200000,-52400000,75300000,-17000000,-2600000,355600000,3600000,386200000
98,Cash at the End of Period,- -,2443142,21735000,8381000,32160000,62642000,32547000,53159000,52147000,72876000,166200000,207100000,230400000,246000000,310600000,438700000,319500000,267100000,342400000,328900000,326300000,681900000,685500000,1071700000
99,Cash at the Beginning of Period,- -,1134916,2443000,21735000,8381000,84811000,25342000,32547000,62632000,52147000,332400000,166200000,207100000,230400000,246000000,310600000,438700000,319500000,267100000,345900000,328900000,326300000,681900000,685500000
100,Free Cash Flow,- -,1201556,-5783000,-29070000,-27306000,-11576000,-8153000,38981000,30070000,12130000,59500000,133500000,124200000,33300000,60300000,94700000,80500000,195000000,93700000,110700000,190500000,140400000,235000000,190400000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1109354/000091205701505202/0000912057-01-505202-index.html,https://www.sec.gov/Archives/edgar/data/1109354/000091205702009595/0000912057-02-009595-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746903010287/0001047469-03-010287-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746904008056/0001047469-04-008056-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746905008540/0001047469-05-008540-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000110465906016214/0001104659-06-016214-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000110465907019573/0001104659-07-019573-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746908002906/0001047469-08-002906-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746909002698/0001047469-09-002698-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746910002146/0001047469-10-002146-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746911001614/0001047469-11-001614-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746912001890/0001047469-12-001890-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746913001958/0001047469-13-001958-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746914001489/0001047469-14-001489-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746915001394/0001047469-15-001394-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746916010532/0001047469-16-010532-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746917001114/0001047469-17-001114-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746918001779/0001047469-18-001779-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000104746919000839/0001047469-19-000839-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000110465920039645/0001104659-20-039645-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000110465921029938/0001104659-21-029938-index.htm,https://www.sec.gov/Archives/edgar/data/1109354/000119312522056531/0001193125-22-056531-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
