,https://roic.ai/company/ENSG,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
63,Common Stock,- -,- -,- -,14000,14000,21000,21000,21000,21000,22000,22000,22000,22000,51000,52000,53000,55000,56000,58000,58000
64,Retained Earnings,- -,- -,- -,34307000,54724000,72119000,96237000,124910000,161168000,204073000,239344000,257502000,145846000,193420000,235021000,264691000,344901000,391523000,551055000,733992000
65,Other Comprehensive Income/Loss,- -,- -,- -,-6494000,-10136000,-16544000,-24875000,-36101000,-51550000,-1308000,-1745000,-1112000,- -,-82694000,-110036000,-144093000,-182731000,-204366000,-249005000,- -
66,Other Total Stockholders Equity,1393000,7343000,- -,4807000,6545000,74081000,84638000,98729000,118564000,74698000,88850000,99684000,112983000,316547000,331412000,371746000,428710000,466984000,515969000,- -
67,Total Stockholders Equity,1393000,7343000,- -,32634000,51147000,129677000,156021000,187559000,228203000,277485000,326471000,356096000,258851000,427324000,456449000,492397000,590935000,654197000,818077000,1020768000
68,Total Liabilities And Stockholders Equity,32246000,62538000,- -,119390000,190531000,267389000,296901000,391348000,479892000,596339000,689449000,759154000,494964000,748098000,996979000,1094771000,1170553000,2359962000,2545428000,2849677000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1413000,1161000,-1048000,-339000,4046000,7662000,11405000,1947000,150000,946000
70,Total Liabilities & Equity,32246000,62538000,- -,119390000,190531000,267389000,296901000,391348000,479892000,596339000,690862000,760315000,493916000,747759000,1001025000,1102433000,1181958000,2361909000,2545578000,2850623000
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1125376/000089256908000267/a38242e10vk.htm,https://www.sec.gov/Archives/edgar/data/1125376/000089256909000090/0000892569-09-000090-index.html,https://www.sec.gov/Archives/edgar/data/1125376/000095012310013769/0000950123-10-013769-index.html,https://www.sec.gov/Archives/edgar/data/1125376/000144530511000273/ensg12311010k.htm,https://www.sec.gov/Archives/edgar/data/1125376/000112537612000007/0001125376-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/1125376/000112537613000022/0001125376-13-000022-index.html,https://www.sec.gov/Archives/edgar/data/1125376/000112537614000008/ensg12311310k.htm,https://www.sec.gov/Archives/edgar/data/1125376/000112537615000019/ensg12311410k.htm,https://www.sec.gov/Archives/edgar/data/1125376/000112537616000142/0001125376-16-000142-index.html,https://www.sec.gov/Archives/edgar/data/1125376/000112537617000013/0001125376-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1125376/000112537618000028/0001125376-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/1125376/000112537619000016/0001125376-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1125376/000112537620000018/0001125376-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1125376/000112537621000020/0001125376-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1125376/000112537622000019/0001125376-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,18388000,22549000,20527000,27509000,32486000,40526000,47675000,40591000,24040000,35950000,55432000,49990000,40475000,92364000,110534000,170478000,194652000
74,Depreciation and Amortization,- -,- -,- -,2458000,4221000,6978000,9136000,13554000,16633000,24003000,28464000,33942000,26430000,28111000,38682000,44472000,47344000,51054000,54571000,55985000
75,Deferred Income Tax,- -,- -,- -,-3913000,-4426000,831000,-79000,-711000,-2574000,1090000,-4575000,3006000,-3110000,1251000,-2208000,10329000,1095000,3490000,-27809000,-24878000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,1682000,2330000,2904000,3356000,4739000,4399000,5190000,6677000,9101000,9695000,10337000,11322000,14524000,18678000
77,Change in Working Capital,- -,- -,- -,415000,9194000,34688000,-16158000,-1252000,31083000,-36390000,6000000,52288000,-15331000,31895000,6830000,20321000,-63410000,-10937000,-47351000,24187000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-1786000,-17974000,-13143000,-24795000,-16150000,-27290000,-31867000,-100324000,-63617000,-52301000,-13099000,-60424000,2171000,-30771000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-2017000,2816000,-310000,2701000,3152000,-2236000,7978000,1780000,577000,3329000,3082000,4457000,6627000,7117000
81,Other Working Capital,- -,- -,- -,19087000,28281000,62969000,46811000,45559000,76642000,40252000,46252000,98540000,83209000,115104000,121934000,142255000,78845000,67908000,20557000,59000
82,Other Non-Cash Items,- -,- -,- -,3098000,-593000,-44375000,24581000,-136000,-28071000,32953000,6831000,-80251000,35751000,-89997000,-28507000,-52340000,122572000,26760000,208938000,7060000
83,Cash Provided by Operating Activities,- -,- -,- -,20446000,30945000,18649000,46671000,46271000,60501000,72687000,82050000,37424000,84880000,33369000,73888000,72952000,210302000,192223000,373351000,275684000
84,CAPEX,- -,- -,- -,-5685000,-14086000,-35657000,-19822000,-21877000,-28722000,-40773000,-38853000,-29759000,-53693000,-60018000,-65699000,-57166000,-54948000,-71541000,-50326000,-69550000
85,Acquisitions Net,- -,- -,- -,-14884000,-28967000,-9452000,-20523000,-51211000,-13505000,-130307000,-31558000,-41494000,-90669000,-108802000,-23576000,-89565000,-4725000,-6455000,- -,-7984000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12332000,-21708000,-32257000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,- -,- -,- -,- -,- -,8857000,24479000,27481000
88,Other Investing Activites,- -,- -,- -,-303000,-656000,-655000,-10585000,-7381000,-14959000,15028000,-13847000,4418000,-28489000,282000,-121361000,40138000,-91538000,-165544000,-11111000,-91597000
89,Cash Used for Investing Activites,- -,- -,- -,-20872000,-43709000,-45764000,-50930000,-80469000,-57186000,-156052000,-84258000,-65235000,-172851000,-168538000,-210636000,-106593000,-151211000,-247015000,-58666000,-173907000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-3021000,-4132000,-2082000,-46259000,-16825000,-7207000,-333267000,-314417000,-659514000,-990154000,-914939000,-1296654000,-629745000,-3056000
91,Common Stock Issued,- -,- -,- -,221000,454000,56943000,437000,464000,963000,2848000,- -,- -,- -,112078000,- -,- -,1972000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-2301000,-2801000,-1000,- -,- -,- -,- -,-174000,- -,- -,- -,-30000000,-7288000,-1972000,-6891000,-25917000,-11829000
93,Dividends Paid,- -,- -,- -,-1254000,-1975000,-2631000,-3285000,-3707000,-4149000,-4637000,-6604000,-4318000,-6297000,-7494000,-8173000,-8717000,-9419000,-10190000,-10830000,-11548000
94,Other Financing Activites,- -,- -,- -,640000,30942000,-955000,-278000,39102000,35186000,88909000,37150000,64406000,412188000,336163000,850572000,1024431000,854013000,1396619000,529194000,-49705000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-2694000,26620000,53356000,-6147000,31727000,29918000,40861000,13547000,52881000,72624000,126330000,152885000,18272000,-70345000,82884000,-137298000,-76138000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-3120000,13856000,26241000,-10406000,-2471000,33233000,-42504000,11339000,25070000,-15347000,-8839000,16137000,-15369000,-11254000,28092000,177387000,25639000
98,Cash at the End of Period,- -,- -,- -,11635000,25491000,51732000,41326000,38855000,72088000,29584000,40923000,65755000,50408000,41569000,57706000,42337000,31083000,59175000,236562000,262201000
99,Cash at the Beginning of Period,- -,- -,- -,14755000,11635000,25491000,51732000,41326000,38855000,72088000,29584000,40685000,65755000,50408000,41569000,57706000,42337000,31083000,59175000,236562000
100,Free Cash Flow,- -,- -,- -,14761000,16859000,-17008000,26849000,24394000,31779000,31914000,43197000,7665000,31187000,-26649000,8189000,15786000,155354000,120682000,323025000,206134000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1125376/000089256908000267/a38242e10vk.htm,https://www.sec.gov/Archives/edgar/data/1125376/000089256909000090/0000892569-09-000090-index.html,https://www.sec.gov/Archives/edgar/data/1125376/000095012310013769/0000950123-10-013769-index.html,https://www.sec.gov/Archives/edgar/data/1125376/000144530511000273/ensg12311010k.htm,https://www.sec.gov/Archives/edgar/data/1125376/000112537612000007/0001125376-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/1125376/000112537613000022/0001125376-13-000022-index.html,https://www.sec.gov/Archives/edgar/data/1125376/000112537614000008/ensg12311310k.htm,https://www.sec.gov/Archives/edgar/data/1125376/000112537615000019/ensg12311410k.htm,https://www.sec.gov/Archives/edgar/data/1125376/000112537616000142/0001125376-16-000142-index.html,https://www.sec.gov/Archives/edgar/data/1125376/000112537617000013/0001125376-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1125376/000112537618000028/0001125376-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/1125376/000112537619000016/0001125376-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1125376/000112537620000018/0001125376-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1125376/000112537621000020/0001125376-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1125376/000112537622000019/0001125376-22-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
