,https://roic.ai/company/VRTS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,- -,- -,- -,- -,- -,- -,29696000,18087000,19400000,21136000,27089000,37328000,50166000,49721000,38757000,35879000,65648000,70047000,74132000,84499000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,2252000,9290000,3313000,3009000,5244000,5094000,- -,8230000,10353000,984000,-89871000,-78622000,-61985000,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,83127000,84847000,60777000,78366000,92595000,164826000,470360000,504867000,478378000,264895000,299930000,324703000,396071000,331010000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,2232000,5895000,8241000,6557000,5453000,7788000,7219000,7193000,9116000,7728000,10833000,20154000,18150000,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,454369000,4795000,4795000,4795000,4795000,5260000,5260000,5260000,6701000,6788000,170153000,290366000,290366000,290366000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,208176000,60985000,54844000,52977000,52096000,48711000,44633000,41783000,40887000,38427000,301954000,338812000,310391000,280264000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,662545000,65780000,59639000,57772000,56891000,53971000,49893000,47043000,47588000,45215000,472107000,629178000,600757000,570630000,- -
42,Investments,- -,- -,- -,- -,- -,- -,4259000,2487000,5366000,6216000,9341000,10384000,37258000,63448000,256223000,436338000,1706244000,1829126000,2113316000,2398221000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122099000,95780000,64500000,60162000,54143000,47535000,32428000,22116000,15879000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15724000,16060000,14281000,22677000,69257000,45258000,60461000,-2398221000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,669036000,74162000,73246000,70545000,193784000,167923000,174594000,193906000,381351000,559493000,2290869000,2545832000,2808563000,570630000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3934
47,Total Assets,- -,- -,- -,- -,- -,- -,752163000,159009000,134023000,148911000,286379000,332749000,644954000,698773000,859729000,824388000,2590799000,2870535000,3204634000,901640000,3934
48,Accounts Payable,- -,- -,- -,- -,- -,- -,3667000,5642000,4406000,4229000,5031000,13994000,29912000,31627000,23036000,25176000,29607000,27926000,23308000,25357000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,12000000,4000000,- -,- -,- -,- -,- -,- -,- -,30000000,- -,329184000,277839000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,12028000,626000,261000,61000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,70671000,42030000,24251000,29931000,41626000,48417000,61575000,71641000,87724000,68007000,119482000,171807000,278343000,2190445000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,86338000,51672000,28657000,34160000,46657000,62411000,91487000,103268000,110760000,123183000,149089000,528917000,579490000,2215802000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,31784000,17178000,21169000,21775000,21350000,15000000,- -,- -,152597000,328761000,1705755000,1620260000,1834535000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,9114000,8527000,8567000,8785000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,45000000,45900000,35921000,35217000,10867000,60599000,32153000,86915000,50771000,130731000,77491000,104352000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,40898000,70705000,75636000,66481000,56567000,25867000,60599000,32153000,239512000,379532000,1836486000,1697751000,1938887000,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,414688000,2959
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7704000,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,127236000,122377000,104293000,100641000,103224000,88278000,152086000,135421000,350272000,502715000,1985575000,2226668000,2518377000,2630490000,2959
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110843000,110843000,110843000,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,58000,58000,63000,63000,81000,95000,96000,96000,91000,105000,106000,107000,118000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-337573000,-866661000,-873145000,-863503000,-718083000,-680411000,-605221000,-507521000,-472614000,-424279000,-386216000,-310865000,-215216000,-135259000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-46000,-590000,-145000,-308000,-14000,-287000,-150000,-242000,-1034000,-224000,-600000,-731000,9000,29000,0
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,984075000,903825000,902962000,912018000,901189000,925091000,1098206000,1071209000,983176000,746085000,864425000,830556000,779956000,846253000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,624927000,36632000,29730000,48270000,183155000,244474000,492930000,563542000,509624000,321673000,588557000,629909000,675699000,711141000,828300000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,752163000,159009000,134023000,148911000,286379000,332752000,645016000,698963000,859896000,824388000,2574132000,2856577000,3194076000,3341631000,828302959
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000,-62000,-190000,-167000,- -,16667000,13958000,10558000,-2439991000,-828299024
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,752163000,159009000,134023000,148911000,286379000,332749000,644954000,698773000,859729000,824388000,2590799000,2870535000,3204634000,901640000,3934
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/883237/000119312510049192/0001193125-10-049192-index.html,https://www.sec.gov/Archives/edgar/data/883237/000119312511050262/d10k.htm,https://www.sec.gov/Archives/edgar/data/883237/000119312512092136/0001193125-12-092136-index.html,https://www.sec.gov/Archives/edgar/data/883237/000119312513087932/0001193125-13-087932-index.html,https://www.sec.gov/Archives/edgar/data/883237/000119312514065148/d640483d10k.htm,https://www.sec.gov/Archives/edgar/data/883237/000119312515072018/d842922d10k.htm,https://www.sec.gov/Archives/edgar/data/883237/000162828016011648/0001628280-16-011648-index.html,https://www.sec.gov/Archives/edgar/data/883237/000088323717000020/0000883237-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/883237/000088323718000026/0000883237-18-000026-index.html,https://www.sec.gov/Archives/edgar/data/883237/000088323719000026/0000883237-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/883237/000088323720000059/0000883237-20-000059-index.html,https://www.sec.gov/Archives/edgar/data/883237/000088323721000075/0000883237-21-000075-index.htm,https://www.sec.gov/Archives/edgar/data/883237/000088323722000056/0000883237-22-000056-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,-47600000,-14150000,-529088000,-6484000,9642000,145420000,37672000,75190000,97700000,35106000,48502000,37012000,75529000,95649000,119963000,208131000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,34740000,31192000,26264000,8991000,6929000,5865000,6198000,7046000,6759000,6967000,5796000,18329000,33426000,39643000,38853000,50769000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-17750000,-7242000,-65311000,40000,218000,-132477000,26689000,32596000,4394000,6356000,6399000,22835000,10429000,5982000,6332000,-9664000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,3521000,3894000,5625000,6927000,7960000,9778000,11863000,11948000,20327000,23100000,22230000,21481000,26225000
77,Change in Working Capital,- -,- -,- -,- -,- -,4076000,-37603000,36386000,-1055000,12086000,1732000,56477000,276458000,22726000,-33981000,-225906000,9129000,-355055000,20795000,-1701373000,1884790578
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-899000,2897000,-1313000,-1736000,-5953000,-9585000,-13416000,-4157000,10620000,-1695000,-961000,24794000,-1382000,-9698000,-30057000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72628000
81,Other Working Capital,- -,- -,- -,- -,- -,34392000,-3211000,33175000,32120000,44206000,45938000,102415000,378873000,401599000,367618000,141712000,150841000,-204214000,-183419000,-1884792000,-1422
82,Other Non-Cash Items,- -,- -,- -,- -,- -,42444000,40789000,538100000,-16663000,-11032000,-2515000,-94145000,-370413000,-200228000,-235741000,183783000,-290324000,150016000,-221022000,1288641000,-1494522578
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,15910000,12986000,6351000,-11650000,21737000,23650000,39818000,28837000,-58871000,-209430000,30522000,-182692000,-62555000,-36723000,-226103000,665729000
84,CAPEX,- -,- -,- -,- -,- -,-1550000,-460000,-4800000,-824000,-323000,-743000,-3782000,-2009000,-2432000,-4683000,-2023000,-1511000,-11717000,-7555000,- -,-5838000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89000,6150000,-393446000,-126995000,- -,- -,-155636000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-1230000,-1198000,-1171000,-1537000,-3327000,-729000,-196000,-313000,-227000,-145000,-21433000,-20188000,- -,12296000,-7952000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37785000,2023000,- -,-7952000
88,Other Investing Activites,- -,- -,- -,- -,- -,-6500000,- -,- -,- -,- -,- -,-656000,-4026000,-5436000,-1617000,-903000,-604000,-113000,9980000,-2615000,-3493000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-8050000,-1690000,-5998000,-1995000,-1860000,-4070000,-5167000,-6231000,-8181000,-6438000,3079000,-416994000,-121228000,4448000,8681000,-175033000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-69243000,-22019000,-20000000,- -,- -,- -,-15000000,- -,-350000,-3557000,-137120000,-693276000,-250548000,-79086000,-12513000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,191771000,- -,- -,- -,109487000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-924000,-7870000,-8940000,-19704000,-40261000,-80000000,-233757000,-7502000,-27501000,-40000000,-32500000,-57499000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-2187000,-2860000,-3404000,-10186000,- -,- -,-8182000,-16047000,-13774000,-18834000,-22376000,-25315000,-2084000,-31411000
94,Other Financing Activites,- -,- -,- -,- -,- -,2190000,60900000,38094000,14069000,-221000,-205000,-7532000,28426000,47254000,206345000,202790000,804433000,947310000,415421000,349002000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,2190000,-8343000,13888000,-8791000,-4549000,-18261000,-16472000,185493000,-1189000,109948000,-48298000,750464000,204157000,99558000,235332000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,10060000,2953000,14241000,-22436000,15328000,1319000,18179000,208099000,-68241000,-105920000,-14697000,150778000,20374000,67283000,- -,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,211765000,36815000,51056000,28620000,43948000,45267000,63446000,271545000,203304000,97384000,82687000,233465000,254656000,321939000,- -,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,201705000,33862000,36815000,51056000,28620000,43948000,45267000,63446000,271545000,203304000,97384000,82687000,234282000,254656000,- -,- -
100,Free Cash Flow,- -,- -,- -,- -,- -,14360000,12526000,1551000,-12474000,21414000,22907000,36036000,26828000,-61303000,-214113000,28499000,-184203000,-74272000,-44278000,-226103000,659891000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/883237/000119312510049192/0001193125-10-049192-index.html,https://www.sec.gov/Archives/edgar/data/883237/000119312511050262/d10k.htm,https://www.sec.gov/Archives/edgar/data/883237/000119312512092136/0001193125-12-092136-index.html,https://www.sec.gov/Archives/edgar/data/883237/000119312513087932/0001193125-13-087932-index.html,https://www.sec.gov/Archives/edgar/data/883237/000119312514065148/d640483d10k.htm,https://www.sec.gov/Archives/edgar/data/883237/000119312515072018/d842922d10k.htm,https://www.sec.gov/Archives/edgar/data/883237/000162828016011648/0001628280-16-011648-index.html,https://www.sec.gov/Archives/edgar/data/883237/000088323717000020/0000883237-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/883237/000088323718000026/0000883237-18-000026-index.html,https://www.sec.gov/Archives/edgar/data/883237/000088323719000026/0000883237-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/883237/000088323720000059/0000883237-20-000059-index.html,https://www.sec.gov/Archives/edgar/data/883237/000088323721000075/0000883237-21-000075-index.htm,https://www.sec.gov/Archives/edgar/data/883237/000088323722000056/0000883237-22-000056-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
