,https://roic.ai/company/MSCI,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.40,0.37,0.65,0.86,0.96,0.67,0.80,0.81,1.41,1.48,1.83,2.43,2.03,2.70,3.31,5.66,6.59,7.12,8.67
27,Weighted Average Shares Outstanding,83900000,56256000,83900000,83900000,84608000,100037000,100607000,112074000,120717000,122023000,120100000,115737000,109124000,95986000,90336000,87179000,84644000,83716000,82473000
28,Weighted Average Shares Outstanding Diluted,83900000,56256000,83900000,83900000,84624000,101194000,102475000,113357000,122276000,123204000,121074000,116706000,109926000,96540000,91914000,89701000,85536000,84517000,83578000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1408198/000119312509014341/0001193125-09-014341-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1408198/000119312512086989/0001193125-12-086989-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000119312513087988/0001193125-13-087988-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000119312514077882/d640965d10k.htm,https://www.sec.gov/Archives/edgar/data/1408198/000119312515069699/d832959d10k.htm,https://www.sec.gov/Archives/edgar/data/1408198/000119312516482334/0001193125-16-482334-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000156459017002336/0001564590-17-002336-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000156459018003147/0001564590-18-003147-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000156459019003885/0001564590-19-003885-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000156459020004992/0001564590-20-004992-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000156459021005811/0001564590-21-005811-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000156459022004803/0001564590-22-004803-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5735000,- -,23411000,24362000,33818000,268077000,176024000,226575000,252211000,183309000,358434000,508799000,777706000,791834000,889502000,904176000,1506567000,1300521000,1421449000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,295304000,73891000,140490000,70898000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5735000,- -,23411000,24362000,33818000,268077000,471328000,300466000,392701000,254207000,358434000,508799000,777706000,791834000,889502000,904176000,1506567000,1300521000,1421449000
34,Net Receivables,89124000,- -,88753000,100175000,80375000,87488000,77180000,147662000,180566000,153557000,169490000,178717000,208239000,221504000,327597000,473433000,499268000,558569000,664511000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,257521000,337669000,167210000,36690000,53976000,88155000,104676000,107071000,109111000,83116000,77326000,42332000,50030000,57480000,75942000,66508000,57450000
37,Total Current Assets,- -,- -,369685000,462206000,281403000,392255000,602484000,536283000,677943000,514835000,637035000,770632000,1063271000,1055670000,1267129000,1435089000,2081777000,1925598000,2143410000
38,PP&E,- -,- -,6250000,5186000,4246000,28447000,29381000,34368000,37623000,67419000,85588000,94074000,98926000,95585000,94437000,90877000,257114000,233776000,211299000
39,Goodwill,- -,- -,441623000,441623000,441623000,441623000,441623000,1706671000,1708585000,1783410000,1798821000,1564904000,1565621000,1555850000,1560621000,1545761000,1562868000,1566022000,2236386000
40,Intangible Assets,- -,- -,226916000,200760000,174407000,145907000,120189000,716250000,644881000,641074000,595707000,433628000,391490000,347640000,321836000,280803000,261487000,234748000,593341000
41,Intangible Assets,- -,- -,668539000,642383000,616030000,587530000,561812000,2422921000,2353466000,2424484000,2394528000,1998532000,1957111000,1903490000,1882457000,1826564000,1824355000,1800770000,2829727000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190898000,218763000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9180000,9531000,12013000,14903000,20911000,23627000,40119000
44,Other Non-Current Assets,- -,- -,3045000,3000000,3000000,6816000,6592000,29594000,23964000,12901000,17386000,30937000,18499000,18302000,19632000,20519000,20282000,23978000,63385000
45,Total Non-Current Assets,- -,- -,677834000,650569000,623276000,622793000,597785000,2486883000,2415053000,2504804000,2497502000,2123543000,2083716000,2026908000,2008539000,1952863000,2122662000,2273049000,3363293000
46,Other Assets,123100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,123100000,- -,1047519000,1112775000,904679000,1015048000,1200269000,3023166000,3092996000,3019639000,3134537000,2894175000,3146987000,3082578000,3275668000,3387952000,4204439000,4198647000,5506703000
48,Accounts Payable,- -,- -,- -,- -,- -,900000,1878000,2162000,239000,2985000,1198000,2835000,2512000,568000,1612000,3892000,6498000,14253000,13448000
49,Short-Term Debt,- -,- -,- -,- -,- -,22086000,42088000,54916000,10339000,43093000,19772000,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14210000,26195000,59635000
51,Deferred Revenue,- -,- -,87952000,102368000,125230000,144711000,152944000,271300000,289217000,308022000,319735000,310775000,317552000,334358000,374365000,537977000,574656000,675870000,824912000
52,Other Current Liabilities,- -,- -,126836000,118614000,119701000,123397000,95590000,138546000,153010000,155845000,162336000,159302000,178052000,201644000,231694000,267139000,319632000,331646000,412577000
53,Total Current Liabilities,- -,- -,214788000,220982000,244931000,291094000,292500000,466924000,452805000,509945000,503041000,472912000,498116000,536570000,607671000,809008000,900786000,1021769000,1250937000
54,Long-Term Debt,- -,- -,- -,- -,402750000,379709000,337622000,1207881000,1066548000,811623000,788010000,800000000,1579404000,2075201000,2078093000,2575502000,3236070000,3519119000,4311451000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,75514000,66081000,56977000,49364000,40080000,240944000,240456000,234245000,221054000,137838000,110937000,94067000,78027000,82008000,66639000,12774000,3650000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,8499000,23011000,27300000,27755000,38595000,46068000,50592000,57043000,59135000,110865000,87928000,77658000,88219000,104132000
58,Total Non-Current Liabilities,- -,- -,75514000,66081000,459727000,437572000,400713000,1476125000,1334759000,1084463000,1055132000,988430000,1747384000,2228403000,2266985000,2745438000,3380367000,3620112000,4419233000
59,Other Liabilities,86476000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164144000,152342000,150029000
61,Total Liabilities,86476000,- -,290302000,287063000,704658000,728666000,693213000,1943049000,1787564000,1594408000,1558173000,1461342000,2245500000,2764973000,2874656000,3554446000,4281153000,4641881000,5670170000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,29000,29000,1000000,1001000,1054000,1205000,1227000,1240000,1256000,1266000,1282000,1290000,1295000,1300000,1324000,1328000,1332000
64,Retained Earnings,- -,- -,109676000,176121000,-65884000,2212000,84013000,176183000,363461000,547699000,770256000,1022695000,1158462000,1322224000,1505204000,1856951000,2199294000,2554295000,2976517000
65,Other Comprehensive Income/Loss,- -,- -,-8430000,-11929000,-13404000,-7000000,-7590000,-1966000,-5000000,-3000000,-1000000,-25000000,-36000000,-61000000,-48000000,-58000000,-62579000,-58859000,-58795000
66,Other Total Stockholders Equity,36624000,- -,655942000,661491000,278309000,290169000,429579000,904695000,945744000,879292000,805852000,433872000,-222257000,-944909000,-1057487000,-1966745000,-2214753000,-2939998000,-3082521000
67,Total Stockholders Equity,36624000,- -,757217000,825712000,200021000,286382000,507056000,1080117000,1305432000,1425231000,1576364000,1432833000,901487000,317605000,401012000,-166494000,-76714000,-443234000,-163467000
68,Total Liabilities And Stockholders Equity,123100000,- -,1047519000,1112775000,904679000,1015048000,1200269000,3023166000,3092996000,3019639000,3134537000,2894175000,3146987000,3082578000,3275668000,3387952000,4204439000,4198647000,5506703000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,123100000,- -,1047519000,1112775000,904679000,1015048000,1200269000,3023166000,3092996000,3019639000,3134537000,2894175000,3146987000,3082578000,3275668000,3387952000,4204439000,4198647000,5506703000
71,SEC Link,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1408198/000119312509014341/0001193125-09-014341-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1408198/000119312512086989/0001193125-12-086989-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000119312513087988/0001193125-13-087988-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000119312514077882/d640965d10k.htm,https://www.sec.gov/Archives/edgar/data/1408198/000119312515069699/d832959d10k.htm,https://www.sec.gov/Archives/edgar/data/1408198/000119312516482334/0001193125-16-482334-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000156459017002336/0001564590-17-002336-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000156459018003147/0001564590-18-003147-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000156459019003885/0001564590-19-003885-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000156459020004992/0001564590-20-004992-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000156459021005811/0001564590-21-005811-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000156459022004803/0001564590-22-004803-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,54554000,71445000,81111000,68268000,81801000,92170000,173454000,184238000,222557000,284113000,223648000,260855000,303972000,507885000,563648000,601822000,725983000
74,Depreciation and Amortization,- -,- -,32077000,29655000,27828000,33470000,37511000,59012000,85230000,81998000,80505000,74547000,77799000,81353000,79987000,85535000,79409000,110795000,134125000
75,Deferred Income Tax,- -,- -,-52213000,-10013000,-22643000,-7178000,-14338000,926000,5625000,-30195000,-15066000,-4960000,-10288000,-16967000,-18902000,-780000,-20767000,-55645000,-111369000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,35161000,32285000,31723000,25323000,25004000,26585000,28558000,32001000,36576000,38897000,41199000,51094000,54917000
77,Change in Working Capital,- -,- -,32253000,86327000,-204752000,64689000,208823000,-240625000,155779000,-220248000,129104000,163726000,267435000,-46055000,140358000,-33377000,1585000,51924000,60148000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,8560000,-35851000,-42284000,35473000,-16412000,-26821000,-30900000,-18494000,-105593000,-153942000,-25923000,-57606000,-99203000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,688000,-2653000,57000,1979000,-2145000,2128000,-298000,-1912000,1027000,2300000,2584000,7482000,-2195000
81,Other Working Capital,- -,- -,154897000,241224000,36472000,101161000,309984000,69359000,225138000,4890000,133994000,297720000,565155000,519100000,659458000,626081000,64642000,102097000,161855000
82,Other Non-Cash Items,- -,- -,-6790000,-93749000,228681000,-4168000,-218016000,239586000,-196814000,305959000,-121657000,-238338000,-281158000,123551000,-137833000,14602000,44449000,51119000,72265000
83,Cash Provided by Operating Activities,- -,- -,59881000,83665000,110225000,155081000,130942000,183354000,254997000,347075000,320447000,305673000,305994000,434738000,404158000,612762000,709523000,811109000,936069000
84,CAPEX,- -,- -,-346000,-2435000,-535000,-25556000,-13412000,-13190000,-23111000,-44884000,-43540000,-50875000,-49152000,-42628000,-48817000,-48961000,-53770000,-50975000,-52794000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-1101243000,- -,-120000000,-23000000,348000000,-7000000,1000000,- -,84000000,-18177000,-190816000,-975350000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-563386000,-194416000,-217792000,-137306000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,647000,20000,- -,- -,268582000,416550000,150292000,207032000,70900000,- -,6736000,- -,771000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-64009000,-77349000,192606000,137625000,- -,22000,-23111000,-44087000,-43779000,-50963000,-48597000,-43031000,-48817000,-49126000,-53760000,-50975000,-60363000
89,Cash Used for Investing Activites,- -,- -,-63708000,-79764000,192071000,112069000,-308216000,-892277000,-90611000,-94361000,4121000,297037000,-48861000,-42031000,-48046000,34874000,-71937000,-241791000,-1035713000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-22250000,-528389000,-1312062000,-1103563000,-48000000,-810000000,- -,- -,- -,- -,-513125000,-1142382000,-1051810000
91,Common Stock Issued,- -,- -,- -,- -,265035000,- -,115755000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-681000,-18487000,-14151000,-14626000,-105989000,-112183000,-409651000,-700715000,-774565000,-150461000,-949888000,-292075000,-778519000,-198374000
93,Dividends Paid,- -,- -,- -,-5000000,-973000000,- -,- -,- -,- -,- -,- -,-20393000,-87743000,-96191000,-119717000,-170938000,-222922000,-246444000,-302449000
94,Other Financing Activites,- -,- -,- -,- -,415901000,-22271000,7524000,1300598000,1148694000,886576000,14335000,797716000,808407000,505482000,2635000,494343000,991455000,1388307000,1782138000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-5000000,-292064000,-22952000,82542000,758058000,-177994000,-322976000,-145848000,-442328000,19949000,-365274000,-267543000,-626483000,-36667000,-779038000,229505000
96,Effect of Forex Changes on Cash,- -,- -,-5838000,2050000,-776000,-9939000,2679000,1416000,-3604000,1360000,-3595000,-10017000,-8175000,-13305000,9099000,-6479000,1472000,3674000,-8933000
97,Net Change In Cash,- -,- -,-9665000,951000,9456000,234259000,-92053000,50551000,-17212000,-68902000,175125000,150365000,268907000,14128000,97668000,14674000,602391000,-206046000,120928000
98,Cash at the End of Period,- -,- -,23411000,24362000,33818000,268077000,176024000,226575000,252211000,183309000,358434000,508799000,777706000,791834000,889502000,904176000,1506567000,1300521000,1421449000
99,Cash at the Beginning of Period,- -,- -,33076000,23411000,24362000,33818000,268077000,176024000,269423000,252211000,183309000,358434000,508799000,777706000,791834000,889502000,904176000,1506567000,1300521000
100,Free Cash Flow,- -,- -,59535000,81230000,109690000,129525000,117530000,170164000,231886000,302191000,276907000,254798000,256842000,392110000,355341000,563801000,655753000,760134000,883275000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1408198/000119312509014341/0001193125-09-014341-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1408198/000119312512086989/0001193125-12-086989-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000119312513087988/0001193125-13-087988-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000119312514077882/d640965d10k.htm,https://www.sec.gov/Archives/edgar/data/1408198/000119312515069699/d832959d10k.htm,https://www.sec.gov/Archives/edgar/data/1408198/000119312516482334/0001193125-16-482334-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000156459017002336/0001564590-17-002336-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000156459018003147/0001564590-18-003147-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000156459019003885/0001564590-19-003885-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000156459020004992/0001564590-20-004992-index.html,https://www.sec.gov/Archives/edgar/data/1408198/000156459021005811/0001564590-21-005811-index.htm,https://www.sec.gov/Archives/edgar/data/1408198/000156459022004803/0001564590-22-004803-index.htm
102,false,,,,,,,,,,,,,,,,,,,
