,https://roic.ai/company/NSEC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,- -,100000,100000,400000,200000,200000,- -,81000,46000,33000,107000,38000,95000,-2667000,-8831000,69000,4189000,675000,2906000,-48000,-589000,-261000,-109000,35000,-63000,255000,2374000,4000,2000,188000,11000,3000,-13825000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-2000000,2800000,-4900000,-6900000,200000,4700000,-764000,-5101000,4783000,1641000,1875000,-927000,-4961000,-8875000,453000,2505000,-4782000,-1276000,9258000,-5587000,-4931000,9888000,4111000,-357000,-7008000,-4835000,684000,-1113000,-2149000,1656000,23083000,-13887000
90,Debt Repayment,- -,- -,- -,- -,- -,-1100000,-900000,- -,- -,- -,- -,- -,- -,-190000,-332000,-271000,-293000,-205000,-321000,-328000,-2209000,-2047000,-2171000,-900000,- -,- -,- -,- -,- -,-3958000,-1357000,-5686000,-2000000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-70000,-98000,-3251000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-1000000,-1000000,-1100000,-1200000,-1300000,-1400000,-1509000,-1623000,-1712000,-1664000,-1748000,-1865000,-1986000,-2035000,-2084000,-2134000,-2183000,-2220000,-2220000,-1480000,-1480000,-1357000,-802000,-248000,-300000,-402000,-452000,-504000,-505000,-531000,-607000,-608000
94,Other Financing Activites,- -,- -,- -,- -,- -,200000,-100000,- -,100000,- -,300000,836000,-439000,2686000,87000,157000,813000,2041000,495000,138000,9277000,-34000,4027000,35000,3000,504000,42000,13783000,-3846000,838000,51000,4911000,577000,-1491000,-365000,-508000,-540000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-1900000,-2000000,-1100000,-1100000,-1300000,-1300000,-743000,-2160000,-2467000,-1909000,-1862000,-1345000,-150000,-1861000,-2274000,4934000,-4264000,-364000,-3085000,-1477000,-976000,-1315000,12981000,-4094000,-3420000,-1708000,-1227000,-1927000,-1996000,-896000,-1115000,-1148000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-1900000,-2000000,-1100000,-1100000,-1300000,-1300000,-54000,217000,419000,600000,-429000,641000,-790000,-23000,-935000,1990000,-1244000,2193000,-272000,1659000,-3114000,1821000,3386000,-1792000,1439000,337000,605000,-724000,-968000,6133000,8078000,-9853000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147000,364000,783000,1383000,954000,1595000,805000,782000,360000,2350000,1106000,3299000,3027000,4686000,1572000,3393000,6779000,4987000,6426000,6763000,7368000,6644000,5676000,11809000,19887000,10034000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,300000,800000,1800000,500000,600000,400000,201000,147000,364000,783000,1383000,954000,1595000,805000,1295000,360000,2350000,1106000,3299000,3027000,4686000,1572000,3393000,6779000,4987000,6426000,6763000,7368000,6644000,5676000,11809000,19887000
100,Free Cash Flow,- -,- -,- -,- -,- -,4500000,100000,4500000,8100000,1000000,-3900000,1352000,7268000,-2007000,638000,-820000,2578000,3229000,9861000,-441000,-8357000,6650000,2686000,-6813000,8607000,2499000,-7225000,-14009000,2584000,11543000,6742000,1054000,2254000,3148000,5268000,-13941000,5120000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/865058/000086505806000014/0000865058-06-000014-index.htm,- -,https://www.sec.gov/Archives/edgar/data/865058/000086505808000016/0000865058-08-000016-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505809000011/0000865058-09-000011-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505810000021/0000865058-10-000021-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505811000007/0000865058-11-000007-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505812000010/0000865058-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505813000008/0000865058-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505814000007/0000865058-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505815000012/0000865058-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505816000073/0000865058-16-000073-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505817000008/0000865058-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505818000006/0000865058-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505819000007/0000865058-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505820000008/0000865058-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505821000010/0000865058-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/865058/000086505822000011/0000865058-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
