,https://roic.ai/company/HIW,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,-7700000,-28100000,57408000,124276000,246028000,286422000,279210000,276009000,297328000,301420000,343879000,302068000,308436000,321795000,164810000,167730000,168741000,178746000,193695000,214150000,232246000,239560000,258293000,267480000,269961000,298571000,282616000,536244000
11,COGS and Expenses,-7700000,-28100000,57408000,124276000,246028000,286422000,279210000,276009000,297328000,301420000,343879000,302068000,308436000,321795000,330543000,331985000,333129000,354894000,381129000,417494000,457750000,455501000,489378000,504368000,512376000,547082000,514441000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3832000,- -,- -,7387000,7353000,6597000,5439000,1969000,2338000,2309000,1940000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98492000,86872000,93372000,95999000,96114000,92703000,85852000,86052000,76648000,69105000,71422000,81648000,80962000,85853000
14,Depreciation and Amortization,3300000,12700000,24006000,49789000,94303000,115170000,122516000,124108000,108418000,111856000,115837000,110851000,103775000,109546000,112299000,116819000,136158000,143146000,158682000,183055000,196465000,216043000,218144000,226660000,228012000,253999000,239048000,257352000
15,EBITDA,8900000,35800000,63326000,121468000,219953000,253263000,256003000,255319000,201879000,167551000,157414000,173309000,157519000,200291000,242783000,262177000,298028000,284270000,334391000,401215000,393281000,399173000,819082000,481130000,471269000,472565000,667412000,666515000
16,EBITDA ratio,0.4588,0.4871,0.4591,0.4426,0.4278,0.4330,0.4520,0.4723,0.4445,0.3970,0.3387,0.4220,0.3779,0.4583,0.5266,0.5774,0.6432,0.5887,0.6479,0.7206,0.6463,0.6601,1.2305,0.6847,0.6545,0.6421,0.9057,0.8679
17,Operating Income,27100000,101600000,80518000,150194000,268159000,298513000,287221000,264606000,156892000,120642000,120845000,108633000,108362000,115264000,130460000,122041000,130192000,127958000,134973000,139316000,150718000,149170000,176256000,198369000,207659000,188897000,222459000,-8321000
18,Operating Income ratio,1.3969,1.3823,0.5838,0.5472,0.5215,0.5103,0.5071,0.4895,0.3454,0.2858,0.2600,0.2645,0.2600,0.2637,0.2830,0.2688,0.2810,0.2650,0.2615,0.2502,0.2477,0.2467,0.2648,0.2823,0.2884,0.2567,0.3019,-0.0108
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,4659000,16172000,8063000,4750000,1978000,-453000,1087000,- -,-24950000,2641000,31337000,-83457000,-84255000,-76593000,-35130000,-63649000,-53710000,-6706000,-30029000,-47214000,135455000,331631000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44501000,50718000,62723000,115588000,85521000,122546000,191663000,177630000,141683000,357914000,323310000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0922,0.0983,0.1126,0.1900,0.1414,0.1841,0.2727,0.2467,0.1925,0.4857,0.4210
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,5600000,23100000,39320000,71679000,125650000,138093000,133487000,131211000,93461000,55695000,41577000,62458000,53744000,90745000,31992000,58486000,68498000,45125000,79595000,125457000,110964000,97078000,524290000,185365000,171835000,136918000,347402000,323310000
24,Net Income ratio,0.2887,0.3143,0.2851,0.2612,0.2444,0.2361,0.2357,0.2427,0.2058,0.1320,0.0895,0.1521,0.1289,0.2076,0.0694,0.1288,0.1478,0.0935,0.1542,0.2253,0.1824,0.1605,0.7877,0.2638,0.2386,0.1860,0.4714,0.4210
25,EPS,0.63,1.49,1.51,1.51,1.74,1.72,1.70,1.84,1.18,0.47,0.20,0.58,0.64,1.33,0.38,0.76,0.86,0.54,1.02,1.44,1.20,1.00,5.30,1.78,1.64,1.30,3.32,3.10
26,EPS Diluted,0.63,1.48,1.51,1.50,1.74,1.71,1.70,1.83,1.17,0.47,0.20,0.58,0.62,1.31,0.37,0.76,0.86,0.54,1.02,1.44,1.19,1.00,5.30,1.78,1.64,1.30,3.32,3.02
27,Weighted Average Shares Outstanding,8888889,15503356,26111000,38770000,54791000,61443000,59175000,54228000,53226000,53272000,53323000,53732000,54489000,56444000,58803000,67971000,71578000,72281000,75811000,85335000,90743000,94404000,98439000,102682000,103439000,103692000,103876000,104277000
28,Weighted Average Shares Outstanding Diluted,8888889,15608108,26111000,39161000,55076000,61529000,59347000,54571000,53485000,53409000,60024000,53732000,61362000,61547000,63238000,72079000,75578000,76189000,79678000,88836000,93800000,97406000,101398000,105594000,106268000,106445000,106714000,107139000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/921082/0000950168-96-001087-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/921082/000119312504042174/0001193125-04-042174-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000119312505247102/0001193125-05-247102-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000119312506123777/0001193125-06-123777-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000119312507044498/0001193125-07-044498-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108208000008/0000921082-08-000008-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108209000003/0000921082-09-000003-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108210000004/0000921082-10-000004-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108211000003/0000921082-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108212000017/0000921082-12-000017-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108213000005/0000921082-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108214000005/0000921082-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108215000006/0000921082-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108216000057/0000921082-16-000057-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108217000007/0000921082-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108218000009/0000921082-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108219000006/0000921082-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108220000004/0000921082-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108221000003/0000921082-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108222000006/0000921082-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,6800000,11070000,10146000,31445000,34496000,104780000,576000,11017000,18564000,24482000,1212000,16690000,3140000,13757000,23699000,14206000,11188000,13783000,10184000,8832000,5036000,49490000,3272000,3769000,9505000,109322000,23152000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,6800000,11070000,10146000,31445000,34496000,104780000,576000,11017000,18564000,24482000,1212000,16690000,3140000,13757000,23699000,14206000,11188000,13783000,10184000,8832000,5036000,49490000,3272000,3769000,9505000,109322000,23152000
34,Net Receivables,- -,- -,15224000,30734000,55142000,58798000,63298000,72737000,48777000,93639000,85223000,24201000,23347000,103174000,107268000,106812000,133195000,154703000,165537000,178853000,203710000,181565000,199034000,231544000,251639000,261596000,288210000,14002000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,240948000,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,-35199000,-75812000,-69800000,- -,- -,-79653000,39304000,44788000,44610000,63553000,64190000,53730000,54127000,41321000,69578000,113921000,35217000,65329000,142807000,-23152000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,24595000,36391000,39905000,25413000,40037000,26661000,160329000,175299000,192011000,229444000,243510000,242767000,266669000,468870000,318102000,348737000,290625000,336430000,540339000,14002000
38,PP&E,- -,593100000,1377874000,2614654000,4055454000,3722298000,3256083000,3362186000,3132944000,3048026000,2978167000,2507083000,2548322000,2622091000,2619376000,2554244000,2521684000,2717845000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,79504000,74665000,72610000,69247000,60359000,58046000,67723000,66077000,63607000,100367000,66800000,29901000,27071000,20676000,18846000,23897000,23585000,26298000,27104000,2866000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98742000,91481000,94533000,133336000,3040118000,3534433000,3711169000,4003886000,4224102000,4251157000,4360799000,4775516000,4641974000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2785841000,2711802000,2679824000,2951548000,3106918000,3564334000,3738240000,4024562000,4242948000,4275054000,4384384000,4801814000,4669078000,2866000
46,Other Assets,- -,621100000,1443440000,2722306000,4314333000,4016197000,3701602000,3648286000,3370774000,3290418000,3199753000,2883565000,2804816000,2900294000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,621100000,1443440000,2722306000,4314333000,4016197000,3701602000,3648286000,3395369000,3326809000,3239658000,2908978000,2844853000,2926955000,2946170000,2887101000,2871835000,3180992000,3350428000,3807101000,4004909000,4493432000,4561050000,4623791000,4675009000,5138244000,5209417000,4093000
48,Accounts Payable,- -,- -,- -,21000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172146000,218962000,237633000,233988000,313885000,228215000,218922000,286911000,268727000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65309000,- -,- -,35071000,1604685000,1469155000,1522945000,1903213000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2907492000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,84600000,117200000,342279000,409600000,357600000,323100000,323400000,309200000,353400000,233591000,255800000,272000000,227829000,135609000,117328000,106716000,148821000,- -,- -,- -,14119000,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,- -,84600000,117200000,342300000,409600000,357600000,323100000,323400000,309200000,353400000,298900000,255800000,272000000,262900000,1740294000,1586483000,1629661000,2052034000,172146000,218962000,237633000,248107000,313885000,228215000,218922000,286911000,268727000,2907492000
54,Long-Term Debt,- -,182700000,555876000,978558000,2008716000,1766117000,1587019000,1719230000,1528720000,1558758000,1572574000,1505770000,1500659000,1641987000,- -,- -,- -,- -,1870949000,1966721000,2080351000,2499614000,1948047000,2014333000,2085831000,2543710000,2470021000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,24000,42000,-16000,-17000,-19000,-30000,-20000,159042000,26000,-34170000,-35559000,13000,34174000,37706000,33114000,31444000,17571000,16242000,14557000,- -,- -,- -,- -,- -,- -,2926000
58,Total Non-Current Liabilities,- -,182700000,555900000,978600000,2008700000,1766100000,1587000000,1719200000,1528700000,1717800000,1572600000,1471600000,1465100000,1642000000,34174000,37706000,33114000,31444000,1888520000,1982963000,2094908000,2499614000,1948047000,2014333000,2085831000,2543710000,2470021000,2926000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,193800000,583476000,1033679000,2139291000,1878062000,1696843000,1839465000,1649334000,1670530000,1757818000,1633225000,1657396000,1834824000,1774468000,1624189000,1662775000,2083478000,2060666000,2201925000,2332541000,2747721000,2261932000,2242548000,2304753000,2830621000,2738748000,2910418000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,377445000,104945000,377445000,247445000,197445000,82937000,81592000,81592000,81592000,29077000,29077000,29077000,29060000,29050000,28920000,28892000,28877000,28859000,28826000,- -
63,Common Stock,- -,- -,356000,468000,599000,621000,581000,529000,534000,535000,538000,540000,562000,572000,636000,713000,717000,726000,803000,899000,929000,961000,1017000,1033000,1036000,1038000,1039000,-579616000
64,Retained Earnings,- -,-1600000,-10571000,-28627000,-48692000,-77670000,-110209000,-135878000,-197647000,-271971000,-419078000,-479901000,-538098000,-561093000,-639281000,-701932000,-761785000,-845853000,-897418000,-920433000,-966141000,-1023135000,-749412000,-747344000,-769303000,-831808000,-686225000,- -
65,Other Comprehensive Income/Loss,- -,- -,-43160000,-87505000,-169272000,-238135000,-280610000,-385556000,-9204000,-3650000,-2814000,-2212000,-1515000,-938000,-4792000,-3811000,-3648000,-5734000,-12628000,-2611000,-3912000,-3811000,4949000,7838000,9913000,-471000,-1462000,-973000
66,Other Total Stockholders Equity,- -,428900000,913339000,1804291000,2392407000,2453319000,2394997000,2329726000,1386344000,1661170000,1412019000,1415747000,1449337000,1500555000,1661736000,1751398000,1766886000,1803997000,2040306000,2370368000,2464275000,2598242000,2850881000,2929399000,2976197000,2954779000,2993946000,3080147000
67,Total Stockholders Equity,- -,427300000,859964000,1688627000,2175042000,2138135000,2004759000,1808821000,1557472000,1491029000,1368110000,1181619000,1107731000,1022033000,1099891000,1127960000,1083762000,982213000,1160140000,1477300000,1524211000,1601307000,2136355000,2219818000,2246720000,2152397000,2336124000,2499558000
68,Total Liabilities And Stockholders Equity,- -,621100000,1443440000,2722306000,4314333000,4016197000,3701602000,3648286000,3206806000,3161559000,3125928000,2814844000,2765127000,2856857000,2874359000,2752149000,2746537000,3065691000,3220806000,3679225000,3856752000,4349028000,4398287000,4462366000,4551473000,4983018000,5074872000,5409976000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,188563000,165250000,113730000,94134000,79726000,70098000,71811000,134952000,125298000,115301000,129622000,127876000,148157000,144404000,162763000,161425000,123536000,155226000,134545000,-5405883000
70,Total Liabilities & Equity,- -,621100000,1443440000,2722306000,4314333000,4016197000,3701602000,3648286000,3395369000,3326809000,3239658000,2908978000,2844853000,2926955000,2946170000,2887101000,2871835000,3180992000,3350428000,3807101000,4004909000,4493432000,4561050000,4623791000,4675009000,5138244000,5209417000,4093000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/921082/0000950168-96-001087-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/921082/000119312504042174/0001193125-04-042174-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000119312505247102/0001193125-05-247102-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000119312506123777/0001193125-06-123777-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000119312507044498/0001193125-07-044498-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108208000008/0000921082-08-000008-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108209000003/0000921082-09-000003-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108210000004/0000921082-10-000004-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108211000003/0000921082-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108212000017/0000921082-12-000017-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108213000005/0000921082-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108214000005/0000921082-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108215000006/0000921082-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108216000057/0000921082-16-000057-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108217000007/0000921082-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108218000009/0000921082-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108219000006/0000921082-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108220000004/0000921082-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108221000003/0000921082-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/921082/000092108222000006/0000921082-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5600000,23100000,39320000,71679000,125650000,138093000,133487000,131211000,93461000,55695000,41577000,62458000,53744000,90745000,31992000,58486000,68498000,45125000,79595000,125457000,110964000,97078000,524290000,185365000,171835000,136918000,347402000,323310000
74,Depreciation and Amortization,3300000,12700000,24006000,49789000,94303000,115170000,122516000,124108000,108418000,111856000,115837000,110851000,103775000,109546000,112299000,116819000,136158000,143146000,158682000,183055000,196465000,216043000,218144000,226660000,228012000,253999000,239048000,257352000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6567000,6572000,6094000,7613000,6899000,6939000,6884000,6251000,6692000,7466000,7180000,6210000,8646000
77,Change in Working Capital,4200000,-84600000,-32600000,-225100000,-67300000,52000000,34500000,-300000,38795000,-32404000,58014000,28608000,-1576000,-4276000,-1343726000,168781000,-26466000,-384940000,1893954000,-47559000,5231000,191727000,-216546000,116305000,-48819000,-22184000,222093000,-3165102000
78,Accounts Receivable,-800000,-3300000,-5000000,-18800000,-20900000,-10100000,-12662000,-13787000,2357000,-5680000,-6888000,-17759000,-9413000,-9089000,-1876000,336000,-3290000,-8498000,-14787000,-19173000,-24799000,-21341000,-20844000,-37208000,-21444000,-33099000,-36139000,5744000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,2900000,4800000,4400000,6600000,41400000,-29700000,-2121000,10338000,-12839000,-14181000,940000,4030000,-2493000,8804000,- -,- -,- -,- -,-18370000,15376000,8394000,-8891000,-11618000,-1520000,-7101000,24225000,-5951000,8191000
81,Other Working Capital,- -,-84600000,-117200000,-342300000,-409600000,-357600000,-323100000,-323400000,-284605000,-317009000,-258995000,-230387000,-231963000,-236239000,-1579965000,-1411184000,-1437650000,-1822590000,71364000,23805000,29036000,220763000,4217000,120522000,71703000,49519000,271612000,-2893490000
82,Other Non-Cash Items,100000,92000000,40591000,233824000,110780000,-72312000,-34103000,-7455000,-39189000,18107000,-42846000,-47784000,-10418000,-34352000,1357257000,-161533000,5775000,385971000,-1946428000,-11415000,-52688000,-222853000,-226334000,-182490000,134000,-10116000,-456593000,2990352000
83,Cash Provided by Operating Activities,13200000,43200000,71317000,130192000,263433000,232951000,256400000,247564000,201485000,153254000,172582000,154133000,145525000,161663000,157822000,189120000,190537000,195396000,193416000,256437000,266911000,288879000,305805000,352532000,358628000,365797000,358160000,414558000
84,CAPEX,-17100000,-130400000,-181444000,-465066000,-943446000,-511056000,-423245000,-351983000,-130870000,-203359000,-126995000,-167763000,-222030000,-287491000,-231422000,-151482000,-102717000,-184566000,-269847000,-418796000,-163641000,-408634000,-110249000,-1840000,-50649000,-424222000,-2363000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8291000,-33247000,-5955000,27060000,343000,-10063000,- -,-9977000,- -,- -
86,Purchases of Investments,- -,- -,-1132000,-6666000,-27648000,-701076000,-757966000,- -,-12704000,-15889000,- -,- -,- -,- -,-12741000,-952000,-2875000,-39901000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,26300000,696400000,729945000,161389000,- -,- -,1399000,- -,- -,2918000,3214000,3955000,15000000,4756000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-90800000,-5600000,-304291000,-52551000,-95285000,675761000,737478000,50949000,339161000,284759000,173784000,368688000,286764000,133869000,106606000,86655000,12437000,4232000,-247103000,-323356000,-322223000,-681217000,203547000,-246159000,-306749000,-597430000,110682000,-287678000
89,Cash Used for Investing Activites,-107900000,-136000000,-486867000,-524283000,-1040079000,160029000,286212000,-139645000,195587000,65511000,48188000,200925000,64734000,-150704000,-134343000,-61824000,-78155000,-215479000,-238812000,-356603000,-328178000,-654157000,203890000,-256222000,-306749000,-607407000,110682000,-287678000
90,Debt Repayment,-113900000,-235900000,-452298000,-803696000,-1032175000,-1053602000,-947971000,-543132000,-477113000,-561638000,-492062000,-299850000,-769051000,-648383000,-700242000,-480545000,-35081000,-539197000,-1083946000,-905443000,-690806000,-544142000,-982593000,-1367853000,-713703000,-892476000,-601952000,- -
91,Common Stock Issued,164400000,219800000,406600000,345325000,198439000,17551000,74000,1424000,10620000,1976000,3272000,1650000,69287000,7067000,209984000,150941000,2998000,23270000,249489000,316081000,117716000,131341000,264769000,76268000,3637000,2086000,3571000,- -
92,Common Stock Repurchased,- -,- -,-5000,- -,- -,-25475000,-101138000,-167288000,-4832000,-19072000,-1165000,-141318000,-76482000,-27468000,-55792000,- -,- -,-52515000,-2721000,-2557000,-3616000,-3774000,-4546000,-4036000,-1692000,-1806000,-1193000,- -
93,Dividends Paid,-5000000,-29800000,-55515000,-100117000,-166983000,-186668000,-184470000,-174389000,-172028000,-142656000,-132495000,-128721000,-118846000,-117195000,-116761000,-121137000,-128351000,-127298000,-131160000,-148472000,-156672000,-162843000,-169362000,-264502000,-193794000,-199423000,-201819000,- -
94,Other Financing Activites,55000000,139300000,521000000,951655000,1798664000,858265000,761177000,671262000,256722000,510172000,404466000,189911000,700311000,761470000,649949000,333387000,38559000,712805000,1016329000,836958000,793293000,940900000,426491000,1417595000,775483000,1337828000,507053000,- -
95,Cash Used/Provided by Financing Activities,100500000,93400000,419782000,393167000,797945000,-389929000,-472328000,-212123000,-386631000,-211218000,-217984000,-378328000,-194781000,-24509000,-12862000,-117354000,-121875000,17065000,47991000,96567000,59915000,361482000,-465241000,-142528000,-130069000,246209000,-294340000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,100500000,600000,4232000,-924000,21299000,3051000,70284000,-104204000,10441000,7547000,2786000,-23270000,15478000,-13550000,10617000,9942000,-9493000,-3018000,2595000,-3599000,-1352000,-3796000,44454000,-46218000,-78190000,4599000,174502000,- -
98,Cash at the End of Period,- -,6900000,11070000,10146000,31445000,34496000,104780000,576000,11017000,18564000,24482000,1212000,16690000,3140000,13757000,23699000,14206000,11188000,13783000,10184000,8832000,5036000,49490000,3272000,10143000,14742000,189244000,- -
99,Cash at the Beginning of Period,- -,6300000,6838000,11070000,10146000,31445000,34496000,104780000,576000,11017000,21696000,24482000,1212000,16690000,3140000,13757000,23699000,14206000,11188000,13783000,10184000,8832000,5036000,49490000,88333000,10143000,14742000,- -
100,Free Cash Flow,-3900000,-87200000,-110127000,-334874000,-680013000,-278105000,-166845000,-104419000,70615000,-50105000,45587000,-13630000,-76505000,-125828000,-73600000,37638000,87820000,10830000,193416000,256437000,266911000,288879000,305805000,352532000,358628000,365797000,358160000,414558000
