,https://roic.ai/company/HL-PB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10154000,34321000,21936000,17595000,26647000,21887000,9414000,27427000,36840000,20309000,25021000,38565000,34880000,41349000,30049000,32190000,25818000,- -,39193000,44586000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14758000,16936000,20250000,25466000,22305000,15511000,21331000,21466000,19131000,26195000,28637000,48837000,47473000,45542000,50023000,54555000,87533000,- -,96544000,67765000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4480000,4601000,5607000,3546000,15276000,13304000,6635000,11754000,90970000,49777000,38256000,44058000,24341000,27433000,24418000,13715000,23410000,110465000,3966000,19266000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48934000,161245000,128581000,93777000,165561000,449584000,73850000,166463000,432021000,362744000,282898000,343635000,316359000,269533000,303384000,320325000,164150000,179124000,284681000,341627000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92365000,90026000,114515000,137932000,125986000,132308000,852113000,819518000,833288000,923212000,996659000,1791601000,1831564000,1896811000,2032685000,2020021000,2520004000,- -,2355847000,2323245000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13102000,11508000,3923000,9614000,7019000,4920000,1515000,5002000,7561000,6583000,6207000,15148000,10844000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,896000,- -,- -,- -,14938000,36071000,38476000,100072000,88028000,86365000,78780000,98923000,36589000,23522000,1509000,1987000,- -,2912000,45562000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18542000,26028000,36352000,40457000,54722000,53907000,26757000,9225000,5604000,18183000,2754000,11084000,10298000,17477000,7084000,15541000,11220000,- -,9136000,7530000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111207000,116950000,150867000,178389000,180708000,201153000,914941000,880321000,950472000,1033346000,1095392000,1888484000,1945705000,1952392000,2068293000,2044632000,2539794000,- -,2383043000,2387181000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2458184000,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160141000,278195000,279448000,272166000,346269000,650737000,988791000,1046784000,1382493000,1396090000,1378290000,2232119000,2262064000,2221925000,2371677000,2364957000,2703944000,2637308000,2667724000,2728808000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11731000,13847000,16042000,16684000,24238000,22564000,21850000,13998000,31725000,37831000,43162000,51152000,41869000,51277000,60064000,46549000,77861000,57716000,68516000,68100000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7296000,2332000,- -,- -,- -,- -,48018000,1560000,2481000,4005000,5564000,8471000,9491000,11456000,6123000,5608000,5264000,11009000,9499000,8098000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6240000,16042000,10354000,12321000,7881000,4241000,8915000,9061000,5919000,7727000,4776000,8349000,12306000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3537000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16180000,17900000,21021000,19447000,28079000,29573000,15110000,26177000,222331000,65480000,46261000,91856000,39625000,64351000,61293000,59973000,53069000,44712000,71770000,84185000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35207000,34079000,37063000,36131000,52317000,52137000,84978000,41735000,256537000,107316000,94987000,151479000,90985000,127084000,127480000,112130000,136194000,116974000,149785000,160383000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4657000,2341000,- -,3000000,- -,- -,113649000,3281000,- -,- -,- -,490726000,498479000,500199000,500979000,502229000,532799000,7214000,507242000,525821000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164861000,153300000,119623000,121600000,121546000,173537000,- -,132475000,149706000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48347000,70346000,73058000,71705000,69225000,106071000,140707000,136283000,163703000,148661000,145352000,98634000,122326000,136093000,141774000,145170000,170451000,6856000,175882000,132111000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53004000,72687000,73058000,74705000,69225000,106071000,254356000,139564000,163703000,148661000,145352000,754221000,774105000,755915000,764353000,768945000,876787000,14070000,815599000,807638000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,841981000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6273000,10270000,17499000,22803000,23141000,17576000,11491000,11801000,13135000,29041000,26407000,25824000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88211000,106766000,110121000,110836000,121542000,158208000,339334000,181299000,420240000,255977000,240339000,905700000,865090000,882999000,891833000,881075000,1012981000,944885000,965384000,968021000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188000,116000,39000,39000,38000,543000,543000,543000,543000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21547000,28886000,29588000,29651000,29957000,30364000,45115000,59604000,64704000,71420000,71499000,85896000,92382000,95219000,99806000,100926000,121956000,132292000,134629000,136391000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-355544000,-361560000,-367832000,-396092000,-327522000,-274877000,-351700000,-300915000,-265577000,-120557000,-123288000,-154982000,-141306000,-232565000,-167437000,-195484000,-248308000,- -,-379519000,-353651000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-102000,-753000,1020000,19746000,8900000,12063000,-25022000,-14183000,-15117000,-23498000,-23918000,-26299000,-32031000,-32631000,-34602000,-23373000,-42469000,-37310000,-32889000,-28456000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,405841000,504740000,506512000,507986000,513354000,724436000,980521000,1120436000,1177700000,1212709000,1213619000,1421765000,1477890000,1508864000,1582038000,1601774000,1859745000,1597402000,1980080000,2006464000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71930000,171429000,169327000,161330000,224727000,492529000,649457000,865485000,962253000,1140113000,1137951000,1326419000,1396974000,1338926000,1479844000,1483882000,1690963000,1692423000,1702340000,1760787000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160141000,278195000,279448000,272166000,346269000,650737000,988791000,1046784000,1382493000,1396090000,1378290000,2232119000,2262064000,2221925000,2371677000,2364957000,2703944000,2637308000,2667724000,2728808000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160141000,278195000,279448000,272166000,346269000,650737000,988791000,1046784000,1382493000,1396090000,1378290000,2232119000,2262064000,2221925000,2371677000,2364957000,2703944000,2637308000,2667724000,2728808000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/719413/000143774920002531/0001437749-20-002531-index.htm,https://www.sec.gov/Archives/edgar/data/719413/000143774921003217/0001437749-21-003217-index.htm,https://www.sec.gov/Archives/edgar/data/719413/000143774922004164/0001437749-22-004164-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-22400000,5100000,-15400000,-49300000,-11700000,-24600000,-101700000,-32400000,-500000,-300000,-39990000,-83965000,2340000,8639000,-6016000,-6134000,-25360000,69122000,53197000,-54468000,67826000,48983000,151164000,14954000,-25130000,17824000,-86968000,69547000,-23519000,-26563000,-99557000,-16790000,35095000
74,Depreciation and Amortization,- -,- -,- -,- -,17500000,18400000,21900000,14300000,11000000,14800000,23800000,20800000,21300000,22600000,23738000,22363000,20740000,22652000,20462000,21878000,21083000,39767000,27179000,43202000,64449000,61615000,47348000,50113000,- -,- -,- -,- -,- -,- -,204475000,164026000,- -
75,Deferred Income Tax,- -,- -,- -,- -,-3700000,-200000,- -,-100000,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,-3300000,677000,2323000,- -,-11822000,-10486000,6756000,-7100000,-141707000,76944000,546000,-5893000,1895000,54978000,2112000,18308000,-9699000,-33387000,-5505000,-48049000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2746000,3446000,2073000,3101000,4461000,4965000,5425000,6184000,6323000,6278000,5668000,6458000,6082000
77,Change in Working Capital,- -,- -,- -,- -,-1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13727000,113439000,-35648000,-33872000,55598000,284203000,-408575000,135856000,50756000,79944000,-67517000,4245000,33218000,-82925000,33455000,32291000,-180239000,34194000,72746000,18896000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18117000,-9404000,16531000,-4713000,-1313000,3091000,-6834000,4233000,-2414000,9843000,-10939000,-1080000,-5405000
79,Inventory,- -,- -,- -,- -,-1500000,4100000,-3000000,4200000,-400000,-4100000,-2300000,-4200000,500000,-600000,-317000,-108000,-1738000,-3890000,-2178000,-3314000,-5216000,1401000,5445000,1812000,-135000,2335000,-7064000,-2442000,-6507000,1119000,-854000,-5697000,-3744000,-27512000,16146000,-13208000,16919000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4927000,-10927000,-19697000,-4211000,-6539000,-16434000,17795000,-24355000,19379000,-795000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13727000,127166000,91518000,57646000,113244000,397447000,-11128000,124728000,175484000,255428000,187911000,192156000,225374000,142449000,175904000,208195000,27956000,62150000,134896000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,17100000,3300000,-1700000,44600000,10300000,4500000,89700000,33900000,-14800000,-20300000,19208000,55868000,-15042000,-21483000,-102585000,30915000,32236000,-91171000,-289098000,427870000,-148802000,174716000,-287582000,67819000,48961000,25222000,215935000,114030000,82475000,304444000,9473000,-40142000,208313000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,7300000,26600000,4800000,9500000,8600000,-5300000,11800000,22300000,6000000,2000000,2956000,-5734000,8038000,20235000,25977000,13334000,-5913000,61494000,64995000,14785000,114975000,197809000,69891000,69016000,26644000,83124000,106445000,225328000,115878000,94221000,120866000,180793000,220337000
84,CAPEX,- -,- -,- -,- -,-40600000,-27900000,-18900000,-23200000,-52700000,-66600000,-45300000,-33700000,-24800000,-22500000,-22650000,-15210000,-17890000,-11219000,-19535000,-41371000,-44918000,-27345000,-41034000,-68674000,-23514000,-67414000,-87546000,-113096000,-150736000,-122537000,-137443000,-164788000,-98038000,-136933000,-121421000,-91016000,-109048000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-688452000,- -,- -,- -,- -,-321117000,- -,-809000,-3931000,- -,-139326000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-400000,-200000,- -,- -,-27500000,-13600000,-3700000,-4200000,-1200000,-700000,- -,- -,- -,- -,-21053000,-35034000,-68694000,-55610000,-92276000,- -,- -,- -,-3200000,-5823000,-6001000,-580000,-947000,-48943000,-56613000,-31971000,-389000,-2216000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,4100000,1400000,700000,- -,300000,32200000,5200000,100000,13800000,2900000,311000,283000,- -,- -,3050000,26404000,92128000,86651000,117596000,31037000,7578000,2597000,10814000,- -,1772000,- -,14000,18649000,49969000,64895000,1760000,- -,1811000
88,Other Investing Activites,- -,- -,- -,- -,1000000,4600000,1900000,11200000,-1400000,13600000,1400000,2300000,3500000,4100000,2996000,13698000,60432000,7007000,475000,-13083000,-493000,4487000,45048000,66191000,8023000,29000,113000,881000,585000,4762000,579000,348000,9287000,6788000,183000,331000,208000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-35900000,-22100000,-16300000,-12000000,-81300000,-34400000,-42400000,-35500000,-8700000,-16200000,-19343000,-1229000,42542000,-4212000,-37063000,-63084000,-21977000,8183000,29334000,-659898000,-7913000,-64788000,-79819000,-118038000,-475497000,-118355000,-138606000,-198665000,-95395000,-236547000,-119867000,-92901000,-107029000
