,https://roic.ai/company/SM,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,7200000,8800000,10700000,13500000,19600000,15500000,20700000,31200000,54000000,42400000,57585000,71039000,80365000,125461000,157106000,281628000,249724000,346548000,375734000,401931000,420289000,584633000,188152000,231889000,271769000,289324000,202841000,190431000,189998000,204185000,164982000,172331000
11,COGS and Expenses,19600000,21400000,25000000,31800000,39500000,36300000,43300000,55400000,82700000,72700000,105679000,145557000,150705000,240623000,281184000,493596000,478203000,665927000,779369000,728553000,745950000,992530000,1355484000,1709453000,1779639000,1947888000,1591151000,1255373000,1342678000,1528692000,1341186000,1452133000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,485000,227000,321000,466000,220000,67000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20275000,28856000,24196000,45849000,63720000,89711000,98554000,128149000,158685000,179257000,160906000,159102000,163892000,160353000
14,Depreciation and Amortization,4400000,5600000,6200000,8800000,10100000,10200000,12700000,18400000,24900000,22600000,40129000,51346000,54432000,81960000,92223000,132758000,154522000,227596000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,784987000,774386000
15,EBITDA,9800000,10700000,29100000,13600000,14200000,11200000,28400000,53800000,10700000,22300000,129416000,113634000,97011000,233465000,238451000,370995000,449843000,527858000,171686000,-130608000,339092000,384850000,-19797000,368322000,1163253000,-594712000,-1043231000,-164556000,812683000,-71942000,-7826000,980906000
16,EBITDA ratio,0.3551,0.3849,0.5740,0.3523,0.3170,0.2894,0.4765,0.5912,0.1360,0.3014,0.6614,0.5477,0.4940,0.5927,0.5506,0.5016,0.5711,0.5331,0.1319,-0.1569,0.3103,0.2400,-0.0130,0.1625,0.4613,-0.3928,-0.8838,-0.1306,0.4955,-0.0453,-0.0069,0.3776
17,Operating Income,8000000,6400000,25700000,6800000,5300000,2400000,16300000,35600000,-12500000,1300000,89987000,61912000,45689000,153311000,151915000,245994000,302266000,319411000,171201000,-130835000,338771000,384384000,-20017000,368255000,1165814000,-578783000,-1059315000,-168489000,836337000,-69968000,-1068950000,209123000
18,Operating Income ratio,0.2899,0.2302,0.5069,0.1762,0.1183,0.0620,0.2735,0.3912,-0.1588,0.0176,0.4599,0.2984,0.2326,0.3892,0.3508,0.3326,0.3837,0.3226,0.1316,-0.1572,0.3100,0.2397,-0.0131,0.1624,0.4623,-0.3823,-0.8974,-0.1337,0.5099,-0.0440,-0.9488,0.0805
19,Total Other Income Expenses (Gains),-2400000,-1000000,-3200000,-2300000,-1200000,-1700000,-800000,-700000,-1700000,-1600000,-700000,376000,-3110000,-7241000,-5687000,-7757000,-6945000,-19149000,-19790000,-28629000,-23875000,-45383000,-63500000,-89644000,-101115000,-144078000,-142601000,-175324000,-184560000,-161076000,112245000,-162956000
20,Income Before Tax,5600000,5400000,22500000,4500000,4100000,700000,15500000,34900000,-14200000,-300000,89287000,62288000,42579000,146070000,146228000,238237000,295321000,300262000,151411000,-159464000,314896000,339001000,-83517000,278611000,1064699000,-722861000,-1201916000,-343813000,651777000,-231044000,-956705000,46167000
21,Income Before Tax Ratio,0.2029,0.1942,0.4438,0.1166,0.0915,0.0181,0.2601,0.3835,-0.1804,-0.0041,0.4563,0.3002,0.2168,0.3708,0.3376,0.3221,0.3749,0.3033,0.1164,-0.1916,0.2881,0.2114,-0.0546,0.1229,0.4222,-0.4775,-1.0182,-0.2728,0.3974,-0.1454,-0.8492,0.0178
22,Income Tax expense (Gain),2000000,1900000,7300000,1100000,400000,-700000,5300000,12300000,-5400000,-400000,33667000,21829000,15019000,55930000,53749000,86301000,105306000,110550000,59858000,-60094000,118059000,123585000,-29268000,107676000,398648000,-275151000,-444172000,-182970000,143370000,-44043000,-192091000,9938000
23,Net Income,3400000,3200000,15600000,3700000,3700000,1700000,10400000,23100000,-8800000,100000,55620000,40459000,27560000,95575000,92479000,151936000,190015000,189712000,91553000,-99370000,196837000,215416000,-54249000,170935000,666051000,-447710000,-757744000,-160843000,508407000,-187001000,-764614000,36229000
24,Net Income ratio,0.1232,0.1151,0.3077,0.0959,0.0826,0.0439,0.1745,0.2538,-0.1118,0.0014,0.2843,0.1950,0.1403,0.2426,0.2135,0.2054,0.2412,0.1916,0.0704,-0.1194,0.1801,0.1344,-0.0355,0.0754,0.2641,-0.2957,-0.6420,-0.1276,0.3100,-0.1177,-0.6787,0.0139
25,EPS,0.12,0.12,0.54,0.11,0.11,0.06,0.29,0.55,-0.20,0.00,1.00,0.72,0.49,1.53,1.60,2.67,3.38,3.07,1.47,-1.59,3.13,3.38,-0.83,2.57,9.91,-6.61,-9.90,-1.44,4.54,-1.66,-6.72,0.32
26,EPS Diluted,0.12,0.12,0.54,0.11,0.11,0.05,0.29,0.54,-0.20,0.00,0.98,0.71,0.48,1.40,1.44,2.33,2.94,2.94,1.45,-1.59,3.04,3.19,-0.83,2.51,9.79,-6.61,-9.90,-1.44,4.48,-1.66,-6.72,0.32
27,Weighted Average Shares Outstanding,29565217,27826087,28888889,33636364,33636364,30909091,35036000,42480000,43748000,44396000,55562000,55946000,55712000,62466000,57702000,56907000,56291000,61852000,62243000,62457000,62969000,63755000,65138000,66615000,67230000,67723000,76568000,111428000,111912000,112544000,113730000,113730000
28,Weighted Average Shares Outstanding Diluted,29565217,27826087,28888889,33636364,33636364,34000000,35294118,43012000,43748000,44656000,56542000,57110000,56782000,71068000,66894000,66894000,65962000,64850000,63133000,62457000,64689000,67564000,65138000,67998000,68044000,67723000,76568000,111428000,113502000,112544000,113730000,113730000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/893538/000114420406007665/v036350_10k.htm,https://www.sec.gov/Archives/edgar/data/893538/000110465907013545/a07-5298_110k.htm,https://www.sec.gov/Archives/edgar/data/893538/000089353808000013/form10k_123107.htm,https://www.sec.gov/Archives/edgar/data/893538/000089353809000012/0000893538-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353810000011/0000893538-10-000011-index.html,https://www.sec.gov/Archives/edgar/data/893538/000110465911010268/a11-3036_110k.htm,https://www.sec.gov/Archives/edgar/data/893538/000089353812000012/0000893538-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353813000011/0000893538-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353814000010/sm-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/893538/000089353815000011/sm-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/893538/000089353816000122/0000893538-16-000122-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353817000013/0000893538-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353818000005/0000893538-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353819000012/0000893538-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353820000009/0000893538-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353821000008/0000893538-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/893538/000089353822000020/0000893538-22-000020-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,400000,600000,10800000,14800000,10000000,1700000,3300000,7100000,7800000,14200000,6619000,4116000,11154000,14827000,6418000,14925000,1464000,43510000,6131000,10649000,5077000,119194000,5926000,282248000,120000,18000,9372000,313943000,77965000,10000,10000,332716000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1933000,12509000,1412000,1475000,1450000,1173000,112651000,30295000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,400000,600000,10800000,14800000,10000000,1700000,3300000,7100000,7800000,14200000,6619000,4116000,13087000,27336000,7830000,16400000,2914000,44683000,118782000,40944000,5077000,119194000,5926000,282248000,120000,18000,9372000,313943000,77965000,10000,10000,332716000
34,Net Receivables,6100000,6900000,10000000,6900000,8600000,8100000,21400000,24300000,17900000,23000000,55068000,46484000,35399000,65084000,104964000,165197000,150405000,160082000,170851000,148909000,171672000,215949000,258169000,323001000,282819000,99545000,145438000,160055000,158061000,177864000,146107000,247201000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1800000,1600000,2000000,900000,300000,1000000,7400000,500000,1400000,2300000,2297000,21621000,11061000,15503000,14133000,22334000,73621000,65176000,22161000,19193000,97896000,128061000,76469000,42252000,462104000,419426000,69832000,75117000,193237000,74760000,57552000,33270000
37,Total Current Assets,8300000,9100000,22800000,22600000,18900000,10800000,32100000,31900000,27100000,39500000,63984000,72221000,59547000,107923000,126927000,203931000,226940000,269941000,311794000,209046000,274645000,463204000,340564000,647501000,745043000,518989000,224642000,549115000,429263000,252634000,203669000,613187000
38,PP&E,27700000,39300000,47000000,51400000,59700000,71600000,101500000,157500000,143800000,180700000,252411000,358930000,471939000,611287000,808525000,1049566000,1638464000,2274398000,2337101000,2127598000,2434052000,3096636000,3630133000,3824770000,5486012000,4949639000,5708733000,5443092000,5825885000,5953648000,4701866000,4575998000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9452000,9452000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9452000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9452000,9452000,9452000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,4300000,5400000,6100000,7800000,10800000,13700000,10700000,21600000,13600000,10200000,5500000,5838000,5653000,16644000,10008000,5798000,24241000,17889000,46121000,24292000,35624000,239140000,228832000,232894000,285645000,153015000,460136000,184569000,97714000,85950000,70896000,44792000
45,Total Non-Current Assets,32000000,44700000,53100000,59200000,70500000,85300000,112200000,179100000,157400000,190900000,257911000,364768000,477592000,627931000,818533000,1064816000,1672157000,2301739000,2383222000,2151890000,2469676000,3335776000,3858965000,4057664000,5771657000,5102654000,6168869000,5627661000,5923599000,6039598000,4772762000,4620790000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,40300000,53800000,75900000,81800000,89400000,96100000,144300000,211000000,184500000,230400000,321895000,436989000,537139000,735854000,945460000,1268747000,1899097000,2571680000,2695016000,2360936000,2744321000,3798980000,4199529000,4705165000,6516700000,5621643000,6393511000,6176776000,6352862000,6292232000,4976431000,5233977000
48,Accounts Payable,700000,1100000,3500000,5200000,9500000,7700000,16600000,21900000,16900000,25700000,23345000,34858000,48790000,81217000,7506000,14265000,37152000,65235000,25629000,11633000,11323000,79138000,- -,- -,- -,- -,- -,- -,56047000,52094000,63006000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4469000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125817000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69639000,96636000,152000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2400000,2300000,1300000,2200000,- -,- -,1600000,400000,400000,300000,- -,3363000,8707000,23605000,107386000,184729000,162449000,297310000,270972000,285038000,490730000,426667000,471907000,542495000,784508000,302525000,415172000,559212000,410005000,419949000,520733000,889327000
53,Total Current Liabilities,3100000,3400000,4800000,7400000,9500000,7700000,18200000,22300000,17300000,26000000,23345000,38221000,57497000,104822000,114892000,198994000,204070000,362545000,296601000,296671000,502053000,505805000,541546000,639131000,784660000,302525000,415172000,559212000,466052000,472043000,583739000,889327000
54,Long-Term Debt,6500000,15800000,5000000,7400000,11100000,19600000,43600000,22600000,19400000,13000000,22000000,64000000,113601000,110696000,136791000,99885000,433980000,572500000,587500000,454902000,323673000,985069000,1440000000,1600000000,2366000000,2517970000,2897575000,2908770000,2596333000,2732798000,2214319000,2081164000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,3200000,3400000,4200000,2700000,1800000,1200000,5800000,16600000,11200000,500000,24820000,47685000,60156000,90947000,129830000,128296000,224518000,257603000,358334000,308189000,443135000,568263000,537383000,650125000,891681000,758279000,315672000,79989000,223278000,189386000,- -,9769000
57,Other Non-Current Liabilities,- -,100000,500000,700000,1000000,1300000,1500000,1600000,1900000,1800000,987000,255000,5727000,38736000,79492000,272252000,293155000,515687000,325096000,327604000,256934000,276903000,266134000,209088000,187704000,190468000,267959000,234197000,146877000,149011000,162213000,190586000
58,Total Non-Current Liabilities,9700000,19300000,9700000,10800000,13900000,22100000,50900000,40800000,32500000,15300000,47807000,111940000,179484000,240379000,346113000,500433000,951653000,1345790000,1270930000,1090695000,1023742000,1830235000,2243517000,2459213000,3445385000,3466717000,3481206000,3222956000,2966488000,3071195000,2376532000,2281519000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,12800000,22700000,14500000,18200000,23400000,29800000,69100000,63100000,49800000,41300000,71152000,150161000,236981000,345201000,461005000,699427000,1155723000,1708335000,1567531000,1387366000,1525795000,2336040000,2785063000,3098344000,4230045000,3769242000,3896378000,3782168000,3432540000,3543238000,2960271000,3170846000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,286000,288000,290000,292000,287000,570000,553000,640000,625000,629000,634000,641000,662000,671000,675000,681000,1113000,1117000,1122000,1130000,1147000,1219000
64,Retained Earnings,28900000,31000000,45400000,47700000,50000000,50400000,59300000,80300000,69300000,67200000,120075000,157739000,182512000,274937000,364567000,510812000,695224000,878652000,964019000,851583000,1042123000,1251157000,1190397000,1354669000,2013997000,1559515000,794020000,665657000,1165842000,967587000,200697000,234533000
65,Other Comprehensive Income/Loss,-61800000,-70700000,-75500000,-86600000,-101300000,-108400000,-115200000,-121000000,-126800000,-145700000,-171412000,-216288000,-275887000,-328151000,-405472000,-55000000,13000000,-157000000,65000000,-38000000,-15000000,-4000000,-9000000,-5000000,-11000000,-13000000,-15000000,-14000000,-12000000,-11000000,-13598000,-12849000
66,Other Total Stockholders Equity,60400000,70800000,91500000,102500000,117300000,124300000,131100000,188600000,192200000,267200000,301187000,344378000,392598000,443575000,525073000,112938000,34597000,141053000,97841000,159358000,190769000,215142000,232407000,256481000,282983000,305205000,1717000000,1741834000,1765358000,1791277000,1827914000,- -
67,Total Stockholders Equity,27500000,31100000,61400000,63600000,66000000,66300000,75200000,147900000,134700000,188800000,250136000,286117000,299513000,390653000,484455000,569320000,743374000,863345000,1127485000,973570000,1218526000,1462940000,1414466000,1606821000,2286655000,1852401000,2497133000,2394608000,2920322000,2748994000,2016160000,2063131000
68,Total Liabilities And Stockholders Equity,40300000,53800000,75900000,81800000,89400000,96100000,144300000,211000000,184500000,230100000,321288000,436278000,536494000,735854000,945460000,1268747000,1899097000,2571680000,2695016000,2360936000,2744321000,3798980000,4199529000,4705165000,6516700000,5621643000,6393511000,6176776000,6352862000,6292232000,4976431000,5233977000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,607000,711000,645000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,40300000,53800000,75900000,81800000,89400000,96100000,144300000,211000000,184500000,230400000,321895000,436989000,537139000,735854000,945460000,1268747000,1899097000,2571680000,2695016000,2360936000,2744321000,3798980000,4199529000,4705165000,6516700000,5621643000,6393511000,6176776000,6352862000,6292232000,4976431000,5233977000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/893538/000114420406007665/v036350_10k.htm,https://www.sec.gov/Archives/edgar/data/893538/000110465907013545/a07-5298_110k.htm,https://www.sec.gov/Archives/edgar/data/893538/000089353808000013/form10k_123107.htm,https://www.sec.gov/Archives/edgar/data/893538/000089353809000012/0000893538-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353810000011/0000893538-10-000011-index.html,https://www.sec.gov/Archives/edgar/data/893538/000110465911010268/a11-3036_110k.htm,https://www.sec.gov/Archives/edgar/data/893538/000089353812000012/0000893538-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353813000011/0000893538-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353814000010/sm-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/893538/000089353815000011/sm-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/893538/000089353816000122/0000893538-16-000122-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353817000013/0000893538-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353818000005/0000893538-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353819000012/0000893538-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353820000009/0000893538-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/893538/000089353821000008/0000893538-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/893538/000089353822000020/0000893538-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3400000,3200000,15600000,3700000,3700000,1700000,10400000,23100000,-8800000,100000,55620000,40459000,27560000,95575000,92479000,151936000,190015000,189712000,91553000,-99370000,196837000,215416000,-54249000,170935000,666051000,-447710000,-757744000,-160843000,508407000,-187001000,-764614000,36229000
74,Depreciation and Amortization,4400000,5600000,6200000,8800000,10100000,10200000,12700000,18400000,24900000,22600000,40129000,51346000,54432000,81960000,92223000,132758000,154522000,227596000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,784987000,- -
75,Deferred Income Tax,-1300000,300000,800000,-1200000,-800000,-1000000,4600000,10800000,-5400000,-900000,21348000,23726000,14450000,21687000,39573000,5547000,74832000,92955000,40634000,-39735000,114517000,123789000,-29638000,105555000,397780000,-276722000,-448643000,-192066000,141708000,-41835000,-192540000,9565000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14812000,18765000,26743000,26824000,30185000,32347000,32694000,27467000,26897000,22700000,23908000,24318000,14999000,18819000
77,Change in Working Capital,600000,500000,12300000,-2800000,-5800000,-6300000,10800000,-4300000,200000,3700000,27139000,-6639000,-31950000,1051000,8934000,-7098000,17933000,-115474000,107797000,-102818000,-139783000,184807000,-158381000,209352000,-47987000,256081000,-406994000,180433000,-26692000,-182620000,-160661000,117411000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14327000,46743000,-47153000,-41998000,-21389000,-78494000,24088000,140200000,-10562000,13997000,-30152000,-39556000,29100000,-101047000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,5200000,5700000,18000000,15200000,9400000,3100000,13900000,9600000,9800000,13500000,40639000,34000000,2050000,3101000,12035000,4937000,22870000,-92604000,15193000,-87625000,-227408000,-42601000,-200982000,8370000,-39617000,216464000,-190530000,-10097000,-36789000,-219409000,-380070000,- -
82,Other Non-Cash Items,8000000,2100000,-7900000,11200000,13100000,13100000,-14300000,-4900000,34500000,15300000,-51969000,18600000,77217000,4046000,3953000,126236000,30398000,236003000,423425000,659264000,298783000,209696000,1134052000,820325000,408037000,1419236000,2139288000,665166000,73298000,1210705000,1108773000,977748000
83,Cash Provided by Operating Activities,15100000,11700000,27000000,19700000,20300000,17700000,24200000,43100000,45400000,40800000,92267000,127492000,141709000,204319000,237162000,409379000,467700000,630792000,678221000,436106000,497097000,760532000,921969000,1338514000,1456575000,978352000,552804000,515390000,720629000,823567000,790944000,1159772000
84,CAPEX,-7900000,-15300000,-17300000,-13500000,-17000000,-22700000,-27500000,-81500000,-58600000,-40300000,-65241000,-170804000,-184723000,-200236000,-268190000,-270881000,-725695000,-820631000,-827440000,-379329000,-668952000,-1633093000,-1513601000,-1615139000,-2519351000,-1501592000,-2813701000,-978249000,-1336443000,-1026350000,-555658000,-678162000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52076000,- -,- -,- -,- -,-73905000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13523000,-12529000,-1470000,-1502000,- -,-1168000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12538000,2450000,12500000,1427000,25000,1450000,- -,1002000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1200000,700000,-400000,-7000000,-6100000,-10300000,-17700000,14000000,21600000,18100000,4449000,11729000,4777000,13376000,10154000,5082000,951000,16477000,-590962000,-305018000,-360909000,-1264910000,-1451560000,-1131300000,-1934196000,-1136655000,313151000,-111634000,-554679000,-1010710000,-547693000,-663914000
89,Cash Used for Investing Activites,-6700000,-12700000,-17700000,-20500000,-23100000,-33000000,-45200000,-67500000,-37000000,-22200000,-112868000,-159075000,-180931000,-196939000,-247006000,-339779000,-724719000,-803872000,-672785000,-304092000,-361573000,-1264910000,-1457333000,-1192903000,-2478749000,-1144639000,-1870639000,-201530000,-587934000,-1013291000,-555566000,-667235000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2556500000,-2184500000,-711559000,-370000000,-1556500000,-1543000000,-1119500000,-2186500000,-1178904000,-408357000,-845002000,-1466500000,-1666498000,-2376276000
91,Common Stock Issued,- -,- -,13100000,3200000,- -,- -,- -,51200000,200000,300000,7143000,2746000,2390000,3530000,14030000,11193000,33800000,10007000,11888000,3110000,6440000,7327000,5816000,6858000,4877000,4844000,938268000,2623000,3187000,3209000,1464000,2639000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-2500000,-500000,-344000,-12871000,- -,- -,-35743000,-28902000,-123108000,-25904000,-77202000,- -,- -,- -,-21622000,-16220000,-10624000,-8678000,-2354000,-1240000,- -,- -,- -,- -
