,https://roic.ai/company/BCPC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,700000,800000,1000000,1000000,900000,1400000,1700000,800000,1300000,1900000,3200000,4300000,5400000,6400000,6900000,8011000,10990000,14762000,12288000,15986000,20000000,22546000,31205000,36217000,48941000,58780000,66113000,69495000,76316000,112721000,133620000,136401000,140411000,151307000,148299000,162137000,174112000
16,EBITDA ratio,0.1346,0.1379,0.1471,0.1190,0.0938,0.1296,0.1339,0.0630,0.0884,0.1005,0.1280,0.1629,0.1888,0.2230,0.2323,0.2413,0.2382,0.2452,0.1986,0.2372,0.0238,0.2234,0.1771,0.1561,0.2230,0.2304,0.2265,0.2239,0.2263,0.2082,0.2418,0.2466,0.2361,0.2351,0.2304,0.2304,0.2179
17,Operating Income,300000,500000,600000,700000,600000,1100000,1300000,700000,1100000,1500000,2700000,3100000,4300000,4800000,5000000,5938000,8155000,12185000,9015000,12797000,16903000,19162000,25906000,29348000,40659000,49770000,56225000,59777000,65602000,82143000,93956000,90838000,97255000,107751000,102553000,111147000,127502000
18,Operating Income ratio,0.0577,0.0862,0.0882,0.0833,0.0625,0.1019,0.1024,0.0551,0.0748,0.0794,0.1080,0.1174,0.1503,0.1672,0.1684,0.1789,0.1767,0.2024,0.1457,0.1898,0.0201,0.1899,0.1470,0.1265,0.1853,0.1951,0.1926,0.1926,0.1946,0.1517,0.1701,0.1642,0.1635,0.1674,0.1593,0.1580,0.1596
19,Total Other Income Expenses (Gains),100000,- -,100000,-100000,-100000,-200000,-100000,-400000,-300000,-300000,-300000,-200000,- -,-100000,-100000,58000,214000,-340000,-252000,-82000,288000,-61000,-1077000,-917000,-57000,361000,513000,67000,216000,-5091000,-6893000,-7904000,-8767000,-8721000,-6075000,-4730000,-2269000
20,Income Before Tax,- -,500000,700000,600000,500000,900000,1200000,300000,800000,1200000,2400000,2900000,4300000,4700000,4900000,5996000,8369000,11845000,8763000,12715000,17191000,19101000,24829000,28431000,40602000,50131000,56738000,59844000,65818000,77052000,87063000,82934000,88488000,99030000,96478000,106417000,125233000
21,Income Before Tax Ratio,- -,0.0862,0.1029,0.0714,0.0521,0.0833,0.0945,0.0236,0.0544,0.0635,0.0960,0.1098,0.1503,0.1638,0.1650,0.1806,0.1814,0.1968,0.1416,0.1886,0.0205,0.1893,0.1409,0.1225,0.1850,0.1965,0.1944,0.1928,0.1952,0.1423,0.1576,0.1499,0.1488,0.1538,0.1499,0.1512,0.1567
22,Income Tax expense (Gain),- -,200000,300000,200000,200000,300000,400000,100000,200000,400000,800000,1000000,1500000,1700000,1800000,2267000,3259000,4429000,3125000,4689000,6237000,6823000,8711000,9381000,13817000,16854000,17973000,19839000,20944000,24226000,27341000,26962000,-1583000,20457000,16807000,21794000,29129000
23,Net Income,400000,300000,400000,400000,300000,600000,800000,200000,600000,800000,1600000,1900000,2800000,3000000,3100000,3729000,5110000,7416000,5638000,8026000,10954000,12278000,16118000,19050000,26785000,33277000,38765000,40005000,44874000,52826000,59722000,55972000,90071000,78573000,79671000,84623000,96104000
24,Net Income ratio,0.0769,0.0517,0.0588,0.0476,0.0313,0.0556,0.0630,0.0157,0.0408,0.0423,0.0640,0.0720,0.0979,0.1045,0.1044,0.1123,0.1107,0.1232,0.0911,0.1191,0.0131,0.1217,0.0915,0.0821,0.1221,0.1305,0.1328,0.1289,0.1331,0.0976,0.1081,0.1012,0.1514,0.1221,0.1238,0.1203,0.1203
25,EPS,0.02,0.01,0.02,0.02,0.01,0.03,0.03,0.01,0.03,0.04,0.07,0.08,0.12,0.12,0.13,0.16,0.22,0.31,0.23,0.32,0.42,0.47,0.61,0.71,0.98,1.19,1.36,1.36,1.51,1.71,1.92,1.76,2.81,2.44,2.47,2.61,2.97
26,EPS Diluted,0.02,0.01,0.02,0.02,0.01,0.03,0.03,0.01,0.03,0.04,0.07,0.08,0.11,0.12,0.12,0.15,0.21,0.30,0.22,0.31,0.40,0.45,0.58,0.67,0.93,1.12,1.28,1.32,1.45,1.69,1.89,1.75,2.79,2.42,2.45,2.60,2.96
27,Weighted Average Shares Outstanding,22466020,25275219,25274864,22466020,21663778,21664300,23787813,25275219,23329963,22466441,24300000,23652664,24161932,24897541,24521484,23597578,23517614,24066346,24395192,25315654,25943684,26310000,26568132,26950249,28874000,27964348,28574623,29454171,29623952,30845586,31158142,31757861,32019605,32256209,32201917,32372621,32372621
28,Weighted Average Shares Outstanding Diluted,22466020,25275219,25274864,22466020,21663778,21664300,23787813,25275219,23329963,22466441,24300000,23652664,24723837,25312500,24910714,24202644,24637500,25029000,25258739,26298786,27084066,27488060,27789655,28521235,28874000,29620665,30244460,30353000,30847135,31172000,31635638,31923000,32230000,32445000,32505000,32503000,32503000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/9326/0000914317-00-000233-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/9326/000091431708000792/form10k-90117_bcp.htm,https://www.sec.gov/Archives/edgar/data/9326/000091431709000630/0000914317-09-000630-index.html,https://www.sec.gov/Archives/edgar/data/9326/000091431710000421/0000914317-10-000421-index.html,https://www.sec.gov/Archives/edgar/data/9326/000114036111012692/form10k.htm,https://www.sec.gov/Archives/edgar/data/9326/000114036112011682/0001140361-12-011682-index.html,https://www.sec.gov/Archives/edgar/data/9326/000114036113009071/0001140361-13-009071-index.html,https://www.sec.gov/Archives/edgar/data/9326/000114036114009932/form10k.htm,https://www.sec.gov/Archives/edgar/data/9326/000114036115009362/form10k.htm,https://www.sec.gov/Archives/edgar/data/9326/000114036116055524/0001140361-16-055524-index.html,https://www.sec.gov/Archives/edgar/data/9326/000114036117009655/0001140361-17-009655-index.html,https://www.sec.gov/Archives/edgar/data/9326/000114036118011267/0001140361-18-011267-index.html,https://www.sec.gov/Archives/edgar/data/9326/000162828019002288/0001628280-19-002288-index.html,https://www.sec.gov/Archives/edgar/data/9326/000162828020001968/0001628280-20-001968-index.html,https://www.sec.gov/Archives/edgar/data/9326/000162828021002578/0001628280-21-002578-index.htm,https://www.sec.gov/Archives/edgar/data/9326/000162828022003669/0001628280-22-003669-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,200000,- -,- -,- -,- -,- -,100000,- -,200000,100000,700000,1300000,1700000,3068000,3120000,1731000,9239000,12734000,12996000,5189000,2307000,3422000,46432000,77253000,114781000,144737000,208747000,50287000,84795000,38643000,40416000,54268000,65672000,84571000,103239000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,200000,- -,- -,- -,- -,- -,100000,- -,200000,100000,700000,1300000,1700000,3068000,3120000,1731000,9239000,12734000,12996000,5189000,2307000,3422000,46432000,77253000,114781000,144737000,208747000,50287000,84795000,38643000,40416000,54268000,65672000,84571000,103239000
34,Net Receivables,900000,800000,800000,1300000,1300000,1300000,1600000,1200000,2200000,2600000,3100000,3000000,3100000,3300000,4000000,5044000,7130000,7159000,7233000,7996000,11521000,11578000,29640000,30250000,29149000,32050000,34433000,41999000,39386000,71982000,60485000,83252000,91226000,99545000,93444000,98214000,117408000
35,Inventory,300000,400000,500000,1100000,500000,900000,1000000,900000,1000000,1300000,1900000,1900000,2500000,2900000,2700000,2554000,5575000,7238000,5961000,6319000,8540000,9918000,15680000,16618000,13965000,15720000,18637000,20693000,24824000,49623000,46085000,57245000,60696000,67187000,83893000,70620000,91058000
36,Other Current Assets,200000,200000,300000,200000,300000,300000,500000,700000,300000,500000,600000,600000,1000000,900000,700000,702000,1199000,2683000,1197000,2163000,2209000,2170000,4842000,4961000,3466000,4629000,7889000,4480000,4817000,9410000,7464000,9302000,6998000,5314000,11937000,13483000,10527000
37,Total Current Assets,1400000,1400000,1800000,2600000,2100000,2500000,3100000,2800000,3600000,4400000,5800000,5600000,7300000,8400000,9100000,11368000,17024000,18811000,23630000,29212000,35266000,28855000,52469000,55251000,93012000,129652000,175740000,211909000,277774000,181302000,198829000,188442000,199336000,226314000,254946000,266888000,322232000
38,PP&E,2200000,2400000,3000000,3100000,3300000,3400000,4400000,4500000,5300000,7500000,7800000,7500000,7300000,8100000,7800000,7765000,17904000,25852000,25636000,24188000,24400000,31313000,42080000,42513000,41579000,43388000,44282000,52725000,54916000,131588000,158515000,165754000,189793000,194339000,224197000,236506000,246805000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6398000,6368000,6368000,13327000,25253000,26363000,26658000,26658000,28515000,28515000,28515000,28515000,383646000,383906000,439811000,441361000,447995000,523998000,529463000,523949000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,100000,200000,300000,400000,600000,2000000,2900000,6100000,5100000,4089000,9549000,2237000,1272000,637000,2148000,6912000,33451000,29993000,26504000,26649000,22706000,18858000,15126000,160394000,134911000,147484000,128073000,105985000,143924000,121660000,94665000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,100000,200000,300000,400000,600000,2000000,2900000,6100000,5100000,4089000,9549000,8635000,7640000,7005000,15475000,32165000,59814000,56651000,53162000,55164000,51221000,47373000,43641000,544040000,518817000,587295000,569434000,553980000,667922000,651123000,618614000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4553000,4804000,4902000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,100000,100000,100000,- -,100000,- -,- -,100000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,61000,59000,60000,420000,474000,538000,541000,4341000,5062000,2582000,269000,1820000,8617000,11326000,11674000
45,Total Non-Current Assets,2200000,2400000,3000000,3200000,3400000,3500000,4500000,4800000,5600000,7900000,8500000,9500000,10300000,14200000,12900000,11854000,27453000,34487000,33276000,31193000,39875000,63478000,101955000,99223000,94801000,98972000,95977000,100636000,99098000,679969000,682394000,760184000,764300000,755041000,900736000,898955000,877093000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3600000,3800000,4800000,5800000,5500000,6000000,7600000,7600000,9200000,12300000,14300000,15100000,17600000,22600000,22000000,23222000,44477000,53298000,56906000,60405000,75141000,92333000,154424000,154474000,187813000,228624000,271717000,312545000,376872000,861271000,881223000,948626000,963636000,981355000,1155682000,1165843000,1199325000
48,Accounts Payable,- -,- -,- -,- -,700000,800000,1400000,1100000,1000000,2100000,2500000,2500000,2700000,1100000,600000,970000,2885000,2778000,1254000,1466000,2562000,3010000,11190000,10336000,10876000,9755000,11526000,14276000,12395000,24352000,14708000,32514000,28451000,33789000,37267000,23742000,- -
49,Short-Term Debt,300000,300000,300000,200000,500000,400000,400000,900000,1400000,1200000,800000,700000,800000,1200000,600000,- -,1745000,1742000,1742000,- -,- -,- -,10588000,4904000,6783000,1482000,1387000,- -,- -,35000000,35000000,35000000,35000000,- -,2475000,2337000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3053000,- -,- -,- -,- -,2168000,2728000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,800000,800000,1200000,2100000,- -,100000,100000,- -,200000,100000,100000,300000,100000,1200000,1600000,2310000,1847000,3407000,3079000,4241000,6588000,6550000,14552000,10445000,16156000,18271000,17960000,15958000,23358000,36170000,31412000,33494000,44945000,48267000,52516000,68349000,143802000
53,Total Current Liabilities,1100000,1100000,1500000,2300000,1200000,1300000,1900000,2000000,2600000,3400000,3400000,3500000,3600000,3500000,2800000,3280000,6477000,7927000,6075000,5707000,9150000,9560000,36330000,25685000,33815000,29508000,30913000,30234000,35753000,95522000,81120000,101008000,108396000,82056000,92258000,94428000,143802000
54,Long-Term Debt,600000,400000,500000,300000,800000,600000,1000000,600000,1000000,2300000,2700000,1400000,800000,2600000,700000,- -,11323000,9581000,7839000,- -,- -,- -,17398000,6671000,- -,3432000,23000,- -,- -,297500000,262500000,245490000,183964000,156000000,248569000,169648000,108569000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,200000,300000,300000,400000,400000,400000,400000,400000,600000,700000,500000,500000,500000,400000,225000,351000,1557000,2226000,3461000,4015000,6627000,6087000,6003000,5030000,5642000,5984000,5868000,5884000,70401000,67215000,74199000,48548000,44309000,56431000,51359000,46455000
57,Other Non-Current Liabilities,100000,- -,100000,100000,- -,- -,-100000,100000,100000,100000,100000,300000,400000,200000,200000,137000,994000,964000,985000,1003000,1043000,784000,1529000,1609000,1825000,2575000,2788000,3431000,3877000,5950000,6683000,6896000,5847000,7372000,14757000,22175000,23484000
58,Total Non-Current Liabilities,700000,600000,900000,700000,1200000,1000000,1300000,1100000,1500000,3000000,3500000,2200000,1700000,3300000,1300000,362000,12668000,12102000,11050000,4464000,5058000,7411000,25014000,14283000,6855000,11649000,8795000,9299000,9761000,373851000,336398000,326585000,238359000,207681000,319757000,243182000,178508000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7302000,8416000,- -
61,Total Liabilities,1800000,1700000,2400000,3000000,2400000,2300000,3200000,3100000,4100000,6400000,6900000,5700000,5300000,6800000,4100000,3642000,19145000,20029000,17125000,10171000,14208000,16971000,61344000,39968000,40670000,41157000,39708000,39533000,45514000,469373000,417518000,427593000,346755000,289737000,412015000,337610000,322310000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,327000,327000,327000,327000,508000,776000,788000,804000,823000,1873000,1917000,1944000,1964000,2016000,2058000,2102000,2117000,2135000,2151000,2161000,2164000,- -
64,Retained Earnings,100000,400000,700000,1100000,1300000,1900000,2600000,2700000,3200000,4000000,5500000,7300000,9900000,12700000,15500000,18968000,23773000,30807000,36056000,43397000,53306000,63988000,77840000,94882000,118576000,147542000,181070000,214609000,251627000,295202000,344197000,388089000,464639000,528027000,590921000,656740000,- -
65,Other Comprehensive Income/Loss,-1500000,-1800000,-2000000,-2400000,-2800000,-3200000,-3700000,-4200000,-4800000,-5400000,-6100000,-7200000,-5200000,-6000000,-7000000,-7857000,-9186000,-11019000,-12822000,-15349000,-17927000,193000,150000,-8000,153000,-549000,-938000,-759000,198000,-2651000,-5114000,-6849000,-1642000,-3602000,-5564000,4173000,-4993000
66,Other Total Stockholders Equity,3200000,3500000,3700000,4100000,4600000,5000000,5500000,6000000,6700000,7300000,8000000,9300000,7600000,9100000,9100000,8142000,10418000,13154000,16220000,21678000,24778000,10393000,14286000,18809000,26541000,38557000,49933000,57198000,77517000,97289000,122520000,137676000,151749000,165042000,156149000,165156000,- -
67,Total Stockholders Equity,1800000,2100000,2400000,2800000,3100000,3700000,4400000,4500000,5100000,5900000,7400000,9400000,12300000,15800000,17900000,19580000,25332000,33269000,39781000,50234000,60933000,75362000,93080000,114506000,147143000,187467000,232009000,273012000,331358000,391898000,463705000,521033000,616881000,691618000,743667000,828233000,877015000
68,Total Liabilities And Stockholders Equity,3600000,3800000,4800000,5800000,5500000,6000000,7600000,7600000,9200000,12300000,14300000,15100000,17600000,22600000,22000000,23222000,44477000,53298000,56906000,60405000,75141000,92333000,154424000,154474000,187813000,228624000,271717000,312545000,376872000,861271000,881223000,948626000,963636000,981355000,1155682000,1165843000,1199325000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3600000,3800000,4800000,5800000,5500000,6000000,7600000,7600000,9200000,12300000,14300000,15100000,17600000,22600000,22000000,23222000,44477000,53298000,56906000,60405000,75141000,92333000,154424000,154474000,187813000,228624000,271717000,312545000,376872000,861271000,881223000,948626000,963636000,981355000,1155682000,1165843000,1199325000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/9326/0000914317-00-000233-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/9326/000091431708000792/form10k-90117_bcp.htm,https://www.sec.gov/Archives/edgar/data/9326/000091431709000630/0000914317-09-000630-index.html,https://www.sec.gov/Archives/edgar/data/9326/000091431710000421/0000914317-10-000421-index.html,https://www.sec.gov/Archives/edgar/data/9326/000114036111012692/form10k.htm,https://www.sec.gov/Archives/edgar/data/9326/000114036112011682/0001140361-12-011682-index.html,https://www.sec.gov/Archives/edgar/data/9326/000114036113009071/0001140361-13-009071-index.html,https://www.sec.gov/Archives/edgar/data/9326/000114036114009932/form10k.htm,https://www.sec.gov/Archives/edgar/data/9326/000114036115009362/form10k.htm,https://www.sec.gov/Archives/edgar/data/9326/000114036116055524/0001140361-16-055524-index.html,https://www.sec.gov/Archives/edgar/data/9326/000114036117009655/0001140361-17-009655-index.html,https://www.sec.gov/Archives/edgar/data/9326/000114036118011267/0001140361-18-011267-index.html,https://www.sec.gov/Archives/edgar/data/9326/000162828019002288/0001628280-19-002288-index.html,https://www.sec.gov/Archives/edgar/data/9326/000162828020001968/0001628280-20-001968-index.html,https://www.sec.gov/Archives/edgar/data/9326/000162828021002578/0001628280-21-002578-index.htm,https://www.sec.gov/Archives/edgar/data/9326/000162828022003669/0001628280-22-003669-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,300000,600000,800000,200000,600000,800000,1600000,1900000,2800000,3000000,3100000,3729000,5110000,7416000,5638000,8026000,10954000,12278000,16118000,19050000,26785000,33277000,38765000,40005000,44874000,52826000,59722000,55972000,90071000,78573000,79671000,84623000,96104000
74,Depreciation and Amortization,- -,- -,- -,- -,400000,500000,500000,500000,500000,700000,800000,1400000,1100000,1700000,2000000,2015000,2621000,2917000,3525000,3271000,2809000,3445000,6376000,7786000,8130000,8559000,9291000,9641000,10474000,30524000,39964000,46202000,44379000,44666000,45862000,51281000,48879000
75,Deferred Income Tax,- -,- -,- -,- -,100000,- -,- -,- -,- -,100000,100000,-100000,- -,100000,-100000,-168000,112000,1017000,598000,1388000,599000,104000,-617000,-238000,-1216000,-669000,307000,-92000,-315000,-11259000,-2857000,-6881000,-28777000,-5403000,-3563000,-4627000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3076000,3992000,3692000,4216000,3817000,4557000,6829000,7024000,6264000,6413000,7596000,8303000,10802000
77,Change in Working Capital,- -,- -,- -,- -,200000,300000,- -,-400000,200000,- -,1400000,-300000,1600000,1200000,1400000,1788000,2459000,337000,6671000,5950000,2611000,-6821000,-3156000,13427000,29631000,40947000,44683000,36848000,60346000,-156241000,31929000,-30275000,3506000,53318000,18430000,9772000,10930000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,862000,-2744000,-2697000,-7642000,2958000,-8395000,10809000,-15659000,-3906000,-7773000,11623000,-3599000,- -
79,Inventory,- -,- -,- -,- -,500000,-400000,-100000,100000,-100000,-300000,-600000,- -,-600000,-400000,100000,194000,-3021000,-1663000,1277000,-358000,-1496000,-827000,481000,-974000,2656000,-1863000,-3009000,-1979000,-3942000,6698000,3126000,4745000,-319000,-6016000,-11401000,13923000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5775000,-2770000,7747000,-15718000,17841000,1511000,5988000,1134000,- -,- -
81,Other Working Capital,- -,- -,- -,- -,900000,1200000,1200000,800000,1000000,1000000,2400000,2100000,3700000,4900000,6300000,8088000,10547000,10884000,17555000,23505000,26116000,19295000,16139000,29566000,59197000,100144000,144827000,181675000,242021000,85780000,117709000,87434000,90940000,144258000,162688000,172460000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-400000,-100000,300000,-800000,300000,-2300000,700000,-2500000,-2100000,-1700000,-1411000,-7080000,-1573000,-5279000,-6490000,-3275000,7364000,-3084000,-17128000,-18334000,-47076000,-51836000,-36837000,-63504000,164943000,-31761000,35570000,-4825000,-58870000,-23535000,1142000,-6201000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1000000,1000000,1200000,600000,500000,1900000,1600000,3600000,3000000,3900000,4700000,5953000,3222000,10114000,11153000,12145000,13698000,16370000,15637000,22897000,48072000,39030000,44902000,53781000,55692000,85350000,103826000,107612000,110618000,118697000,124461000,150494000,160514000
84,CAPEX,- -,- -,- -,- -,-600000,-600000,-1500000,-700000,-1300000,-2800000,-1100000,-1000000,-1100000,-1600000,-600000,-881000,-1950000,-10020000,-2270000,-1215000,-1769000,-2360000,-5041000,-5262000,-3644000,-7557000,-6637000,-14004000,-8417000,-13368000,-42311000,-23997000,-28117000,-19723000,-28413000,-33828000,-37449000
