,https://roic.ai/company/THRM,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/903129/000089843003002254/d10k.htm,https://www.sec.gov/Archives/edgar/data/903129/000119312504050643/d10k.htm,https://www.sec.gov/Archives/edgar/data/903129/000119312505059874/d10k.htm,https://www.sec.gov/Archives/edgar/data/903129/000119312506053842/d10k.htm,https://www.sec.gov/Archives/edgar/data/903129/000119312507035190/d10k.htm,https://www.sec.gov/Archives/edgar/data/903129/000119312508029669/d10k.htm,https://www.sec.gov/Archives/edgar/data/903129/000119312509029234/0001193125-09-029234-index.html,https://www.sec.gov/Archives/edgar/data/903129/000119312510035119/0001193125-10-035119-index.html,https://www.sec.gov/Archives/edgar/data/903129/000119312511039213/d10k.htm,https://www.sec.gov/Archives/edgar/data/903129/000119312512117521/0001193125-12-117521-index.html,https://www.sec.gov/Archives/edgar/data/903129/000119312513109773/0001193125-13-109773-index.html,https://www.sec.gov/Archives/edgar/data/903129/000156459014000681/thrm-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/903129/000156459015001170/thrm-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/903129/000156459016013314/0001564590-16-013314-index.html,https://www.sec.gov/Archives/edgar/data/903129/000156459017002183/0001564590-17-002183-index.html,https://www.sec.gov/Archives/edgar/data/903129/000156459018003000/0001564590-18-003000-index.html,https://www.sec.gov/Archives/edgar/data/903129/000156459019004505/0001564590-19-004505-index.html,https://www.sec.gov/Archives/edgar/data/903129/000156459020005507/0001564590-20-005507-index.html,https://www.sec.gov/Archives/edgar/data/903129/000156459021009900/0001564590-21-009900-index.htm,https://www.sec.gov/Archives/edgar/data/903129/000156459022005577/0001564590-22-005577-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8600000,2400000,4500000,200000,6037000,1667000,1647000,2852000,456000,274000,844000,7603000,1364000,2440000,1170000,25303000,21677000,26584000,23839000,58152000,54885000,85700000,144479000,177187000,103172000,39620000,50443000,268345000,190606000
32,Short-Term Investments,- -,- -,- -,- -,2400000,- -,- -,- -,- -,- -,- -,- -,9975000,12076000,23925000,- -,6704000,9761000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,8600000,2400000,4500000,200000,8437000,1667000,1647000,2852000,456000,274000,844000,7603000,11339000,14516000,25095000,25303000,28381000,36345000,23839000,58152000,54885000,85700000,144479000,177187000,103172000,39620000,50443000,268345000,190606000
34,Net Receivables,800000,800000,2500000,1200000,1255000,174000,282000,1375000,1268000,4530000,5882000,4763000,7891000,9329000,11672000,8292000,15073000,18940000,82395000,102261000,118283000,136183000,142610000,170084000,185058000,166858000,186730000,241386000,206701000
35,Inventory,- -,- -,200000,- -,35000,105000,490000,1478000,1163000,1903000,2498000,1901000,2712000,4369000,2219000,2641000,2541000,6825000,46344000,53756000,64217000,77643000,84183000,105074000,121409000,112535000,118479000,122401000,159477000
36,Other Current Assets,100000,3200000,1000000,1900000,196000,136000,251000,487000,879000,563000,224000,308000,1454000,4123000,4379000,1403000,1707000,6326000,25092000,27975000,32547000,35499000,49336000,36408000,51430000,124062000,18211000,11474000,9061000
37,Total Current Assets,9500000,6400000,8200000,3300000,9923000,2082000,2670000,6192000,3766000,7270000,9448000,14575000,23396000,32337000,43365000,37639000,47702000,68436000,177670000,242144000,269932000,335025000,420608000,488753000,461069000,443075000,373863000,643606000,565845000
38,PP&E,200000,700000,800000,600000,645000,562000,1051000,1383000,1192000,1324000,1300000,1385000,1177000,1986000,3965000,4274000,3271000,4197000,44794000,55010000,79234000,91727000,119157000,172052000,200294000,171380000,144495000,183223000,179657000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24245000,24729000,25809000,30398000,27765000,51735000,69685000,55311000,64572000,68024000,66033000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193000,333000,533000,835000,2679000,3156000,3727000,4653000,108481000,95870000,83431000,68129000,48461000,57557000,83286000,56385000,77480000,46421000,37554000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193000,333000,533000,835000,2679000,3156000,3727000,4653000,132726000,120599000,109240000,98527000,76226000,109292000,152971000,111696000,142052000,114445000,103587000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12131000,7226000,5968000,7334000,7133000,1279000,11402000,5361000,7103000,18843000,22094000,35299000,30152000,64024000,57650000,73912000,69630000
44,Other Non-Current Assets,- -,100000,- -,- -,- -,- -,- -,1170000,878000,585000,293000,- -,16000,12000,9000,196000,527000,857000,11215000,16083000,16414000,13770000,8713000,37634000,38919000,12872000,9326000,7653000,16624000
45,Total Non-Current Assets,200000,800000,800000,600000,645000,562000,1051000,2553000,2070000,1909000,1786000,1718000,13857000,10059000,12621000,14960000,14680000,10986000,200137000,197053000,211991000,222867000,226190000,354277000,422336000,359972000,353523000,379233000,369498000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9700000,7200000,9000000,3900000,10568000,2644000,3721000,8745000,5836000,9179000,11234000,16293000,37253000,42396000,55986000,52599000,62382000,79422000,377807000,439197000,481923000,557892000,646798000,843030000,883405000,803047000,727386000,1022839000,935343000
48,Accounts Payable,500000,300000,1100000,1600000,650000,363000,592000,1376000,1446000,4296000,4258000,3199000,5323000,5615000,8640000,3872000,10222000,15275000,42533000,42508000,61662000,71434000,77115000,84511000,89596000,93113000,83035000,116043000,122727000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,2237000,670000,- -,- -,- -,- -,- -,- -,- -,- -,14570000,17218000,21439000,5306000,4909000,2092000,3460000,3413000,7086000,8532000,8169000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8309000,7944000,15696000,18205000,51197000,16169000,6468000,3693000,14714000,17068000
51,Deferred Revenue,- -,- -,- -,- -,97000,44000,- -,170000,- -,- -,- -,- -,- -,- -,- -,- -,200000,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,200000,2000000,600000,5000000,350000,485000,597000,1446000,922000,1090000,1068000,1805000,2427000,2957000,4187000,3296000,3738000,5872000,54612000,57483000,70045000,70853000,61759000,107020000,78259000,78870000,66583000,81409000,82193000
53,Total Current Liabilities,700000,2300000,1700000,6600000,1097000,892000,1189000,2992000,4605000,6056000,5326000,5004000,7750000,8572000,12827000,7168000,14160000,21197000,111715000,117209000,153146000,147593000,143783000,193623000,171315000,175396000,156704000,205984000,213089000
54,Long-Term Debt,- -,100000,100000,- -,- -,- -,- -,- -,1650000,1450000,1250000,1050000,850000,- -,- -,- -,- -,- -,61677000,39734000,60881000,85469000,92832000,169433000,141209000,136477000,78124000,214167000,56039000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23679000,21828000,17975000,10804000,14321000,8058000,6347000,1177000,1357000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,100000,41000,26000,8278000,5000,- -,- -,- -,- -,- -,650000,450000,392000,377000,688000,73021000,45263000,17827000,19807000,11571000,11511000,10660000,10298000,18551000,16357000,12409000
58,Total Non-Current Liabilities,- -,100000,100000,100000,41000,26000,8278000,5000,1650000,1450000,1250000,1050000,850000,650000,450000,392000,427000,688000,158377000,106825000,96683000,116080000,118724000,189002000,158216000,147952000,98032000,230524000,68448000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11337000,30265000,25458000
61,Total Liabilities,700000,2400000,1800000,6600000,1138000,918000,9467000,2997000,6255000,7506000,6576000,6054000,8600000,9222000,13277000,7560000,14587000,21885000,270092000,224034000,249829000,263673000,262507000,382625000,329531000,323348000,254736000,436508000,281537000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,8267000,8267000,8267000,8267000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,28149000,28149000,28149000,37947000,39192000,43051000,46758000,51277000,53142000,61606000,- -,- -,- -,- -,- -,166309000,232067000,243255000,256919000,262251000,265048000,140300000,102507000,121073000,118646000
64,Retained Earnings,-5700000,-10000000,-13200000,-23200000,-28601000,-36305000,-43880000,-55154000,-62845000,-69151000,-70566000,-69507000,-52958000,-49444000,-42069000,-38505000,-37782000,-27832000,-25716000,-17383000,14812000,84931000,180324000,256922000,293645000,363965000,401732000,472782000,566216000
65,Other Comprehensive Income/Loss,-100000,-300000,-600000,-600000,-1100000,-1700000,-1826000,-2189000,-2623000,-3102000,-2572000,-3140000,-3749000,-12000,-16000,97000,59000,93000,-14754000,-11231000,-5203000,-25743000,-51670000,-69091000,-20444000,-39500000,-42441000,-14982000,-36922000
66,Other Total Stockholders Equity,14800000,15100000,21000000,21100000,10982000,11582000,11811000,25144000,25813000,22606000,22752000,23342000,23951000,21024000,84794000,83447000,85957000,85276000,103991000,24120000,-9582000,-8224000,-1282000,10323000,15625000,14934000,10852000,7458000,- -
67,Total Stockholders Equity,9000000,4800000,7200000,-2700000,9430000,1726000,-5746000,5748000,-463000,1671000,4639000,10239000,28653000,33174000,42709000,45039000,48234000,57537000,63521000,161815000,232094000,294219000,384291000,460405000,553874000,479699000,472650000,586331000,653806000
68,Total Liabilities And Stockholders Equity,9700000,7200000,9000000,3900000,10568000,2644000,3721000,8745000,5792000,9177000,11215000,16293000,37253000,42396000,55986000,52599000,62821000,79422000,333613000,385849000,481923000,557892000,646798000,843030000,883405000,803047000,727386000,1022839000,935343000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,44000,2000,19000,- -,- -,- -,- -,- -,-439000,- -,44194000,53348000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,9700000,7200000,9000000,3900000,10568000,2644000,3721000,8745000,5836000,9179000,11234000,16293000,37253000,42396000,55986000,52599000,62382000,79422000,377807000,439197000,481923000,557892000,646798000,843030000,883405000,803047000,727386000,1022839000,935343000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/903129/000089843003002254/d10k.htm,https://www.sec.gov/Archives/edgar/data/903129/000119312504050643/d10k.htm,https://www.sec.gov/Archives/edgar/data/903129/000119312505059874/d10k.htm,https://www.sec.gov/Archives/edgar/data/903129/000119312506053842/d10k.htm,https://www.sec.gov/Archives/edgar/data/903129/000119312507035190/d10k.htm,https://www.sec.gov/Archives/edgar/data/903129/000119312508029669/d10k.htm,https://www.sec.gov/Archives/edgar/data/903129/000119312509029234/0001193125-09-029234-index.html,https://www.sec.gov/Archives/edgar/data/903129/000119312510035119/0001193125-10-035119-index.html,https://www.sec.gov/Archives/edgar/data/903129/000119312511039213/d10k.htm,https://www.sec.gov/Archives/edgar/data/903129/000119312512117521/0001193125-12-117521-index.html,https://www.sec.gov/Archives/edgar/data/903129/000119312513109773/0001193125-13-109773-index.html,https://www.sec.gov/Archives/edgar/data/903129/000156459014000681/thrm-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/903129/000156459015001170/thrm-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/903129/000156459016013314/0001564590-16-013314-index.html,https://www.sec.gov/Archives/edgar/data/903129/000156459017002183/0001564590-17-002183-index.html,https://www.sec.gov/Archives/edgar/data/903129/000156459018003000/0001564590-18-003000-index.html,https://www.sec.gov/Archives/edgar/data/903129/000156459019004505/0001564590-19-004505-index.html,https://www.sec.gov/Archives/edgar/data/903129/000156459020005507/0001564590-20-005507-index.html,https://www.sec.gov/Archives/edgar/data/903129/000156459021009900/0001564590-21-009900-index.htm,https://www.sec.gov/Archives/edgar/data/903129/000156459022005577/0001564590-22-005577-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3600000,-4200000,-3200000,-10000000,-5417000,-7704000,-7575000,-11274000,-7691000,-6306000,-1415000,1059000,16549000,3514000,7375000,3564000,723000,9950000,10344000,17872000,33820000,70119000,95393000,76598000,35227000,41899000,37506000,59690000,93434000
74,Depreciation and Amortization,100000,200000,300000,400000,162000,582000,344000,619000,802000,708000,523000,661000,440000,489000,654000,1373000,1438000,1368000,23352000,30627000,31249000,35029000,31029000,37764000,44972000,50638000,44246000,41114000,38780000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13578000,2512000,1314000,1432000,261000,1875000,-212000,789000,-47000,-11103000,-711000,-8843000,5135000,6699000,3617000,849000,-150000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1270000,1275000,2073000,1252000,2636000,4652000,6018000,9186000,12507000,9047000,6253000,8829000,14530000
77,Change in Working Capital,100000,-4700000,2400000,-9800000,12126000,-7636000,291000,1719000,-4039000,2053000,2908000,5449000,6075000,8119000,6773000,-67000,3071000,13697000,18716000,58980000,-8149000,70646000,89393000,18305000,-5376000,-22075000,-50520000,220463000,-4220000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6754000,-4615000,-12639000,-18367000,-13828000,-16902000,-12399000,-17971000,6033000,3024000,6801000,-46742000,25099000
79,Inventory,- -,- -,-200000,200000,-35000,-70000,-385000,-988000,315000,-740000,-595000,597000,-812000,-1656000,2150000,-421000,100000,-4285000,-4624000,-5847000,-9600000,-8367000,-10954000,-5933000,-4348000,-7689000,-3859000,-814000,-39873000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6349000,5053000,4722000,1788000,18255000,6956000,8049000,4419000,-7691000,12380000,-10253000,29960000,8166000
81,Other Working Capital,8800000,4100000,6500000,-3300000,8826000,1190000,1481000,3200000,-839000,1214000,4122000,9571000,15646000,23765000,30538000,30471000,33542000,47239000,65955000,124935000,116786000,187432000,276825000,295130000,289754000,267679000,217159000,437622000,- -
82,Other Non-Cash Items,500000,6000000,-5600000,10900000,-13341000,7531000,-551000,-434000,4251000,-3397000,-3883000,-4136000,-6966000,-9816000,-1879000,-757000,-2510000,-15771000,-18903000,-72655000,285000,-89008000,-116410000,-24610000,-42585000,32226000,77701000,-220250000,702000
83,Cash Provided by Operating Activities,-2900000,-2700000,-6100000,-8500000,-6470000,-7227000,-7491000,-9370000,-6677000,-6942000,-1867000,3033000,2520000,4818000,14237000,5545000,4253000,12394000,35370000,36865000,59794000,80335000,104712000,108400000,49880000,118434000,118803000,110695000,143076000
84,CAPEX,-100000,-600000,-400000,-200000,-302000,-449000,-869000,-695000,-243000,-671000,-465000,-653000,-427000,-1518000,-4687000,-2366000,-1574000,-1818000,-11816000,-26793000,-35861000,-38887000,-55490000,-66316000,-50785000,-41541000,-23729000,-20360000,-46025000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1500000,-113432000,- -,-48567000,-31474000,107000,-73593000,-66994000,-15000,29350000,- -,-2827000
86,Purchases of Investments,- -,-2900000,- -,- -,-2400000,- -,-1854000,- -,- -,- -,- -,- -,-19450000,-19901000,-38862000,-3291000,-7143000,-11878000,-757000,-7787000,- -,- -,-7593000,-4486000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,2400000,1854000,- -,- -,- -,- -,- -,16000000,17800000,27013000,27025000,- -,8555000,9761000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,3000000,- -,1800000,971000,- -,- -,-471000,-1000,-135000,-140000,-206000,-308000,- -,- -,-830000,-4241000,-2040000,-815000,-255000,487000,248000,57000,91000,799000,219000,-1001000,-7535000
89,Cash Used for Investing Activites,-100000,-3500000,2600000,-200000,-902000,2922000,-869000,-695000,-714000,-672000,-600000,-793000,-4083000,-3927000,-16536000,21368000,-8717000,-10021000,-117104000,-35395000,-84683000,-69874000,-62728000,-144338000,-117688000,-40757000,5840000,-18220000,-48830000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-110775000,-22953000,-24496000,-79692000,-5053000,-42244000,-27156000,-99460000,-96999000,-91439000,-153243000
91,Common Stock Issued,11500000,- -,5600000,100000,17595000,- -,9089000,11056000,1000000,8277000,3707000,4519000,1865000,197000,1033000,604000,861000,2438000,- -,75532000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-734000,-1270000,- -,- -,- -,- -,- -,- -,- -,-3497000,- -,- -,-7780000,-25740000,-8446000,- -,-1475000,-1196000,-5326000,-148074000,-63283000,-9092000,-24108000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1362000,- -,-696000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,4300000,-4389000,-65000,-15000,1484000,3995000,-1341000,-670000,- -,-16000,- -,- -,- -,-9000,- -,205465000,5638000,52541000,98347000,30954000,123298000,918000,108268000,51689000,216011000,8210000
95,Cash Used/Provided by Financing Activities,11500000,- -,5600000,4400000,13206000,-65000,8340000,11270000,4995000,6936000,3037000,4519000,1849000,197000,1033000,-2893000,852000,2438000,85548000,32477000,18903000,18655000,24426000,79858000,-31564000,-139266000,-108593000,115480000,-169141000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000,-4000,113000,-14000,96000,-6559000,366000,2719000,1699000,-7631000,-11212000,25357000,-1963000,-2722000,7442000,-2844000
97,Net Change In Cash,11500000,- -,5600000,4400000,5834000,-4370000,-20000,1205000,-2396000,-678000,570000,6759000,286000,1076000,-1270000,24133000,-3626000,4907000,-2745000,34313000,-3267000,30815000,58779000,32708000,-74015000,-63552000,13328000,215397000,-77739000
98,Cash at the End of Period,- -,- -,- -,- -,6037000,1667000,1647000,2852000,456000,274000,844000,7603000,1364000,2440000,1170000,25303000,21677000,26584000,23839000,58152000,54885000,85700000,144479000,177187000,103172000,39620000,52948000,268345000,190606000
99,Cash at the Beginning of Period,100000,8600000,2400000,4500000,203000,6037000,1667000,1647000,2852000,952000,274000,844000,1078000,1364000,2440000,1170000,25303000,21677000,26584000,23839000,58152000,54885000,85700000,144479000,177187000,103172000,39620000,52948000,268345000
100,Free Cash Flow,-3000000,-3300000,-6500000,-8700000,-6772000,-7676000,-8360000,-10065000,-6920000,-7613000,-2332000,2380000,2093000,3300000,9550000,3179000,2679000,10576000,23554000,10072000,23933000,41448000,49222000,42084000,-905000,76893000,95074000,90335000,97051000
