,https://roic.ai/company/HA,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,- -,-0.0036,0.0027,0.0375,-0.0816,-0.0203,0.0308,-0.0878,-0.1082,-Infinity,0.0208,-0.0462,-0.0021,0.0439,0.0821,0.0626,-0.0007,0.0437,0.0401,0.0490,0.1276,0.1548,0.1523,0.1061,0.1077,-0.8286,-0.1161
22,Income Tax expense (Gain),- -,- -,900000,1700000,7800000,-11418000,6290000,13770000,2799000,- -,- -,22840000,-463000,-9122000,24623000,-19524000,-28266000,1567000,32549000,34556000,44521000,113042000,144032000,46514000,67958000,81012000,-189117000,-40550000
23,Net Income,-6200000,-5500000,-1500000,-1100000,8200000,-29267000,-18615000,5069000,-58275000,-16998000,-7262000,-12366000,-40547000,7051000,28586000,116720000,110255000,-2649000,53237000,51854000,68926000,182646000,235432000,364041000,233200000,223984000,-510935000,-144773000
24,Net Income ratio,-0.0695,-0.0159,-0.0039,-0.0027,0.0192,-0.0599,-0.0307,0.0083,-0.0922,-0.1082,-Infinity,-0.0245,-0.0457,0.0072,0.0236,0.0986,0.0842,-0.0016,0.0271,0.0241,0.0298,0.0788,0.0961,0.1350,0.0822,0.0791,-0.6048,-0.0907
25,EPS,-0.65,-0.59,-0.05,-0.03,0.20,-0.72,-0.48,0.15,-1.88,-0.60,-0.24,-0.31,-0.86,0.15,0.59,2.26,2.15,-0.05,1.04,1.00,1.29,3.38,4.56,6.86,4.63,4.72,-11.08,-3.14
26,EPS Diluted,-0.65,-0.59,-0.05,-0.03,0.19,-0.72,-0.48,0.15,-1.88,-0.60,-0.24,-0.31,-0.86,0.15,0.57,2.22,2.10,-0.05,1.01,0.98,1.10,2.98,4.52,6.82,4.62,4.71,-11.08,-3.14
27,Weighted Average Shares Outstanding,9538462,9322034,30000000,36666667,41000000,40997000,38537000,33811000,31024000,28435000,29651000,39250000,47153000,47203000,48555000,51656000,51232000,50733000,51314000,52099000,53591000,54031000,53502000,53074000,50338000,47435000,46100000,51213000
28,Weighted Average Shares Outstanding Diluted,9538462,9322034,30000000,36666667,43157895,40997000,39038000,33947000,31024000,28435000,29651000,39250000,47153000,47460000,50527000,52504000,52482000,50733000,52535000,53155000,62822000,61256000,53958000,53413000,50488000,47546000,46100000,51213000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1172222/000110465903006520/j8424_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1172222/000095013605001808/file001.htm,https://www.sec.gov/Archives/edgar/data/1172222/000110465906018706/a06-6834_110k.htm,https://www.sec.gov/Archives/edgar/data/1172222/000110465907019751/a07-5958_110k.htm,https://www.sec.gov/Archives/edgar/data/1172222/000104746908002138/a2183108z10-k.htm,https://www.sec.gov/Archives/edgar/data/1172222/000104746909001839/a2190926z10-k.htm,https://www.sec.gov/Archives/edgar/data/1172222/000104746910000984/a2196529z10-k.htm,https://www.sec.gov/Archives/edgar/data/1172222/000104746911000806/a2201534z10-k.htm,https://www.sec.gov/Archives/edgar/data/1172222/000104746912000763/a2207106z10-k.htm,https://www.sec.gov/Archives/edgar/data/1172222/000104746913000781/0001047469-13-000781-index.html,https://www.sec.gov/Archives/edgar/data/1172222/000104746914000752/a2218181z10-k.htm,https://www.sec.gov/Archives/edgar/data/1172222/000117222215000012/ha-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1172222/000117222216000095/0001172222-16-000095-index.html,https://www.sec.gov/Archives/edgar/data/1172222/000117222217000018/0001172222-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/1172222/000117222218000017/0001172222-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/1172222/000117222219000012/0001172222-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1172222/000117222220000008/0001172222-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1172222/000117222221000027/0001172222-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1172222/000117222222000016/0001172222-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3500000,5400000,37200000,15700000,31000000,63631000,67832000,102860000,71908000,1000,2169000,153388000,66852000,94096000,203872000,300738000,285037000,304115000,405880000,423384000,264087000,281502000,325991000,190953000,268577000,373056000,509639000,490561000
32,Short-Term Investments,- -,- -,- -,4000000,- -,- -,- -,- -,- -,- -,- -,- -,47630000,50388000,2076000,1040000,- -,- -,- -,- -,260121000,278545000,284075000,269297000,232241000,245599000,354782000,1241752000
33,Cash and Short-Term Investments,3500000,5400000,37200000,19700000,31000000,63631000,67832000,102860000,71908000,1000,2169000,153388000,114482000,144484000,205948000,301778000,285037000,304115000,405880000,423384000,524208000,560047000,610066000,460250000,500818000,618655000,864421000,1732313000
34,Net Receivables,16300000,18200000,28000000,31400000,36400000,24921000,25195000,35010000,28093000,286000,- -,35278000,39304000,40622000,32816000,50156000,59887000,94164000,80750000,74245000,80737000,81723000,96067000,140279000,111834000,161572000,162529000,92888000
35,Inventory,6200000,7600000,7100000,9400000,8500000,13965000,4432000,4675000,4408000,- -,- -,14578000,15462000,19035000,16002000,18282000,18354000,23595000,27552000,19767000,18011000,19164000,20363000,35361000,33942000,37630000,35442000,- -
36,Other Current Assets,7700000,7200000,6200000,5600000,6000000,16146000,30062000,36787000,36475000,75000,175000,84362000,90448000,63242000,56269000,71444000,83242000,77657000,57676000,88411000,81891000,80050000,71740000,66196000,58573000,56849000,56086000,- -
37,Total Current Assets,33700000,38400000,78500000,66100000,81900000,118663000,127521000,179332000,140884000,362000,2344000,287606000,259696000,267383000,311035000,441660000,446520000,499531000,571858000,605807000,704847000,740984000,798236000,702086000,705167000,874706000,1118478000,1825201000
38,PP&E,37800000,41400000,45800000,66200000,84900000,65272000,83743000,45256000,45685000,- -,- -,51277000,272614000,270734000,315469000,318884000,418120000,729127000,1068718000,1334332000,1673493000,1552742000,1654567000,1842263000,2185111000,2949317000,2712389000,2493777000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,28320000,- -,- -,107179000,93629000,104682000,106663000,106663000,106663000,106663000,106663000,106663000,106663000,106663000,106663000,106663000,106663000,106663000,- -,- -
40,Intangible Assets,- -,67300000,62600000,57600000,46900000,33897000,31589000,28320000,- -,- -,- -,191205000,162560000,139109000,115657000,92206000,68720000,45368000,26580000,23940000,21300000,18660000,16411000,15187000,14149000,13500000,13500000,13500000
41,Intangible Assets,- -,67300000,62600000,57600000,46900000,33897000,31589000,28320000,28320000,- -,- -,298384000,256189000,243791000,222320000,198869000,175383000,152031000,133243000,130603000,127963000,125323000,123074000,121850000,120812000,120163000,13500000,13500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27673000,29921000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4083000,38847000,59519000,36376000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,91800000,14500000,9400000,10900000,8200000,21305000,14115000,52386000,41277000,500000,500000,29253000,31454000,41491000,52637000,35469000,38629000,47321000,55629000,93519000,96225000,90661000,132724000,193632000,185556000,182438000,133663000,- -
45,Total Non-Current Assets,129600000,123200000,117800000,134700000,140000000,120474000,129447000,125962000,115282000,500000,500000,378914000,560257000,556016000,618099000,587226000,670979000,987998000,1293966000,1558454000,1897681000,1768726000,1910365000,2157745000,2491479000,3251918000,2859552000,2507277000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5313196000
47,Total Assets,163300000,161600000,196300000,200800000,221900000,239137000,256968000,305294000,256166000,862000,2844000,666520000,819953000,823399000,929134000,1028886000,1117499000,1487529000,1865824000,2164261000,2602528000,2509710000,2708601000,2859831000,3196646000,4126624000,3978030000,4631120000
48,Accounts Payable,17500000,35200000,26800000,27600000,28900000,41864000,55083000,71926000,79682000,771000,593000,39089000,51918000,37239000,46065000,49509000,69300000,80636000,82084000,89787000,97260000,101310000,116507000,140805000,143146000,148748000,112002000,114400000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,2153000,- -,- -,13064000,22992000,23905000,27058000,62438000,16888000,37535000,108232000,62187000,156349000,77466000,58899000,59470000,101097000,53273000,218763000,121245000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71201000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,388646000,409086000,424336000,430766000,482496000,545362000,603736000,606684000,533702000,631157000
52,Other Current Liabilities,62000000,54900000,43300000,42600000,46700000,78578000,142752000,177450000,172850000,2520000,2241000,225607000,218941000,257972000,274727000,272297000,314367000,370649000,74828000,97571000,141919000,160258000,172214000,146283000,158154000,266511000,140081000,- -
53,Total Current Liabilities,79500000,90100000,70100000,70200000,75600000,120442000,197835000,249376000,254685000,3291000,2834000,277760000,293851000,319116000,347850000,384244000,400555000,488820000,653790000,658631000,819864000,769800000,830116000,891920000,1006133000,1075216000,1004548000,866802000
54,Long-Term Debt,26900000,15600000,13700000,14600000,20400000,26648000,12830000,4981000,883000,- -,- -,77576000,238381000,215926000,232218000,190335000,171884000,424436000,553009000,744286000,893288000,694678000,497908000,511201000,608684000,547254000,1658799000,1704298000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32299000,34764000,- -,- -,- -,163619000,175218000,201239000,296484000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9269000,17609000,- -,- -,- -,- -,- -,- -,40950000,41629000,136625000,170543000,174344000,167770000,289564000,216642000,186797000
57,Other Non-Current Liabilities,23100000,26700000,29600000,29100000,35000000,25921000,28044000,72147000,143208000,61302000,61302000,253848000,186475000,155018000,295753000,278218000,267191000,351397000,390423000,291231000,445750000,462545000,529581000,316424000,302446000,957576000,296645000,- -
58,Total Non-Current Liabilities,50000000,42300000,43300000,43700000,55400000,52569000,40874000,77128000,144091000,61302000,61302000,340693000,442465000,370944000,527971000,468553000,439075000,775833000,943432000,1108766000,1415431000,1293848000,1198032000,1001969000,1242519000,1969612000,2373325000,2187579000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,3454000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,761627000,727738000,- -
61,Total Liabilities,129500000,132400000,113400000,113900000,131000000,173011000,238709000,326504000,398776000,64593000,64136000,618453000,736316000,690060000,875821000,852797000,839630000,1264653000,1597222000,1767397000,2235295000,2063648000,2028148000,1893889000,2248652000,3044828000,3377873000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,100000,400000,400000,400000,410000,410000,415000,284000,285000,307000,453000,466000,472000,515000,516000,522000,507000,514000,524000,545000,534000,534000,512000,485000,461000,481000,512000
64,Retained Earnings,-6200000,-11700000,-13200000,-14200000,-6000000,-35274000,-53889000,-48820000,-107095000,-124093000,-131355000,-143721000,-184268000,-177217000,-148631000,-32824000,- -,64051000,117288000,169142000,238068000,420714000,656146000,913951000,912201000,1049567000,525610000,380837000
65,Other Comprehensive Income/Loss,-900000,-5000000,-10200000,-17200000,-25600000,-12541000,-22171000,-33159000,-28068000,- -,- -,-12000000,57000000,97000000,-35000000,-31000000,-35000000,-102000000,-114000000,-43000000,-123000000,-99000000,-103000000,-75000000,-93000000,-104000000,-114527000,-81838000
66,Other Total Stockholders Equity,40900000,45800000,105900000,117900000,122100000,113531000,93909000,60354000,-7731000,60077000,69756000,203335000,210439000,213084000,236429000,239397000,312347000,260318000,264800000,270198000,251620000,123814000,126773000,126479000,128308000,135768000,188593000,- -
67,Total Stockholders Equity,33800000,29200000,82900000,86900000,90900000,66126000,18259000,-21210000,-142610000,-63731000,-61292000,48067000,83637000,133339000,53313000,176089000,277869000,222876000,268602000,396864000,367233000,446062000,680453000,965942000,947994000,1081796000,600157000,- -
68,Total Liabilities And Stockholders Equity,163300000,161600000,196300000,200800000,221900000,239137000,256968000,305294000,256166000,862000,2844000,666520000,819953000,823399000,929134000,1028886000,1117499000,1487529000,1865824000,2164261000,2602528000,2509710000,2708601000,2859831000,3196646000,4126624000,3978030000,4631120000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,163300000,161600000,196300000,200800000,221900000,239137000,256968000,305294000,256166000,862000,2844000,666520000,819953000,823399000,929134000,1028886000,1117499000,1487529000,1865824000,2164261000,2602528000,2509710000,2708601000,2859831000,3196646000,4126624000,3978030000,4631120000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1172222/000110465903006520/j8424_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1172222/000095013605001808/file001.htm,https://www.sec.gov/Archives/edgar/data/1172222/000110465906018706/a06-6834_110k.htm,https://www.sec.gov/Archives/edgar/data/1172222/000110465907019751/a07-5958_110k.htm,https://www.sec.gov/Archives/edgar/data/1172222/000104746908002138/a2183108z10-k.htm,https://www.sec.gov/Archives/edgar/data/1172222/000104746909001839/a2190926z10-k.htm,https://www.sec.gov/Archives/edgar/data/1172222/000104746910000984/a2196529z10-k.htm,https://www.sec.gov/Archives/edgar/data/1172222/000104746911000806/a2201534z10-k.htm,https://www.sec.gov/Archives/edgar/data/1172222/000104746912000763/a2207106z10-k.htm,https://www.sec.gov/Archives/edgar/data/1172222/000104746913000781/0001047469-13-000781-index.html,https://www.sec.gov/Archives/edgar/data/1172222/000104746914000752/a2218181z10-k.htm,https://www.sec.gov/Archives/edgar/data/1172222/000117222215000012/ha-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1172222/000117222216000095/0001172222-16-000095-index.html,https://www.sec.gov/Archives/edgar/data/1172222/000117222217000018/0001172222-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/1172222/000117222218000017/0001172222-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/1172222/000117222219000012/0001172222-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1172222/000117222220000008/0001172222-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1172222/000117222221000027/0001172222-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1172222/000117222222000016/0001172222-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-6200000,-5500000,-1500000,-1100000,8200000,-29267000,-18615000,5069000,-58275000,-16998000,-7262000,-12366000,-40547000,7051000,28586000,116720000,110255000,-2649000,53237000,51854000,68926000,182646000,235432000,364041000,233200000,223984000,-510935000,-144773000
74,Depreciation and Amortization,-2400000,-8000000,-8700000,-10700000,-12600000,-17139000,-16321000,-13983000,8577000,1813000,- -,19730000,-28865000,28564000,54741000,58711000,63811000,72227000,88309000,84285000,97609000,106816000,109363000,113851000,140439000,159363000,151665000,138299000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,6290000,9806000,5904000,- -,- -,24865000,- -,- -,- -,-25000000,-51990000,43768000,31333000,34106000,43084000,102446000,36372000,-14792000,35433000,124068000,-72188000,-41624000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2611000,3454000,5001000,4302000,3516000,4573000,6680000,6616000,8424000,7286000,5349000,8253000,4936000,8645000
77,Change in Working Capital,-2200000,-5900000,60100000,-12500000,10400000,-8079000,-68535000,270000,-43757000,110872000,2439000,10336000,-44001000,-17578000,14918000,94231000,-11451000,-35254000,-92643000,29108000,-62193000,86201000,-3064000,-157954000,-111132000,100456000,314440000,844469000
78,Accounts Receivable,3400000,-2600000,-10500000,-3400000,-5000000,5074000,-274000,-9815000,6917000,-3604000,- -,21214000,-2701000,-1478000,7588000,-20719000,-11326000,-35408000,12698000,1318000,-5803000,-1850000,-18956000,-40780000,21132000,-24756000,29853000,-25361000
79,Inventory,200000,-1400000,600000,-2300000,800000,-5419000,1453000,166000,-839000,- -,- -,-3087000,-2302000,-4834000,1413000,-3792000,-1777000,-7181000,-6660000,5020000,-1436000,-4323000,-5259000,-21964000,-4701000,-8767000,-1066000,- -
80,Accounts Payable,-2000000,17700000,1900000,800000,1300000,12981000,10419000,16843000,-677000,-7080000,-178000,-9026000,13121000,-14679000,10552000,2962000,22953000,11336000,1447000,7703000,7473000,44000,12305000,21965000,2926000,6244000,-49469000,5785000
81,Other Working Capital,-45800000,-51700000,8400000,-4100000,6300000,-1779000,-70314000,-70044000,-113801000,-2929000,-490000,9846000,-34155000,-51733000,-36815000,57416000,45965000,10711000,-81932000,-52824000,-115017000,-28816000,-31880000,-189834000,-300966000,-200510000,113930000,958399000
82,Other Non-Cash Items,5500000,38200000,-48900000,28400000,24200000,123815000,160501000,55642000,97929000,-133675000,-2710000,15361000,176556000,63515000,33643000,-111665000,34671000,96370000,227265000,39344000,146324000,-8697000,30861000,18703000,205219000,-130984000,-198626000,-553678000
83,Cash Provided by Operating Activities,-5300000,18800000,1000000,4100000,30200000,69330000,63320000,56804000,10378000,-37988000,-7533000,57926000,63143000,81552000,134499000,136451000,150297000,178764000,311017000,243270000,300430000,476028000,417388000,331135000,508508000,485140000,-310708000,251338000
84,CAPEX,-3600000,-9200000,-9700000,-18500000,-27900000,-41934000,-53182000,-21403000,-9714000,-2577000,- -,-7374000,-236335000,-28571000,-28712000,-40174000,-140460000,-281903000,-290699000,-342228000,-442229000,-118828000,-178838000,-341515000,-486777000,-397421000,-105313000,-39264000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113685000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,-24397000,-62020000,-15784000,-41056000,-109623000,- -,- -,- -,-458592000,-257448000,-260987000,-231393000,-210836000,-312768000,-395793000,-1856035000
87,Sales/Maturities of Investments,- -,- -,- -,- -,4000000,- -,- -,- -,- -,- -,- -,- -,- -,59323000,28537000,45290000,141410000,- -,- -,- -,197046000,236062000,253855000,244261000,247423000,301662000,288336000,958242000
88,Other Investing Activites,7600000,4300000,2800000,1500000,1100000,260000,233000,12888000,2123000,1000,- -,- -,- -,- -,65000,- -,- -,- -,- -,14414000,16953000,104907000,31867000,33941000,133714000,3320000,114000000,755000
89,Cash Used for Investing Activites,4000000,-4900000,-6900000,-21000000,-22800000,-41674000,-52949000,-8515000,-7591000,-2576000,- -,106311000,-260732000,-31268000,-15894000,-35940000,-108673000,-281903000,-290699000,-327814000,-686822000,-35307000,-154103000,-294706000,-316476000,-405207000,-98770000,-936302000
90,Debt Repayment,-3100000,-13500000,-22000000,-8000000,-5800000,-7740000,-12656000,-14547000,-6004000,-743000,- -,-6508000,-29215000,-23173000,-32944000,-27526000,-104013000,-80023000,-49129000,-113592000,-158000000,-400802000,-215451000,-61486000,-68245000,-109128000,-78824000,-611725000
91,Common Stock Issued,- -,- -,53000000,2700000,200000,- -,- -,24000,41000,- -,9701000,8934000,55842000,110000,12955000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41196000,68132000
92,Common Stock Repurchased,- -,- -,-900000,- -,- -,- -,-19153000,-185000,-28120000,- -,- -,-7722000,-54891000,- -,- -,-754000,-9998000,-19504000,- -,- -,- -,-40138000,-13763000,-100000000,-102500000,-68769000,-7510000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6261000,-24171000,-22774000,-5514000,- -
94,Other Financing Activites,5400000,1500000,7600000,700000,13500000,12704000,22839000,1447000,344000,- -,- -,-7722000,162550000,23000,11160000,24635000,56686000,221744000,130576000,215640000,385095000,17634000,10418000,-7720000,79508000,225217000,596713000,1226746000
95,Cash Used/Provided by Financing Activities,2300000,-12000000,37700000,-4600000,7900000,4964000,-8970000,-13261000,-33739000,-743000,9701000,-13018000,134286000,-23040000,-8829000,-3645000,-57325000,122217000,81447000,102048000,227095000,-423306000,-218796000,-175467000,-115408000,24546000,546061000,683153000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2300000,1900000,31800000,-21500000,15300000,32620000,1401000,35028000,-30952000,-71907000,2168000,151219000,-63303000,27244000,109776000,96866000,-15701000,19078000,101765000,17504000,-159297000,17415000,44489000,-139038000,76624000,104479000,136583000,-1811000
98,Cash at the End of Period,- -,5400000,37200000,15700000,31000000,63631000,67832000,102860000,71908000,1000,2169000,153388000,66852000,94096000,203872000,300738000,285037000,304115000,405880000,423384000,264087000,281502000,325991000,191953000,268577000,373056000,509639000,507828000
99,Cash at the Beginning of Period,2500000,3500000,5400000,37200000,15700000,31011000,66431000,67832000,102860000,71908000,1000,2169000,130155000,66852000,94096000,203872000,300738000,285037000,304115000,405880000,423384000,264087000,281502000,330991000,191953000,268577000,373056000,509639000
100,Free Cash Flow,-8900000,9600000,-8700000,-14400000,2300000,27396000,10138000,35401000,664000,-40565000,-7533000,50552000,-173192000,52981000,105787000,96277000,9837000,-103139000,20318000,-98958000,-141799000,357200000,238550000,-10380000,21731000,87719000,-416021000,212074000
