,https://roic.ai/company/CGEN,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,- -,- -,-8129000,-13404000,-15140000,-12200000,-11440000,-13720000,-13980000,-13020000,-12110000,-12530000,-3830000,-7200000,-12000000,-13630000,-14080000,-11094000,-20163000,-31506000,-37066000,-22599000,-27337000,-29698000,-34203000
24,Net Income ratio,- -,- -,-2.5113,-1.9451,-1.3327,-1.0991,-1.6873,-5.2167,-21.5077,-59.1818,-67.2778,-36.8529,-15.3200,-6.4286,-Infinity,-56.7917,-3.9662,-0.8971,-2.1734,-44.2500,-Infinity,-1.2696,-Infinity,-14.8490,-5.7005
25,EPS,- -,- -,-0.57,-2.75,-0.58,-0.47,-0.43,-0.50,-0.50,-0.47,-0.43,-0.44,-0.13,-0.22,-0.35,-0.38,-0.36,-0.23,-0.40,-0.62,-0.72,-0.41,-0.43,-0.37,-0.54
26,EPS Diluted,- -,- -,-0.57,-2.75,-0.58,-0.47,-0.43,-0.50,-0.50,-0.47,-0.43,-0.44,-0.13,-0.22,-0.35,-0.38,-0.36,-0.23,-0.40,-0.62,-0.72,-0.41,-0.43,-0.37,-0.54
27,Weighted Average Shares Outstanding,- -,- -,14102899,13914485,26005784,26103343,26409180,27473341,27774535,27985957,28266273,28434946,28608317,33284017,34276697,35844496,38869438,47808855,50437040,50855908,51179694,55277428,63636673,79591187,63636670
28,Weighted Average Shares Outstanding Diluted,- -,- -,14102899,13914485,26005784,26103343,26409180,27473341,27774535,27985957,28266273,28434946,28608317,33284017,34276697,36249262,38869438,47808855,50437040,50855908,51179694,55277428,63636673,79591187,63636670
29,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1119774/000111977404000008/test.htm,https://www.sec.gov/Archives/edgar/data/1119774/000111977405000005/0001119774-05-000005-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1119774/000117891309000623/0001178913-09-000623-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891310000713/0001178913-10-000713-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891311000831/zk1109622.htm,https://www.sec.gov/Archives/edgar/data/1119774/000117891312000701/0001178913-12-000701-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891313000854/0001178913-13-000854-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891314000645/zk1414355.htm,https://www.sec.gov/Archives/edgar/data/1119774/000117891315000852/zk1516398.htm,https://www.sec.gov/Archives/edgar/data/1119774/000117891316004622/0001178913-16-004622-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891317000548/0001178913-17-000548-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891318000965/0001178913-18-000965-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891319000894/0001178913-19-000894-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891320000625/0001178913-20-000625-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,11436000,80675000,8438000,5289000,7910000,4366000,730000,6251000,1416000,5423000,15139000,7300000,5846000,16374000,28751000,25643000,10777000,9709000,25470000,5861000,9187000,7143000,7801000
32,Short-Term Investments,- -,- -,- -,- -,9241000,12918000,8797000,16208000,30257000,19152000,13784000,5916000,- -,14524000,16525000,8411000,22580000,48054000,69993000,50825000,3918000,39209000,34040000,116622000,109248000
33,Cash and Short-Term Investments,- -,- -,11436000,80675000,17679000,18207000,16707000,20574000,30987000,25403000,15200000,11339000,15139000,21824000,22371000,24785000,51331000,73697000,80770000,60534000,29388000,45070000,43227000,123765000,117049000
34,Net Receivables,- -,- -,710000,2682000,2950000,4581000,573000,647000,310000,605000,727000,593000,8510000,5569000,546000,174000,1239000,357000,8425000,82000,51000,167000,341000,2176000,188000
35,Inventory,- -,- -,380000,385000,343000,111000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,10000000,14668000,30195000,828000,898000,1200000,251000,317000,175000,661000,684000,92000,612000,646000,1044000,1804000,2064000,1740000,1341000,1432000,3149000,5985000
37,Total Current Assets,- -,- -,12526000,93742000,35640000,53094000,18108000,22119000,32497000,26259000,16244000,12107000,24310000,28077000,23009000,25571000,53216000,75098000,90999000,62680000,31179000,46578000,45000000,129090000,123222000
38,PP&E,- -,- -,2397000,3189000,4272000,3801000,3937000,3739000,3020000,2179000,1417000,1058000,735000,580000,497000,1250000,1208000,2730000,6028000,5965000,4647000,3372000,5585000,4483000,3905000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,7000000,2000000,- -,- -,5140000,7801000,4110000,59000,2000000,35026000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,595000,941000,47377000,20362000,45481000,29495000,-411000,418000,4005000,1079000,- -,- -,1465000,2029000,287000,2132000,2280000,2494000,2920000,3230000,3178000,4743000,5036000
45,Total Non-Current Assets,- -,- -,2992000,4130000,51649000,24163000,49418000,33234000,9609000,4597000,5422000,2137000,5875000,8381000,6072000,3338000,3495000,39888000,8308000,8459000,7567000,6602000,8763000,9226000,8941000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,15518000,97872000,87289000,77257000,67526000,55353000,42106000,30856000,21666000,14244000,30185000,36458000,29081000,28909000,56711000,114986000,99307000,71139000,38746000,53180000,53763000,138316000,132163000
48,Accounts Payable,- -,- -,1637000,1253000,2271000,4949000,1583000,1425000,1088000,1262000,881000,472000,199000,507000,248000,443000,693000,1493000,2001000,1274000,3445000,2946000,1088000,1413000,4621000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,639000,768000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,374000,- -,120000,289000,1356000,4000,- -,234000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,1185000,960000,1595000,1566000,276000,200000,75000,150000,100000,113000,- -,- -,- -,5318000,1789000,312000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,469000,1865000,2616000,- -,2046000,1682000,2385000,1613000,1864000,2421000,1158000,1934000,1459000,941000,1728000,3307000,4541000,3466000,2749000,7043000,5131000,8471000,11707000
53,Total Current Liabilities,- -,- -,2106000,4303000,5847000,6544000,5195000,3383000,3673000,2950000,2895000,2993000,1470000,2441000,1707000,1384000,7739000,6589000,6854000,4740000,6194000,9989000,6819000,10523000,17096000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1982000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1454000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,625000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,1059000,1380000,1832000,2523000,2404000,2185000,2168000,1486000,1248000,1317000,5732000,7793000,9853000,15630000,2281000,2556000,2880000,3255000,5948000,8623000,8011000,6392000
58,Total Non-Current Liabilities,- -,- -,625000,1059000,1380000,1832000,2523000,2404000,2185000,2168000,1486000,1248000,1317000,5732000,7793000,9853000,17084000,2281000,2556000,2880000,3255000,5948000,8623000,8011000,8374000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3578000,3166000,2750000
61,Total Liabilities,- -,- -,2731000,5362000,7227000,8376000,7718000,5787000,5858000,5118000,4381000,4241000,2787000,8173000,9500000,11237000,24823000,8870000,9410000,7620000,9449000,15937000,15442000,18534000,25470000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,20000,71000,71000,71000,72000,74000,75000,76000,77000,77000,88000,92000,94000,99000,111000,137000,138000,140000,140000,164000,187000,231000,239000
64,Retained Earnings,- -,- -,-14917000,-53244000,-68388000,-80592000,-92034000,-105756000,-119734000,-132754000,-144926000,-157453000,-161284000,-168487000,-180491000,-194119000,-208202000,-219296000,-239459000,-270965000,-308242000,-330841000,-358178000,-387876000,-422079000
65,Other Comprehensive Income/Loss,- -,- -,-1657000,-2899000,-4577000,-580000,-501000,-196000,-16000,-7468000,976000,4198000,4071000,6405000,4264000,5367000,4628000,1222000,421000,7000,17000,- -,- -,-5408000,- -
66,Other Total Stockholders Equity,- -,- -,29341000,148582000,152956000,149982000,152271000,155444000,155923000,165884000,161158000,163181000,184523000,190275000,195714000,206325000,235351000,324053000,328797000,334337000,337382000,367920000,396312000,512835000,528533000
67,Total Stockholders Equity,- -,- -,12787000,92510000,80062000,68881000,59808000,49566000,36248000,25738000,17285000,10003000,27398000,28285000,19581000,17672000,31888000,106116000,89897000,63519000,29297000,37243000,38321000,119782000,106693000
68,Total Liabilities And Stockholders Equity,- -,- -,15518000,97872000,87289000,77257000,67526000,55353000,42106000,30856000,21666000,14244000,30185000,36458000,29081000,28909000,56711000,114986000,99307000,71139000,38746000,53180000,53763000,138316000,132163000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,15518000,97872000,87289000,77257000,67526000,55353000,42106000,30856000,21666000,14244000,30185000,36458000,29081000,28909000,56711000,114986000,99307000,71139000,38746000,53180000,53763000,138316000,132163000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1119774/000111977404000008/test.htm,https://www.sec.gov/Archives/edgar/data/1119774/000111977405000005/0001119774-05-000005-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1119774/000117891309000623/0001178913-09-000623-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891310000713/0001178913-10-000713-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891311000831/zk1109622.htm,https://www.sec.gov/Archives/edgar/data/1119774/000117891312000701/0001178913-12-000701-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891313000854/0001178913-13-000854-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891314000645/zk1414355.htm,https://www.sec.gov/Archives/edgar/data/1119774/000117891315000852/zk1516398.htm,https://www.sec.gov/Archives/edgar/data/1119774/000117891316004622/0001178913-16-004622-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891317000548/0001178913-17-000548-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891318000965/0001178913-18-000965-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891319000894/0001178913-19-000894-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891320000625/0001178913-20-000625-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-8129000,-13404000,-15140000,-12200000,-11440000,-13720000,-13980000,-13020000,-12110000,-12530000,-3830000,-7200000,-12000000,-13630000,-14080000,-11094000,-20163000,-31506000,-37066000,-22599000,-27337000,-29698000,-34203000
74,Depreciation and Amortization,- -,- -,1860000,4993000,4275000,2898000,2675000,1764000,2386000,996000,633000,477000,264000,201000,179000,299000,370000,658000,1106000,1484000,1593000,1394000,989000,715000,461000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1803000,1529000,2337000,3400000,2469000,3543000,3633000,3773000,3084000,2633000,2166000,2408000,2772000,4276000
77,Change in Working Capital,- -,- -,-657000,220000,1318000,-702000,2471000,-1901000,287000,-181000,-370000,71000,-1463000,641000,-691000,-499000,6906000,-2131000,-9623000,7401000,2215000,5650000,-3791000,-2281000,6820000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,222000,58000,-21000,43000,-112000,-1105000,1026000,-8577000,8006000,422000,-179000,-142000,-3613000,-802000
79,Inventory,- -,- -,165000,-5000,42000,23000,80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000,13000,-113000,- -,-301000,6974000,-4831000,-1470000,-303000,-18000,3426000,-544000,-2016000,3677000
82,Other Non-Cash Items,- -,- -,1163000,2050000,50000,928000,721000,1655000,199000,2272000,3440000,167000,-3953000,-258000,-137000,515000,-3178000,-2214000,-700000,-282000,-33000,98000,-157000,172000,-104000
83,Cash Provided by Operating Activities,- -,- -,-5763000,-6141000,-9497000,-9076000,-5573000,-12202000,-11108000,-9933000,-8407000,-10012000,-7453000,-4279000,-9249000,-10846000,-6439000,-11148000,-25607000,-19819000,-30658000,-13291000,-27888000,-28320000,-22750000
84,CAPEX,- -,- -,-1800000,-2034000,-2765000,-1426000,-2326000,-1435000,-862000,-161000,-205000,-120000,-48000,-46000,-96000,-1005000,-328000,-1896000,-3120000,-2599000,-385000,-158000,-155000,-166000,-292000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,232000,- -,3603000,2309000,423000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-10000000,-29436000,-15934000,-39648000,-8191000,- -,-3237000,-4824000,-8000,-500000,-14524000,-16525000,-3215000,-18015000,-82026000,-34000000,-50561000,-24900000,-62403000,-54300000,-152350000,-129945000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,23145000,17905000,15566000,15509000,22302000,8180000,13235000,6192000,924000,14524000,16525000,3215000,18015000,47000000,69369000,71560000,27400000,59403000,70300000,136850000
88,Other Investing Activites,- -,- -,-3000,-32000,-30643000,-19000,28919000,-7000,409000,-11877000,8000,14000,89000,-22000,639000,-42000,-50000,-491000,-534000,84000,- -,2000,382000,44000,3000
89,Cash Used for Investing Activites,- -,- -,-1803000,-12066000,-62844000,5766000,4850000,5933000,15056000,7027000,3159000,13121000,5733000,-13668000,-1226000,12263000,-11575000,-64089000,9769000,16293000,46275000,-35159000,5330000,-82172000,6616000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,19000,87446000,104000,161000,1307000,2725000,178000,665000,295000,- -,12013000,7790000,- -,6211000,19760000,70718000,- -,- -,- -,27711000,22758000,74147000,14958000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-958000,- -,- -,- -,2037000,- -,- -,- -,- -,295000,196000,2318000,9021000,2900000,10631000,1411000,972000,2458000,201000,685000,3173000,34316000,1880000
95,Cash Used/Provided by Financing Activities,- -,- -,-939000,87446000,104000,161000,3344000,2725000,178000,665000,295000,295000,12209000,10108000,9021000,9111000,30391000,72129000,972000,2458000,201000,28396000,25931000,108463000,16838000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-8505000,69239000,-72237000,-3149000,2621000,-3544000,4126000,-2241000,-4953000,3352000,10489000,-7839000,-1454000,10528000,12377000,-3108000,-14866000,-1068000,15818000,-20054000,3373000,-2029000,704000
98,Cash at the End of Period,- -,- -,11436000,80675000,8438000,5289000,7910000,4366000,8492000,6251000,1298000,4650000,15139000,7300000,5846000,16374000,28751000,25643000,10777000,9709000,26520000,6466000,9839000,7810000,8514000
99,Cash at the Beginning of Period,- -,- -,19941000,11436000,80675000,8438000,5289000,7910000,4366000,8492000,6251000,1298000,4650000,15139000,7300000,5846000,16374000,28751000,25643000,10777000,10702000,26520000,6466000,9839000,7810000
100,Free Cash Flow,- -,- -,-7563000,-8175000,-12262000,-10502000,-7899000,-13637000,-11970000,-10094000,-8612000,-10132000,-7501000,-4325000,-9345000,-11851000,-6767000,-13044000,-28727000,-22418000,-31043000,-13449000,-28043000,-28486000,-23042000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1119774/000111977404000008/test.htm,https://www.sec.gov/Archives/edgar/data/1119774/000111977405000005/0001119774-05-000005-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1119774/000117891309000623/0001178913-09-000623-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891310000713/0001178913-10-000713-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891311000831/zk1109622.htm,https://www.sec.gov/Archives/edgar/data/1119774/000117891312000701/0001178913-12-000701-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891313000854/0001178913-13-000854-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891314000645/zk1414355.htm,https://www.sec.gov/Archives/edgar/data/1119774/000117891315000852/zk1516398.htm,https://www.sec.gov/Archives/edgar/data/1119774/000117891316004622/0001178913-16-004622-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891317000548/0001178913-17-000548-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891318000965/0001178913-18-000965-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891319000894/0001178913-19-000894-index.html,https://www.sec.gov/Archives/edgar/data/1119774/000117891320000625/0001178913-20-000625-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
