,https://roic.ai/company/USNA,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,15600000,37000000,56800000,- -,81000000,85567000,77300000,87600000,- -,124500000,191363000,222900000,264500000,- -,292100000,296300000,402991000,434700000,474100000,- -,533600000,687271000,735357000,800185000,727209000,- -,749042000
11,COGS and Expenses,- -,21000000,49600000,78000000,- -,111100000,117725000,110100000,121000000,- -,168900000,269379000,302700000,352400000,- -,381000000,386100000,504683000,550500000,601500000,- -,674400000,867461000,914761000,1000895000,914712000,- -,958153000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82000,191000,247000,464000,- -,500000,1480000,2185000,4427000,4707000,- -,2535000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,609000,9000,20000,1000,- -,129000,444000,46000,36000,66000,- -,507000
14,Depreciation and Amortization,- -,300000,800000,2200000,- -,3400000,4186000,4116000,4137000,- -,3877000,5904000,5562000,5333000,- -,6697000,7069000,8474000,8826000,9044000,- -,8810000,13482000,16110000,16843000,23007000,- -,22509000
15,EBITDA,300000,4000000,8900000,12900000,- -,18800000,8964000,7616000,16737000,- -,35177000,64754000,68662000,75833000,- -,52997000,58678000,85961000,107239000,125602000,- -,124556000,152478000,150796000,208389000,173569000,- -,200964000
16,EBITDA ratio,0.0411,0.1633,0.1548,0.1458,- -,0.1489,0.0728,0.0666,0.1251,- -,0.1759,0.1976,0.1880,0.1792,- -,0.1235,0.1343,0.1477,0.1653,0.1749,- -,0.1576,0.1516,0.1440,0.1752,0.1636,- -,0.1771
17,Operating Income,- -,3500000,7900000,10600000,- -,15200000,5455000,4200000,12793000,- -,31119000,58363000,62343000,70701000,- -,47997000,50791000,77256000,98179000,116712000,- -,116102000,138622000,132504000,188353000,146190000,- -,176491000
18,Operating Income ratio,- -,0.1429,0.1374,0.1198,- -,0.1203,0.0443,0.0367,0.0956,- -,0.1556,0.1781,0.1707,0.1671,- -,0.1119,0.1163,0.1328,0.1513,0.1625,- -,0.1469,0.1378,0.1265,0.1584,0.1378,- -,0.1555
19,Total Other Income Expenses (Gains),- -,200000,200000,100000,- -,200000,-677000,-700000,-193000,- -,181000,487000,1557000,499000,- -,-1697000,209000,222000,221000,-112000,- -,-402000,-70000,2136000,3157000,4306000,- -,1457000
20,Income Before Tax,- -,3700000,8100000,10700000,- -,15400000,4778000,3500000,12600000,- -,31300000,58850000,63900000,71200000,- -,46300000,51000000,77478000,98400000,116600000,- -,115700000,138552000,134640000,191510000,150496000,- -,177948000
21,Income Before Tax Ratio,- -,0.1510,0.1409,0.1209,- -,0.1219,0.0388,0.0306,0.0942,- -,0.1565,0.1796,0.1750,0.1683,- -,0.1079,0.1167,0.1331,0.1517,0.1624,- -,0.1464,0.1377,0.1286,0.1610,0.1419,- -,0.1568
22,Income Tax expense (Gain),- -,1400000,3100000,4100000,- -,5900000,1911000,1300000,4100000,- -,10500000,19856000,22700000,25500000,- -,16400000,17400000,26726000,31993000,37557000,- -,39017000,38511000,72105000,65286000,49970000,- -,53284000
23,Net Income,300000,2300000,5000000,6600000,- -,9500000,2867000,2200000,8500000,- -,20800000,38994000,40400000,45000000,- -,29900000,33600000,50752000,66400000,79000000,- -,76600000,100041000,62535000,126224000,100526000,- -,124664000
24,Net Income ratio,0.0411,0.0939,0.0870,0.0746,- -,0.0752,0.0233,0.0192,0.0635,- -,0.1040,0.1190,0.1106,0.1064,- -,0.0697,0.0769,0.0872,0.1024,0.1100,- -,0.0969,0.0994,0.0597,0.1061,0.0948,- -,0.1099
25,EPS,0.01,0.05,0.10,0.13,- -,0.18,0.07,0.06,0.23,- -,0.55,1.03,1.15,1.35,- -,0.94,1.10,1.70,2.40,2.85,- -,3.11,4.09,2.60,5.36,4.64,- -,5.93
26,EPS Diluted,0.01,0.05,0.10,0.12,- -,0.17,0.07,0.06,0.20,- -,0.49,0.99,1.10,1.31,- -,0.93,1.08,1.63,2.23,2.78,- -,2.80,3.99,2.53,5.12,4.41,- -,5.86
27,Weighted Average Shares Outstanding,40000000,43809524,50000000,50964064,- -,51748000,39148000,38712000,37768000,- -,38036000,37746000,36106000,33468000,- -,32096000,30698000,29880000,27642000,27772000,- -,25266000,24485000,24024000,23567000,21655000,- -,21038000
28,Weighted Average Shares Outstanding Diluted,40000000,46000000,52631579,53277320,- -,55716000,39560000,38824000,41296000,- -,42638000,39442000,37448000,34412000,- -,32326000,30864000,31148000,29846000,28408000,- -,27378000,25047000,24708000,24642000,22818000,- -,21256000
29,SEC Link,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/896264/000110465902000881/j3085_10k.htm,https://www.sec.gov/Archives/edgar/data/896264/000110465903005124/j8827_10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/896264/000110465904007222/a04-3363_110k.htm,https://www.sec.gov/Archives/edgar/data/896264/000110465906014297/a06-2013_110k.htm,https://www.sec.gov/Archives/edgar/data/896264/000110465907017321/a07-5557_110k.htm,https://www.sec.gov/Archives/edgar/data/896264/000104746908002668/a2183527z10-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/896264/000104746909002300/0001047469-09-002300-index.html,https://www.sec.gov/Archives/edgar/data/896264/000104746910002352/0001047469-10-002352-index.html,https://www.sec.gov/Archives/edgar/data/896264/000104746912002617/0001047469-12-002617-index.html,https://www.sec.gov/Archives/edgar/data/896264/000104746913002524/0001047469-13-002524-index.html,https://www.sec.gov/Archives/edgar/data/896264/000104746914002329/a2218950z10-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/896264/000104746915002349/a2223703z10-k.htm,https://www.sec.gov/Archives/edgar/data/896264/000104746917001138/0001047469-17-001138-index.html,https://www.sec.gov/Archives/edgar/data/896264/000104746918001146/0001047469-18-001146-index.html,https://www.sec.gov/Archives/edgar/data/896264/000104746919000707/0001047469-19-000707-index.html,https://www.sec.gov/Archives/edgar/data/896264/000156276220000071/0001562762-20-000071-index.html,undefined,https://www.sec.gov/Archives/edgar/data/896264/000143774921004694/0001437749-21-004694-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,3000000,1100000,2600000,- -,2600000,1400000,2500000,6700000,- -,19000000,10579000,27000000,12900000,- -,13300000,13700000,50353000,70800000,137300000,- -,111100000,175774000,247131000,214326000,234830000,- -,311917000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8600000,- -,- -,- -,- -,63539000,- -,- -,- -
33,Cash and Short-Term Investments,- -,3000000,1100000,2600000,- -,2600000,1400000,2500000,6700000,- -,19000000,10579000,27000000,12900000,- -,13300000,13700000,50353000,70800000,145900000,- -,111100000,175774000,247131000,277865000,234830000,- -,311917000
34,Net Receivables,- -,- -,500000,100000,- -,300000,800000,300000,200000,- -,1400000,- -,5100000,8000000,- -,9100000,6000000,5658000,14000000,19100000,- -,16500000,17044000,16466000,16070000,10433000,- -,7420000
35,Inventory,- -,2100000,6400000,6500000,- -,10500000,9900000,9500000,9100000,- -,14100000,22223000,22500000,19400000,- -,23900000,25800000,36968000,36500000,47200000,- -,45200000,64810000,62918000,81948000,68905000,- -,90224000
36,Other Current Assets,- -,300000,1000000,2100000,- -,3200000,2900000,1900000,2900000,- -,3700000,9028000,6000000,5700000,- -,6400000,6400000,13080000,11200000,16800000,- -,18100000,20233000,13644000,16452000,15111000,- -,15725000
37,Total Current Assets,- -,5400000,9000000,11300000,- -,16600000,15000000,14200000,18900000,- -,38200000,41830000,60600000,46000000,- -,52700000,51900000,106059000,132500000,229000000,- -,190900000,277861000,340159000,392335000,329279000,- -,425286000
38,PP&E,- -,4600000,11600000,15000000,- -,22800000,21500000,19500000,18400000,- -,20200000,23302000,30300000,52100000,- -,56800000,57200000,60754000,61800000,59200000,- -,71200000,101267000,102847000,92025000,126496000,- -,100445000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4300000,- -,5700000,5700000,- -,5700000,5700000,17740000,17900000,18200000,- -,17900000,16715000,17417000,16815000,16636000,- -,17367000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5690000,- -,- -,- -,- -,- -,42637000,42100000,42300000,- -,41000000,34349000,35154000,31811000,29840000,- -,30796000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4300000,5690000,5700000,5700000,- -,5700000,5700000,60377000,60000000,60500000,- -,58900000,51064000,52571000,48626000,46476000,- -,48163000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,100000,400000,- -,600000,- -,1000000,800000,- -,800000,- -,- -,- -,- -,- -,- -,11033000,10000000,10900000,- -,10600000,18292000,13730000,13367000,10282000,- -,4640000
44,Other Non-Current Assets,- -,200000,400000,-300000,- -,-600000,300000,700000,1000000,- -,1600000,2886000,3400000,5300000,- -,7400000,8600000,6273000,3100000,8900000,- -,19000000,22158000,9962000,8110000,4401000,- -,62353000
45,Total Non-Current Assets,- -,4800000,12100000,15100000,- -,22800000,21800000,21200000,20200000,- -,26900000,31878000,39400000,63100000,- -,69900000,71500000,138437000,134900000,139500000,- -,159700000,192781000,179110000,162128000,187655000,- -,215601000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,10200000,21100000,26400000,- -,39400000,36800000,35400000,39100000,- -,65100000,73708000,100000000,109100000,- -,122600000,123400000,244496000,267400000,368500000,- -,350600000,470642000,519269000,554463000,516934000,- -,640887000
48,Accounts Payable,- -,1200000,4700000,3200000,- -,4200000,4100000,2600000,2700000,- -,5200000,4955000,10200000,8100000,- -,6900000,5800000,7952000,7000000,9500000,- -,7800000,9040000,11787000,9947000,12525000,- -,18195000
49,Short-Term Debt,- -,- -,1500000,- -,- -,- -,2800000,4100000,6358000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8323000,- -,8616000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3967000,8403000,5983000,11363000,- -,13753000,17450000,23682000,20768000,16534000,- -,20267000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,750000,1557000,- -,1921000,- -,2195000,2049000,- -,2857000,2116000,10065000,15601000,16058000,- -,15717000,21464000,16999000,2646000,2730000,- -,15952000
52,Other Current Liabilities,- -,2400000,2400000,3500000,- -,4500000,9400000,6350000,7085000,- -,12779000,21601000,27405000,35751000,- -,44743000,32584000,41679000,48199000,70342000,- -,85183000,107987000,112397000,136093000,112520000,- -,125310000
53,Total Current Liabilities,- -,3600000,8600000,6700000,- -,8700000,16300000,13800000,17700000,- -,19900000,26556000,39800000,45900000,- -,54500000,40500000,59696000,70800000,95900000,- -,108700000,138491000,141183000,148686000,136098000,- -,168073000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,7500000,6000000,2600000,- -,- -,- -,- -,28000000,- -,35000000,7000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9948000,10001000,10866000,- -,10601000,5499000,13730000,13367000,10282000,- -,12009000
57,Other Non-Current Liabilities,- -,- -,100000,400000,- -,600000,100000,1000000,700000,- -,900000,1414000,- -,2300000,- -,1200000,1600000,942000,999000,1134000,- -,1099000,1365000,1146000,1264000,18842000,- -,19155000
58,Total Non-Current Liabilities,- -,- -,100000,400000,- -,600000,7600000,7000000,3300000,- -,900000,1414000,- -,30300000,- -,36200000,8600000,10890000,11000000,12000000,- -,11700000,6864000,14876000,14631000,29124000,- -,31164000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8323000,- -,8616000
61,Total Liabilities,- -,3600000,8700000,7100000,- -,9300000,23900000,20800000,21000000,- -,20800000,27970000,39800000,76200000,- -,90700000,49100000,70586000,81800000,107900000,- -,120400000,145355000,156059000,163317000,165222000,- -,199237000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,6800000,7200000,- -,9100000,- -,- -,- -,- -,- -,18000,- -,- -,- -,- -,- -,15000,- -,- -,- -,- -,24000,24000,24000,22000,- -,21000
64,Retained Earnings,- -,600000,5600000,12200000,- -,21700000,10100000,12800000,14500000,- -,28900000,35720000,44300000,26300000,- -,24100000,56400000,118799000,134800000,200000000,- -,166400000,265405000,288070000,329501000,306146000,- -,382794000
65,Other Comprehensive Income/Loss,- -,-900000,-1200000,-200000,- -,-400000,-9200000,-1200000,-111000,- -,1230000,839000,355000,989000,- -,-375000,1523000,5839000,6936000,5794000,- -,2132000,-11647000,-1426000,-10387000,-13901000,- -,-3625000
66,Other Total Stockholders Equity,- -,6900000,1200000,100000,- -,- -,12000000,2900000,3800000,- -,13100000,9161000,15100000,5600000,- -,5700000,13000000,49257000,43800000,54500000,- -,67800000,71505000,76542000,72008000,59445000,- -,62460000
67,Total Stockholders Equity,- -,6600000,12400000,19300000,- -,30100000,12900000,14500000,18093000,- -,44371000,45738000,60197000,38638000,- -,31836000,74373000,173910000,185572000,260522000,- -,230164000,325287000,363210000,391146000,351712000,- -,441650000
68,Total Liabilities And Stockholders Equity,- -,10200000,21100000,26400000,- -,39400000,36800000,35300000,39093000,- -,65171000,73708000,99997000,114838000,- -,122536000,123473000,244496000,267372000,368422000,- -,350564000,470642000,519269000,554463000,516934000,- -,640887000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,100000,7000,- -,-71000,- -,3000,-5738000,- -,64000,-73000,- -,28000,78000,- -,36000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,10200000,21100000,26400000,- -,39400000,36800000,35400000,39100000,- -,65100000,73708000,100000000,109100000,- -,122600000,123400000,244496000,267400000,368500000,- -,350600000,470642000,519269000,554463000,516934000,- -,640887000
71,SEC Link,undefined,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/896264/000110465902000881/j3085_10k.htm,https://www.sec.gov/Archives/edgar/data/896264/000110465903005124/j8827_10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/896264/000110465904007222/a04-3363_110k.htm,https://www.sec.gov/Archives/edgar/data/896264/000110465906014297/a06-2013_110k.htm,https://www.sec.gov/Archives/edgar/data/896264/000110465907017321/a07-5557_110k.htm,https://www.sec.gov/Archives/edgar/data/896264/000104746908002668/a2183527z10-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/896264/000104746909002300/0001047469-09-002300-index.html,https://www.sec.gov/Archives/edgar/data/896264/000104746910002352/0001047469-10-002352-index.html,https://www.sec.gov/Archives/edgar/data/896264/000104746912002617/0001047469-12-002617-index.html,https://www.sec.gov/Archives/edgar/data/896264/000104746913002524/0001047469-13-002524-index.html,https://www.sec.gov/Archives/edgar/data/896264/000104746914002329/a2218950z10-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/896264/000104746915002349/a2223703z10-k.htm,https://www.sec.gov/Archives/edgar/data/896264/000104746917001138/0001047469-17-001138-index.html,https://www.sec.gov/Archives/edgar/data/896264/000104746918001146/0001047469-18-001146-index.html,https://www.sec.gov/Archives/edgar/data/896264/000104746919000707/0001047469-19-000707-index.html,https://www.sec.gov/Archives/edgar/data/896264/000156276220000071/0001562762-20-000071-index.html,undefined,https://www.sec.gov/Archives/edgar/data/896264/000143774921004694/0001437749-21-004694-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,2300000,5000000,6600000,- -,9500000,2867000,2200000,8500000,- -,20800000,38994000,40400000,45000000,- -,29900000,33600000,50752000,66400000,79000000,- -,76600000,100041000,62535000,126224000,100526000,- -,124664000
74,Depreciation and Amortization,- -,300000,800000,2200000,- -,3400000,4186000,4116000,4137000,- -,3877000,5904000,5562000,5333000,- -,6697000,7069000,8474000,8826000,9044000,- -,8810000,13482000,16110000,16843000,23007000,- -,22509000
75,Deferred Income Tax,- -,-100000,-100000,-200000,- -,-200000,600000,962000,-1063000,- -,-170000,-631000,-1304000,-1565000,- -,-2435000,-2296000,-1599000,4111000,814000,- -,-1039000,-3700000,19306000,699000,-3635000,- -,-2423000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8925000,10549000,10210000,7624000,- -,9805000,16542000,15482000,14955000,15541000,- -,14394000
77,Change in Working Capital,- -,1500000,-1400000,4200000,- -,3300000,1700000,800000,17100000,- -,-300000,5526000,-20700000,-1900000,- -,13200000,11300000,15337000,71400000,-50900000,- -,30652000,59606000,44673000,-50468000,64032000,- -,-52886000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-1200000,-4300000,-300000,- -,-5000000,-1956000,185000,-724000,- -,-4612000,-6420000,-2224000,2681000,- -,-7216000,-1123000,-3209000,1370000,-11783000,- -,1102000,-1034000,6054000,-23101000,12990000,- -,-16784000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1138000,1502000,-985000,2790000,- -,-1337000,-1341000,3043000,-1720000,1835000,- -,6076000
81,Other Working Capital,- -,1800000,400000,4600000,- -,7900000,400000,1200000,18300000,- -,18000000,20800000,100000,-1800000,- -,11400000,22700000,61700000,133100000,82200000,- -,112852000,198976000,243649000,193181000,257213000,- -,204327000
82,Other Non-Cash Items,- -,-100000,-100000,-5700000,- -,-5400000,-5285000,1873000,-12731000,- -,11271000,-1775000,36562000,10351000,- -,-1406000,-26129000,-13405000,-68142000,53311000,- -,-19643000,-48941000,-34323000,43866000,-72738000,- -,54143000
83,Cash Provided by Operating Activities,- -,3900000,4200000,7100000,- -,10600000,4068000,9951000,15943000,- -,35478000,48018000,60520000,57219000,- -,45956000,32469000,70108000,92805000,98893000,- -,105185000,137030000,123783000,152119000,126733000,- -,160401000
84,CAPEX,- -,-4100000,-7800000,-5300000,- -,-11300000,-5265000,-6602000,-2966000,- -,-4564000,-4311000,-11038000,-26264000,- -,-16061000,-4128000,-10643000,-8432000,-8051000,- -,-20421000,-32698000,-13220000,-11433000,-16569000,- -,-15094000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5341000,-1406000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8643000,- -,-3871000,- -,- -,-86396000,-1660000,- -,-21089000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12511000,- -,- -,23596000,65475000,- -,1935000
88,Other Investing Activites,- -,300000,- -,1100000,- -,-400000,2779000,53000,45000,- -,48000,19000,-642000,254000,- -,855000,931000,34000,154000,-4895000,- -,-4485000,815000,318000,5230000,248000,- -,287000
89,Cash Used for Investing Activites,- -,-3800000,-7800000,-4200000,- -,-11700000,-2486000,-6549000,-2921000,- -,-9857000,-5698000,-11680000,-26010000,- -,-15206000,-3197000,-10609000,-8278000,-21589000,- -,-16266000,-31883000,-12902000,-69003000,47494000,- -,-33961000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85010000,- -,-1846000,- -,- -,-30000000,-73700000,-3500000,- -,-5000000,- -,-60000000
91,Common Stock Issued,- -,2500000,200000,200000,- -,1100000,68000,- -,1129000,- -,3504000,2961000,3547000,3148000,- -,746000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-2989000,-33000,-7853000,- -,-8237000,-49199000,-40958000,-79580000,- -,-39873000,-1654000,-33459000,-68294000,-18085000,- -,-138819000,-64610000,-50000000,-105375000,-150000000,- -,-57029000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-300000,1500000,-1500000,- -,- -,2863000,-3071000,-3188000,- -,-9004000,- -,4963000,30532000,- -,9362000,57162000,87000,5598000,7920000,- -,55804000,73450000,3184000,98000,2948000,- -,57587000
95,Cash Used/Provided by Financing Activities,- -,2200000,1700000,-1300000,- -,1100000,-58000,-3104000,-9912000,- -,-13737000,-46238000,-32448000,-45900000,- -,-29765000,-29502000,-33372000,-64542000,-10165000,- -,-113015000,-64860000,-50316000,-105277000,-152052000,- -,-59442000
96,Effect of Forex Changes on Cash,- -,- -,- -,-100000,- -,- -,-35000,-733000,1111000,- -,395000,-570000,58000,527000,- -,-569000,607000,4000,501000,-635000,- -,-2121000,-7723000,10792000,-11140000,-1721000,- -,11251000
97,Net Change In Cash,- -,2200000,1700000,-1300000,- -,1100000,1489000,-435000,4221000,- -,12279000,-4488000,16450000,-14164000,- -,416000,377000,26131000,20486000,66504000,- -,-26217000,32564000,71357000,-33301000,20454000,- -,78249000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,2900000,2465000,6686000,- -,18965000,10579000,27029000,12865000,- -,13281000,13658000,50353000,70839000,137343000,- -,111126000,175774000,247131000,217234000,237688000,- -,315937000
99,Cash at the Beginning of Period,- -,600000,3000000,1100000,- -,2600000,1411000,2900000,2465000,- -,6686000,15067000,10579000,27029000,- -,12865000,13281000,24222000,50353000,70839000,- -,137343000,143210000,175774000,250535000,217234000,- -,237688000
100,Free Cash Flow,- -,-200000,-3600000,1800000,- -,-700000,-1197000,3349000,12977000,- -,30914000,43707000,49482000,30955000,- -,29895000,28341000,59465000,84373000,90842000,- -,84764000,104332000,110563000,140686000,110164000,- -,145307000
101,SEC Link,undefined,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/896264/000110465902000881/j3085_10k.htm,https://www.sec.gov/Archives/edgar/data/896264/000110465903005124/j8827_10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/896264/000110465904007222/a04-3363_110k.htm,https://www.sec.gov/Archives/edgar/data/896264/000110465906014297/a06-2013_110k.htm,https://www.sec.gov/Archives/edgar/data/896264/000110465907017321/a07-5557_110k.htm,https://www.sec.gov/Archives/edgar/data/896264/000104746908002668/a2183527z10-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/896264/000104746909002300/0001047469-09-002300-index.html,https://www.sec.gov/Archives/edgar/data/896264/000104746910002352/0001047469-10-002352-index.html,https://www.sec.gov/Archives/edgar/data/896264/000104746912002617/0001047469-12-002617-index.html,https://www.sec.gov/Archives/edgar/data/896264/000104746913002524/0001047469-13-002524-index.html,https://www.sec.gov/Archives/edgar/data/896264/000104746914002329/a2218950z10-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/896264/000104746915002349/a2223703z10-k.htm,https://www.sec.gov/Archives/edgar/data/896264/000104746917001138/0001047469-17-001138-index.html,https://www.sec.gov/Archives/edgar/data/896264/000104746918001146/0001047469-18-001146-index.html,https://www.sec.gov/Archives/edgar/data/896264/000104746919000707/0001047469-19-000707-index.html,https://www.sec.gov/Archives/edgar/data/896264/000156276220000071/0001562762-20-000071-index.html,undefined,https://www.sec.gov/Archives/edgar/data/896264/000143774921004694/0001437749-21-004694-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
