,https://roic.ai/company/AYI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,40503000,52024000,47782000,67214000,52229000,106562000,148054000,148255000,84909000,79600000,105500000,116300000,127400000,175800000,222100000,290800000,321700000,349600000,330400000,248300000,306300000
24,Net Income ratio,0.0204,0.0264,0.0233,0.0319,0.0240,0.0445,0.0585,0.0732,0.0512,0.0489,0.0588,0.0601,0.0610,0.0734,0.0821,0.0884,0.0918,0.0950,0.0900,0.0746,0.0885
25,EPS,0.99,1.26,1.15,1.60,1.21,2.43,3.48,3.65,2.08,1.84,2.46,2.75,2.97,4.07,5.13,6.67,7.46,8.54,8.32,6.29,8.44
26,EPS Diluted,0.99,1.26,1.15,1.56,1.17,2.34,3.37,3.56,2.04,1.80,2.42,2.72,2.95,4.05,5.09,6.63,7.43,8.52,8.29,6.27,8.38
27,Weighted Average Shares Outstanding,41068000,41286000,41459000,41906000,43135000,43884000,42585000,40655000,40781000,42500000,42200000,41400000,42200000,42800000,43100000,43500000,43100000,40900000,39700000,39500000,36300000
28,Weighted Average Shares Outstanding Diluted,41068000,41286000,41721000,43201000,44752000,45579000,43897000,41609000,41557000,43300000,42800000,41900000,42500000,43000000,43400000,43800000,43300000,41000000,39800000,39600000,36600000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1144215/000095014402011541/0000950144-02-011541-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312503070865/0001193125-03-070865-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312504181807/0001193125-04-181807-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312505213128/0001193125-05-213128-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312506222118/0001193125-06-222118-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312507229796/0001193125-07-229796-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312508216953/0001193125-08-216953-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312509217720/0001193125-09-217720-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000095012310098145/0000950123-10-098145-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421511000084/0001144215-11-000084-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421512000139/0001144215-12-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421513000113/0001144215-13-000113-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421514000108/0001144215-14-000108-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421515000120/0001144215-15-000120-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421516000287/0001144215-16-000287-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421517000106/0001144215-17-000106-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421518000110/0001144215-18-000110-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421519000114/0001144215-19-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421520000125/0001144215-20-000125-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421521000097/0001144215-21-000097-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8006000,2694000,16053000,14135000,98533000,88648000,222816000,297096000,18683000,191000000,170200000,284500000,359100000,552500000,756800000,413200000,311100000,129100000,461000000,560700000,491300000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,8006000,2694000,16053000,14135000,98533000,88648000,222816000,297096000,18683000,191000000,170200000,284500000,359100000,552500000,756800000,413200000,311100000,129100000,461000000,560700000,491300000
34,Net Receivables,296900000,322735000,302276000,331157000,345770000,379622000,388646000,268971000,227371000,255100000,262600000,263800000,318300000,373400000,411700000,572800000,573300000,637900000,561000000,500300000,571800000
35,Inventory,210783000,216942000,188799000,222260000,215590000,209319000,192070000,145725000,140797000,149000000,165900000,194100000,203000000,212000000,224800000,295200000,328600000,411800000,340800000,320100000,398700000
36,Other Current Assets,43427000,48626000,51424000,66034000,57881000,60056000,64453000,44355000,36049000,31200000,31800000,36600000,33100000,48800000,43200000,41700000,32600000,32300000,79000000,58600000,82500000
37,Total Current Assets,559116000,590997000,558552000,633586000,717774000,737645000,867985000,756147000,422900000,626300000,630500000,779000000,913500000,1186700000,1436500000,1322900000,1245600000,1211100000,1441800000,1439700000,1544300000
38,PP&E,248423000,240679000,222558000,226299000,219194000,211269000,213738000,161506000,145829000,138400000,143200000,139200000,147900000,152500000,174600000,267800000,287700000,286700000,277300000,333900000,327100000
39,Goodwill,331363000,- -,- -,- -,- -,346188000,384809000,342306000,510563000,515600000,559200000,554900000,568200000,569400000,565000000,947800000,900900000,970600000,967300000,1080000000,1094700000
40,Intangible Assets,137581000,477248000,475519000,470253000,468309000,120287000,121479000,129319000,184826000,199500000,234200000,234600000,247800000,233900000,225000000,382200000,448800000,498700000,466000000,605900000,573200000
41,Intangible Assets,468944000,477248000,475519000,470253000,468309000,466475000,506288000,471625000,695389000,715100000,793400000,789500000,816000000,803300000,790000000,1330000000,1349700000,1469300000,1433300000,1685900000,1667900000
42,Investments,- -,- -,- -,- -,- -,- -,- -,5078000,- -,- -,- -,700000,- -,- -,8000000,8000000,- -,- -,- -,6000000,5300000
43,Tax Assets,- -,- -,- -,- -,4249000,5752000,2165000,2226000,2626000,3700000,2000000,4100000,1700000,3000000,3000000,5100000,3400000,2900000,2300000,2700000,1900000
44,Other Non-Current Assets,54092000,49030000,31590000,34391000,32689000,22975000,22332000,12109000,23859000,20100000,28300000,24400000,24700000,22600000,17500000,14200000,13200000,18800000,17700000,23500000,28600000
45,Total Non-Current Assets,771459000,766957000,729667000,730943000,724441000,706471000,744523000,652544000,867703000,877300000,966900000,957900000,990300000,981400000,993100000,1625100000,1654000000,1777700000,1730600000,2052000000,2030800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1330575000,1357954000,1288219000,1364529000,1442215000,1444116000,1612508000,1408691000,1290603000,1503600000,1597400000,1736900000,1903800000,2168100000,2429600000,2948000000,2899600000,2988800000,3172400000,3491700000,3575100000
48,Accounts Payable,108380000,161713000,165656000,206064000,221844000,243593000,247176000,205776000,162299000,195000000,203800000,232700000,249500000,287400000,311100000,401000000,395100000,451100000,338800000,326500000,391500000
49,Short-Term Debt,235123000,132491000,54339000,5511000,567000,643000,296000,159983000,209535000,- -,- -,- -,- -,- -,- -,200000,400000,400000,9100000,41500000,15900000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11700000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7700000
52,Other Current Liabilities,98564000,136603000,139456000,150660000,177061000,183558000,222924000,156807000,104255000,126300000,127600000,132100000,136700000,183100000,209800000,271300000,205400000,231200000,248200000,249600000,277100000
53,Total Current Liabilities,442067000,430807000,359451000,362235000,399472000,427794000,470396000,522566000,476089000,321300000,331400000,364800000,386200000,470500000,520900000,672500000,600900000,682700000,596100000,617600000,692200000
54,Long-Term Debt,373707000,410630000,391469000,390210000,371736000,371252000,371027000,203953000,22047000,353300000,353400000,353500000,353600000,353600000,352400000,355000000,356500000,356400000,347500000,433600000,541000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5300000,4900000,- -,- -,- -,- -,- -,- -,- -,56700000
56,Deferred Tax Liabilities,31759000,23480000,15190000,24844000,4707000,12974000,12491000,23983000,12962000,10200000,36400000,33400000,53900000,58400000,54300000,74600000,108200000,92500000,92700000,94900000,101000000
57,Other Non-Current Liabilities,99744000,91085000,113815000,109263000,124507000,89837000,86628000,82643000,107365000,124400000,119200000,145900000,111700000,122100000,142000000,186100000,168400000,140400000,217200000,218100000,139700000
58,Total Non-Current Liabilities,505210000,525195000,520474000,524317000,500950000,474063000,470146000,310579000,142374000,487900000,509000000,538100000,524100000,534100000,548700000,615700000,633100000,589300000,657400000,746600000,838400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74000000,62600000
61,Total Liabilities,947277000,956002000,879925000,886552000,900422000,901857000,940542000,833145000,618463000,809200000,840400000,902900000,910300000,1004600000,1069600000,1288200000,1234000000,1272000000,1253500000,1364200000,1530600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,414000,417000,426000,450000,481000,493000,497000,499000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000
64,Retained Earnings,- -,21884000,44755000,86560000,112447000,192155000,313850000,366904000,404169000,459000000,541000000,635300000,740300000,893600000,1093000000,1360900000,1659900000,1999200000,2295800000,2523300000,2810300000
65,Other Comprehensive Income/Loss,-255525000,-275561000,-44499000,-34816000,-47138000,-16492000,-9513000,-22819000,-57423000,-71300000,-53800000,-84700000,-62600000,-71900000,-110400000,-139400000,-99700000,-114800000,-151400000,-132700000,-98200000
66,Other Total Stockholders Equity,638823000,655215000,407621000,425807000,476034000,366115000,367136000,230964000,324895000,306200000,269300000,282900000,315300000,341300000,376900000,437800000,104900000,-168100000,-226000000,-263600000,-668100000
67,Total Stockholders Equity,383298000,401952000,408294000,477977000,541793000,542259000,671966000,575546000,672140000,694400000,757000000,834000000,993500000,1163500000,1360000000,1659800000,1665600000,1716800000,1918900000,2127500000,2044500000
68,Total Liabilities And Stockholders Equity,1330575000,1357954000,1288219000,1364529000,1442215000,1444116000,1612508000,1408691000,1290603000,1503600000,1597400000,1736900000,1903800000,2168100000,2429600000,2948000000,2899600000,2988800000,3172400000,3491700000,3575100000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1330575000,1357954000,1288219000,1364529000,1442215000,1444116000,1612508000,1408691000,1290603000,1503600000,1597400000,1736900000,1903800000,2168100000,2429600000,2948000000,2899600000,2988800000,3172400000,3491700000,3575100000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1144215/000095014402011541/0000950144-02-011541-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312503070865/0001193125-03-070865-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312504181807/0001193125-04-181807-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312505213128/0001193125-05-213128-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312506222118/0001193125-06-222118-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312507229796/0001193125-07-229796-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312508216953/0001193125-08-216953-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312509217720/0001193125-09-217720-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000095012310098145/0000950123-10-098145-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421511000084/0001144215-11-000084-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421512000139/0001144215-12-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421513000113/0001144215-13-000113-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421514000108/0001144215-14-000108-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421515000120/0001144215-15-000120-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421516000287/0001144215-16-000287-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421517000106/0001144215-17-000106-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421518000110/0001144215-18-000110-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421519000114/0001144215-19-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421520000125/0001144215-20-000125-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421521000097/0001144215-21-000097-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,40503000,52024000,47782000,67214000,52229000,106562000,148054000,148255000,84909000,79600000,105500000,116300000,127400000,175800000,222100000,290800000,321700000,349600000,330400000,248300000,306300000
74,Depreciation and Amortization,62911000,49494000,46039000,42960000,41075000,39012000,38405000,33840000,35736000,36500000,40100000,39800000,40800000,43400000,45800000,62600000,74600000,80300000,88300000,101100000,100100000
75,Deferred Income Tax,-4433000,- -,6108000,2684000,-2239000,1473000,3400000,2573000,-388000,7400000,10300000,6200000,6500000,-200000,2800000,-8200000,-7700000,-38200000,9300000,-6700000,-2700000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,- -,10300000,16500000,17700000,18200000,27700000,32000000,32300000,29200000,38200000,32500000
77,Change in Working Capital,59636000,43141000,38911000,72250000,46951000,-8451000,87738000,-164008000,-286770000,358189000,-5900000,115100000,113100000,188900000,199400000,-265200000,-5700000,-116300000,317300000,-23600000,-33400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,26573000,43165000,-29200000,2900000,-2300000,-54800000,-55400000,-46100000,-94600000,2700000,-62800000,97700000,74500000,-68700000
79,Inventory,23189000,4471000,28043000,-34114000,6670000,6169000,18627000,811000,10284000,-8600000,-5300000,-28600000,-6500000,-9000000,-15100000,-24000000,-32400000,-74400000,70800000,38000000,-35500000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-4626000,- -,- -,5500000,29600000,15200000,37600000,23100000,65300000,-4600000,52500000,-111500000,-19600000,65500000
81,Other Working Capital,117049000,160190000,199101000,271351000,318302000,309851000,397589000,233581000,-53189000,305000000,299100000,414200000,527300000,716200000,915600000,650400000,644700000,528400000,845700000,822100000,23500000
82,Other Non-Cash Items,25036000,2182000,21505000,-71854000,-929000,17287000,-36436000,205393000,258955000,-330189000,11100000,-115500000,-172000000,-192500000,-199400000,238000000,-98700000,45500000,-279800000,147500000,5900000
83,Cash Provided by Operating Activities,183653000,146841000,160345000,113254000,137087000,155883000,241161000,226053000,92442000,160500000,161100000,172200000,132300000,233100000,288900000,345700000,316200000,353200000,494700000,504800000,408700000
84,CAPEX,-47611000,-33482000,-28246000,-53821000,-32636000,-28560000,-36869000,-27166000,-21248000,-21900000,-23300000,-31400000,-40600000,-35300000,-56500000,-83700000,-67300000,-43600000,-53000000,-54900000,-43800000
85,Acquisitions Net,1632000,-24765000,- -,- -,- -,151000,-43359000,-3500000,-162081000,-22600000,-90400000,-3800000,-25500000,- -,-14600000,-623200000,- -,-162100000,-2900000,-303000000,-75300000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13200000,- -,- -,- -,- -
88,Other Investing Activites,1837000,8358000,1907000,4238000,3238000,4751000,1745000,-212000,183000,200000,1200000,100000,7600000,1000000,-1300000,2200000,5300000,- -,2900000,-1900000,1200000
89,Cash Used for Investing Activites,-44142000,-49889000,-26339000,-49583000,-29398000,-23658000,-78483000,-30878000,-183146000,-44300000,-112500000,-35100000,-58500000,-34300000,-72400000,-704700000,-48800000,-205700000,-53000000,-359800000,-117900000
90,Debt Repayment,-22801000,- -,- -,- -,- -,- -,- -,-8000,-162395000,-237900000,- -,- -,- -,- -,- -,- -,- -,-395400000,-86500000,-355700000,-401100000
91,Common Stock Issued,- -,830000,1794000,9664000,27108000,61474000,26497000,509000,265000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-194858000,-44963000,-155650000,- -,-36100000,-61000000,-9200000,- -,- -,- -,- -,-357900000,-298400000,-81600000,-69300000,-434900000
93,Dividends Paid,- -,-18606000,-24911000,-25409000,-26342000,-26854000,-26359000,-22466000,-21634000,-22600000,-22600000,-22000000,-22400000,-22500000,-22700000,-22900000,-22700000,-21400000,-20800000,-20800000,-19100000
94,Other Financing Activites,-109336000,-84341000,-97313000,-50153000,-23486000,16809000,14712000,65107000,3154000,355800000,11800000,12500000,23500000,16200000,18800000,42300000,9200000,388500000,80700000,395500000,492500000
95,Cash Used/Provided by Financing Activities,-132137000,-102117000,-120430000,-65898000,-22720000,-143429000,-30113000,-112508000,-180610000,59200000,-71800000,-18700000,1100000,-6300000,-3900000,19400000,-371400000,-326700000,-108200000,-50300000,-362600000
96,Effect of Forex Changes on Cash,173000,-147000,-217000,309000,-571000,1319000,1603000,755000,-7099000,-3100000,2400000,-4100000,-300000,900000,-8300000,-4000000,1900000,-2800000,-1600000,5000000,2400000
97,Net Change In Cash,7547000,-5312000,13359000,-1918000,84398000,-9885000,134168000,83422000,-278413000,172300000,-20800000,114300000,74600000,193400000,204300000,-343600000,-102100000,-182000000,331900000,99700000,-69400000
98,Cash at the End of Period,8006000,2694000,16053000,14135000,98533000,88648000,222816000,297096000,18683000,191000000,170200000,284500000,359100000,552500000,756800000,413200000,311100000,129100000,461000000,560700000,491300000
99,Cash at the Beginning of Period,459000,8006000,2694000,16053000,14135000,98533000,88648000,213674000,297096000,18700000,191000000,170200000,284500000,359100000,552500000,756800000,413200000,311100000,129100000,461000000,560700000
100,Free Cash Flow,136042000,113359000,132099000,59433000,104451000,127323000,204292000,198887000,71194000,138600000,137800000,140800000,91700000,197800000,232400000,262000000,248900000,309600000,441700000,449900000,364900000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1144215/000095014402011541/0000950144-02-011541-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312503070865/0001193125-03-070865-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312504181807/0001193125-04-181807-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312505213128/0001193125-05-213128-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312506222118/0001193125-06-222118-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312507229796/0001193125-07-229796-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312508216953/0001193125-08-216953-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000119312509217720/0001193125-09-217720-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000095012310098145/0000950123-10-098145-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421511000084/0001144215-11-000084-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421512000139/0001144215-12-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421513000113/0001144215-13-000113-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421514000108/0001144215-14-000108-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421515000120/0001144215-15-000120-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421516000287/0001144215-16-000287-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421517000106/0001144215-17-000106-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421518000110/0001144215-18-000110-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421519000114/0001144215-19-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421520000125/0001144215-20-000125-index.htm,https://www.sec.gov/Archives/edgar/data/1144215/000114421521000097/0001144215-21-000097-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
