,https://roic.ai/company/MHK,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,279400000,326100000,684900000,1339000000,1600600000,1675400000,1754300000,2405100000,2788500000,2938731000,3118788000,4003224000,4463024000,5244782000,5992827000,7066782000,6835912000,6407085000,5300294000,5004903000,5326716000,5408472000,6801823000,7030650000,7233997000,7679144000,8137117000,8888308000,9143448000,8916195000,9865602000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127050000,127031000,133151000,101617000,74713000,92246000,98207000,71086000,40547000,31111000,38827000,41272000,52379000,57252000
14,Depreciation and Amortization,6400000,7400000,23100000,49500000,52600000,55200000,59300000,67900000,105300000,82346000,84167000,101942000,106615000,123088000,149329000,274952000,306437000,295054000,303004000,296773000,297734000,280293000,308871000,345570000,362647000,409467000,446672000,521765000,576452000,607507000,591711000
15,EBITDA,17000000,25400000,62400000,107700000,63000000,138000000,171700000,250300000,365200000,349975000,375583000,545571000,595049000,700477000,706350000,951263000,910554000,-856062000,347842000,618108000,594922000,658863000,828288000,1107379000,1180716000,1687812000,1792540000,1606642000,1366909000,1244128000,1938567000
16,EBITDA ratio,0.0566,0.0721,0.0850,0.0749,0.0382,0.0769,0.0903,0.0948,0.1184,0.1075,0.1090,0.1206,0.1189,0.1191,0.1067,0.1203,0.1200,-0.1254,0.0651,0.1162,0.1054,0.1138,0.1127,0.1419,0.1463,0.1884,0.1889,0.1609,0.1371,0.1302,0.1731
17,Operating Income,20700000,26400000,49100000,98400000,48000000,119700000,147100000,234100000,294800000,317115000,327157000,519112000,542029000,635590000,627272000,839060000,750106000,-1124134000,43730000,314169000,315542000,379508000,546931000,772796000,837566000,1279943000,1354173000,1095326000,827224000,636002000,1335011000
18,Operating Income ratio,0.0690,0.0749,0.0669,0.0685,0.0291,0.0667,0.0774,0.0887,0.0956,0.0974,0.0949,0.1148,0.1083,0.1081,0.0948,0.1061,0.0989,-0.1647,0.0082,0.0591,0.0559,0.0656,0.0744,0.0990,0.1038,0.1429,0.1427,0.1097,0.0830,0.0666,0.1192
19,Total Other Income Expenses (Gains),-10100000,-4800000,-9800000,-40200000,-37600000,-36900000,-34700000,-51700000,-34900000,-49486000,-35741000,-75483000,-53595000,-58201000,-70251000,-162749000,-145989000,-154032000,-121443000,-121521000,-115668000,-75016000,-101360000,-108905000,-88705000,-38818000,-36316000,-46125000,-77679000,-51628000,-45018000
20,Income Before Tax,10600000,21600000,39300000,58200000,10400000,82800000,112400000,182400000,259900000,267629000,291416000,443629000,488434000,577389000,557021000,676311000,604117000,-1278166000,-77713000,192648000,199874000,304492000,445571000,663891000,748861000,1241125000,1317857000,1049201000,749545000,584374000,1289993000
21,Income Before Tax Ratio,0.0353,0.0613,0.0535,0.0405,0.0063,0.0461,0.0591,0.0691,0.0843,0.0822,0.0846,0.0981,0.0976,0.0982,0.0841,0.0855,0.0796,-0.1872,-0.0145,0.0362,0.0354,0.0526,0.0606,0.0851,0.0928,0.1385,0.1388,0.1051,0.0752,0.0612,0.1152
22,Income Tax expense (Gain),4200000,8500000,16600000,25200000,4000000,33700000,44400000,74800000,102700000,105030000,102824000,159140000,178285000,208767000,198826000,220478000,-102697000,180062000,-76694000,2713000,21649000,53599000,78385000,131637000,131875000,307559000,343165000,184346000,4974000,68647000,256445000
23,Net Income,6400000,9500000,22700000,33000000,6400000,49100000,68000000,107600000,157200000,162599000,188592000,284489000,310149000,368622000,358195000,455833000,706814000,-1458228000,-5499000,185471000,173922000,250258000,348786000,531965000,615108000,930239000,971592000,861704000,744211000,515595000,1033159000
24,Net Income ratio,0.0213,0.0270,0.0309,0.0230,0.0039,0.0274,0.0358,0.0408,0.0510,0.0499,0.0547,0.0629,0.0620,0.0627,0.0541,0.0577,0.0932,-0.2136,-0.0010,0.0349,0.0308,0.0432,0.0475,0.0682,0.0762,0.1038,0.1024,0.0863,0.0746,0.0540,0.0922
25,EPS,0.34,0.42,0.84,0.68,0.13,0.95,1.31,1.88,2.63,3.02,3.60,4.46,4.68,5.53,5.35,6.74,10.37,-21.32,-0.08,2.66,2.53,3.63,4.86,7.30,8.37,12.55,13.07,11.53,10.34,7.24,15.08
26,EPS Diluted,0.34,0.42,0.80,0.66,0.13,0.95,1.30,1.86,2.61,3.00,3.55,4.39,4.62,5.46,5.30,6.70,10.32,-21.32,-0.08,2.65,2.52,3.61,4.82,7.25,8.31,12.48,12.98,11.47,10.30,7.22,15.01
27,Weighted Average Shares Outstanding,17352941,22380952,27023810,48529412,49230769,51849000,51912000,57243000,59730000,53769000,52418000,63723000,66251000,66682000,66932000,67674000,68172000,68401000,68452000,68578000,68736000,68988000,71773000,72837000,73516000,74104000,74357000,74413000,71986000,71214000,68541000
28,Weighted Average Shares Outstanding Diluted,17352941,22380952,28375000,50000000,49230769,52142857,52403000,57984000,60349000,54255000,53141000,64861000,67121000,67557000,67644000,68056000,68492000,68401000,68452000,68784000,68964000,69306000,72301000,73363000,74043000,74568000,74839000,74773000,72264000,71401000,68864000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/851968/000119312509042512/0001193125-09-042512-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000095012310018309/0000950123-10-018309-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000095012311020223/0000950123-11-020223-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000119312512087058/0001193125-12-087058-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000085196813000027/0000851968-13-000027-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000085196814000021/0000851968-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000085196815000022/0000851968-15-000022-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000085196816000120/0000851968-16-000120-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000085196817000020/0000851968-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000085196818000038/0000851968-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000085196819000020/0000851968-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000085196820000020/0000851968-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000085196821000019/0000851968-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000085196822000026/0000851968-22-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134585000,63492000,89604000,93519000,531458000,354217000,311945000,477672000,54066000,97877000,81692000,121665000,84884000,119050000,134785000,768625000,268895000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,571741000,323000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134585000,63492000,89604000,93519000,531458000,354217000,311945000,477672000,54066000,97877000,81692000,121665000,84884000,119050000,134785000,1340366000,591895000
34,Net Receivables,- -,- -,- -,- -,- -,215100000,238600000,321100000,337800000,356072000,404875000,501129000,573500000,660650000,848666000,851428000,821113000,696284000,673931000,614473000,686165000,679473000,1062875000,1081963000,1257505000,1376151000,1558159000,1606159000,1526619000,1709493000,1839985000
35,Inventory,- -,- -,- -,- -,- -,302700000,291300000,412200000,494800000,574595000,531405000,678008000,832415000,1017983000,1166913000,1225874000,1276568000,1168272000,892981000,1007503000,1113630000,1133736000,1572325000,1543313000,1607256000,1675751000,1948663000,2287615000,2282328000,1913020000,2391672000
36,Other Current Assets,- -,- -,- -,- -,- -,38400000,43400000,73600000,101800000,93447000,94942000,119442000,127303000,104692000,190323000,238117000,262435000,288174000,260630000,272420000,286424000,259165000,396452000,409117000,303519000,297945000,481261000,496472000,485725000,400775000,414805000
37,Total Current Assets,- -,- -,- -,- -,- -,556200000,573300000,806900000,934400000,1024114000,1031222000,1298579000,1533218000,1783325000,2340487000,2378911000,2449720000,2246249000,2359000000,2248613000,2398164000,2550046000,3085718000,3132270000,3249972000,3471512000,4072967000,4509296000,4429457000,5363654000,5238357000
38,PP&E,- -,- -,- -,- -,- -,324700000,319800000,422900000,624800000,650053000,619703000,855324000,919085000,905332000,1810728000,1888088000,1975721000,1925742000,1791412000,1687124000,1712154000,1692852000,2701743000,2703210000,3147118000,3370348000,4270790000,4699902000,5021920000,4914367000,5026832000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1277453000,- -,- -,- -,2699639000,2797339000,1399434000,1411128000,1369394000,1375175000,1385771000,1736092000,1604352000,2293365000,2274426000,2471459000,2520966000,2570027000,2650831000,2607909000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109167000,146700000,1694039000,1699995000,3796060000,1180094000,1171869000,847850000,785342000,677127000,605100000,553799000,811602000,702009000,936541000,834606000,891767000,961810000,928879000,951607000,899980000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109167000,1424153000,1694039000,1699995000,3796060000,3879733000,3969208000,2247284000,2196470000,2046521000,1980275000,1939570000,2547694000,2306361000,3229906000,3109032000,3363226000,3482776000,3498906000,3602438000,3507889000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,285401000,26900000,44564000,116668000,115635000,121216000,159022000,143703000,315368000,279704000,387870000,407149000,436397000,447292000,451439000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,74900000,67900000,101600000,123700000,118474000,8393000,18687000,17233000,14466000,44248000,31662000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,399600000,387700000,524500000,748500000,768527000,737263000,2298164000,2630357000,2619793000,5651036000,5799483000,6230330000,4199926000,4032446000,3850313000,3808064000,3753638000,5408459000,5153274000,6692392000,6759084000,8021886000,8589827000,8957223000,8964097000,8986160000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,955800000,961000000,1331400000,1682900000,1792641000,1768485000,3596743000,4163575000,4403118000,7991523000,8178394000,8680050000,6446175000,6391446000,6098926000,6206228000,6303684000,8494177000,8285544000,9942364000,10230596000,12094853000,13099123000,13386680000,14327751000,14224517000
48,Accounts Payable,- -,- -,- -,- -,- -,202700000,227200000,353500000,340400000,372531000,423495000,589283000,637940000,623061000,998105000,371538000,399141000,315053000,335401000,353387000,372616000,387871000,631732000,622360000,696974000,729415000,810034000,811879000,824956000,1016897000,1228621000
49,Short-Term Debt,- -,- -,- -,- -,- -,41800000,36000000,34200000,34000000,224391000,158366000,27427000,248795000,191341000,113809000,576134000,260439000,94785000,52907000,350588000,386255000,80693000,145230000,867388000,2017026000,1395007000,1212562000,1756997000,1061422000,475297000,728937000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,648091000,551920000,467078000,495714000,344939000,342475000,360085000,543849000,466066000,545028000,593898000,632759000,697363000,826205000,879054000,988797000
53,Total Current Liabilities,- -,- -,- -,- -,- -,244600000,263100000,387700000,374400000,596922000,581861000,616710000,886735000,814402000,1111914000,1595763000,1211500000,876916000,884022000,1048914000,1101346000,828649000,1320811000,1955814000,3259028000,2718320000,2655355000,3266239000,2712583000,2371248000,2946355000
54,Long-Term Debt,- -,- -,- -,- -,- -,345700000,257200000,321800000,562100000,365437000,150067000,793000000,763618000,700000000,3194561000,2207547000,2021395000,1860001000,1801572000,1302994000,1200184000,1327729000,2132790000,1402135000,1196928000,1128747000,1559895000,1515601000,1518388000,2591613000,1997672000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,27500000,28400000,29800000,53800000,75808000,84955000,186996000,183669000,191761000,625887000,628311000,614619000,419985000,370903000,346503000,355653000,329810000,445823000,401674000,388130000,361416000,328103000,413740000,473886000,493668000,495521000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,4800000,6400000,5400000,100000,114000,3051000,17158000,31752000,30618000,32041000,31510000,125179000,135470000,100667000,93518000,99537000,97879000,124447000,103108000,237415000,238626000,484491000,463484000,555375000,330064000,356753000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,378000000,292000000,357000000,616000000,441359000,238073000,997154000,979039000,922379000,3852489000,2867368000,2761193000,2415456000,2273142000,1743015000,1655374000,1755418000,2703060000,1906917000,1822473000,1728789000,2372489000,2392825000,2547649000,3415345000,2849946000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,330100000,332768000,401824000
61,Total Liabilities,- -,- -,- -,- -,- -,622600000,555100000,744700000,990400000,1038281000,819934000,1613864000,1865774000,1736781000,4964403000,4463131000,3972693000,3292372000,3157164000,2791929000,2756720000,2584067000,4023871000,3862731000,5081501000,4447109000,5027844000,5659064000,5260232000,5786593000,5796301000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,600000,608000,614000,763000,770000,775000,785000,788000,794000,795000,795000,797000,798000,802000,808000,811000,813000,815000,818000,797000,790000,776000,729000
64,Retained Earnings,- -,- -,- -,- -,- -,201300000,269300000,417300000,595900000,758531000,947123000,1231612000,1541761000,1910383000,2268578000,2755529000,3462343000,2004115000,1998616000,2180843000,2354765000,2605023000,2953809000,3487079000,4102707000,5032914000,6004506000,6588197000,7232337000,7559191000,7692064000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-205300000,-260900000,-402300000,-514800000,-588147000,-658016000,-729787000,2313000,-2441000,-47433000,130372000,363981000,255000000,297000000,178000000,136000000,160000000,179000000,-429000000,-794000000,-833000000,-559000000,-792000000,-766000000,-695145000,-966952000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,337200000,397500000,571700000,610800000,583368000,658830000,1480291000,- -,- -,- -,- -,- -,893893000,904412000,911916000,924222000,953792000,1327440000,1359116000,1544653000,1575722000,1612838000,1636820000,1652714000,1669494000,1695584000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,333200000,405900000,586700000,692500000,754360000,948551000,1982879000,2297801000,2666337000,3027120000,3715263000,4707357000,3153803000,3200823000,3271556000,3415785000,3719617000,4461057000,4418006000,4854173000,5776451000,7059162000,7433814000,8119841000,8534316000,8421425000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,955800000,961000000,1331400000,1682900000,1792641000,1768485000,3596743000,4163575000,4403118000,7991523000,8178394000,8680050000,6446175000,6357987000,6063485000,6172505000,6303684000,8484928000,8280737000,9935674000,10223560000,12087006000,13092878000,13380073000,14320909000,14217726000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33459000,35441000,33723000,- -,9249000,4807000,6690000,7036000,7847000,6245000,6607000,6842000,6791000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,955800000,961000000,1331400000,1682900000,1792641000,1768485000,3596743000,4163575000,4403118000,7991523000,8178394000,8680050000,6446175000,6391446000,6098926000,6206228000,6303684000,8494177000,8285544000,9942364000,10230596000,12094853000,13099123000,13386680000,14327751000,14224517000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/851968/000119312509042512/0001193125-09-042512-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000095012310018309/0000950123-10-018309-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000095012311020223/0000950123-11-020223-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000119312512087058/0001193125-12-087058-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000085196813000027/0000851968-13-000027-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000085196814000021/0000851968-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000085196815000022/0000851968-15-000022-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000085196816000120/0000851968-16-000120-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000085196817000020/0000851968-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000085196818000038/0000851968-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000085196819000020/0000851968-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000085196820000020/0000851968-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000085196821000019/0000851968-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/851968/000085196822000026/0000851968-22-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6400000,9500000,22700000,33000000,6400000,49100000,68000000,107600000,157200000,162599000,188592000,284489000,310149000,368622000,358195000,455833000,706814000,-1458228000,-5499000,185471000,173922000,250258000,348786000,531965000,615108000,930239000,971592000,861704000,744211000,515595000,1033159000
74,Depreciation and Amortization,6400000,7400000,23100000,49500000,52600000,55200000,59300000,67900000,105300000,82346000,84167000,101942000,106615000,123088000,149329000,274952000,306437000,295054000,303004000,296773000,297734000,280293000,308871000,345570000,362647000,409467000,446672000,521765000,576452000,607507000,591711000
75,Deferred Income Tax,300000,-900000,500000,5300000,-10300000,500000,-6900000,-13700000,-1300000,32179000,5563000,33712000,34775000,38700000,-6866000,-68956000,-289902000,69842000,-20579000,-21279000,-4616000,9037000,-62525000,-24026000,-28883000,-34009000,-75591000,88456000,-107842000,22324000,-4929000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11991000,9653000,6888000,10159000,14082000,18311000,27961000,32552000,35059000,36322000,31382000,23620000,19697000,25651000
77,Change in Working Capital,7900000,- -,- -,311600000,-1400000,1400000,-1400000,109000000,140800000,-132808000,22169000,232508000,-35386000,322440000,259650000,-445425000,455072000,131113000,105645000,-275279000,97119000,424579000,43510000,-588451000,-1185512000,762248000,664420000,-174555000,473817000,1275532000,-353107000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10888000,-96313000,-107705000,-14383000,-158888000,-60566000,13856000,- -,- -,-207047000
79,Inventory,2400000,6100000,-3900000,-21900000,-4200000,-3500000,23400000,-30300000,-32400000,-70209000,43190000,-15215000,-104964000,-179765000,11542000,4823000,20976000,103293000,276169000,-118903000,-100205000,-17079000,-20211000,-67016000,6400000,-81923000,-153245000,-255391000,7212000,357516000,-519229000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,311600000,310200000,311600000,310200000,419200000,560000000,427192000,449361000,681869000,646483000,968923000,1228573000,783148000,1238220000,1369333000,1474978000,1199699000,1296818000,1721397000,1764907000,1176456000,-9056000,753192000,1417612000,1243057000,1716874000,2992406000,- -
82,Other Non-Cash Items,800000,2100000,-17200000,-376300000,66000000,-40900000,42500000,-109900000,-230600000,72503000,30756000,-103141000,-106763000,-610013000,-198764000,565641000,-303344000,1520262000,279981000,127138000,-273325000,-390659000,-131790000,369169000,1115961000,-775451000,-849820000,-147408000,-291497000,-670816000,16634000
83,Cash Provided by Operating Activities,21800000,18100000,29100000,23100000,113300000,65300000,161500000,160900000,171400000,216819000,331247000,549510000,309390000,242837000,561544000,782045000,875077000,570034000,672205000,319712000,300993000,587590000,525163000,662188000,911873000,1327553000,1193595000,1181344000,1418761000,1769839000,1309119000
84,CAPEX,-4700000,-7700000,-33100000,-78000000,-36100000,-42100000,-31700000,-115100000,-145600000,-73475000,-52913000,-111934000,-114631000,-106601000,-247306000,-165769000,-163076000,-217824000,-108925000,-156180000,-275573000,-208294000,-366550000,-561804000,-503657000,-672125000,-905998000,-794110000,-545462000,-425557000,-676120000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36844000,- -,-717638000,-384121000,-14998000,-2613529000,-70907000,-147097000,-8276000,-5924000,-79917000,-24097000,-7007000,-443466000,-3848000,-1370567000,- -,-250799000,-568960000,-81082000,- -,-123969000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83904000,-664133000,-581500000,-1187891000,-1211239000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,695000000,592000000,658650000,1454574000
88,Other Investing Activites,200000,-64100000,-158700000,-14000000,-35800000,3300000,-35100000,- -,-162500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4615000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-4500000,-71800000,-191800000,-92000000,-71900000,-38800000,-66800000,-115100000,-308100000,-110319000,-52913000,-829572000,-498752000,-121599000,-2860835000,-236676000,-310173000,-226100000,-114849000,-231482000,-299670000,-215301000,-810016000,-565652000,-1874224000,-672125000,-1240701000,-1332203000,-616044000,-954798000,-556754000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1603561000,-459666000,-254172000,-1801561000,-2050954000,-3987915000,-9390992000,-17320379000,-21563269000,-16557465000,-17639157000,-15993418000,-6355828000,-1502614000
91,Common Stock Issued,- -,42000000,46000000,- -,- -,9200000,4700000,2000000,8200000,3311000,9103000,50185000,18290000,14957000,57509000,12669000,30875000,1915000,884000,2445000,3787000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-700000,-3700000,- -,- -,- -,- -,- -,- -,-84000000,-104096000,-8159000,-64034000,-27839000,-18413000,-14521000,-5180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13902000,-284069000,-108857000,-192164000,-900334000
93,Dividends Paid,-600000,-100000,- -,-4700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4402000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-15900000,12500000,116700000,71000000,-41400000,-35700000,-99500000,-48000000,210100000,-5715000,-279278000,293911000,198911000,-117782000,2397679000,-628331000,-570893000,1258776000,337340000,-3472000,1764650000,1834123000,3881142000,9365442000,18284462000,20939369000,16564372000,18121255000,15312398000,6359807000,1170723000
