,https://roic.ai/company/AXL,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1062231/000095012401001318/0000950124-01-001318-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000095012402001090/0000950124-02-001090-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000095012403000803/0000950124-03-000803-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000095012404000941/0000950124-04-000941-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223105000008/0001062231-05-000008-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223106000014/ar-2005.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223107000009/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223108000012/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223109000009/0001062231-09-000009-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223110000006/0001062231-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223111000019/axl201010k.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223112000017/0001062231-12-000017-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223113000011/0001062231-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223114000011/axl201310k.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223115000023/axl201410k.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223116000091/0001062231-16-000091-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223117000014/0001062231-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223118000013/0001062231-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223119000013/0001062231-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223120000009/0001062231-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223121000013/0001062231-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223122000008/0001062231-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4500000,140200000,35200000,12300000,9400000,12400000,14400000,3700000,13500000,343600000,198800000,178100000,244600000,169200000,62400000,154000000,249200000,282500000,481200000,376800000,476400000,532000000,557000000,530000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77100000,4200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4500000,140200000,35200000,12300000,9400000,12400000,14400000,3700000,13500000,343600000,275900000,182300000,244600000,169200000,62400000,154000000,249200000,282500000,481200000,376800000,476400000,532000000,557000000,530000000
34,Net Receivables,123800000,194000000,247300000,270700000,335700000,339200000,334900000,328000000,327600000,264000000,246900000,129700000,146600000,333300000,463400000,458500000,532700000,539100000,560000000,1035900000,966500000,815400000,793200000,762000000
35,Inventory,137100000,133300000,160400000,158000000,174600000,171800000,196800000,207200000,198400000,229000000,111400000,90600000,130300000,177200000,224300000,261800000,248800000,230500000,219500000,392000000,459700000,373600000,323200000,410000000
36,Other Current Assets,28600000,42000000,57700000,37000000,46400000,40300000,46500000,62500000,99900000,98000000,61100000,114000000,80600000,83400000,122000000,123500000,108800000,72100000,75800000,140300000,127200000,136800000,203600000,154000000
37,Total Current Assets,294000000,509500000,500600000,478000000,566100000,563700000,592600000,601400000,639400000,934600000,695300000,516600000,602100000,763100000,872100000,997800000,1139500000,1124200000,1336500000,1945000000,2029800000,1857800000,1877000000,1856000000
38,PP&E,829300000,929000000,1200100000,1448700000,1553500000,1629500000,1713000000,1836000000,1731700000,1696200000,1064200000,946700000,936300000,971200000,1009700000,1058500000,1061100000,1046200000,1093700000,2402900000,2514400000,2358400000,2280400000,2119000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,147800000,147800000,147800000,147800000,155800000,155900000,156400000,156400000,155000000,154400000,154000000,1654300000,1141800000,699100000,185700000,183000000
40,Intangible Assets,- -,188100000,185700000,214800000,150200000,147800000,147800000,147800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1212500000,1111100000,864500000,780700000,697000000
41,Intangible Assets,- -,188100000,185700000,214800000,150200000,147800000,147800000,147800000,147800000,147800000,147800000,147800000,155800000,155900000,156400000,156400000,155000000,154400000,154000000,2866800000,2252900000,1563600000,966400000,880000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,10900000,6900000,6800000,3000000,- -,78700000,20700000,27700000,38600000,20100000,366100000,341800000,368800000,373600000,356400000,37100000,45500000,64100000,107800000,121000000
44,Other Non-Current Assets,102900000,50500000,16100000,19400000,55000000,49900000,78600000,78400000,78600000,57400000,319700000,348000000,381900000,418400000,461700000,474500000,534800000,504300000,507500000,631000000,668100000,800700000,684700000,659000000
45,Total Non-Current Assets,932200000,1167600000,1401900000,1682900000,1769600000,1834100000,1946200000,2065200000,1958100000,1980100000,1552400000,1470200000,1512600000,1565600000,1993900000,2031200000,2119700000,2078500000,2111600000,5937800000,5480900000,4786800000,4039300000,3779000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1226200000,1677100000,1902500000,2160900000,2335700000,2397800000,2538800000,2666600000,2597500000,2914700000,2247700000,1986800000,2114700000,2328700000,2866000000,3029000000,3259200000,3202700000,3448100000,7882800000,7510700000,6644600000,5916300000,5635000000
48,Accounts Payable,232800000,269100000,341300000,304000000,327500000,335700000,398600000,381100000,328900000,313800000,250900000,200900000,283600000,337100000,396100000,445800000,444300000,412700000,382300000,799000000,840200000,623500000,578900000,612000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,3300000,3300000,5900000,121600000,28700000,36300000,72000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66700000,76100000,79900000,32900000,17200000,17000000,22100000,22900000,24600000,34100000,44300000,18900000,23400000,28000000
52,Other Current Liabilities,130100000,177600000,169000000,173000000,207700000,218500000,187000000,168100000,212400000,197800000,200100000,168500000,205600000,206100000,187500000,204300000,207800000,260300000,241300000,377400000,350700000,355300000,340700000,327000000
53,Total Current Liabilities,362900000,446700000,510300000,477000000,535200000,554200000,585600000,549200000,541300000,511600000,517700000,445500000,569100000,576100000,600800000,667100000,687200000,699200000,651500000,1216400000,1356800000,1026400000,979300000,1039000000
54,Long-Term Debt,693400000,774900000,817100000,878200000,734100000,449700000,448000000,489200000,672200000,858100000,1139900000,1071400000,1010000000,1180200000,1448500000,1553800000,1523400000,1375700000,1400900000,3969300000,3686800000,3612300000,3441300000,3283000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189700000,116000000,88200000,82200000,76400000,94200000,65700000,70800000,78800000,77600000,83700000,91000000,94000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,52000000,73000000,114500000,116100000,6800000,6600000,4800000,5600000,6600000,7700000,9500000,9800000,9100000,6800000,15000000,101700000,92600000,19600000,13200000,13000000
57,Other Non-Current Liabilities,129400000,191800000,203100000,271000000,310800000,366200000,435200000,517300000,563500000,647700000,1021000000,834500000,881100000,896100000,845800000,688300000,831900000,753800000,779900000,976600000,810600000,922200000,1018300000,748000000
58,Total Non-Current Liabilities,822800000,966700000,1020200000,1149200000,1096900000,888900000,997700000,1122600000,1242500000,1512400000,2165700000,2101200000,2013700000,2172200000,2386000000,2328300000,2458600000,2202000000,2266600000,5126400000,4667600000,4637800000,4563800000,4138000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5600000,5300000,- -,- -,- -,- -,- -,- -,117000000,- -
61,Total Liabilities,1185700000,1413400000,1530500000,1626200000,1632100000,1443100000,1583300000,1671800000,1783800000,2024000000,2683400000,2546700000,2582800000,2748300000,2986800000,2995400000,3145800000,2901200000,2918100000,6342800000,6024400000,5664200000,5543100000,5177000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,500000,500000,500000,500000,500000,500000,500000,600000,600000,600000,800000,800000,800000,800000,800000,800000,800000,900000,1200000,1200000,1200000,1200000,- -
64,Retained Earnings,-51500000,64100000,193300000,30820000,484300000,681400000,817900000,843500000,590000000,583200000,-648600000,-901700000,-786300000,-643500000,-275800000,-181300000,-31400000,204200000,449700000,761000000,703500000,248600000,-319800000,-313000000
65,Other Comprehensive Income/Loss,-217900000,-280600000,-363700000,- -,-59500000,-62700000,-48800000,-63100000,13200000,64400000,-40500000,-64400000,-106000000,-203800000,-264600000,-216200000,-296900000,-356500000,-389600000,-292700000,-311600000,-376800000,-432200000,- -
66,Other Total Stockholders Equity,309900000,479700000,541900000,503380000,278300000,335500000,185900000,213900000,209900000,242500000,252800000,405100000,412000000,421000000,418800000,430300000,440900000,453000000,469000000,1066500000,1090800000,1104600000,1121300000,770000000
67,Total Stockholders Equity,40500000,263700000,372000000,534700000,703600000,954700000,955500000,994800000,813700000,890700000,-435700000,-560200000,-479500000,-425500000,-120800000,33600000,113400000,301500000,530000000,1536000000,1483900000,977600000,370500000,457000000
68,Total Liabilities And Stockholders Equity,1226200000,1677100000,1902500000,2160900000,2335700000,2397800000,2538800000,2666600000,2597500000,2914700000,2247700000,1986500000,2103300000,2322800000,2866000000,3029000000,3259200000,3202700000,3448100000,7878800000,7508300000,6641800000,5913600000,5634000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,11400000,5900000,- -,- -,- -,- -,- -,4000000,2400000,2800000,2700000,1000000
70,Total Liabilities & Equity,1226200000,1677100000,1902500000,2160900000,2335700000,2397800000,2538800000,2666600000,2597500000,2914700000,2247700000,1986800000,2114700000,2328700000,2866000000,3029000000,3259200000,3202700000,3448100000,7882800000,7510700000,6644600000,5916300000,5635000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1062231/000095012401001318/0000950124-01-001318-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000095012402001090/0000950124-02-001090-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000095012403000803/0000950124-03-000803-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000095012404000941/0000950124-04-000941-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223105000008/0001062231-05-000008-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223106000014/ar-2005.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223107000009/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223108000012/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223109000009/0001062231-09-000009-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223110000006/0001062231-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223111000019/axl201010k.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223112000017/0001062231-12-000017-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223113000011/0001062231-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223114000011/axl201310k.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223115000023/axl201410k.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223116000091/0001062231-16-000091-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223117000014/0001062231-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223118000013/0001062231-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223119000013/0001062231-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223120000009/0001062231-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223121000013/0001062231-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223122000008/0001062231-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3500000,115600000,129200000,114900000,176100000,197100000,159500000,56000000,-222500000,37000000,-1224300000,-253100000,115400000,142800000,367700000,94500000,143000000,235600000,240700000,337100000,-57500000,-484500000,-561300000,5000000
74,Depreciation and Amortization,71700000,89500000,107900000,126600000,145800000,163100000,171100000,185100000,206000000,229400000,199500000,134700000,131600000,139400000,152200000,177000000,199900000,198400000,201800000,428500000,528800000,536900000,521900000,544000000
75,Deferred Income Tax,2600000,9800000,30500000,40200000,58700000,20400000,46300000,-1100000,-184000000,-47400000,82500000,-18900000,-8000000,17200000,-343800000,-18700000,-9200000,26400000,33200000,-154200000,-35000000,-94600000,-34100000,-27000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13600000,9400000,4500000,2400000,10800000,9700000,15900000,21000000,43400000,27900000,22400000,19400000,18000000
77,Change in Working Capital,-16800000,131700000,-72500000,10700000,29900000,-21400000,-2500000,45200000,45900000,324900000,-245400000,-106500000,-38100000,154000000,84300000,59400000,121600000,-27300000,260000000,43600000,-55600000,158400000,66300000,-80700000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118900000,-14800000,-189900000,-130600000,-300000,-78300000,-17900000,-19300000,-44900000,56100000,63900000,28900000,23000000
79,Inventory,-27000000,12700000,-28800000,1200000,-15900000,4100000,-23700000,-10600000,1100000,-28400000,52600000,19600000,-38900000,-50200000,-49900000,-42500000,10900000,11200000,12200000,2500000,-83100000,56100000,53700000,-87000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000000
81,Other Working Capital,-68900000,62800000,-9700000,1000000,30900000,9500000,7000000,52200000,98100000,423000000,177600000,71100000,33000000,187000000,271300000,330700000,452300000,425000000,685000000,728600000,673000000,831400000,897700000,817000000
82,Other Non-Cash Items,20400000,-36300000,57100000,-59600000,-26300000,137700000,78800000,-4800000,340300000,-176000000,1024600000,246100000,30000000,-514200000,-438300000,-100000000,-146600000,-71400000,-349100000,-51400000,362900000,421000000,442500000,78700000
83,Cash Provided by Operating Activities,81400000,310300000,252200000,232800000,384200000,496900000,453200000,280400000,185700000,367900000,-163100000,15900000,240300000,-56300000,-175500000,223000000,318400000,377600000,407600000,647000000,771500000,559600000,454700000,538000000
84,CAPEX,-251500000,-541100000,-381000000,-375500000,-252900000,-232100000,-240200000,-305700000,-286600000,-186500000,-140200000,-141500000,-116100000,-176500000,-207600000,-251900000,-206500000,-193500000,-227600000,-491000000,-525200000,-434200000,-215700000,-181000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10700000,-10200000,-2200000,-16500000,- -,- -,- -,- -,-5600000,-889600000,42100000,122600000,-4400000,-4000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71600000,6400000,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,187000000,- -,- -,- -,- -,- -,- -,-37000000,- -,-80800000,5500000,4900000,8900000,22200000,33200000,11200000,5400000,4500000,2500000,4900000,5000000,1700000,24000000
89,Cash Used for Investing Activites,-251500000,-354100000,-381000000,-375500000,-252900000,-232100000,-240200000,-305700000,-323600000,-186500000,-231700000,-74600000,-107000000,-184100000,-185400000,-218700000,-195300000,-188100000,-227700000,-1378100000,-478200000,-306600000,-218400000,-161000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-962800000,-68100000,-53400000,-299100000,-652000000,-27000000,-157000000,-7000000,-2154400000,-681200000,-545500000,-960500000,-1017000000
91,Common Stock Issued,300000,107800000,1100000,57700000,12400000,25100000,13600000,4600000,1300000,13500000,700000,109700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-21300000,- -,- -,- -,-171000000,- -,-100000,-2000000,-100000,-900000,-1300000,-100000,-5900000,-400000,-300000,-3100000,-5200000,-7000000,-3700000,-7500000,-2700000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-23000000,-30400000,-31000000,-31800000,-18300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,157100000,71700000,44300000,62500000,-145600000,-287700000,-30900000,40600000,177100000,168600000,272200000,886100000,3000000,220700000,558500000,741200000,5900000,16500000,30600000,2777000000,500400000,353000000,748700000,616000000
95,Cash Used/Provided by Financing Activities,157400000,179500000,24100000,120200000,-133200000,-262600000,-211300000,14800000,147300000,148300000,254500000,32100000,-66400000,167200000,253500000,88800000,-21400000,-143600000,18400000,615600000,-184500000,-200000000,-214500000,-401000000
96,Effect of Forex Changes on Cash,- -,- -,-300000,-400000,-1000000,800000,300000,-200000,400000,400000,-4500000,5900000,-400000,-2200000,600000,-1500000,-6500000,-12600000,400000,11100000,-6700000,100000,3200000,-2000000
97,Net Change In Cash,157400000,135700000,-105000000,-22900000,-2900000,3000000,2000000,-10700000,9800000,330100000,-144800000,-20700000,66500000,-75400000,-106800000,91600000,95200000,33300000,198700000,-104400000,102100000,53100000,25000000,-27000000
98,Cash at the End of Period,- -,140200000,35200000,12300000,9400000,12400000,14400000,3700000,13500000,343600000,198800000,178100000,244600000,169200000,62400000,154000000,249200000,282500000,481200000,376800000,478900000,532000000,557000000,530000000
99,Cash at the Beginning of Period,17300000,4500000,140200000,35200000,12300000,9400000,12400000,14400000,3700000,13500000,343600000,198800000,178100000,244600000,169200000,62400000,154000000,249200000,282500000,481200000,376800000,478900000,532000000,557000000
100,Free Cash Flow,-170100000,-230800000,-128800000,-142700000,131300000,264800000,213000000,-25300000,-100900000,181400000,-303300000,-125600000,124200000,-232800000,-383100000,-28900000,111900000,184100000,180000000,156000000,246300000,125400000,239000000,357000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1062231/000095012401001318/0000950124-01-001318-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000095012402001090/0000950124-02-001090-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000095012403000803/0000950124-03-000803-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000095012404000941/0000950124-04-000941-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223105000008/0001062231-05-000008-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223106000014/ar-2005.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223107000009/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223108000012/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223109000009/0001062231-09-000009-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223110000006/0001062231-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223111000019/axl201010k.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223112000017/0001062231-12-000017-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223113000011/0001062231-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223114000011/axl201310k.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223115000023/axl201410k.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223116000091/0001062231-16-000091-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223117000014/0001062231-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223118000013/0001062231-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223119000013/0001062231-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223120000009/0001062231-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1062231/000106223121000013/0001062231-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1062231/000106223122000008/0001062231-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
