,https://roic.ai/company/SCU,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,2139652000,16076195000,24305342000,36075049000,3510320000,2002981000,2206424000,2093924000,2044103000,3535065000,6869274000,9302886000,10691456000,1485555000,1639433000,1447391000,1397239000,1583177000,1627855000
48,Accounts Payable,- -,- -,- -,- -,- -,5385000,143780000,937452000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,334972000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,33054000,- -,- -,- -,- -,- -,- -,143710000,61397000,60798000,61880000,62800000
52,Other Current Liabilities,- -,- -,- -,- -,- -,32419000,38423000,28707000,924950000,976069000,1134072000,1005377000,824684000,769326000,544229000,419518000,418370000,118163000,246261000
53,Total Current Liabilities,- -,- -,- -,- -,- -,37804000,182203000,999213000,924950000,976069000,1134072000,1005377000,824684000,769326000,687939000,480915000,479168000,515015000,309061000
54,Long-Term Debt,- -,- -,- -,- -,3186042000,764889000,652414000,639487000,383685000,388043000,3148154000,5675298000,7526561000,577128000,569379000,289987000,286728000,334972000,231227000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,78992000,- -,- -,- -,96079000,143710000,61397000,60798000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,1419451000,1182126000,27587000,103103000,243377000,372024000,930134000,1099643000,337114000,334334000,624547000,355084000,298310000,474684000
58,Total Non-Current Liabilities,- -,- -,- -,- -,3186042000,2184340000,1834540000,667074000,486788000,710412000,3520178000,6605432000,8626204000,1010321000,1047423000,975931000,702610000,633282000,705911000
59,Other Liabilities,1777474000,15580681000,23566647000,34827385000,6869117000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,799000,- -,- -,- -,- -,- -,- -,128043000,115237000,104753000
61,Total Liabilities,1777474000,15580681000,23566647000,34827385000,3683075000,2222144000,2016743000,1666287000,1411738000,1686481000,4654250000,7610809000,9450888000,1779647000,1735362000,1456846000,1181778000,1148297000,1014972000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,505000,557000,593000
64,Retained Earnings,- -,- -,- -,- -,-948499000,-1567305000,-1879761000,-2250530000,-2776374000,-3150644000,-3092045000,-3295640000,-3456485000,-3563452000,-3555905000,-3564727000,-343759000,-178674000,-253521000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-19633000,-25192000,-32043000,-40272000,-45139000,-52416000,-56736000,-60899000,-49890000,-58671000,-67558000,-73730000,1000000,51000
66,Other Total Stockholders Equity,362178000,495514000,738695000,1247664000,775744000,1156831000,1530641000,1931018000,2459510000,2945248000,3010740000,3061617000,3101554000,3147321000,3160745000,3203399000,191666000,166649000,- -
67,Total Stockholders Equity,362178000,495514000,738695000,1247664000,-172755000,-430107000,-374312000,-351555000,-357136000,-250535000,-133721000,-290759000,-415830000,-466021000,-453831000,-428886000,-225318000,-10468000,-68186000
68,Total Liabilities And Stockholders Equity,2139652000,16076195000,24305342000,36075049000,3510320000,1792037000,1642431000,1314732000,1054602000,1435946000,4520529000,7320050000,9035058000,1313626000,1281531000,1027960000,956460000,1137829000,946786000
69,Minority Interest,- -,- -,- -,- -,- -,210944000,563993000,779192000,989501000,2099119000,2348745000,1982836000,1656398000,171929000,357902000,419431000,440779000,445348000,681069000
70,Total Liabilities & Equity,2139652000,16076195000,24305342000,36075049000,3510320000,2002981000,2206424000,2093924000,2044103000,3535065000,6869274000,9302886000,10691456000,1485555000,1639433000,1447391000,1397239000,1583177000,1627855000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1403256/000119312509052250/0001193125-09-052250-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000119312510047954/0001193125-10-047954-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000119312511049958/0001193125-11-049958-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000119312512081620/0001193125-12-081620-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000119312513084163/0001193125-13-084163-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000156459014000870/0001564590-14-000870-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000140325615000034/0001403256-15-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000140325616000197/0001403256-16-000197-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000140325617000040/0001403256-17-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000140325618000053/0001403256-18-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000140325619000074/0001403256-19-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000140325620000066/0001403256-20-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000140325621000045/0001403256-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000140325622000047/0001403256-22-000047-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,260891000,588007000,-915026000,-510596000,-297429000,-294413000,-418990000,-315826000,261767000,142445000,25740000,-124680000,21075000,-24284000,7054000,177634000,-8605000
74,Depreciation and Amortization,- -,- -,12451000,21240000,111124000,6642000,8541000,9082000,9676000,9362000,8251000,6990000,11331000,19882000,10334000,10308000,8449000,7124000,- -
75,Deferred Income Tax,- -,- -,4637000,14100000,-7881000,22601000,27520000,26620000,46195000,64427000,78961000,111061000,115760000,2236000,312764000,8599000,26935000,69456000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,86006000,133832000,114727000,112639000,75217000,84169000,87130000,127505000,80420000,- -
77,Change in Working Capital,- -,- -,82909000,- -,- -,1642723000,-14867000,-1044574000,-316926000,-465706000,236877000,-248047000,-234689000,290427000,360986000,-248009000,57333000,229372000,173523000
78,Accounts Receivable,- -,- -,- -,- -,-5195241000,- -,- -,- -,- -,-519124000,-350638000,502262000,346481000,-74077000,-177819000,300450000,-132552000,-324074000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,407278000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,1642723000,1627856000,583282000,266356000,-199350000,37527000,-210520000,-445209000,-154782000,206204000,-41805000,15528000,244900000,418423000
82,Other Non-Cash Items,- -,- -,-3228171000,-4825941000,-1317951000,-427526000,532677000,1846958000,1048487000,280560000,339231000,823207000,411498000,-544544000,-1073006000,354452000,-15305000,-555323000,-164918000
83,Cash Provided by Operating Activities,- -,- -,-2867283000,-4202594000,-2129734000,733844000,256442000,543673000,368442000,-341177000,1058919000,950383000,442279000,-281462000,-283678000,188196000,211971000,8683000,- -
84,CAPEX,- -,- -,-2280000,-13513000,-5751000,-11753000,-1123000,-349000,-2363000,-2248000,- -,-26259000,-43801000,-8808000,-4990000,-5830000,-1935000,-2639000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-24772000,-9252000,-4981000,-3101000,- -,- -,-52496000,-2826000,-100829000,-277919000,-473113000,-511416000,-372544000,45878000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,6346000,3730000,6589000,2332000,- -,- -,15970000,18857000,93196000,106959000,310196000,498531000,390554000,- -
88,Other Investing Activites,- -,- -,- -,- -,-28359000,11870000,-2021000,350000,- -,-550000,-4041000,-40493000,- -,-17000,57599000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-2280000,-13513000,-34110000,-18309000,-8666000,1609000,-3132000,-2798000,-4041000,-103278000,-27770000,-16458000,-118351000,-168747000,-14820000,15371000,- -
90,Debt Repayment,- -,- -,-878000,-878000,-879000,-2094000,-90451000,-10901000,-251802000,-380986000,-3866000,-384768000,-3089000,-3667000,-389950000,-595463000,-192790000,-245036000,-249731000
91,Common Stock Issued,- -,- -,- -,- -,4436768000,- -,- -,- -,238750000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-2218384000,- -,- -,- -,- -,- -,-13707000,-10393000,-22783000,- -,- -,- -,- -,-156952000,- -
93,Dividends Paid,- -,- -,-17710000,-79038000,- -,-765699000,-137210000,-74039000,-104100000,-56670000,-213909000,-293135000,-153452000,- -,-12972000,-24842000,-19578000,-11613000,-84201000
94,Other Financing Activites,- -,- -,2929901000,4250063000,536908000,-480498000,-27786000,-416497000,-216724000,795105000,-795907000,-98180000,-231718000,377330000,944651000,455227000,-63228000,330891000,274090000
95,Cash Used/Provided by Financing Activities,- -,- -,2911313000,4170147000,2754413000,-1248291000,-255447000,-501437000,-333876000,357449000,-1027389000,-786476000,-411042000,373663000,541729000,-165078000,-275596000,-82710000,-59842000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194000,-869000
97,Net Change In Cash,- -,- -,41750000,-45960000,590569000,-532756000,-7671000,43845000,31434000,13474000,27489000,60629000,3467000,75743000,139700000,-145629000,-78445000,-58462000,225694000
98,Cash at the End of Period,- -,- -,69550000,23590000,614159000,81403000,73732000,117577000,149011000,162485000,189974000,250603000,254070000,329813000,469513000,323884000,245439000,186977000,412671000
99,Cash at the Beginning of Period,- -,- -,27800000,69550000,23590000,614159000,81403000,73732000,117577000,149011000,162485000,189974000,250603000,254070000,329813000,469513000,323884000,245439000,186977000
100,Free Cash Flow,- -,- -,-2869563000,-4216107000,-2135485000,722091000,255319000,543324000,366079000,-343425000,1058919000,924124000,398478000,-290270000,-288668000,182366000,210036000,6044000,- -
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1403256/000119312509052250/0001193125-09-052250-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000119312510047954/0001193125-10-047954-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000119312511049958/0001193125-11-049958-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000119312512081620/0001193125-12-081620-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000119312513084163/0001193125-13-084163-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000156459014000870/0001564590-14-000870-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000140325615000034/0001403256-15-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000140325616000197/0001403256-16-000197-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000140325617000040/0001403256-17-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000140325618000053/0001403256-18-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000140325619000074/0001403256-19-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000140325620000066/0001403256-20-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000140325621000045/0001403256-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1403256/000140325622000047/0001403256-22-000047-index.htm
102,false,,,,,,,,,,,,,,,,,,,
