,https://roic.ai/company/PCH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1338749/000119312507038308/d10k.htm,https://www.sec.gov/Archives/edgar/data/1338749/000119312508034507/d10k.htm,https://www.sec.gov/Archives/edgar/data/1338749/000119312509042452/0001193125-09-042452-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000119312510033994/0001193125-10-033994-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000119312511043305/d10k.htm,https://www.sec.gov/Archives/edgar/data/1338749/000133874912000006/0001338749-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000133874913000007/0001338749-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000133874914000007/pch10k2013.htm,https://www.sec.gov/Archives/edgar/data/1338749/000133874915000008/pch10k2014.htm,https://www.sec.gov/Archives/edgar/data/1338749/000133874916000089/0001338749-16-000089-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000156459017001760/0001564590-17-001760-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000156459018002349/0001564590-18-002349-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000156459019004862/0001564590-19-004862-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000156459020005284/0001564590-20-005284-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000156459021006637/0001564590-21-006637-index.htm,https://www.sec.gov/Archives/edgar/data/1338749/000095017022001428/0000950170-22-001428-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12200000,50200000,57400000,84500000,-13000000,-11900000,7300000,-200000,-12100000,9000000,7600000,7700000,9000000,11700000,11500000,11652000,7767000,8973000,7190000,8646000,6133000,7759000,9047000,885000,1532000,5593000,7819000,16985000,5586000,4644000,7886000,82584000,120457000,76639000,83310000,252340000,296151000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,9000,30509000,2000000,40091000,111975000,57700000,21564000,22289000,3034000,53506000,85249000,62989000,63077000,52251000,26368000,39000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,12200000,50200000,57400000,84500000,-13000000,-11900000,7300000,-200000,-12100000,9000000,7600000,7700000,9000000,11700000,11700000,11661000,38276000,10973000,47281000,120621000,63833000,29323000,31336000,3919000,55038000,90842000,70808000,80062000,57837000,31012000,7925000,82584000,120457000,76639000,83310000,252340000,296151000
34,Net Receivables,69200000,78100000,92100000,103300000,117300000,96600000,100700000,115000000,118600000,137400000,152400000,163100000,179200000,162300000,184300000,187819000,159347000,117919000,105345000,103474000,114641000,135105000,114260000,138750000,18161000,21278000,13533000,10668000,16572000,9928000,13420000,17284000,12122000,30564000,20279000,29892000,31028000
35,Inventory,102700000,110900000,99200000,123100000,132900000,148900000,147700000,151600000,155600000,152200000,191100000,176900000,182300000,200300000,196700000,223206000,184571000,159798000,159678000,167015000,209696000,168816000,169396000,36686000,33398000,24375000,28603000,34799000,46285000,43019000,47870000,61806000,57853000,71127000,76755000,70854000,84382000
36,Other Current Assets,15700000,26100000,30700000,34000000,279000000,58800000,54700000,57600000,46200000,72700000,126100000,30400000,33300000,33600000,23800000,61153000,129474000,59074000,18315000,16260000,14420000,23275000,18967000,16423000,15101000,25299000,21907000,12568000,9675000,9704000,1538000,1971000,2875000,83868000,3097000,4032000,9617000
37,Total Current Assets,199800000,265300000,279400000,344900000,516200000,292400000,310400000,324000000,308300000,371300000,477200000,378100000,403800000,407900000,416500000,483839000,511668000,347764000,330619000,407370000,402590000,356519000,333959000,195778000,121698000,161794000,134851000,138097000,130369000,93663000,70753000,163645000,193307000,262198000,183441000,357118000,421178000
38,PP&E,905200000,930500000,1006000000,792500000,858200000,1087500000,1254300000,1319700000,1349100000,1313900000,1356000000,1824200000,1845000000,1504500000,1960300000,1979667000,1867258000,1163344000,1148072000,976900000,998263000,962518000,883254000,640047000,609012000,542752000,521140000,58050000,59976000,65749000,75285000,72820000,77229000,277928000,307409000,304450000,307270000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17828000,17049000,16300000,15500000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17828000,17049000,16300000,15500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18772000,20255000,21292000,22043000,1754000,3144000,911000,687000,- -,- -,3104000,4157000,3328000,3923000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74653000,64873000,49054000,57924000,43292000,21576000,37228000,46600000,42051000,19796000,- -,- -,- -,- -
44,Other Non-Current Assets,18600000,23800000,21200000,280300000,311600000,327900000,327100000,355100000,409400000,396000000,432100000,63400000,116300000,464900000,69700000,78939000,108220000,105218000,118686000,210402000,227944000,138570000,299991000,9071000,7727000,6819000,10262000,477704000,465465000,837870000,823287000,649165000,662747000,1764794000,1723003000,1699899000,1787353000
45,Total Non-Current Assets,923800000,954300000,1027200000,1072800000,1169800000,1415400000,1581400000,1674800000,1758500000,1709900000,1788100000,1887600000,1961300000,1969400000,2030000000,2058606000,1975478000,1268562000,1266758000,1187302000,1226207000,1101088000,1183245000,742543000,701867000,619917000,611369000,580800000,550161000,941758000,945859000,764036000,759772000,2063654000,2051618000,2023977000,2114046000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1123600000,1219600000,1306600000,1417700000,1686000000,1707800000,1891800000,1998800000,2066800000,2081200000,2265300000,2265700000,2365100000,2377300000,2446500000,2542445000,2487146000,1616326000,1597377000,1594672000,1628797000,1457607000,1517204000,938321000,823565000,781711000,746220000,718897000,680530000,1035421000,1016612000,927681000,953079000,2325852000,2235059000,2381095000,2535215000
48,Accounts Payable,- -,- -,- -,- -,58100000,191900000,177100000,179700000,172100000,196900000,227200000,214500000,202000000,225300000,233000000,249831000,223849000,189452000,42428000,47839000,144635000,50206000,48836000,9744000,8248000,3857000,4784000,6389000,7702000,5656000,6351000,8382000,9361000,12073000,12734000,9724000,12749000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6157000,110509000,229938000,1299000,5011000,21661000,12498000,2920000,27255000,37843000,11032000,14263000,39973000,45974000,44285000,42977000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20780000,6848000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,880000,1616000,1575000,- -,- -,- -,5514000,8789000,8392000
52,Other Current Liabilities,126800000,138900000,133200000,145900000,132400000,13800000,18900000,4000000,7000000,31700000,122000000,45600000,95600000,85000000,131700000,189268000,132603000,55619000,127389000,104466000,2357000,139901000,125362000,47463000,48926000,57164000,51164000,44700000,38816000,37667000,34951000,41167000,51174000,84238000,49030000,77036000,62061000
53,Total Current Liabilities,126800000,138900000,133200000,145900000,190500000,205700000,196000000,183700000,179100000,228600000,349200000,260100000,297600000,310300000,364700000,439099000,356452000,245071000,169817000,152305000,146992000,196264000,284707000,287145000,58473000,66032000,77609000,63587000,50318000,72194000,80720000,60581000,74798000,136284000,113252000,139834000,126179000
54,Long-Term Debt,337700000,344300000,364800000,367500000,458500000,391900000,563000000,634200000,707100000,633500000,616100000,672000000,722100000,712100000,701800000,801549000,1212780000,622645000,618278000,335415000,333097000,321474000,321301000,220927000,368420000,363485000,344742000,349163000,318262000,606473000,598874000,572956000,559056000,715391000,710495000,717366000,715279000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,147000000,161800000,170600000,182300000,207500000,214200000,218100000,225400000,140500000,151100000,180200000,223400000,236900000,253700000,275600000,293961000,210610000,56654000,71917000,201252000,197385000,53160000,51981000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32009000,20165000,17740000,34874000
57,Other Non-Current Liabilities,38900000,50000000,50000000,50000000,- -,-100000,-100000,-100000,120400000,147800000,157300000,156000000,156900000,170300000,183400000,194600000,- -,261165000,266514000,234311000,246175000,308850000,280879000,232015000,166882000,147755000,181731000,167504000,107802000,131688000,133282000,137870000,118683000,127389000,164316000,201172000,132750000
58,Total Non-Current Liabilities,523600000,556100000,585400000,599800000,666000000,606000000,781000000,859500000,968000000,932400000,953600000,1051400000,1115900000,1136100000,1160800000,1290110000,1423390000,940464000,956709000,770978000,776657000,683484000,654161000,452942000,535302000,511240000,526473000,516667000,426064000,738161000,732156000,710826000,677739000,874789000,894976000,936278000,882903000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261165000,- -,- -,- -,- -,- -,100410000,11000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4998000,4304000,- -
61,Total Liabilities,650400000,695000000,718600000,745700000,856500000,811700000,977000000,1043200000,1147100000,1161000000,1302800000,1311500000,1413500000,1446400000,1525500000,1729209000,1779842000,1185535000,1126526000,923283000,923649000,879748000,938868000,740087000,593775000,577272000,604082000,580254000,476382000,810355000,812876000,771407000,752537000,1011073000,1008228000,1076112000,1009082000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32700000,32722000,32722000,32722000,32722000,32722000,32722000,38825000,39257000,39741000,39827000,40033000,40202000,40389000,40537000,40605000,40681000,40519000,40612000,67570000,67221000,66876000,69064000
64,Retained Earnings,465800000,507100000,567900000,651000000,757000000,820100000,837000000,874400000,836800000,836600000,901400000,892700000,879300000,866000000,856600000,773697000,661144000,409692000,443158000,622025000,637486000,144811000,123783000,-7745000,-11549000,-52733000,-86388000,-94196000,-75556000,-43588000,-72983000,-128775000,-104363000,-282391000,-359330000,-315510000,-280910000
65,Other Comprehensive Income/Loss,-496600000,-541100000,-544100000,-596000000,-642900000,-693400000,-765800000,-825300000,-926000000,-1018500000,-1018500000,-1200200000,-1313700000,-1402600000,-1487300000,-1609210000,-1711888000,-1260487000,-1334918000,-1195376000,-1253808000,-119000000,-116000000,-167000000,-127000000,-114000000,-141000000,-141000000,-99000000,-118000000,-115000000,-111000000,-95000000,-129000000,-147000000,-120989000,-43238000
66,Other Total Stockholders Equity,504000000,558600000,564200000,617000000,715400000,769400000,843600000,906500000,1008900000,1102100000,1079600000,1261700000,1386000000,1467500000,1519000000,1616027000,1725326000,1248864000,1329889000,1212018000,1288748000,513223000,531296000,333238000,328512000,331139000,329324000,333450000,338167000,346049000,351038000,355530000,359293000,1658600000,1665940000,1674576000,1781217000
67,Total Stockholders Equity,473200000,524600000,588000000,672000000,829500000,896100000,914800000,955600000,919700000,920200000,962500000,954200000,951600000,930900000,921000000,813236000,707304000,430791000,470851000,671389000,705148000,577859000,578336000,198234000,229790000,204439000,142138000,138643000,204148000,225066000,203736000,156274000,200542000,1314779000,1226831000,1304953000,1526133000
68,Total Liabilities And Stockholders Equity,1123600000,1219600000,1306600000,1417700000,1686000000,1707800000,1891800000,1998800000,2066800000,2081200000,2265300000,2265700000,2365100000,2377300000,2446500000,2542445000,2487146000,1616326000,1597377000,1594672000,1628797000,1457607000,1517204000,938321000,823565000,781711000,746220000,718897000,680530000,1035421000,1016612000,927681000,953079000,2325852000,2235059000,2381065000,2535215000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000,- -
70,Total Liabilities & Equity,1123600000,1219600000,1306600000,1417700000,1686000000,1707800000,1891800000,1998800000,2066800000,2081200000,2265300000,2265700000,2365100000,2377300000,2446500000,2542445000,2487146000,1616326000,1597377000,1594672000,1628797000,1457607000,1517204000,938321000,823565000,781711000,746220000,718897000,680530000,1035421000,1016612000,927681000,953079000,2325852000,2235059000,2381095000,2535215000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1338749/000119312507038308/d10k.htm,https://www.sec.gov/Archives/edgar/data/1338749/000119312508034507/d10k.htm,https://www.sec.gov/Archives/edgar/data/1338749/000119312509042452/0001193125-09-042452-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000119312510033994/0001193125-10-033994-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000119312511043305/d10k.htm,https://www.sec.gov/Archives/edgar/data/1338749/000133874912000006/0001338749-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000133874913000007/0001338749-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000133874914000007/pch10k2013.htm,https://www.sec.gov/Archives/edgar/data/1338749/000133874915000008/pch10k2014.htm,https://www.sec.gov/Archives/edgar/data/1338749/000133874916000089/0001338749-16-000089-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000156459017001760/0001564590-17-001760-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000156459018002349/0001564590-18-002349-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000156459019004862/0001564590-19-004862-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000156459020005284/0001564590-20-005284-index.html,https://www.sec.gov/Archives/edgar/data/1338749/000156459021006637/0001564590-21-006637-index.htm,https://www.sec.gov/Archives/edgar/data/1338749/000095017022001428/0000950170-22-001428-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,136700000,98600000,55800000,78900000,6600000,49000000,108500000,58100000,36100000,37200000,40900000,-33214000,-79445000,-234381000,47537000,271249000,32964000,139110000,56432000,52637000,77328000,40394000,40266000,42594000,70581000,89910000,31714000,10938000,86453000,122880000,55661000,166830000,423860000
74,Depreciation and Amortization,- -,- -,- -,- -,77300000,86200000,96900000,107200000,123500000,138300000,137000000,141500000,149800000,150300000,150300000,161847000,169388000,115469000,104859000,88319000,89386000,91021000,80084000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77885000,- -
75,Deferred Income Tax,- -,- -,- -,- -,25200000,6700000,3900000,7300000,18100000,12800000,29200000,24600000,13500000,16800000,22000000,18317000,-83351000,-153956000,15503000,30289000,-2018000,-70572000,-3003000,-17894000,-21037000,5427000,4218000,15992000,-2467000,-1616000,-5696000,1853000,15364000,12161000,-11045000,-14610000,25000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4404000,4067000,4377000,4137000,4758000,4390000,4722000,8206000,7272000,8063000,8607000
77,Change in Working Capital,- -,- -,- -,- -,-15100000,-239000000,27700000,25900000,-11100000,13500000,-14700000,-10000000,-11800000,-8600000,-45800000,-7060000,110476000,-52523000,58109000,94263000,533000,-95343000,-111003000,-140619000,154592000,32537000,-38520000,17268000,5541000,-58582000,-31436000,113031000,15445000,7405000,-55725000,147095000,-33199000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2865000,-5904000,7016000,-3864000,-3712000,3602000,2822000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-9800000,-16000000,1200000,-3900000,-3900000,3300000,-38900000,14200000,-5400000,-18000000,3500000,-26473000,38635000,-52085000,120000,-26664000,-42681000,40880000,-2814000,-10215000,5223000,-385000,-4228000,-325000,-7347000,4785000,-3672000,-17460000,2490000,273000,-3519000,3745000,-10333000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,325700000,86700000,114400000,140300000,129200000,142700000,128000000,118000000,106200000,97600000,51800000,44740000,155216000,102693000,160802000,255065000,255598000,160255000,49252000,-91367000,63225000,95762000,57242000,74510000,80051000,21469000,-9967000,103064000,118509000,125914000,70189000,217284000,- -
