,https://roic.ai/company/PHM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,93900000,104300000,166400000,1085000000,866900000,959200000,1023000000,1164200000,1392400000,13200000,6300000,6700000,7800000,5000000,13500000,14230000,59662000,63170000,78632000,92434000,97279000,13129000000,1693308000,814650000,672434000,895102000,519583000,4645000000,581600000,680848000,602680000,970950000,905381000,1025823000,1058537000,1031127000,1208698000
11,COGS and Expenses,747400000,799700000,810500000,1085000000,866900000,959200000,1023000000,1164200000,1392400000,1652300000,1947100000,2281800000,2443000000,2700600000,3450800000,3809410000,4895271000,6709836000,8038780000,10170793000,12492871000,13081104000,11569975000,7959244000,5330932000,5071164000,4160926000,4591399000,5088933000,5119084000,5161478000,6699612000,7620271000,8840742000,8874105000,9289057000,11353158000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9167000,9531000,5055000,4913000,4395000,4632000,3107000,3236000,2537000,7593000,16739000,6837000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2262000,2729000,1313000,819000,712000,849000,788000,686000,503000,618000,584000,4248000,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,13200000,6300000,6700000,7800000,5000000,13500000,14230000,32876000,29784000,40160000,46296000,61512000,83675000,83852000,73980000,54246000,45660000,32098000,30027000,31587000,39864000,46222000,54007000,50998000,49429000,53999000,66081000,69953000
15,EBITDA,37400000,40900000,12300000,43400000,51800000,31600000,43100000,75800000,115000000,217200000,97800000,225600000,91800000,171800000,299800000,339455000,523631000,767650000,1043128000,1635366000,2393551000,1164228000,-2394389000,-1608619000,-1918611000,-1186157000,-276889000,214400000,560121000,730471000,863033000,988543000,990329000,1397587000,1394159000,1799023000,2579798000
16,EBITDA ratio,0.0484,0.0489,0.0157,0.0368,0.0455,0.0274,0.0355,0.0553,0.0704,0.1237,0.0482,0.0946,0.0364,0.0599,0.0804,0.0816,0.0973,0.1027,0.1153,0.1396,0.1629,0.0816,-0.2585,-0.2558,-0.4697,-0.2596,-0.0669,0.0445,0.0986,0.1255,0.1443,0.1289,0.1155,0.1372,0.1365,0.1630,0.1852
17,Operating Income,25900000,37200000,-25100000,94200000,271300000,192900000,190800000,205700000,240400000,103600000,82000000,102500000,81000000,165900000,279500000,349641000,486649000,761983000,1010146000,1540423000,2201664000,1193304000,-2306881000,-1669786000,-1246543000,-501874000,-24236000,228599000,590662000,703279000,820486000,968864000,952979000,1347589000,1338852000,1747025000,2573724000
18,Operating Income ratio,0.0335,0.0444,-0.0320,0.0799,0.2384,0.1674,0.1572,0.1502,0.1472,0.0590,0.0404,0.0430,0.0321,0.0579,0.0749,0.0841,0.0904,0.1020,0.1116,0.1315,0.1498,0.0836,-0.2490,-0.2655,-0.3052,-0.1098,-0.0059,0.0474,0.1040,0.1208,0.1372,0.1263,0.1112,0.1323,0.1311,0.1583,0.1848
19,Total Other Income Expenses (Gains),11500000,3700000,37400000,-50800000,-219500000,-161300000,-145800000,-127800000,-127000000,- -,- -,- -,- -,-100000,6900000,5455000,5138000,-33161000,-14490000,60114000,75350000,-110576000,-190022000,-12813000,-728576000,-732672000,-286064000,-45045000,-62840000,-13521000,-4463000,-35014000,-14151000,-49000,724000,-18331000,-63879000
20,Income Before Tax,37400000,40900000,12300000,43400000,51800000,31600000,45000000,77900000,113400000,103600000,82000000,102500000,81000000,165800000,286400000,355096000,491787000,728822000,995656000,1600537000,2277014000,1082728000,-2496903000,-1682599000,-1975119000,-1234546000,-310300000,183554000,527822000,689758000,816023000,933850000,938828000,1347540000,1339576000,1728694000,2509845000
21,Income Before Tax Ratio,0.0484,0.0489,0.0157,0.0368,0.0455,0.0274,0.0371,0.0569,0.0695,0.0590,0.0404,0.0430,0.0321,0.0578,0.0768,0.0854,0.0914,0.0975,0.1100,0.1367,0.1550,0.0759,-0.2696,-0.2675,-0.4836,-0.2702,-0.0750,0.0381,0.0929,0.1185,0.1364,0.1218,0.1095,0.1323,0.1312,0.1566,0.1802
22,Income Tax expense (Gain),13700000,20200000,4800000,10200000,-4000000,1900000,2400000,5700000,35600000,41200000,33200000,39300000,31200000,64700000,108100000,136712000,189362000,284221000,378334000,602529000,840126000,393082000,-222486000,-209486000,-792552000,-137817000,-99912000,-22591000,-2092294000,215420000,321933000,331147000,491607000,325517000,322876000,321855000,563525000
23,Net Income,23700000,20700000,7500000,33200000,55800000,29700000,40700000,70100000,79400000,162800000,58300000,179600000,52800000,102100000,178200000,188513000,301393000,453645000,624634000,986541000,1491913000,687471000,-2255755000,-1473113000,-1182567000,-1096729000,-210388000,206145000,2620116000,474338000,494090000,602703000,447221000,1022023000,1016700000,1406839000,1946320000
24,Net Income ratio,0.0306,0.0247,0.0095,0.0282,0.0490,0.0258,0.0335,0.0512,0.0486,0.0927,0.0287,0.0753,0.0209,0.0356,0.0478,0.0453,0.0560,0.0607,0.0690,0.0842,0.1015,0.0482,-0.2435,-0.2342,-0.2895,-0.2400,-0.0509,0.0428,0.4613,0.0815,0.0826,0.0786,0.0522,0.1003,0.0996,0.1275,0.1398
25,EPS,0.11,0.10,0.04,0.16,0.26,0.15,0.20,0.32,0.35,0.73,0.27,0.90,0.30,0.59,1.03,1.14,1.53,1.88,2.56,3.90,5.84,2.73,-8.94,-5.81,-3.11,-2.87,-0.55,0.54,6.79,1.27,1.38,1.76,1.45,3.56,3.67,5.19,7.44
26,EPS Diluted,0.11,0.10,0.04,0.16,0.26,0.15,0.20,0.32,0.35,0.73,0.27,0.90,0.30,0.58,1.02,1.12,1.50,1.84,2.48,3.79,5.68,2.66,-8.94,-5.81,-3.75,-2.90,-0.55,0.54,6.72,1.26,1.36,1.75,1.44,3.55,3.66,5.18,7.43
27,Weighted Average Shares Outstanding,210666667,207000000,200000000,210793651,212571429,201355932,198536585,217364341,223661972,223013699,215925926,200390516,174040000,171936000,172984000,165240000,196392000,241812000,244324000,252590000,255492000,252200000,252192000,253512000,274327000,382027940,379877000,381562000,383077000,370377000,356576000,339747000,305089000,283578000,274495000,268553000,259285000
28,Weighted Average Shares Outstanding Diluted,210666667,207000000,200000000,210793651,212571429,201355932,200987654,220787402,223661972,223013699,217943925,202857143,175632000,175536000,175292000,168584000,201292000,246984000,251460000,260234000,262801000,258621000,252192000,253512000,315430000,382027940,379877000,384564000,386866000,374102000,359793000,342123000,306814000,284865000,275297000,269414000,259928000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822416/000095012402000710/0000950124-02-000710-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000095012403000575/0000950124-03-000575-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000095012404000578/0000950124-04-000578-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000095012405001416/0000950124-05-001416-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000095012406001106/0000950124-06-001106-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000095012407001049/0000950124-07-001049-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000095012408000805/0000950124-08-000805-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000119312509038910/0001193125-09-038910-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000119312510034418/0001193125-10-034418-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000119312511029989/0001193125-11-029989-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241612000010/0000822416-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241613000006/0000822416-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241614000010/0000822416-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241615000007/0000822416-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241616000048/0000822416-16-000048-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241617000008/0000822416-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241618000009/0000822416-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241619000008/0000822416-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241620000007/0000822416-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241621000007/0000822416-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241622000007/0000822416-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,192200000,245200000,125200000,51700000,183985000,72144000,613168000,404092000,314634000,1002268000,551292000,1060311000,1655264000,1858234000,1470625000,1083071000,1404760000,1580329000,1292862000,754161000,698882000,272683000,1110088000,1217913000,2582205000,1779088000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,318931000,287933000,339531000,442715000,539496000,570600000,461354000,508967000,564979000,947139000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,192200000,245200000,125200000,51700000,183985000,72144000,613168000,404092000,314634000,1002268000,551292000,1060311000,1655264000,1858234000,1470625000,1083071000,1723691000,1868262000,1632393000,1196876000,1238378000,843283000,1571442000,1726880000,3147184000,2726227000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,489487000,- -,- -,- -,155192000,172865000,176494000,266715000,436441000,313448000,347396000,250432000,270044000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1017300000,1142000000,1455200000,1792700000,1880263000,3833763000,4293597000,5528410000,7390791000,8756093000,9374335000,7027511000,4201289000,4940358000,4781813000,4636468000,4214046000,3978561000,4392100000,5450058000,6770655000,7147130000,7253353000,7680614000,7721798000,9047569000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102737000,34529000,37366000,101860000,307907000,291449000,317413000,373998000,358278000,426768000,410552000,480209000,498328000,83753000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1209500000,1387200000,1580400000,1844400000,2064248000,3905907000,4906765000,5932502000,7705425000,9758361000,9925627000,8087822000,6448777000,6833121000,6289804000,5821399000,6400836000,6311137000,6518400000,7287647000,8803752000,8730629000,9582743000,10138135000,11637354000,11857549000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,334395000,43609000,20838000,405352000,58645000,59263000,53182000,75249000,77075000,105405000,86312000,77444000,70706000,92935000,181742000,203017000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,307693000,- -,- -,- -,- -,375677000,5654000,- -,895918000,240541000,- -,- -,- -,- -,- -,40400000,40400000,40400000,40400000,68900000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,159604000,459647000,451397000,443147000,434897000,118954000,110704000,102554000,188548000,175448000,162348000,149248000,136148000,123115000,110215000,114392000,100592000,86792000,84592000,94525000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,467297000,459647000,451397000,443147000,434897000,494631000,116358000,102554000,1084466000,415989000,162348000,149248000,136148000,123115000,110215000,154792000,140992000,127192000,124992000,163425000,146923000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73815000,46313000,35988000,45629000,45323000,40368000,41267000,51447000,62957000,54590000,59766000,35562000,98155000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67019000,27784000,- -,31766000,- -,170518000,105906000,- -,955186000,81307000,27154000,- -,2086754000,1720668000,1394879000,1049408000,645295000,275579000,170107000,136267000,139038000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,775600000,763600000,769400000,752400000,822235000,1274053000,1494259000,1679453000,2226559000,2520521000,2542489000,1894779000,751775000,1045989000,806700000,785549000,63447000,77706000,61454000,46840000,41357000,36070000,39937000,40855000,29873000,1110966000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,775600000,763600000,769400000,752400000,822235000,1808369000,1981690000,2130850000,2701472000,3289813000,3251247000,2137881000,1259681000,3218101000,1409572000,1064221000,333573000,2423006000,2051010000,1679513000,1374448000,956020000,590233000,577462000,568144000,1495082000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1985100000,2150800000,2349800000,2596800000,2886483000,5714276000,6888455000,8063352000,10406897000,13048174000,13176874000,10225703000,7708458000,10051222000,7699376000,6885620000,6734409000,8734143000,8569410000,8967160000,10178200000,9686649000,10172976000,10715597000,12205498000,13352631000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,439600000,497700000,575400000,694800000,220916000,333845000,376653000,452648000,609039000,2584060000,576321000,418637000,218135000,278333000,226466000,196447000,178274000,202736000,270516000,327725000,405455000,393815000,352029000,435916000,511321000,621168000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154100000,162700000,217100000,214000000,242603000,523675000,559621000,479287000,617415000,893001000,814707000,440611000,237560000,18394000,- -,- -,164280000,124956000,58222000,46381000,35114000,34641000,50282000,25159000,11969000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51727000,46960000,101183000,134858000,142642000,186141000,187891000,250779000,254624000,294427000,449474000,844785000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,806852000,1188478000,1452931000,1594062000,- -,1470060000,1435312000,198493000,2278523000,1894348000,1615254000,1215287000,1199107000,1073858000,1073629000,1239594000,1201900000,1081559000,1055972000,990983000,1576478000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,593700000,660400000,792500000,908800000,463519000,1664372000,2124752000,2384866000,2820516000,3477061000,2861088000,2294560000,654188000,2575250000,2172541000,1858661000,1659024000,1661657000,1545238000,1633876000,1868054000,1881135000,1738494000,1811474000,1963747000,3042431000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,436500000,584300000,542000000,526000000,677602000,1737869000,1913268000,2150972000,2861550000,3386527000,3537947000,3478230000,3166305000,4281532000,3391668000,3088344000,2648408000,2163832000,1981057000,2387982000,3460919000,3444771000,3376478000,3091613000,3255488000,2655166000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101183000,134858000,142642000,186141000,187891000,250779000,254624000,294427000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7740000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103548000,165519000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125600000,93300000,93900000,68700000,497431000,35370000,90009000,79391000,202557000,219504000,200478000,132720000,1052267000,- -,- -,- -,136178000,124844000,95519000,-164000,1973000,-44062000,-14402000,59903000,312726000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,562100000,677600000,635900000,594700000,1175033000,1773239000,2003277000,2230363000,3064107000,3613771000,3738425000,3610950000,4218572000,4281532000,3391668000,3088344000,2885769000,2423534000,2219218000,2573959000,3650783000,3651488000,3616700000,3445943000,3671762000,2820685000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91408000,91365000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1155800000,1338000000,1428400000,1503500000,1638552000,3437611000,4128029000,4615229000,5884623000,7090832000,6599513000,5905510000,4872760000,6856782000,5564209000,4947005000,4544793000,4085191000,3764456000,4207835000,5518837000,5532623000,5355194000,5257417000,5635509000,5863116000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,416000,592000,611000,1252000,1279000,2570000,2553000,2571000,2582000,3807000,3820000,3826000,3866000,3813000,3695000,3491000,3191000,2868000,2771000,2702000,2665000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,770100000,749100000,844800000,1016100000,1137737000,1431020000,1871890000,2470678000,3419401000,4751120000,5293107000,2960001000,1442425000,257145000,-840053000,-1050145000,-844147000,1593918000,1728953000,1662641000,1540208000,980061000,1613929000,2220574000,3306057000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,-3000000,-5000000,-4000000,-2000000,-2000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-206500000,-209300000,-218900000,-145000,-45
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59200000,63700000,76600000,76800000,109778000,845053000,887925000,976193000,1101594000,1208652000,1284701000,1362621000,1394691000,2935488000,2973400000,2985934000,3030897000,3052221000,3073306000,3094193000,3116964000,3377597000,3410382000,3453804000,3261412000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,829300000,812800000,921400000,1093300000,1247931000,2276665000,2760426000,3448123000,4522274000,5957342000,6577361000,4320193000,2835698000,3194440000,2135167000,1938615000,2189616000,4648952000,4804954000,4759325000,4659363000,4154026000,4817782000,5458180000,6569989000,7489515000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1985100000,2150800000,2349800000,2596800000,2886483000,5714276000,6888455000,8063352000,10406897000,13048174000,13176874000,10225703000,7708458000,10051222000,7699376000,6885620000,6734409000,8734143000,8569410000,8967160000,10178200000,9686649000,10172976000,10715597000,12205498000,13352631000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1985100000,2150800000,2349800000,2596800000,2886483000,5714276000,6888455000,8063352000,10406897000,13048174000,13176874000,10225703000,7708458000,10051222000,7699376000,6885620000,6734409000,8734143000,8569410000,8967160000,10178200000,9686649000,10172976000,10715597000,12205498000,13352631000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822416/000095012402000710/0000950124-02-000710-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000095012403000575/0000950124-03-000575-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000095012404000578/0000950124-04-000578-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000095012405001416/0000950124-05-001416-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000095012406001106/0000950124-06-001106-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000095012407001049/0000950124-07-001049-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000095012408000805/0000950124-08-000805-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000119312509038910/0001193125-09-038910-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000119312510034418/0001193125-10-034418-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000119312511029989/0001193125-11-029989-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241612000010/0000822416-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241613000006/0000822416-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241614000010/0000822416-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241615000007/0000822416-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241616000048/0000822416-16-000048-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241617000008/0000822416-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241618000009/0000822416-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241619000008/0000822416-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241620000007/0000822416-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241621000007/0000822416-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/822416/000082241622000007/0000822416-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,29700000,40700000,70100000,79400000,162800000,58300000,179600000,52800000,102100000,178200000,188513000,301393000,453645000,624634000,986541000,1491913000,687471000,-2255755000,-1473113000,-1182567000,-1096729000,-210388000,206145000,2620116000,474338000,494090000,602703000,447221000,1022023000,1016700000,1406839000,1946320000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,13200000,6300000,6700000,7800000,5000000,13500000,14230000,32876000,29784000,40160000,46296000,61512000,83675000,83852000,73980000,54246000,45660000,32098000,30027000,31587000,39864000,46222000,54007000,50998000,49429000,53999000,66081000,69953000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11700000,-47800000,18300000,24200000,1600000,652000,-8176000,39235000,19617000,-25401000,39506000,-157832000,73164000,105906000,37587000,- -,- -,- -,-2096425000,223769000,311699000,334787000,422307000,362777000,105438000,137598000,59168000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46343000,32081000,16459000,22897000,30480000,29292000,24752000,22228000,33683000,28290000,28368000,32843000,36745000
77,Change in Working Capital,- -,- -,- -,- -,- -,17400000,- -,- -,- -,- -,- -,615800000,111000000,61100000,147700000,665129000,640806000,540478000,765623000,1337273000,1396391000,783239000,-1271277000,1327000,-1536718000,-140608000,-154525000,779074000,-92332000,323682000,680609000,1281927000,-86204000,994755000,482412000,1346946000,-1168432000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
