,https://roic.ai/company/KFY,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,1400000,16147000,11881000,39000000,5099000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,19754000,24911000,- -,54851000,47986000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2059000,6323000,4674000,8720000,5502000,13014000,3813000,8396000,4526000,23034000,21145000,21158000,23041000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,69600000,79900000,156747000,145953000,98966000,75212000,85742000,151201000,166560000,219106000,257149000,163065000,186935000,221362000,200645000,249091000,267558000,286772000,419630000,401344000,498353000,511802000,523672000,657091000
53,Total Current Liabilities,73300000,91700000,184790000,171194000,146285000,88962000,94418000,158397000,176291000,229489000,272458000,173347000,198083000,233866000,215312000,268551000,286933000,306010000,476264000,458579000,558460000,550958000,624207000,750070000
54,Long-Term Debt,6200000,2400000,16916000,11842000,1634000,41364000,44400000,44949000,45147000,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000000,236222000,211311000,222878000,394144000,550792000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5088000,7014000,9105000,1103000,1056000,3832000
57,Other Non-Current Liabilities,36200000,35300000,39844000,43841000,50358000,72232000,74986000,77920000,90302000,99047000,111622000,108433000,137673000,159477000,169901000,182210000,191197000,196542000,259947000,274035000,289423000,316526000,500730000,383057000
58,Total Non-Current Liabilities,42400000,37700000,56760000,55683000,51992000,113596000,119386000,122869000,135449000,99047000,111622000,108433000,137673000,159477000,169901000,182210000,191197000,196542000,375035000,517271000,509839000,540507000,895930000,937681000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235617000,203984000
61,Total Liabilities,115700000,129400000,241550000,226877000,198277000,202558000,213804000,281266000,311740000,328536000,384080000,281780000,335756000,393343000,385213000,450761000,478130000,502552000,851299000,975850000,1068299000,1091465000,1520137000,1687751000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,283277000,296069000,301488000,302021000,307003000,330745000,344285000,400126000,358568000,368430000,388717000,404703000,419998000,431508000,449631000,463839000,702098000,692527000,683942000,656463000,585560000,583260000
64,Retained Earnings,2600000,-2400000,-35615000,-4602000,-102853000,-126607000,-121204000,-82584000,-23154000,32344000,95014000,84922000,90220000,148494000,202797000,236090000,308781000,392033000,401113000,461976000,572800000,660845000,742993000,834949000
65,Other Comprehensive Income/Loss,-17600000,-24600000,-31992000,-43652000,-55876000,-8959000,-4917000,4741000,2620000,485000,42552000,6285000,12934000,25660000,7191000,-2631000,-2388000,-40623000,-57911000,-71064000,-40135000,-76652000,-107172000,-51820000
66,Other Total Stockholders Equity,75700000,201700000,18774000,25637000,36538000,- -,- -,- -,- -,- -,- -,-538000,-529000,- -,- -,-499000,-488000,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,60700000,174700000,234444000,273452000,179297000,166455000,180882000,252902000,323751000,432955000,496134000,459099000,491342000,578857000,629986000,664468000,755536000,815249000,1045300000,1083439000,1216607000,1240656000,1221381000,1366389000
68,Total Liabilities And Stockholders Equity,176400000,304100000,475994000,500329000,377574000,369013000,394686000,534168000,635491000,761491000,880214000,740879000,827098000,972200000,1015199000,1115229000,1233666000,1317801000,1896599000,2059289000,2284906000,2332121000,2741518000,3054140000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-520000,-510000,- -,- -,- -,2001000,3609000,3008000,2731000,2310000,2386000
70,Total Liabilities & Equity,176400000,304100000,475994000,500329000,377574000,369013000,394686000,534168000,635491000,761491000,880214000,740879000,827098000,971680000,1014689000,1115229000,1233666000,1317801000,1898600000,2062898000,2287914000,2334852000,2743828000,3056526000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/56679/000094420999001211/0000944209-99-001211-index.html,https://www.sec.gov/Archives/edgar/data/56679/000094420900001206/0000944209-00-001206-index.html,https://www.sec.gov/Archives/edgar/data/56679/000102140801504080/0001021408-01-504080-index.html,https://www.sec.gov/Archives/edgar/data/56679/000089843002002695/0000898430-02-002695-index.html,https://www.sec.gov/Archives/edgar/data/56679/000119312503022198/d10k.htm,https://www.sec.gov/Archives/edgar/data/56679/000119312504118203/d10k.htm,https://www.sec.gov/Archives/edgar/data/56679/000119312505141734/d10k.htm,https://www.sec.gov/Archives/edgar/data/56679/000119312506146974/d10k.htm,https://www.sec.gov/Archives/edgar/data/56679/000119312507147340/0001193125-07-147340-index.html,https://www.sec.gov/Archives/edgar/data/56679/000095013708009024/0000950137-08-009024-index.html,https://www.sec.gov/Archives/edgar/data/56679/000095012309018674/0000950123-09-018674-index.html,https://www.sec.gov/Archives/edgar/data/56679/000095012310062331/0000950123-10-062331-index.html,https://www.sec.gov/Archives/edgar/data/56679/000095012311062884/0000950123-11-062884-index.html,https://www.sec.gov/Archives/edgar/data/56679/000119312512280691/0001193125-12-280691-index.html,https://www.sec.gov/Archives/edgar/data/56679/000119312513270364/0001193125-13-270364-index.html,https://www.sec.gov/Archives/edgar/data/56679/000119312514253292/0001193125-14-253292-index.html,https://www.sec.gov/Archives/edgar/data/56679/000119312515237143/0001193125-15-237143-index.html,https://www.sec.gov/Archives/edgar/data/56679/000119312516634657/0001193125-16-634657-index.html,https://www.sec.gov/Archives/edgar/data/56679/000119312517216289/0001193125-17-216289-index.html,https://www.sec.gov/Archives/edgar/data/56679/000119312518207569/0001193125-18-207569-index.html,https://www.sec.gov/Archives/edgar/data/56679/000156459019024039/0001564590-19-024039-index.html,https://www.sec.gov/Archives/edgar/data/56679/000156459020032398/0001564590-20-032398-index.htm,https://www.sec.gov/Archives/edgar/data/56679/000156459021034775/0001564590-21-034775-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5200000,-66400000,30811000,31013000,-98251000,-22902000,5403000,38620000,59430000,55498000,66211000,-10092000,5298000,58874000,54303000,33293000,72691000,88357000,30913000,84181000,133779000,102651000,104946000,114454000
74,Depreciation and Amortization,7700000,9300000,13333000,27714000,17949000,16405000,10030000,9851000,9002000,9280000,10441000,11583000,11493000,12671000,14017000,19004000,26172000,27597000,36220000,47260000,48588000,46489000,55311000,61845000
75,Deferred Income Tax,- -,- -,-1463000,-4220000,1003000,-2103000,-3613000,-3081000,-2183000,-12571000,-5992000,-4354000,-20862000,5954000,6512000,-176000,7598000,-316000,-18913000,6589000,-6564000,-27796000,-9330000,-14140000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16301000,17729000,15547000,13399000,11906000,12106000,13899000,18895000,18958000,21469000,23385000,22818000,27157000
77,Change in Working Capital,5000000,89500000,-33052000,-27840000,-29598000,47063000,15621000,57777000,72138000,17062000,18539000,-55560000,-9882000,19363000,77024000,-106206000,96472000,59954000,-146965000,197085000,70704000,130053000,27024000,124186000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16011000,-22318000,-17213000,-16622000,-42326000,-53357000,-30625000,34152000,-67331000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8494000,29104000,17790000,18862000,5420000,66081000,28398000,-6011000,122687000
81,Other Working Capital,26600000,116100000,83048000,55208000,25610000,72673000,88294000,146071000,218209000,235271000,253810000,198250000,188368000,207731000,284755000,178549000,275021000,334975000,188010000,385095000,455799000,585852000,612876000,737062000
82,Other Non-Cash Items,600000,6300000,64624000,36769000,49378000,-13968000,3518000,-15384000,-57931000,33062000,20312000,45293000,-34622000,-16775000,-94280000,103886000,-85557000,-82215000,143931000,-248009000,-48851000,-15977000,35580000,-62069000
83,Cash Provided by Operating Activities,18500000,38700000,74253000,63436000,-59519000,24495000,30959000,87783000,80456000,102331000,109511000,3171000,-30846000,95634000,70975000,61707000,129482000,107276000,64081000,106064000,219125000,258805000,236349000,251433000
84,CAPEX,-22300000,-9400000,-22875000,-33962000,-8539000,-3455000,-1927000,-7525000,-11310000,-14108000,-16976000,-11947000,-10763000,-27889000,-18957000,-13101000,-28559000,-21860000,-26144000,-50088000,-42000000,-46682000,-41460000,-31122000
85,Acquisitions Net,- -,- -,-42613000,-44488000,-834000,- -,- -,-419000,-1049000,-24129000,-3622000,-12900000,-21139000,-5795000,-1242000,-112064000,-15000000,-15296000,-252109000,-2880000,- -,- -,-108602000,- -
86,Purchases of Investments,- -,-30100000,-31050000,-16397000,- -,- -,-570000,-7815000,-10198000,-10870000,- -,-4104000,- -,-65964000,-55718000,-50437000,-28150000,-22843000,-30397000,-10536000,-9462000,-9476000,-83563000,-103499000
87,Sales/Maturities of Investments,- -,- -,- -,61107000,16397000,- -,- -,992000,- -,- -,21266000,- -,10169000,28618000,43181000,51511000,44475000,21362000,30066000,42815000,2642000,13781000,47936000,69683000
88,Other Investing Activites,2400000,-8300000,-10611000,-22055000,-9543000,-6942000,8944000,-1157000,816000,585000,1088000,1171000,-5192000,-10101000,-616000,7380000,3642000,8067000,4006000,84000,3981000,-27090000,-13073000,3559000
89,Cash Used for Investing Activites,-19900000,-47800000,-107149000,-55795000,-2519000,-10397000,6447000,-15924000,-21741000,-48522000,1756000,-27780000,-23444000,-81131000,-33027000,-116711000,-23592000,-30570000,-274578000,-20605000,-44839000,-69467000,-198762000,-61379000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-770000,-183000,- -,- -,- -,-388000,-3301000,-11251000,-156586000,-21179000,-244222000,-879651000,-13603000
91,Common Stock Issued,6600000,141800000,8427000,10287000,3462000,894000,3983000,18227000,20049000,22975000,17436000,3609000,6526000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-2800000,-21000000,-964000,-533000,-532000,-1115000,-1966000,-3486000,-20687000,-57622000,-64162000,-9588000,-3136000,-13844000,-4215000,-2838000,-2249000,-4038000,-7410000,-28821000,-33071000,-37372000,-92446000,-30387000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5105000,-21833000,-23318000,-22955000,-23459000,-22798000,-22498000
94,Other Financing Activites,5400000,-27900000,1206000,-12079000,41213000,5829000,-14525000,2353000,1792000,8628000,5336000,1067000,4889000,19793000,6401000,2428000,8212000,4509000,158946000,273167000,-53000,240428000,1038576000,-398000
95,Cash Used/Provided by Financing Activities,9200000,92900000,8669000,-2325000,44143000,5608000,-12508000,17094000,1154000,-26019000,-41390000,-5682000,8096000,5949000,2186000,-410000,5575000,-7935000,118452000,64442000,-77258000,-64625000,43681000,-66886000
96,Effect of Forex Changes on Cash,-800000,-2400000,-2539000,-3828000,-1638000,-3149000,519000,2078000,-1459000,3773000,16510000,-20005000,10427000,7171000,-4985000,-2525000,-1814000,-21650000,-15541000,-12271000,12938000,-19201000,-18384000,38366000
97,Net Change In Cash,9200000,92900000,-26766000,1488000,-19533000,16557000,25417000,91031000,58410000,31563000,86387000,-50296000,-35767000,27623000,35149000,-57939000,109651000,47121000,-107586000,137630000,109966000,105512000,62884000,161534000
98,Cash at the End of Period,- -,- -,86975000,88463000,66128000,82685000,108102000,199133000,257543000,289106000,318918000,255000000,219233000,246856000,282005000,224066000,333717000,380838000,273252000,410882000,520848000,626360000,689244000,850778000
99,Cash at the Beginning of Period,25300000,32300000,113741000,86975000,85661000,66128000,82685000,108102000,199133000,257543000,232531000,305296000,255000000,219233000,246856000,282005000,224066000,333717000,380838000,273252000,410882000,520848000,626360000,689244000
100,Free Cash Flow,-3800000,29300000,51378000,29474000,-68058000,21040000,29032000,80258000,69146000,88223000,92535000,-8776000,-41609000,67745000,52018000,48606000,100923000,85416000,37937000,55976000,177125000,212123000,194889000,220311000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/56679/000094420999001211/0000944209-99-001211-index.html,https://www.sec.gov/Archives/edgar/data/56679/000094420900001206/0000944209-00-001206-index.html,https://www.sec.gov/Archives/edgar/data/56679/000102140801504080/0001021408-01-504080-index.html,https://www.sec.gov/Archives/edgar/data/56679/000089843002002695/0000898430-02-002695-index.html,https://www.sec.gov/Archives/edgar/data/56679/000119312503022198/d10k.htm,https://www.sec.gov/Archives/edgar/data/56679/000119312504118203/d10k.htm,https://www.sec.gov/Archives/edgar/data/56679/000119312505141734/d10k.htm,https://www.sec.gov/Archives/edgar/data/56679/000119312506146974/d10k.htm,https://www.sec.gov/Archives/edgar/data/56679/000119312507147340/0001193125-07-147340-index.html,https://www.sec.gov/Archives/edgar/data/56679/000095013708009024/0000950137-08-009024-index.html,https://www.sec.gov/Archives/edgar/data/56679/000095012309018674/0000950123-09-018674-index.html,https://www.sec.gov/Archives/edgar/data/56679/000095012310062331/0000950123-10-062331-index.html,https://www.sec.gov/Archives/edgar/data/56679/000095012311062884/0000950123-11-062884-index.html,https://www.sec.gov/Archives/edgar/data/56679/000119312512280691/0001193125-12-280691-index.html,https://www.sec.gov/Archives/edgar/data/56679/000119312513270364/0001193125-13-270364-index.html,https://www.sec.gov/Archives/edgar/data/56679/000119312514253292/0001193125-14-253292-index.html,https://www.sec.gov/Archives/edgar/data/56679/000119312515237143/0001193125-15-237143-index.html,https://www.sec.gov/Archives/edgar/data/56679/000119312516634657/0001193125-16-634657-index.html,https://www.sec.gov/Archives/edgar/data/56679/000119312517216289/0001193125-17-216289-index.html,https://www.sec.gov/Archives/edgar/data/56679/000119312518207569/0001193125-18-207569-index.html,https://www.sec.gov/Archives/edgar/data/56679/000156459019024039/0001564590-19-024039-index.html,https://www.sec.gov/Archives/edgar/data/56679/000156459020032398/0001564590-20-032398-index.htm,https://www.sec.gov/Archives/edgar/data/56679/000156459021034775/0001564590-21-034775-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
