,https://roic.ai/company/WEC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,- -,-56500000,-175200000,9200000,34400000,-252400000,452900000,-394000000,334100000,136200000,-453900000,-390200000,6900000,611400000,-378500000,30200000,451700000,-191100000,184100000,-188000000,-368900000,239300000,-1392900000,571700000,-5000000,-2107900000,-306800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111100000,-50400000,30100000,- -,- -,- -,- -,- -,- -,- -,- -,16000000,-331500000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,11500000,5200000,-30700000,-12800000,-600000,-6800000,-68900000,-38700000,10200000,-59700000,-23900000,-48500000,34400000,31300000,16600000,-34600000,-1000000,-2900000,21300000,31300000,-71200000,-69400000,100000000,49300000,-8800000,-1500000,21000000,-107200000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-118500000,21300000,11800000,43800000,-14800000,23700000,-9300000,34400000,8500000,110600000,1500000,-61300000,126900000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,95400000,95400000,38900000,-136300000,-127100000,-92700000,-345100000,107800000,-286200000,47900000,184100000,-269800000,-660000000,-653100000,-41700000,-420200000,-390000000,61700000,-129400000,54700000,-133300000,-502200000,-262900000,-1655800000,-1084100000,-1089100000,-3197000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,258800000,195700000,304800000,499600000,263400000,49600000,548900000,-108300000,963300000,-25400000,149600000,658700000,857600000,169600000,-530100000,88100000,-98600000,-751500000,94800000,-243400000,49900000,20000000,-332400000,1197300000,-329800000,126100000,1918900000,-187400000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,416300000,426900000,464800000,393000000,460000000,326600000,461000000,555800000,711300000,623900000,598700000,576900000,729800000,532500000,737000000,628800000,810400000,993400000,1173900000,1231000000,1197700000,1293600000,2103500000,2079600000,2445500000,2345500000,2196000000,2032700000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-295800000,-271700000,-389200000,-345900000,-399000000,-794900000,-611000000,-672500000,-556800000,-659400000,-636800000,-745100000,-928700000,-1211500000,-1137100000,-817700000,-798200000,-830800000,-707000000,-687400000,-736100000,-1266200000,-1423700000,-1959500000,-2115700000,-2260800000,- -,-2252800000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1234700000,-35700000,-39700000,- -,-26400000,-10500000,-14600000,- -,- -,- -,- -,- -,-15700000,-10500000,-13100000,-1338600000,-42300000,-335600000,-354900000,-320800000,-625700000,-119900000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25900000,-5200000,-6600000,- -,- -,- -,- -,- -,- -,-65000000,- -,-37000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118600000,200000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68900000,-38000000,-42200000,-15000000,-78900000,-113600000,325200000,243900000,230700000,-7800000,906300000,58500000,4000000,668300000,230200000,107500000,169900000,-55100000,-6900000,-47900000,-7600000,87300000,195900000,55500000,32600000,86500000,94900000,-2191900000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-364700000,-309700000,-431400000,-360900000,-477900000,-908500000,-1520500000,-464300000,-365800000,-667200000,243100000,-697100000,-939300000,-543200000,-906900000,-736100000,-633500000,-892500000,-729600000,-745800000,-756800000,-2517500000,-1270100000,-2239600000,-2384400000,-2494900000,-2806800000,-2311800000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-221100000,-291700000,-466600000,-20300000,-397200000,-324300000,-529600000,-306000000,-154500000,-953300000,-360100000,-55000000,-1600400000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,50500000,52400000,23200000,29600000,10300000,272800000,89300000,51600000,234600000,62900000,70900000,47000000,26800000,36100000,11600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5300000,- -,- -,- -,- -,- -,-100800000,-133600000,-52300000,-6800000,-152700000,-75100000,-48000000,-67800000,-23000000,-29600000,-156600000,-193900000,-153200000,-223400000,-123200000,-127400000,-108000000,-71300000,-72400000,-140100000,- -,-33100000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150700000,-159700000,-167200000,-172700000,-177400000,-182300000,-165300000,-93800000,-92400000,-93700000,-97800000,-102900000,-107600000,-116900000,-126300000,-157800000,-187000000,-242000000,-276300000,-328900000,-352000000,-455400000,-624900000,-656500000,-697300000,-744500000,-798000000,-854800000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,41800000,4700000,97700000,119900000,182100000,548300000,1203300000,90800000,-438800000,90800000,-654700000,288800000,302100000,149700000,312700000,504200000,462700000,791200000,27000000,454700000,394500000,2324200000,193200000,1043700000,1749400000,1330300000,1454100000,2782300000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63700000,-102600000,-46300000,-23200000,15000000,638800000,1026500000,-85000000,-348900000,53200000,-834300000,157800000,173300000,1100000,175000000,95700000,-172600000,-111300000,-422800000,-494800000,-405000000,1211800000,-845700000,161400000,26400000,85600000,601100000,294000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000000,14700000,-12900000,8900000,-3000000,56900000,-33000000,6500000,-3400000,9900000,7500000,37600000,-36200000,-9600000,5100000,-11600000,4300000,-10400000,21500000,-9600000,35900000,-12100000,-12300000,1400000,87500000,-63800000,-10000000,14900000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,23600000,10700000,19600000,16600000,73500000,40500000,47000000,43600000,53500000,35600000,73200000,37000000,27400000,32500000,20900000,24500000,14100000,35600000,26000000,61900000,49800000,37500000,38900000,146100000,82300000,72000000,87500000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,8900000,23600000,10700000,19600000,16600000,73500000,40500000,47000000,43600000,28100000,35600000,73200000,37000000,27400000,32500000,20200000,24500000,14100000,35600000,26000000,61900000,49800000,37500000,58600000,146100000,82000000,72600000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,120500000,155200000,75600000,47100000,61000000,-468300000,-150000000,-116700000,154500000,-35500000,-38100000,-168200000,-198900000,-679000000,-400100000,-188900000,12200000,162600000,466900000,543600000,461600000,27400000,679800000,120100000,329800000,84700000,2196000000,-220100000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107815/000010781599000003/0000107815-99-000003-index.html,https://www.sec.gov/Archives/edgar/data/107815/000010781500000005/0000107815-00-000005-index.html,https://www.sec.gov/Archives/edgar/data/783325/000010781501000007/0000107815-01-000007-index.html,https://www.sec.gov/Archives/edgar/data/783325/000010781502000008/0000107815-02-000008-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781503000006/0000107815-03-000006-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781504000107/0000107815-04-000107-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000119312505042628/0001193125-05-042628-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781506000089/0000107815-06-000089-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000119312507041253/0001193125-07-041253-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781508000059/0000107815-08-000059-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781509000025/0000107815-09-000025-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781510000046/0000107815-10-000046-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781511000028/0000107815-11-000028-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781512000039/0000107815-12-000039-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781513000055/0000107815-13-000055-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781514000041/0000107815-14-000041-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781515000040/0000107815-15-000040-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781516000248/0000107815-16-000248-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781517000104/0000107815-17-000104-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781518000134/0000107815-18-000134-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781519000128/0000107815-19-000128-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781520000089/0000107815-20-000089-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781521000079/0000107815-21-000079-index.htm,https://www.sec.gov/Archives/edgar/data/783325/000010781522000116/0000107815-22-000116-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
