,https://roic.ai/company/HEES,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,25492000,25492000,36429516,100270,36429516,36982000,38065000,35583000,34607000,34668000,34887000,34978000,35146000,35249000,35343000,35480000,35699000,35903000,36033000,36067000,36141667
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1339605/000095012907001595/h44510e10vk.htm,https://www.sec.gov/Archives/edgar/data/1339605/000095012908001573/h54251e10vk.htm,https://www.sec.gov/Archives/edgar/data/1339605/000095012909000734/0000950129-09-000734-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000095012310021588/0000950123-10-021588-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000095012311021691/h79982e10vk.htm,https://www.sec.gov/Archives/edgar/data/1339605/000119312512093223/0001193125-12-093223-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000119312513091690/0001193125-13-091690-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000119312514077300/d647284d10k.htm,https://www.sec.gov/Archives/edgar/data/1339605/000119312515065622/d848275d10k.htm,https://www.sec.gov/Archives/edgar/data/1339605/000156459016013363/0001564590-16-013363-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000156459017002205/0001564590-17-002205-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000156459018002870/0001564590-18-002870-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000156459019003669/0001564590-19-003669-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000156459020005566/0001564590-20-005566-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000156459021006374/0001564590-21-006374-index.htm,https://www.sec.gov/Archives/edgar/data/1339605/000095017022001961/0000950170-22-001961-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4322000,3398000,3891000,3358000,5627000,9303000,14762000,11266000,45336000,29149000,24215000,8894000,17607000,15861000,7159000,7683000,165878000,16677000,14247000,310882000,357296000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4322000,3398000,3891000,3358000,5627000,9303000,14762000,11266000,45336000,29149000,24215000,8894000,17607000,15861000,7159000,7683000,165878000,16677000,14247000,310882000,357296000
34,Net Receivables,- -,- -,62615000,68902000,99523000,107760000,151148000,150293000,72001000,99139000,105339000,141667000,131970000,164335000,147328000,140037000,176081000,201556000,192204000,178858000,157226000
35,Inventory,- -,- -,44078000,56811000,81093000,126737000,143789000,129240000,94987000,72156000,65151000,79970000,111640000,133987000,96818000,53909000,75004000,104598000,85478000,72488000,75299000
36,Other Current Assets,- -,- -,2521000,1044000,1378000,6122000,6111000,11722000,6999000,8679000,5223000,5207000,6024000,9146000,10054000,7513000,9172000,10508000,10262000,10379000,21081000
37,Total Current Assets,- -,- -,113105000,130115000,187621000,249922000,315810000,302521000,219323000,209123000,199928000,235738000,267241000,323329000,261359000,209142000,426135000,333339000,302191000,572607000,610902000
38,PP&E,- -,- -,276481000,259731000,326320000,470117000,623042000,612579000,503209000,483823000,513652000,669538000,787213000,999614000,1004178000,999308000,1006613000,1256619000,1505172000,1307908000,1379959000
39,Goodwill,3204000,8572000,- -,- -,- -,30573000,54731000,42991000,34019000,34019000,34019000,32074000,31197000,31197000,31197000,31197000,31197000,105843000,131442000,68851000,63137000
40,Intangible Assets,- -,- -,8572000,8572000,8572000,- -,10642000,1579000,988000,429000,66000,- -,- -,- -,- -,- -,- -,28380000,32948000,28961000,24991000
41,Intangible Assets,3204000,8572000,8572000,8572000,8572000,30573000,65373000,44570000,35007000,34448000,34085000,32074000,31197000,31197000,31197000,31197000,31197000,134223000,164390000,97812000,88128000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,11235000,10251000,8184000,9330000,8628000,6964000,5545000,7027000,5640000,5049000,4689000,4664000,4353000,1964000,3772000,3000000,2857000,2157000,1458000
45,Total Non-Current Assets,- -,- -,296288000,278554000,343076000,510020000,697043000,664113000,543761000,525298000,553377000,706661000,823099000,1035475000,1039728000,1032469000,1041582000,1393842000,1672419000,1407877000,1469545000
46,Other Assets,287129000,476119000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,287129000,476119000,409393000,408669000,530697000,759942000,1012853000,966634000,763084000,734421000,753305000,942399000,1090340000,1358804000,1301087000,1241611000,1467717000,1727181000,1974610000,1980484000,2080447000
48,Accounts Payable,- -,- -,91446000,92592000,149901000,209514000,247834000,93667000,28866000,58437000,63006000,36119000,67779000,53341000,66777000,39432000,89781000,101840000,58853000,89295000,95604000
49,Short-Term Debt,- -,- -,43958000,55293000,106972000,11488000,122540000,76470000,- -,- -,16055000,157719000,102460000,259919000,184857000,162642000,- -,170761000,216879000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5452000,6036000,7712000,7722000,8366000,9925000,9635000,10069000,11042000,11036000,11757000
51,Deferred Revenue,- -,- -,- -,2139000,- -,2463000,- -,3598000,- -,- -,3640000,4015000,4268000,5195000,5556000,5703000,6631000,5973000,4038000,4422000,5167000
52,Other Current Liabilities,- -,- -,34570000,37276000,24312000,31340000,49370000,43608000,130139000,111057000,93168000,100809000,101906000,151059000,114634000,83819000,82519000,93185000,101814000,72638000,54636000
53,Total Current Liabilities,- -,- -,169974000,187300000,281185000,254805000,419744000,217343000,159005000,169494000,175869000,298662000,276413000,469514000,371824000,291596000,178931000,371759000,381584000,166355000,155407000
54,Long-Term Debt,- -,- -,242733000,242979000,254652000,254477000,250000000,379649000,251929000,250000000,250000000,521065000,628546000,628714000,628882000,627711000,944088000,944780000,945566000,1404886000,1416194000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,11805000,50681000,75109000,69146000,55919000,58616000,71589000,88291000,125110000,155886000,177835000,126419000,153113000,180126000,171010000,201231000
57,Other Non-Current Liabilities,- -,- -,16249000,11690000,- -,3271000,4350000,4326000,4122000,4758000,4613000,2447000,2278000,2099000,1907000,1704000,1486000,726000,159815000,- -,4233000
58,Total Non-Current Liabilities,- -,- -,258982000,254669000,254652000,269553000,305031000,459084000,325197000,310677000,313229000,595101000,719115000,755923000,786675000,807250000,1071993000,1098619000,1285507000,1575896000,1621658000
59,Other Liabilities,257230000,449632000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,5351000,1120000,- -,- -,2411000,2300000,2181000,- -,2605000,2447000,2278000,2099000,1907000,1704000,1486000,726000,159815000,166226000,155303000
61,Total Liabilities,257230000,449632000,428956000,441969000,535837000,524358000,724775000,676427000,484202000,480171000,489098000,893763000,995528000,1225437000,1158499000,1098846000,1250924000,1470378000,1667091000,1742251000,1777065000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,382000,382000,383000,385000,386000,387000,388000,389000,390000,392000,394000,395000,396000,398000,401000,403000
64,Retained Earnings,29899000,- -,- -,- -,- -,30564000,95190000,138486000,126543000,101083000,110009000,-107024000,-62884000,-25437000,-18278000,-20207000,51077000,88332000,136060000,63814000,126635000
65,Other Comprehensive Income/Loss,- -,- -,-19563000,-33300000,-5140000,-185934000,-213221000,-246148000,-42086000,-308603000,-343543000,-365021000,-385938000,-440217000,-497487000,-556334000,-627440000,-725182000,-846406000,-886524000,- -
66,Other Total Stockholders Equity,- -,26487000,108393000,108785000,154667000,390572000,405727000,397486000,194040000,461384000,497354000,520293000,543245000,598631000,657961000,718912000,792761000,893257000,1017467000,1060542000,176344000
67,Total Stockholders Equity,29899000,26487000,-19563000,-33300000,-5140000,235584000,288078000,290207000,278882000,254250000,264207000,48636000,94812000,133367000,142588000,142765000,216793000,256803000,307519000,238233000,303382000
68,Total Liabilities And Stockholders Equity,287129000,476119000,409393000,408669000,530697000,759942000,1012853000,966634000,763084000,734421000,753305000,942399000,1090340000,1358804000,1301087000,1241611000,1467717000,1727181000,1974610000,1980484000,2080447000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,287129000,476119000,409393000,408669000,530697000,759942000,1012853000,966634000,763084000,734421000,753305000,942399000,1090340000,1358804000,1301087000,1241611000,1467717000,1727181000,1974610000,1980484000,2080447000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1339605/000095012907001595/h44510e10vk.htm,https://www.sec.gov/Archives/edgar/data/1339605/000095012908001573/h54251e10vk.htm,https://www.sec.gov/Archives/edgar/data/1339605/000095012909000734/0000950129-09-000734-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000095012310021588/0000950123-10-021588-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000095012311021691/h79982e10vk.htm,https://www.sec.gov/Archives/edgar/data/1339605/000119312512093223/0001193125-12-093223-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000119312513091690/0001193125-13-091690-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000119312514077300/d647284d10k.htm,https://www.sec.gov/Archives/edgar/data/1339605/000119312515065622/d848275d10k.htm,https://www.sec.gov/Archives/edgar/data/1339605/000156459016013363/0001564590-16-013363-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000156459017002205/0001564590-17-002205-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000156459018002870/0001564590-18-002870-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000156459019003669/0001564590-19-003669-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000156459020005566/0001564590-20-005566-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000156459021006374/0001564590-21-006374-index.htm,https://www.sec.gov/Archives/edgar/data/1339605/000095017022001961/0000950170-22-001961-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3300000,-8221000,-46051000,-13737000,28160000,32714000,64626000,43296000,-11943000,-25460000,8926000,28836000,44140000,55139000,44305000,37172000,109658000,76623000,87211000,-32667000,60564000
74,Depreciation and Amortization,- -,- -,61553000,56154000,62604000,87354000,105655000,117677000,99293000,92266000,99398000,116513000,138903000,166514000,186457000,189697000,193245000,236366000,276500000,267317000,262931000
75,Deferred Income Tax,- -,- -,-5717000,- -,645000,8968000,38876000,24428000,-5963000,-13227000,2697000,12973000,16702000,36795000,30651000,21578000,-50535000,26695000,27013000,-9116000,30221000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,726000,1039000,1327000,1862000,2618000,2598000,2655000,3037000,3526000,4214000,4670000,4362000,4432000
77,Change in Working Capital,- -,- -,-56869000,-316000,-36379000,88681000,-99051000,189112000,-24860000,-20689000,-15570000,-86983000,53752000,-137013000,35720000,28011000,329658000,-285624000,-40973000,485645000,-56980000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39808000,6503000,-35224000,13566000,4154000,-40012000,-17761000,- -,- -,- -
79,Inventory,- -,- -,-4980000,-22263000,-44159000,-69949000,-57431000,-28064000,23182000,-6762000,-21561000,-43137000,-67754000,-66723000,-14517000,4267000,-31771000,-48230000,-19637000,-9521000,-56535000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-64801000,29571000,4569000,-26886000,31659000,-14438000,13436000,-27345000,50349000,6994000,-43358000,31042000,11208000
81,Other Working Capital,- -,- -,-56869000,-57185000,-93564000,-4883000,-103934000,85178000,60318000,39629000,24059000,-62924000,-9172000,-146185000,-110465000,-82454000,247204000,-38420000,-79393000,406252000,- -
82,Other Non-Cash Items,26815000,33540000,66428000,-36462000,-19126000,-99988000,-6012000,-254046000,15648000,-15991000,-36393000,-32178000,-117463000,34285000,-93168000,-102516000,-359353000,188937000,-35203000,-429525000,-41596000
83,Cash Provided by Operating Activities,30115000,25319000,19344000,5639000,35904000,117729000,104094000,120467000,72901000,17938000,60385000,41023000,138652000,158318000,206620000,176979000,226199000,247211000,319218000,286016000,259572000
84,CAPEX,- -,- -,-33071000,-77498000,-171063000,-242776000,-212009000,-150458000,-34516000,-77901000,-145668000,-305590000,-296944000,-401726000,-205569000,-202604000,-256724000,-451560000,-352765000,-135027000,-452704000
85,Acquisitions Net,- -,- -,- -,- -,- -,-56962000,-100177000,-10461000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-196027000,-106746000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,87028000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-37846000,-18694000,53979000,65745000,960000,107750000,123539000,124244000,72416000,48232000,64740000,92600000,117354000,105083000,103810000,88194000,103649000,121347000,133608000,156118000,281729000
89,Cash Used for Investing Activites,-37846000,-18694000,20908000,-11753000,-83075000,-191988000,-188647000,-36675000,37900000,-29669000,-80928000,-212990000,-179590000,-296643000,-101759000,-114410000,-153075000,-526240000,-325903000,21091000,-170975000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-612932000,-1356000,-541978000,-1148355000,-1114418000,-1078350000,-1058215000,-988564000,-2009740000,-1266300000,-1411858000,-2861179000,-1417964000
91,Common Stock Issued,- -,- -,- -,- -,- -,207018000,- -,- -,- -,- -,257000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-13431000,-42577000,-110000,-212000,-554000,-694000,-890000,-1467000,-470000,-561000,-783000,-1350000,-1684000,-1405000,-2106000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-244381000,-855000,-18325000,-37114000,-39066000,-39172000,-39274000,-39388000,-39595000,-39748000
94,Other Financing Activites,10426000,-7549000,-39759000,5581000,49440000,-129083000,103443000,-44711000,536311000,-2888000,557884000,1550076000,1165814000,1234721000,982236000,966146000,2134766000,1436752000,1457185000,2891707000,1417635000
95,Cash Used/Provided by Financing Activities,10426000,-7549000,-39759000,5581000,49440000,77935000,90012000,-87288000,-76731000,-4456000,15609000,156646000,49651000,136579000,-113563000,-62045000,85071000,129828000,4255000,-10472000,-42183000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,493000,-533000,2269000,3676000,5459000,-3496000,34070000,-16187000,-4934000,-15321000,8713000,-1746000,-8702000,524000,158195000,-149201000,-2430000,296635000,46414000
98,Cash at the End of Period,- -,- -,3891000,3358000,5627000,9303000,14762000,11266000,45336000,29149000,24215000,8894000,17607000,15861000,7159000,7683000,165878000,16677000,14247000,310882000,357296000
99,Cash at the Beginning of Period,- -,- -,3398000,3891000,3358000,5627000,9303000,14762000,11266000,45336000,29149000,24215000,8894000,17607000,15861000,7159000,7683000,165878000,16677000,14247000,310882000
100,Free Cash Flow,30115000,25319000,-13727000,-71859000,-135159000,-125047000,-107915000,-29991000,38385000,-59963000,-85283000,-264567000,-158292000,-243408000,1051000,-25625000,-30525000,-204349000,-33547000,150989000,-193132000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1339605/000095012907001595/h44510e10vk.htm,https://www.sec.gov/Archives/edgar/data/1339605/000095012908001573/h54251e10vk.htm,https://www.sec.gov/Archives/edgar/data/1339605/000095012909000734/0000950129-09-000734-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000095012310021588/0000950123-10-021588-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000095012311021691/h79982e10vk.htm,https://www.sec.gov/Archives/edgar/data/1339605/000119312512093223/0001193125-12-093223-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000119312513091690/0001193125-13-091690-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000119312514077300/d647284d10k.htm,https://www.sec.gov/Archives/edgar/data/1339605/000119312515065622/d848275d10k.htm,https://www.sec.gov/Archives/edgar/data/1339605/000156459016013363/0001564590-16-013363-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000156459017002205/0001564590-17-002205-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000156459018002870/0001564590-18-002870-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000156459019003669/0001564590-19-003669-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000156459020005566/0001564590-20-005566-index.html,https://www.sec.gov/Archives/edgar/data/1339605/000156459021006374/0001564590-21-006374-index.htm,https://www.sec.gov/Archives/edgar/data/1339605/000095017022001961/0000950170-22-001961-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
