,https://roic.ai/company/CAH,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,12000000,14600000,12000000,16700000,24100000,33100000,46600000,61200000,87700000,167700000,234600000,363600000,466800000,992700000,1323700000,1612800000,1874700000,2386300000,2487400000,2043000000,1983100000,2665800000,2315800000,2293900000,1521200000,1917200000,2117000000,1407000000,2393000000,2562000000,3091000000,2836000000,1130000000,3043000000,-2624000000,1285000000
16,EBITDA ratio,0.0280,0.0224,0.0229,0.0238,0.0276,0.0279,0.0283,0.0311,0.0151,0.0215,0.0265,0.0332,0.0293,0.0397,0.0443,0.0336,0.0367,0.0421,0.0382,0.0273,0.0244,0.0307,0.0254,0.0231,0.0154,0.0187,0.0197,0.0139,0.0263,0.0250,0.0254,0.0218,0.0083,0.0209,-0.0172,0.0079
17,Operating Income,8400000,12400000,13000000,18200000,24800000,34700000,47400000,59000000,86000000,163700000,282000000,391300000,473700000,1023600000,1259700000,1487100000,1833800000,2241900000,2337300000,1762800000,1966700000,1373700000,2121200000,1885700000,1306900000,1514000000,1792000000,996000000,1885000000,2161000000,2459000000,2120000000,126000000,2060000000,-4098000000,472000000
18,Operating Income ratio,0.0196,0.0190,0.0248,0.0260,0.0284,0.0293,0.0288,0.0300,0.0149,0.0210,0.0318,0.0357,0.0298,0.0409,0.0422,0.0310,0.0359,0.0395,0.0359,0.0235,0.0242,0.0158,0.0233,0.0189,0.0133,0.0147,0.0167,0.0099,0.0207,0.0211,0.0202,0.0163,0.0009,0.0142,-0.0268,0.0029
19,Total Other Income Expenses (Gains),1600000,-1400000,-4800000,-4600000,-3800000,-6200000,-6400000,-5000000,-15300000,-17200000,-79900000,-79000000,-71200000,-264400000,-181900000,-154900000,-132500000,-115300000,-98900000,-133500000,-131700000,-121400000,-171400000,-218700000,-95300000,4300000,-94000000,-108000000,-87000000,-194000000,-183000000,-196000000,-354000000,-309000000,326000000,-149000000
20,Income Before Tax,10000000,11000000,8200000,13600000,21000000,28500000,41000000,54000000,70700000,146500000,202100000,312300000,402500000,759200000,1077800000,1332200000,1701300000,2126600000,2238400000,1629300000,1835000000,1252300000,1949800000,1667000000,1211600000,1518300000,1698000000,888000000,1798000000,1967000000,2276000000,1924000000,-228000000,1751000000,-3772000000,323000000
21,Income Before Tax Ratio,0.0233,0.0169,0.0156,0.0194,0.0240,0.0241,0.0249,0.0275,0.0122,0.0188,0.0228,0.0285,0.0253,0.0303,0.0361,0.0278,0.0333,0.0375,0.0344,0.0217,0.0226,0.0144,0.0214,0.0168,0.0123,0.0148,0.0158,0.0088,0.0197,0.0192,0.0187,0.0148,-0.0017,0.0120,-0.0247,0.0020
22,Income Tax expense (Gain),4000000,5600000,3400000,5100000,8200000,11100000,15800000,20400000,35600000,61500000,90200000,131200000,155400000,302900000,398100000,474800000,575000000,714700000,713700000,582600000,590300000,412600000,633900000,524200000,624600000,552100000,628000000,553000000,635000000,755000000,845000000,630000000,-487000000,386000000,-79000000,-289000000
23,Net Income,6000000,5400000,6600000,8800000,12800000,17400000,25200000,33600000,35100000,85000000,111900000,181100000,247100000,456300000,679700000,857400000,1056200000,1405800000,1474500000,1050700000,1000100000,1931100000,1300600000,1151600000,642200000,959000000,1069000000,334000000,1166000000,1215000000,1427000000,1288000000,256000000,1363000000,-3696000000,611000000
24,Net Income ratio,0.0140,0.0083,0.0126,0.0126,0.0146,0.0147,0.0153,0.0171,0.0061,0.0109,0.0126,0.0165,0.0155,0.0182,0.0228,0.0179,0.0207,0.0248,0.0227,0.0140,0.0123,0.0222,0.0143,0.0116,0.0065,0.0093,0.0099,0.0033,0.0128,0.0119,0.0117,0.0099,0.0019,0.0094,-0.0242,0.0038
25,EPS,0.14,0.13,0.15,0.19,0.19,0.25,0.31,0.42,0.20,0.60,0.51,0.74,1.00,1.12,1.63,1.93,2.34,3.15,3.39,2.44,2.38,4.89,3.63,3.22,1.79,2.75,3.10,0.98,3.42,3.66,4.36,4.06,0.82,4.55,-12.61,2.09
26,EPS Diluted,0.12,0.11,0.13,0.16,0.19,0.24,0.30,0.39,0.20,0.60,0.51,0.74,0.99,1.09,1.59,1.88,2.30,3.10,3.35,2.41,2.33,4.77,3.57,3.18,1.77,2.72,3.06,0.97,3.38,3.62,4.32,4.03,0.81,4.53,-12.61,2.08
27,Weighted Average Shares Outstanding,42857143,41538462,44000000,46315789,67368421,69600000,81290323,80000000,166185000,142340625,218257875,245515500,246953250,407400000,418650000,443200000,450100000,446000000,434400000,430500000,421200000,394900000,358200000,357600000,358800000,348600000,345000000,341000000,341000000,332000000,327000000,317000000,313000000,300000000,293000000,292000000
28,Weighted Average Shares Outstanding Diluted,50000000,49090909,50769231,55000000,67368421,72500000,84000000,86153846,166543593,142495875,218507625,245637000,250755750,418500000,426600000,455500000,459900000,453600000,440000000,435700000,428500000,404700000,364000000,361500000,361400000,352500000,349000000,344000000,345000000,335000000,330000000,320000000,315000000,301000000,293000000,294000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/721371/000095015295002183/0000950152-95-002183-index.html,https://www.sec.gov/Archives/edgar/data/721371/000095015296004334/0000950152-96-004334-index.html,https://www.sec.gov/Archives/edgar/data/721371/000095015297006910/0000950152-97-006910-index.html,- -,https://www.sec.gov/Archives/edgar/data/721371/000095015299007328/0000950152-99-007328-index.html,https://www.sec.gov/Archives/edgar/data/721371/000095015200006483/0000950152-00-006483-index.html,- -,https://www.sec.gov/Archives/edgar/data/721371/000095015202007264/0000950152-02-007264-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/721371/000119312506184453/d10k.htm,https://www.sec.gov/Archives/edgar/data/721371/000095015207007107/0000950152-07-007107-index.html,https://www.sec.gov/Archives/edgar/data/721371/000119312508184519/0001193125-08-184519-index.html,https://www.sec.gov/Archives/edgar/data/721371/000119312509182992/0001193125-09-182992-index.html,https://www.sec.gov/Archives/edgar/data/721371/000119312510198300/0001193125-10-198300-index.html,https://www.sec.gov/Archives/edgar/data/721371/000119312511233322/0001193125-11-233322-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137112000069/0000721371-12-000069-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137113000154/0000721371-13-000154-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137114000181/0000721371-14-000181-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137115000107/0000721371-15-000107-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137116000277/a16q4_10kx63016xform10-k.htm,https://www.sec.gov/Archives/edgar/data/721371/000072137117000083/0000721371-17-000083-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137118000077/0000721371-18-000077-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137119000090/0000721371-19-000090-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137120000089/0000721371-20-000089-index.htm,https://www.sec.gov/Archives/edgar/data/721371/000072137121000080/0000721371-21-000080-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,46500000,10500000,4000000,9300000,7500000,57900000,3700000,66600000,- -,40600000,287800000,243100000,305000000,165200000,504600000,934100000,1382000000,1724000000,1096000000,1411700000,1320900000,1308800000,1291300000,1847500000,2755300000,1929300000,2274000000,1901000000,2865000000,4616000000,2356000000,6879000000,1763000000,2531000000,2771000000,3407000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99800000,498400000,132000000,383700000,398900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,46500000,10500000,4000000,9300000,7500000,57900000,3700000,66600000,- -,40600000,287800000,243100000,305000000,165200000,504600000,934100000,1382000000,1724000000,1096000000,1511500000,1819300000,1440800000,1675000000,2246400000,2755300000,1929300000,2274000000,1901000000,2865000000,4616000000,2356000000,6879000000,1763000000,2531000000,2771000000,3407000000
34,Net Receivables,32100000,57800000,66900000,75100000,82800000,116000000,147500000,143900000,- -,516300000,564900000,672200000,826200000,1590300000,1677000000,2408700000,2295400000,2784400000,3432700000,3451000000,4111600000,4714400000,5006900000,5643600000,5170600000,6155700000,6355000000,6304000000,5380000000,6523000000,7405000000,8048000000,7800000000,8448000000,8264000000,9103000000
35,Inventory,36500000,69900000,75000000,112700000,118500000,186900000,346500000,318700000,- -,1071800000,1238200000,1453100000,1895500000,2931400000,3865300000,6286100000,7361000000,7623300000,7471300000,7380000000,7714200000,7383200000,6768800000,7145500000,6355900000,7334200000,7864000000,8373000000,8266000000,9211000000,10615000000,11301000000,12308000000,12822000000,13198000000,14594000000
36,Other Current Assets,1200000,2200000,16000000,1900000,4500000,24400000,5500000,49400000,- -,46000000,148900000,135300000,202000000,459700000,823700000,1087400000,868200000,1117900000,1057900000,1100200000,1131600000,1006100000,733500000,763500000,637100000,896700000,1017000000,1192000000,1428000000,1402000000,1580000000,2117000000,2682000000,1946000000,1707000000,3944000000
37,Total Current Assets,116300000,140400000,161900000,199000000,213300000,385200000,503200000,578600000,- -,1674700000,2239800000,2503700000,3228700000,5146600000,6870600000,10716300000,11906600000,13249600000,13057900000,13442700000,14776700000,14544500000,14184200000,15799000000,14918900000,16315900000,17510000000,17770000000,17939000000,21752000000,21956000000,28345000000,24553000000,25747000000,25940000000,31048000000
38,PP&E,14300000,22800000,12200000,17700000,19100000,31000000,39000000,39000000,- -,95200000,153500000,276700000,331400000,1540500000,1626900000,1838300000,1894400000,2089500000,2364000000,2484000000,2584000000,1647000000,1737200000,1873000000,1468800000,1512200000,1551000000,1489000000,1459000000,1506000000,1796000000,1879000000,2487000000,2356000000,2366000000,2360000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1175400000,- -,- -,- -,- -,4992400000,5860900000,6225900000,- -,- -,- -,3978000000,4601000000,4878000000,5070000000,7167000000,7221000000,8316000000,8378000000,8357000000,7989000000
40,Intangible Assets,2300000,7200000,13000000,12600000,12300000,21500000,23700000,- -,- -,- -,92400000,122100000,125100000,942100000,961700000,- -,1544100000,2332300000,4938800000,5097400000,- -,- -,- -,- -,- -,- -,414000000,973000000,992000000,948000000,2259000000,1986000000,3913000000,3430000000,2918000000,2105000000
41,Intangible Assets,2300000,7200000,13000000,12600000,12300000,21500000,23700000,- -,- -,- -,92400000,122100000,125100000,942100000,961700000,1175400000,1544100000,2332300000,4938800000,5097400000,4992400000,5860900000,6225900000,6095900000,2253200000,4259000000,4392000000,5574000000,5870000000,6018000000,9426000000,9207000000,12229000000,11808000000,11275000000,10094000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,694000000,755000000,821000000,917000000,929800000,691500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,4700000,6600000,3400000,3400000,6500000,8700000,10700000,38900000,- -,71900000,195400000,206000000,275900000,659800000,805700000,912400000,1092900000,850000000,1008400000,341100000,266000000,280400000,383900000,421100000,657800000,758800000,807000000,986000000,765000000,866000000,944000000,681000000,682000000,1052000000,1185000000,951000000
45,Total Non-Current Assets,21300000,36600000,28600000,33700000,37900000,61200000,73400000,77900000,- -,167100000,441300000,604800000,732400000,3142400000,3394300000,3926100000,4531400000,5271800000,8311200000,8616500000,8597400000,8609300000,9264000000,9319800000,5071300000,6530000000,6750000000,8049000000,8094000000,8390000000,12166000000,11767000000,15398000000,15216000000,14826000000,13405000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,137600000,177000000,190500000,232700000,251200000,446400000,576600000,656500000,- -,1841800000,2681100000,3108500000,3961100000,8289000000,10264900000,14642400000,16438000000,18521400000,21369100000,22059200000,23374100000,23153800000,23448200000,25118800000,19990200000,22845900000,24260000000,25819000000,26033000000,30142000000,34122000000,40112000000,39951000000,40963000000,40766000000,44453000000
48,Accounts Payable,- -,- -,- -,- -,63800000,91700000,133000000,168400000,- -,950000000,1126100000,1136000000,1622400000,2360800000,3030900000,5319900000,5504500000,5288400000,6432400000,7618400000,9009300000,9162200000,8311800000,9138000000,9494900000,11331500000,11726000000,12295000000,12149000000,14368000000,17306000000,17906000000,19677000000,21535000000,21374000000,23700000000
49,Short-Term Debt,12200000,28100000,33400000,53500000,42800000,48100000,3700000,3100000,- -,5100000,106000000,28300000,30700000,40200000,28400000,5900000,17400000,228700000,860600000,307900000,229200000,16000000,159000000,367300000,233200000,326700000,476000000,168000000,801000000,281000000,587000000,1327000000,1001000000,452000000,10000000,871000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,34100000,44100000,52400000,61600000,14200000,23200000,31800000,42600000,- -,118300000,153600000,244500000,191000000,558000000,1202200000,1249000000,1288500000,1797300000,2076400000,2178700000,2134300000,2281500000,1905100000,1894500000,1809500000,1711300000,1972000000,2127000000,2165000000,2594000000,1808000000,1988000000,2215000000,2122000000,2231000000,3053000000
53,Total Current Liabilities,46300000,72200000,85800000,115100000,120800000,163000000,168500000,214100000,- -,1073400000,1385700000,1408800000,1844100000,2959000000,4261500000,6574800000,6810400000,7314400000,9369400000,10105000000,11372800000,11459700000,10375900000,11399800000,11537600000,13369500000,14174000000,14590000000,15115000000,17243000000,19701000000,21221000000,22893000000,24109000000,23615000000,27624000000
54,Long-Term Debt,46200000,55500000,50300000,49800000,4700000,89600000,188100000,185300000,- -,209300000,265100000,277800000,272600000,1223900000,1485800000,1871000000,2207000000,2471900000,2834700000,2319900000,2599700000,3457300000,3687400000,3280000000,1896100000,2175300000,2418000000,3686000000,3171000000,5211000000,4952000000,9068000000,8012000000,7579000000,6765000000,5365000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,800000,1200000,300000,- -,800000,500000,700000,1400000,- -,- -,99600000,89800000,219200000,643100000,536400000,759500000,1027600000,977000000,1188700000,1041300000,910900000,859900000,1637400000,1714300000,1280400000,1452500000,1424000000,1568000000,1346000000,1432000000,2781000000,2877000000,2975000000,2945000000,8594000000,9670000000
57,Other Non-Current Liabilities,2800000,1400000,100000,-100000,- -,-100000,- -,100000,- -,10900000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117000000,118000000,12000000,- -,- -,- -
58,Total Non-Current Liabilities,49800000,58100000,50700000,49700000,5500000,90000000,188800000,186800000,- -,220200000,364700000,367500000,491800000,1867000000,2022200000,2630500000,3234600000,3448900000,4023400000,3361200000,3510600000,4317200000,5324800000,4994300000,3176500000,3627800000,3842000000,5254000000,4517000000,6643000000,7850000000,12063000000,10999000000,10524000000,15359000000,15035000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,96100000,130300000,136500000,164800000,126300000,253000000,357300000,400900000,- -,1293600000,1750400000,1776300000,2335900000,4826000000,6283700000,9205300000,10045000000,10763300000,13392800000,13466200000,14883400000,15776900000,15700700000,16394100000,14714100000,16997300000,18016000000,19844000000,19632000000,23886000000,27551000000,33284000000,33892000000,34633000000,38974000000,42659000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1090000000,1227900000,1893100000,2105200000,2403700000,2653800000,2765500000,3195500000,- -,- -,- -,- -,- -,2930000000,2953000000,2980000000,3003000000,3010000000,2697000000,2730000000,2763000000,2789000000,2806000000
64,Retained Earnings,2400000,7500000,5300000,9200000,21300000,37700000,61500000,93600000,- -,209800000,455700000,699400000,928200000,2439100000,3173400000,4146000000,5156100000,6517300000,7888000000,8874200000,9760500000,11539900000,5016200000,5953900000,2647200000,3331400000,4093000000,4038000000,4774000000,5521000000,6419000000,4967000000,4645000000,5434000000,1170000000,1205000000
65,Other Comprehensive Income/Loss,-4800000,-6900000,-5300000,-7100000,-9200000,-12800000,-17100000,-22000000,- -,-82100000,-112100000,-199900000,-217000000,-1207800000,-1310900000,-1507600000,-1614900000,-27100000,22600000,-3100000,33900000,121000000,210800000,82200000,70000000,76700000,37000000,68000000,70000000,-23000000,-116000000,-125000000,-92000000,-79000000,-104000000,-34000000
66,Other Total Stockholders Equity,43900000,46100000,54000000,65800000,112800000,168500000,174900000,184000000,- -,420500000,587100000,832700000,914000000,1141700000,890800000,905600000,746600000,-1135800000,-2588100000,-3043600000,-4499200000,- -,2520300000,2688800000,2558900000,2440200000,-816000000,-1084000000,-1423000000,-2245000000,-2759000000,-731000000,-1224000000,-1790000000,-2066000000,-2186000000
67,Total Stockholders Equity,41500000,46700000,54000000,67900000,124900000,193400000,219300000,255600000,- -,548200000,930700000,1332200000,1625200000,3463000000,3981200000,5437100000,6393000000,7758100000,7976300000,8593000000,8490700000,7376900000,7747500000,8724700000,5276100000,5848600000,6244000000,5975000000,6401000000,6256000000,6554000000,6808000000,6059000000,6328000000,1789000000,1791000000
68,Total Liabilities And Stockholders Equity,137600000,177000000,190500000,232700000,251200000,446400000,576600000,656500000,- -,1841800000,2681100000,3108500000,3961100000,8289000000,10264900000,14642400000,16438000000,18521400000,21369100000,22059200000,23374100000,23153800000,23448200000,25118800000,19990200000,22845900000,24260000000,25819000000,26033000000,30142000000,34105000000,40092000000,39951000000,40961000000,40763000000,44450000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,20000000,- -,2000000,3000000,3000000
70,Total Liabilities & Equity,137600000,177000000,190500000,232700000,251200000,446400000,576600000,656500000,- -,1841800000,2681100000,3108500000,3961100000,8289000000,10264900000,14642400000,16438000000,18521400000,21369100000,22059200000,23374100000,23153800000,23448200000,25118800000,19990200000,22845900000,24260000000,25819000000,26033000000,30142000000,34122000000,40112000000,39951000000,40963000000,40766000000,44453000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/721371/000095015295002183/0000950152-95-002183-index.html,https://www.sec.gov/Archives/edgar/data/721371/000095015296004334/0000950152-96-004334-index.html,https://www.sec.gov/Archives/edgar/data/721371/000095015297006910/0000950152-97-006910-index.html,- -,https://www.sec.gov/Archives/edgar/data/721371/000095015299007328/0000950152-99-007328-index.html,https://www.sec.gov/Archives/edgar/data/721371/000095015200006483/0000950152-00-006483-index.html,- -,https://www.sec.gov/Archives/edgar/data/721371/000095015202007264/0000950152-02-007264-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/721371/000119312506184453/d10k.htm,https://www.sec.gov/Archives/edgar/data/721371/000095015207007107/0000950152-07-007107-index.html,https://www.sec.gov/Archives/edgar/data/721371/000119312508184519/0001193125-08-184519-index.html,https://www.sec.gov/Archives/edgar/data/721371/000119312509182992/0001193125-09-182992-index.html,https://www.sec.gov/Archives/edgar/data/721371/000119312510198300/0001193125-10-198300-index.html,https://www.sec.gov/Archives/edgar/data/721371/000119312511233322/0001193125-11-233322-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137112000069/0000721371-12-000069-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137113000154/0000721371-13-000154-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137114000181/0000721371-14-000181-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137115000107/0000721371-15-000107-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137116000277/a16q4_10kx63016xform10-k.htm,https://www.sec.gov/Archives/edgar/data/721371/000072137117000083/0000721371-17-000083-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137118000077/0000721371-18-000077-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137119000090/0000721371-19-000090-index.html,https://www.sec.gov/Archives/edgar/data/721371/000072137120000089/0000721371-20-000089-index.htm,https://www.sec.gov/Archives/edgar/data/721371/000072137121000080/0000721371-21-000080-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,12800000,17400000,25200000,33600000,35100000,85000000,111900000,181100000,247100000,456300000,679700000,857400000,1056200000,1405800000,1474500000,1050700000,1000100000,1931100000,1300600000,1151600000,642200000,959000000,1069000000,334000000,1166000000,1215000000,1427000000,1288000000,256000000,1363000000,-3696000000,611000000
74,Depreciation and Amortization,- -,- -,- -,- -,3100000,4600000,5600000,7200000,17000000,21200000,32500000,51300000,64300000,233500000,245900000,280600000,243500000,265800000,299200000,409700000,392700000,322100000,381300000,399400000,254400000,313300000,325000000,397000000,459000000,451000000,641000000,717000000,1032000000,1000000000,913000000,783000000
75,Deferred Income Tax,- -,- -,- -,- -,4100000,- -,2800000,-6600000,-11400000,24300000,20500000,15900000,95500000,132400000,127600000,149100000,239700000,215200000,105100000,53200000,31600000,11700000,26900000,69500000,120200000,128000000,158000000,21000000,26000000,219000000,87000000,291000000,-1012000000,-83000000,-961000000,496000000
