,https://roic.ai/company/ARL,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,-57982000,-121469000,59712000,-16200000,-35921000,-1215213000,1204475000,-21440000,-233657000,43931000,76381000,-14563000,-232502000,-218578000,-125105000,-54014000,10489000,-99681000,-445335000,-58989000,-42651000,405480000
83,Cash Provided by Operating Activities,- -,-54642000,-48611000,-52693000,-15755000,-40749000,-8971000,-21053000,-23511000,24140000,-25849000,-9627000,23553000,-23111000,-42162000,-37968000,-34509000,17446000,-37345000,-172332000,-40641000,3498000,-11523000
84,CAPEX,- -,-16969000,-21585000,-38564000,-93602000,-228445000,-231164000,-182363000,-362758000,-286694000,-67047000,-62896000,-54503000,-16984000,-9316000,-95665000,-239143000,-112206000,-115177000,- -,- -,- -,- -
85,Acquisitions Net,- -,-25672000,-400000,- -,-15313000,-57877000,-170333000,- -,- -,- -,- -,- -,-195000,2170000,5519000,-833000,3750000,5299000,-267000,236752000,- -,- -,- -
86,Purchases of Investments,- -,- -,-39505000,-3976000,-1640000,- -,- -,- -,-960000,-3246000,- -,-1267000,-9000,- -,- -,-544000,- -,- -,- -,- -,- -,- -,-16000000
87,Sales/Maturities of Investments,- -,- -,4995000,8707000,29801000,11626000,6361000,12368000,8186000,10382000,27515000,21705000,19202000,132000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,170298000,120252000,109789000,199848000,328962000,351219000,52396000,131048000,197383000,69610000,232467000,329731000,88322000,255574000,135527000,105045000,45807000,25416000,-89127000,-3705000,4196000,116822000
89,Cash Used for Investing Activites,- -,127657000,63757000,75956000,119094000,54266000,-43917000,-117599000,-224484000,-63513000,46853000,198074000,301412000,73824000,251777000,38485000,-130348000,-61100000,-90028000,147625000,-3705000,4196000,100822000
90,Debt Repayment,- -,-197849000,-171531000,-153507000,-285307000,-380579000,-180560000,-107774000,-240209000,-182266000,-61505000,-252923000,-472232000,-190793000,-409173000,-185737000,-222217000,-196011000,-86091000,-124616000,-74718000,-33415000,- -
91,Common Stock Issued,- -,500000,- -,24000,- -,- -,- -,- -,- -,6710000,- -,- -,30000,- -,- -,7219000,2308000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-746000,-133000,-24000,-14000,-5232000,-1375000,-15000,- -,- -,- -,-379000,-61000,- -,- -,- -,- -,- -,- -,-9000000,- -,- -,- -
93,Dividends Paid,- -,-2327000,-2467000,-2401000,-2351000,-1566000,-1012000,-849000,- -,- -,- -,- -,-2456000,-2452000,-2452000,-2043000,-1216000,-1101000,-1105000,-901000,- -,- -,- -
94,Other Financing Activites,- -,129105000,155517000,140368000,185444000,386718000,227338000,233371000,492729000,209411000,39346000,72617000,157417000,139361000,205048000,175906000,388915000,243056000,239967000,177301000,95760000,29430000,-103585000
95,Cash Used/Provided by Financing Activities,- -,-71317000,-18614000,-15540000,-102228000,-659000,44391000,124733000,252520000,33855000,-22159000,-180685000,-317302000,-53884000,-206577000,-4655000,167790000,45944000,152771000,42784000,21042000,-3985000,-103585000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,1698000,-3468000,7723000,1111000,12858000,-8497000,-6869000,4525000,-5518000,-1155000,7762000,7663000,-3171000,3038000,-4138000,2933000,2290000,25398000,18077000,-23304000,3709000,-14286000
98,Cash at the End of Period,- -,4177000,709000,8432000,9543000,22401000,13904000,7035000,11560000,6042000,4887000,12649000,20312000,17141000,16437000,12299000,15232000,17522000,42920000,106615000,83311000,87020000,72734000
99,Cash at the Beginning of Period,- -,2479000,4177000,709000,8432000,9543000,22401000,13904000,7035000,11560000,6042000,4887000,12649000,20312000,13399000,16437000,12299000,15232000,17522000,88538000,106615000,83311000,87020000
100,Free Cash Flow,- -,-71611000,-70196000,-91257000,-109357000,-269194000,-240135000,-203416000,-386269000,-262554000,-92896000,-72523000,-30950000,-23111000,-42162000,-37968000,-34509000,17446000,-37345000,-172332000,-40641000,3498000,-11523000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1102238/000119312504063930/d10k.htm,https://www.sec.gov/Archives/edgar/data/1102238/000119312505067232/0001193125-05-067232-index.html,https://www.sec.gov/Archives/edgar/data/1102238/000119312506070271/0001193125-06-070271-index.html,https://www.sec.gov/Archives/edgar/data/1102238/000119312507072112/0001193125-07-072112-index.html,https://www.sec.gov/Archives/edgar/data/1102238/000119312508070818/d10k.htm,https://www.sec.gov/Archives/edgar/data/1102238/000119312509068878/0001193125-09-068878-index.html,https://www.sec.gov/Archives/edgar/data/1102238/000119312510073296/0001193125-10-073296-index.html,https://www.sec.gov/Archives/edgar/data/1102238/000119312511084825/d10k.htm,https://www.sec.gov/Archives/edgar/data/1102238/000119312512149436/d279082d10k.htm,https://www.sec.gov/Archives/edgar/data/1102238/000101054913000237/ari10k123112.htm,https://www.sec.gov/Archives/edgar/data/1102238/000101054914000141/ari10k123113.htm,https://www.sec.gov/Archives/edgar/data/1102238/000101054915000092/ari10k123114.htm,https://www.sec.gov/Archives/edgar/data/1102238/000138713116004813/0001387131-16-004813-index.html,https://www.sec.gov/Archives/edgar/data/1102238/000138713117001817/0001387131-17-001817-index.html,https://www.sec.gov/Archives/edgar/data/1102238/000138713118001363/0001387131-18-001363-index.html,https://www.sec.gov/Archives/edgar/data/1102238/000138713119002392/0001387131-19-002392-index.html,https://www.sec.gov/Archives/edgar/data/1102238/000138713120003381/0001387131-20-003381-index.html,https://www.sec.gov/Archives/edgar/data/1102238/000110223821000003/0001102238-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1102238/000110223822000004/0001102238-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
