,https://roic.ai/company/RAMP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,12700000,16100000,42800000,49400000,67500000,80600000,89400000,84800000,104200000,136400000,179300000,238200000,350300000,405700000,733300000,800576000,908262000,884829000,903147000,917538000,1100850000,1188520000,1236366000,1320776000,1183712000,1000422000,1049372000,1014620000,993746000,998415000,996049000,844309000,855999000,900411000,463833000,557156000,560859000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32596000,22480000,23823000,17448000,12694000,11671000,10050000,7669000,7381000,10131000,- -,- -,- -
14,Depreciation and Amortization,1200000,1800000,3000000,3800000,4900000,6200000,8100000,9100000,16100000,19400000,19600000,21600000,33200000,40700000,63900000,86529000,120793000,123394000,154902000,150241000,195120000,231137000,229566000,272792000,198684000,167564000,146355000,134662000,116208000,103006000,118834000,85463000,82690000,86371000,33782000,35901000,27741000
15,EBITDA,2700000,4600000,7800000,9600000,10900000,14800000,14100000,12300000,26200000,32800000,39700000,51000000,77200000,97200000,49500000,231106000,154637000,71597000,182990000,217534000,301321000,335481000,347637000,263031000,293494000,267192000,181108000,258502000,219567000,153167000,115021000,88203000,98713000,97211000,1016920000,-128886000,-93059000
16,EBITDA ratio,0.1888,0.2383,0.1605,0.1699,0.1467,0.1650,0.1443,0.1353,0.2263,0.2162,0.1961,0.1890,0.1920,0.2090,0.0678,0.2396,0.1531,0.0827,0.1910,0.2152,0.2464,0.2518,0.2492,0.1900,0.2299,0.2431,0.1561,0.2286,0.1997,0.1396,0.1128,0.1038,0.1121,0.1060,3.5604,-0.3387,-0.2101
17,Operating Income,1600000,3200000,5800000,7100000,6800000,9100000,8300000,6100000,11600000,15300000,23100000,31700000,51700000,59400000,-3300000,163884000,101625000,-18719000,55075000,93284000,122192000,131083000,158770000,40246000,92861000,98813000,30924000,85563000,102719000,48284000,-604000,-13063000,15689000,10599000,-198146000,-180922000,-120548000
18,Operating Income ratio,0.1119,0.1658,0.1193,0.1257,0.0915,0.1014,0.0850,0.0671,0.1002,0.1009,0.1141,0.1175,0.1286,0.1277,-0.0045,0.1699,0.1006,-0.0216,0.0575,0.0923,0.0999,0.0984,0.1138,0.0291,0.0727,0.0899,0.0267,0.0757,0.0934,0.0440,-0.0006,-0.0154,0.0178,0.0116,-0.6937,-0.4754,-0.2721
19,Total Other Income Expenses (Gains),-100000,-400000,-1000000,-1300000,-800000,-500000,-2300000,-2900000,-1500000,-1900000,-3000000,-2300000,-7700000,-2900000,-11100000,-19307000,-30293000,69245000,-26987000,-25991000,-15991000,-26739000,-40696000,-50007000,-30647000,-22055000,-25289000,-18817000,-12542000,-9854000,-11375000,-7217000,-7047000,-9890000,18790000,15385000,-252000
20,Income Before Tax,1500000,2800000,4800000,5800000,6000000,8600000,6000000,3200000,10100000,13400000,20100000,29400000,44000000,56500000,-14400000,144577000,71332000,50526000,28088000,67293000,106201000,104344000,118074000,-9761000,62214000,76758000,5635000,66746000,90177000,38430000,-11979000,-20280000,8642000,709000,-179356000,-165537000,-120800000
21,Income Before Tax Ratio,0.1049,0.1451,0.0988,0.1027,0.0808,0.0959,0.0614,0.0352,0.0872,0.0883,0.0993,0.1089,0.1095,0.1215,-0.0197,0.1499,0.0706,0.0583,0.0293,0.0666,0.0868,0.0783,0.0846,-0.0071,0.0487,0.0698,0.0049,0.0590,0.0820,0.0350,-0.0117,-0.0239,0.0098,0.0008,-0.6280,-0.4350,-0.2727
22,Income Tax expense (Gain),300000,1000000,2300000,2300000,2000000,2900000,2200000,1100000,3900000,5000000,7700000,11200000,16500000,20900000,2000000,54214000,27465000,-19833000,6321000,8949000,36483000,40216000,47331000,-1981000,24710000,32599000,34077000,29129000,33058000,29627000,-2832000,-11632000,4534000,-22771000,-45409000,-40276000,-30532000
23,Net Income,1200000,1800000,2500000,3500000,4000000,5700000,3800000,2100000,6200000,8400000,12400000,18200000,27500000,35600000,-16400000,90363000,6379000,-31964000,21767000,58344000,69718000,64128000,70740000,-7780000,37504000,44549000,-23147000,77263000,57607000,8863000,-11031000,6703000,4108000,23480000,1028547000,-124511000,-90268000
24,Net Income ratio,0.0839,0.0933,0.0514,0.0619,0.0538,0.0635,0.0389,0.0231,0.0535,0.0554,0.0613,0.0674,0.0684,0.0765,-0.0225,0.0937,0.0063,-0.0369,0.0227,0.0577,0.0570,0.0481,0.0507,-0.0056,0.0294,0.0405,-0.0200,0.0683,0.0524,0.0081,-0.0108,0.0079,0.0047,0.0256,3.6011,-0.3272,-0.2038
25,EPS,0.05,0.07,0.08,0.11,0.11,0.15,0.10,0.06,0.15,0.20,0.27,0.35,0.47,0.68,-0.22,1.06,0.07,-0.36,0.25,0.68,0.80,0.73,0.86,-0.10,0.48,0.56,-0.36,0.90,0.77,0.12,-0.14,0.09,0.05,0.30,13.71,-1.84,-1.36
26,EPS Diluted,0.05,0.07,0.08,0.11,0.11,0.15,0.10,0.06,0.15,0.19,0.27,0.35,0.47,0.60,-0.22,1.00,0.07,-0.36,0.24,0.64,0.74,0.71,0.84,-0.10,0.48,0.55,-0.36,0.89,0.75,0.12,-0.14,0.09,0.05,0.29,13.71,-1.84,-1.36
27,Weighted Average Shares Outstanding,24000000,25714286,31250000,31818182,36363636,38000000,38000000,35000000,41333333,42000000,45886000,52078000,58510638,52352941,74545455,85248113,91128571,88788889,87068000,85800000,87147500,87846575,82255814,77800000,77892000,78974000,80111000,79483000,74814000,74690000,77106000,77616000,77609000,78891000,75020000,67760000,66304000
28,Weighted Average Shares Outstanding Diluted,24000000,25714286,31250000,31818182,36363636,38000000,38000000,35000000,41333333,44210526,45886000,52078000,59011000,59333333,74545455,90363000,91128571,88788889,90695833,91162500,94213514,90321127,84214286,77800000,77892000,79725000,80111000,79483000,76497000,76954000,77106000,77616000,79848000,81516000,75020000,67760000,66304000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/733269/000090451195000007/0000904511-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/733269/000073326996000003/0000733269-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/733269/000073326997000006/0000733269-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/733269/000073326998000006/0000733269-98-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/733269/000073326900000012/0000733269-00-000012-index.html,https://www.sec.gov/Archives/edgar/data/733269/000073326901500016/0000733269-01-500016-index.html,https://www.sec.gov/Archives/edgar/data/733269/000073326902000004/0000733269-02-000004-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/733269/000073326906000021/0000733269-06-000021-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326907000023/0000733269-07-000023-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000116923208002230/0001169232-08-002230-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326909000013/0000733269-09-000013-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326910000065/0000733269-10-000065-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326911000016/0000733269-11-000016-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326912000015/0000733269-12-000015-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326913000012/0000733269-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326914000018/0000733269-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326915000018/0000733269-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326916000060/0000733269-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326917000039/0000733269-17-000039-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326918000016/0000733269-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326919000022/0000733269-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326920000028/0000733269-20-000028-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326921000017/0000733269-21-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1700000,1600000,2200000,1300000,2700000,1300000,1900000,5700000,1500000,500000,3100000,3500000,2700000,5700000,9600000,23924000,14176000,5676000,5491000,14355000,4185000,7705000,37776000,62661000,177166000,224104000,207023000,229648000,222974000,418586000,141010000,189629000,170343000,142279000,1061473000,717811000,572787000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7500000
33,Cash and Short-Term Investments,1700000,1600000,2200000,1300000,2700000,1300000,1900000,5700000,1500000,500000,3100000,3500000,2700000,5700000,9600000,23924000,14176000,5676000,5491000,14355000,4185000,7705000,37776000,62661000,177166000,224104000,207023000,229648000,222974000,418586000,141010000,189629000,170343000,142279000,1061473000,717811000,580287000
34,Net Receivables,3200000,3900000,12600000,12900000,18300000,22800000,22600000,19500000,27800000,28200000,37800000,44500000,70600000,86400000,180800000,198818000,196107000,185579000,189704000,212387000,250653000,271008000,311843000,225050000,192372000,170617000,186203000,169446000,165691000,178704000,167878000,148484000,153866000,176921000,106575000,139407000,189899000
35,Inventory,300000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,500000,300000,1700000,1700000,3600000,3400000,4500000,4000000,6700000,7200000,2600000,6000000,11200000,22500000,102700000,117304000,142164000,168970000,93920000,59584000,78794000,60140000,63257000,97348000,89535000,63984000,66024000,72911000,72431000,68235000,105166000,37897000,44310000,41145000,24028000,39175000,55529000
37,Total Current Assets,5700000,6000000,16500000,15900000,24600000,27500000,29000000,29200000,36000000,35900000,43500000,54000000,84500000,114600000,293100000,340046000,352447000,360225000,289115000,286326000,333632000,338853000,412876000,385059000,459073000,458705000,459250000,472005000,461096000,665525000,414054000,376010000,368519000,360345000,1192076000,896393000,825715000
38,PP&E,8500000,12700000,23400000,27200000,31700000,43400000,44300000,43300000,58100000,59700000,67400000,89100000,116200000,130600000,224800000,249676000,245340000,181775000,208306000,267088000,323386000,333771000,312292000,266269000,214589000,236839000,255307000,253373000,230752000,216906000,220590000,183043000,155974000,156533000,26043000,37151000,23688000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9600000,14000000,38300000,54000000,122500000,145082000,172741000,174655000,- -,- -,- -,472401000,522046000,484796000,454944000,470261000,417654000,382285000,381129000,358384000,568870000,492745000,592731000,595995000,204656000,297796000,357446000
40,Intangible Assets,- -,- -,4000000,4400000,4300000,3700000,3800000,3600000,2900000,2700000,- -,- -,- -,- -,- -,- -,- -,169854000,382616000,282971000,354182000,201027000,246760000,182832000,129718000,99922000,71891000,40030000,48639000,58290000,105357000,85054000,99494000,76609000,31078000,46089000,39730000
41,Intangible Assets,- -,- -,4000000,4400000,4300000,3700000,3800000,3600000,2900000,2700000,9600000,14000000,38300000,54000000,122500000,145082000,172741000,344509000,382616000,282971000,354182000,673428000,768806000,667628000,584662000,570183000,489545000,422315000,429768000,416674000,674227000,577799000,692225000,672604000,235734000,343885000,397176000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31317000,21931000,17627000,- -,- -,- -,- -,- -,- -,- -,- -,- -,5700000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7099000,- -,- -,6885000,10261000,12225000,35000,852000,663000
44,Other Non-Current Assets,1900000,1200000,1700000,2000000,1900000,6400000,13300000,10600000,15800000,25100000,27700000,36900000,60700000,95100000,238900000,370492000,462197000,270325000,213209000,379399000,388679000,194446000,161930000,152899000,77702000,75762000,84896000,79158000,58991000,24196000,13553000,6112000,7559000,7546000,19023000,23608000,35379000
45,Total Non-Current Assets,10400000,13900000,29100000,33600000,37900000,53500000,61400000,57500000,76800000,87500000,104700000,140000000,215200000,279700000,586200000,765250000,880278000,796609000,804131000,929458000,1066247000,1201645000,1243028000,1086796000,908270000,904715000,847375000,754846000,726610000,657776000,908370000,773839000,866019000,848908000,280835000,405496000,462606000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,16100000,19900000,45600000,49500000,62500000,81000000,90400000,86700000,112800000,123400000,148200000,194000000,299700000,394300000,879300000,1105296000,1232725000,1156834000,1093246000,1215784000,1399879000,1540498000,1655904000,1471855000,1367343000,1363420000,1306625000,1226851000,1187706000,1323301000,1322424000,1149849000,1234538000,1209253000,1472911000,1301889000,1288321000
48,Accounts Payable,- -,- -,- -,- -,- -,6000000,3300000,2500000,4700000,3000000,8300000,13600000,15300000,18400000,59200000,54016000,68882000,29472000,28760000,41527000,63295000,44144000,54808000,45749000,27701000,42774000,27507000,31030000,35786000,36183000,38951000,37717000,40208000,46688000,31203000,42204000,39955000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,4500000,4100000,4000000,23400000,23156000,31031000,23274000,29491000,73245000,83005000,93518000,106921000,69259000,40967000,42106000,27978000,26336000,16105000,28567000,32885000,32243000,39819000,1583000,- -,- -,9608000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11200000,6800000,19995000,31273000,61114000,59907000,91060000,115892000,123916000,113318000,64116000,54991000,55567000,55921000,59949000,41388000,47744000,37278000,44477000,37087000,31720000,4284000,6581000,11603000
52,Other Current Liabilities,2800000,4500000,11600000,10600000,13300000,9300000,10400000,10000000,10200000,9900000,13100000,13100000,16700000,34700000,76600000,82841000,83134000,63810000,53507000,90271000,102070000,118412000,112741000,160502000,130895000,114609000,118088000,148301000,131297000,136975000,138901000,109563000,113099000,98364000,59631000,112597000,104083000
53,Total Current Liabilities,2800000,4500000,11600000,10600000,13300000,15300000,13700000,12500000,14900000,12900000,25000000,31200000,36100000,68300000,166000000,180008000,214320000,177670000,171665000,296103000,364262000,379990000,387788000,339626000,254554000,255056000,229494000,265616000,224576000,249469000,248015000,224000000,230213000,178355000,95118000,161382000,165249000
54,Long-Term Debt,4400000,4100000,13500000,14600000,13300000,22900000,28600000,23000000,33200000,35000000,18200000,26900000,87100000,99900000,325200000,289234000,369172000,396850000,289677000,239327000,104210000,353692000,631184000,575308000,537272000,458629000,394260000,251886000,237400000,289043000,254539000,157897000,189241000,227837000,- -,- -,4158000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,400000,700000,1500000,1100000,1700000,2100000,3500000,3200000,5000000,5700000,7100000,10900000,17300000,26000000,38900000,48324000,32785000,71383000,69348000,39008000,79079000,77916000,97926000,51429000,58526000,61284000,84360000,93039000,94918000,90226000,103391000,53964000,58374000,40243000,39000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,1600000,1100000,1500000,200000,600000,7500000,7900000,700000,2300000,3100000,- -,- -,- -,- -,- -,- -,54130000,37494000,22723000,17695000,4980000,9321000,9954000,7478000,4455000,11444000,11706000,13222000,15020000,17730000,13723000,46922000,52995000,38231000
58,Total Non-Current Liabilities,4800000,4800000,15000000,17300000,16100000,26500000,32300000,26800000,45700000,48600000,26000000,40100000,107500000,125900000,364100000,337558000,401957000,468233000,359025000,332465000,220783000,454331000,746805000,631717000,605119000,529867000,486098000,349380000,343762000,390975000,371152000,226881000,265345000,281803000,46961000,52995000,42389000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9641000,13766000
61,Total Liabilities,7600000,9300000,26600000,27900000,29400000,41800000,46000000,39300000,60600000,61500000,51000000,71300000,143600000,194200000,530100000,517566000,616277000,645903000,530690000,628568000,585045000,834321000,1134593000,971343000,859673000,784923000,715592000,614996000,568338000,640444000,619167000,450881000,495558000,460158000,142079000,214377000,207638000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,2400000,5300000,5300000,7900000,8831000,9055000,8734000,9015000,9226000,10440000,10946000,11145000,11428000,11576000,11662000,11777000,12003000,12134000,12584000,12794000,13039000,13288000,13609000,14187000,14394000,14781000
64,Retained Earnings,3600000,5400000,8800000,10700000,14900000,20600000,24400000,26600000,30600000,38600000,50800000,69000000,91700000,127300000,159500000,257376000,263755000,231791000,253558000,308487000,363556000,410278000,462844000,413758000,441950000,482243000,459096000,536359000,593966000,602829000,591798000,598501000,602609000,628331000,1669605000,1545094000,1454826000
65,Other Comprehensive Income/Loss,-3200000,-4900000,-12300000,-13500000,-17400000,-21500000,-26600000,-33900000,-42900000,-43100000,-55900000,-64100000,-83100000,-103900000,-114700000,-132266000,-182904000,-149402000,-180862000,-253976000,13000000,2000000,18000000,34000000,-6000000,4000000,16000000,14000000,11000000,14000000,9000000,9000000,8000000,11000000,8000000,6000000,7522000
66,Other Total Stockholders Equity,8100000,10100000,22500000,24400000,35600000,40100000,46600000,54700000,64500000,66400000,100000000,115400000,142200000,171400000,296500000,453789000,526542000,419808000,480845000,523479000,427838000,282953000,29322000,41326000,60144000,76495000,98305000,49385000,2648000,53444000,89665000,78428000,115083000,96155000,-360960000,-477976000,-396446000
67,Total Stockholders Equity,8500000,10600000,19000000,21600000,33100000,39200000,44400000,47400000,52200000,61900000,97200000,122700000,156100000,200100000,349200000,587730000,616448000,510931000,562556000,587216000,814834000,706177000,521311000,500512000,507670000,574400000,585178000,611747000,619748000,682857000,703257000,698968000,738980000,749095000,1330832000,1087512000,1080683000
68,Total Liabilities And Stockholders Equity,16100000,19900000,45600000,49500000,62500000,81000000,90400000,86700000,112800000,123400000,148200000,194000000,299700000,394300000,879300000,1105296000,1232725000,1156834000,1093246000,1215784000,1399879000,1540498000,1655904000,1471855000,1367343000,1359323000,1300770000,1226743000,1188086000,1323301000,1322424000,1149849000,1234538000,1209253000,1472911000,1301889000,1288321000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4097000,5855000,108000,-380000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,16100000,19900000,45600000,49500000,62500000,81000000,90400000,86700000,112800000,123400000,148200000,194000000,299700000,394300000,879300000,1105296000,1232725000,1156834000,1093246000,1215784000,1399879000,1540498000,1655904000,1471855000,1367343000,1363420000,1306625000,1226851000,1187706000,1323301000,1322424000,1149849000,1234538000,1209253000,1472911000,1301889000,1288321000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/733269/000090451195000007/0000904511-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/733269/000073326996000003/0000733269-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/733269/000073326997000006/0000733269-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/733269/000073326998000006/0000733269-98-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/733269/000073326900000012/0000733269-00-000012-index.html,https://www.sec.gov/Archives/edgar/data/733269/000073326901500016/0000733269-01-500016-index.html,https://www.sec.gov/Archives/edgar/data/733269/000073326902000004/0000733269-02-000004-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/733269/000073326906000021/0000733269-06-000021-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326907000023/0000733269-07-000023-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000116923208002230/0001169232-08-002230-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326909000013/0000733269-09-000013-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326910000065/0000733269-10-000065-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326911000016/0000733269-11-000016-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326912000015/0000733269-12-000015-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326913000012/0000733269-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326914000018/0000733269-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326915000018/0000733269-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326916000060/0000733269-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326917000039/0000733269-17-000039-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326918000016/0000733269-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326919000022/0000733269-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326920000028/0000733269-20-000028-index.htm,https://www.sec.gov/Archives/edgar/data/733269/000073326921000017/0000733269-21-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,5700000,3800000,2100000,6200000,8400000,12400000,18200000,27500000,35600000,-16400000,90363000,6379000,-31964000,21767000,58344000,69718000,64128000,70740000,-7780000,37504000,44549000,-23147000,77263000,57607000,8863000,-11031000,6703000,4108000,23480000,1028547000,-124511000,-90268000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,6200000,8100000,9100000,16100000,19400000,19600000,21600000,33200000,40700000,63900000,86529000,120793000,123394000,154902000,150241000,195120000,231137000,229566000,272792000,198684000,167564000,146355000,134662000,116208000,103006000,118834000,85463000,82690000,86371000,33782000,35901000,27741000
75,Deferred Income Tax,- -,- -,- -,- -,- -,200000,1800000,-300000,1200000,1500000,300000,3400000,5800000,8900000,-23900000,21646000,-11770000,26832000,7020000,6895000,34165000,18893000,16127000,-2135000,16423000,32810000,18579000,2228000,-3578000,2097000,-9689000,-11664000,-8818000,-16974000,9894000,-6878000,-1418000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10342000,10790000,13097000,8970000,12002000,13925000,28886000,31463000,49145000,63234000,102722000,89447000,111707000
77,Change in Working Capital,- -,- -,- -,- -,- -,-1400000,3100000,1400000,4400000,1900000,-4500000,4300000,25600000,-2100000,80800000,32938000,-21911000,44428000,-65105000,-127227000,-20853000,-10507000,66225000,20345000,159086000,-870000,26107000,-23367000,30131000,179536000,-250017000,-14029000,-13704000,43684000,914968000,-361947000,-74545000
