,https://roic.ai/company/TCI,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,-40100000,-25600000,-19800000,-18600000,-23900000,-31500000,36512000,43143000,56499000,65578000,76602000,92892000,78061000,80562000,71018000,73603000,84036000,94006000,113238000,123744000,135741000,179664000,145645000,103262000,97870000,88348000,75087000,92919000,100824000,105128000,104834000,55706000,57050000,- -
12,Interest Income ,- -,- -,6700000,5500000,- -,- -,- -,1502000,- -,- -,- -,- -,2370000,2948000,4131000,6683000,3683000,3671000,2698000,2257000,3011000,5407000,5187000,5720000,11725000,13790000,12194000,10687000,14670000,13862000,15793000,19607000,18660000,- -
13,Interest Expense (Gain),10500000,11100000,6800000,5200000,6700000,8700000,10642000,- -,15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74493000,70157000,62737000,53133000,55132000,36856000,31172000,46541000,53088000,59944000,58872000,31816000,29374000,24600000
14,Depreciation and Amortization,- -,- -,4200000,3800000,4300000,5700000,6343000,9180000,8857000,10005000,11488000,13470000,19702000,19705000,20666000,22655000,22578000,16684000,21641000,25459000,25228000,29813000,28302000,23034000,22488000,21404000,18150000,21299000,23683000,25558000,22761000,13379000,18579000,15029000
15,EBITDA,-7200000,4100000,3600000,-7000000,4800000,5800000,13580000,5454000,16051000,22604000,18394000,43689000,49484000,39516000,25517000,21533000,33784000,24951000,20539000,28320000,98382000,19092000,18932000,25341000,67938000,76305000,70510000,60721000,76832000,69867000,266293000,16275000,54626000,50038000
16,EBITDA ratio,-0.2188,0.1380,0.1246,-0.2846,0.1727,0.1812,0.3584,0.1166,0.3424,0.4039,0.2604,0.5296,0.3551,0.2929,0.2326,0.1882,0.2692,0.2366,0.1604,0.2106,0.6912,0.1259,0.1458,0.2221,0.5854,0.8848,0.9295,0.5940,0.6485,0.5579,2.2016,0.3393,0.9580,1.2272
17,Operating Income,- -,- -,- -,- -,- -,- -,1381000,3627000,-9621000,-9617000,-5966000,-10400000,61296000,54349000,38708000,40819000,33782000,11438000,14826000,10746000,6603000,-28017000,-15783000,-30951000,18181000,-2111000,771000,9301000,17647000,20105000,16121000,-7736000,-28000,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,0.0364,0.0775,-0.2052,-0.1719,-0.0845,-0.1261,0.4398,0.4029,0.3528,0.3567,0.2692,0.1085,0.1158,0.0799,0.0464,-0.1848,-0.1215,-0.2713,0.1567,-0.0245,0.0102,0.0910,0.1490,0.1605,0.1333,-0.1613,-0.0005,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,1400000,- -,- -,- -,- -,- -,- -,- -,85875000,93068000,33147000,91706000,-55954000,-29400000,-17481000,-18071000,-70408000,-54918000,-65257000,-28524000,-30165000,-39633000,-17052000,-17184000,-17300000,-35241000,170129000,-20401000,7496000,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22172000,-17962000,-2655000,-7325000,-63805000,-82935000,-81040000,-59475000,-11984000,-41744000,-16281000,-7883000,347000,-15136000,186250000,-28137000,7468000,10409000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.1767,-0.1703,-0.0207,-0.0545,-0.4482,-0.5469,-0.6240,-0.5213,-0.1033,-0.4841,-0.2146,-0.0771,0.0029,-0.1209,1.5398,-0.5866,0.1310,0.2553
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12500000,-802000,-4608000,-8250000,-33548000,-1180000,-4911000,-4505000,-1358000,-40485000,-20390000,517000,24000,180000,3210000,-2000000,4000,1011000
23,Net Income,-17700000,-7000000,-7400000,-16000000,-6200000,-8600000,-3405000,-3726000,-7806000,12599000,6906000,30219000,29782000,19811000,4851000,-1122000,23706000,9069000,3506000,11111000,32209000,-79698000,-67196000,-46321000,-8324000,58530000,41578000,-7636000,37000,-15815000,181450000,-26920000,6669000,9398000
24,Net Income ratio,-0.5380,-0.2357,-0.2561,-0.6504,-0.2230,-0.2687,-0.0899,-0.0797,-0.1665,0.2251,0.0978,0.3663,0.2137,0.1468,0.0442,-0.0098,0.1889,0.0860,0.0274,0.0826,0.2263,-0.5255,-0.5174,-0.4060,-0.0717,0.6787,0.5481,-0.0747,0.0003,-0.1263,1.5001,-0.5612,0.1170,0.2305
25,EPS,-0.96,-0.37,-1.55,-3.60,-1.23,-2.12,-0.86,-0.93,-1.96,3.22,1.78,7.05,3.45,2.32,0.58,-0.16,2.90,1.12,0.42,1.28,3.86,-9.95,-8.42,-5.67,-1.12,6.82,4.74,-0.98,-0.10,-1.92,20.71,-3.09,0.77,1.09
26,EPS Diluted,-0.96,-0.37,-1.55,-3.60,-1.23,-2.12,-0.86,-0.93,-1.96,3.22,1.78,7.05,3.45,2.28,0.58,-0.16,2.90,1.12,0.40,1.24,3.86,-9.95,-8.42,-5.67,-1.12,6.82,4.74,-0.98,-0.10,-1.92,20.71,-3.09,0.77,1.09
27,Weighted Average Shares Outstanding,4601000,4601000,4774194,4444444,5040650,4056604,4012275,4012275,3994687,3907221,3876797,4283574,8631621,8478377,8057361,8078108,8082854,7900869,7900869,7953676,8086640,8113669,8113575,8370729,8413469,8413469,8559370,8717767,8717767,8717767,8717767,8717767,8639316,8639316
28,Weighted Average Shares Outstanding Diluted,4601000,4601000,4774194,4444444,5040650,4056604,4012275,4044118,3994687,3975904,3876797,4283574,8631621,8615465,8057361,8078108,8082854,7900869,8180401,8188602,8086640,8113669,8113575,8370729,8413469,8413469,8559370,8717767,8717767,8717767,8717767,8717767,8639316,8639316
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/733590/000119312504054077/d10k.htm,https://www.sec.gov/Archives/edgar/data/733590/000119312505066975/d10k.htm,https://www.sec.gov/Archives/edgar/data/733590/000119312506070210/d10k.htm,https://www.sec.gov/Archives/edgar/data/733590/000119312507072162/0001193125-07-072162-index.html,https://www.sec.gov/Archives/edgar/data/733590/000119312508070802/d10k.htm,https://www.sec.gov/Archives/edgar/data/733590/000119312509068876/0001193125-09-068876-index.html,https://www.sec.gov/Archives/edgar/data/733590/000119312510073303/0001193125-10-073303-index.html,https://www.sec.gov/Archives/edgar/data/733590/000119312511084653/d10k.htm,https://www.sec.gov/Archives/edgar/data/733590/000119312512147343/d295176d10k.htm,https://www.sec.gov/Archives/edgar/data/733590/000101054913000233/0001010549-13-000233-index.htm,https://www.sec.gov/Archives/edgar/data/733590/000101054914000144/tci10k123113.htm,https://www.sec.gov/Archives/edgar/data/733590/000101054915000093/tci10k123114.htm,https://www.sec.gov/Archives/edgar/data/733590/000138713116004817/0001387131-16-004817-index.html,https://www.sec.gov/Archives/edgar/data/733590/000138713117001815/0001387131-17-001815-index.html,https://www.sec.gov/Archives/edgar/data/733590/000138713118001366/0001387131-18-001366-index.html,https://www.sec.gov/Archives/edgar/data/733590/000138713119002386/0001387131-19-002386-index.html,https://www.sec.gov/Archives/edgar/data/733590/000138713120003378/0001387131-20-003378-index.html,https://www.sec.gov/Archives/edgar/data/733590/000073359021000003/0000733590-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/733590/000073359022000003/0000733590-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,563000,9620000,960000,24733000,10505000,41266000,22323000,10346000,10558000,6434000,21845000,5462000,4803000,11239000,5983000,5665000,11259000,19991000,16620000,16086000,12201000,15171000,17506000,42705000,36358000,51179000,36761000,50735000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,6580000,7446000,9038000,13157000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16001000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,563000,9620000,960000,24733000,10505000,41266000,22323000,10346000,10558000,11434000,28425000,12908000,13841000,24396000,5983000,5665000,11259000,19991000,16620000,16086000,12201000,15171000,17506000,42705000,36358000,51179000,36761000,66736000
34,Net Receivables,- -,- -,65500000,59400000,18700000,13400000,12161000,11066000,9532000,4838000,2379000,12073000,8709000,22867000,29290000,32197000,56630000,64818000,39566000,32699000,- -,- -,67025000,- -,59098000,120287000,141861000,160066000,180957000,181831000,217183000,262527000,283333000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67025000,- -,- -,31799000,48238000,44060000,38227000,45637000,70207000,32082000,50206000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5983000,5665000,11259000,19991000,75718000,168172000,202300000,219297000,236690000,270173000,323748000,345788000,370300000,66736000
38,PP&E,- -,- -,110400000,112400000,154800000,189700000,8373000,3415000,2089000,4986000,1356000,1790000,640864000,622687000,759487000,719076000,778528000,833885000,992454000,1230545000,1480791000,1447184000,1213114000,988339000,896950000,695802000,668726000,844019000,891173000,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13757000,80728000,24162000,72551000,160573000,161450000,26140000,9358000,8146000,6362000,5439000,1697000,1543000,5243000,2446000,2472000,90571000,81780000,51786000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127153000,146080000,152242000,145632000,67237000,32000000,57836000,41645000,55605000,1040777000,448061000,438350000,456996000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1634084000,1602622000,1373502000,1140333000,969626000,729499000,728105000,890907000,949224000,1043249000,538632000,520130000,508782000,- -
46,Other Assets,281100000,224600000,189000000,184600000,203700000,221100000,247964000,260180000,245371000,319535000,382203000,714195000,731885000,709152000,858489000,880990000,920311000,1089079000,1250167000,1521189000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,721673000
47,Total Assets,281100000,224600000,189000000,184600000,203700000,221100000,247964000,260180000,245371000,319535000,382203000,714195000,731885000,709152000,858489000,880990000,920311000,1089079000,1250167000,1521189000,1640067000,1608287000,1384761000,1160324000,1045344000,897671000,930405000,1110204000,1185914000,1313422000,862380000,865918000,879082000,788409000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147356000,124083000,96457000,69128000,41019000,50160000,36684000,34694000,48856000,36683000,26646000,26115000,26729000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62972000,61886000,190693000,54688000,77112000,40111000,20168000,6798000,5612000,- -,- -,- -,- -,176750000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89132000,65607000,53096000,53096000,51356000,71021000,71065000,- -,- -,- -,9315000,581000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,9300000,11100000,7300000,11000000,8400000,31700000,28100000,31400000,49500000,52800000,155100000,180400000,185100000,228500000,- -,50163000,- -,- -,-120151000,-93207000,-71524000,-77819000,-76677000,3627000,4037000,7230000,-1765000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,9300000,11100000,7300000,11000000,8400000,31700000,28100000,31400000,49500000,52800000,155100000,180400000,185100000,228500000,210328000,236132000,376282000,189423000,51076000,50160000,36684000,34694000,48856000,40310000,30683000,33345000,34279000,177331000
54,Long-Term Debt,- -,- -,52500000,65200000,- -,116000000,145514000,159889000,158692000,222029000,282688000,503406000,501734000,461037000,586628000,608240000,524670000,657481000,799069000,1007226000,1105043000,1126739000,831322000,829617000,808043000,602845000,608917000,779434000,841516000,1003902000,431774000,469038000,473957000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53096000,53096000,51356000,71021000,71065000,60949000,17522000,9468000,9315000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,-14000,11000,8000,-29000,12000,-6000,-34000,-37000,-28000,-40000,30000,19000,31000,-26000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239470000
58,Total Non-Current Liabilities,- -,- -,52500000,65200000,- -,116000000,145500000,159900000,158700000,222000000,282700000,503400000,501700000,461000000,586600000,608200000,524700000,657500000,799100000,1007200000,1105043000,1126739000,831322000,829617000,861139000,655941000,660273000,850455000,912581000,1064851000,451296000,478506000,483272000,239470000
59,Other Liabilities,126700000,81100000,112500000,137100000,98100000,240500000,- -,- -,317412000,444002000,- -,- -,- -,- -,- -,1216679000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,126700000,81100000,60000000,71900000,98100000,124500000,154787000,170996000,166012000,233002000,291071000,535083000,526956000,487003000,630807000,661279000,678030000,836661000,968072000,1234087000,1315371000,1362871000,1207604000,1019040000,912215000,706101000,696957000,885149000,961437000,1105161000,481979000,511851000,517551000,416801000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,27000,40000,39000,39000,39000,86000,86000,80000,81000,81000,81000,81000,81000,81000,81000,81000,81000,84000,84000,84000,87000,87000,87000,87000,87000,87000,87000,86000
64,Retained Earnings,-64300000,-79000000,-92100000,-108200000,-113900000,-122500000,-125899000,-129892000,-138813000,-131194000,-126994000,-99811000,-74712000,-55073000,-35294000,-36416000,-10915000,-1846000,1660000,12771000,44980000,-34718000,-101914000,-148235000,-156559000,-98029000,-56451000,-64087000,-64050000,-79865000,101585000,74665000,81334000,90732000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88187000,-90661000,567000,-616000,-2265000,-464000,1067000,-2000000,2575000,- -,- -,-148930000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,218700000,222500000,221100000,220900000,219500000,219100000,219049000,219036000,218133000,217688000,218087000,278837000,363373000,362422000,259684000,256788000,253618000,253408000,263120000,274628000,263290000,262118000,261070000,422814000,272772000,271718000,271647000,270747000,269847000,268947000,258048000,257851000,260386000,260387000
67,Total Stockholders Equity,154400000,143500000,129000000,112700000,105600000,96600000,93177000,89184000,79359000,86533000,91132000,179112000,200560000,216768000,225038000,219837000,240519000,251179000,265929000,285481000,310927000,227482000,159238000,125734000,116298000,173774000,215284000,206748000,205885000,189170000,359720000,332603000,341807000,351205000
68,Total Liabilities And Stockholders Equity,281100000,224600000,189000000,184600000,203700000,221100000,247964000,260180000,245371000,319535000,382203000,714195000,727516000,703771000,855845000,881116000,918549000,1087840000,1234001000,1519568000,1626298000,1590353000,1366842000,1144774000,1028513000,879875000,912241000,1091897000,1167322000,1294331000,841699000,844454000,859358000,768006000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4369000,5381000,2644000,-126000,1762000,1239000,16166000,1621000,13769000,17934000,17919000,15550000,16831000,17796000,18164000,18307000,18592000,19091000,20681000,21464000,19724000,20403000
70,Total Liabilities & Equity,281100000,224600000,189000000,184600000,203700000,221100000,247964000,260180000,245371000,319535000,382203000,714195000,731885000,709152000,858489000,880990000,920311000,1089079000,1250167000,1521189000,1640067000,1608287000,1384761000,1160324000,1045344000,897671000,930405000,1110204000,1185914000,1313422000,862380000,865918000,879082000,788409000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/733590/000119312504054077/d10k.htm,https://www.sec.gov/Archives/edgar/data/733590/000119312505066975/d10k.htm,https://www.sec.gov/Archives/edgar/data/733590/000119312506070210/d10k.htm,https://www.sec.gov/Archives/edgar/data/733590/000119312507072162/0001193125-07-072162-index.html,https://www.sec.gov/Archives/edgar/data/733590/000119312508070802/d10k.htm,https://www.sec.gov/Archives/edgar/data/733590/000119312509068876/0001193125-09-068876-index.html,https://www.sec.gov/Archives/edgar/data/733590/000119312510073303/0001193125-10-073303-index.html,https://www.sec.gov/Archives/edgar/data/733590/000119312511084653/d10k.htm,https://www.sec.gov/Archives/edgar/data/733590/000119312512147343/d295176d10k.htm,https://www.sec.gov/Archives/edgar/data/733590/000101054913000233/0001010549-13-000233-index.htm,https://www.sec.gov/Archives/edgar/data/733590/000101054914000144/tci10k123113.htm,https://www.sec.gov/Archives/edgar/data/733590/000101054915000093/tci10k123114.htm,https://www.sec.gov/Archives/edgar/data/733590/000138713116004817/0001387131-16-004817-index.html,https://www.sec.gov/Archives/edgar/data/733590/000138713117001815/0001387131-17-001815-index.html,https://www.sec.gov/Archives/edgar/data/733590/000138713118001366/0001387131-18-001366-index.html,https://www.sec.gov/Archives/edgar/data/733590/000138713119002386/0001387131-19-002386-index.html,https://www.sec.gov/Archives/edgar/data/733590/000138713120003378/0001387131-20-003378-index.html,https://www.sec.gov/Archives/edgar/data/733590/000073359021000003/0000733590-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/733590/000073359022000003/0000733590-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-7400000,-16000000,-6200000,-8600000,-3405000,-3726000,-7806000,12599000,6906000,30219000,29782000,19811000,4851000,-1122000,23706000,9069000,3506000,11111000,32209000,-79698000,-67196000,-46321000,-8324000,58530000,41578000,-7636000,37000,-15815000,181450000,-26920000,6669000,9398000
74,Depreciation and Amortization,- -,- -,4200000,3800000,4300000,5700000,6343000,9180000,8857000,10005000,11488000,13470000,19702000,19705000,20666000,22655000,22578000,16684000,21641000,25459000,25228000,29813000,28302000,23034000,22488000,21404000,18150000,21299000,23683000,25558000,22761000,13379000,18579000,15029000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,-3200000,- -,- -,- -,-9300000,-1800000,3800000,-3700000,2600000,-23300000,3600000,-3300000,-18100000,-3300000,-102300000,-25300000,-4700000,-43400000,24155000,-26122000,-134556000,195591000,194074000,93370000,47604000,18987000,3231000,42029000,63202000,19378000,23578000,-446616000
78,Accounts Receivable,- -,- -,-2500000,-3000000,300000,-200000,1500000,900000,1100000,3700000,-2000000,-7094000,-1491000,2146000,-2352000,987000,7964000,2029000,-8358000,5697000,- -,- -,- -,- -,-1094000,2445000,-1486000,2104000,2840000,543000,-3213000,626000,4389000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,900000,2800000,600000,1700000,-100000,100000,-7800000,-7100000,-600000,7784000,740000,2058000,2660000,5191000,-694000,23199000,772000,-6612000,- -,- -,-2902000,-29795000,- -,- -,- -,- -,- -,- -,- -,- -,-620000,-4710000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-9300000,-11100000,-7300000,-11000000,-8400000,-31700000,-28100000,-31400000,-49500000,-52800000,-155100000,-180400000,-185100000,-228500000,-204345000,-230467000,-365023000,-169432000,24642000,118012000,165616000,184603000,187834000,229863000,293065000,312443000,336021000,-110595000
82,Other Non-Cash Items,- -,- -,7000000,13900000,5600000,4200000,6014000,-2720000,-9028000,-20120000,-17575000,-16298000,-54173000,-37111000,-16529000,-14537000,42796000,16237000,-14934000,13326000,-61185000,48421000,165179000,-165766000,-229357000,-239999000,-136714000,-83569000,-18913000,-84256000,-448600000,-41584000,-43195000,411203000
83,Cash Provided by Operating Activities,- -,- -,600000,1700000,3700000,1300000,-348000,934000,-4177000,-1216000,3419000,4091000,-1089000,-895000,-9112000,3696000,-13220000,16690000,5513000,6496000,20407000,-27586000,-8271000,6538000,-21119000,-66695000,-29382000,-50919000,8038000,-32484000,-181187000,-35747000,5631000,-10986000
84,CAPEX,- -,- -,- -,-6000000,-21400000,-5000000,-15144000,-9083000,-10369000,-52200000,-86990000,-45510000,-32450000,-19669000,-123924000,-77767000,-202152000,-227100000,-185487000,-24940000,-266697000,-56284000,-50394000,-83441000,41383000,265851000,51974000,-131841000,-60827000,-108122000,-78867000,-8530000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45510000,-32450000,-19669000,-12688000,-14250000,-40140000,-170333000,- -,-2884000,- -,- -,- -,- -,824000,3656000,-144000,-596000,2797000,- -,236752000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19455000,-18337000,-5736000,-3457000,-11752000,-5060000,-4119000,-4487000,- -,-89000,-328000,- -,-458000,-35430000,-18055000,-11703000,-16420000,-16801000,-21434000,- -,-16000000
87,Sales/Maturities of Investments,- -,- -,- -,100000,1600000,300000,- -,- -,907000,5048000,2892000,37000,20532000,6042000,16193000,4651000,8851000,6160000,12033000,13812000,14586000,27270000,4425000,17510000,25602000,- -,12504000,10669000,2867000,26230000,6541000,13862000,- -,- -
88,Other Investing Activites,- -,- -,13400000,-5200000,20500000,300000,6264000,10107000,5812000,37983000,28023000,129580000,79364000,85995000,71799000,66230000,217952000,254569000,31715000,-212712000,174053000,58601000,224770000,216041000,66014000,275166000,143851000,107299000,50978000,-30743000,-78867000,-2026000,381000,116325000
89,Cash Used for Investing Activites,- -,- -,13400000,-11100000,700000,-4400000,-8880000,1024000,-3650000,-9169000,-56075000,38597000,34996000,33244000,-66957000,-26872000,-18946000,-148456000,-146799000,-230843000,-65209000,41922000,185823000,149782000,67809000,269049000,28904000,-139823000,-66866000,-98312000,147625000,-9598000,381000,100325000
