,https://roic.ai/company/CRD-B,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.1189,0.1178,0.1075,0.1033,0.1176,0.1126,0.1147,0.1119,0.1126,0.1159,0.0994,0.1136,0.1079,0.0658,0.0909,0.0578,0.0659,0.0524,0.0227,0.0461,0.0233,0.0267,0.0205,0.0386,-0.1076,0.0346,0.0482,0.0659,0.0647,0.0492,-0.0256,0.0537,0.0363,0.0393,0.0226,0.0385,0.0385
22,Income Tax expense (Gain),12000000,13500000,12100000,11600000,16300000,18500000,24300000,26500000,26800000,27500000,24400000,29200000,27700000,16400000,24500000,15802000,18356000,14029000,8964000,12251000,7059000,9060000,5396000,11564000,2618000,9712000,12739000,33686000,29766000,28780000,13832000,25565000,15039000,18542000,14111000,12013000,13316000
23,Net Income,13400000,15200000,16400000,18800000,27700000,32100000,37400000,40400000,35500000,40600000,36000000,42800000,47000000,27500000,39300000,25348000,29445000,24512000,7662000,25172000,12881000,15011000,16116000,32259000,-115683000,28328000,45404000,48888000,50978000,30624000,-45488000,35966000,27665000,25978000,12485000,28296000,30692000
24,Net Income ratio,0.0627,0.0624,0.0619,0.0639,0.0741,0.0715,0.0695,0.0676,0.0616,0.0691,0.0592,0.0676,0.0679,0.0412,0.0560,0.0356,0.0406,0.0333,0.0105,0.0310,0.0151,0.0167,0.0153,0.0284,-0.1104,0.0255,0.0375,0.0386,0.0407,0.0252,-0.0366,0.0305,0.0238,0.0231,0.0119,0.0278,0.0269
25,EPS,0.17,0.19,0.21,0.36,0.35,0.41,0.47,0.50,0.44,0.51,0.69,0.56,0.95,0.55,0.78,0.52,0.61,0.50,0.16,0.52,0.26,0.30,0.32,0.64,-2.23,0.54,0.84,0.99,0.95,0.58,-0.79,0.68,0.53,0.51,0.27,0.54,0.58
26,EPS Diluted,0.17,0.19,0.21,0.36,0.35,0.41,0.47,0.50,0.44,0.51,0.46,0.55,0.93,0.54,0.78,0.52,0.61,0.50,0.16,0.51,0.26,0.30,0.32,0.62,-2.23,0.53,0.84,0.97,0.93,0.57,-0.79,0.67,0.52,0.50,0.26,0.54,0.58
27,Weighted Average Shares Outstanding,52048000,52315000,52513000,35115000,52930000,53288000,53553000,53829000,54018000,52517000,52277137,76548166,49565519,50341000,50380000,48845000,48492000,48580000,48668000,48773000,48930000,49423000,50464000,50696000,51830000,52664000,53783000,53148485,54543000,52800000,57579747,52891176,52198113,50937255,53612000,53132000,53228000
28,Weighted Average Shares Outstanding Diluted,52048000,52315000,52513000,35115000,52930000,53288000,53553000,53829000,54018000,52517000,52277137,76548166,50687495,50938000,50498000,48933000,48559000,48664000,48776000,48996000,49347000,49576000,50598000,52175000,51830000,53234000,53783000,54244330,55545000,53726316,57579747,53680597,53201923,51956000,54065000,53384000,53228000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/25475/000002547512000032/0000025475-12-000032-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547513000071/0000025475-13-000071-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547514000033/0000025475-14-000033-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547515000033/0000025475-15-000033-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547516000150/0000025475-16-000150-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547517000077/0000025475-17-000077-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547518000081/0000025475-18-000081-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547519000048/0000025475-19-000048-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547520000048/0000025475-20-000048-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000156459021010973/0001564590-21-010973-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000095017022003607/0000950170-22-003607-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15400000,15100000,35100000,45900000,59100000,34100000,53500000,57100000,69300000,39000000,40800000,55500000,55400000,8400000,17700000,22136000,21966000,31091000,41564000,43571000,49441000,61674000,50855000,73124000,70354000,93540000,77613000,71157000,75953000,52456000,76066000,81569000,54011000,53119000,51802000,44656000,53228000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,15400000,15100000,35100000,45900000,59100000,34100000,53500000,57100000,69300000,39000000,40800000,55500000,55400000,8400000,17700000,22136000,21966000,31091000,41564000,43571000,49441000,66674000,50855000,73124000,70354000,93540000,77613000,71157000,75953000,52456000,76066000,81569000,54011000,53119000,51802000,44656000,53228000
34,Net Receivables,70300000,82600000,79200000,80700000,100400000,136100000,143300000,155400000,89500000,104900000,111600000,113000000,117300000,134100000,141800000,137378000,139380000,228966000,242526000,279773000,272406000,295545000,315180000,256545000,233011000,265454000,269037000,289589000,271291000,286038000,267510000,259156000,290904000,243492000,239931000,227857000,134458000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,4900000,2600000,2000000,2300000,3700000,16100000,13700000,16200000,89900000,99700000,82000000,78400000,101200000,108600000,108300000,104211000,100289000,11968000,13028000,21363000,14964000,19924000,16717000,18688000,22350000,20411000,22836000,26019000,22437000,29089000,26601000,24006000,25452000,24237000,23476000,29490000,158234000
37,Total Current Assets,90600000,100300000,116300000,128900000,163200000,186300000,210500000,228700000,248700000,243600000,234400000,246900000,273900000,251100000,267800000,263725000,261635000,272025000,297118000,344707000,336811000,382143000,382752000,348357000,325715000,379405000,369486000,386765000,369681000,367583000,370177000,364731000,370367000,320848000,315209000,302003000,345920000
38,PP&E,33800000,38500000,34800000,29800000,30400000,45200000,48100000,41600000,36400000,37400000,36400000,31600000,39200000,42900000,48900000,42797000,39264000,36099000,37168000,34843000,36937000,40884000,49266000,44614000,42146000,43371000,43884000,46047000,45683000,40859000,38052000,29605000,41664000,34303000,133779000,145717000,133090000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,256700000,263769000,251897000,123169000,125764000,131246000,131995000,132777000,131885000,95616000,91750000,96916000,96890000,80642000,66537000,116526000
40,Intangible Assets,- -,- -,5700000,6700000,- -,- -,28800000,27800000,26800000,51600000,55700000,52300000,52000000,64100000,80600000,82599000,86239000,97798000,104523000,109410000,110035000,164772000,158710000,157685000,154872000,153085000,156724000,156326000,154864000,151431000,184857000,167891000,186971000,157233000,141528000,142197000,97571000
41,Intangible Assets,- -,- -,5700000,6700000,- -,- -,28800000,27800000,26800000,51600000,55700000,52300000,52000000,64100000,80600000,82599000,86239000,97798000,104523000,109410000,110035000,421472000,422479000,409582000,278041000,278849000,287970000,288321000,287641000,283316000,280473000,259641000,283887000,254123000,222170000,208734000,214097000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31899000,28505000,32172000,38217000,13498000,18923000,67695000,69504000,91930000,84454000,99288000,61375000,66927000,47371000,30379000,24359000,22146000,17971000,25595000,21266000
44,Other Non-Current Assets,5400000,5600000,- -,-100000,7300000,39600000,5100000,5900000,4900000,30200000,40500000,47300000,52000000,75200000,76700000,69230000,44277000,36955000,45684000,50128000,49664000,34991000,29362000,25000000,27499000,27119000,25864000,24402000,25678000,30634000,47333000,51503000,67659000,70022000,70884000,70935000,138266000
45,Total Non-Current Assets,39200000,44100000,40500000,36400000,37700000,84800000,82000000,75300000,68100000,119200000,132600000,131200000,143200000,182200000,206200000,194626000,169780000,202751000,215880000,226553000,234853000,510845000,520030000,546891000,417190000,441269000,442172000,458058000,420377000,421736000,413229000,371128000,417569000,380594000,444804000,450981000,506719000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,129800000,144400000,156800000,165300000,200900000,271100000,292500000,304000000,316800000,362800000,367000000,378100000,417100000,433300000,474000000,458351000,431415000,474776000,512998000,571260000,571664000,892988000,902782000,895248000,742905000,820674000,811658000,844823000,790058000,789319000,783406000,735859000,787936000,701442000,760013000,752984000,852639000
48,Accounts Payable,- -,- -,- -,- -,8600000,13600000,13000000,11700000,14200000,11000000,12400000,13300000,20000000,21900000,29600000,25628000,31275000,31956000,41451000,41730000,42434000,42262000,39601000,40711000,35449000,53517000,41806000,54975000,50941000,48597000,44615000,51991000,49303000,37834000,34377000,41544000,48470000
49,Short-Term Debt,200000,200000,400000,400000,500000,21100000,18900000,8700000,10100000,10400000,11000000,17500000,19800000,37800000,39400000,44636000,36766000,31512000,46113000,39301000,35329000,30416000,31864000,15650000,8221000,2891000,2204000,14113000,35875000,2765000,21917000,1012000,25212000,23284000,59311000,34582000,35942000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2558000,292000,4357000,3476000,2618000,4419000,3527000,2703000,3145000,3030000,5822000,4936000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20543000,18516000,19172000,22682000,19608000,68359000,64363000,59679000,53664000,63948000,53844000,56379000,49950000,45054000,46552000,37456000,37794000,30961000,28288000,27233000,32119000
52,Other Current Liabilities,54900000,47800000,52500000,55500000,68500000,82800000,88300000,88200000,71300000,96200000,71700000,79900000,84800000,80900000,89000000,87375000,67723000,66265000,76727000,110610000,113591000,141247000,155740000,162656000,161664000,176485000,188560000,211569000,180627000,163143000,145264000,139828000,144282000,133231000,114289000,139435000,187324000
53,Total Current Liabilities,55100000,48000000,52900000,55900000,77600000,117500000,120200000,108600000,95600000,117600000,95100000,110700000,124600000,140600000,158000000,157639000,156307000,148249000,183463000,214323000,210962000,282284000,291568000,278696000,258998000,296841000,286414000,337036000,317393000,259559000,258348000,230287000,256591000,225310000,236265000,242794000,303855000
54,Long-Term Debt,3400000,3200000,4000000,1500000,1200000,9300000,2500000,1800000,700000,10000000,9400000,400000,700000,1900000,16100000,36662000,36378000,49976000,50664000,50875000,45810000,199044000,183449000,181206000,173061000,220437000,211983000,152293000,100000000,153000000,223709000,186166000,199642000,167121000,148346000,111285000,252723000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33524000,30048000,27856000,26438000,26893000,26706000,26592000,25884000,22515000,21713000,24080000,24136000,23786000
56,Deferred Tax Liabilities,3700000,15600000,12100000,8200000,2600000,3600000,4300000,2600000,5700000,14700000,14800000,13800000,14900000,8700000,6600000,3941000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12528000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,100000,100000,-100000,100000,-100000,- -,-100000,7000000,7300000,26800000,31600000,35200000,42000000,43000000,42342000,50430000,117120000,106277000,111229000,135861000,195965000,168504000,254987000,216036000,178117000,134589000,187257000,138239000,170701000,150406000,134258000,122224000,111852000,188755000,187841000,60878000
58,Total Non-Current Liabilities,7100000,18900000,16200000,9600000,3900000,12800000,6800000,4300000,13400000,32000000,51000000,45800000,50800000,52600000,65700000,82945000,86808000,167096000,156941000,162104000,181671000,395009000,351953000,436193000,422621000,428602000,386956000,365988000,265132000,350407000,400707000,346308000,344381000,300686000,361181000,323262000,337387000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,886171000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,838000,2645000,1809000,3615000,1818000,1389000,94000,117906000,126713000,- -
61,Total Liabilities,62200000,66900000,69100000,65500000,81500000,130300000,127000000,112900000,109000000,149600000,146100000,156500000,175400000,193200000,223700000,240584000,243115000,315345000,340404000,376427000,392633000,677293000,643521000,714889000,681619000,725443000,673370000,703024000,582525000,609966000,659055000,576595000,600972000,525996000,597446000,566056000,852639000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50700000,48451000,48540000,48622000,48724000,48854000,48990000,50438000,50632000,51220000,52052000,52699000,53783000,54025000,54565000,55187000,55227000,55986000,55941000,55335000,53281000,53357000,51808000
64,Retained Earnings,56400000,65600000,75200000,86600000,99500000,102000000,125900000,150700000,168900000,180800000,189300000,173700000,175000000,173000000,186000000,183664000,186683000,191767000,187747000,201213000,202351000,207891000,223793000,256146000,140463000,168791000,209323000,246105000,285165000,301091000,239161000,261562000,269686000,273607000,249551000,265245000,266369000
65,Other Comprehensive Income/Loss,-25500000,-29000000,-34000000,-36000000,-37800000,-41000000,-52500000,-56900000,-63000000,-75100000,-84900000,-92300000,-110300000,-111100000,-117700000,-107045000,-107898000,-81481000,-64717000,-56675000,-78621000,-62646000,-39267000,-158157000,-165403000,-164322000,-163603000,-199481000,-179210000,-221958000,-222631000,-211773000,-196477000,-216447000,-206907000,-198856000,-180441000
66,Other Total Stockholders Equity,36700000,40900000,46500000,49200000,57700000,79800000,92100000,97300000,101900000,107500000,116500000,140200000,177000000,178200000,131300000,92697000,60975000,523000,840000,1441000,6311000,15468000,19057000,26342000,29570000,32348000,33969000,35550000,39285000,38617000,41936000,48108000,53170000,58793000,63392000,67193000,73661000
67,Total Stockholders Equity,67600000,77500000,87700000,99800000,119400000,140800000,165500000,191100000,207800000,213200000,220900000,221600000,241700000,240100000,250300000,217767000,188300000,159431000,172594000,194833000,179031000,211151000,254215000,175551000,56682000,89516000,133472000,136199000,199805000,172937000,113693000,153883000,182320000,171288000,159317000,186939000,211397000
68,Total Liabilities And Stockholders Equity,129800000,144400000,156800000,165300000,200900000,271100000,292500000,304000000,316800000,362800000,367000000,378100000,417100000,433300000,474000000,458351000,431415000,474776000,512998000,571260000,571664000,888444000,897736000,890440000,738301000,814959000,806842000,839223000,782330000,782903000,772748000,730478000,783292000,697284000,756763000,752995000,1064036000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4544000,5046000,4808000,4604000,5715000,4816000,5600000,7728000,6416000,10658000,5381000,4644000,4158000,3250000,-11000,-211397000
70,Total Liabilities & Equity,129800000,144400000,156800000,165300000,200900000,271100000,292500000,304000000,316800000,362800000,367000000,378100000,417100000,433300000,474000000,458351000,431415000,474776000,512998000,571260000,571664000,892988000,902782000,895248000,742905000,820674000,811658000,844823000,790058000,789319000,783406000,735859000,787936000,701442000,760013000,752984000,852639000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/25475/000002547512000032/0000025475-12-000032-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547513000071/0000025475-13-000071-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547514000033/0000025475-14-000033-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547515000033/0000025475-15-000033-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547516000150/0000025475-16-000150-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547517000077/0000025475-17-000077-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547518000081/0000025475-18-000081-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547519000048/0000025475-19-000048-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000002547520000048/0000025475-20-000048-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000156459021010973/0001564590-21-010973-index.htm,https://www.sec.gov/Archives/edgar/data/25475/000095017022003607/0000950170-22-003607-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,13400000,15200000,- -,18800000,27700000,32100000,37400000,40400000,35500000,40600000,36000000,42800000,47000000,27500000,39300000,25348000,29445000,24512000,7662000,25172000,12881000,15011000,16116000,32259000,-115683000,28328000,45404000,48888000,50978000,30624000,-45488000,35966000,27665000,25978000,12485000,28296000,30692000
74,Depreciation and Amortization,9000000,10900000,- -,10600000,9300000,10500000,15600000,16700000,15800000,14900000,16900000,15700000,15400000,14800000,17000000,20149000,20626000,17414000,16381000,18177000,19183000,20545000,29646000,30331000,31010000,30599000,31818000,32796000,33903000,37644000,43498000,40743000,41658000,44079000,40513000,40111000,40176000
75,Deferred Income Tax,- -,- -,- -,- -,-5500000,700000,800000,-1800000,14600000,200000,5200000,2400000,2800000,-9700000,800000,-18000,-287000,3975000,129000,3758000,3926000,3063000,-1437000,247000,463000,2710000,-2058000,19355000,15625000,15189000,4120000,10531000,-2358000,7947000,3040000,-9005000,-2992000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5510000,3651000,3756000,3660000,3835000,1189000,3229000,5252000,6661000,6196000,4109000,4384000,7585000
77,Change in Working Capital,- -,9600000,- -,12600000,-16800000,21500000,29800000,33000000,-27100000,13300000,-3100000,13100000,-38800000,-700000,-3714000,-758000,18448000,-10121000,16729000,-4535000,-25990000,-8675000,-21523000,-2944000,15847000,508000,-33343000,2559000,55736000,3805000,22615000,-20668000,-18238000,-16594000,-19735000,-17144000,-20996000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27193000,-372000,-13594000,-4197000,2102000,-24358000,26526000,2781000,-14844000,7844000,5922000,5063000,-5475000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28853000,-22328000,-23100000,-21151000,17120000,-14678000,-8952000,-6946000,31775000,13470000
81,Other Working Capital,63400000,73000000,- -,85600000,68800000,90300000,120100000,153100000,126000000,139300000,136200000,149300000,110500000,109800000,106086000,105328000,123776000,113655000,130384000,125849000,99859000,91184000,69661000,66717000,82564000,83072000,49729000,52288000,108024000,111829000,134444000,113776000,95538000,78944000,59209000,42065000,-3670000
82,Other Non-Cash Items,-22400000,-35700000,- -,-42000000,15300000,-48000000,-27600000,-51800000,-3300000,3100000,-7700000,-3000000,39700000,-11000000,15214000,10906000,-5160000,16843000,-4043000,-6821000,29823000,22773000,482000,11082000,114517000,-39629000,-8901000,-14405000,-82233000,-81845000,33681000,27040000,-14631000,-15187000,34804000,46536000,-144000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,30000000,16800000,56000000,36500000,35500000,72100000,47300000,71000000,66100000,20900000,68600000,55627000,63072000,52623000,36858000,35751000,39823000,52717000,23284000,70975000,51664000,26167000,36676000,92853000,77844000,6606000,61655000,98864000,40757000,52419000,75216000,93178000,54321000
84,CAPEX,- -,- -,- -,- -,-10300000,-23000000,-16200000,-14700000,-9200000,-11700000,-12600000,-7500000,-12300000,-30100000,-30400000,-9332000,-11990000,-9189000,-11136000,-10666000,-15328000,-22740000,-28109000,-32011000,-24709000,-27779000,-29898000,-33176000,-31013000,-29197000,-32919000,-29199000,-44911000,-30020000,-21124000,-37380000,-30954000
