,https://roic.ai/company/ARC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,1.40,1.13,1.51,0.82,-0.33,-0.61,-2.93,-0.70,-0.33,0.16,2.08,-1.04,-0.47,0.20,0.07,0.14,0.21
26,EPS Diluted,1.40,1.13,1.51,0.81,-0.33,-0.61,-2.93,-0.70,-0.33,0.15,2.04,-1.04,-0.47,0.20,0.07,0.14,0.21
27,Weighted Average Shares Outstanding,43200000,45600000,45800000,45060482,45123110,45212724,45401000,45668000,45856000,46245000,46631000,45932000,45669000,44918000,44997000,42925000,42925000
28,Weighted Average Shares Outstanding Diluted,43200000,45600000,45800000,45398086,45123110,45212724,45401000,45668000,45856000,47088000,47532000,45932000,45669000,45050000,45083000,43021000,43021000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1305168/000095013406005211/0000950134-06-005211-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000095013407004579/f27669e10vk.htm,https://www.sec.gov/Archives/edgar/data/1305168/000095013408003580/f38429e10vk.htm,https://www.sec.gov/Archives/edgar/data/1305168/000136231009002961/0001362310-09-002961-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000095012310018175/0000950123-10-018175-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000095012311023594/c13851e10vk.htm,https://www.sec.gov/Archives/edgar/data/1305168/000119312512102834/0001193125-12-102834-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000119312513105310/0001193125-13-105310-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000144530514001040/arc-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1305168/000130516815000009/arc-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1305168/000130516816000028/0001305168-16-000028-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000130516817000007/0001305168-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000130516818000021/0001305168-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000130516819000026/0001305168-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000130516820000004/0001305168-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000130516821000020/0001305168-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1305168/000130516822000027/0001305168-22-000027-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,22600000,11600000,24800000,46542000,29377000,26293000,25437000,28021000,27362000,22636000,23963000,25239000,28059000,29433000,29425000,54950000,55929000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,22600000,11600000,24800000,46542000,29377000,26293000,25437000,28021000,27362000,22636000,23963000,25239000,28059000,29433000,29425000,54950000,55929000
34,Net Receivables,71100000,85300000,97900000,77216000,53919000,52619000,54713000,51855000,56328000,62045000,60085000,59735000,57011000,58035000,51432000,36279000,39441000
35,Inventory,6800000,7900000,11200000,11097000,10605000,10689000,12107000,14251000,14047000,16251000,16972000,18184000,19937000,16768000,13936000,9474000,8842000
36,Other Current Assets,10700000,26300000,17000000,17807000,12579000,18101000,11540000,10096000,8693000,11125000,8686000,8646000,9474000,11139000,11590000,8044000,8332000
37,Total Current Assets,111200000,131100000,150900000,152662000,106480000,107702000,103797000,104223000,106430000,112057000,109706000,111804000,114481000,115375000,106383000,108747000,112544000
38,PP&E,45800000,60100000,84600000,89712000,74568000,59036000,55084000,56471000,56181000,59520000,57590000,60735000,64245000,70668000,111572000,95689000,74513000
39,Goodwill,245300000,291300000,382500000,366513000,332518000,294759000,229315000,212608000,212608000,212608000,212608000,138688000,121051000,121051000,121051000,121051000,121051000
40,Intangible Assets,21400000,51000000,86300000,85967000,74208000,62643000,45127000,34498000,27856000,23841000,17946000,13202000,9068000,5126000,1996000,515000,325000
41,Intangible Assets,266700000,342300000,468800000,452480000,406726000,357402000,274442000,247106000,240464000,236449000,230554000,151890000,130119000,126177000,123047000,121566000,121376000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,25404000,26987000,37835000,1368000,1246000,1186000,1110000,74196000,72963000,28029000,24946000,19755000,17261000,13293000
44,Other Non-Current Assets,18700000,14100000,18300000,5673000,6193000,7110000,6666000,6793000,5661000,4932000,4078000,2185000,2551000,2550000,2400000,2175000,2273000
45,Total Non-Current Assets,331200000,416500000,571700000,573269000,514474000,461383000,337560000,311616000,303492000,302011000,366418000,287773000,224944000,224341000,256774000,236691000,211455000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,442400000,547600000,722600000,725931000,620954000,569085000,441357000,415839000,409922000,414068000,476124000,399577000,339425000,339716000,363157000,345438000,323999000
48,Accounts Payable,20800000,33400000,35700000,25171000,23355000,23593000,21787000,21215000,23363000,26866000,23989000,24782000,24289000,24218000,23231000,18661000,22753000
49,Short-Term Debt,- -,- -,- -,59193000,53520000,23608000,15005000,13263000,21500000,27969000,14374000,13773000,20791000,22132000,28135000,29715000,24100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,4272000,10963000,5791000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,50328000,66837000,105909000,38500000,33344000,38114000,26600000,29095000,32862000,36558000,31312000,28357000,29818000,34600000,35009000,27871000,28609000
53,Total Current Liabilities,75400000,111200000,147400000,122864000,110219000,85315000,63392000,63573000,77725000,91393000,69675000,66912000,74898000,80950000,86375000,76247000,75462000
54,Long-Term Debt,253400000,252100000,321000000,301847000,220711000,216016000,211259000,209262000,198228000,175916000,158604000,143400000,123626000,105060000,89082000,79679000,89378000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,26447000,28936000,31667000,33463000,35933000,30296000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,2600000,13318000,8000000,5072000,3194000,3231000,3163000,3458000,2778000,2148000,3290000,6404000,37660000,35176000,167000
58,Total Non-Current Liabilities,253400000,252100000,323600000,315165000,228711000,221088000,240900000,241429000,233058000,212837000,197315000,175844000,126916000,111464000,126742000,114855000,89545000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48320000,45719000,49052000
61,Total Liabilities,328800000,363300000,471000000,438029000,338930000,306403000,304292000,305002000,310783000,304230000,266990000,242756000,201814000,192414000,213117000,191102000,165007000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,46000,46000,46000,46000,46000,46000,47000,47000,47000,48000,48000,49000,49000,50000
64,Retained Earnings,58600000,110000000,179100000,215846000,200961000,173459000,32663000,695000,-14628000,-7353000,89687000,41822000,20524000,29397000,31969000,37308000,41768000
65,Other Comprehensive Income/Loss,-3800000,-2400000,-1800000,-11414000,-7273000,-5541000,-1760000,689000,634000,-161000,-2097000,-3793000,-1998000,-3351000,-3357000,-2787000,-2501000
66,Other Total Stockholders Equity,58800000,76600000,74400000,77303000,82273000,88542000,99728000,102466000,105638000,110242000,114477000,111840000,111663000,114175000,114707000,113098000,113110000
67,Total Stockholders Equity,113600000,184200000,251700000,281781000,276007000,256506000,130677000,103896000,91690000,102775000,202114000,149916000,130237000,140269000,143368000,147668000,152427000
68,Total Liabilities And Stockholders Equity,442400000,547500000,722700000,719810000,614937000,562909000,434969000,408898000,402473000,407005000,469104000,392672000,332051000,332683000,356485000,338770000,317434000
69,Minority Interest,- -,100000,-100000,6121000,6017000,6176000,6388000,6941000,7449000,7063000,7020000,6905000,7374000,7033000,6672000,6668000,6565000
70,Total Liabilities & Equity,442400000,547600000,722600000,725931000,620954000,569085000,441357000,415839000,409922000,414068000,476124000,399577000,339425000,339716000,363157000,345438000,323999000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1305168/000095013406005211/0000950134-06-005211-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000095013407004579/f27669e10vk.htm,https://www.sec.gov/Archives/edgar/data/1305168/000095013408003580/f38429e10vk.htm,https://www.sec.gov/Archives/edgar/data/1305168/000136231009002961/0001362310-09-002961-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000095012310018175/0000950123-10-018175-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000095012311023594/c13851e10vk.htm,https://www.sec.gov/Archives/edgar/data/1305168/000119312512102834/0001193125-12-102834-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000119312513105310/0001193125-13-105310-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000144530514001040/arc-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1305168/000130516815000009/arc-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1305168/000130516816000028/0001305168-16-000028-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000130516817000007/0001305168-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000130516818000021/0001305168-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000130516819000026/0001305168-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000130516820000004/0001305168-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000130516821000020/0001305168-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1305168/000130516822000027/0001305168-22-000027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,60500000,51400000,69100000,36754000,-14885000,-27502000,-133087000,-31968000,-15323000,7275000,97040000,-47865000,-21511000,8873000,3015000,6188000,9143000
74,Depreciation and Amortization,19100000,27800000,39500000,50121000,49543000,45649000,47876000,39522000,34745000,34135000,33661000,31751000,33323000,32887000,31904000,30360000,24556000
75,Deferred Income Tax,-24800000,-3900000,5300000,-10172000,-4477000,-12657000,69219000,3317000,2368000,1877000,-70496000,-4660000,14833000,2988000,5208000,2527000,3965000
76,Stock Based Compensation,624000,2215000,3469000,4289000,4892000,5922000,4271000,1999000,3207000,3802000,3512000,2693000,2947000,2445000,2459000,1571000,1686000
77,Change in Working Capital,13400000,-15900000,-16400000,26298000,-33537000,26126000,18018000,245000,-11945000,-8041000,19367000,4861000,-5309000,-5158000,-14417000,12492000,-3331000
78,Accounts Receivable,-3964000,-5769000,-446000,21556000,21099000,469000,-2582000,2533000,-5133000,-6898000,729000,-1294000,2158000,-2767000,6119000,14414000,-3380000
79,Inventory,88000,949000,694000,3134000,1344000,8000,-1170000,-3005000,376000,-2220000,-967000,-1590000,-1339000,2737000,2791000,4566000,651000
80,Accounts Payable,-6082000,14963000,-3648000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,35800000,19900000,3500000,29798000,-3739000,22387000,40405000,40650000,28705000,20664000,40031000,44892000,39583000,34425000,20008000,32500000,- -
82,Other Non-Cash Items,-12224000,36785000,431000,19976000,95889000,16386000,42871000,24437000,33746000,10964000,-23103000,66362000,28087000,12929000,24612000,1340000,-244000
83,Cash Provided by Operating Activities,56600000,98400000,101400000,127266000,97425000,53924000,49168000,37552000,46798000,50012000,59981000,53142000,52370000,54964000,52781000,54478000,35775000
84,CAPEX,-5200000,-7400000,-8300000,-9033000,-7506000,-8634000,-15553000,-20348000,-18191000,-13269000,-14245000,-12097000,-9106000,-14930000,-12885000,-6440000,-3554000
85,Acquisitions Net,-22380000,-62225000,-132739000,-23916000,-3527000,-870000,-823000,- -,- -,-342000,-142000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,80000,-7875000,8339000,-6891000,-5822000,-7632000,-24359000,-20025000,-17450000,-13454000,-13514000,-10996000,-8362000,-14235000,-12244000,-5928000,-3189000
89,Cash Used for Investing Activites,-27500000,-77500000,-132700000,-30807000,-9349000,-8502000,-25182000,-20025000,-17450000,-13796000,-13656000,-10996000,-8362000,-14235000,-12244000,-5928000,-3189000
90,Debt Repayment,-97212000,-81767000,-292685000,-74576000,-107100000,-238989000,-25179000,-15601000,-212379000,-213717000,-43717000,-34990000,-101466000,-55406000,-109657000,-79935000,-127619000
91,Common Stock Issued,- -,290000,100000,35000,164000,51000,62000,- -,- -,- -,- -,- -,133000,- -,- -,- -,- -
92,Common Stock Repurchased,90000000,2400000,-6500000,- -,- -,- -,- -,- -,-124000,-240000,-204000,-5297000,-3381000,-60000,-2060000,-3247000,-2114000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-870000,-2949000
94,Other Financing Activites,-13088000,47177000,343485000,207000,1604000,189939000,10000,534000,182219000,173186000,-286000,491000,62651000,16766000,71284000,60067000,100660000
95,Cash Used/Provided by Financing Activities,-20300000,-31900000,44400000,-74334000,-105332000,-48999000,-25107000,-15067000,-30284000,-40771000,-44207000,-39796000,-42063000,-38700000,-40433000,-23985000,-32022000
96,Effect of Forex Changes on Cash,- -,- -,100000,-385000,91000,493000,265000,124000,277000,-171000,-791000,-1074000,875000,-655000,-112000,960000,415000
97,Net Change In Cash,8800000,-11000000,13200000,21740000,-17165000,-3084000,-856000,2584000,-659000,-4726000,1327000,1276000,2820000,1374000,-8000,25525000,979000
98,Cash at the End of Period,22600000,11600000,24800000,46542000,29377000,26293000,25437000,28021000,27362000,22636000,23963000,25239000,28059000,29433000,29425000,54950000,55929000
99,Cash at the Beginning of Period,13800000,22600000,11600000,24802000,46542000,29377000,26293000,25437000,28021000,27362000,22636000,23963000,25239000,28059000,29433000,29425000,54950000
100,Free Cash Flow,51400000,91000000,93100000,118233000,89919000,45290000,33615000,17204000,28607000,36743000,45736000,41045000,43264000,40034000,39896000,48038000,32221000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1305168/000095013406005211/0000950134-06-005211-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000095013407004579/f27669e10vk.htm,https://www.sec.gov/Archives/edgar/data/1305168/000095013408003580/f38429e10vk.htm,https://www.sec.gov/Archives/edgar/data/1305168/000136231009002961/0001362310-09-002961-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000095012310018175/0000950123-10-018175-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000095012311023594/c13851e10vk.htm,https://www.sec.gov/Archives/edgar/data/1305168/000119312512102834/0001193125-12-102834-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000119312513105310/0001193125-13-105310-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000144530514001040/arc-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1305168/000130516815000009/arc-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1305168/000130516816000028/0001305168-16-000028-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000130516817000007/0001305168-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000130516818000021/0001305168-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000130516819000026/0001305168-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000130516820000004/0001305168-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1305168/000130516821000020/0001305168-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1305168/000130516822000027/0001305168-22-000027-index.htm
102,false,,,,,,,,,,,,,,,,,
