,https://roic.ai/company/SCI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,60900000,120800000,139000000,172200000,189100000,190300000,170056000,168975000,135529000,137121000,81526000,68327000,39535000,36203000,31603000,31117000,34770000,25513000,24560000,34565000,29697000,27835000,26431000,25378000,24950000,25118000,23929000,25935000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,21500000,32400000,36300000,34800000,96200000,112600000,239345000,245207000,126980000,62837000,62030000,37527000,51728000,100482000,89487000,62966000,54618000,70119000,58605000,105569000,58193000,39851000,30915000,26999000,25274000,74583000,24702000,26813000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,591800000,629500000,714000000,811400000,1209100000,996200000,907299000,829953000,754899000,673324000,533497000,650383000,238337000,421327000,355510000,377461000,381918000,328093000,286199000,393747000,396856000,308409000,354396000,481296000,331232000,373553000,376152000,441060000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,832400000,1273700000,1457100000,3281000000,3860900000,4063900000,3701747000,1357410000,1188340000,1250632000,2477329000,2297883000,3136601000,3021200000,3026856000,3080139000,3136485000,3116064000,1641101000,1922961000,1861403000,1846722000,1827587000,1873044000,1977364000,2123534000,4067768000,4206687000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1264272000,1198153000,1178969000,1201332000,1307484000,1361493000,1382410000,1922102000,1810853000,1796340000,1799081000,1805981000,1863842000,1864223000,1880007000,1915082000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1498100000,1813200000,2475400000,- -,1409309000,1184178000,1195423000,1247919000,1123888000,166526000,118221000,109219000,117066000,165275000,- -,257703000,422486000,393781000,370005000,368065000,374099000,433830000,431167000,441389000,471715000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1498100000,1813200000,2475400000,- -,1409309000,1184178000,1195423000,1247919000,1123888000,1430798000,1316374000,1288188000,1318398000,1472759000,1361493000,1640113000,2344588000,2204634000,2166345000,2167146000,2180080000,2297672000,2295390000,2321396000,2386797000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2999402000,889689000,987019000,1016506000,2436594000,3016313000,2970251000,2834540000,2953982000,5009202000,4851507000,5523479000,6096244000,6768440000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71360000,- -,- -,- -,490000,22557000,18778000,- -,861000,873000,673000,665000,535000,6171000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3737700000,5760600000,6698700000,4716400000,6383000000,7066100000,8289423000,7983265000,7596368000,8083290000,3940451000,3464538000,4923653000,4173343000,369567000,3225294000,3212359000,3505656000,3679071000,5205904000,4471722000,4562872000,4734177000,3320008000,3234795000,3360809000,1653330000,1882023000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4570100000,7034300000,8155800000,9495500000,12057100000,13605400000,11991170000,10749984000,9968886000,10529345000,7665699000,6886309000,9491052000,8510917000,7755373000,8513520000,8808622000,8999719000,9397369000,12512323000,11526788000,11410479000,11683753000,12383207000,12362011000,13303877000,14139273000,15250118000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5161900000,7663800000,8869800000,10306900000,13266200000,14601600000,12898469000,11579937000,10723785000,11202669000,8199196000,7536692000,9729389000,8932244000,8110883000,8890981000,9190540000,9327812000,9683568000,12906070000,11923644000,11718888000,12038149000,12864503000,12693243000,13677430000,14515425000,15691178000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,154800000,393200000,440800000,425600000,452400000,589800000,501355000,484150000,56387000,456523000,221877000,231129000,75037000,53739000,78609000,88683000,116543000,358904000,104025000,143385000,137270000,140045000,155802000,173685000,173361000,174494000,186401000,204094000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,277700000,122200000,113900000,64600000,96100000,423900000,176782000,220640000,116679000,182682000,75075000,20468000,46176000,64283000,49148000,68196000,22502000,23554000,53669000,151514000,118729000,116989000,110901000,364580000,86117000,86515000,269288000,112108000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26028000,18731000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,39100000,68600000,52800000,45200000,81800000,44200000,6143000,5812000,291217000,29742000,14961000,20359000,286734000,308418000,199025000,208636000,227582000,3150000,254410000,347685000,296009000,262362000,271167000,290714000,296122000,295710000,360245000,412059000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,471600000,584000000,607500000,535400000,630300000,1057900000,684280000,710602000,464283000,668947000,311913000,271956000,407947000,426440000,326782000,365515000,366627000,385608000,412104000,642584000,552008000,519396000,537870000,828979000,555600000,556719000,815934000,728261000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1330200000,1732000000,2048700000,2634700000,3764600000,3636100000,3114515000,2313973000,1884508000,1528883000,1178885000,1175463000,1912696000,1820106000,1821404000,1840532000,1832380000,1861116000,1916621000,3155548000,2963794000,3071738000,3196616000,3135316000,3532182000,3513530000,3562838000,3949482000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1359315000,1414509000,1393716000,1408849000,4082013000,4925645000,4832009000,4743483000,4940226000,5385988000,4917443000,5458598000,5936012000,6500642000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,238100000,437800000,527500000,701200000,797100000,873000000,503292000,546747000,522453000,431401000,279474000,141676000,177341000,140623000,288677000,246730000,323304000,405615000,656766000,800655000,688089000,704760000,690263000,394765000,406500000,423486000,439412000,440058000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1925400000,2762200000,3278300000,3709600000,4920100000,5539300000,6620561000,6575754000,6548770000,7046480000,1774584000,1648681000,2200701000,1756114000,3021526000,3540907000,3794565000,3854429000,1253237000,1957260000,1510366000,1490110000,1577927000,1710018000,1639703000,1901842000,2008608000,2163286000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3493700000,4932000000,5854500000,7045500000,9481800000,10048400000,10238368000,9436474000,8955731000,9006764000,3232943000,2965820000,4290738000,3716843000,6490922000,7042678000,7343965000,7530009000,7908637000,10839108000,9994258000,10010091000,10405032000,10626087000,10495828000,11297456000,11946870000,13053468000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60629000,57240000,56227000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3965300000,5516000000,6462000000,7580900000,10112100000,11106300000,10922648000,10147076000,9420014000,9675711000,3544856000,3237776000,4698685000,4143283000,6817704000,7408193000,7710592000,7915617000,8320741000,11481692000,10546266000,10529487000,10942902000,11455066000,11051428000,11854175000,12762804000,13781729000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,272100000,272507000,292154000,297010000,302040000,323225000,294809000,293232000,262858000,249472000,254017000,241035000,222956000,211047000,212317000,204867000,195773000,189405000,186615000,181471000,181185000,170717000,163114000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,381500000,518600000,728100000,983400000,1232800000,1126900000,-216353000,-814149000,-1046029000,-938063000,-824364000,-955974000,-906394000,-797965000,-726756000,-603876000,-477459000,-367044000,-286795000,-145876000,-81859000,-109351000,-103387000,210364000,474327000,601903000,560731000,727021000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-203800000,-247000000,-319500000,-390900000,-319500000,-587000000,-624383000,-618194000,-631477000,-615724000,-602306000,70000000,72000000,153000000,37000000,97000000,113000000,106000000,112000000,88000000,59000000,6000000,16000000,42000000,13000000,30000000,39366000,40214000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1018900000,1876200000,1826700000,2133500000,2240800000,2683300000,2544050000,2573050000,2684267000,2778705000,2957021000,2179651000,2135937000,1874190000,1733463000,1735635000,1602880000,1430182000,1306775000,1259789000,1186718000,1092270000,990695000,970411000,973105000,1010225000,981934000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1196600000,2147800000,2235300000,2726000000,3154100000,3495300000,1975821000,1432861000,1303771000,1526958000,1853576000,1588486000,1594775000,1492083000,1293179000,1482776000,1479456000,1392094000,1343027000,1414230000,1368726000,1184692000,1092713000,1409390000,1641903000,1823313000,1752748000,1909445000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5161900000,7663800000,8697300000,10306900000,13266200000,14601600000,12898469000,11579937000,10723785000,11202669000,5398432000,4826262000,6293460000,5635366000,8110883000,8890969000,9190048000,9307711000,9663768000,12895922000,11914992000,11714179000,12035615000,12864456000,12693331000,13677488000,14515552000,15691174000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172500000,- -,- -,- -,- -,- -,- -,- -,2800764000,2710430000,3435929000,3296878000,- -,12000,492000,20101000,19800000,10148000,8652000,4709000,2534000,47000,-88000,-58000,-127000,4000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5161900000,7663800000,8869800000,10306900000,13266200000,14601600000,12898469000,11579937000,10723785000,11202669000,8199196000,7536692000,9729389000,8932244000,8110883000,8890981000,9190540000,9327812000,9683568000,12906070000,11923644000,11718888000,12038149000,12864503000,12693243000,13677430000,14515425000,15691178000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/89089/000095012995000273/0000950129-95-000273-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89089/000095012905003137/h23508e10vk.htm,https://www.sec.gov/Archives/edgar/data/89089/000095012906002253/h33422e10vk.htm,https://www.sec.gov/Archives/edgar/data/89089/000095012907001051/h43626e10vk.htm,https://www.sec.gov/Archives/edgar/data/89089/000095012908001405/h54273e10vk.htm,https://www.sec.gov/Archives/edgar/data/89089/000095013409004094/0000950134-09-004094-index.html,https://www.sec.gov/Archives/edgar/data/89089/000095012310017351/0000950123-10-017351-index.html,https://www.sec.gov/Archives/edgar/data/89089/000095012311013833/h78443e10vk.htm,https://www.sec.gov/Archives/edgar/data/89089/000008908912000005/0000089089-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/89089/000008908913000003/0000089089-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/89089/000008908914000002/sci-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/89089/000008908915000001/sci-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/89089/000008908916000035/0000089089-16-000035-index.html,https://www.sec.gov/Archives/edgar/data/89089/000008908917000006/0000089089-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/89089/000008908918000006/0000089089-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/89089/000008908919000005/0000089089-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/89089/000008908920000010/0000089089-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/89089/000008908921000012/0000089089-21-000012-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,56600000,63500000,73400000,86500000,101100000,131000000,183600000,265300000,333800000,342100000,-32400000,-1343251000,-597796000,-231880000,85082000,113699000,-126730000,56511000,247729000,97083000,123098000,126417000,144903000,152546000,143848000,172469000,233772000,177038000,546663000,447208000,369596000,515907000,802939000
74,Depreciation and Amortization,- -,- -,- -,- -,24200000,27200000,35000000,47400000,58200000,76100000,98400000,129800000,157600000,202300000,252100000,224031000,193937000,128546000,161058000,145293000,87449000,141275000,172514000,170483000,163464000,174006000,183684000,144080000,144461000,176642000,172915000,178189000,180791000,179845000,176649000,258146000,277470000
75,Deferred Income Tax,- -,- -,- -,- -,7100000,9300000,6200000,13300000,29200000,27500000,45200000,56900000,19200000,56300000,-46100000,45039000,72695000,104345000,4692000,19232000,26080000,38257000,34652000,109118000,57866000,76934000,66512000,72984000,74100000,129671000,18048000,7490000,-317838000,-41479000,23030000,7884000,-5837000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9970000,9684000,8878000,9144000,10983000,11925000,13127000,13843000,14056000,14788000,15626000,15029000,14103000,14168000
77,Change in Working Capital,- -,- -,- -,- -,27900000,- -,- -,- -,- -,120200000,-74700000,61000000,169500000,302800000,-640500000,284719000,-103668000,171265000,-286239000,217207000,156843000,-548037000,164497000,33841000,-16782000,3345000,-72806000,-68390000,-122932000,93685000,-55835000,27513000,-164209000,123315000,41202000,-256616000,-166231000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67672000,-14989000,-32251000,-47656000,-87592000,-9740000,8052000,-12711000,-14518000,-20215000
79,Inventory,- -,- -,- -,- -,4700000,200000,-1500000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
